time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Journal of clinical medicine,J Clin Med. 2024 Jun 11;13(12):3399. doi: 10.3390/jcm13123399.,"['Kaur, Pritpal', 'Moon, Loren', 'Srikumaran, Divya', 'Salzberg, Steven L', 'Lu, Jennifer', 'Simner, Patricia J', 'Soiberman, Uri S']","['keratoconus', 'metagenomic next-generation sequencing', 'ocular microbiota']",No Evidence of Chronic Infection in a Metagenomic Sequencing Study of the Keratoconus Corneal Epithelium.,"Objectives: This study aims to assess the presence of pathogenic microorganisms in the corneal epithelial layer of keratoconus patients. Methods: DNA was extracted from corneal epithelial samples procured from ten individual keratoconus eyes and three healthy controls. Metagenomic next-generation sequencing (mNGS) was performed to detect ocular microbiota using an agnostic approach. Results: Metagenomic sequencing revealed a low microbial read count in corneal epithelial samples derived from both keratoconus eyes (average: 530) and controls (average: 622) without a statistically significant difference (p = 0.29). Proteobacteria were the predominant phylum in both keratoconus and control samples (relative abundance: 72% versus 79%, respectively). Conclusions: The overall low microbial read count and the lack of difference in the relative abundance of different microbial species between keratoconus and control samples do not support the hypothesis that a chronic corneal infection is implicated in the pathogenesis of keratoconus. These findings do not rule out the possibility that an acute infection may be involved in the disease process as an initiating event."
2024 Jun 20,"G3 (Bethesda, Md.)",G3 (Bethesda). 2024 Jun 20:jkae137. doi: 10.1093/g3journal/jkae137.,"['Heinz, Jakob M', 'Lu, Jennifer', 'Huebner, Lindsay K', 'Salzberg, Steven L', 'Sommer, Markus', 'Rosales, Stephanie M']","['bioinformatics', 'epidemic', 'florida’s coral reef', 'metagenomics', 'sctld']",Novel metagenomics analysis of stony coral tissue loss disease.,"Stony coral tissue loss disease (SCTLD) has devastated coral reefs off the coast of Florida and continues to spread throughout the Caribbean. Although a number of bacterial taxa have consistently been associated with SCTLD, no pathogen has been definitively implicated in the etiology of SCTLD. Previous studies have predominantly focused on the prokaryotic community through 16S rRNA sequencing of healthy and affected tissues. Here, we provide a different analytical approach by applying a bioinformatics pipeline to publicly available metagenomic sequencing samples of SCTLD lesions and healthy tissues from four stony coral species. To compensate for the lack of coral reference genomes, we used data from apparently healthy coral samples to approximate a host genome and healthy microbiome reference. These reads were then used as a reference to which we matched and removed reads from diseased lesion tissue samples, and the remaining reads associated only with disease lesions were taxonomically classified at the DNA and protein levels. For DNA classifications, we used a pathogen identification protocol originally designed to identify pathogens in human tissue samples, and for protein classifications, we used a fast protein sequence aligner. To assess the utility of our pipeline, a species-level analysis of a candidate genus, Vibrio, was used to demonstrate the pipeline's effectiveness. Our approach revealed both complementary and unique coral microbiome members compared to a prior metagenome analysis of the same dataset."
2022,F1000Research,F1000Res. 2024 Apr 29;11:1230. doi: 10.12688/f1000research.124059.2. eCollection ,"['Shumate, Alaina', 'Salzberg, Steven']","['humans', ' molecular sequence annotation methods', ' genome, human', ' software', 'genomics methods', 'chromosome mapping methods', 'computational biology methods', 'bioinformatics', 'genome annotation', 'genomics']",LiftoffTools: a toolkit for comparing gene annotations mapped between genome assemblies.,"In 2020 we published Liftoff, which was the first standalone tool specifically designed for transferring gene annotations between genome assemblies of the same or closely related species. While the gene content is expected to be very similar in closely related genomes, the differences may be biologically consequential, and a computational method to extract all gene-related differences should prove useful in the analysis of such genomes. Here we present LiftoffTools, a toolkit to automate the detection and analysis of gene sequence variants, synteny, and gene copy number changes. We provide a description of the toolkit and an example of its use comparing genes mapped between two human genome assemblies."
2024 May 17,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 May 17:2024.05.16.593026. doi: ,"['Chao, Kuan-Hao', 'Heinz, Jakob M', 'Hoh, Celine', 'Mao, Alan', 'Shumate, Alaina', 'Pertea, Mihaela', 'Salzberg, Steven L']",[],Combining DNA and protein alignments to improve genome annotation with LiftOn.,"As the number and variety of assembled genomes continues to grow, the number of annotated genomes is falling behind, particularly for eukaryotes. DNA-based mapping tools help to address this challenge, but they are only able to transfer annotation between closely-related species. Here we introduce LiftOn, a homology-based software tool that integrates DNA and protein alignments to enhance the accuracy of genome-scale annotation and to allow mapping between relatively distant species. LiftOn's protein-centric algorithm considers both types of alignments, chooses optimal open reading frames, resolves overlapping gene loci, and finds additional gene copies where they exist. LiftOn can reliably transfer annotation between genomes representing members of the same species, as we demonstrate on human, mouse, honey bee, rice, and Arabidopsis thaliana. It can further map annotation effectively across species pairs as far apart as mouse and rat or Drosophila melanogaster and D. erecta."
2024 May 4,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 May 4:2024.05.02.592247. doi: 10.1101/2024.05.02.592247.,"['Hoh, Celine', 'Salzberg, Steven L']",[],Discovering Intron Gain Events in Humans through Large-Scale Evolutionary Comparisons.,"The rapid growth in the number of sequenced genomes makes it possible to search for the appearance of entirely new introns in the human lineage. In this study, we compared the genomic sequences for 19,120 human protein-coding genes to a collection of 3493 vertebrate genomes, mapping the patterns of intron alignments onto a phylogenetic tree. This mapping allowed us to trace many intron gain events to precise locations in the tree, corresponding to distinct points in evolutionary history. We discovered 584 intron gain events, all of them relatively recent, in 514 distinct human genes. Among these events, we explored the hypothesis that intronization was the mechanism responsible for intron gain. Intronization events were identified by locating instances where human introns correspond to exonic sequences in homologous vertebrate genes. Although apparently rare, we found three compelling cases of intronization, and for each of those we compared the human protein sequence and structure to homologous genes that lack the introns."
2024 Apr 1,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 1:2024.03.22.586333. doi: 10.1101/2024.03.22.586333.,"['Ji, Hyun Joo', 'Salzberg, Steven L']",[],Upstream open reading frames may contain hundreds of novel human exons.,"Several recent studies have presented evidence that the human gene catalogue should be expanded to include thousands of short open reading frames (ORFs) appearing upstream or downstream of existing protein-coding genes, each of which would comprise an additional bicistronic transcript in humans. Here we explore an alternative hypothesis that would explain the translational and evolutionary evidence for these upstream ORFs without the need to create novel genes or bicistronic transcripts. We examined 2,199 upstream ORFs that have been proposed as high-quality candidates for novel genes, to determine if they could instead represent protein-coding exons that can be added to existing genes. We checked for the conservation of these ORFs in four recently sequenced, high-quality human genomes, and found a large majority (87.8%) to be conserved in all four as expected. We then looked for splicing evidence that would connect each upstream ORF to the downstream protein-coding gene at the same locus, thus creating a novel splicing variant using the upstream ORF as its first exon. These protein coding exon candidates were further evaluated using protein structure predictions of the protein sequences that included the proposed new exons. We determined that 582 out of 2,199 upstream ORFs have strong evidence that they can form protein coding exons that are part of an existing gene, and that the resulting protein is predicted to have similar or better structural quality than the currently annotated isoform."
2024 May 7,"G3 (Bethesda, Md.)",G3 (Bethesda). 2024 May 7;14(5):jkae061. doi: 10.1093/g3journal/jkae061.,"['Neale, David B', 'Zimin, Aleksey V', 'Meltzer, Amy', 'Bhattarai, Akriti', 'Amee, Maurice', 'Figueroa Corona, Laura', 'Allen, Brian J', 'Puiu, Daniela', 'Wright, Jessica', 'De La Torre, Amanda R', 'McGuire, Patrick E', 'Timp, Winston', 'Salzberg, Steven L', 'Wegrzyn, Jill L']","[' pinus genetics parasitology', ' molecular sequence annotation', ' genome, plant', 'genomics methods', 'endangered species', 'high-throughput nucleotide sequencing', 'pinus albicaulis', 'annotation', 'conifer', 'genome assembly', 'gymnosperm', 'whitebark pine']",A genome sequence for the threatened whitebark pine.,"Whitebark pine (WBP, Pinus albicaulis) is a white pine of subalpine regions in the Western contiguous United States and Canada. WBP has become critically threatened throughout a significant part of its natural range due to mortality from the introduced fungal pathogen white pine blister rust (WPBR, Cronartium ribicola) and additional threats from mountain pine beetle (Dendroctonus ponderosae), wildfire, and maladaptation due to changing climate. Vast acreages of WBP have suffered nearly complete mortality. Genomic technologies can contribute to a faster, more cost-effective approach to the traditional practices of identifying disease-resistant, climate-adapted seed sources for restoration. With deep-coverage Illumina short reads of haploid megagametophyte tissue and Oxford Nanopore long reads of diploid needle tissue, followed by a hybrid, multistep assembly approach, we produced a final assembly containing 27.6 Gb of sequence in 92,740 contigs (N50 537,007 bp) and 34,716 scaffolds (N50 2.0 Gb). Approximately 87.2% (24.0 Gb) of total sequence was placed on the 12 WBP chromosomes. Annotation yielded 25,362 protein-coding genes, and over 77% of the genome was characterized as repeats. WBP has demonstrated the greatest variation in resistance to WPBR among the North American white pines. Candidate genes for quantitative resistance include disease resistance genes known as nucleotide-binding leucine-rich repeat receptors (NLRs). A combination of protein domain alignments and direct genome scanning was employed to fully describe the 3 subclasses of NLRs. Our high-quality reference sequence and annotation provide a marked improvement in NLR identification compared to previous assessments that leveraged de novo-assembled transcriptomes."
2024 Mar 25,Cell reports methods,Cell Rep Methods. 2024 Mar 25;4(3):100736. doi: 10.1016/j.crmeth.2024.100736. ,"['Erdogdu, Beril', 'Varabyou, Ales', 'Hicks, Stephanie C', 'Salzberg, Steven L', 'Pertea, Mihaela']","['humans', ' gene expression profiling methods', 'sequence analysis, rna', ' rna', 'cp: systems biology', 'dtu', 'rna-seq', 'alternative splicing', 'complex diseases', 'heterogeneity', 'schizophrenia']",Detecting differential transcript usage in complex diseases with SPIT.,"Differential transcript usage (DTU) plays a crucial role in determining how gene expression differs among cells, tissues, and developmental stages, contributing to the complexity and diversity of biological systems. In abnormal cells, it can also lead to deficiencies in protein function and underpin disease pathogenesis. Analyzing DTU via RNA sequencing (RNA-seq) data is vital, but the genetic heterogeneity in populations with complex diseases presents an intricate challenge due to diverse causal events and undetermined subtypes. Although the majority of common diseases in humans are categorized as complex, state-of-the-art DTU analysis methods often overlook this heterogeneity in their models. We therefore developed SPIT, a statistical tool that identifies predominant subgroups in transcript usage within a population along with their distinctive sets of DTU events. This study provides comprehensive assessments of SPIT's methodology and applies it to analyze brain samples from individuals with schizophrenia, revealing previously unreported DTU events in six candidate genes."
2024 Apr 16,Journal of virology,J Virol. 2024 Apr 16;98(4):e0023724. doi: 10.1128/jvi.00237-24. Epub 2024 Mar 13.,"['Ebright, Richard H', 'MacIntyre, Raina', 'Dudley, Joseph P', 'Butler, Colin D', 'Goffinet, Andre', 'Hammond, Edward', 'Harris, Elisa D', 'Kakeya, Hideki', 'Lambrinidou, Yanna', 'Leitenberg, Milton', 'Newman, Stuart A', 'Nickels, Bryce E', 'Rahalkar, Monali C', 'Ridley, Matt W', 'Salzberg, Steven L', 'Seshadri, Harish', 'Theißen, Günter', 'VanDongen, Antonius M', 'Washburne, Alex']","['humans', ' pandemics prevention & control', ' security measures legislation & jurisprudence', ' biosecurity legislation & jurisprudence', ' microbiology legislation & jurisprudence standards', 'national science advisory board for biosecurity (nsabb)', 'enhanced potential pandemic pathogen research', 'gain of function research', 'oversight']",Implementing governmental oversight of enhanced potential pandemic pathogen research.,
2024 Jun 5,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jun 5:2024.01.02.573916. doi: 10.1101/2024.01.02.573916.,"['Heinz, Jakob M', 'Lu, Jennifer', 'Huebner, Lindsay K', 'Salzberg, Steven L', 'Sommer, Markus', 'Rosales, Stephanie M']","['bioinformatics', 'epidemic', 'florida’s coral reef', 'metagenomics', 'sctld']",Novel metagenomics analysis of stony coral tissue loss disease.,"Stony coral tissue loss disease (SCTLD) has devastated coral reefs off the coast of Florida and continues to spread throughout the Caribbean. Although a number of bacterial taxa have consistently been associated with SCTLD, no pathogen has been definitively implicated in the etiology of SCTLD. Previous studies have predominantly focused on the prokaryotic community through 16S rRNA sequencing of healthy and affected tissues. Here, we provide a different analytical approach by applying a bioinformatics pipeline to publicly available metagenomic sequencing samples of SCTLD lesions and healthy tissues from four stony coral species. To compensate for the lack of coral reference genomes, we used data from apparently healthy coral samples to approximate a host genome and healthy microbiome reference. These reads were then used as a reference to which we matched and removed reads from diseased lesion tissue samples, and the remaining reads associated only with disease lesions were taxonomically classified at the DNA and protein levels. For DNA classifications, we used a pathogen identification protocol originally designed to identify pathogens in human tissue samples, and for protein classifications, we used a fast protein sequence aligner. To assess the utility of our pipeline, a species-level analysis of a candidate genus, Vibrio, was used to demonstrate the pipeline's effectiveness. Our approach revealed both complementary and unique coral microbiome members compared to a prior metagenome analysis of the same dataset."
