time,journal,doi_info,authors,key words,title,abstract
2023 Apr 1,NPJ Parkinson's disease,NPJ Parkinsons Dis. 2023 Apr 1;9(1):51. doi: 10.1038/s41531-023-00490-4.,"['Padmanabhan, Purnima', 'Casamento-Moran, Agostina', 'Kim, Aram', 'Gonzalez, Anthony J', 'Pantelyat, Alexander', 'Roemmich, Ryan T', 'Chib, Vikram S']",[],Dopamine facilitates the translation of physical exertion into assessments of effort.,"Our assessments of effort are critically shaped by experiences of exertion. However, it is unclear how the nervous system transforms physical exertion into assessments of effort. Availability of the neuromodulator dopamine influences features of motor performance and effort-based decision-making. To test dopamine's role in the translation of effortful exertion into assessments of effort, we had participants with Parkinson's disease, in dopamine depleted (OFF dopaminergic medication) and elevated (ON dopaminergic medication) states, exert levels of physical exertion and retrospectively assess how much effort they exerted. In a dopamine-depleted state, participants exhibited increased exertion variability and over-reported their levels of exertion, compared to the dopamine-supplemented state. Increased exertion variability was associated with less accurate effort assessment and dopamine had a protective influence on this effect, reducing the extent to which exertion variability corrupted assessments of effort. Our findings provide an account of dopamine's role in the translation of features of motor performance into judgments of effort, and a potential therapeutic target for the increased sense of effort observed across a range of neurologic and psychiatric conditions."
2023 Apr 26,The Journal of neuroscience : the official journal of the Society for ,J Neurosci. 2023 Apr 26;43(17):3094-3106. doi: 10.1523/JNEUROSCI.1406-22.2023. ,"['Casamento-Moran, Agostina', 'Mooney, Ronan A', 'Chib, Vikram S', 'Celnik, Pablo A']","['female', 'humans', 'male', ' cerebellum physiology', 'electromyography methods', 'inhibition, psychological', ' learning physiology', 'perception', 'transcranial magnetic stimulation methods', 'cross-over studies', 'tms', 'cerebellum', 'fatigability', 'fatigue', 'interoception', 'motor control']",Cerebellar Excitability Regulates Physical Fatigue Perception.,
2022 Aug 3,The Journal of neuroscience : the official journal of the Society for ,J Neurosci. 2022 Aug 3;42(31):6121-6130. doi: 10.1523/JNEUROSCI.2255-21.2022. ,"['Hu, Eric J', 'Casamento-Moran, Agostina', 'Galaro, Joseph K', 'Chan, Kimberly L', 'Edden, Richard A E', 'Puts, Nicolaas A J', 'Chib, Vikram S']","['activities of daily living', 'brain mapping', 'female', 'humans', 'male', ' physical exertion physiology', ' sensorimotor cortex physiology', 'gamma-aminobutyric acid', 'gaba', 'effort', 'exertion', 'sensorimotor cortex']",Sensorimotor Cortex GABA Moderates the Relationship between Physical Exertion and Assessments of Effort.,the Relationship between Physical Exertion and Assessments of Effort.PG - 6121-6130LID - 10.1523/JNEUROS
2021,Journal of Parkinson's disease,J Parkinsons Dis. 2021;11(4):2073-2084. doi: 10.3233/JPD-212613.,"['Padmanabhan, Purnima', 'Sreekanth Rao, Keerthana', 'Gonzalez, Anthony J', 'Pantelyat, Alexander Y', 'Chib, Vikram S', 'Roemmich, Ryan T']","['dopamine agents therapeutic use', ' energy metabolism', 'gait', 'humans', ' parkinson disease complications drug therapy physiopathology', 'walking', ' walking speed', 'gait', 'parkinson’s disease', 'dopamine', 'energy', 'rehabilitation']",The Cost of Gait Slowness: Can Persons with Parkinson's Disease Save Energy by Walking Faster?,"BACKGROUND: Gait slowing is a common feature of Parkinson's disease (PD). Many therapies aim to improve gait speed in persons with PD, but goals are often imprecise. How fast should each patient walk? And how do persons with PD benefit from walking faster? There is an important need to understand how walking speed affects fundamental aspects of gait-including energy cost and stability-that could guide individualized therapy decisions in persons with PD. OBJECTIVE: We investigated how changes in walking speed affected energy cost and spatiotemporal gait parameters in persons with PD. We compared these effects between dopaminergic medication states and to those observed in age-matched control participants. METHODS: Twelve persons with PD and twelve control participants performed treadmill walking trials spanning at least five different speeds (seven speeds were desired, but not all participants could walk at the fastest speeds). Persons with PD participated in two walking sessions on separate days (once while optimally medicated, once after 12-hour withdrawal from dopaminergic medication). We measured kinematic and metabolic data across all trials. RESULTS: Persons with PD significantly reduced energy cost by walking faster than their preferred speeds. This held true across medication conditions and was not observed in control participants. The patient-specific walking speeds that reduced energy cost did not significantly affect gait variability metrics (used as proxies for gait stability). CONCLUSION: The gait slowing that occurs with PD results in energetically suboptimal walking. Rehabilitation strategies that target patient-specific increases in walking speed could result in a less effortful gait."
2021 Nov 30,Psychiatry research. Neuroimaging,Psychiatry Res Neuroimaging. 2021 Nov 30;317:111370. doi: ,"['Naaz, Farah', 'Chen, Liuyi', 'Gold, Alaina I', 'Samuels, Jack', 'Krasnow, Janice', 'Wang, Ying', 'Nestadt, Paul', 'Kamath, Vidyulata', 'Chib, Vikram S', 'Nestadt, Gerald', 'Bakker, Arnold']","['brain diagnostic imaging physiology', 'brain mapping', ' decision making physiology', 'humans', ' magnetic resonance imaging methods', 'uncertainty', 'functional mri', 'inferior parietal lobule', 'random dot motion', 'uncertainty']",Neural correlates of doubt in decision-making.,"The experience of doubt, the lack of confidence in one's perceptions, internal states, memory and attention, can be due to the variability in occurrence of a phenomenon or can be driven by the internal experience of uncertainty based on subjective evaluation of the environment. Although the experience of some doubt is adaptive in normal cognitive functioning, excessive doubt can significantly impair decision-making and in extreme cases give rise to psychopathology. Although neuroimaging studies have provided some insight into the network of brain areas that is engaged when decision-making involves uncertainty, it remains unclear if dysfunction in these areas also gives rise to the experience and pathological expression of doubt. This study examined the neural correlates of doubt using neuroimaging during the performance of a forced-choice perceptual decision-making task under varying levels of uncertainty in participants who reported either low or high doubt. Participants reporting high doubt exhibited increased activation in the bilateral inferior parietal lobule (IPL) during perceptual decision-making which was not observed in participants who reported low doubt. Furthermore, activity in the IPL in high doubt participants was associated with clinical measures of doubt and showed functional connectivity differences between the high and low doubt groups. The findings of the current study suggest a key role of the IPL and provide a network of brain regions that may play a role in the experience and expression of doubt."
2020 Aug 12,Nature communications,Nat Commun. 2020 Aug 12;11(1):4026. doi: 10.1038/s41467-020-17855-5.,"['Hogan, Patrick S', 'Chen, Steven X', 'Teh, Wen Wen', 'Chib, Vikram S']","['adolescent', 'adult', 'brain  physiopathology', 'brain mapping', ' choice behavior', 'fatigue  physiopathology', 'female', 'humans', 'male', 'motor activity physiology', 'physical exertion', 'young adult']",Neural mechanisms underlying the effects of physical fatigue on effort-based choice.,"Physical fatigue crucially influences our decisions to partake in effortful action. However, there is a limited understanding of how fatigue impacts effort-based decision-making at the level of brain and behavior. We use functional magnetic resonance imaging to record markers of brain activity while human participants engage in uncertain choices for prospective physical effort, before and after bouts of exertion. Using computational modeling of choice behavior we find that fatiguing exertions cause participants to increase their subjective cost of effort, compared to a baseline/rested state. We describe a mechanism by which signals related to motor cortical state in premotor cortex influence effort value computations, instantiated by insula, thereby increasing an individual's subjective valuation of prospective physical effort while fatigued. Our findings provide a neurobiological account of how information about bodily state modulates decisions to engage in physical activity."
2020 Sep,Neurorehabilitation and neural repair,Neurorehabil Neural Repair. 2020 Sep;34(9):804-813. doi: ,"['Cantarero, Gabriela', 'Choynowski, Jake', 'St Pierre, Maria', 'Anaya, Manuel', 'Statton, Matthew', 'Stokes, William', 'Capaldi, Vincent', 'Chib, Vikram', 'Celnik, Pablo']","['adult', 'brain concussion complications  physiopathology', 'chronic disease', 'cognitive dysfunction etiology  physiopathology', 'evoked potentials, motor  physiology', 'female', 'humans', 'learning  physiology', 'male', 'motor cortex  physiopathology', 'motor skills  physiology', 'neuronal plasticity  physiology', 'transcranial magnetic stimulation', 'young adult', 'concussion', 'motor learning', 'neuroplasticity']",Repeated Concussions Impair Behavioral and Neurophysiological Changes in the Motor Learning System.,"Background. Concussions affect nearly 3 million people a year and are the leading cause of traumatic brain injury-related emergency department visits among youth. Evidence shows neuromotor regions are sensitive to concussive events and that motor symptoms may be the earliest clinical manifestations of neurodegenerative traumatic brain injuries. However, little is known about the effects repeated concussions play on motor learning. Namely, how does concussion acuity (time since injury) affect different behavioral and neurophysiological components of motor learning? Methods. Using a 3-pronged approach, we assessed (1) behavioral measures of motor learning, (2) neurophysiological measures underlying retention of motor learning known as occlusion, and (3) quantitative survey data capturing affective symptoms of each participant. Collegiate student athletes were stratified across 3 groups depending on their concussion history: (1) NonCon, no history of concussion; (2) Chronic, chronic-state of concussion (>1 year postinjury), or (3) Acute, acute state of concussion (<2 weeks postinjury). Results. We found that athletes in both the acute and chronic state of injury following a concussion had impaired retention and aberrant occlusion in motor skill learning as compared with athletes with no history of concussion. Moreover, higher numbers of previous concussions (regardless of the time since injury) correlated with more severe behavioral and neurophysiological motor impairments by specifically hindering neurophysiological mechanisms of learning to affect behavior. Conclusions. These results indicate the presence of motor learning impairment that is evident within 2 weeks postinjury. Our findings have significant implications for the prognosis of concussion and emphasize the need for prevention, but can also direct more relevant rehabilitation treatment targets."
2020 Jun 1,Journal of neurophysiology,J Neurophysiol. 2020 Jun 1;123(6):2373-2381. doi: 10.1152/jn.00118.2020. Epub ,"['Umesh, Amith', 'Kutten, Kwame S', 'Hogan, Patrick S', 'Ratnanather, J Tilak', 'Chib, Vikram S']","['adolescent', 'adult', 'decision making  physiology', 'female', 'humans', 'magnetic resonance imaging', 'male', 'motor activity  physiology', 'motor cortex  anatomy & histology  physiology', 'psychomotor performance  physiology', 'young adult', 'decision-making', 'effort', 'motor cortex']",Motor cortical thickness is related to effort-based decision-making in humans.,"Although motor cortex is integral in driving physical exertion, how its inherent properties influence decisions to exert is unknown. In this study, we examined how anatomical properties of motor cortex are related to participants' subjective valuations of effort and their decisions to exert effort. We used computational modeling to characterize participants' subjective valuation of physical effort during an effort-based decision-making task in which they made choices about exerting different levels of hand-grip exertion. We also acquired structural MRI data from these participants and extracted anatomical measures of each individual's hand knob, the region of motor cortex recruited during hand-grip exertion. We found that individual participants' cortical thickness of hand knob was associated with their effort-based decisions regarding hand exertion. These data provide evidence that the anatomy of an individual's motor cortex is an important factor in decisions to engage in physical activity.NEW & NOTEWORTHY How effortful a task feels is an integral aspect of human decision-making that influences choices to engage in physical activity. We show that properties of motor cortex (the brain region responsible for physical exertion) are related to assessments of effort and decisions to exert. These findings provide a link between the anatomical properties of motor cortex and the cognitive function of effort-based choice."
2019,PloS one,PLoS One. 2019 Jun 13;14(6):e0218182. doi: 10.1371/journal.pone.0218182. ,"['Marton, Tanya', 'Samuels, Jack', 'Nestadt, Paul', 'Krasnow, Janice', 'Wang, Ying', 'Shuler, Marshall', 'Kamath, Vidyulata', 'Chib, Vikram S', 'Bakker, Arnold', 'Nestadt, Gerald']","['case-control studies', ' decision making', ' endophenotypes', 'humans', 'internet', 'obsessive-compulsive disorder  psychology', 'surveys and questionnaires']",Validating a dimension of doubt in decision-making: A proposed endophenotype for obsessive-compulsive disorder.,"Doubt is subjective uncertainty about one's perceptions and recall. It can impair decision-making and is a prominent feature of obsessive-compulsive disorder (OCD). We propose that evaluation of doubt during decision-making provides a useful endophenotype with which to study the underlying pathophysiology of OCD and potentially other psychopathologies. For the current study, we developed a new instrument, the Doubt Questionnaire, to clinically assess doubt. The random dot motion task was used to measure reaction time and subjective certainty, at varying levels of perceptual difficulty, in individuals who scored high and low on doubt, and in individuals with and without OCD. We found that doubt scores were significantly higher in OCD cases than controls. Drift diffusion modeling revealed that high doubt scores predicted slower evidence accumulation than did low doubt scores; and OCD diagnosis lower than controls. At higher levels of dot coherence, OCD participants exhibited significantly slower drift rates than did controls (q<0.05 for 30%, and 45% coherence; q<0.01 for 70% coherence). In addition, at higher levels of coherence, high doubt subjects exhibited even slower drift rates and reaction times than low doubt subjects (q<0.01 for 70% coherence). Moreover, under high coherence conditions, individuals with high doubt scores reported lower certainty in their decisions than did those with low doubt scores. We conclude that the Doubt Questionnaire is a useful instrument for measuring doubt. Compared to those with low doubt, those with high doubt accumulate evidence more slowly and report lower certainty when making decisions under conditions of low uncertainty. High doubt may affect the decision-making process in individuals with OCD. The dimensional doubt measure is a useful endophenotype for OCD research and could enable computationally rigorous and neurally valid understanding of decision-making and its pathological expression in OCD and other disorders."
2019 Feb 13,The Journal of neuroscience : the official journal of the Society for ,J Neurosci. 2019 Feb 13;39(7):1236-1248. doi: 10.1523/JNEUROSCI.1254-18.2018. ,"['Galaro, Joseph K', 'Celnik, Pablo', 'Chib, Vikram S']","['adolescent', 'brain mapping', 'female', 'humans', 'male', 'motivation  physiology', 'motor cortex  physiology', 'prospective studies', 'psychomotor performance physiology', ' reward', 'risk-taking', 'transcranial magnetic stimulation', 'young adult', 'incentive', 'motivation', 'motor excitability', 'transcranial magnetic stimulation']",Motor Cortex Excitability Reflects the Subjective Value of Reward and Mediates Its Effects on Incentive-Motivated Performance.,
