time,journal,doi_info,authors,key words,title,abstract
2024 Jun 20,Current opinion in structural biology,Curr Opin Struct Biol. 2024 Jun 20;87:102865. doi: 10.1016/j.sbi.2024.102865.,"['Nemsick, Sarah', 'Hansen, Anders S']",[],Molecular models of bidirectional promoter regulation.,"Approximately 11% of human genes are transcribed by a bidirectional promoter (BDP), defined as two genes with <1 kb between their transcription start sites. Despite their evolutionary conservation and enrichment for housekeeping genes and oncogenes, the regulatory role of BDPs remains unclear. BDPs have been suggested to facilitate gene coregulation and/or decrease expression noise. This review discusses these potential regulatory functions through the context of six prospective underlying mechanistic models: a single nucleosome free region, shared transcription factor/regulator binding, cooperative negative supercoiling, bimodal histone marks, joint activation by enhancer(s), and RNA-mediated recruitment of regulators. These molecular mechanisms may act independently and/or cooperatively to facilitate the coregulation and/or decreased expression noise predicted of BDPs."
2024 Jun 20,Molecular cell,Mol Cell. 2024 Jun 20;84(12):2238-2254.e11. doi: 10.1016/j.molcel.2024.05.017. ,"['Waterbury, Amanda L', 'Kwok, Hui Si', 'Lee, Ceejay', 'Narducci, Domenic N', 'Freedy, Allyson M', 'Su, Cindy', 'Raval, Shaunak', 'Reiter, Andrew H', 'Hawkins, William', 'Lee, Kwangwoon', 'Li, Jiaming', 'Hoenig, Samuel M', 'Vinyard, Michael E', 'Cole, Philip A', 'Hansen, Anders S', 'Carr, Steven A', 'Papanastasiou, Malvina', 'Liau, Brian B']","[' histone demethylases metabolism genetics', 'humans', ' enhancer elements, genetic', 'intrinsically disordered proteins metabolism genetics chemistry', 'transcription factors metabolism genetics', 'animals', 'protein binding', 'mice', 'cell differentiation', 'gene silencing', 'autoinhibitory switch', 'condensate', 'intrinsically disordered region', 'leukemic differentiation', 'transcription factors', 'transcriptional corepressor']",An autoinhibitory switch of the LSD1 disordered region controls enhancer silencing.,"Transcriptional coregulators and transcription factors (TFs) contain intrinsically disordered regions (IDRs) that are critical for their association and function in gene regulation. More recently, IDRs have been shown to promote multivalent protein-protein interactions between coregulators and TFs to drive their association into condensates. By contrast, here we demonstrate how the IDR of the corepressor LSD1 excludes TF association, acting as a dynamic conformational switch that tunes repression of active cis-regulatory elements. Hydrogen-deuterium exchange shows that the LSD1 IDR interconverts between transient open and closed conformational states, the latter of which inhibits partitioning of the protein's structured domains with TF condensates. This autoinhibitory switch controls leukemic differentiation by modulating repression of active cis-regulatory elements bound by LSD1 and master hematopoietic TFs. Together, these studies unveil alternative mechanisms by which disordered regions and their dynamic crosstalk with structured regions can shape coregulator-TF interactions to control cis-regulatory landscapes and cell fate."
2024 Apr 4,Molecular cell,Mol Cell. 2024 Apr 4;84(7):1365-1376.e7. doi: 10.1016/j.molcel.2024.02.007. Epub ,"['Kim, Kyung Lock', 'Rahme, Gilbert J', 'Goel, Viraat Y', 'El Farran, Chadi A', 'Hansen, Anders S', 'Bernstein, Bradley E']","['ccctc-binding factor genetics metabolism', ' chromatin genetics', ' enhancer elements, genetic', 'oncogenes', 'dna chemistry', 'ano1', 'ctcf insulator', 'dna methylation', 'fgf3', 'fgf4', 'sdh deficiency', 'chromatin', 'enhancer regulation', 'gastrointestinal stromal tumor', 'genome topology']",Dissection of a CTCF topological boundary uncovers principles of enhancer-oncogene regulation.,"Enhancer-gene communication is dependent on topologically associating domains (TADs) and boundaries enforced by the CCCTC-binding factor (CTCF) insulator, but the underlying structures and mechanisms remain controversial. Here, we investigate a boundary that typically insulates fibroblast growth factor (FGF) oncogenes but is disrupted by DNA hypermethylation in gastrointestinal stromal tumors (GISTs). The boundary contains an array of CTCF sites that enforce adjacent TADs, one containing FGF genes and the other containing ANO1 and its putative enhancers, which are specifically active in GIST and its likely cell of origin. We show that coordinate disruption of four CTCF motifs in the boundary fuses the adjacent TADs, allows the ANO1 enhancer to contact FGF3, and causes its robust induction. High-resolution micro-C maps reveal specific contact between transcription initiation sites in the ANO1 enhancer and FGF3 promoter that quantitatively scales with FGF3 induction such that modest changes in contact frequency result in strong changes in expression, consistent with a causal relationship."
2024 Jul,Nature reviews. Molecular cell biology,Nat Rev Mol Cell Biol. 2024 Jul;25(7):574-591. doi: 10.1038/s41580-024-00710-6. ,"['Yang, Jin H', 'Hansen, Anders S']","[' enhancer elements, genetic genetics', ' promoter regions, genetic genetics', 'animals', 'humans', 'transcriptional activation genetics', 'gene expression regulation genetics', 'chromatin metabolism genetics']",Enhancer selectivity in space and time: from enhancer-promoter interactions to promoter activation.,"The primary regulators of metazoan gene expression are enhancers, originally functionally defined as DNA sequences that can activate transcription at promoters in an orientation-independent and distance-independent manner. Despite being crucial for gene regulation in animals, what mechanisms underlie enhancer selectivity for promoters, and more fundamentally, how enhancers interact with promoters and activate transcription, remain poorly understood. In this Review, we first discuss current models of enhancer-promoter interactions in space and time and how enhancers affect transcription activation. Next, we discuss different mechanisms that mediate enhancer selectivity, including repression, biochemical compatibility and regulation of 3D genome structure. Through 3D polymer simulations, we illustrate how the ability of 3D genome folding mechanisms to mediate enhancer selectivity strongly varies for different enhancer-promoter interaction mechanisms. Finally, we discuss how recent technical advances may provide new insights into mechanisms of enhancer-promoter interactions and how technical biases in methods such as Hi-C and Micro-C and imaging techniques may affect their interpretation."
2023 Oct 28,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Oct 28:2023.10.20.563340. doi: ,"['Sept, Corriene E', 'Tak, Y Esther', 'Cerda-Smith, Christian G', 'Hutchinson, Haley M', 'Goel, Viraat', 'Blanchette, Marco', 'Bhakta, Mital S', 'Hansen, Anders S', 'Joung, J Keith', 'Johnstone, Sarah', 'Eyler, Christine E', 'Aryee, Martin J']",[],High-resolution CTCF footprinting reveals impact of chromatin state on cohesin extrusion dynamics.,"DNA looping is vital for establishing many enhancer-promoter interactions. While CTCF is known to anchor many cohesin-mediated loops, the looped chromatin fiber appears to predominantly exist in a poorly characterized actively extruding state. To better characterize extruding chromatin loop structures, we used CTCF MNase HiChIP data to determine both CTCF binding at high resolution and 3D contact information. Here we present FactorFinder, a tool that identifies CTCF binding sites at near base-pair resolution. We leverage this substantial advance in resolution to determine that the fully extruded (CTCF-CTCF) state is rare genome-wide with locus-specific variation from ~1-10%. We further investigate the impact of chromatin state on loop extrusion dynamics, and find that active enhancers and RNA Pol II impede cohesin extrusion, facilitating an enrichment of enhancer-promoter contacts in the partially extruded loop state. We propose a model of topological regulation whereby the transient, partially extruded states play active roles in transcription."
2023 Jun,Nature genetics,Nat Genet. 2023 Jun;55(6):1048-1056. doi: 10.1038/s41588-023-01391-1. Epub 2023 ,"['Goel, Viraat Y', 'Huseyin, Miles K', 'Hansen, Anders S']","['animals', 'mice', ' chromatin', ' enhancer elements, genetic', 'promoter regions, genetic', 'chromosomes', 'chromosome mapping', 'mammals genetics']",Region Capture Micro-C reveals coalescence of enhancers and promoters into nested microcompartments.,"Although enhancers are central regulators of mammalian gene expression, the mechanisms underlying enhancer-promoter (E-P) interactions remain unclear. Chromosome conformation capture (3C) methods effectively capture large-scale three-dimensional (3D) genome structure but struggle to achieve the depth necessary to resolve fine-scale E-P interactions. Here, we develop Region Capture Micro-C (RCMC) by combining micrococcal nuclease (MNase)-based 3C with a tiling region-capture approach and generate the deepest 3D genome maps reported with only modest sequencing. By applying RCMC in mouse embryonic stem cells and reaching the genome-wide equivalent of ~317 billion unique contacts, RCMC reveals previously unresolvable patterns of highly nested and focal 3D interactions, which we term microcompartments. Microcompartments frequently connect enhancers and promoters, and although loss of loop extrusion and inhibition of transcription disrupts some microcompartments, most are largely unaffected. We therefore propose that many E-P interactions form through a compartmentalization mechanism, which may partially explain why acute cohesin depletion only modestly affects global gene expression."
2023 Apr 6,Nature communications,Nat Commun. 2023 Apr 6;14(1):1913. doi: 10.1038/s41467-023-37583-w.,"['Yang, Jin H', 'Brandão, Hugo B', 'Hansen, Anders S']","[' dna breaks, double-stranded', ' dna end-joining repair', 'cell cycle', 'dna genetics metabolism', 'chromosome pairing', 'dna repair']",DNA double-strand break end synapsis by DNA loop extrusion.,"DNA double-strand breaks (DSBs) occur every cell cycle and must be efficiently repaired. Non-homologous end joining (NHEJ) is the dominant pathway for DSB repair in G1-phase. The first step of NHEJ is to bring the two DSB ends back into proximity (synapsis). Although synapsis is generally assumed to occur through passive diffusion, we show that passive diffusion is unlikely to produce the synapsis speed observed in cells. Instead, we hypothesize that DNA loop extrusion facilitates synapsis. By combining experimentally constrained simulations and theory, we show that a simple loop extrusion model constrained by previous live-cell imaging data only modestly accelerates synapsis. Instead, an expanded loop extrusion model with targeted loading of loop extruding factors (LEFs), a small portion of long-lived LEFs, and LEF stabilization by boundary elements and DSB ends achieves fast synapsis with near 100% efficiency. We propose that loop extrusion contributes to DSB repair by mediating fast synapsis."
2022 Oct 20,Molecular cell,Mol Cell. 2022 Oct 20;82(20):3755-3757. doi: 10.1016/j.molcel.2022.09.027.,"['Drayton, Jamie A', 'Hansen, Anders S']","['mice', 'animals', ' chromatin genetics', ' chromosomal proteins, non-histone genetics', 'cell cycle proteins genetics', 'chromosome segregation', 'cohesins']",Right on target: Chromatin jets arise from targeted cohesin loading in wild-type cells.,"Uncovering an informative feature of 3D genome structure, Guo et al. (2022) describe chromatin jets in quiescent murine thymocytes: 1-2 Mb structures formed by targeted cohesin loading at narrow accessible chromatin regions and visible as prominent off-diagonal stripes on contact maps."
2022 Jul,Nature structural & molecular biology,Nat Struct Mol Biol. 2022 Jul;29(7):623-625. doi: 10.1038/s41594-022-00805-8.,"['Narducci, Domenic N', 'Hansen, Anders S']","[' adenosine triphosphatases genetics', 'cell cycle proteins genetics', 'chromosomes', 'dna', 'dna-binding proteins genetics', ' multiprotein complexes genetics']",Reeling it in: how DNA topology drives loop extrusion by condensin.,Structural maintenance of chromosomes (SMC) complexes such as condensin regulate chromosome organization by extruding loops. A new study uses single-molecule imaging of condensin on supercoiled DNA to understand how condensins navigate the under- and overwound DNA states common throughout the genome.
2022 Apr 29,"Science (New York, N.Y.)",Science. 2022 Apr 29;376(6592):496-501. doi: 10.1126/science.abn6583. Epub 2022 ,"['Gabriele, Michele', 'Brandão, Hugo B', 'Grosse-Holz, Simon', 'Jha, Asmita', 'Dailey, Gina M', 'Cattoglio, Claudia', 'Hsieh, Tsung-Han S', 'Mirny, Leonid', 'Zechner, Christoph', 'Hansen, Anders S']","['animals', 'bayes theorem', 'ccctc-binding factor', 'cell cycle proteins metabolism', ' chromatin', ' chromosomal proteins, non-histone metabolism', 'mice', 'cohesins']",Dynamics of CTCF- and cohesin-mediated chromatin looping revealed by live-cell imaging.,"Animal genomes are folded into loops and topologically associating domains (TADs) by CTCF and loop-extruding cohesins, but the live dynamics of loop formation and stability remain unknown. Here, we directly visualized chromatin looping at the Fbn2 TAD in mouse embryonic stem cells using super-resolution live-cell imaging and quantified looping dynamics by Bayesian inference. Unexpectedly, the Fbn2 loop was both rare and dynamic, with a looped fraction of approximately 3 to 6.5% and a median loop lifetime of approximately 10 to 30 minutes. Our results establish that the Fbn2 TAD is highly dynamic, and about 92% of the time, cohesin-extruded loops exist within the TAD without bridging both CTCF boundaries. This suggests that single CTCF boundaries, rather than the fully CTCF-CTCF looped state, may be the primary regulators of functional interactions."
