time,journal,doi_info,authors,key words,title,abstract
2024 Apr 9,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 9:2024.04.07.588166. doi: 10.1101/2024.04.07.588166.,"['Gentili, Matteo', 'Carlson, Rebecca J', 'Liu, Bingxu', 'Hellier, Quentin', 'Andrews, Jocelyn', 'Qin, Yue', 'Blainey, Paul C', 'Hacohen, Nir']",[],Classification and functional characterization of regulators of intracellular STING trafficking identified by genome-wide optical pooled screening.,"STING is an innate immune sensor that traffics across many cellular compartments to carry out its function of detecting cyclic di-nucleotides and triggering defense processes. Mutations in factors that regulate this process are often linked to STING-dependent human inflammatory disorders. To systematically identify factors involved in STING trafficking, we performed a genome-wide optical pooled screen and examined the impact of genetic perturbations on intracellular STING localization. Based on subcellular imaging of STING protein and trafficking markers in 45 million cells perturbed with sgRNAs, we defined 464 clusters of gene perturbations with similar cellular phenotypes. A higher-dimensional focused optical pooled screen on 262 perturbed genes which assayed 11 imaging channels identified 73 finer phenotypic clusters. In a cluster containing USE1, a protein that mediates Golgi to ER transport, we found a gene of unknown function, C19orf25. Consistent with the known role of USE1, loss of C19orf25 enhanced STING signaling. Other clusters contained subunits of the HOPS, GARP and RIC1-RGP1 complexes. We show that HOPS deficiency delayed STING degradation and consequently increased signaling. Similarly, GARP/RIC1-RGP1 loss increased STING signaling by delaying STING exit from the Golgi. Our findings demonstrate that genome-wide genotype-phenotype maps based on high-content cell imaging outperform other screening approaches, and provide a community resource for mining for factors that impact STING trafficking as well as other cellular processes observable in our dataset."
2024 Apr 7,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 7:2024.04.06.588168. doi: 10.1101/2024.04.06.588168.,"['Carlson, Rebecca J', 'Patten, J J', 'Stefanakis, George', 'Soong, Brian Y', 'Radhakrishnan, Adityanarayanan', 'Singh, Avtar', 'Thakur, Naveen', 'Amarasinghe, Gaya K', 'Hacohen, Nir', 'Basler, Christopher F', 'Leung, Daisy', 'Uhler, Caroline', 'Davey, Robert A', 'Blainey, Paul C']",[],Single-cell image-based genetic screens systematically identify regulators of Ebola virus subcellular infection dynamics.,"Ebola virus (EBOV) is a high-consequence filovirus that gives rise to frequent epidemics with high case fatality rates and few therapeutic options. Here, we applied image-based screening of a genome-wide CRISPR library to systematically identify host cell regulators of Ebola virus infection in 39,085,093 million single cells. Measuring viral RNA and protein levels together with their localization in cells identified over 998 related host factors and provided detailed information about the role of each gene across the virus replication cycle. We trained a deep learning model on single-cell images to associate each host factor with predicted replication steps, and confirmed the predicted relationship for select host factors. Among the findings, we showed that the mitochondrial complex III subunit UQCRB is a post-entry regulator of Ebola virus RNA replication, and demonstrated that UQCRB inhibition with a small molecule reduced overall Ebola virus infection with an IC50 of 5 μM. Using a random forest model, we also identified perturbations that reduced infection by disrupting the equilibrium between viral RNA and protein. One such protein, STRAP, is a spliceosome-associated factor that was found to be closely associated with VP35, a viral protein required for RNA processing. Loss of STRAP expression resulted in a reduction in full-length viral genome production and subsequent production of non-infectious virus particles. Overall, the data produced in this genome-wide high-content single-cell screen and secondary screens in additional cell lines and related filoviruses (MARV and SUDV) revealed new insights about the role of host factors in virus replication and potential new targets for therapeutic intervention."
2024 Mar 26,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Mar 26:2024.03.26.586803. doi: ,"['Tse, Megan W', 'Zhu, Meilin', 'Peters, Benjamin', 'Hamami, Efrat', 'Chen, Julie', 'Davis, Kathleen P', 'Nitz, Samuel', 'Weller, Juliane', 'Warrier, Thulasi', 'Hunt, Diana K', 'Morales, Yoelkys', 'Kawate, Tomohiko', 'Gaulin, Jeffrey L', 'Come, Jon H', 'Hernandez-Bird, Juan', 'Huo, Wenwen', 'Neisewander, Isabelle', 'Kiessling, Laura L', 'Hung, Deborah T', 'Mecsas, Joan', 'Aldridge, Bree B', 'Isberg, Ralph R', 'Blainey, Paul C']","['acinetobacter baumannii', 'biological sciences', 'gram-negative eskape pathogens', 'microbiology', 'antibiotic combinations discovery', 'antibiotic potentiators']",Massively parallel combination screen reveals small molecule sensitization of antibiotic-resistant Gram-negative ESKAPE pathogens.,"Antibiotic resistance, especially in multidrug-resistant ESKAPE pathogens, remains a worldwide problem. Combination antimicrobial therapies may be an important strategy to overcome resistance and broaden the spectrum of existing antibiotics. However, this strategy is limited by the ability to efficiently screen large combinatorial chemical spaces. Here, we deployed a high-throughput combinatorial screening platform, DropArray, to evaluate the interactions of over 30,000 compounds with up to 22 antibiotics and 6 strains of Gram-negative ESKAPE pathogens, totaling to over 1.3 million unique strain-antibiotic-compound combinations. In this dataset, compounds more frequently exhibited synergy with known antibiotics than single-agent activity. We identified a compound, P2-56, and developed a more potent analog, P2-56-3, which potentiated rifampin (RIF) activity against Acinetobacter baumannii and Klebsiella pneumoniae. Using phenotypic assays, we showed P2-56-3 disrupts the outer membrane of A. baumannii. To identify pathways involved in the mechanism of synergy between P2-56-3 and RIF, we performed genetic screens in A. baumannii. CRISPRi-induced partial depletion of lipooligosaccharide transport genes (lptA-D, lptFG) resulted in hypersensitivity to P2-56-3/RIF treatment, demonstrating the genetic dependency of P2-56-3 activity and RIF sensitization on lpt genes in A. baumannii. Consistent with outer membrane homeostasis being an important determinant of P2-56-3/RIF tolerance, knockout of maintenance of lipid asymmetry complex genes and overexpression of certain resistance-nodulation-division efflux pumps - a phenotype associated with multidrug-resistance - resulted in hypersensitivity to P2-56-3. These findings demonstrate the immense scale of phenotypic antibiotic combination screens using DropArray and the potential for such approaches to discover new small molecule synergies against multidrug-resistant ESKAPE strains."
2024 Mar 17,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Mar 17:2024.03.17.585235. doi: ,"['Walton, Russell T', 'Qin, Yue', 'Blainey, Paul C']",[],CROPseq-multi: a versatile solution for multiplexed perturbation and decoding in pooled CRISPR screens.,"Forward genetic screens seek to dissect complex biological systems by systematically perturbing genetic elements and observing the resulting phenotypes. While standard screening methodologies introduce individual perturbations, multiplexing perturbations improves the performance of single-target screens and enables combinatorial screens for the study of genetic interactions. Current tools for multiplexing perturbations are incompatible with pooled screening methodologies that require mRNA-embedded barcodes, including some microscopy and single cell sequencing approaches. Here, we report the development of CROPseq-multi, a CROPseq(1)-inspired lentiviral system to multiplex Streptococcus pyogenes (Sp) Cas9-based perturbations with mRNA-embedded barcodes. CROPseq-multi has equivalent per-guide activity to CROPseq and low lentiviral recombination frequencies. CROPseq-multi is compatible with enrichment screening methodologies and optical pooled screens, and is extensible to screens with single-cell sequencing readouts. For optical pooled screens, an optimized and multiplexed in situ detection protocol improves barcode detection efficiency 10-fold, enables detection of recombination events, and increases decoding efficiency 3-fold relative to CROPseq. CROPseq-multi is a widely applicable multiplexing solution for diverse SpCas9-based genetic screening approaches."
2024 Feb 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 6:2024.02.06.579193. doi: 10.1101/2024.02.06.579193.,"['Poret, Alexandra J', 'Schaefers, Matthew', 'Merakou, Christina', 'Mansour, Kathryn E', 'Lagoudas, Georgia K', 'Cross, Ashley R', 'Goldberg, Joanna B', 'Kishony, Roy', 'Uluer, Ahmet Z', 'McAdam, Alexander J', 'Blainey, Paul C', 'Vargas, Sara O', 'Lieberman, Tami D', 'Priebe, Gregory P']",[],De novo mutations mediate phenotypic switching in an opportunistic human lung pathogen.,"Bacteria evolving within human hosts encounter selective tradeoffs that render mutations adaptive in one context and deleterious in another. Here, we report that the cystic fibrosis-associated pathogen Burkholderia dolosa overcomes in-human selective tradeoffs by acquiring successive point mutations that alternate phenotypes. We sequenced the whole genomes of 931 respiratory isolates from two recently infected patients and an epidemiologically-linked, chronically-infected patient. These isolates are contextualized using 112 historical genomes from the same outbreak strain. Within both newly infected patients, diverse parallel mutations that disrupt O-antigen expression quickly arose, comprising 29% and 63% of their B. dolosa communities by 3 years. The selection for loss of O-antigen starkly contrasts with our previous observation of parallel O-antigen-restoring mutations after many years of chronic infection in the historical outbreak. Experimental characterization revealed that O-antigen loss increases uptake in immune cells while decreasing competitiveness in the mouse lung. We propose that the balance of these pressures, and thus whether O-antigen expression is advantageous, depends on tissue localization and infection duration. These results suggest that mutation-driven alternation during infection may be more frequent than appreciated and is underestimated without dense temporal sampling."
2023 Dec 30,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Dec 30:2023.12.30.573720. doi: ,"['Zhu, Meilin', 'Frank, Matthew W', 'Radka, Christopher D', 'Jeanfavre, Sarah', 'Tse, Megan W', 'Pacheco, Julian Avila', 'Pierce, Kerry', 'Deik, Amy', 'Xu, Jiawu', 'Hussain, Salina', 'Hussain, Fatima Aysha', 'Xulu, Nondumiso', 'Khan, Nasreen', 'Pillay, Vanessa', 'Dong, Krista L', ""Ndung'u, Thumbi"", 'Clish, Clary B', 'Rock, Charles O', 'Blainey, Paul C', 'Bloom, Seth M', 'Kwon, Douglas S']",[],Vaginal Lactobacillus fatty acid response mechanisms reveal a novel strategy for bacterial vaginosis treatment.,"Bacterial vaginosis (BV), a common syndrome characterized by Lactobacillus-deficient vaginal microbiota, is associated with adverse health outcomes. BV often recurs after standard antibiotic therapy in part because antibiotics promote microbiota dominance by Lactobacillus iners instead of Lactobacillus crispatus, which has more beneficial health associations. Strategies to promote L. crispatus and inhibit L. iners are thus needed. We show that oleic acid (OA) and similar long-chain fatty acids simultaneously inhibit L. iners and enhance L. crispatus growth. These phenotypes require OA-inducible genes conserved in L. crispatus and related species, including an oleate hydratase (ohyA) and putative fatty acid efflux pump (farE). FarE mediates OA resistance, while OhyA is robustly active in the human vaginal microbiota and sequesters OA in a derivative form that only ohyA-harboring organisms can exploit. Finally, OA promotes L. crispatus dominance more effectively than antibiotics in an in vitro model of BV, suggesting a novel approach for treatment."
2024 Jan,Nature medicine,Nat Med. 2024 Jan;30(1):307. doi: 10.1038/s41591-023-02684-y.,"['Welch, Nicole L', 'Zhu, Meilin', 'Hua, Catherine', 'Weller, Juliane', 'Mirhashemi, Marzieh Ezzaty', 'Nguyen, Tien G', 'Mantena, Sreekar', 'Bauer, Matthew R', 'Shaw, Bennett M', 'Ackerman, Cheri M', 'Thakku, Sri Gowtham', 'Tse, Megan W', 'Kehe, Jared', 'Uwera, Marie-Martine', 'Eversley, Jacqueline S', 'Bielwaski, Derek A', 'McGrath, Graham', 'Braidt, Joseph', 'Johnson, Jeremy', 'Cerrato, Felecia', 'Moreno, Gage K', 'Krasilnikova, Lydia A', 'Petros, Brittany A', 'Gionet, Gabrielle L', 'King, Ewa', 'Huard, Richard C', 'Jalbert, Samantha K', 'Cleary, Michael L', 'Fitzgerald, Nicholas A', 'Gabriel, Stacey B', 'Gallagher, Glen R', 'Smole, Sandra C', 'Madoff, Lawrence C', 'Brown, Catherine M', 'Keller, Matthew W', 'Wilson, Malania M', 'Kirby, Marie K', 'Barnes, John R', 'Park, Daniel J', 'Siddle, Katherine J', 'Happi, Christian T', 'Hung, Deborah T', 'Springer, Michael', 'MacInnis, Bronwyn L', 'Lemieux, Jacob E', 'Rosenberg, Eric', 'Branda, John A', 'Blainey, Paul C', 'Sabeti, Pardis C', 'Myhrvold, Cameron']",[],Author Correction: Multiplexed CRISPR-based microfluidic platform for clinical testing of respiratory viruses and identification of SARS-CoV-2 variants.,
2023 Aug 18,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Aug 18:2023.08.18.553620. doi: ,"['Borrajo, Jacob', 'Javanmardi, Kamyab', 'Griffin, James', 'St Martin, Susan J', 'Yao, David', 'Hill, Kaisle', 'Blainey, Paul C', 'Al-Shayeb, Basem']","['cas13', 'rna-editing', 'splice editing', 'exon replacement', 'multi-kb editing', 'splicing']",Programmable multi-kilobase RNA editing using CRISPR-mediated trans-splicing.,"Current gene editing approaches in eukaryotic cells are limited to single base edits or small DNA insertions and deletions, and remain encumbered by unintended permanent effects and significant challenges in the delivery of large DNA cargo. Here we describe Splice Editing, a generalizable platform to correct gene transcripts in situ by programmable insertion or replacement of large RNA segments. By combining CRISPR-mediated RNA targeting with endogenous cellular RNA-splicing machinery, Splice Editing enables efficient, precise, and programmable large-scale editing of gene targets without DNA cleavage or mutagenesis. RNA sequencing and measurement of spliced protein products confirm that Splice Editing achieves efficient and specific targeted RNA and protein correction. We show that Splice Editors based on novel miniature RNA-targeting CRISPR-Cas systems discovered and characterized in this work can be packaged for effective delivery to human cells and affect different types of edits across multiple targets and cell lines. By editing thousands of bases simultaneously in a single reversible step, Splice Editing could expand the treatable disease population for monogenic diseases with large allelic diversity without the permanent unintended effects of DNA editing."
2023 Aug 7,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Aug 7:2023.08.06.552164. doi: 10.1101/2023.08.06.552164.,"['Ramezani, Meraj', 'Bauman, Julia', 'Singh, Avtar', 'Weisbart, Erin', 'Yong, John', 'Lozada, Maria', 'Way, Gregory P', 'Kavari, Sanam L', 'Diaz, Celeste', 'Haghighi, Marzieh', 'Batista, Thiago M', 'Pérez-Schindler, Joaquín', 'Claussnitzer, Melina', 'Singh, Shantanu', 'Cimini, Beth A', 'Blainey, Paul C', 'Carpenter, Anne E', 'Jan, Calvin H', 'Neal, James T']",[],A genome-wide atlas of human cell morphology.,"A key challenge of the modern genomics era is developing data-driven representations of gene function. Here, we present the first unbiased morphology-based genome-wide perturbation atlas in human cells, containing three genome-scale genotype-phenotype maps comprising >20,000 single-gene CRISPR-Cas9-based knockout experiments in >30 million cells. Our optical pooled cell profiling approach (PERISCOPE) combines a de-stainable high-dimensional phenotyping panel (based on Cell Painting(1,2)) with optical sequencing of molecular barcodes and a scalable open-source analysis pipeline to facilitate massively parallel screening of pooled perturbation libraries. This approach provides high-dimensional phenotypic profiles of individual cells, while simultaneously enabling interrogation of subcellular processes. Our atlas reconstructs known pathways and protein-protein interaction networks, identifies culture media-specific responses to gene knockout, and clusters thousands of human genes by phenotypic similarity. Using this atlas, we identify the poorly-characterized disease-associated transmembrane protein TMEM251/LYSET as a Golgi-resident protein essential for mannose-6-phosphate-dependent trafficking of lysosomal enzymes, showing the power of these representations. In sum, our atlas and screening technology represent a rich and accessible resource for connecting genes to cellular functions at scale."
2023 Aug 4,"Science (New York, N.Y.)",Science. 2023 Aug 4;381(6657):508-514. doi: 10.1126/science.adf8974. Epub 2023 ,"['Liu, Bingxu', 'Carlson, Rebecca J', 'Pires, Ivan S', 'Gentili, Matteo', 'Feng, Ellie', 'Hellier, Quentin', 'Schwartz, Marc A', 'Blainey, Paul C', 'Irvine, Darrell J', 'Hacohen, Nir']","['humans', 'golgi apparatus metabolism', 'hydrogen-ion concentration', 'inflammasomes metabolism', ' ion channels agonists chemistry metabolism', 'liposomes', ' membrane proteins agonists chemistry metabolism', 'microtubule-associated proteins metabolism', 'protein domains', ' protons', 'hek293 cells']",Human STING is a proton channel.,"Proton leakage from organelles is a common signal for noncanonical light chain 3B (LC3B) lipidation and inflammasome activation, processes induced upon stimulator of interferon genes (STING) activation. On the basis of structural analysis, we hypothesized that human STING is a proton channel. Indeed, we found that STING activation induced a pH increase in the Golgi and that STING reconstituted in liposomes enabled transmembrane proton transport. Compound 53 (C53), a STING agonist that binds the putative channel interface, blocked STING-induced proton flux in the Golgi and in liposomes. STING-induced LC3B lipidation and inflammasome activation were also inhibited by C53, suggesting that STING's channel activity is critical for these two processes. Thus, STING's interferon-induction function can be decoupled from its roles in LC3B lipidation and inflammasome activation."
