time,journal,doi_info,authors,key words,title,abstract
2023 Mar 7,"Dalton transactions (Cambridge, England : 2003)",Dalton Trans. 2023 Mar 7;52(10):3219-3233. doi: 10.1039/d2dt03848j.,"['Feng, Haosheng', 'Luo, Shao-Xiong Lennon', 'Croy, Robert G', 'Essigmann, John M', 'Swager, Timothy M']",[],Interaction of N-nitrosamines with binuclear copper complexes for luminescent detection.,"Cu(I) from tetrakis(acetonitrile)copper(I) hexafluorophosphate ([Cu(MeCN)(4)]PF(6)) was complexed with five structurally related phosphines containing N-heterocycles. The interactions between the resulting complexes and some N-nitrosamines were studied using X-ray crystallography as well as emission spectroscopy. Upon complexation, three phosphine ligands bridge two Cu(I) centers to give paddlewheel type structures that displayed a range of emission wavelengths spanning the visible region. N-Nitrosodimethylamine (NDMA) was shown to coordinate to one of the two copper centers in some of the paddlewheel complexes in the solid state and this interaction also quenches their emissions in solution. The influence of the weakly coordinating anion on crystal and spectroscopic properties of one of the paddlewheel complexes was also examined using tetrakis(acetonitrile)copper(I) perchlorate ([Cu(MeCN)(4)]ClO(4)) as an alternative Cu(I) source. Similarly, copper(II) perchlorate hexahydrate (Cu(ClO(4))(2)·6H(2)O) was used for complexation to observe the impact of metal oxidation state on the two aforementioned properties. Lastly, the spectroscopic properties of the complex between Ph(2)P(1-Isoquinoline) and Cu(I) was shown to exhibit solvent dependence when the counterion is ClO(4)(-). These Cu(I) complexes are bench stable solids and may be useful materials for developing a fluorescence based detection method for N-nitrosamines."
2021 Mar 16,Cell reports,Cell Rep. 2021 Mar 16;34(11):108864. doi: 10.1016/j.celrep.2021.108864.,"['Kay, Jennifer E', 'Corrigan, Joshua J', 'Armijo, Amanda L', 'Nazari, Ilana S', 'Kohale, Ishwar N', 'Torous, Dorothea K', 'Avlasevich, Svetlana L', 'Croy, Robert G', 'Wadduwage, Dushan N', 'Carrasco, Sebastian E', 'Dertinger, Stephen D', 'White, Forest M', 'Essigmann, John M', 'Samson, Leona D', 'Engelward, Bevin P']","['animals', 'biomarkers, tumor metabolism', 'cell death', 'chromosomal instability genetics', 'dna damage genetics', 'dna glycosylases deficiency metabolism', 'dna repair genetics', 'dna replication  genetics', 'diethylnitrosamine', 'disease susceptibility', 'histones metabolism', 'homologous recombination genetics', 'liver pathology', 'liver neoplasms pathology', 'mice, inbred c57bl', 'mice, transgenic', 'micronuclei, chromosome-defective', 'mutagenesis  genetics', 'neoplasms  genetics  pathology', 'nitrosamines', 'phenotype', 'phosphoproteins metabolism', 'phosphorylation', 'mice', 'dna damage', 'dna strand break', 'alkyladenine dna glycosylase', 'cancer', 'liver', 'mutation', 'nitrosamine', 'replication-blocking lesion']",Excision of mutagenic replication-blocking lesions suppresses cancer but promotes cytotoxicity and lethality in nitrosamine-exposed mice.,"N-Nitrosodimethylamine (NDMA) is a DNA-methylating agent that has been discovered to contaminate water, food, and drugs. The alkyladenine DNA glycosylase (AAG) removes methylated bases to initiate the base excision repair (BER) pathway. To understand how gene-environment interactions impact disease susceptibility, we study Aag-knockout (Aag(-/-)) and Aag-overexpressing mice that harbor increased levels of either replication-blocking lesions (3-methyladenine [3MeA]) or strand breaks (BER intermediates), respectively. Remarkably, the disease outcome switches from cancer to lethality simply by changing AAG levels. To understand the underlying basis for this observation, we integrate a suite of molecular, cellular, and physiological analyses. We find that unrepaired 3MeA is somewhat toxic, but highly mutagenic (promoting cancer), whereas excess strand breaks are poorly mutagenic and highly toxic (suppressing cancer and promoting lethality). We demonstrate that the levels of a single DNA repair protein tip the balance between blocks and breaks and thus dictate the disease consequences of DNA damage."
2018 Nov,DNA repair,DNA Repair (Amst). 2018 Nov;71:12-22. doi: 10.1016/j.dnarep.2018.08.008. Epub ,"['Fedeles, Bogdan I', 'Essigmann, John M']","['aflatoxin b1  metabolism pharmacology toxicity', 'animals', 'bacteria genetics metabolism', 'carcinogens, environmental toxicity', 'dna drug effects', 'dna adducts  metabolism', ' dna repair', ' dna replication', 'humans', ' mutagenesis', 'mutation', 'cancer', 'dna adduct', 'hcc', 'mutagenesis', 'mutational signature', 'mycotoxin']","Impact of DNA lesion repair, replication and formation on the mutational spectra of environmental carcinogens: Aflatoxin B(1) as a case study.","In a multicellular organism, somatic mutations represent a permanent record of the past chemical and biochemical perturbations experienced by a cell in its local microenvironment. Akin to a perpetual recording device, with every replication, genomic DNA accumulates mutations in patterns that reflect: i) the sequence context-dependent formation of DNA damage, due to environmental or endogenous reactive species, including spontaneous processes; ii) the activity of DNA repair pathways, which, depending on the type of lesion, can erase, ignore or exacerbate the mutagenic consequences of that DNA damage; and iii) the choice of replication machinery that synthesizes the nascent genomic copy. These three factors result in a richly contoured sequence context-dependent mutational spectrum that, from appearances, is distinct for most individual forms of DNA damage. Such a mutagenic legacy, if appropriately decoded, can reveal the local history of genome-altering events such as chemical or pathogen exposures, metabolic stress, and inflammation, which in turn can provide an indication of the underlying causes and mechanisms of genetic disease. Modern tools have positioned us to develop a deep mechanistic understanding of the cellular factors and pathways that modulate a mutational process and, in turn, provide opportunities for better diagnostic and prognostic biomarkers, better exposure risk assessment and even actionable therapeutic targets. The goal of this Perspective is to present a bottom-up, lesion-centric framework of mutagenesis that integrates the contributions of lesion replication, lesion repair and lesion formation to explain the complex mutational spectra that emerge in the genome following exposure to mutagens. The mutational spectra of the well-studied hepatocarcinogen aflatoxin B(1) are showcased here as specific examples, but the implications are meant to be generalizable."
2018 Feb 20,Free radical biology & medicine,Free Radic Biol Med. 2018 Feb 20;116:64-72. doi: ,"['Tajai, Preechaya', 'Fedeles, Bogdan I', 'Suriyo, Tawit', 'Navasumrit, Panida', 'Kanitwithayanun, Jantamas', 'Essigmann, John M', 'Satayavivad, Jutamaad']","['animals', 'cho cells', 'cricetulus', 'dna breaks, double-stranded', 'dna glycosylases  genetics', 'dna repair', 'genetic engineering', 'genome', 'guanine  analogs & derivatives metabolism', 'mutagens  toxicity', 'oxidation-reduction', 'oxidative stress', 'paraquat  toxicity', 'reactive oxygen species metabolism', 'carcinogen', 'environmental mutagen', 'pesticide', 'redox cycling']",An engineered cell line lacking OGG1 and MUTYH glycosylases implicates the accumulation of genomic 8-oxoguanine as the basis for paraquat mutagenicity.,"Paraquat (1,1'-dimethyl, 4,4'-bipyridinium dichloride; PQ), a widely used herbicide, is toxic to mammals through ingestion, inhalation and skin contact. Epidemiological data suggest that PQ is also mutagenic and carcinogenic, especially in high doses. The toxic and mutagenic properties of PQ are attributed to the ability of the molecule to redox-cycle, which generates reactive oxygen species (ROS) and subsequent oxidative stress. ROS also cause oxidative DNA damage such as 8-oxoguanine (8OG), a mutagenic base that, when replicated, causes G to T transversion mutations. The present study employed the CHO-derived cell line AS52 to quantify the mutagenic properties of low doses of PQ. By containing a functional, chromosomally-integrated copy of the bacterial gpt gene, AS52 cells a facile system for evaluating the mutagenic properties of genotoxicants. To bolster the sensitivity of this system for detecting mutagenesis of weak mutagens like PQ, and to provide a tool for mechanistic evaluation of the mutagenic process, we constructed a new AS52-derived cell line defective for 8OG DNA repair. Specifically, we employed CRISPR-Cas9 technology to knock out 8-oxoguanine DNA glycosylase (OGG1) and MUTYH glycosylase, two key enzymes involved in the base excision repair of 8OG. The double knock-out (DKO) AS52 cells were found to be more sensitive to PQ toxicity than the parental (WT) AS52 cell line. They experienced higher levels of ROS, which translated into more DNA double-strand breaks, which explained the PQ toxicity. The increased ROS levels also led to more 8OG genomic accumulation, and a higher level of mutations in the DKO cells, suggesting that PQ mutagenesis is mediated primarily by 8OG genomic accumulation. Consistent with this view, antioxidant co-treatment lowered induced cellular ROS and PQ-induced mutagenesis. Taken together, our data demonstrate the strong protective role of OGG1 and MUTYH against PQ-induced mutagenesis. Moreover, our experiments establish the engineered OGG1(-/-)MUTYH(-/-) AS52 cell line and associated methods as a versatile cellular system for studying in quantitative terms the mutagenesis of other agents, environmental or endogenous, that induce oxidative stress."
2017 Apr 11,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2017 Apr 11;114(15):E3101-E3109. doi: ,"['Chawanthayatham, Supawadee', 'Valentine, Charles C 3rd', 'Fedeles, Bogdan I', 'Fox, Edward J', 'Loeb, Lawrence A', 'Levine, Stuart S', 'Slocum, Stephen L', 'Wogan, Gerald N', 'Croy, Robert G', 'Essigmann, John M']","['aflatoxin b1  genetics toxicity', 'animals', 'biomarkers  metabolism', 'carcinogenesis chemically induced  genetics pathology', 'carcinoma, hepatocellular chemically induced  genetics metabolism pathology', 'dna adducts  genetics toxicity', 'female', 'humans', 'liver neoplasms chemically induced  genetics metabolism pathology', 'male', 'mice', 'mice, inbred c3h', 'mice, inbred c57bl', ' mutation', 'cancer', 'duplex sequencing', 'mouse model', 'mutagenesis', 'mycotoxins']",Mutational spectra of aflatoxin B(1) in vivo establish biomarkers of exposure for human hepatocellular carcinoma.,"Aflatoxin B(1) (AFB(1)) and/or hepatitis B and C viruses are risk factors for human hepatocellular carcinoma (HCC). Available evidence supports the interpretation that formation of AFB(1)-DNA adducts in hepatocytes seeds a population of mutations, mainly G:C→T:A, and viral processes synergize to accelerate tumorigenesis, perhaps via inflammation. Responding to a need for early-onset evidence predicting disease development, highly accurate duplex sequencing was used to monitor acquisition of high-resolution mutational spectra (HRMS) during the process of hepatocarcinogenesis. Four-day-old male mice were treated with AFB(1) using a regimen that induced HCC within 72 wk. For analysis, livers were separated into tumor and adjacent cellular fractions. HRMS of cells surrounding the tumors revealed predominantly G:C→T:A mutations characteristic of AFB(1) exposure. Importantly, 25% of all mutations were G→T in one trinucleotide context (CGC; the underlined G is the position of the mutation), which is also a hotspot mutation in human liver tumors whose incidence correlates with AFB(1) exposure. The technology proved sufficiently sensitive that the same distinctive spectrum was detected as early as 10 wk after dosing, well before evidence of neoplasia. Additionally, analysis of tumor tissue revealed a more complex pattern than observed in surrounding hepatocytes; tumor HRMS were a composite of the 10-wk spectrum and a more heterogeneous set of mutations that emerged during tumor outgrowth. We propose that the 10-wk HRMS reflects a short-term mutational response to AFB(1), and, as such, is an early detection metric for AFB(1)-induced liver cancer in this mouse model that will be a useful tool to reconstruct the molecular etiology of human hepatocarcinogenesis."
2015 Aug 18,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2015 Aug 18;112(33):E4571-80. doi: ,"['Fedeles, Bogdan I', 'Freudenthal, Bret D', 'Yau, Emily', 'Singh, Vipender', 'Chang, Shiou-chi', 'Li, Deyu', 'Delaney, James C', 'Wilson, Samuel H', 'Essigmann, John M']","['biomarkers, tumor metabolism', 'carcinogenesis', 'chromatography, high pressure liquid', 'cytosine  analogs & derivatives chemistry', 'dna mutational analysis', 'humans', 'hypochlorous acid chemistry', 'inflammation metabolism', 'inflammatory bowel diseases metabolism', 'models, molecular', ' mutagenesis', ' mutagens', 'mutation', 'neoplasms  metabolism', 'oligonucleotides chemistry genetics', 'peroxidase metabolism', 'sequence analysis, dna', '5-chloro-deoxycytidine', 'carcinogenesis', 'hypochlorite', 'inflammatory bowel disease', 'myeloperoxidase']",Intrinsic mutagenic properties of 5-chlorocytosine: A mechanistic connection between chronic inflammation and cancer.,"During chronic inflammation, neutrophil-secreted hypochlorous acid can damage nearby cells inducing the genomic accumulation of 5-chlorocytosine (5ClC), a known inflammation biomarker. Although 5ClC has been shown to promote epigenetic changes, it has been unknown heretofore if 5ClC directly perpetrates a mutagenic outcome within the cell. The present work shows that 5ClC is intrinsically mutagenic, both in vitro and, at a level of a single molecule per cell, in vivo. Using biochemical and genetic approaches, we have quantified the mutagenic and toxic properties of 5ClC, showing that this lesion caused C→T transitions at frequencies ranging from 3-9% depending on the polymerase traversing the lesion. X-ray crystallographic studies provided a molecular basis for the mutagenicity of 5ClC; a snapshot of human polymerase β replicating across a primed 5ClC-containing template uncovered 5ClC engaged in a nascent base pair with an incoming dATP analog. Accommodation of the chlorine substituent in the template major groove enabled a unique interaction between 5ClC and the incoming dATP, which would facilitate mutagenic lesion bypass. The type of mutation induced by 5ClC, the C→T transition, has been previously shown to occur in substantial amounts both in tissues under inflammatory stress and in the genomes of many inflammation-associated cancers. In fact, many sequence-specific mutational signatures uncovered in sequenced cancer genomes feature C→T mutations. Therefore, the mutagenic ability of 5ClC documented in the present study may constitute a direct functional link between chronic inflammation and the genetic changes that enable and promote malignant transformation."
2015 Aug 21,The Journal of biological chemistry,J Biol Chem. 2015 Aug 21;290(34):20734-20742. doi: 10.1074/jbc.R115.656462. Epub ,"['Fedeles, Bogdan I', 'Singh, Vipender', 'Delaney, James C', 'Li, Deyu', 'Essigmann, John M']","['alkb homolog 4, lysine demethylase', 'alkylation', 'dna damage', ' dna repair', 'dna, single-stranded genetics metabolism', 'dioxygenases genetics  metabolism', 'escherichia coli enzymology genetics', 'escherichia coli proteins genetics  metabolism', 'gene expression', 'humans', 'iron  metabolism', 'isoenzymes genetics metabolism', 'ketoglutaric acids  metabolism', 'mixed function oxygenases genetics  metabolism', 'models, molecular', 'multigene family', 'oxidation-reduction', 'substrate specificity', 'dna demethylation', 'dna repair', 'rna demethylation', 'rna repair', 'alkb', 'alkylation damage', 'dioxygenase', 'direct reversal', 'metalloprotein', 'substrate specificity']",The AlkB Family of Fe(II)/α-Ketoglutarate-dependent Dioxygenases: Repairing Nucleic Acid Alkylation Damage and Beyond.,"The AlkB family of Fe(II)- and α-ketoglutarate-dependent dioxygenases is a class of ubiquitous direct reversal DNA repair enzymes that remove alkyl adducts from nucleobases by oxidative dealkylation. The prototypical and homonymous family member is an Escherichia coli ""adaptive response"" protein that protects the bacterial genome against alkylation damage. AlkB has a wide variety of substrates, including monoalkyl and exocyclic bridged adducts. Nine mammalian AlkB homologs exist (ALKBH1-8, FTO), but only a subset functions as DNA/RNA repair enzymes. This minireview presents an overview of the AlkB proteins including recent data on homologs, structural features, substrate specificities, and experimental strategies for studying DNA repair by AlkB family proteins."
2015 Jun 23,Nucleic acids research,Nucleic Acids Res. 2015 Jun 23;43(11):5489-500. doi: 10.1093/nar/gkv243. Epub ,"['Chang, Shiou-chi', 'Fedeles, Bogdan I', 'Wu, Jie', 'Delaney, James C', 'Li, Deyu', 'Zhao, Linlin', 'Christov, Plamen P', 'Yau, Emily', 'Singh, Vipender', 'Jost, Marco', 'Drennan, Catherine L', 'Marnett, Lawrence J', 'Rizzo, Carmelo J', 'Levine, Stuart S', 'Guengerich, F Peter', 'Essigmann, John M']","['dna adducts chemistry', ' dna damage', 'dna polymerase beta metabolism', 'dna repair', 'dna repair enzymes metabolism', 'dioxygenases metabolism', 'guanine  analogs & derivatives chemistry', 'high-throughput nucleotide sequencing', 'mutagenesis', ' mutation', 'sequence analysis, dna', 'sequence deletion']","Next-generation sequencing reveals the biological significance of the N(2),3-ethenoguanine lesion in vivo.","Etheno DNA adducts are a prevalent type of DNA damage caused by vinyl chloride (VC) exposure and oxidative stress. Etheno adducts are mutagenic and may contribute to the initiation of several pathologies; thus, elucidating the pathways by which they induce cellular transformation is critical. Although N(2),3-ethenoguanine (N(2),3-εG) is the most abundant etheno adduct, its biological consequences have not been well characterized in cells due to its labile glycosidic bond. Here, a stabilized 2'-fluoro-2'-deoxyribose analog of N(2),3-εG was used to quantify directly its genotoxicity and mutagenicity. A multiplex method involving next-generation sequencing enabled a large-scale in vivo analysis, in which both N(2),3-εG and its isomer 1,N(2)-ethenoguanine (1,N(2)-εG) were evaluated in various repair and replication backgrounds. We found that N(2),3-εG potently induces G to A transitions, the same mutation previously observed in VC-associated tumors. By contrast, 1,N(2)-εG induces various substitutions and frameshifts. We also found that N(2),3-εG is the only etheno lesion that cannot be repaired by AlkB, which partially explains its persistence. Both εG lesions are strong replication blocks and DinB, a translesion polymerase, facilitates the mutagenic bypass of both lesions. Collectively, our results indicate that N(2),3-εG is a biologically important lesion and may have a functional role in VC-induced or inflammation-driven carcinogenesis."
2015 Mar 17,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2015 Mar 17;112(11):3229-34. doi: ,"['Peng, Chunte Sam', 'Fedeles, Bogdan I', 'Singh, Vipender', 'Li, Deyu', 'Amariuta, Tiffany', 'Essigmann, John M', 'Tokmakoff, Andrei']","['anti-hiv agents  chemistry  toxicity', 'base sequence', 'dna chemistry genetics', 'deoxycytidine  analogs & derivatives chemistry toxicity', 'hydrogen-ion concentration', 'models, molecular', 'molecular sequence data', 'mutagenicity tests', 'mutation genetics', ' protons', 'quantum theory', 'spectroscopy, fourier transform infrared', 'stereoisomerism', 'temperature', 'water chemistry', 'kp1461', 'tautomerism', 'time-resolved spectroscopy', 'viral decay acceleration']",Two-dimensional IR spectroscopy of the anti-HIV agent KP1212 reveals protonated and neutral tautomers that influence pH-dependent mutagenicity.,"Antiviral drugs designed to accelerate viral mutation rates can drive a viral population to extinction in a process called lethal mutagenesis. One such molecule is 5,6-dihydro-5-aza-2'-deoxycytidine (KP1212), a selective mutagen that induces A-to-G and G-to-A mutations in the genome of replicating HIV. The mutagenic property of KP1212 was hypothesized to originate from its amino-imino tautomerism, which would explain its ability to base pair with either G or A. To test the multiple tautomer hypothesis, we used 2D IR spectroscopy, which offers subpicosecond time resolution and structural sensitivity to distinguish among rapidly interconverting tautomers. We identified several KP1212 tautomers and found that >60% of neutral KP1212 is present in the enol-imino form. The abundant proportion of this traditionally rare tautomer offers a compelling structure-based mechanism for pairing with adenine. Additionally, the pKa of KP1212 was measured to be 7.0, meaning a substantial population of KP1212 is protonated at physiological pH. Furthermore, the mutagenicity of KP1212 was found to increase dramatically at pH <7, suggesting a significant biological role for the protonated KP1212 molecules. Overall, our data reveal that the bimodal mutagenic properties of KP1212 result from its unique shape shifting ability that utilizes both tautomerization and protonation."
2015 Jan,"RNA (New York, N.Y.)",RNA. 2015 Jan;21(1):1-13. doi: 10.1261/rna.048371.114.,"['Singh, Vipender', 'Fedeles, Bogdan I', 'Essigmann, John M']","['aptamers, nucleotide chemistry', 'binding sites', 'biocatalysis', 'isomerism', 'models, molecular', 'oxidation-reduction', 'rna chemistry', 'rna, catalytic  chemistry', 'riboswitch', 'rna', 'riboswitches', 'ribozymes', 'tautomerism']",Role of tautomerism in RNA biochemistry.,"Heterocyclic nucleic acid bases and their analogs can adopt multiple tautomeric forms due to the presence of multiple solvent-exchangeable protons. In DNA, spontaneous formation of minor tautomers has been speculated to contribute to mutagenic mispairings during DNA replication, whereas in RNA, minor tautomeric forms have been proposed to enhance the structural and functional diversity of RNA enzymes and aptamers. This review summarizes the role of tautomerism in RNA biochemistry, specifically focusing on the role of tautomerism in catalysis of small self-cleaving ribozymes and recognition of ligand analogs by riboswitches. Considering that the presence of multiple tautomers of nucleic acid bases is a rare occurrence, and that tautomers typically interconvert on a fast time scale, methods for studying rapid tautomerism in the context of nucleic acids under biologically relevant aqueous conditions are also discussed."
