time,journal,doi_info,authors,key words,title,abstract
2024 Mar 29,NPJ biofilms and microbiomes,NPJ Biofilms Microbiomes. 2024 Mar 29;10(1):31. doi: 10.1038/s41522-024-00501-z.,"['Zhang, Jianbo', 'Huang, Yu-Ja', 'Trapecar, Martin', 'Wright, Charles', 'Schneider, Kirsten', 'Kemmitt, John', 'Hernandez-Gordillo, Victor', 'Yoon, Jun Young', 'Poyet, Mathilde', 'Alm, Eric J', 'Breault, David T', 'Trumper, David L', 'Griffith, Linda G']","['humans', ' faecalibacterium prausnitzii physiology', ' microphysiological systems', 'toll-like receptor 1', 'cytokines', 'inflammation']",An immune-competent human gut microphysiological system enables inflammation-modulation by Faecalibacterium prausnitzii.,"Crosstalk of microbes with human gut epithelia and immune cells is crucial for gut health. However, there is no existing system for a long-term co-culture of human innate immune cells with epithelium and oxygen-intolerant commensal microbes, hindering the understanding of microbe-immune interactions in a controlled manner. Here, we established a gut epithelium-microbe-immune (GuMI) microphysiological system to maintain the long-term continuous co-culture of Faecalibacterium prausnitzii/Faecalibacterium duncaniae with colonic epithelium, antigen-presenting cells (APCs, herein dendritic cells and macrophages), and CD4(+) naive T cells circulating underneath the colonic epithelium. In GuMI-APC condition, multiplex cytokine assays suggested that APCs contribute to the elevated level of cytokines and chemokines secreted into both apical and basolateral compartments compared to GuMI condition that lacks APC. In GuMI-APC with F. prausnitzii (GuMI-APC-FP), F. prausnitzii increased the transcription of pro-inflammatory genes such as toll-like receptor 1 (TLR1) and interferon alpha 1 (IFNA1) in the colonic epithelium, without a significant effect on cytokine secretion, compared to the GuMI-APC without bacteria (GuMI-APC-NB). In contrast, in the presence of CD4(+) naive T cells (GuMI-APCT-FP), TLR1, IFNA1, and IDO1 transcription levels decreased with a simultaneous increase in F. prausnitzii-induced secretion of pro-inflammatory cytokines (e.g., IL8) compared to GuMI-APC-FP that lacks T cells. These results highlight the contribution of individual innate immune cells in regulating the immune response triggered by the gut commensal F. prausnitzii. The integration of defined populations of immune cells in the gut microphysiological system demonstrated the usefulness of GuMI physiomimetic platform to study microbe-epithelial-immune interactions in healthy and disease conditions."
2023 Aug 11,"Med (New York, N.Y.)",Med. 2023 Aug 11;4(8):554-579.e9. doi: 10.1016/j.medj.2023.07.004.,"['Gnecco, Juan S', 'Brown, Alexander', 'Buttrey, Kira', 'Ives, Clara', 'Goods, Brittany A', 'Baugh, Lauren', 'Hernandez-Gordillo, Victor', 'Loring, Megan', 'Isaacson, Keith B', 'Griffith, Linda G']","['female', 'humans', 'coculture techniques', ' extracellular matrix chemistry metabolism', ' endometrium metabolism', 'peptides analysis chemistry metabolism', 'hormones analysis metabolism', 'foundational research']",Organoid co-culture model of the human endometrium in a fully synthetic extracellular matrix enables the study of epithelial-stromal crosstalk.,"BACKGROUND: The human endometrium undergoes recurring cycles of growth, differentiation, and breakdown in response to sex hormones. Dysregulation of epithelial-stromal communication during hormone-mediated signaling may be linked to myriad gynecological disorders for which treatments remain inadequate. Here, we describe a completely defined, synthetic extracellular matrix that enables co-culture of human endometrial epithelial and stromal cells in a manner that captures healthy and disease states across a simulated menstrual cycle. METHODS: We parsed cycle-dependent endometrial integrin expression and matrix composition to define candidate cell-matrix interaction cues for inclusion in a polyethylene glycol (PEG)-based hydrogel crosslinked with matrix metalloproteinase-labile peptides. We semi-empirically screened a parameter space of biophysical and molecular features representative of the endometrium to define compositions suitable for hormone-driven expansion and differentiation of epithelial organoids, stromal cells, and co-cultures of the two cell types. FINDINGS: Each cell type exhibited characteristic morphological and molecular responses to hormone changes when co-encapsulated in hydrogels tuned to a stiffness regime similar to the native tissue and functionalized with a collagen-derived adhesion peptide (GFOGER) and a fibronectin-derived peptide (PHSRN-K-RGD). Analysis of cell-cell crosstalk during interleukin 1B (IL1B)-induced inflammation revealed dysregulation of epithelial proliferation mediated by stromal cells. CONCLUSIONS: Altogether, we demonstrate the development of a fully synthetic matrix to sustain the dynamic changes of the endometrial microenvironment and support its applications to understand menstrual health and endometriotic diseases. FUNDING: This work was supported by The John and Karine Begg Foundation, the Manton Foundation, and NIH U01 (EB029132)."
2022 Dec 6,Nature communications,Nat Commun. 2022 Dec 6;13(1):7522. doi: 10.1038/s41467-022-35176-7.,"[""Dall'Agnese, Alessandra"", 'Platt, Jesse M', 'Zheng, Ming M', 'Friesen, Max', ""Dall'Agnese, Giuseppe"", 'Blaise, Alyssa M', 'Spinelli, Jessica B', 'Henninger, Jonathan E', 'Tevonian, Erin N', 'Hannett, Nancy M', 'Lazaris, Charalampos', 'Drescher, Hannah K', 'Bartsch, Lea M', 'Kilgore, Henry R', 'Jaenisch, Rudolf', 'Griffith, Linda G', 'Cisse, Ibrahim I', 'Jeppesen, Jacob F', 'Lee, Tong I', 'Young, Richard A']","['humans', 'receptor, insulin', ' insulin resistance', ' diabetes mellitus, type 2 drug therapy', 'insulin']",The dynamic clustering of insulin receptor underlies its signaling and is disrupted in insulin resistance.,"Insulin receptor (IR) signaling is central to normal metabolic control and is dysregulated in metabolic diseases such as type 2 diabetes. We report here that IR is incorporated into dynamic clusters at the plasma membrane, in the cytoplasm and in the nucleus of human hepatocytes and adipocytes. Insulin stimulation promotes further incorporation of IR into these dynamic clusters in insulin-sensitive cells but not in insulin-resistant cells, where both IR accumulation and dynamic behavior are reduced. Treatment of insulin-resistant cells with metformin, a first-line drug used to treat type 2 diabetes, can rescue IR accumulation and the dynamic behavior of these clusters. This rescue is associated with metformin's role in reducing reactive oxygen species that interfere with normal dynamics. These results indicate that changes in the physico-mechanical features of IR clusters contribute to insulin resistance and have implications for improved therapeutic approaches."
2022 May 5,Cell stem cell,Cell Stem Cell. 2022 May 5;29(5):795-809.e11. doi: 10.1016/j.stem.2022.03.015. ,"['Ma, Haiting', 'de Zwaan, Esmée', 'Guo, Yang Eric', 'Cejas, Paloma', 'Thiru, Prathapan', 'van de Bunt, Martijn', 'Jeppesen, Jacob F', 'Syamala, Sudeepa', ""Dall'Agnese, Alessandra"", 'Abraham, Brian J', 'Fu, Dongdong', 'Garrett-Engele, Carrie', 'Lee, Tong Ihn', 'Long, Henry W', 'Griffith, Linda G', 'Young, Richard A', 'Jaenisch, Rudolf']","['animals', 'cell differentiation', ' chromatin metabolism', ' hepatocytes metabolism', 'humans', 'mice', 'polymorphism, single nucleotide', 'receptors, cytoplasmic and nuclear metabolism', 'regulatory sequences, nucleic acid', '3d culture', 'epigenetics', 'hepatocytes differentiation and maturation', 'human pluripotent stem cells', 'nuclear receptors', 'pbaf', 'transcriptional regulation']",The nuclear receptor THRB facilitates differentiation of human PSCs into more mature hepatocytes.,"To understand the mechanisms regulating the in vitro maturation of hPSC-derived hepatocytes, we developed a 3D differentiation system and compared gene regulatory elements in human primary hepatocytes with those in hPSC-hepatocytes that were differentiated in 2D or 3D conditions by RNA-seq, ATAC-seq, and H3K27Ac ChIP-seq. Regulome comparisons showed a reduced enrichment of thyroid receptor THRB motifs in accessible chromatin and active enhancers without a reduced transcription of THRB. The addition of thyroid hormone T3 increased the binding of THRB to the CYP3A4 proximal enhancer, restored the super-enhancer status and gene expression of NFIC, and reduced the expression of AFP. The resultant hPSC-hepatocytes showed gene expression, epigenetic status, and super-enhancer landscape closer to primary hepatocytes and activated regulatory regions including non-coding SNPs associated with liver-related diseases. Transplanting the hPSC-hepatocytes resulted in the engraftment of human hepatocytes into the mouse liver without disrupting normal liver histology. This work implicates the environmental factor-nuclear receptor axis in regulating the maturation of hPSC-hepatocytes."
2022 Jan,Nature materials,Nat Mater. 2022 Jan;21(1):110-119. doi: 10.1038/s41563-021-01085-1. Epub 2021 Sep ,"['Below, Christopher R', 'Kelly, Joanna', 'Brown, Alexander', 'Humphries, Jonathan D', 'Hutton, Colin', 'Xu, Jingshu', 'Lee, Brian Y', 'Cintas, Celia', 'Zhang, Xiaohong', 'Hernandez-Gordillo, Victor', 'Stockdale, Linda', 'Goldsworthy, Matthew A', 'Geraghty, Joe', 'Foster, Lucy', ""O'Reilly, Derek A"", 'Schedding, Barbara', 'Askari, Janet', 'Burns, Jessica', 'Hodson, Nigel', 'Smith, Duncan L', 'Lally, Catherine', 'Ashton, Garry', 'Knight, David', 'Mironov, Aleksandr', 'Banyard, Antonia', 'Eble, Johannes A', 'Morton, Jennifer P', 'Humphries, Martin J', 'Griffith, Linda G', 'Jørgensen, Claus']","[' adenocarcinoma metabolism', 'animals', 'extracellular matrix', 'humans', 'hydrogels metabolism', 'mice', 'organoids', ' pancreatic neoplasms metabolism pathology', 'tumor microenvironment']",A microenvironment-inspired synthetic three-dimensional model for pancreatic ductal adenocarcinoma organoids.,"Experimental in vitro models that capture pathophysiological characteristics of human tumours are essential for basic and translational cancer biology. Here, we describe a fully synthetic hydrogel extracellular matrix designed to elicit key phenotypic traits of the pancreatic environment in culture. To enable the growth of normal and cancerous pancreatic organoids from genetically engineered murine models and human patients, essential adhesive cues were empirically defined and replicated in the hydrogel scaffold, revealing a functional role of laminin-integrin α(3)/α(6) signalling in establishment and survival of pancreatic organoids. Altered tissue stiffness-a hallmark of pancreatic cancer-was recapitulated in culture by adjusting the hydrogel properties to engage mechano-sensing pathways and alter organoid growth. Pancreatic stromal cells were readily incorporated into the hydrogels and replicated phenotypic traits characteristic of the tumour environment in vivo. This model therefore recapitulates a pathologically remodelled tumour microenvironment for studies of normal and pancreatic cancer cells in vitro."
2021 Aug,Nature protocols,Nat Protoc. 2021 Aug;16(8):3874-3900. doi: 10.1038/s41596-021-00562-w. Epub 2021 ,"['Zhang, Jianbo', 'Hernandez-Gordillo, Victor', 'Trapecar, Martin', 'Wright, Charles', 'Taketani, Mao', 'Schneider, Kirsten', 'Chen, Wen Li Kelly', 'Stas, Eric', 'Breault, David T', 'Carrier, Rebecca L', 'Voigt, Christopher A', 'Griffith, Linda G']","['bacteroides thetaiotaomicron  physiology', 'coculture techniques methods', 'colon  cytology', 'epithelial cells  physiology', 'humans', 'intestinal mucosa  cytology', 'organoids']",Coculture of primary human colon monolayer with human gut bacteria.,"The presence of microbes in the colon impacts host physiology. Therefore, microbes are being evaluated as potential treatments for colorectal diseases. Humanized model systems that enable robust culture of primary human intestinal cells with bacteria facilitate evaluation of potential treatments. Here, we describe a protocol that can be used to coculture a primary human colon monolayer with aerotolerant bacteria. Primary human colon cells maintained as organoids are dispersed into single-cell suspensions and then seeded on collagen-coated Transwell inserts, where they attach and proliferate to form confluent monolayers within days of seeding. The confluent monolayers are differentiated for an additional 4 d and then cocultured with bacteria. As an example application, we describe how to coculture differentiated colon cells for 8 h with four strains of Bacteroides thetaiotaomicron, each engineered to detect different colonic microenvironments via genetically embedded logic circuits incorporating deoxycholic acid and anhydrotetracycline sensors. Characterization of this coculture system reveals that barrier function remains intact in the presence of engineered B. thetaiotaomicron. The bacteria stay close to the mucus layer and respond in a microenvironment-specific manner to the inducers (deoxycholic acid and anhydrotetracycline) of the genetic circuits. This protocol thus provides a useful mucosal barrier system to assess the effects of bacterial cells that respond to the colonic microenvironment, and may also be useful in other contexts to model human intestinal barrier properties and microbiota-host interactions."
2021 Jan,Science advances,Sci Adv. 2021 Jan 29;7(5):eabd1707. doi: 10.1126/sciadv.abd1707. Print 2021 Jan.,"['Trapecar, Martin', 'Wogram, Emile', 'Svoboda, Devon', 'Communal, Catherine', 'Omer, Attya', 'Lungjangwa, Tenzin', 'Sphabmixay, Pierre', 'Velazquez, Jason', 'Schneider, Kirsten', 'Wright, Charles W', 'Mildrum, Samuel', 'Hendricks, Austin', 'Levine, Stuart', 'Muffat, Julien', 'Lee, Meelim Jasmine', 'Lauffenburger, Douglas A', 'Trumper, David', 'Jaenisch, Rudolf', 'Griffith, Linda G']","['brain metabolism', 'humans', ' induced pluripotent stem cells', 'liver metabolism', ' neurodegenerative diseases etiology metabolism', ' parkinson disease genetics metabolism']","Human physiomimetic model integrating microphysiological systems of the gut, liver, and brain for studies of neurodegenerative diseases.","Slow progress in the fight against neurodegenerative diseases (NDs) motivates an urgent need for highly controlled in vitro systems to investigate organ-organ- and organ-immune-specific interactions relevant for disease pathophysiology. Of particular interest is the gut/microbiome-liver-brain axis for parsing out how genetic and environmental factors contribute to NDs. We have developed a mesofluidic platform technology to study gut-liver-cerebral interactions in the context of Parkinson's disease (PD). It connects microphysiological systems (MPSs) of the primary human gut and liver with a human induced pluripotent stem cell-derived cerebral MPS in a systemically circulated common culture medium containing CD4(+) regulatory T and T helper 17 cells. We demonstrate this approach using a patient-derived cerebral MPS carrying the PD-causing A53T mutation, gaining two important findings: (i) that systemic interaction enhances features of in vivo-like behavior of cerebral MPSs, and (ii) that microbiome-associated short-chain fatty acids increase expression of pathology-associated pathways in PD."
2021 Jan,Biomaterials,Biomaterials. 2021 Jan;264:120231. doi: 10.1016/j.biomaterials.2020.120231. Epub ,"['Sofman, Marianna', 'Brown, Alexander', 'Griffith, Linda G', 'Hammond, Paula T']","['cells, cultured', ' endothelial cells', 'humans', 'hydrogels', 'ligands', 'microspheres', ' polymers', 'angiogenesis', 'biomaterials', 'microbead', 'poly(ethylene glycol) hydrogel', 'scaffold', 'tissue engineering']",A modular polymer microbead angiogenesis scaffold to characterize the effects of adhesion ligand density on angiogenic sprouting.,"Three-dimensional micro-physiological in vitro representations of human tissues and organs are emerging as important models of human pathophysiology and stand to make a significant impact on the process of drug discovery and development. An enduring need is to create microvascular networks within such 3D models, particularly for tissues with high metabolic demand such as the liver, pancreas, and the central nervous system. Here we report a facile approach to drive angiogenesis in nascent 3D culture models by embedding degradable hydrogel microbeads coated with induced pluripotent stem cell-derived endothelial cells (MB-iPSC-ECs) in a dense epithelial tissue. Specifically, we describe an approach to optimize microbead scaffold cues, independent of the external environment, by evaluating the iPSC-EC to microbead adhesion properties and how they influence the propensity of cells to both coat microbeads uniformly and undergo sprouting angiogenesis. We encapsulated MB-iPSC-ECs in PEG hydrogels, systematically varied the relative concentration of integrin-targeting peptide motifs in the microbead and surrounding environment, and found that an optimal microbead scaffold ligand regime of 0.1-0.25 mM promotes iPSC-EC monolayer formation and subsequent invasion into the synthetic matrix. We used these results to predict the regime of adhesion ligand required to promote angiogenesis of MB-iPSC-ECs in a co-culture hepatocarcinoma (HEPG2) microtissue model. This modular degradable microbead platform has the potential to promote angiogenic sprouting, which may ultimately support vascularization of a variety of cell-dense tissues."
2020 Sep,Biomaterials,Biomaterials. 2020 Sep;254:120125. doi: 10.1016/j.biomaterials.2020.120125. Epub ,"['Hernandez-Gordillo, Victor', 'Kassis, Timothy', 'Lampejo, Arinola', 'Choi, GiHun', 'Gamboa, Mario E', 'Gnecco, Juan S', 'Brown, Alexander', 'Breault, David T', 'Carrier, Rebecca', 'Griffith, Linda G']","['endometrium', 'female', 'humans', ' intestines', ' organoids', 'reproducibility of results', 'stem cells', 'adult stem cells', 'bioinspired material', 'ecm', 'integrins', 'organoid']",Fully synthetic matrices for in vitro culture of primary human intestinal enteroids and endometrial organoids.,"Epithelial organoids derived from human donor tissues are important tools in fields ranging from regenerative medicine to drug discovery. Organoid culture requires expansion of stem/progenitor cells in Matrigel, a tumor-derived extracellular matrix (ECM). An alternative completely synthetic ECM could improve reproducibility, clarify mechanistic phenomena, and enable human implantation of organoids. We designed synthetic ECMs with tunable biomolecular and biophysical properties to identify gel compositions supporting human tissue-derived stem/progenitor epithelial cells as enteroids and organoids starting with single cells rather than tissue fragments. The synthetic ECMs consist of 8-arm PEG-macromers modified with ECM-binding peptides and different combinations of integrin-binding peptides, crosslinked with peptides susceptible to matrix metalloprotease (MMP) degradation, and tuned to exhibit a range of biophysical properties. A gel containing an α2β1 integrin-binding peptide (GFOGER) and matrix binder peptides grafted to a 20 kDa 8-arm PEG macromer showed the most robust support of human duodenal and colon enteroids and endometrial organoids. In this synthetic ECM, human intestinal enteroids and endometrial organoids emerge from single cells and show cell-specific and apicobasal polarity markers upon differentiation. Intestinal enteroids, in addition, retain their proliferative capacity, are functionally responsive to basolateral stimulation, express canonical markers of intestinal crypt cells including Paneth cells, and can be serially passaged. The success of this synthetic ECM in supporting human postnatal organoid culture from multiple different donors and from both the intestine and endometrium suggests it may be broadly useful for other epithelial organoid culture."
2020 Mar 25,Cell systems,Cell Syst. 2020 Mar 25;10(3):223-239.e9. doi: 10.1016/j.cels.2020.02.008. Epub ,"['Trapecar, Martin', 'Communal, Catherine', 'Velazquez, Jason', 'Maass, Christian Alexander', 'Huang, Yu-Ja', 'Schneider, Kirsten', 'Wright, Charles W', 'Butty, Vincent', 'Eng, George', 'Yilmaz, Omer', 'Trumper, David', 'Griffith, Linda G']","['biomimetics methods', 'fatty acids, volatile  metabolism', 'gastrointestinal microbiome physiology', 'gastrointestinal tract  metabolism', 'homeostasis', 'humans', 'inflammation metabolism', 'inflammatory bowel diseases immunology metabolism physiopathology', 'intestinal mucosa metabolism', 'liver  metabolism', 'models, biological', 't-lymphocytes, regulatory immunology', 'th17 cells immunology', 'ibd', 'th17', 'treg', 'autoimmune hepatitis', 'gut-liver axis', 'immunometabolism', 'microphysiological system', 'physiomimetics', 'short-chain fatty acids', 'ulcerative colitis']",Gut-Liver Physiomimetics Reveal Paradoxical Modulation of IBD-Related Inflammation by Short-Chain Fatty Acids.,"Although the association between the microbiome and IBD and liver diseases is known, the cause and effect remain elusive. By connecting human microphysiological systems of the gut, liver, and circulating Treg and Th17 cells, we created a multi-organ model of ulcerative colitis (UC) ex vivo. The approach shows microbiome-derived short-chain fatty acids (SCFAs) to either improve or worsen UC severity, depending on the involvement of effector CD4 T cells. Using multiomics, we found SCFAs increased production of ketone bodies, glycolysis, and lipogenesis, while markedly reducing innate immune activation of the UC gut. However, during acute T cell-mediated inflammation, SCFAs exacerbated CD4(+) T cell-effector function, partially through metabolic reprograming, leading to gut barrier disruption and hepatic injury. These paradoxical findings underscore the emerging utility of human physiomimetic technology in combination with systems immunology to study causality and the fundamental entanglement of immunity, metabolism, and tissue homeostasis."
