time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Nature materials,Nat Mater. 2024 Jun;23(6):735-736. doi: 10.1038/s41563-024-01906-z.,"['Lei, Kewen', 'Irvine, Darrell J']",[],A mobile home for T cells.,
2024 Jun 18,Cell reports. Medicine,Cell Rep Med. 2024 Jun 18;5(6):101587. doi: 10.1016/j.xcrm.2024.101587. Epub 2024 ,"['Edwards, Kristina R', 'Schmidt, Karina', 'Homad, Leah J', 'Kher, Gargi M', 'Xu, Guoyue', 'Rodrigues, Kristen A', 'Ben-Akiva, Elana', 'Abbott, Joe', 'Prlic, Martin', 'Newell, Evan W', 'De Rosa, Stephen C', 'Irvine, Darrell J', 'Pancera, Marie', 'McGuire, Andrew T']","['animals', ' macaca mulatta', ' nanoparticles chemistry', ' herpesvirus 4, human immunology', ' lymphocryptovirus immunology', ' vaccination methods', ' antibodies, neutralizing immunology', 'antibodies, viral immunology', 'epstein-barr virus infections immunology prevention & control virology', 'viral vaccines immunology administration & dosage', 'adjuvants, immunologic administration & dosage pharmacology', 'humans', 'herpesviridae infections prevention & control immunology virology', 'epstein-barr virus', 'adjuvants', 'challenge studies', 'nanoparticles', 'neutralizing antibodies', 'rhesus lymphocryptovirus', 'vaccines']",Vaccination with nanoparticles displaying gH/gL from Epstein-Barr virus elicits limited cross-protection against rhesus lymphocryptovirus.,"Epstein-Barr virus (EBV) is associated with infectious mononucleosis, cancer, and multiple sclerosis. A vaccine that prevents infection and/or EBV-associated morbidity is an unmet need. The viral gH/gL glycoprotein complex is essential for infectivity, making it an attractive vaccine target. Here, we evaluate the immunogenicity of a gH/gL nanoparticle vaccine adjuvanted with the Sigma Adjuvant System (SAS) or a saponin/monophosphoryl lipid A nanoparticle (SMNP) in rhesus macaques. Formulation with SMNP elicits higher titers of neutralizing antibodies and more vaccine-specific CD4(+) T cells. All but one animal in the SMNP group were infected after oral challenge with the EBV ortholog rhesus lymphocryptovirus (rhLCV). Their immune plasma had a 10- to 100-fold lower reactivity against rhLCV gH/gL compared to EBV gH/gL. Anti-EBV neutralizing monoclonal antibodies showed reduced binding to rhLCV gH/gL, demonstrating that EBV gH/gL neutralizing epitopes are poorly conserved on rhLCV gH/gL. Prevention of rhLCV infection despite antigenic disparity supports clinical development of gH/gL nanoparticle vaccines against EBV."
2023 May 15,"Chemical engineering journal (Lausanne, Switzerland : 1996)",Chem Eng J. 2023 May 15;464:142664. doi: 10.1016/j.cej.2023.142664. Epub 2023 Mar ,"['Pires, Ivan S', 'Ni, Kaiyuan', 'Melo, Mariane Bandeira', 'Li, Na', 'Ben-Akiva, Elana', 'Maiorino, Laura', 'Dye, Jonathan', 'Rodrigues, Kristen A', 'Yun, DongSoo', 'Kim, Byungji', 'Hosn, Ryan R', 'Hammond, Paula T', 'Irvine, Darrell J']","['smnp', 'adjuvants', 'immune stimulating complexes', 'monophosphoryl lipid a', 'saponin', 'tangential flow filtration', 'vaccines']",Controlled Lipid Self-Assembly for Scalable Manufacturing of Next-Generation Immune Stimulating Complexes.,"Immune stimulating complexes (ISCOMs) are safe and effective saponin-based adjuvants formed by the self-assembly of saponin, cholesterol, and phospholipids in water to form cage-like 30-40 nm diameter particles. Inclusion of the Toll-like receptor 4 agonist monophosphoryl lipid A (MPLA) in ISCOM particles yields a promising next-generation adjuvant termed Saponin-MPLA NanoParticles (SMNP). In this work, we detail protocols to produce ISCOMs or SMNP via a tangential flow filtration (TFF) process suitable for scalable synthesis and Good Manufacturing Practice (GMP) production of clinical-grade adjuvants. SMNP or ISCOM components were solubilized in micelles of the surfactant MEGA-10, then diluted below the critical micelle concentration (CMC) of the surfactant to drive ISCOM self-assembly. Assembly of ISCOM/SMNP particles using the purified saponin QS-21 used in clinical-grade saponin adjuvants was found to require controlled stepwise dilution of the initial micellar solution, to prevent formation of undesirable kinetically-trapped aggregate species. An optimized protocol gave yields of ~77% based on the initial feed of QS-21 and the final SMNP particle composition mirrored the feed ratios of the components. Further, samples were highly homogeneous with comparable quality to that of material prepared at lab scale by dialysis and purified via size-exclusion chromatography. This protocol may be useful for clinical preparation of ISCOM-based vaccine adjuvants and therapeutics."
2024 Apr 24,ACS central science,ACS Cent Sci. 2024 Mar 6;10(4):793-802. doi: 10.1021/acscentsci.3c01544. ,"['Truex, Nicholas L', 'Mohapatra, Somesh', 'Melo, Mariane', 'Rodriguez, Jacob', 'Li, Na', 'Abraham, Wuhbet', 'Sementa, Deborah', 'Touti, Faycal', 'Keskin, Derin B', 'Wu, Catherine J', 'Irvine, Darrell J', 'Gómez-Bombarelli, Rafael', 'Pentelute, Bradley L']",[],Design of Cytotoxic T Cell Epitopes by Machine Learning of Human Degrons.,"Antigen processing is critical for therapeutic vaccines to generate epitopes for priming cytotoxic T cell responses against cancer and pathogens, but insufficient processing often limits the quantity of epitopes released. We address this challenge using machine learning to ascribe a proteasomal degradation score to epitope sequences. Epitopes with varying scores were translocated into cells using nontoxic anthrax proteins. Epitopes with a low score show pronounced immunogenicity due to antigen processing, but epitopes with a high score show limited immunogenicity. This work sheds light on the sequence-activity relationships between proteasomal degradation and epitope immunogenicity. We anticipate that future efforts to incorporate proteasomal degradation signals into vaccine designs will lead to enhanced cytotoxic T cell priming by these vaccines in clinical settings."
2024 Jan 18,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 18:2024.01.18.575711. doi: ,"['Lensch, Valerie', 'Gabba, Adele', 'Hincapie, Robert', 'Bhagchandani, Sachin H', 'Basak, Ankit', 'Alam, Mohammad Murshid', 'Irvine, Darrell J', 'Shalek, Alex K', 'Johnson, Jeremiah A', 'Finn, M G', 'Kiessling, Laura L']",[],Glycan-costumed virus-like particles promote type 1 anti-tumor immunity.,"Cancer vaccine development is inhibited by a lack of strategies for directing dendritic cell (DC) induction of effective tumor-specific cellular immunity. Pathogen engagement of DC lectins and toll-like receptors (TLRs) shapes immunity by directing T cell function. Strategies to activate specific DC signaling pathways via targeted receptor engagement are crucial to unlocking type 1 cellular immunity. Here, we engineered a glycan-costumed virus-like particle (VLP) vaccine that delivers programmable peptide antigens to induce tumor-specific cellular immunity in vivo. VLPs encapsulating TLR7 agonists and decorated with a selective mannose-derived ligand for the lectin DC-SIGN induced robust DC activation and type 1 cellular immunity, whereas VLPs lacking this key DC-SIGN ligand failed to promote DC-mediated immunity. Vaccination with glycan-costumed VLPs generated tumor antigen-specific Th1 CD4(+) and CD8(+) T cells that infiltrated solid tumors, inhibiting tumor growth in a murine melanoma model. Thus, VLPs employing lectin-driven immune reprogramming provide a framework for advancing cancer immunotherapies."
2024 Jan 3,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 3:2024.01.03.573641. doi: 10.1101/2024.01.03.573641.,"['Santollani, Luciano', 'Zhang, Yiming J', 'Maiorino, Laura', 'Palmeri, Joseph R', 'Stinson, Jordan A', 'Duhamel, Lauren R', 'Qureshi, Kashif', 'Suggs, Jack R', 'Porth, Owen T', 'Pinney, William 3rd', 'Msari, Riyam Al', 'Wittrup, K Dane', 'Irvine, Darrell J']",[],Local delivery of cell surface-targeted immunocytokines programs systemic anti-tumor immunity.,"Cytokine therapies are potent immunotherapy agents but exhibit severe dose-limiting toxicities. One strategy to overcome this involves engineering cytokines for intratumoral retention following local delivery. Here, we develop a localized cytokine therapy that elicits profound anti-tumor immunity by engineered targeting to the ubiquitous leukocyte receptor CD45. We designed CD45-targeted immunocytokines (αCD45-Cyt) that, upon injection, decorated the surface of leukocytes in the tumor and tumor-draining lymph node (TDLN) without systemic exposure. αCD45-Cyt therapy eradicated both directly treated tumors and untreated distal lesions in multiple syngeneic mouse tumor models. Mechanistically, αCD45-Cyt triggered prolonged pSTAT signaling and reprogrammed tumor-specific CD8(+) T cells in the TDLN to exhibit an anti-viral transcriptional signature. CD45 anchoring represents a broad platform for protein retention by host immune cells for use in immunotherapy."
2023 Nov 21,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 21:2023.11.20.563479. doi: ,"['Bhagchandani, Sachin H', 'Yang, Leerang', 'Maiorino, Laura', 'Ben-Akiva, Elana', 'Rodrigues, Kristen A', 'Romanov, Anna', 'Suh, Heikyung', 'Aung, Aereas', 'Wu, Shengwei', 'Wadhera, Anika', 'Chakraborty, Arup K', 'Irvine, Darrell J']",[],"Two-dose ""extended priming"" immunization amplifies humoral immune responses by synchronizing vaccine delivery with the germinal center response.","""Extended priming"" immunization regimens that prolong exposure of the immune system to vaccines during the primary immune response have shown promise in enhancing humoral immune responses to a variety of subunit vaccines in preclinical models. We previously showed that escalating-dosing immunization (EDI), where a vaccine is dosed every other day in an increasing pattern over 2 weeks dramatically amplifies humoral immune responses. But such a dosing regimen is impractical for prophylactic vaccines. We hypothesized that simpler dosing regimens might replicate key elements of the immune response triggered by EDI. Here we explored ""reduced ED"" immunization regimens, assessing the impact of varying the number of injections, dose levels, and dosing intervals during EDI. Using a stabilized HIV Env trimer as a model antigen combined with a potent saponin adjuvant, we found that a two-shot extended-prime regimen consisting of immunization with 20% of a given vaccine dose followed by a second shot with the remaining 80% of the dose 7 days later resulted in increased total GC B cells, 5-10-fold increased frequencies of antigen-specific GC B cells, and 10-fold increases in serum antibody titers compared to single bolus immunization. Computational modeling of the GC response suggested that this enhanced response is mediated by antigen delivered in the second dose being captured more efficiently as immune complexes in follicles, predictions we verified experimentally. Our computational and experimental results also highlight how properly designed reduced ED protocols enhance activation and antigen loading of dendritic cells and activation of T helper cells to amplify humoral responses. These results suggest that a two-shot priming approach can be used to substantially enhance responses to subunit vaccines."
2023 Dec 11,Cancer cell,Cancer Cell. 2023 Dec 11;41(12):2100-2116.e10. doi: 10.1016/j.ccell.2023.11.004. ,"['Bergaggio, Elisa', 'Tai, Wei-Tien', 'Aroldi, Andrea', 'Mecca, Carmen', 'Landoni, Elisa', 'Nüesch, Manuel', 'Mota, Ines', 'Metovic, Jasna', 'Molinaro, Luca', 'Ma, Leyuan', 'Alvarado, Diego', 'Ambrogio, Chiara', 'Voena, Claudia', 'Blasco, Rafael B', 'Li, Tongqing', 'Klein, Daryl', 'Irvine, Darrell J', 'Papotti, Mauro', 'Savoldo, Barbara', 'Dotti, Gianpietro', 'Chiarle, Roberto']","['humans', 'anaplastic lymphoma kinase genetics metabolism', ' neuroblastoma drug therapy genetics metabolism', 'protein kinase inhibitors pharmacology therapeutic use', 'antigens, neoplasm', 't-lymphocytes', 'cell line, tumor', 'alk', 'adoptive t\xa0cell therapy', 'cell engineering', 'cellular immunity', 'chimeric antigen receptors', 'lorlatinib', 'neuroblastoma', 'solid tumors', 'tyrosine kinase inhibitors']",ALK inhibitors increase ALK expression and sensitize neuroblastoma cells to ALK.CAR-T cells.,"Selection of the best tumor antigen is critical for the therapeutic success of chimeric antigen receptor (CAR) T cells in hematologic malignancies and solid tumors. The anaplastic lymphoma kinase (ALK) receptor is expressed by most neuroblastomas while virtually absent in most normal tissues. ALK is an oncogenic driver in neuroblastoma and ALK inhibitors show promising clinical activity. Here, we describe the development of ALK.CAR-T cells that show potent efficacy in monotherapy against neuroblastoma with high ALK expression without toxicity. For neuroblastoma with low ALK expression, combination with ALK inhibitors specifically potentiates ALK.CAR-T cells but not GD2.CAR-T cells. Mechanistically, ALK inhibitors impair tumor growth and upregulate the expression of ALK, thereby facilitating the activity of ALK.CAR-T cells against neuroblastoma. Thus, while neither ALK inhibitors nor ALK.CAR-T cells will likely be sufficient as monotherapy in neuroblastoma with low ALK density, their combination specifically enhances therapeutic efficacy."
2023 Nov 4,Nature communications,Nat Commun. 2023 Nov 4;14(1):7107. doi: 10.1038/s41467-023-42923-x.,"['Phung, Ivy', 'Rodrigues, Kristen A', 'Marina-Zárate, Ester', 'Maiorino, Laura', 'Pahar, Bapi', 'Lee, Wen-Hsin', 'Melo, Mariane', 'Kaur, Amitinder', 'Allers, Carolina', 'Fahlberg, Marissa', 'Grasperge, Brooke F', 'Dufour, Jason P', 'Schiro, Faith', 'Aye, Pyone P', 'Lopez, Paul G', 'Torres, Jonathan L', 'Ozorowski, Gabriel', 'Eskandarzadeh, Saman', 'Kubitz, Michael', 'Georgeson, Erik', 'Groschel, Bettina', 'Nedellec, Rebecca', 'Bick, Michael', 'Kaczmarek Michaels, Katarzyna', 'Gao, Hongmei', 'Shen, Xiaoying', 'Carnathan, Diane G', 'Silvestri, Guido', 'Montefiori, David C', 'Ward, Andrew B', 'Hangartner, Lars', 'Veazey, Ronald S', 'Burton, Dennis R', 'Schief, William R', 'Irvine, Darrell J', 'Crotty, Shane']","['animals', ' immunity, humoral', 'germinal center', 'adjuvants, immunologic pharmacology', 'antigens', 'primates', 'antibodies, neutralizing', ' hiv infections', 'hiv antibodies', 'env gene products, human immunodeficiency virus']",A combined adjuvant approach primes robust germinal center responses and humoral immunity in non-human primates.,"Adjuvants and antigen delivery kinetics can profoundly influence B cell responses and should be critically considered in rational vaccine design, particularly for difficult neutralizing antibody targets such as human immunodeficiency virus (HIV). Antigen kinetics can change depending on the delivery method. To promote extended immunogen bioavailability and to present antigen in a multivalent form, native-HIV Env trimers are modified with short phosphoserine peptide linkers that promote tight binding to aluminum hydroxide (pSer:alum). Here we explore the use of a combined adjuvant approach that incorporates pSer:alum-mediated antigen delivery with potent adjuvants (SMNP, 3M-052) in an extensive head-to-head comparison study with conventional alum to assess germinal center (GC) and humoral immune responses. Priming with pSer:alum plus SMNP induces additive effects that enhance the magnitude and persistence of GCs, which correlate with better GC-T(FH) cell help. Autologous HIV-neutralizing antibody titers are improved in SMNP-immunized animals after two immunizations. Over 9 months after priming immunization of pSer:alum with either SMNP or 3M-052, robust Env-specific bone marrow plasma cells (BM B(PC)) are observed. Furthermore, pSer-modification of Env trimer reduce targeting towards immunodominant non-neutralizing epitopes. The study shows that a combined adjuvant approach can augment humoral immunity by modulating immunodominance and shows promise for clinical translation."
2023 Oct 4,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Oct 4:2023.10.02.560434. doi: 10.1101/2023.10.02.560434.,"['Mandal, Srishti', 'Melo, Mariane', 'Gordiichuk, Pavlo', 'Acharya, Sayanti', 'Poh, Yeh-Chuin', 'Li, Na', 'Aung, Aereas', 'Dane, Eric L', 'Irvine, Darrell J', 'Kumari, Sudha']","['actin cytoskeleton', 'cytotoxic t cell activation', 'mechanosensing', 'tumor cytotoxicity', 'wiskott-aldrich syndrome protein']",WASP facilitates tumor mechanosensitivity in T lymphocytes.,"Cytotoxic T lymphocytes (CTLs) carry out immunosurveillance by scanning target cells of diverse physical properties for the presence of antigens. While the recognition of cognate antigen by the T cell receptor is the primary signal for CTL activation, it has become increasingly clear that the mechanical stiffness of target cells plays an important role in antigen-triggered T cell responses. However, the molecular machinery within CTLs that transduces the mechanical information of tumor cells remains unclear. We find that CTL's mechanosensitive ability requires the activity of the actin-organizing protein Wiskott-Aldrich Syndrome Protein (WASP). WASP activation is modulated by the mechanical properties of antigen-presenting contexts across a wide range of target cell stiffnesses and activated WASP then mediates mechanosensitive activation of early TCR signaling markers in the CTL. Our results provide a molecular link between antigen mechanosensing and CTL immune response and suggest that CTL-intrinsic cytoskeletal organizing principles enable the processing of mechanical information from diverse target cells."
