time,journal,doi_info,authors,key words,title,abstract
2024 Apr 11,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 11:2024.01.23.576863. doi: ,"['Singer, Avinoam', 'Ramos, Alejandra', 'Keating, Amy E']","['binding specificity', 'evh1', 'ena vasp', 'homer', 'peptide library', 'protein evolution', 'short linear motif']",Elaboration of the Homer1 Recognition Landscape Reveals Incomplete Divergence of Paralogous EVH1 Domains.,"Short sequences that mediate interactions with modular binding domains are ubiquitous throughout eukaryotic proteomes. Networks of Short Linear Motifs (SLiMs) and their corresponding binding domains orchestrate many cellular processes, and the low mutational barrier to evolving novel interactions provides a way for biological systems to rapidly sample selectable phenotypes. Mapping SLiM binding specificity and the rules that govern SLiM evolution is fundamental to uncovering the pathways regulated by these networks and developing the tools to manipulate them. We used high-throughput screening of the human proteome to identify sequences that bind to the Enabled/VASP homology 1 (EVH1) domain of the postsynaptic density scaffolding protein Homer1. In doing so, we expanded current understanding of the determinants of Homer EVH1 binding preferences and defined a new motif that can facilitate the discovery of additional Homer-mediated interactions. Interestingly, the Homer1 EVH1 domain preferentially binds to sequences containing an N-terminally overlapping motif that is bound by the paralogous family of Ena/VASP actin polymerases, and many of these sequences can bind to EVH1 domains from both protein families. We provide evidence from orthologous EVH1 domains in pre-metazoan organisms that the overlap in human Ena/VASP and Homer binding preferences corresponds to an incomplete divergence from a common Ena/VASP ancestor. Given this overlap in binding profiles, promiscuous sequences that can be recognized by both families either achieve specificity through extrinsic regulatory strategies or may provide functional benefits via multi-specificity. This may explain why these paralogs incompletely diverged despite the accessibility of further diverged isoforms."
2023 Mar 2,"Structure (London, England : 1993)",Structure. 2023 Mar 2;31(3):265-281.e7. doi: 10.1016/j.str.2023.01.001. Epub 2023 ,"['Aguilar, Fiona', 'Yu, Stacey', 'Grant, Robert A', 'Swanson, Sebastian', 'Ghose, Dia', 'Su, Bonnie G', 'Sarosiek, Kristopher A', 'Keating, Amy E']","['humans', ' proto-oncogene proteins chemistry', ' apoptosis regulatory proteins chemistry', 'bcl-2-like protein 11', 'bcl-x protein metabolism', 'bcl-2 homologous antagonist-killer protein chemistry metabolism', 'apoptosis physiology', 'peptides', 'bcl-2-associated x protein metabolism', 'proto-oncogene proteins c-bcl-2 chemistry', 'bak activation', 'bak inhibitor', 'bh3 peptides', 'bh3 profiling', 'apoptosis', 'binding kinetics', 'peptide design']",Peptides from human BNIP5 and PXT1 and non-native binders of pro-apoptotic BAK can directly activate or inhibit BAK-mediated membrane permeabilization.,"Apoptosis is important for development and tissue homeostasis, and its dysregulation can lead to diseases, including cancer. As an apoptotic effector, BAK undergoes conformational changes that promote mitochondrial outer membrane disruption, leading to cell death. This is termed ""activation"" and can be induced by peptides from the human proteins BID, BIM, and PUMA. To identify additional peptides that can regulate BAK, we used computational protein design, yeast surface display screening, and structure-based energy scoring to identify 10 diverse new binders. We discovered peptides from the human proteins BNIP5 and PXT1 and three non-native peptides that activate BAK in liposome assays and induce cytochrome c release from mitochondria. Crystal structures and binding studies reveal a high degree of similarity among peptide activators and inhibitors, ruling out a simple function-determining property. Our results shed light on the vast peptide sequence space that can regulate BAK function and will guide the design of BAK-modulating tools and therapeutics."
2022 Nov,Protein science : a publication of the Protein Society,Protein Sci. 2022 Nov;31(11):e4429. doi: 10.1002/pro.4429.,"['Halpin, Jackson C', 'Whitney, Dustin', 'Rigoldi, Federica', 'Sivaraman, Venkat', 'Singer, Avinoam', 'Keating, Amy E']","['humans', ' tnf receptor-associated factor 6 metabolism', 'amino acid sequence', 'models, molecular', 'protein binding', ' peptides chemistry', 'traf6', 'binding specificity', 'inhibitor', 'molecular modeling', 'peptide library', 'short linear motif']",Molecular determinants of TRAF6 binding specificity suggest that native interaction partners are not optimized for affinity.,"TRAF6 is an adaptor protein involved in signaling pathways that are essential for development and the immune system. It participates in many protein-protein interactions, some of which are mediated by the C-terminal MATH domain, which binds to short peptide segments containing the motif PxExx[FYWHDE], where x is any amino acid. Blocking MATH domain interactions is associated with favorable effects in various disease models. To better define TRAF6 MATH domain binding preferences, we screened a combinatorial library using bacterial cell-surface peptide display. We identified 236 of the best TRAF6-interacting peptides and a set of 1,200 peptides that match the sequence PxE but do not bind TRAF6 MATH. The peptides that were most enriched in the screen bound TRAF6 tighter than previously measured native peptides. To better understand the structural basis for TRAF6 interaction preferences, we built all-atom structural models of the MATH domain in complex with high-affinity binders and nonbinders identified in the screen. We identified favorable interactions for motif features in binders as well as negative design elements distributed across the motif that can disfavor or preclude binding. Searching the human proteome revealed that the most biologically relevant TRAF6 motif matches occupy a different sequence space from the best hits discovered in combinatorial library screening, suggesting that native interactions are not optimized for affinity. Our experimentally determined binding preferences and structural models support the design of peptide-based interaction inhibitors with higher affinities than endogenous TRAF6 ligands."
2021 Aug,Current opinion in structural biology,Curr Opin Struct Biol. 2021 Aug;69:63-69. doi: 10.1016/j.sbi.2021.03.009. Epub ,"['Frappier, Vincent', 'Keating, Amy E']","[' computational biology', ' proteins genetics', 'sequence alignment']",Data-driven computational protein design.,"Computational protein design can generate proteins not found in nature that adopt desired structures and perform novel functions. Although proteins could, in theory, be designed with ab initio methods, practical success has come from using large amounts of data that describe the sequences, structures, and functions of existing proteins and their variants. We present recent creative uses of multiple-sequence alignments, protein structures, and high-throughput functional assays in computational protein design. Approaches range from enhancing structure-based design with experimental data to building regression models to training deep neural nets that generate novel sequences. Looking ahead, deep learning will be increasingly important for maximizing the value of data for protein design."
2020 Dec 10,Cell,Cell. 2020 Dec 10;183(6):1682-1698.e24. doi: 10.1016/j.cell.2020.10.035. Epub ,"['Linghu, Changyang', 'Johnson, Shannon L', 'Valdes, Pablo A', 'Shemesh, Or A', 'Park, Won Min', 'Park, Demian', 'Piatkevich, Kiryl D', 'Wassie, Asmamaw T', 'Liu, Yixi', 'An, Bobae', 'Barnes, Stephanie A', 'Celiker, Orhan T', 'Yao, Chun-Chen', 'Yu, Chih-Chieh Jay', 'Wang, Ru', 'Adamala, Katarzyna P', 'Bear, Mark F', 'Keating, Amy E', 'Boyden, Edward S']","['animals', 'calcium metabolism', 'cyclic amp metabolism', 'cyclic amp-dependent protein kinases metabolism', 'female', 'fluorescent dyes  metabolism', ' genes, reporter', 'green fluorescent proteins metabolism', 'hela cells', 'hippocampus metabolism', 'humans', 'mice', 'neurons metabolism', ' optical imaging', 'peptides metabolism', 'proteins metabolism', 'pyramidal cells metabolism', ' signal transduction', 'camp', 'calcium imaging', 'fluorescent reporters', 'live-cell imaging', 'protein kinase', 'protein scaffold', 'signal transduction', 'signaling pathway', 'signaling reporter islands', 'spatial multiplexing']",Spatial Multiplexing of Fluorescent Reporters for Imaging Signaling Network Dynamics.,"In order to analyze how a signal transduction network converts cellular inputs into cellular outputs, ideally one would measure the dynamics of many signals within the network simultaneously. We found that, by fusing a fluorescent reporter to a pair of self-assembling peptides, it could be stably clustered within cells at random points, distant enough to be resolved by a microscope but close enough to spatially sample the relevant biology. Because such clusters, which we call signaling reporter islands (SiRIs), can be modularly designed, they permit a set of fluorescent reporters to be efficiently adapted for simultaneous measurement of multiple nodes of a signal transduction network within single cells. We created SiRIs for indicators of second messengers and kinases and used them, in hippocampal neurons in culture and intact brain slices, to discover relationships between the speed of calcium signaling, and the amplitude of PKA signaling, upon receiving a cAMP-driving stimulus."
2020 Aug 5,Neuron,Neuron. 2020 Aug 5;107(3):470-486.e11. doi: 10.1016/j.neuron.2020.05.029. Epub ,"['Shemesh, Or A', 'Linghu, Changyang', 'Piatkevich, Kiryl D', 'Goodwin, Daniel', 'Celiker, Orhan Tunc', 'Gritton, Howard J', 'Romano, Michael F', 'Gao, Ruixuan', 'Yu, Chih-Chieh Jay', 'Tseng, Hua-An', 'Bensussen, Seth', 'Narayan, Sujatha', 'Yang, Chao-Tsung', 'Freifeld, Limor', 'Siciliano, Cody A', 'Gupta, Ishan', 'Wang, Joyce', 'Pak, Nikita', 'Yoon, Young-Gyu', 'Ullmann, Jeremy F P', 'Guner-Ataman, Burcu', 'Noamany, Habiba', 'Sheinkopf, Zoe R', 'Park, Won Min', 'Asano, Shoh', 'Keating, Amy E', 'Trimmer, James S', 'Reimer, Jacob', 'Tolias, Andreas S', 'Bear, Mark F', 'Tye, Kay M', 'Han, Xue', 'Ahrens, Misha B', 'Boyden, Edward S']","['animals', 'artifacts', 'brain  diagnostic imaging metabolism pathology', 'calcium  metabolism', 'calcium-binding proteins', 'cell body metabolism  pathology', 'green fluorescent proteins', 'mice', 'neurons metabolism  pathology', 'neuropil', 'optical imaging  methods', 'zebrafish', 'gcamp6', 'gcamp7', 'calcium imaging', 'correlation', 'crosstalk', 'in vivo imaging', 'microscopy', 'neuropil contamination', 'soma-targeting', 'two-photon microscopy']",Precision Calcium Imaging of Dense Neural Populations via a Cell-Body-Targeted Calcium Indicator.,"Methods for one-photon fluorescent imaging of calcium dynamics can capture the activity of hundreds of neurons across large fields of view at a low equipment complexity and cost. In contrast to two-photon methods, however, one-photon methods suffer from higher levels of crosstalk from neuropil, resulting in a decreased signal-to-noise ratio and artifactual correlations of neural activity. We address this problem by engineering cell-body-targeted variants of the fluorescent calcium indicators GCaMP6f and GCaMP7f. We screened fusions of GCaMP to natural, as well as artificial, peptides and identified fusions that localized GCaMP to within 50 μm of the cell body of neurons in mice and larval zebrafish. One-photon imaging of soma-targeted GCaMP in dense neural circuits reported fewer artifactual spikes from neuropil, an increased signal-to-noise ratio, and decreased artifactual correlation across neurons. Thus, soma-targeting of fluorescent calcium indicators facilitates usage of simple, powerful, one-photon methods for imaging neural calcium dynamics."
2019 Apr 2,"Structure (London, England : 1993)",Structure. 2019 Apr 2;27(4):606-617.e5. doi: 10.1016/j.str.2019.01.008. Epub 2019 ,"['Frappier, Vincent', 'Jenson, Justin M', 'Zhou, Jianfu', 'Grigoryan, Gevorg', 'Keating, Amy E']","['amino acid sequence', 'binding sites', 'cloning, molecular', 'crystallography, x-ray', 'gene expression', 'genetic vectors chemistry metabolism', 'humans', 'minor histocompatibility antigens  chemistry genetics metabolism', 'molecular docking simulation', 'myeloid cell leukemia sequence 1 protein antagonists &', 'peptides  chemistry genetics metabolism', 'protein binding', 'protein conformation, alpha-helical', 'protein engineering', 'protein interaction domains and motifs', 'protein structure, tertiary', 'proto-oncogene proteins c-bcl-2 antagonists &', 'recombinant proteins chemistry genetics metabolism', 'saccharomyces cerevisiae genetics metabolism', 'sequence alignment', 'structure-activity relationship', 'thermodynamics', 'bh3 motif', 'bcl-2 proteins', 'apoptosis', 'inhibitor', 'interaction specificity', 'protein-protein interactions', 'structure-based design', 'tertiary motif']",Tertiary Structural Motif Sequence Statistics Enable Facile Prediction and Design of Peptides that Bind Anti-apoptotic Bfl-1 and Mcl-1.,"Understanding the relationship between protein sequence and structure well enough to design new proteins with desired functions is a longstanding goal in protein science. Here, we show that recurring tertiary structural motifs (TERMs) in the PDB provide rich information for protein-peptide interaction prediction and design. TERM statistics can be used to predict peptide binding energies for Bcl-2 family proteins as accurately as widely used structure-based tools. Furthermore, design using TERM energies (dTERMen) rapidly and reliably generates high-affinity peptide binders of anti-apoptotic proteins Bfl-1 and Mcl-1 with just 15%-38% sequence identity to any known native Bcl-2 family protein ligand. High-resolution structures of four designed peptides bound to their targets provide opportunities to analyze the strengths and limitations of the computational design method. Our results support dTERMen as a powerful approach that can complement existing tools for protein engineering."
2018 Oct 30,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2018 Oct 30;115(44):E10342-E10351. doi: ,"['Jenson, Justin M', 'Xue, Vincent', 'Stretz, Lindsey', 'Mandal, Tirtha', 'Reich, Lothar Luther', 'Keating, Amy E']","['animals', 'apoptosis regulatory proteins metabolism', 'cell line', 'escherichia coli metabolism', 'humans', 'mice', 'myeloid cell leukemia sequence 1 protein metabolism', 'peptides  chemistry  metabolism', 'protein binding physiology', 'protein engineering methods', 'proto-oncogene proteins c-bcl-2 metabolism', 'yeasts metabolism', 'bcl-x protein metabolism', 'bcl-2 inhibitor', 'energy landscape', 'machine learning', 'peptide design', 'protein–protein interactions']",Peptide design by optimization on a data-parameterized protein interaction landscape.,"Many applications in protein engineering require optimizing multiple protein properties simultaneously, such as binding one target but not others or binding a target while maintaining stability. Such multistate design problems require navigating a high-dimensional space to find proteins with desired characteristics. A model that relates protein sequence to functional attributes can guide design to solutions that would be hard to discover via screening. In this work, we measured thousands of protein-peptide binding affinities with the high-throughput interaction assay amped SORTCERY and used the data to parameterize a model of the alpha-helical peptide-binding landscape for three members of the Bcl-2 family of proteins: Bcl-x(L), Mcl-1, and Bfl-1. We applied optimization protocols to explore extremes in this landscape to discover peptides with desired interaction profiles. Computational design generated 36 peptides, all of which bound with high affinity and specificity to just one of Bcl-x(L), Mcl-1, or Bfl-1, as intended. We designed additional peptides that bound selectively to two out of three of these proteins. The designed peptides were dissimilar to known Bcl-2-binding peptides, and high-resolution crystal structures confirmed that they engaged their targets as expected. Excellent results on this challenging problem demonstrate the power of a landscape modeling approach, and the designed peptides have potential uses as diagnostic tools or cancer therapeutics."
2018 Aug,Protein science : a publication of the Protein Society,Protein Sci. 2018 Aug;27(8):1535-1537. doi: 10.1002/pro.3431.,"['Frappier, Vincent', 'Duran, Madeleine', 'Keating, Amy E']",[],PixelDB: Protein-peptide complexes annotated with structural conservation of the peptide binding mode.,
2018 Jan 30,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2018 Jan 30;115(5):E886-E895. doi: ,"['Rezaei Araghi, Raheleh', 'Bird, Gregory H', 'Ryan, Jeremy A', 'Jenson, Justin M', 'Godes, Marina', 'Pritz, Jonathan R', 'Grant, Robert A', 'Letai, Anthony', 'Walensky, Loren D', 'Keating, Amy E']","['animals', 'binding sites', 'cell line', 'cell survival', 'circular dichroism', 'crystallography, x-ray', 'cytoplasm metabolism', 'drug design', 'humans', 'hydrophobic and hydrophilic interactions', 'inhibitory concentration 50', 'mice', 'mutation', 'myeloid cell leukemia sequence 1 protein  metabolism', 'neoplasms  metabolism', 'peptides  chemistry', 'protein binding', 'protein interaction mapping', 'spectrometry, fluorescence', 'bh3 mimetic', 'mcl-1', 'apoptosis', 'inhibitor', 'stapled peptide']",Iterative optimization yields Mcl-1-targeting stapled peptides with selective cytotoxicity to Mcl-1-dependent cancer cells.,"Bcl-2 family proteins regulate apoptosis, and aberrant interactions of overexpressed antiapoptotic family members such as Mcl-1 promote cell transformation, cancer survival, and resistance to chemotherapy. Discovering potent and selective Mcl-1 inhibitors that can relieve apoptotic blockades is thus a high priority for cancer research. An attractive strategy for disabling Mcl-1 involves using designer peptides to competitively engage its binding groove, mimicking the structural mechanism of action of native sensitizer BH3-only proteins. We transformed Mcl-1-binding peptides into α-helical, cell-penetrating constructs that are selectively cytotoxic to Mcl-1-dependent cancer cells. Critical to the design of effective inhibitors was our introduction of an all-hydrocarbon cross-link or ""staple"" that stabilizes α-helical structure, increases target binding affinity, and independently confers binding specificity for Mcl-1 over related Bcl-2 family paralogs. Two crystal structures of complexes at 1.4 Å and 1.9 Å resolution demonstrate how the hydrophobic staple induces an unanticipated structural rearrangement in Mcl-1 upon binding. Systematic sampling of staple location and iterative optimization of peptide sequence in accordance with established design principles provided peptides that target intracellular Mcl-1. This work provides proof of concept for the development of potent, selective, and cell-permeable stapled peptides for therapeutic targeting of Mcl-1 in cancer, applying a design and validation workflow applicable to a host of challenging biomedical targets."
