time,journal,doi_info,authors,key words,title,abstract
2020 Sep,Experimental hematology,Exp Hematol. 2020 Sep;89:1-12. doi: 10.1016/j.exphem.2020.08.005. Epub 2020 Aug ,"['Lodish, Harvey F']","['cloning, molecular', 'erythrocytes metabolism pathology', 'erythroid precursor cells cytology  metabolism', 'erythropoiesis genetics', 'gene expression', 'hematology  history', 'history, 20th century', 'history, 21st century', 'humans', 'molecular biology  history', 'receptors, erythropoietin genetics  history metabolism', 'recombinant proteins genetics metabolism', 'alpha-globins genetics metabolism', 'beta-globins genetics metabolism', 'beta-thalassemia  genetics metabolism pathology']",Over 60 Years of Experimental Hematology (without a License).,"I am deeply honored to receive the International Society for Experimental Hematology (ISEH) 2020 Donald Metcalf Lecture Award. Although I am not a physician and have had no formal training in hematology, I have had the privilege of working with some of the top hematologists in the world, beginning in 1970 when Dr. David Nathan was a sabbatical visitor in my laboratory and introduced me to hematological diseases. And I take this award to be given not just to me but to an exceptional group of MD and PhD trainees and visitors in my laboratory who have cloned and characterized many proteins and RNAs important for red cell development and function. Many of these projects involved taking exceptionally large risks in developing and employing novel experimental technologies. Unsurprisingly, all of these trainees have gone on to become leaders in hematology and, more broadly, in molecular cell biology and molecular medicine. To illustrate some of the challenges we have faced and the technologies we had to develop, I have chosen several of our multiyear projects to describe in some detail: elucidating the regulation of translation of α- and β-globin mRNAs and the defect in beta thalassemia in the 1970s; cloning the Epo receptor and several red cell membrane proteins in the 1980s and 1990s; and more recently, determining the function of many microRNAs and long noncoding RNAs in red cell development. I summarize how we are currently utilizing single-cell transcriptomics (scRNAseq) to understand how dividing transit-amplifying burst-forming unit erythroid progenitors balance the need for more progenitor cells with the need for terminally differentiated erythroid cells, and to identify drugs potentially useful in treating Epo-resistant anemias such as Diamond Blackfan anemia. I hope that the lessons I learned in managing these diverse fellows and projects, initially without having grants to support them, will be helpful to others who would like to undertake ambitious and important lines of research in hematology."
2020 Jun 30,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2020 Jun 30;117(26):15055-15065. doi: ,"['Jiang, Mengxi', 'Chavarria, Tony E', 'Yuan, Bingbing', 'Lodish, Harvey F', 'Huang, Nai-Jia']","['adipocytes, brown enzymology metabolism', 'adipose tissue, brown enzymology  physiology', 'animals', 'cold temperature', 'mice', 'mice, inbred c57bl', 'mice, knockout', 'phosphoric monoester hydrolases deficiency  genetics', 'phosphorylcholine  metabolism', ' thermogenesis', 'phospho1', 'adipose', 'phosphocholine', 'thermogenesis']",Phosphocholine accumulation and PHOSPHO1 depletion promote adipose tissue thermogenesis.,"Phosphocholine phosphatase-1 (PHOSPHO1) is a phosphocholine phosphatase that catalyzes the hydrolysis of phosphocholine (PC) to choline. Here we demonstrate that the PHOSPHO1 transcript is highly enriched in mature brown adipose tissue (BAT) and is further induced by cold and isoproterenol treatments of BAT and primary brown adipocytes. In defining the functional relevance of PHOPSPHO1 in BAT thermogenesis and energy metabolism, we show that PHOSPHO1 knockout mice are cold-tolerant, with higher expression of thermogenic genes in BAT, and are protected from high-fat diet-induced obesity and development of insulin resistance. Treatment of mice with the PHOSPHO1 substrate phosphocholine is sufficient to induce cold tolerance, thermogenic gene expression, and allied metabolic benefits. Our results reveal a role of PHOSPHO1 as a negative regulator of BAT thermogenesis, and inhibition of PHOSPHO1 or enhancement of phosphocholine represent innovative approaches to manage the metabolic syndrome."
2019 Apr 8,Developmental cell,Dev Cell. 2019 Apr 8;49(1):118-129.e7. doi: 10.1016/j.devcel.2019.01.026. Epub ,"['Li, Hojun', 'Natarajan, Anirudh', 'Ezike, Jideofor', 'Barrasa, M Inmaculada', 'Le, Yenthanh', 'Feder, Zoë A', 'Yang, Huan', 'Ma, Clement', 'Markoulaki, Styliani', 'Lodish, Harvey F']","['animals', 'blood cells cytology  metabolism', 'cell differentiation genetics', 'cell division genetics', 'cell proliferation  genetics', 'cells, cultured', 'erythrocytes cytology metabolism', 'erythroid cells cytology metabolism', 'erythroid precursor cells cytology  metabolism', 'erythropoiesis genetics', 'glucocorticoids genetics', 'hematopoiesis  genetics', 'high-throughput nucleotide sequencing methods', 'mice', 'single-cell analysis methods', 'transcriptome genetics', 'erythropoiesis', 'hematopoiesis', 'progenitor cell', 'self-renewal', 'single-cell transcriptomics', 'transit-amplification']",Rate of Progression through a Continuum of Transit-Amplifying Progenitor Cell States Regulates Blood Cell Production.,"The nature of cell-state transitions during the transit-amplifying phases of many developmental processes-hematopoiesis in particular-is unclear. Here, we use single-cell RNA sequencing to demonstrate a continuum of transcriptomic states in committed transit-amplifying erythropoietic progenitors, which correlates with a continuum of proliferative potentials in these cells. We show that glucocorticoids enhance erythrocyte production by slowing the rate of progression through this developmental continuum of transit-amplifying progenitors, permitting more cell divisions prior to terminal erythroid differentiation. Mechanistically, glucocorticoids prolong expression of genes that antagonize and slow induction of genes that drive terminal erythroid differentiation. Erythroid progenitor daughter cell pairs have similar transcriptomes with or without glucocorticoid stimulation, indicating largely symmetric cell division. Thus, the rate of progression along a developmental continuum dictates the absolute number of erythroid cells generated from each transit-amplifying progenitor, suggesting a paradigm for regulating the total output of differentiated cells in numerous other developmental processes."
2017 Dec 13,Nature communications,Nat Commun. 2017 Dec 13;8(1):2115. doi: 10.1038/s41467-017-02162-3.,"['Knoll, Marko', 'Winther, Sally', 'Natarajan, Anirudh', 'Yang, Huan', 'Jiang, Mengxi', 'Thiru, Prathapan', 'Shahsafaei, Aliakbar', 'Chavarria, Tony E', 'Lamming, Dudley W', 'Sun, Lei', 'Hansen, Jacob B', 'Lodish, Harvey F']","['adipocytes, brown cytology  enzymology', 'adipose tissue, brown  metabolism', 'animals', ' cell differentiation', 'cell proliferation', 'cells, cultured', 'humans', 'male', 'mice, inbred c57bl', 'mice, knockout', 'syk kinase genetics  metabolism', 'uncoupling protein 1 genetics metabolism']",SYK kinase mediates brown fat differentiation and activation.,"Brown adipose tissue (BAT) metabolism influences glucose homeostasis and metabolic health in mice and humans. Sympathetic stimulation of β-adrenergic receptors in response to cold induces proliferation, differentiation, and UCP1 expression in pre-adipocytes and mature brown adipocytes. Here we show that spleen tyrosine kinase (SYK) is upregulated during brown adipocyte differentiation and activated by β-adrenergic stimulation. Deletion or inhibition of SYK, a kinase known for its essential roles in the immune system, blocks brown and white pre-adipocyte proliferation and differentiation in vitro, and results in diminished expression of Ucp1 and other genes regulating brown adipocyte function in response to β-adrenergic stimulation. Adipocyte-specific SYK deletion in mice reduces BAT mass and BAT that developed consisted of SYK-expressing brown adipocytes that had escaped homozygous Syk deletion. SYK inhibition in vivo represses β-agonist-induced thermogenesis and oxygen consumption. These results establish SYK as an essential mediator of brown fat formation and function."
2017 Nov 1,Molecular biology of the cell,Mol Biol Cell. 2017 Nov 1;28(22):2908-2910. doi: 10.1091/mbc.E17-07-0481.,"['Lodish, Harvey F']","['humans', 'laboratories', 'mentoring  trends', 'mentors', 'personnel selection  methods', 'research personnel']",Fifty years of mentoring and advising.,"Advancement of science depends on thoughtfully mentoring a rare group of scientists that are highly educated, creative, and motivated-and that come from every country in the world. On the basis of my own experiences, I suggest ways to recruit top young scientists of both genders, support their development into leading researchers, and advise them about careers inside and outside of academia. Creating a family-friendly environment within the laboratory and the institution is crucial to these efforts."
2017 Sep 4,Nature communications,Nat Commun. 2017 Sep 4;8(1):423. doi: 10.1038/s41467-017-00448-0.,"['Huang, Nai-Jia', 'Pishesha, Novalia', 'Mukherjee, Jean', 'Zhang, Sicai', 'Deshycka, Rhogerry', 'Sudaryo, Valentino', 'Dong, Min', 'Shoemaker, Charles B', 'Lodish, Harvey F']","['animals', 'antibodies, neutralizing administration & dosage genetics metabolism', 'botulinum toxins, type a metabolism  toxicity', 'botulism etiology therapy', 'erythrocyte transfusion', 'erythrocytes  metabolism virology', 'erythroid precursor cells metabolism transplantation virology', ' genetic engineering', 'genetic vectors genetics metabolism', 'glycophorins genetics metabolism', 'humans', 'membrane glycoproteins genetics metabolism', 'metalloendopeptidases genetics metabolism', 'mice', 'mice, inbred c57bl', 'retroviridae genetics metabolism', 'single-domain antibodies administration & dosage  genetics metabolism']",Genetically engineered red cells expressing single domain camelid antibodies confer long-term protection against botulinum neurotoxin.,"A short half-life in the circulation limits the application of therapeutics such as single-domain antibodies (VHHs). We utilize red blood cells to prolong the circulatory half-life of VHHs. Here we present VHHs against botulinum neurotoxin A (BoNT/A) on the surface of red blood cells by expressing chimeric proteins of VHHs with Glycophorin A or Kell. Mice whose red blood cells carry the chimeric proteins exhibit resistance to 10,000 times the lethal dose (LD(50)) of BoNT/A, and transfusion of these red blood cells into naive mice affords protection for up to 28 days. We further utilize an improved CD34+ culture system to engineer human red blood cells that express these chimeric proteins. Mice transfused with these red blood cells are resistant to highly lethal doses of BoNT/A. We demonstrate that engineered red blood cells expressing VHHs can provide prolonged prophylactic protection against bacterial toxins without inducing inhibitory immune responses and illustrates the potentially broad translatability of our strategy for therapeutic applications.The therapeutic use of single-chain antibodies (VHHs) is limited by their short half-life in the circulation. Here the authors engineer mouse and human red blood cells to express VHHs against botulinum neurotoxin A (BoNT/A) on their surface and show that an infusion of these cells into mice confers long lasting protection against a high dose of BoNT/A."
2017 Sep 19,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2017 Sep 19;114(38):10107-10112. doi: ,"['Gao, Xiaofei', 'Lee, Hsiang-Ying', 'Li, Wenbo', 'Platt, Randall Jeffrey', 'Barrasa, M Inmaculada', 'Ma, Qi', 'Elmes, Russell R', 'Rosenfeld, Michael G', 'Lodish, Harvey F']","['animals', ' cell differentiation', 'chromatin genetics metabolism', 'genome-wide association study', 'humans', 'mice', 'mice, knockout', 'nuclear receptor coactivators genetics  metabolism', 'reticulocytes  metabolism', 'thyroid hormone receptors beta genetics  metabolism', 'thyroid hormones genetics  metabolism', 'ncoa4', 'erythropoiesis', 'nuclear receptor', 'thyroid hormone']",Thyroid hormone receptor beta and NCOA4 regulate terminal erythrocyte differentiation.,"An effect of thyroid hormone (TH) on erythropoiesis has been known for more than a century but the molecular mechanism(s) by which TH affects red cell formation is still elusive. Here we demonstrate an essential role of TH during terminal human erythroid cell differentiation; specific depletion of TH from the culture medium completely blocked terminal erythroid differentiation and enucleation. Treatment with TRβ agonists stimulated premature erythroblast differentiation in vivo and alleviated anemic symptoms in a chronic anemia mouse model by regulating erythroid gene expression. To identify factors that cooperate with TRβ during human erythroid terminal differentiation, we conducted RNA-seq in human reticulocytes and identified nuclear receptor coactivator 4 (NCOA4) as a critical regulator of terminal differentiation. Furthermore, Ncoa4(-/-) mice are anemic in perinatal periods and fail to respond to TH by enhanced erythropoiesis. Genome-wide analysis suggests that TH promotes NCOA4 recruitment to chromatin regions that are in proximity to Pol II and are highly associated with transcripts abundant during terminal differentiation. Collectively, our results reveal the molecular mechanism by which TH functions during red blood cell formation, results that are potentially useful to treat certain anemias."
2017 Jun 20,Cell reports,Cell Rep. 2017 Jun 20;19(12):2503-2514. doi: 10.1016/j.celrep.2017.05.082.,"['Alvarez-Dominguez, Juan R', 'Knoll, Marko', 'Gromatzky, Austin A', 'Lodish, Harvey F']","['animals', 'cells, cultured', 'enhancer elements, genetic', 'erythrocytes  physiology', 'erythroid cells metabolism', ' erythropoiesis', 'gene expression regulation', 'humans', 'mice', 'rna, long noncoding  physiology', 'transcription, genetic', 'enhancer rna', 'erythropoiesis', 'long non-coding rna', 'red blood cell', 'super-enhancer']",The Super-Enhancer-Derived alncRNA-EC7/Bloodlinc Potentiates Red Blood Cell Development in trans.,"Enhancer-derived RNAs are thought to act locally by contributing to their parent enhancer function. Whether large domains of clustered enhancers (super-enhancers) also produce cis-acting RNAs, however, remains unclear. Unlike typical enhancers, super-enhancers form large spans of robustly transcribed chromatin, amassing capped and polyadenylated RNAs that are sufficiently abundant to sustain trans functions. Here, we show that one such RNA, alncRNA-EC7/Bloodlinc, is transcribed from a super-enhancer of the erythroid membrane transporter SLC4A1/BAND3 but diffuses beyond this site. Bloodlinc localizes to trans-chromosomal loci encoding critical regulators and effectors of terminal erythropoiesis and directly binds chromatin-organizing and transcription factors, including the chromatin attachment factor HNRNPU. Inhibiting Bloodlinc or Hnrnpu compromises the terminal erythropoiesis gene program, blocking red cell production, whereas expressing Bloodlinc ectopically stimulates this program and can promote erythroblast proliferation and enucleation in the absence of differentiation stimuli. Thus, Bloodlinc is a trans-acting super-enhancer RNA that potentiates red blood cell development."
2017 Mar 21,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2017 Mar 21;114(12):3157-3162. doi: ,"['Pishesha, Novalia', 'Bilate, Angelina M', 'Wibowo, Marsha C', 'Huang, Nai-Jia', 'Li, Zeyang', 'Deshycka, Rhogerry', 'Bousbaine, Djenet', 'Li, Hojun', 'Patterson, Heide C', 'Dougan, Stephanie K', 'Maruyama, Takeshi', 'Lodish, Harvey F', 'Ploegh, Hidde L']","['antigen-specific tolerance', 'autoimmune diseases', 'engineered red blood cells', 'sortase']",Engineered erythrocytes covalently linked to antigenic peptides can protect against autoimmune disease.,"Current therapies for autoimmune diseases rely on traditional immunosuppressive medications that expose patients to an increased risk of opportunistic infections and other complications. Immunoregulatory interventions that act prophylactically or therapeutically to induce antigen-specific tolerance might overcome these obstacles. Here we use the transpeptidase sortase to covalently attach disease-associated autoantigens to genetically engineered and to unmodified red blood cells as a means of inducing antigen-specific tolerance. This approach blunts the contribution to immunity of major subsets of immune effector cells (B cells, CD4(+) and CD8(+) T cells) in an antigen-specific manner. Transfusion of red blood cells expressing self-antigen epitopes can alleviate and even prevent signs of disease in experimental autoimmune encephalomyelitis, as well as maintain normoglycemia in a mouse model of type 1 diabetes."
2017 Mar 7,Nature biotechnology,Nat Biotechnol. 2017 Mar 7;35(3):204-206. doi: 10.1038/nbt.3824.,"['Levin, Jeremy M', 'Holtzman, Steven H', 'Maraganore, John', 'Hastings, Paul J', 'Cohen, Ron', 'Dahiyat, Bassil', 'Adams, Julian', 'Adams, Chris', 'Ahrens, Brett', 'Albers, Jeff', 'Aspinall, Mara G', 'Audia, James E', 'Babler, Martin', 'Barrett, Peter', 'Barry, Zoe', 'Bermingham, Nessan', 'Bloch, Stephen', 'Blum, Robert I', 'Bolno, Paul B', 'Bonney, Michael W', 'Booth, Bruce', 'Bradbury, Daniel M', 'Brauer, Steven K', 'Byers, Brook', 'Cagnoni, Pablo J', 'Cali, Brian M', 'Ciechanover, Isaac', 'Clark, Chip', 'Clayman, Michael D', 'Cleland, Jeff L', 'Cobb, Paula', 'Cooper, Ron', 'Currie, Mark G', 'Diekman, John', 'Dobmeier, Eric L', 'Doerfler, Doug', 'Donley, Elizabeth Lr', 'Dunsire, Deborah', 'During, Matthew', 'Eckstein, Jens W', 'Elenko, Eric', 'Exter, Neil A', 'Fleming, Jonathan J', 'Flesher, Gregory J', 'Formela, Jean-Francois', 'Forrester, Robert', 'Francois, Cedric', 'Franklin, Heather', 'Freeman, Mason W', 'Furst, Howard', 'Gage, Leonard Patrick', 'Galakatos, Nicholas', 'Gallagher, Brian M', 'Geraghty, James A', 'Gill, Simba', 'Goeddel, David V', 'Goldsmith, Mark A', 'Gowen, Maxine', 'Goyal, Vikas', 'Graney, Tom', 'Grayzel, David', 'Greene, Barry', 'Grint, Paul', 'Gutierrez-Ramos, J C', 'Haney, Bill', 'Ha-Ngoc, Tuan', 'Harris, Tim', 'Hasnain, Faheem', 'Hata, Yujiro Steve', 'Hecht, Peter', 'Henshaw, Leslie', 'Heyman, Rich', 'Hoppenot, Herve', 'Horvitz, H Robert', 'Hughes, Thomas E', 'Hutton, Wende S', 'Isaacs, Stephen T', 'Jenkins, Annalisa', 'Jonker, Jeff', 'Kaplan, Jeff', 'Karsen, Perry', 'Keiper, Jeb', 'Kim, Jean', 'Kindler, Jeff', 'King, Rachel', 'King, Vanessa', 'Kjellson, Nina', 'Koenig, Scott', 'Koenig, Gerhard', 'Kolchinsky, Peter', 'Laikind, Paul', 'Langer, Robert Bob', 'Lee, John J', 'Leff, Jonathan S', 'Leicher, Bruce A', 'Leschly, Nick', 'Levin, Andrew', 'Levin, Mark', 'Levine, Arnold J', 'Levy, Alan', 'Liu, David R', 'Lodish, Harvey F', 'Lopatin, Uri', 'Love, Ted W', 'Macdonald, Guy', 'Maderis, Gail J', 'Mahadevia, Ankit', 'Mahanthappa, Nagesh K', 'Martin, Joel F', 'Martin, Alex', 'Martucci, W Eddie', 'McArthur, James G', 'McCann, Corey M', 'McCarthy, Sean A', 'McDonough, C Geoffrey', 'Mendlein, John', 'Miller, Larry', 'Miralles, Diego', 'Moch, Kenneth I', 'More, Bob', 'Myers, Andrew G', 'Narachi, Michael A', 'Nashat, Amir', 'Nelson, Wendy', 'Newell, William J', 'Olle, Bernat', 'Osborn, John E', 'Owens, Julia C', 'Pande, Atul', 'Papadopoulos, Stelios', 'Parker, H Stewart', 'Parmar, Kush M', 'Patterson, Matthew R', 'Paul, Steve M', 'Perez, Rob', 'Perry, Matthew', 'Pfeffer, Cary G', 'Powell, Mike', 'Pruzanski, Mark', 'Purcell, Dennis J', 'Rakhit, Amit', 'Ramamoorthi, Kartik', 'Rastetter, William', 'Rawcliffe, Adrian Ad', 'Reid, Laurence E', 'Renaud, Ron C', 'Rhodes, Jason P', 'Rieflin, William J', 'Robins, Chad', 'Rocklage, Scott M', 'Rosenblatt, Michael', 'Rosin, Jonathan G', 'Rutter, William J', 'Saha, Saurabh', 'Samuels, Camille', 'Sato, Vicki L', 'Scangos, George', 'Scarlett, John A', 'Schenkein, David', 'Schreiber, Stuart L', 'Schwab, Andrew', 'Sekhri, Paul', 'Shah, Rajeev', 'Shenk, Thomas', 'Siegall, Clay B', 'Simon, Nick J', 'Simonian, Nancy', 'Stein, Jeff', 'Su, Michael', 'Szela, Mary T', 'Taglietti, Marco', 'Tandon, Nina', 'Termeer, Henri', 'Thornberry, Nancy A', 'Tolar, Martin', 'Ulevitch, Richard', 'Vaishnaw, Akshay K', 'VanLent, Anne', 'Varsavsky, Martin', 'Vlasuk, George P', 'Vounatsos, Michel', 'Waksal, Samuel G', 'Warma, Neil', 'Watts, Ryan J', 'Werber, Yaron', 'Westphal, Christoph', 'Wierenga, Wendell', 'Williams, Doug E', 'Williams, Lewis Rusty', 'Xanthopoulos, Kleanthis G', 'Zohar, Daphne', 'Zweifach, Sandford Sandy']","['biotechnology  legislation & jurisprudence', 'emigration and immigration  legislation & jurisprudence', 'humans', 'population dynamics', 'public policy  legislation & jurisprudence']",US immigration order strikes against biotech.,
