time,journal,doi_info,authors,key words,title,abstract
2022 Sep,Trends in parasitology,Trends Parasitol. 2022 Sep;38(9):722-723. doi: 10.1016/j.pt.2022.07.004. Epub ,"['McLean, Kyle Jarrod', 'Niles, Jacquin C']","['gene expression regulation', ' plasmodium falciparum genetics', ' transcription factors genetics', 'apiap2', 'hdp1', 'plasmodium falciparum', 'gametocytes', 'gametocytogenesis', 'transcription factor']",A transcription factor helps Plasmodium falciparum gametocytogenesis take shape.,The recent study by Campelo Morillo et al. has shown that one of the small number of non-ApiAP2 DNA-binding proteins in the Plasmodium falciparum genome acts as a transcription factor in the gametocytogenesis cascade and is responsible for the gametocyte's distinctive morphology.
2022 Jul 13,Nature communications,Nat Commun. 2022 Jul 13;13(1):4067. doi: 10.1038/s41467-022-31741-2.,"['Chew, Marvin', 'Ye, Weijian', 'Omelianczyk, Radoslaw Igor', 'Pasaje, Charisse Flerida', 'Hoo, Regina', 'Chen, Qingfeng', 'Niles, Jacquin C', 'Chen, Jianzhu', 'Preiser, Peter']","['animals', 'antigens, protozoan', 'antigens, surface metabolism', 'erythrocytes parasitology', ' malaria, falciparum parasitology', 'mice', ' plasmodium falciparum metabolism', 'protozoan proteins metabolism']",Selective expression of variant surface antigens enables Plasmodium falciparum to evade immune clearance in vivo.,"Plasmodium falciparum has developed extensive mechanisms to evade host immune clearance. Currently, most of our understanding is based on in vitro studies of individual parasite variant surface antigens and how this relates to the processes in vivo is not well-understood. Here, we have used a humanized mouse model to identify parasite factors important for in vivo growth. We show that upregulation of the specific PfEMP1, VAR2CSA, provides the parasite with protection from macrophage phagocytosis and clearance in the humanized mice. Furthermore, parasites adapted to thrive in the humanized mice show reduced NK cell-mediated killing through interaction with the immune inhibitory receptor, LILRB1. Taken together, these findings reveal new insights into the molecular and cellular mechanisms that the parasite utilizes to coordinate immune escape in vivo. Identification and targeting of these specific parasite variant surface antigens crucial for immune evasion provides a unique approach for therapy."
2022 Feb,The CRISPR journal,CRISPR J. 2022 Feb;5(1):155-164. doi: 10.1089/crispr.2021.0069.,"['Cárdenas, Pablo', 'Esherick, Lisl Y', 'Chambonnier, Gaël', 'Dey, Sumanta', 'Turlo, Christopher V', 'Nasamu, Armiyaw Sebastian', 'Niles, Jacquin C']","['animals', 'crispr-cas systems genetics', 'gene editing', 'humans', ' malaria, falciparum genetics parasitology', ' parasites genetics', 'plasmodium falciparum genetics']","GeneTargeter: Automated In Silico Design for Genome Editing in the Malaria Parasite, Plasmodium falciparum.","Functional characterization of the multitude of poorly described proteins in the human malarial pathogen, Plasmodium falciparum, requires tools to enable genome-scale perturbation studies. Here, we present GeneTargeter (genetargeter.mit.edu), a software tool for automating the design of homology-directed repair donor vectors to achieve gene knockouts, conditional knockdowns, and epitope tagging of P. falciparum genes. We demonstrate GeneTargeter-facilitated genome-scale design of six different types of knockout and conditional knockdown constructs for the P. falciparum genome and validate the computational design process experimentally with successful donor vector assembly and transfection. The software's modular nature accommodates arbitrary destination vectors and allows customizable designs that extend the genome manipulation outcomes attainable in Plasmodium and other organisms."
2021 Oct 8,ACS infectious diseases,ACS Infect Dis. 2021 Oct 8;7(10):2764-2776. doi: 10.1021/acsinfecdis.1c00322. ,"['Forte, Barbara', 'Ottilie, Sabine', 'Plater, Andrew', 'Campo, Brice', 'Dechering, Koen J', 'Gamo, Francisco Javier', 'Goldberg, Daniel E', 'Istvan, Eva S', 'Lee, Marcus', 'Lukens, Amanda K', 'McNamara, Case W', 'Niles, Jacquin C', 'Okombo, John', 'Pasaje, Charisse Flerida A', 'Siegel, Miles G', 'Wirth, Dyann', 'Wyllie, Susan', 'Fidock, David A', 'Baragaña, Beatriz', 'Winzeler, Elizabeth A', 'Gilbert, Ian H']","[' antimalarials', 'drug discovery', 'humans', ' malaria drug therapy', ' plasmodium', 'plasmodium', 'drug discovery', 'malaria', 'molecular targets']",Prioritization of Molecular Targets for Antimalarial Drug Discovery.,"There is a shift in antimalarial drug discovery from phenotypic screening toward target-based approaches, as more potential drug targets are being validated in Plasmodium species. Given the high attrition rate and high cost of drug discovery, it is important to select the targets most likely to deliver progressible drug candidates. In this paper, we describe the criteria that we consider important for selecting targets for antimalarial drug discovery. We describe the analysis of a number of drug targets in the Malaria Drug Accelerator (MalDA) pipeline, which has allowed us to prioritize targets that are ready to enter the drug discovery process. This selection process has also highlighted where additional data are required to inform target progression or deprioritization of other targets. Finally, we comment on how additional drug targets may be identified."
2021 Jun,Trends in parasitology,Trends Parasitol. 2021 Jun;37(6):493-507. doi: 10.1016/j.pt.2021.01.009. Epub ,"['Yang, Tuo', 'Ottilie, Sabine', 'Istvan, Eva S', 'Godinez-Macias, Karla P', 'Lukens, Amanda K', 'Baragaña, Beatriz', 'Campo, Brice', 'Walpole, Chris', 'Niles, Jacquin C', 'Chibale, Kelly', 'Dechering, Koen J', 'Llinás, Manuel', 'Lee, Marcus C S', 'Kato, Nobutaka', 'Wyllie, Susan', 'McNamara, Case W', 'Gamo, Francisco Javier', 'Burrows, Jeremy', 'Fidock, David A', 'Goldberg, Daniel E', 'Gilbert, Ian H', 'Wirth, Dyann F', 'Winzeler, Elizabeth A']","['antimalarials pharmacology  therapeutic use', ' drug discovery', 'malaria  drug therapy', 'plasmodium drug effects', 'time', 'malda', 'plasmodium falciparum', 'drug resistance', 'malaria', 'target-based drug discovery']","MalDA, Accelerating Malaria Drug Discovery.","The Malaria Drug Accelerator (MalDA) is a consortium of 15 leading scientific laboratories. The aim of MalDA is to improve and accelerate the early antimalarial drug discovery process by identifying new, essential, druggable targets. In addition, it seeks to produce early lead inhibitors that may be advanced into drug candidates suitable for preclinical development and subsequent clinical testing in humans. By sharing resources, including expertise, knowledge, materials, and reagents, the consortium strives to eliminate the structural barriers often encountered in the drug discovery process. Here we discuss the mission of the consortium and its scientific achievements, including the identification of new chemically and biologically validated targets, as well as future scientific directions."
2021 Jan 11,Scientific reports,Sci Rep. 2021 Jan 11;11(1):342. doi: 10.1038/s41598-020-77644-4.,"['Nasamu, Armiyaw S', 'Falla, Alejandra', 'Pasaje, Charisse Flerida A', 'Wall, Bridget A', 'Wagner, Jeffrey C', 'Ganesan, Suresh M', 'Goldfless, Stephen J', 'Niles, Jacquin C']","[' genetic engineering', 'genome, protozoan  genetics', 'plasmodium falciparum  genetics', ' transcriptome']",An integrated platform for genome engineering and gene expression perturbation in Plasmodium falciparum.,"Establishing robust genome engineering methods in the malarial parasite, Plasmodium falciparum, has the potential to substantially improve the efficiency with which we gain understanding of this pathogen's biology to propel treatment and elimination efforts. Methods for manipulating gene expression and engineering the P. falciparum genome have been validated. However, a significant barrier to fully leveraging these advances is the difficulty associated with assembling the extremely high AT content DNA constructs required for modifying the P. falciparum genome. These are frequently unstable in commonly-used circular plasmids. We address this bottleneck by devising a DNA assembly framework leveraging the improved reliability with which large AT-rich regions can be efficiently manipulated in linear plasmids. This framework integrates several key functional genetics outcomes via CRISPR/Cas9 and other methods from a common, validated framework. Overall, this molecular toolkit enables P. falciparum genetics broadly and facilitates deeper interrogation of parasite genes involved in diverse biological processes."
2020 Nov 12,ACS medicinal chemistry letters,ACS Med Chem Lett. 2020 Sep 1;11(11):2131-2138. doi: ,"['Atack, Thomas C', 'Raymond, Donald D', 'Blomquist, Christa A', 'Pasaje, Charisse Flerida', 'McCarren, Patrick R', 'Moroco, Jamie', 'Befekadu, Henock B', 'Robinson, Foxy P', 'Pal, Debjani', 'Esherick, Lisl Y', 'Ianari, Alessandra', 'Niles, Jacquin C', 'Sellers, William R']",[],Targeted Covalent Inhibition of Plasmodium FK506 Binding Protein 35.,"FK506-binding protein 35, FKBP35, has been implicated as an essential malarial enzyme. Rapamycin and FK506 exhibit antiplasmodium activity in cultured parasites. However, due to the highly conserved nature of the binding pockets of FKBPs and the immunosuppressive properties of these drugs, there is a need for compounds that selectively inhibit FKBP35 and lack the undesired side effects. In contrast to human FKBPs, FKBP35 contains a cysteine, C106, adjacent to the rapamycin binding pocket, providing an opportunity to develop targeted covalent inhibitors of Plasmodium FKBP35. Here, we synthesize inhibitors of FKBP35, show that they directly bind FKBP35 in a model cellular setting, selectively covalently modify C106, and exhibit antiplasmodium activity in blood-stage cultured parasites."
2017 Mar 14,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2017 Mar 14;114(11):E2068-E2076. doi: ,"['Abshire, James R', 'Rowlands, Christopher J', 'Ganesan, Suresh M', 'So, Peter T C', 'Niles, Jacquin C']","['animals', ' biosensing techniques instrumentation methods', 'gene expression', 'genes, reporter', 'heme chemistry genetics  metabolism', 'luminescent proteins genetics metabolism', 'microscopy, fluorescence', 'plasmodium genetics  metabolism', 'plasmodium falciparum genetics metabolism', 'protein binding', 'protein interaction domains and motifs', 'recombinant fusion proteins genetics metabolism', 'plasmodium falciparum', 'genetically encoded biosensor', 'heme', 'heme sensor', 'malaria']",Quantification of labile heme in live malaria parasites using a genetically encoded biosensor.,"Heme is ubiquitous, yet relatively little is known about the maintenance of labile pools of this cofactor, which likely ensures its timely bioavailability for proper cellular function. Quantitative analysis of labile heme is of fundamental importance to understanding how nature preserves access to the diverse chemistry heme enables, while minimizing cellular damage caused by its redox activity. Here, we have developed and characterized a protein-based sensor that undergoes fluorescence quenching upon heme binding. By genetically encoding this sensor in the human malarial parasite, Plasmodium falciparum, we have quantified cytosolic labile heme levels in intact, blood-stage parasites. Our findings indicate that a labile heme pool (∼1.6 µM) is stably maintained throughout parasite development within red blood cells, even during a period coincident with extensive hemoglobin degradation by the parasite. We also find that the heme-binding antimalarial drug chloroquine specifically increases labile cytosolic heme, indicative of dysregulation of this homeostatic pool that may be a relevant component of the antimalarial activity of this compound class. We propose that use of this technology under various environmental perturbations in P. falciparum can yield quantitative insights into fundamental heme biology."
2016 Sep 8,Cell,Cell. 2016 Sep 8;166(6):1423-1435.e12. doi: 10.1016/j.cell.2016.08.019. Epub 2016 ,"['Sidik, Saima M', 'Huet, Diego', 'Ganesan, Suresh M', 'Huynh, My-Hang', 'Wang, Tim', 'Nasamu, Armiyaw S', 'Thiru, Prathapan', 'Saeij, Jeroen P J', 'Carruthers, Vern B', 'Niles, Jacquin C', 'Lourido, Sebastian']","['apicomplexa  genetics', 'cells, cultured', 'claudins genetics metabolism', ' clustered regularly interspaced short palindromic repeats', 'fibroblasts parasitology', 'genome, protozoan genetics', ' genome-wide association study', ' host-parasite interactions', 'humans', 'malaria, falciparum parasitology physiopathology', 'plasmodium falciparum genetics', 'protozoan proteins  genetics  metabolism', 'toxoplasma  genetics', 'toxoplasmosis parasitology physiopathology', 'apicomplexan parasites', 'eukaryotic pathogen', 'genome-wide crispr screen', 'host-cell invasion', 'host-pathogen interactions', 'malaria', 'toxoplasmosis']",A Genome-wide CRISPR Screen in Toxoplasma Identifies Essential Apicomplexan Genes.,"Apicomplexan parasites are leading causes of human and livestock diseases such as malaria and toxoplasmosis, yet most of their genes remain uncharacterized. Here, we present the first genome-wide genetic screen of an apicomplexan. We adapted CRISPR/Cas9 to assess the contribution of each gene from the parasite Toxoplasma gondii during infection of human fibroblasts. Our analysis defines ∼200 previously uncharacterized, fitness-conferring genes unique to the phylum, from which 16 were investigated, revealing essential functions during infection of human cells. Secondary screens identify as an invasion factor the claudin-like apicomplexan microneme protein (CLAMP), which resembles mammalian tight-junction proteins and localizes to secretory organelles, making it critical to the initiation of infection. CLAMP is present throughout sequenced apicomplexan genomes and is essential during the asexual stages of the malaria parasite Plasmodium falciparum. These results provide broad-based functional information on T. gondii genes and will facilitate future approaches to expand the horizon of antiparasitic interventions."
2015 Jul 1,Scientific reports,Sci Rep. 2015 Jul 1;5:11347. doi: 10.1038/srep11347.,"['Birch, Christina M', 'Hou, Han Wei', 'Han, Jongyoon', 'Niles, Jacquin C']","['animals', 'aptamers, nucleotide  metabolism', 'erythrocytes  parasitology', 'fluorescence', 'humans', 'malaria  parasitology', 'microfluidics instrumentation  methods', 'parasites  physiology', 'reproducibility of results', 'selex aptamer technique  methods', 'thrombin metabolism']",Identification of malaria parasite-infected red blood cell surface aptamers by inertial microfluidic SELEX (I-SELEX).,"Plasmodium falciparum malaria parasites invade and remodel human red blood cells (RBCs) by trafficking parasite-synthesized proteins to the RBC surface. While these proteins mediate interactions with host cells that contribute to disease pathogenesis, the infected RBC surface proteome remains poorly characterized. Here we use a novel strategy (I-SELEX) to discover high affinity aptamers that selectively recognize distinct epitopes uniquely present on parasite-infected RBCs. Based on inertial focusing in spiral microfluidic channels, I-SELEX enables stringent partitioning of cells (efficiency ≥ 10(6)) from unbound oligonucleotides at high volume throughput (~2 × 10(6) cells min(-1)). Using an RBC model displaying a single, non-native antigen and live malaria parasite-infected RBCs as targets, we establish suitability of this strategy for de novo aptamer selections. We demonstrate recovery of a diverse set of aptamers that recognize distinct, surface-displayed epitopes on parasite-infected RBCs with nanomolar affinity, including an aptamer against the protein responsible for placental sequestration, var2CSA. These findings validate I-SELEX as a broadly applicable aptamer discovery platform that enables identification of new reagents for mapping the parasite-infected RBC surface proteome at higher molecular resolution to potentially contribute to malaria diagnostics, therapeutics and vaccine efforts."
