time,journal,doi_info,authors,key words,title,abstract
2023 Nov 9,Communications chemistry,Commun Chem. 2023 Nov 9;6(1):244. doi: 10.1038/s42004-023-01037-7.,"['Clark, Thomas', 'Subramanian, Vidya', 'Jayaraman, Akila', 'Fitzpatrick, Emmett', 'Gopal, Ranjani', 'Pentakota, Niharika', 'Rurak, Troy', 'Anand, Shweta', 'Viglione, Alexander', 'Raman, Rahul', 'Tharakaraman, Kannan', 'Sasisekharan, Ram']",[],Enhancing antibody affinity through experimental sampling of non-deleterious CDR mutations predicted by machine learning.,"The application of machine learning (ML) models to optimize antibody affinity to an antigen is gaining prominence. Unfortunately, the small and biased nature of the publicly available antibody-antigen interaction datasets makes it challenging to build an ML model that can accurately predict binding affinity changes due to mutations (ΔΔG). Recognizing these inherent limitations, we reformulated the problem to ask whether an ML model capable of classifying deleterious vs non-deleterious mutations can guide antibody affinity maturation in a practical setting. To test this hypothesis, we developed a Random Forest classifier (Antibody Random Forest Classifier or AbRFC) with expert-guided features and integrated it into a computational-experimental workflow. AbRFC effectively predicted non-deleterious mutations on an in-house validation dataset that is free of biases seen in the publicly available training datasets. Furthermore, experimental screening of a limited number of predictions from the model (<10^2 designs) identified affinity-enhancing mutations in two unrelated SARS-CoV-2 antibodies, resulting in constructs with up to 1000-fold increased binding to the SARS-COV-2 RBD. Our findings indicate that accurate prediction and screening of non-deleterious mutations using machine learning offers a powerful approach to improving antibody affinity."
2022 Aug 30,Scientific reports,Sci Rep. 2022 Aug 30;12(1):14754. doi: 10.1038/s41598-022-18580-3.,"['Kanhasut, Karnpob', 'Tharakaraman, Kannan', 'Ruchirawat, Mathuros', 'Satayavivad, Jutamaad', 'Fuangthong, Mayuree', 'Sasisekharan, Ram']","['adult', ' alanine therapeutic use', 'animals', 'antibodies, monoclonal, humanized pharmacology therapeutic use', 'child', ' familial hypophosphatemic rickets', 'fibroblast growth factors metabolism', 'fibroblasts metabolism', 'humans', 'mice', 'molecular docking simulation']",Prediction of the structural interface between fibroblast growth factor23 and Burosumab using alanine scanning and molecular docking.,"Burosumab, an FGF23 targeting monoclonal antibody, was approved by the FDA in 2018 for use in children and adults with X-linked hypophosphatemia (or XLH). While several clinical studies have demonstrated the long-term safety and efficacy of Burosumab, the molecular basis of FGF23-Burosumab interaction which underpins its mechanism of action remains unknown. In this study, we employed molecular docking combined with alanine scanning of epitope and paratope to predict a model of FGF23-Burosumab interaction. Then, we used the model to understand the species-species cross-reactivity of Burosumab and to reverse engineer mouse FGF23 with 'back to human' mutations to bind Burosumab. Finally, we redesigned the CDRs with two mutations to engineer an affinity enhanced variant of the antibody. Our study provides insights into the FGF23-Burosumab interaction and demonstrates that alanine-scanning coupled with molecular docking can be used to optimize antibody candidates (e.g., structure-guided affinity maturation) for therapeutic use."
2022 Aug,PLoS neglected tropical diseases,PLoS Negl Trop Dis. 2022 Aug 18;16(8):e0010724. doi: ,"['Kalimuddin, Shirin', 'Teh, Yii Ean', 'Wee, Liang En', 'Paintal, Shay', 'Sasisekharan, Ram', 'Low, Jenny G', 'Sheth, Sujata K', 'Ooi, Eng Eong']","[' covid-19 complications', 'convalescence', ' dengue complications epidemiology', 'disease progression', 'humans', 'male', 'pandemics', ' respiratory tract infections complications epidemiology', 'post-acute covid-19 syndrome']",Chronic sequelae complicate convalescence from both dengue and acute viral respiratory illness.,"Long Covid has raised awareness of the potentially disabling chronic sequelae that afflicts patients after acute viral infection. Similar syndromes of post-infectious sequelae have also been observed after other viral infections such as dengue, but their true prevalence and functional impact remain poorly defined. We prospectively enrolled 209 patients with acute dengue (n = 48; one with severe dengue) and other acute viral respiratory infections (ARI) (n = 161), and followed them up for chronic sequelae up to one year post-enrolment, prior to the onset of the Covid-19 pandemic. Baseline demographics and co-morbidities were balanced between both groups except for gender, with more males in the dengue cohort (63% vs 29%, p<0.001). Except for the first visit, data on symptoms were collected remotely using a purpose-built mobile phone application. Mental health outcomes were evaluated using the validated SF-12v2 Health Survey. Almost all patients (95.8% of dengue and 94.4% of ARI patients) experienced at least one symptom of fatigue, somnolence, headache, concentration impairment or memory impairment within the first week of enrolment. Amongst patients with at least 3-months of follow-up, 18.0% in the dengue cohort and 14.6% in the ARI cohort experienced persistent symptoms. The median month-3 SF-12v2 Mental Component Summary Score was lower in patients who remained symptomatic at 3 months and beyond, compared to those whose symptoms fully resolved (47.7 vs. 56.0, p<0.001), indicating that patients who self-reported persistence of symptoms also experienced functionally worse mental health. No statistically significant difference in age, gender distribution or hospitalisation status was observed between those with and without chronic sequelae. Our findings reveal an under-appreciated burden of post-infection chronic sequelae in dengue and ARI patients. They call for studies to define the pathophysiology of this condition, and determine the efficacy of both vaccines as well as antiviral drugs in preventing such sequelae."
2022,Frontiers in immunology,Front Immunol. 2022 Jun 17;13:904609. doi: 10.3389/fimmu.2022.904609. eCollection ,"['Miller, Nathaniel L', 'Raman, Rahul', 'Clark, Thomas', 'Sasisekharan, Ram']","['antibodies', 'antigens, viral', 'binding sites, antibody', 'epitopes', ' vaccines', 'n-glycan', 'sars-cov-2', 'antibody', 'epitope', 'escape', 'glycoepitope', 'paratope', 'repurposing']",Complexity of Viral Epitope Surfaces as Evasive Targets for Vaccines and Therapeutic Antibodies.,"The dynamic interplay between virus and host plays out across many interacting surfaces as virus and host evolve continually in response to one another. In particular, epitope-paratope interactions (EPIs) between viral antigen and host antibodies drive much of this evolutionary race. In this review, we describe a series of recent studies examining aspects of epitope complexity that go beyond two interacting protein surfaces as EPIs are typically understood. To structure our discussion, we present a framework for understanding epitope complexity as a spectrum along a series of axes, focusing primarily on 1) epitope biochemical complexity (e.g., epitopes involving N-glycans) and 2) antigen conformational/dynamic complexity (e.g., epitopes with differential properties depending on antigen state or fold-axis). We highlight additional epitope complexity factors including epitope tertiary/quaternary structure, which contribute to epistatic relationships between epitope residues within- or adjacent-to a given epitope, as well as epitope overlap resulting from polyclonal antibody responses, which is relevant when assessing antigenic pressure against a given epitope. Finally, we discuss how these different forms of epitope complexity can limit EPI analyses and therapeutic antibody development, as well as recent efforts to overcome these limitations."
2022 Mar 2,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2022 Mar 2:2022.02.25.481957. doi: 10.1101/2022.02.25.481957.,"['Miller, Nathaniel L', 'Clark, Thomas', 'Raman, Rahul', 'Sasisekharan, Ram']",[],A structural dynamic explanation for observed escape of SARS-CoV-2 BA.2 variant mutation S371L/F.,"The SARS-CoV-2 Omicron sub-variants BA.1 and BA.2 have become the dominant variants worldwide due to enhanced transmissibility and immune evasion. In response to the rise of BA.1 and BA.2, two recent studies by Liu et al. and Iketani et al. provide a detailed analysis of loss of therapeutic antibody potency through evaluation of escape by pseudotyped viruses harboring BA.1 and BA.2 receptor binding domain (RBD) point mutations. Surprisingly, Liu et al. and Iketani et al. observed a profoundly broad escape effect for the individual mutations S371L and S371F. This result cannot be explained by known escape mechanisms of the SARS-CoV-2 RBD, and conflicts with existing computational and experimental escape measurements for S371 mutations performed on monomeric RBD. Through an examination of these conflicting datasets and a structural analysis of the antibodies assayed by Liu et al. and Iketani et al., we propose a mechanism to explain S371L/F escape according to a perturbation of spike trimer conformational dynamics that has not yet been described for any SARS-CoV-2 escape mutation. The proposed mechanism is relevant to Omicron and future variant surveillance as well as therapeutic antibody design."
2022 Feb 15,Cell reports. Medicine,Cell Rep Med. 2022 Jan 24;3(2):100527. doi: 10.1016/j.xcrm.2022.100527. ,"['Miller, Nathaniel L', 'Clark, Thomas', 'Raman, Rahul', 'Sasisekharan, Ram']","['antibodies, monoclonal  immunology', 'antibodies, neutralizing  immunology', 'antibodies, viral  immunology', 'covid-19  immunology virology', 'epitopes genetics immunology', 'humans', 'immune evasion genetics', ' mutation', 'neutralization tests', 'protein binding', 'protein domains  genetics immunology', 'sars-cov-2  chemistry  genetics immunology', 'spike glycoprotein, coronavirus genetics immunology', 'omicron', 'rbd interface stability', 'sars-cov-2', 'antibody escape', 'antigenic drift', 'epistasis', 'epitope-paratope', 'mutation', 'network analysis', 'variant of concern']",Insights on the mutational landscape of the SARS-CoV-2 Omicron variant receptor-binding domain.,"The Omicron variant features enhanced transmissibility and antibody escape. Here, we describe the Omicron receptor-binding domain (RBD) mutational landscape using amino acid interaction (AAI) networks, which are well suited for interrogating constellations of mutations that function in an epistatic manner. Using AAI, we map Omicron mutations directly and indirectly driving increased escape breadth and depth in class 1-4 antibody epitopes. Further, we present epitope networks for authorized therapeutic antibodies and assess perturbations to each antibody's epitope. Since our initial modeling following the identification of Omicron, these predictions have been realized by experimental findings of Omicron neutralization escape from therapeutic antibodies ADG20, AZD8895, and AZD1061. Importantly, the AAI predicted escape resulting from indirect epitope perturbations was not captured by previous sequence or point mutation analyses. Finally, for several Omicron RBD mutations, we find evidence for a plausible role in enhanced transmissibility via disruption of RBD-down conformational stability at the RBD(down)-RBD(down) interface."
2022 Feb 16,Scientific reports,Sci Rep. 2022 Feb 16;12(1):2594. doi: 10.1038/s41598-022-06157-z.,"['Miller, Nathaniel L', 'Subramanian, Vidya', 'Clark, Thomas', 'Raman, Rahul', 'Sasisekharan, Ram']","['animals', 'antibodies, monoclonal  metabolism', 'broadly neutralizing antibodies  metabolism', 'dogs', 'drug repositioning', 'epitopes', 'hiv antibodies  metabolism', 'hemagglutinin glycoproteins, influenza virus metabolism', 'humans', 'influenza a virus, h1n1 subtype  immunology metabolism', 'influenza a virus, h3n2 subtype  immunology metabolism', 'madin darby canine kidney cells', ' models, immunological', 'molecular targeted therapy', 'neutralization tests', 'polysaccharides metabolism', 'sars-cov-2  immunology']",Conserved topology of virus glycoepitopes presents novel targets for repurposing HIV antibody 2G12.,"Complex glycans decorate viral surface proteins and play a critical role in virus-host interactions. Viral surface glycans shield vulnerable protein epitopes from host immunity yet can also present distinct ""glycoepitopes"" that can be targeted by host antibodies such as the potent anti-HIV antibody 2G12 that binds high-mannose glycans on gp120. Two recent publications demonstrate 2G12 binding to high mannose glycans on SARS-CoV-2 and select Influenza A (Flu) H3N2 viruses. Previously, our lab observed 2G12 binding and functional inhibition of a range of Flu viruses that include H3N2 and H1N1 lineages. In this manuscript, we present these data alongside structural analyses to offer an expanded picture of 2G12-Flu interactions. Further, based on the remarkable breadth of 2G12 N-glycan recognition and the structural factors promoting glycoprotein oligomannosylation, we hypothesize that 2G12 glycoepitopes can be defined from protein structure alone according to N-glycan site topology. We develop a model describing 2G12 glycoepitopes based on N-glycan site topology, and apply the model to identify viruses within the Protein Data Bank presenting putative 2G12 glycoepitopes for 2G12 repurposing toward analytical, diagnostic, and therapeutic applications."
2021 Dec 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2021 Dec 10:2021.12.06.471499. doi: ,"['Miller, Nathaniel L', 'Clark, Thomas', 'Raman, Rahul', 'Sasisekharan, Ram']","['antibody escape', 'antigenic drift', 'epistasis', 'mutation', 'network analysis', 'omicron', 'rbd interface stability', 'sars-cov-2', 'variant of concern']",Insights on the mutational landscape of the SARS-CoV-2 Omicron variant.,"The SARS-COV2 Omicron variant has sparked global concern due to the possibility of enhanced transmissibility and escape from vaccines and therapeutics. In this study, we describe the mutational landscape of the Omicron variant using amino acid interaction (AAI) networks. AAI network analysis is particularly well suited for interrogating the impact of constellations of mutations as occur on Omicron that may function in an epistatic manner. Our analyses suggest that as compared to previous variants of concern, the Omicron variant has increased antibody escape breadth due to mutations in class 3 and 4 antibody epitopes as well as increased escape depth due to accumulated mutations in class 1 antibody epitopes. We note certain RBD mutations that might further enhance Omicron's escape, and in particular advise careful surveillance of two subclades bearing R346S/K mutations with relevance for certain therapeutic antibodies. Further, AAI network analysis suggests that the function of certain therapeutic monoclonal antibodies may be disrupted by Omicron mutations as a result of the cumulative indirect perturbations to the epitope surface properties, despite point-mutation analyses suggesting these antibodies are tolerant of the set of Omicron mutations in isolation. Finally, for several Omicron mutations that do not appear to contribute meaningfully to antibody escape, we find evidence for a plausible role in enhanced transmissibility via disruption of RBD-down conformational stability at the RBD-RBD interface."
2021 Oct 6,Viruses,Viruses. 2021 Oct 6;13(10):2009. doi: 10.3390/v13102009.,"['Miller, Nathaniel L', 'Clark, Thomas', 'Raman, Rahul', 'Sasisekharan, Ram']","['angiotensin-converting enzyme 2 metabolism', 'antibodies, neutralizing  immunology', 'antibodies, viral  immunology', 'binding sites, antibody  immunology', 'covid-19 immunology', 'epitopes immunology', 'humans', 'immune evasion  immunology', 'sars-cov-2 genetics  immunology', 'spike glycoprotein, coronavirus genetics immunology metabolism', 'sars-cov-2', 'voc', 'antibody', 'antigenic drift', 'epitope', 'immune escape', 'paratope', 'variant']",An Antigenic Space Framework for Understanding Antibody Escape of SARS-CoV-2 Variants.,"The evolution of mutations in SARS-CoV-2 at antigenic sites that impact neutralizing antibody responses in humans poses a risk to immunity developed through vaccination and natural infection. The highly successful RNA-based vaccines have enabled rapid vaccine updates that incorporate mutations from current variants of concern (VOCs). It is therefore important to anticipate future antigenic mutations as the virus navigates the heterogeneous global landscape of host immunity. Toward this goal, we survey epitope-paratope interfaces of anti-SARS-CoV-2 antibodies to map an antigenic space that captures the role of each spike protein residue within the polyclonal antibody response directed against the ACE2-receptor binding domain (RBD) or the N-terminal domain (NTD). In particular, the antigenic space map builds on recently published epitope definitions by annotating epitope overlap and orthogonality at the residue level. We employ the antigenic space map as a framework to understand how mutations on nine major variants contribute to each variant's evasion of neutralizing antibodies. Further, we identify constellations of mutations that span the orthogonal epitope regions of the RBD and NTD on the variants with the greatest antibody escape. Finally, we apply the antigenic space map to predict which regions of antigenic space-should they mutate-may be most likely to complementarily augment antibody evasion for the most evasive and transmissible VOCs."
2022,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2022;2303:329-339. doi: 10.1007/978-1-0716-1398-6_27.,"['Shriver, Zachary', 'Sasisekharan, Ram']","['electrophoresis, capillary', 'heparin', 'heparitin sulfate', 'pharmaceutical preparations', 'polysaccharides  chemistry', 'sulfates', 'alcian blue', 'capillary electrophoresis', 'heparan sulfate', 'heparin', 'heparinase', 'pentosan polysulfate']",Capillary Electrophoretic Analysis of Isolated Sulfated Polysaccharides to Characterize Pharmaceutical Products.,"Capillary electrophoresis is a powerful methodology for quantification and structural characterization of highly anionic polysaccharides. Separation of saccharides under conditions of electrophoretic flow, typically achieved under low pH (Ampofo et al., Anal Biochem 199: 249-255, 1991; Rhomberg et al., Proc Natl Acad Sci U S A 95: 4176-4181, 1998) is charge-based. Resolution of components is often superior to flow-based techniques, such as liquid chromatography. During the heparin contamination crisis, capillary electrophoresis was one of the key methodologies used to identify whether or not heparin lots were contaminated (Guerrini et al., Nat Biotechnol 26: 669-675, 2008; Ye et al., J Pharm Biomed Anal 85: 99-107, 2013; Volpi et al., Electrophoresis 33: 1531-1537, 2012).Here we describe a method for the isolation of sulfated heparin/heparan sulfate saccharides from urine, their digestion by deployment of heparinase enzymes (Ernst et al., Crit Rev Biochem Mol Biol 30: 387-444, 1995) resolution of species through use of orthogonal digestions, and analysis of the resulting disaccharides by capillary electrophoresis."
