time,journal,doi_info,authors,key words,title,abstract
2024 Jun 29,Communications biology,Commun Biol. 2024 Jun 29;7(1):785. doi: 10.1038/s42003-024-06496-9.,"['Bresci, Arianna', 'Kobayashi-Kirschvink, Koseki J', 'Cerullo, Giulio', 'Vanna, Renzo', 'So, Peter T C', 'Polli, Dario', 'Kang, Jeon Woong']","['humans', ' spectrum analysis, raman methods', ' phenotype', 'colonic neoplasms pathology genetics diagnostic imaging metabolism', 'cell line, tumor']",Label-free morpho-molecular phenotyping of living cancer cells by combined Raman spectroscopy and phase tomography.,"Accurate, rapid and non-invasive cancer cell phenotyping is a pressing concern across the life sciences, as standard immuno-chemical imaging and omics require extended sample manipulation. Here we combine Raman micro-spectroscopy and phase tomography to achieve label-free morpho-molecular profiling of human colon cancer cells, following the adenoma, carcinoma, and metastasis disease progression, in living and unperturbed conditions. We describe how to decode and interpret quantitative chemical and co-registered morphological cell traits from Raman fingerprint spectra and refractive index tomograms. Our multimodal imaging strategy rapidly distinguishes cancer phenotypes, limiting observations to a low number of pristine cells in culture. This synergistic dataset allows us to study independent or correlated information in spectral and tomographic maps, and how it benefits cell type inference. This method is a valuable asset in biomedical research, particularly when biological material is in short supply, and it holds the potential for non-invasive monitoring of cancer progression in living organisms."
2024 May 13,Scientific reports,Sci Rep. 2024 May 13;14(1):10954. doi: 10.1038/s41598-024-57208-6.,"['Xue, Yi', 'Boivin, Josiah R', 'Wadduwage, Dushan N', 'Park, Jong Kang', 'Nedivi, Elly', 'So, Peter T C']","['animals', ' brain diagnostic imaging metabolism', 'mice', 'algorithms', 'microscopy, fluorescence, multiphoton methods', 'neurons metabolism', 'image processing, computer-assisted methods']",Multiline orthogonal scanning temporal focusing (mosTF) microscopy for scattering reduction in in vivo brain imaging.,"Temporal focusing two-photon microscopy has been utilized for high-resolution imaging of neuronal and synaptic structures across volumes spanning hundreds of microns in vivo. However, a limitation of temporal focusing is the rapid degradation of the signal-to-background ratio and resolution with increasing imaging depth. This degradation is due to scattered emission photons being widely distributed, resulting in a strong background. To overcome this challenge, we have developed multiline orthogonal scanning temporal focusing (mosTF) microscopy. mosTF captures a sequence of images at each scan location of the excitation line. A reconstruction algorithm then reassigns scattered photons back to their correct scan positions. We demonstrate the effectiveness of mosTF by acquiring neuronal images of mice in vivo. Our results show remarkable improvements in in vivo brain imaging with mosTF, while maintaining its speed advantage."
2024 Mar 27,Research square,Res Sq [Preprint]. 2024 Mar 27:rs.3.rs-4076842. doi: 10.21203/rs.3.rs-4076842/v1.,"['Kariyawasam, Hasindu', 'Hettiarachchi, Ramith', 'Yang, Quansan', 'Matlock, Alex', 'Nambara, Takahiro', 'Kusaka, Hiroyuki', 'Kunai, Yuichiro', 'So, Peter T C', 'Boyden, Edward S', 'Wadduwage, Dushan']",[],QuATON: Quantization Aware Training of Optical Neurons.,"Optical processors, built with ""optical neurons"", can efficiently perform high-dimensional linear operations at the speed of light. Thus they are a promising avenue to accelerate large-scale linear computations. With the current advances in micro-fabrication, such optical processors can now be 3D fabricated, but with a limited precision. This limitation translates to quantization of learnable parameters in optical neurons, and should be handled during the design of the optical processor in order to avoid a model mismatch. Specifically, optical neurons should be trained or designed within the physical-constraints at a predefined quantized precision level. To address this critical issues we propose a physics-informed quantization-aware training framework. Our approach accounts for physical constraints during the training process, leading to robust designs. We demonstrate that our approach can design state of the art optical processors using diffractive networks for multiple physics based tasks despite quantized learnable parameters. We thus lay the foundation upon which improved optical processors may be 3D fabricated in the future."
2024 Jan 10,Nature biotechnology,Nat Biotechnol. 2024 Jan 10. doi: 10.1038/s41587-023-02082-2.,"['Kobayashi-Kirschvink, Koseki J', 'Comiter, Charles S', 'Gaddam, Shreya', 'Joren, Taylor', 'Grody, Emanuelle I', 'Ounadjela, Johain R', 'Zhang, Ke', 'Ge, Baoliang', 'Kang, Jeon Woong', 'Xavier, Ramnik J', 'So, Peter T C', 'Biancalani, Tommaso', 'Shu, Jian', 'Regev, Aviv']",[],Prediction of single-cell RNA expression profiles in live cells by Raman microscopy with Raman2RNA.,"Single-cell RNA sequencing and other profiling assays have helped interrogate cells at unprecedented resolution and scale, but are inherently destructive. Raman microscopy reports on the vibrational energy levels of proteins and metabolites in a label-free and nondestructive manner at subcellular spatial resolution, but it lacks genetic and molecular interpretability. Here we present Raman2RNA (R2R), a method to infer single-cell expression profiles in live cells through label-free hyperspectral Raman microscopy images and domain translation. We predict single-cell RNA sequencing profiles nondestructively from Raman images using either anchor-based integration with single molecule fluorescence in situ hybridization, or anchor-free generation with adversarial autoencoders. R2R outperformed inference from brightfield images (cosine similarities: R2R >0.85 and brightfield <0.15). In reprogramming of mouse fibroblasts into induced pluripotent stem cells, R2R inferred the expression profiles of various cell states. With live-cell tracking of mouse embryonic stem cell differentiation, R2R traced the early emergence of lineage divergence and differentiation trajectories, overcoming discontinuities in expression space. R2R lays a foundation for future exploration of live genomic dynamics."
2023 Nov 7,Biosensors,Biosensors (Basel). 2023 Nov 7;13(11):973. doi: 10.3390/bios13110973.,"['Ghislanzoni, Silvia', 'Kang, Jeon Woong', 'Bresci, Arianna', 'Masella, Andrea', 'Kobayashi-Kirschvink, Koseki J', 'Polli, Dario', 'Bongarzone, Italia', 'So, Peter T C']","['humans', ' vacuoles physiology', 'cytoplasm', 'doxorubicin', 'microscopy, confocal', 'tomography', ' neoplasms', 'raman spectroscopy', 'cancer', 'cell engulfing', 'cell in cell', 'microscopy', 'optical diffraction tomography', 'therapy-induced senescence', 'vacuole']",Optical Diffraction Tomography and Raman Confocal Microscopy for the Investigation of Vacuoles Associated with Cancer Senescent Engulfing Cells.,"Wild-type p53 cancer therapy-induced senescent cells frequently engulf and degrade neighboring ones inside a massive vacuole in their cytoplasm. After clearance of the internalized cell, the vacuole persists, seemingly empty, for several hours. Despite large vacuoles being associated with cell death, this process is known to confer a survival advantage to cancer engulfing cells, leading to therapy resistance and tumor relapse. Previous attempts to resolve the vacuolar structure and visualize their content using dyes were unsatisfying for lack of known targets and ineffective dye penetration and/or retention. Here, we overcame this problem by applying optical diffraction tomography and Raman spectroscopy to MCF7 doxorubicin-induced engulfing cells. We demonstrated a real ability of cell tomography and Raman to phenotype complex microstructures, such as cell-in-cells and vacuoles, and detect chemical species in extremely low concentrations within live cells in a completely label-free fashion. We show that vacuoles had a density indistinguishable to the medium, but were not empty, instead contained diluted cell-derived macromolecules, and we could discern vacuoles from medium and cells using their Raman fingerprint. Our approach is useful for the noninvasive investigation of senescent engulfing (and other peculiar) cells in unperturbed conditions, crucial for a better understanding of complex biological processes."
2023 Aug 22,"Light, science & applications",Light Sci Appl. 2023 Aug 22;12(1):200. doi: 10.1038/s41377-023-01240-0.,"['Kang, Sungsam', 'Zhou, Renjie', 'Brelen, Marten', 'Mak, Heather K', 'Lin, Yuechuan', 'So, Peter T C', 'Yaqoob, Zahid']",[],Mapping nanoscale topographic features in thick tissues with speckle diffraction tomography.,"Resolving three-dimensional morphological features in thick specimens remains a significant challenge for label-free imaging. We report a new speckle diffraction tomography (SDT) approach that can image thick biological specimens with ~500 nm lateral resolution and ~1 μm axial resolution in a reflection geometry. In SDT, multiple-scattering background is rejected through spatiotemporal gating provided by dynamic speckle-field interferometry, while depth-resolved refractive index maps are reconstructed by developing a comprehensive inverse-scattering model that also considers specimen-induced aberrations. Benefiting from the high-resolution and full-field quantitative imaging capabilities of SDT, we successfully imaged red blood cells and quantified their membrane fluctuations behind a turbid medium with a thickness of 2.8 scattering mean-free paths. Most importantly, we performed volumetric imaging of cornea inside an ex vivo rat eye and quantified its optical properties, including the mapping of nanoscale topographic features of Dua's and Descemet's membranes that had not been previously visualized."
2023 Aug,Surgical endoscopy,Surg Endosc. 2023 Aug;37(8):5825-5835. doi: 10.1007/s00464-023-10053-6. Epub 2023 ,"['Lim, Soo Yeong', 'Yoon, Hong Man', 'Kook, Myeong-Cherl', 'Jang, Jin Il', 'So, Peter T C', 'Kang, Jeon Woong', 'Kim, Hyung Min']","['humans', 'spectrum analysis', ' stomach neoplasms diagnostic imaging surgery', 'autofluorescence', 'histology', 'machine learning', 'spectroscopy']",Stomach tissue classification using autofluorescence spectroscopy and machine learning.,"BACKGROUND AND OBJECTIVES: Determination of stomach tumor location and invasion depth requires delineation of gastric histological structure, which has hitherto been widely accomplished by histochemical staining. In recent years, alternative histochemical evaluation methods have been pursued to accelerate intraoperative diagnosis, often by bypassing the time-consuming step of dyeing. Owing to strong endogenous signals from coenzymes, metabolites, and proteins, autofluorescence spectroscopy is a favorable candidate technique to achieve this aim. MATERIALS AND METHODS: We investigated stomach tissue slices and block specimens using a fast fluorescence imaging scanner. To obtain histological information from broad and structureless fluorescence spectra, we analyzed tens of thousands of spectra with multiple machine-learning algorithms and built a tissue classification model trained with dissected gastric tissues. RESULTS: A machine-learning-based spectro-histological model was built based on the autofluorescence spectra measured from stomach tissue samples with delineated and validated histological structures. The scores from a principal components analysis were employed as input features, and prediction accuracy was confirmed to be 92.0%, 90.1%, and 91.4% for mucosa, submucosa, and muscularis propria, respectively. We investigated the tissue samples in both sliced and block forms using a fast fluorescence imaging scanner. CONCLUSION: We successfully demonstrated differentiation of multiple tissue layers of well-defined specimens with the guidance of a histologist. Our spectro-histology classification model is applicable to histological prediction for both tissue blocks and slices, even though only sliced samples were trained."
2021 Dec 7,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2021 Dec 7;118(49):e2112009118. doi: ,"['McDougal, Anthony D', 'Kang, Sungsam', 'Yaqoob, Zahid', 'So, Peter T C', 'Kolle, Mathias']","['animal scales  anatomy & histology physiology  ultrastructure', 'animals', 'butterflies anatomy & histology metabolism', 'color', 'lepidoptera anatomy & histology metabolism', 'metamorphosis, biological', 'morphogenesis', 'pigmentation', 'wings, animal  anatomy & histology physiology ultrastructure', 'biological structure formation', 'butterfly scales', 'cuticle secretion', 'in vivo quantitative phase imaging', 'metamorphosis']",In vivo visualization of butterfly scale cell morphogenesis in Vanessa cardui.,"During metamorphosis, the wings of a butterfly sprout hundreds of thousands of scales with intricate microstructures and nano-structures that determine the wings' optical appearance, wetting characteristics, thermodynamic properties, and aerodynamic behavior. Although the functional characteristics of scales are well known and prove desirable in various applications, the dynamic processes and temporal coordination required to sculpt the scales' many structural features remain poorly understood. Current knowledge of scale growth is primarily gained from ex vivo studies of fixed scale cells at discrete time points; to fully understand scale formation, it is critical to characterize the time-dependent morphological changes throughout their development. Here, we report the continuous, in vivo, label-free imaging of growing scale cells of Vanessa cardui using speckle-correlation reflection phase microscopy. By capturing time-resolved volumetric tissue data together with nanoscale surface height information, we establish a morphological timeline of wing scale formation and gain quantitative insights into the underlying processes involved in scale cell patterning and growth. We identify early differences in the patterning of cover and ground scales on the young wing and quantify geometrical parameters of growing scale features, which suggest that surface growth is critical to structure formation. Our quantitative, time-resolved in vivo imaging of butterfly scale development provides the foundation for decoding the processes and biomechanical principles involved in the formation of functional structures in biological materials."
2021 Aug 31,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2021 Aug 31;118(35):e2108361118. doi: ,"['Zhang, Qing', 'Zhang, Rui', 'Ge, Baoliang', 'Yaqoob, Zahid', 'So, Peter T C', 'Bischofberger, Irmgard']","[' anisotropy', ' computer simulation', 'cromolyn sodium  chemistry', 'liquid crystals  chemistry', 'models, chemical', ' phase transition', ' pressure', 'lyotropic chromonic liquid crystals', 'polarized shearing interference microscopy', 'pressure-driven flow of nematics', 'pure-twist disclination loops', 'topological defects']",Structures and topological defects in pressure-driven lyotropic chromonic liquid crystals.,"Lyotropic chromonic liquid crystals are water-based materials composed of self-assembled cylindrical aggregates. Their behavior under flow is poorly understood, and quantitatively resolving the optical retardance of the flowing liquid crystal has so far been limited by the imaging speed of current polarization-resolved imaging techniques. Here, we employ a single-shot quantitative polarization imaging method, termed polarized shearing interference microscopy, to quantify the spatial distribution and the dynamics of the structures emerging in nematic disodium cromoglycate solutions in a microfluidic channel. We show that pure-twist disclination loops nucleate in the bulk flow over a range of shear rates. These loops are elongated in the flow direction and exhibit a constant aspect ratio that is governed by the nonnegligible splay-bend anisotropy at the loop boundary. The size of the loops is set by the balance between nucleation forces and annihilation forces acting on the disclination. The fluctuations of the pure-twist disclination loops reflect the tumbling character of nematic disodium cromoglycate. Our study, including experiment, simulation, and scaling analysis, provides a comprehensive understanding of the structure and dynamics of pressure-driven lyotropic chromonic liquid crystals and might open new routes for using these materials to control assembly and flow of biological systems or particles in microfluidic devices."
2021 May 24,Journal of biomechanics,J Biomech. 2021 May 24;121:110400. doi: 10.1016/j.jbiomech.2021.110400. Epub 2021 ,"['Roberts, Anya B', 'Zhang, Jitao', 'Raj Singh, Vijay', 'Nikolić, Miloš', 'Moeendarbary, Emad', 'Kamm, Roger D', 'So, Peter T C', 'Scarcelli, Giuliano']","['cell line, tumor', 'cell movement', 'cell nucleus', 'collagen', 'humans', 'microscopy, confocal', ' neoplasms', ' transendothelial and transepithelial migration', 'brillouin microscopy', 'cell modulus', 'interference microscopy', 'metastasis']",Tumor cell nuclei soften during transendothelial migration.,"During cancer metastasis, tumor cells undergo significant deformation in order to traverse through endothelial cell junctions in the walls of blood vessels. As cells pass through narrow gaps, smaller than the nuclear diameter, the spatial configuration of chromatin must change along with the distribution of nuclear enzymes. Nuclear stiffness is an important determinant of the ability of cells to undergo transendothelial migration, yet no studies have been conducted to assess whether tumor cell cytoskeletal or nuclear stiffness changes during this critical process in order to facilitate passage. To address this question, we employed two non-contact methods, Brillouin confocal microscopy (BCM) and confocal reflectance quantitative phase microscopy (QPM), to track the changes in mechanical properties of live, transmigrating tumor cells in an in vitro collagen gel platform. Using these two imaging modalities to study transmigrating MDA-MB-231, A549, and A375 cells, we found that both the cells and their nuclei soften upon extravasation and that the nuclear membranes remain soft for at least 24 h. These new data suggest that tumor cells adjust their mechanical properties in order to facilitate extravasation."
