time,journal,doi_info,authors,key words,title,abstract
2023 Dec,Science advances,Sci Adv. 2023 Dec;9(48):eadg8495. doi: 10.1126/sciadv.adg8495. Epub 2023 Nov 29.,"['Ilia, Katherine', 'Shakiba, Nika', 'Bingham, Trevor', 'Jones, Ross D', 'Kaminski, Michael M', 'Aravera, Eliezer', 'Bruno, Simone', 'Palacios, Sebastian', 'Weiss, Ron', 'Collins, James J', 'Del Vecchio, Domitilla', 'Schlaeger, Thorsten M']","['humans', 'cell differentiation genetics', 'cells, cultured', ' cellular reprogramming genetics', 'fibroblasts metabolism', ' induced pluripotent stem cells metabolism', 'transcription factors genetics metabolism']",Synthetic genetic circuits to uncover the OCT4 trajectories of successful reprogramming of human fibroblasts.,"Reprogramming human fibroblasts to induced pluripotent stem cells (iPSCs) is inefficient, with heterogeneity among transcription factor (TF) trajectories driving divergent cell states. Nevertheless, the impact of TF dynamics on reprogramming efficiency remains uncharted. We develop a system that accurately reports OCT4 protein levels in live cells and use it to reveal the trajectories of OCT4 in successful reprogramming. Our system comprises a synthetic genetic circuit that leverages noise to generate a wide range of OCT4 trajectories and a microRNA targeting endogenous OCT4 to set total cellular OCT4 protein levels. By fusing OCT4 to a fluorescent protein, we are able to track OCT4 trajectories with clonal resolution via live-cell imaging. We discover that a supraphysiological, stable OCT4 level is required, but not sufficient, for efficient iPSC colony formation. Our synthetic genetic circuit design and high-throughput live-imaging pipeline are generalizable for investigating TF dynamics for other cell fate programming applications."
2023 Sep 20,Cell systems,Cell Syst. 2023 Sep 20;14(9):806-818.e5. doi: 10.1016/j.cels.2023.08.001. Epub ,"['Wauford, Noreen', 'Patel, Akshay', 'Tordoff, Jesse', 'Enghuus, Casper', 'Jin, Andrew', 'Toppen, Jack', 'Kemp, Melissa L', 'Weiss, Ron']","['cell adhesion', 'cell differentiation', ' engineering', ' organoids', 'probability', 'adhesion', 'agent-based model', 'biophysics', 'morphogenesis', 'simulations', 'symmetry breaking', 'synthetic biology']",Synthetic symmetry breaking and programmable multicellular structure formation.,"During development, cells undergo symmetry breaking into differentiated subpopulations that self-organize into complex structures.(1)(,)(2)(,)(3)(,)(4)(,)(5) However, few tools exist to recapitulate these behaviors in a controllable and coupled manner.(6)(,)(7)(,)(8)(,)(9) Here, we engineer a stochastic recombinase genetic switch tunable by small molecules to induce programmable symmetry breaking, commitment to downstream cell fates, and morphological self-organization. Inducers determine commitment probabilities, generating tunable subpopulations as a function of inducer dosage. We use this switch to control the cell-cell adhesion properties of cells committed to each fate.(10)(,)(11) We generate a wide variety of 3D morphologies from a monoclonal population and develop a computational model showing high concordance with experimental results, yielding new quantitative insights into the relationship between cell-cell adhesion strengths and downstream morphologies. We expect that programmable symmetry breaking, generating precise and tunable subpopulation ratios and coupled to structure formation, will serve as an integral component of the toolbox for complex tissue and organoid engineering."
2023 Aug 8,Nature communications,Nat Commun. 2023 Aug 8;14(1):4775. doi: 10.1038/s41467-023-40559-5.,"['Jones, Ross D', 'Qian, Yili', 'Ilia, Katherine', 'Wang, Benjamin', 'Laub, Michael T', 'Del Vecchio, Domitilla', 'Weiss, Ron']",[],Author Correction: Robust and tunable signal processing in mammalian cells via engineered covalent modification cycles.,
2023 Feb 24,Journal of visualized experiments : JoVE,J Vis Exp. 2023 Feb 24;(192). doi: 10.3791/64793.,"['Wauford, Noreen', 'Jones, Ross', 'Van De Mark, Charles', 'Weiss, Ron']","['animals', 'transfection', 'cell line', ' dna', ' mammals']",Rapid Development of Cell State Identification Circuits with Poly-Transfection.,"Mammalian genetic circuits have demonstrated the potential to sense and treat a wide range of disease states, but optimization of the levels of circuit components remains challenging and labor-intensive. To accelerate this process, our lab developed poly-transfection, a high-throughput extension of traditional mammalian transfection. In poly-transfection, each cell in the transfected population essentially performs a different experiment, testing the behavior of the circuit at different DNA copy numbers and allowing users to analyze a large number of stoichiometries in a single-pot reaction. So far, poly-transfections that optimize ratios of three-component circuits in a single well of cells have been demonstrated; in principle, the same method can be used for the development of even larger circuits. Poly-transfection results can be easily applied to find optimal ratios of DNA to co-transfect for transient circuits or to choose expression levels for circuit components for the generation of stable cell lines. Here, we demonstrate the use of poly-transfection to optimize a three-component circuit. The protocol begins with experimental design principles and explains how poly-transfection builds upon traditional co-transfection methods. Next, poly-transfection of cells is carried out and followed by flow cytometry a few days later. Finally, the data is analyzed by examining slices of the single-cell flow cytometry data that correspond to subsets of cells with certain component ratios. In the lab, poly-transfection has been used to optimize cell classifiers, feedback and feedforward controllers, bistable motifs, and many more. This simple but powerful method speeds up design cycles for complex genetic circuits in mammalian cells."
2023 Jan 25,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jan 25:2023.01.25.525529. doi: ,"['Ilia, Katherine', 'Shakiba, Nika', 'Bingham, Trevor', 'Jones, Ross D', 'Kaminski, Michael M', 'Aravera, Eliezer', 'Bruno, Simone', 'Palacios, Sebastian', 'Weiss, Ron', 'Collins, James J', 'Del Vecchio, Domitilla', 'Schlaeger, Thorsten M']",[],Synthetic genetic circuits to uncover and enforce the OCT4 trajectories of successful reprogramming of human fibroblasts.,"Reprogramming human fibroblasts to induced pluripotent stem cells (iPSCs) is inefficient, with heterogeneity among transcription factor (TF) trajectories driving divergent cell states. Nevertheless, the impact of TF dynamics on reprogramming efficiency remains uncharted. Here, we identify the successful reprogramming trajectories of the core pluripotency TF, OCT4, and design a genetic controller that enforces such trajectories with high precision. By combining a genetic circuit that generates a wide range of OCT4 trajectories with live-cell imaging, we track OCT4 trajectories with clonal resolution and find that a distinct constant OCT4 trajectory is required for colony formation. We then develop a synthetic genetic circuit that yields a tight OCT4 distribution around the identified trajectory and outperforms in terms of reprogramming efficiency other circuits that less accurately regulate OCT4. Our synthetic biology approach is generalizable for identifying and enforcing TF dynamics for cell fate programming applications."
2022 Dec 21,Cell systems,Cell Syst. 2022 Dec 21;13(12):950-973. doi: 10.1016/j.cels.2022.11.005.,"['Cabrera, Alan', 'Edelstein, Hailey I', 'Glykofrydis, Fokion', 'Love, Kasey S', 'Palacios, Sebastian', 'Tycko, Josh', 'Zhang, Meng', 'Lensch, Sarah', 'Shields, Cara E', 'Livingston, Mark', 'Weiss, Ron', 'Zhao, Huimin', 'Haynes, Karmella A', 'Morsut, Leonardo', 'Chen, Yvonne Y', 'Khalil, Ahmad S', 'Wong, Wilson W', 'Collins, James J', 'Rosser, Susan J', 'Polizzi, Karen', 'Elowitz, Michael B', 'Fussenegger, Martin', 'Hilton, Isaac B', 'Leonard, Joshua N', 'Bintu, Lacramioara', 'Galloway, Kate E', 'Deans, Tara L']","['animals', 'transgenes genetics', ' genetic engineering', ' gene regulatory networks', 'cell communication', 'mammals genetics', 'genome engineering', 'mammalian synthetic biology', 'synthetic gene circuit stability', 'transgene silencing']",The sound of silence: Transgene silencing in mammalian cell engineering.,"To elucidate principles operating in native biological systems and to develop novel biotechnologies, synthetic biology aims to build and integrate synthetic gene circuits within native transcriptional networks. The utility of synthetic gene circuits for cell engineering relies on the ability to control the expression of all constituent transgene components. Transgene silencing, defined as the loss of expression over time, persists as an obstacle for engineering primary cells and stem cells with transgenic cargos. In this review, we highlight the challenge that transgene silencing poses to the robust engineering of mammalian cells, outline potential molecular mechanisms of silencing, and present approaches for preventing transgene silencing. We conclude with a perspective identifying future research directions for improving the performance of synthetic gene circuits."
2022 May 11,Nature communications,Nat Commun. 2022 May 11;13(1):2582. doi: 10.1038/s41467-022-30172-3.,"['DiAndreth, Breanna', 'Wauford, Noreen', 'Hu, Eileen', 'Palacios, Sebastian', 'Weiss, Ron']","[' clustered regularly interspaced short palindromic repeats genetics', 'gene expression regulation', 'gene regulatory networks', ' rna', 'reproducibility of results', 'transcription factors genetics', 'transgenes']",PERSIST platform provides programmable RNA regulation using CRISPR endoRNases.,"Regulated transgene expression is an integral component of gene therapies, cell therapies and biomanufacturing. However, transcription factor-based regulation, upon which most applications are based, suffers from complications such as epigenetic silencing that limit expression longevity and reliability. Constitutive transgene transcription paired with post-transcriptional gene regulation could combat silencing, but few such RNA- or protein-level platforms exist. Here we develop an RNA-regulation platform we call ""PERSIST"" which consists of nine CRISPR-specific endoRNases as RNA-level activators and repressors as well as modular OFF- and ON-switch regulatory motifs. We show that PERSIST-regulated transgenes exhibit strong OFF and ON responses, resist silencing for at least two months, and can be readily layered to construct cascades, logic functions, switches and other sophisticated circuit topologies. The orthogonal, modular and composable nature of this platform as well as the ease in constructing robust and predictable gene circuits promises myriad applications in gene and cell therapies."
2022 Mar 31,Nature communications,Nat Commun. 2022 Mar 31;13(1):1720. doi: 10.1038/s41467-022-29338-w.,"['Jones, Ross D', 'Qian, Yili', 'Ilia, Katherine', 'Wang, Benjamin', 'Laub, Michael T', 'Del Vecchio, Domitilla', 'Weiss, Ron']","['animals', ' bacterial proteins', 'histidine kinase genetics', 'mammals', 'phosphorylation', ' phosphotransferases', 'signal transduction']",Robust and tunable signal processing in mammalian cells via engineered covalent modification cycles.,"Engineered signaling networks can impart cells with new functionalities useful for directing differentiation and actuating cellular therapies. For such applications, the engineered networks must be tunable, precisely regulate target gene expression, and be robust to perturbations within the complex context of mammalian cells. Here, we use bacterial two-component signaling proteins to develop synthetic phosphoregulation devices that exhibit these properties in mammalian cells. First, we engineer a synthetic covalent modification cycle based on kinase and phosphatase proteins derived from the bifunctional histidine kinase EnvZ, enabling analog tuning of gene expression via its response regulator OmpR. By regulating phosphatase expression with endogenous miRNAs, we demonstrate cell-type specific signaling responses and a new strategy for accurate cell type classification. Finally, we implement a tunable negative feedback controller via a small molecule-stabilized phosphatase, reducing output expression variance and mitigating the context-dependent effects of off-target regulation and resource competition. Our work lays the foundation for establishing tunable, precise, and robust control over cell behavior with synthetic signaling networks."
2020 Sep,Nature cancer,Nat Cancer. 2020 Sep;1(9):882-893. doi: 10.1038/s43018-020-0095-6. Epub 2020 Aug ,"['Li, Yingzhong', 'Su, Zhijun', 'Zhao, Weiyu', 'Zhang, Xinfu', 'Momin, Noor', 'Zhang, Chengxiang', 'Wittrup, K Dane', 'Dong, Yizhou', 'Irvine, Darrell J', 'Weiss, Ron']","['animals', 'immunotherapy methods', 'interleukin-12 genetics', 'liposomes', 'mice', ' nanoparticles', ' neoplasms genetics', 'rna', 'tumor microenvironment']",Multifunctional oncolytic nanoparticles deliver self-replicating IL-12 RNA to eliminate established tumors and prime systemic immunity.,"Therapies that synergistically stimulate immunogenic cancer cell death (ICD), inflammation, and immune priming are of great interest for cancer immunotherapy. However, even multi-agent therapies often fail to trigger all of the steps necessary for self-sustaining anti-tumor immunity. Here we describe self-replicating RNAs encapsulated in lipid nanoparticles (LNP-replicons), which combine three key elements: (1) an LNP composition that potently promotes ICD, (2) RNA that stimulates danger sensors in transfected cells, and (3) RNA-encoded IL-12 for modulation of immune cells. Intratumoral administration of LNP-replicons led to high-level expression of IL-12, stimulation of a type I interferon response, and cancer cell ICD, resulting in a highly inflamed tumor microenvironment and priming of systemic anti-tumor immunity. In several mouse models of cancer, a single intratumoral injection of replicon-LNPs eradicated large established tumors, induced protective immune memory, and enabled regression of distal uninjected tumors. LNP-replicons are thus a promising multifunctional single-agent immunotherapeutic."
2021 Jul 15,Communications biology,Commun Biol. 2021 Jul 15;4(1):875. doi: 10.1038/s42003-021-02325-5.,"['Kiwimagi, Katherine A', 'Letendre, Justin H', 'Weinberg, Benjamin H', 'Wang, Junmin', 'Chen, Mingzhe', 'Watanabe, Leandro', 'Myers, Chris J', 'Beal, Jacob', 'Wong, Wilson W', 'Weiss, Ron']","['genetic engineering  methods', 'roc curve', 'recombinases  genetics', ' signal transduction', 'synthetic biology  methods']",Quantitative characterization of recombinase-based digitizer circuits enables predictable amplification of biological signals.,"Many synthetic gene circuits are restricted to single-use applications or require iterative refinement for incorporation into complex systems. One example is the recombinase-based digitizer circuit, which has been used to improve weak or leaky biological signals. Here we present a workflow to quantitatively define digitizer performance and predict responses to different input signals. Using a combination of signal-to-noise ratio (SNR), area under a receiver operating characteristic curve (AUC), and fold change (FC), we evaluate three small-molecule inducible digitizer designs demonstrating FC up to 508x and SNR up to 3.77 dB. To study their behavior further and improve modularity, we develop a mixed phenotypic/mechanistic model capable of predicting digitizer configurations that amplify a synNotch cell-to-cell communication signal (Δ SNR up to 2.8 dB). We hope the metrics and modeling approaches here will facilitate incorporation of these digitizers into other systems while providing an improved workflow for gene circuit characterization."
