time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Mobile DNA,Mob DNA. 2024 Jun 11;15(1):12. doi: 10.1186/s13100-024-00322-z.,"['Frangieh, Chris J', 'Wilkinson, Max E', 'Strebinger, Daniel', 'Strecker, Jonathan', 'Walsh, Michelle L', 'Faure, Guilhem', 'Yushenova, Irina A', 'Macrae, Rhiannon K', 'Arkhipova, Irina R', 'Zhang, Feng']","['giy-yig endonuclease', 'hammerhead ribozyme', 'reverse transcriptase']",Internal initiation of reverse transcription in a Penelope-like retrotransposon.,"Eukaryotic retroelements are generally divided into two classes: long terminal repeat (LTR) retrotransposons and non-LTR retrotransposons. A third class of eukaryotic retroelement, the Penelope-like elements (PLEs), has been well-characterized bioinformatically, but relatively little is known about the transposition mechanism of these elements. PLEs share some features with the R2 retrotransposon from Bombyx mori, which uses a target-primed reverse transcription (TPRT) mechanism, but their distinct phylogeny suggests PLEs may utilize a novel mechanism of mobilization. Using protein purified from E. coli, we report unique in vitro properties of a PLE from the green anole (Anolis carolinensis), revealing mechanistic aspects not shared by other retrotransposons. We found that reverse transcription is initiated at two adjacent sites within the transposon RNA that is not homologous to the cleaved DNA, a feature that is reflected in the genomic ""tail"" signature shared between and unique to PLEs. Our results for the first active PLE in vitro provide a starting point for understanding PLE mobilization and biology."
2024 May 29,Nature,Nature. 2024 May 29. doi: 10.1038/s41586-024-07497-8.,"['Shuto, Yutaro', 'Nakagawa, Ryoya', 'Zhu, Shiyou', 'Hoki, Mizuki', 'Omura, Satoshi N', 'Hirano, Hisato', 'Itoh, Yuzuru', 'Zhang, Feng', 'Nureki, Osamu']",[],Structural basis for pegRNA-guided reverse transcription by a prime editor.,"The prime editor system composed of Streptococcus pyogenes Cas9 nickase (nSpCas9) and engineered Moloney murine leukaemia virus reverse transcriptase (M-MLV RT) collaborates with a prime editing guide RNA (pegRNA) to facilitate a wide variety of precise genome edits in living cells(1). However, owing to a lack of structural information, the molecular mechanism of pegRNA-guided reverse transcription by the prime editor remains poorly understood. Here we present cryo-electron microscopy structures of the SpCas9-M-MLV RTΔRNaseH-pegRNA-target DNA complex in multiple states. The termination structure, along with our functional analysis, reveals that M-MLV RT extends reverse transcription beyond the expected site, resulting in scaffold-derived incorporations that cause undesired edits at the target loci. Furthermore, structural comparisons among the pre-initiation, initiation and elongation states show that M-MLV RT remains in a consistent position relative to SpCas9 during reverse transcription, whereas the pegRNA-synthesized DNA heteroduplex builds up along the surface of SpCas9. On the basis of our structural insights, we rationally engineered pegRNA variants and prime-editor variants in which M-MLV RT is fused within SpCas9. Collectively, our findings provide structural insights into the stepwise mechanism of prime editing, and will pave the way for the development of a versatile prime editing toolbox."
2023,Frontiers in psychology,Front Psychol. 2024 Jan 8;14:1239123. doi: 10.3389/fpsyg.2023.1239123. ,"['Ivcevic, Zorana', 'Shen, Shuting', 'Lin, Shengjie', 'Cheng, David', 'Probasco, Ryan', 'Silbermann, Ben', 'Zhang, Feng', 'Lin, Xihong', 'Brackett, Marc']","['covid-19 pandemic', 'demographic differences', 'negative affect', 'positive affect', 'protective behavior', 'stressors']",Daily positive and negative affect during the COVID-19 pandemic.,"The COVID-19 pandemic influenced emotional experiences globally. We examined daily positive and negative affect between May/June 2020 and February 2021 (N = 151,049; 3,509,982 observations) using a convenience sample from a national mobile application-based survey that asked for daily affect reports. Four questions were examined: (1) How did people in the United States feel from May/June 2020 to February 2021?; (2) What demographic variables are related to positive and negative affect?; (3) What is the relationship between experienced stressors and daily affect?; and (4) What is the relationship between daily affect and preventive behavior? Positive affect increased, and negative decreased over time. Demographic differences mirrored those from before the pandemic (e.g., younger participants reported more negative and less positive affect). Stressors such as feeling unwell, experiencing COVID-19 symptoms, exposure to COVID-19, and lack of sleep were associated with less positive and more negative affect. Exercising protective behaviors predicted future affect, and affect also predicted future protective behaviors (e.g., less protective behavior when happy but more when grateful and thoughtful). The implications for public health communication were discussed."
2023 Dec 13,Cell genomics,Cell Genom. 2023 Nov 21;3(12):100440. doi: 10.1016/j.xgen.2023.100440. ,"['Normandin, Erica', 'Triana, Sergio', 'Raju, Siddharth S', 'Lan, Tammy C T', 'Lagerborg, Kim', 'Rudy, Melissa', 'Adams, Gordon C', 'DeRuff, Katherine C', 'Logue, James', 'Liu, David', 'Strebinger, Daniel', 'Rao, Arya', 'Messer, Katelyn S', 'Sacks, Molly', 'Adams, Ricky D', 'Janosko, Krisztina', 'Kotliar, Dylan', 'Shah, Rickey', 'Crozier, Ian', 'Rinn, John L', 'Melé, Marta', 'Honko, Anna N', 'Zhang, Feng', 'Babadi, Mehrtash', 'Luban, Jeremy', 'Bennett, Richard S', 'Shalek, Alex K', 'Barkas, Nikolaos', 'Lin, Aaron E', 'Hensley, Lisa E', 'Sabeti, Pardis C', 'Siddle, Katherine J']","['animals', ' hemorrhagic fever, ebola pathology', 'macaca mulatta', ' ebolavirus genetics', ' hemorrhagic fevers, viral', 'ebola virus', 'ebola virus disease', 'deconvolution', 'hemorrhagic fevers', 'host-virus interactions', 'minigenome', 'non-human primates', 'transcriptomics', 'viral variants']",Natural history of Ebola virus disease in rhesus monkeys shows viral variant emergence dynamics and tissue-specific host responses.,"Ebola virus (EBOV) causes Ebola virus disease (EVD), marked by severe hemorrhagic fever; however, the mechanisms underlying the disease remain unclear. To assess the molecular basis of EVD across time, we performed RNA sequencing on 17 tissues from a natural history study of 21 rhesus monkeys, developing new methods to characterize host-pathogen dynamics. We identified alterations in host gene expression with previously unknown tissue-specific changes, including downregulation of genes related to tissue connectivity. EBOV was widely disseminated throughout the body; using a new, broadly applicable deconvolution method, we found that viral load correlated with increased monocyte presence. Patterns of viral variation between tissues differentiated primary infections from compartmentalized infections, and several variants impacted viral fitness in a EBOV/Kikwit minigenome system, suggesting that functionally significant variants can emerge during early infection. This comprehensive portrait of host-pathogen dynamics in EVD illuminates new features of pathogenesis and establishes resources to study other emerging pathogens."
2023 Dec 1,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Dec 1:2023.11.30.569407. doi: 10.1101/2023.11.30.569407.,"['Tzouanas, Constantine N', 'Sherman, Marc S', 'Shay, Jessica E S', 'Rubin, Adam J', 'Mead, Benjamin E', 'Dao, Tyler T', 'Butzlaff, Titus', 'Mana, Miyeko D', 'Kolb, Kellie E', 'Walesky, Chad', 'Pepe-Mooney, Brian J', 'Smith, Colton J', 'Prakadan, Sanjay M', 'Ramseier, Michelle L', 'Tong, Evelyn Y', 'Joung, Julia', 'Chi, Fangtao', 'McMahon-Skates, Thomas', 'Winston, Carolyn L', 'Jeong, Woo-Jeong', 'Aney, Katherine J', 'Chen, Ethan', 'Nissim, Sahar', 'Zhang, Feng', 'Deshpande, Vikram', 'Lauer, Georg M', 'Yilmaz, Ömer H', 'Goessling, Wolfram', 'Shalek, Alex K']",[],Chronic metabolic stress drives developmental programs and loss of tissue functions in non-transformed liver that mirror tumor states and stratify survival.,"Under chronic stress, cells must balance competing demands between cellular survival and tissue function. In metabolic dysfunction-associated steatotic liver disease (MASLD, formerly NAFLD/NASH), hepatocytes cooperate with structural and immune cells to perform crucial metabolic, synthetic, and detoxification functions despite nutrient imbalances. While prior work has emphasized stress-induced drivers of cell death, the dynamic adaptations of surviving cells and their functional repercussions remain unclear. Namely, we do not know which pathways and programs define cellular responses, what regulatory factors mediate (mal)adaptations, and how this aberrant activity connects to tissue-scale dysfunction and long-term disease outcomes. Here, by applying longitudinal single-cell multi -omics to a mouse model of chronic metabolic stress and extending to human cohorts, we show that stress drives survival-linked tradeoffs and metabolic rewiring, manifesting as shifts towards development-associated states in non-transformed hepatocytes with accompanying decreases in their professional functionality. Diet-induced adaptations occur significantly prior to tumorigenesis but parallel tumorigenesis-induced phenotypes and predict worsened human cancer survival. Through the development of a multi -omic computational gene regulatory inference framework and human in vitro and mouse in vivo genetic perturbations, we validate transcriptional (RELB, SOX4) and metabolic (HMGCS2) mediators that co-regulate and couple the balance between developmental state and hepatocyte functional identity programming. Our work defines cellular features of liver adaptation to chronic stress as well as their links to long-term disease outcomes and cancer hallmarks, unifying diverse axes of cellular dysfunction around core causal mechanisms."
2023 Nov 24,"Science (New York, N.Y.)",Science. 2023 Nov 24;382(6673):eadi1910. doi: 10.1126/science.adi1910. Epub 2023 ,"['Altae-Tran, Han', 'Kannan, Soumya', 'Suberski, Anthony J', 'Mears, Kepler S', 'Demircioglu, F Esra', 'Moeller, Lukas', 'Kocalar, Selin', 'Oshiro, Rachel', 'Makarova, Kira S', 'Macrae, Rhiannon K', 'Koonin, Eugene V', 'Zhang, Feng']","[' crispr-cas systems genetics', ' gene editing', 'humans', 'hek293 cells', 'cluster analysis', 'algorithms', ' crispr-associated proteins chemistry classification genetics', 'dna cleavage', 'rna, guide, crispr-cas systems', 'datasets as topic', ' data mining methods']",Uncovering the functional diversity of rare CRISPR-Cas systems with deep terascale clustering.,"Microbial systems underpin many biotechnologies, including CRISPR, but the exponential growth of sequence databases makes it difficult to find previously unidentified systems. In this work, we develop the fast locality-sensitive hashing-based clustering (FLSHclust) algorithm, which performs deep clustering on massive datasets in linearithmic time. We incorporated FLSHclust into a CRISPR discovery pipeline and identified 188 previously unreported CRISPR-linked gene modules, revealing many additional biochemical functions coupled to adaptive immunity. We experimentally characterized three HNH nuclease-containing CRISPR systems, including the first type IV system with a specified interference mechanism, and engineered them for genome editing. We also identified and characterized a candidate type VII system, which we show acts on RNA. This work opens new avenues for harnessing CRISPR and for the broader exploration of the vast functional diversity of microbial proteins."
2023 Nov 14,BMC biology,BMC Biol. 2023 Nov 14;21(1):232. doi: 10.1186/s12915-023-01714-y.,"['Bustos, Fernando J', 'Pandian, Swarna', 'Haensgen, Henny', 'Zhao, Jian-Ping', 'Strouf, Haley', 'Heidenreich, Matthias', 'Swiech, Lukasz', 'Deverman, Benjamin E', 'Gradinaru, Viviana', 'Zhang, Feng', 'Constantine-Paton, Martha']","['mice', 'animals', ' autism spectrum disorder genetics', 'dna copy number variations', 'rna, guide, crispr-cas systems', 'synaptic transmission genetics', 'genomics', 'asd', 'anxiety', 'dn-crispr', 'gene-editing', 'therapy']",Removal of a partial genomic duplication restores synaptic transmission and behavior in the MyosinVA mutant mouse Flailer.,"BACKGROUND: Copy number variations, and particularly duplications of genomic regions, have been strongly associated with various neurodegenerative conditions including autism spectrum disorder (ASD). These genetic variations have been found to have a significant impact on brain development and function, which can lead to the emergence of neurological and behavioral symptoms. Developing strategies to target these genomic duplications has been challenging, as the presence of endogenous copies of the duplicate genes often complicates the editing strategies. RESULTS: Using the ASD and anxiety mouse model Flailer, which contains a partial genomic duplication working as a dominant negative for MyoVa, we demonstrate the use of DN-CRISPRs to remove a 700 bp genomic region in vitro and in vivo. Importantly, DN-CRISPRs have not been used to remove genomic regions using sgRNA with an offset greater than 300 bp. We found that editing the flailer gene in primary cortical neurons reverts synaptic transport and transmission defects. Moreover, long-term depression (LTD), disrupted in Flailer animals, is recovered after gene editing. Delivery of DN-CRISPRs in vivo shows that local delivery to the ventral hippocampus can rescue some of the mutant behaviors, while intracerebroventricular delivery, completely recovers the Flailer animal phenotype associated to anxiety and ASD. CONCLUSIONS: Our results demonstrate the potential of DN-CRISPR to efficiently remove larger genomic duplications, working as a new gene therapy approach for treating neurodegenerative diseases."
2023 Nov,Nature reviews. Drug discovery,Nat Rev Drug Discov. 2023 Nov;22(11):875-894. doi: 10.1038/s41573-023-00762-x. ,"['Madigan, Victoria', 'Zhang, Feng', 'Dahlman, James E']","['animals', ' gene editing', ' crispr-cas systems genetics', 'gene transfer techniques', 'drug delivery systems', 'proteins genetics']",Drug delivery systems for CRISPR-based genome editors.,"CRISPR-based drugs can theoretically manipulate any genetic target. In practice, however, these drugs must enter the desired cell without eliciting an unwanted immune response, so a delivery system is often required. Here, we review drug delivery systems for CRISPR-based genome editors, focusing on adeno-associated viruses and lipid nanoparticles. After describing how these systems are engineered and their subsequent characterization in preclinical animal models, we highlight data from recent clinical trials. Preclinical targeting mediated by polymers, proteins, including virus-like particles, and other vehicles that may deliver CRISPR systems in the future is also discussed."
2023 Aug 23,Nature communications,Nat Commun. 2023 Aug 23;14(1):5141. doi: 10.1038/s41467-023-40788-8.,"['Strebinger, Daniel', 'Frangieh, Chris J', 'Friedrich, Mirco J', 'Faure, Guilhem', 'Macrae, Rhiannon K', 'Zhang, Feng']","['humans', ' antibodies', ' lentivirus', 'membrane fusion', 'tropism', 'viral envelope proteins']",Cell type-specific delivery by modular envelope design.,"The delivery of genetic cargo remains one of the largest obstacles to the successful translation of experimental therapies, in large part due to the absence of targetable delivery vectors. Enveloped delivery modalities use viral envelope proteins, which determine tropism and induce membrane fusion. Here we develop DIRECTED (Delivery to Intended REcipient Cells Through Envelope Design), a modular platform that consists of separate fusion and targeting components. To achieve high modularity and programmable cell type specificity, we develop multiple strategies to recruit or immobilize antibodies on the viral envelope, including a chimeric antibody binding protein and a SNAP-tag enabling the use of antibodies or other proteins as targeting molecules. Moreover, we show that fusogens from multiple viral families are compatible with DIRECTED and that DIRECTED components can target multiple delivery chassis (e.g., lentivirus and MMLV gag) to specific cell types, including primary human T cells in PBMCs and whole blood."
2023 Aug,Nature immunology,Nat Immunol. 2023 Aug;24(8):1382-1390. doi: 10.1038/s41590-023-01558-2. Epub 2023 ,"['Dolan, Michael-John', 'Therrien, Martine', 'Jereb, Saša', 'Kamath, Tushar', 'Gazestani, Vahid', 'Atkeson, Trevor', 'Marsh, Samuel E', 'Goeva, Aleksandrina', 'Lojek, Neal M', 'Murphy, Sarah', 'White, Cassandra M', 'Joung, Julia', 'Liu, Bingxu', 'Limone, Francesco', 'Eggan, Kevin', 'Hacohen, Nir', 'Bernstein, Bradley E', 'Glass, Christopher K', 'Leinonen, Ville', 'Blurton-Jones, Mathew', 'Zhang, Feng', 'Epstein, Charles B', 'Macosko, Evan Z', 'Stevens, Beth']","['humans', 'microglia', ' induced pluripotent stem cells', ' alzheimer disease genetics', 'brain', ' neurodegenerative diseases']",Exposure of iPSC-derived human microglia to brain substrates enables the generation and manipulation of diverse transcriptional states in vitro.,"Microglia, the macrophages of the brain parenchyma, are key players in neurodegenerative diseases such as Alzheimer's disease. These cells adopt distinct transcriptional subtypes known as states. Understanding state function, especially in human microglia, has been elusive owing to a lack of tools to model and manipulate these cells. Here, we developed a platform for modeling human microglia transcriptional states in vitro. We found that exposure of human stem-cell-differentiated microglia to synaptosomes, myelin debris, apoptotic neurons or synthetic amyloid-beta fibrils generated transcriptional diversity that mapped to gene signatures identified in human brain microglia, including disease-associated microglia, a state enriched in neurodegenerative diseases. Using a new lentiviral approach, we demonstrated that the transcription factor MITF drives a disease-associated transcriptional signature and a highly phagocytic state. Together, these tools enable the manipulation and functional interrogation of human microglial states in both homeostatic and disease-relevant contexts."
