time,journal,doi_info,authors,key words,title,abstract
2024 Jun,The Journal of biological chemistry,J Biol Chem. 2024 Jun;300(6):107323. doi: 10.1016/j.jbc.2024.107323. Epub 2024 ,"['Beaudet, Daniel', 'Berger, Christopher L', 'Hendricks, Adam G']","[' kinesins metabolism genetics', ' tau proteins metabolism genetics', ' dyneins metabolism genetics', 'animals', ' microtubules metabolism', 'phagosomes metabolism', 'biological transport', 'mice', 'humans', 'endocytosis physiology', 'dynein', 'in\xa0vitro reconstitution', 'kinesin', 'mathematical modeling', 'microtubule-associated protein (map)', 'optical tweezers', 'organelle transport', 'tau protein (tau)']",The types and numbers of kinesins and dyneins transporting endocytic cargoes modulate their motility and response to tau.,"Organelles and vesicular cargoes are transported by teams of kinesin and dynein motors along microtubules. We isolated endocytic organelles from cells at different stages of maturation and reconstituted their motility along microtubules in vitro. We asked how the sets of motors transporting a cargo determine its motility and response to the microtubule-associated protein tau. Here, we find that phagosomes move in both directions along microtubules, but the directional bias changes during maturation. Early phagosomes exhibit retrograde-biased transport while late phagosomes are directionally unbiased. Correspondingly, early and late phagosomes are bound by different numbers and combinations of kinesins-1, -2, -3, and dynein. Tau stabilizes microtubules and directs transport within neurons. While single-molecule studies show that tau differentially regulates the motility of kinesins and dynein in vitro, less is known about its role in modulating the trafficking of endogenous cargoes transported by their native teams of motors. Previous studies showed that tau preferentially inhibits kinesin motors, which biases late phagosome transport towards the microtubule minus-end. Here, we show that tau strongly inhibits long-range, dynein-mediated motility of early phagosomes. Tau reduces forces generated by teams of dynein motors on early phagosomes and accelerates dynein unbinding under load. Thus, cargoes differentially respond to tau, where dynein complexes on early phagosomes are more sensitive to tau inhibition than those on late phagosomes. Mathematical modeling further explains how small changes in the number of kinesins and dynein on cargoes impact the net directionality but also that cargoes with different sets of motors respond differently to tau."
2023 Oct 1,Molecular biology of the cell,Mol Biol Cell. 2023 Oct 1;34(11):ar111. doi: 10.1091/mbc.E23-07-0287. Epub 2023 ,"['Nithianantham, Stanley', 'Iwanski, Malina K', 'Gaska, Ignas', 'Pandey, Himanshu', 'Bodrug, Tatyana', 'Inagaki, Sayaka', 'Major, Jennifer', 'Brouhard, Gary J', 'Gheber, Larissa', 'Rosenfeld, Steven S', 'Forth, Scott', 'Hendricks, Adam G', 'Al-Bassam, Jawdat']","['humans', 'animals', ' kinesins', ' microtubules', 'spindle apparatus', 'cluster analysis', 'drosophila']",The kinesin-5 tail and bipolar minifilament domains are the origin of its microtubule crosslinking and sliding activity.,"Kinesin-5 crosslinks and slides apart microtubules to assemble, elongate, and maintain the mitotic spindle. Kinesin-5 is a tetramer, where two N-terminal motor domains are positioned at each end of the motor, and the coiled-coil stalk domains are organized into a tetrameric bundle through the bipolar assembly (BASS) domain. To dissect the function of the individual structural elements of the motor, we constructed a minimal kinesin-5 tetramer (mini-tetramer). We determined the x-ray structure of the extended, 34-nm BASS domain. Guided by these structural studies, we generated active bipolar kinesin-5 mini-tetramer motors from Drosophila melanogastor and human orthologues which are half the length of native kinesin-5. We then used these kinesin-5 mini-tetramers to examine the role of two unique structural adaptations of kinesin-5: 1) the length and flexibility of the tetramer, and 2) the C-terminal tails which interact with the motor domains to coordinate their ATPase activity. The C-terminal domain causes frequent pausing and clustering of kinesin-5. By comparing microtubule crosslinking and sliding by mini-tetramer and full-length kinesin-5, we find that both the length and flexibility of kinesin-5 and the C-terminal tails govern its ability to crosslink microtubules. Once crosslinked, stiffer mini-tetramers slide antiparallel microtubules more efficiently than full-length motors."
2023 Apr 4,Biophysical journal,Biophys J. 2023 Apr 4;122(7):1168-1184. doi: 10.1016/j.bpj.2023.02.006. Epub 2023 ,"['Prowse, Emily N P', 'Chaudhary, Abdullah R', 'Sharon, David', 'Hendricks, Adam G']","[' dyneins metabolism', ' kinesins metabolism', 'phosphorylation', 'lysosomes metabolism', 'microtubules metabolism', 'endosomes metabolism']",Huntingtin S421 phosphorylation increases kinesin and dynein engagement on early endosomes and lysosomes.,"Huntingtin (HTT) is a scaffolding protein that recruits motor proteins to vesicular cargoes, enabling it to regulate kinesin-1, dynein, and myosin-VI-dependent transport. To maintain the native stoichiometry of HTT with its interacting partners, we used CRISPR/Cas9 to induce a phosphomimetic mutation of the endogenous HTT at S421 (HTT-S421D). Using single-particle tracking, optical tweezers, and immunofluorescence, we examined the effects of this mutation on the motility of early endosomes and lysosomes. In HTT-S421D cells, lysosomes exhibit longer displacements and higher processive fractions compared with wild-type (HTT-WT) cells. Kinesins and dyneins exert greater forces on early endosomes and lysosomes in cells expressing HTT-S421D. In addition, endosomes bind to microtubules faster and are more resistant to detachment under load. The recruitment of kinesins and dyneins to microtubules is enhanced in HTT-S421D cells. In contrast, overexpression of HTT had variable effects on the processivity, displacement, and directional bias of both early endosomes and lysosomes. These data indicate that phosphorylation of the endogenous HTT causes early endosomes and lysosomes to move longer distances and more processively by recruiting and activating both kinesin-1 and dynein."
2023,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2023;2623:113-132. doi: 10.1007/978-1-0716-2958-1_8.,"['Beaudet, Daniel', 'Hendricks, Adam G']","[' microtubules metabolism', ' dyneins metabolism', 'kinesins metabolism', 'biological transport', 'phagosomes metabolism', 'adaptor proteins, signal transducing metabolism', 'adaptor proteins', 'dynein', 'kinesin', 'microtubule-associated proteins', 'microtubules', 'motility assay', 'optical trap', 'organelle transport', 'phagocytosis', 'phagosome isolation', 'quantitative photobleaching analysis']",Reconstitution of Organelle Transport Along Microtubules In Vitro.,"In this chapter, we describe methods for reconstituting and analyzing the transport of isolated endogenous cargoes in vitro. Intracellular cargoes are transported along microtubules by teams of kinesin and dynein motors and their cargo-specific adaptor proteins. Observations from living cells show that organelles and vesicular cargoes exhibit diverse motility characteristics. Yet, our knowledge of the molecular mechanisms by which intracellular transport is regulated is not well understood. Here, we describe step-by-step protocols for the extraction of phagosomes from cells at different stages of maturation, and reconstitution of their motility along microtubules in vitro. Quantitative immunofluorescence and photobleaching techniques are also described to measure the number of motors and adaptor proteins on these isolated cargoes. In addition, we describe techniques for tracking the motility of isolated cargoes along microtubules using TIRF microscopy and quantitative force measurements using an optical trap. These methods enable us to study how the sets of motors and adaptors that drive the transport of endogenous cargoes regulate their trafficking in cells."
2022 Nov 1,Molecular biology of the cell,Mol Biol Cell. 2022 Nov 1;33(13):ar128. doi: 10.1091/mbc.E22-01-0018. Epub 2022 ,"['Balabanian, Linda', 'Lessard, Dominique V', 'Swaminathan, Karthikeyan', 'Yaninska, Pamela', 'Sébastien, Muriel', 'Wang, Samuel', 'Stevens, Piper W', 'Wiseman, Paul W', 'Berger, Christopher L', 'Hendricks, Adam G']","[' dyneins metabolism', ' kinesins', 'microtubules metabolism', 'microtubule-associated proteins metabolism', 'lysosomes metabolism', 'endosomes metabolism', 'tau proteins metabolism', 'biological transport']",Tau differentially regulates the transport of early endosomes and lysosomes.,"Microtubule-associated proteins (MAPs) modulate the motility of kinesin and dynein along microtubules to control the transport of vesicles and organelles. The neuronal MAP tau inhibits kinesin-dependent transport. Phosphorylation of tau at Tyr-18 by fyn kinase results in weakened inhibition of kinesin-1. We examined the motility of early endosomes and lysosomes in cells expressing wild-type (WT) tau and phosphomimetic Y18E tau. We quantified the effects on motility as a function of the tau expression level. Lysosome motility is strongly inhibited by tau. Y18E tau preferentially inhibits lysosomes in the cell periphery, while centrally located lysosomes are less affected. Early endosomes are more sensitive to tau than lysosomes and are inhibited by both WT and Y18E tau. Our results show that different cargoes have disparate responses to tau, likely governed by the types of kinesin motors driving their transport. In support of this model, kinesin-1 and -3 are strongly inhibited by tau while kinesin-2 and dynein are less affected. In contrast to kinesin-1, we find that kinesin-3 is strongly inhibited by phosphorylated tau."
2022 Feb 15,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Feb 15;119(7):e2114215119. doi: ,"['Cario, Alisa', 'Savastano, Adriana', 'Wood, Neil B', 'Liu, Zhu', 'Previs, Michael J', 'Hendricks, Adam G', 'Zweckstetter, Markus', 'Berger, Christopher L']","['amino acid sequence', 'amino acid substitution', 'humans', 'microtubules chemistry genetics  metabolism', 'mutation', 'tau proteins chemistry genetics  metabolism', 'nmr spectroscopy', 'tirf microscopy', 'tau', 'microtubule', 'neurodegenerative diseases']",The pathogenic R5L mutation disrupts formation of Tau complexes on the microtubule by altering local N-terminal structure.,"The microtubule-associated protein (MAP) Tau is an intrinsically disordered protein (IDP) primarily expressed in axons, where it functions to regulate microtubule dynamics, modulate motor protein motility, and participate in signaling cascades. Tau misregulation and point mutations are linked to neurodegenerative diseases, including progressive supranuclear palsy (PSP), Pick's disease, and Alzheimer's disease. Many disease-associated mutations in Tau occur in the C-terminal microtubule-binding domain of the protein. Effects of C-terminal mutations in Tau have led to the widely accepted disease-state theory that missense mutations in Tau reduce microtubule-binding affinity or increase Tau propensity to aggregate. Here, we investigate the effect of an N-terminal arginine to leucine mutation at position 5 in Tau (R5L), associated with PSP, on Tau-microtubule interactions using an in vitro reconstituted system. Contrary to the canonical disease-state theory, we determine that the R5L mutation does not reduce Tau affinity for the microtubule using total internal reflection fluorescence microscopy. Rather, the R5L mutation decreases the ability of Tau to form larger-order complexes, or Tau patches, at high concentrations of Tau. Using NMR, we show that the R5L mutation results in a local structural change that reduces interactions of the projection domain in the presence of microtubules. Altogether, these results challenge both the current paradigm of how mutations in Tau lead to disease and the role of the projection domain in modulating Tau behavior on the microtubule surface."
2021 Dec 14,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2021 Dec 14;118(50):e2113789118. doi: ,"['Bergeron-Sandoval, Louis-Philippe', 'Kumar, Sandeep', 'Heris, Hossein Khadivi', 'Chang, Catherine L A', 'Cornell, Caitlin E', 'Keller, Sarah L', 'François, Paul', 'Hendricks, Adam G', 'Ehrlicher, Allen J', 'Pappu, Rohit V', 'Michnick, Stephen W']","['cell membrane', 'cytoskeletal proteins genetics  metabolism', 'cytosol physiology', 'endocytosis  physiology', 'gene expression regulation, fungal', 'glutamine chemistry', 'mechanotransduction, cellular', 'prions  chemistry', 'protein conformation', 'saccharomyces cerevisiae', 'saccharomyces cerevisiae proteins genetics  metabolism', 'viscoelastic substances', 'biomolecular condensates', 'endocytosis', 'protein–protein interactions', 'viscoelasticity']",Endocytic proteins with prion-like domains form viscoelastic condensates that enable membrane remodeling.,"Membrane invagination and vesicle formation are key steps in endocytosis and cellular trafficking. Here, we show that endocytic coat proteins with prion-like domains (PLDs) form hemispherical puncta in the budding yeast, Saccharomyces cerevisiae These puncta have the hallmarks of biomolecular condensates and organize proteins at the membrane for actin-dependent endocytosis. They also enable membrane remodeling to drive actin-independent endocytosis. The puncta, which we refer to as endocytic condensates, form and dissolve reversibly in response to changes in temperature and solution conditions. We find that endocytic condensates are organized around dynamic protein-protein interaction networks, which involve interactions among PLDs with high glutamine contents. The endocytic coat protein Sla1 is at the hub of the protein-protein interaction network. Using active rheology, we inferred the material properties of endocytic condensates. These experiments show that endocytic condensates are akin to viscoelastic materials. We use these characterizations to estimate the interfacial tension between endocytic condensates and their surroundings. We then adapt the physics of contact mechanics, specifically modifications of Hertz theory, to develop a quantitative framework for describing how interfacial tensions among condensates, the membrane, and the cytosol can deform the plasma membrane to enable actin-independent endocytosis."
2020 Jul 21,Molecular biology of the cell,Mol Biol Cell. 2020 Jul 21;31(16):1744-1752. doi: 10.1091/mbc.E19-09-0504. Epub ,"['Chaubet, Loïc', 'Chaudhary, Abdullah R', 'Heris, Hossein K', 'Ehrlicher, Allen J', 'Hendricks, Adam G']","['actin cytoskeleton metabolism', 'actins  metabolism physiology', 'biophysical phenomena', 'cell line', 'cross-linking reagents metabolism', 'cytoplasm metabolism', 'cytoskeleton metabolism  physiology', 'elasticity  physiology', 'humans', 'kinetics', 'microfilament proteins metabolism', 'optical tweezers', 'polymerization', 'protein binding physiology', 'viscosity']",Dynamic actin cross-linking governs the cytoplasm's transition to fluid-like behavior.,"Cells precisely control their mechanical properties to organize and differentiate into tissues. The architecture and connectivity of cytoskeletal filaments change in response to mechanical and biochemical cues, allowing the cell to rapidly tune its mechanics from highly cross-linked, elastic networks to weakly cross-linked viscous networks. While the role of actin cross-linking in controlling actin network mechanics is well-characterized in purified actin networks, its mechanical role in the cytoplasm of living cells remains unknown. Here, we probe the frequency-dependent intracellular viscoelastic properties of living cells using multifrequency excitation and in situ optical trap calibration. At long timescales in the intracellular environment, we observe that the cytoskeleton becomes fluid-like. The mechanics are well-captured by a model in which actin filaments are dynamically connected by a single dominant cross-linker. A disease-causing point mutation (K255E) of the actin cross-linker α-actinin 4 (ACTN4) causes its binding kinetics to be insensitive to tension. Under normal conditions, the viscoelastic properties of wild-type (WT) and K255E+/- cells are similar. However, when tension is reduced through myosin II inhibition, WT cells relax 3× faster to the fluid-like regime while K255E+/- cells are not affected. These results indicate that dynamic actin cross-linking enables the cytoplasm to flow at long timescales."
2019 Jun 28,The Journal of biological chemistry,J Biol Chem. 2019 Jun 28;294(26):10160-10171. doi: 10.1074/jbc.RA119.008052. Epub ,"['Chaudhary, Abdullah R', 'Lu, Hailong', 'Krementsova, Elena B', 'Bookwalter, Carol S', 'Trybus, Kathleen M', 'Hendricks, Adam G']","['animals', 'mice', 'biological transport', ' cell movement', 'dyneins', ' kinesins metabolism', ' macrophages cytology metabolism', ' microtubule-associated proteins metabolism', ' microtubules metabolism', 'models, theoretical', ' phagosomes metabolism', 'protein transport', 'map7 ensconsin', 'cytoskeleton', 'dynein', 'intracellular trafficking', 'intracellular transport', 'kinesin', 'kinesin-1', 'kinesin-2', 'microtubule', 'microtubule-associated protein (map)', 'optical tweezers']",MAP7 regulates organelle transport by recruiting kinesin-1 to microtubules.,"Microtubule-associated proteins (MAPs) regulate microtubule polymerization, dynamics, and organization. In addition, MAPs alter the motility of kinesin and dynein to control trafficking along microtubules. MAP7 (ensconsin, E-MAP-115) is a ubiquitous MAP that organizes the microtubule cytoskeleton in mitosis and neuronal branching. MAP7 also recruits kinesin-1 to microtubules. To understand how the activation of kinesin-1 by MAP7 regulates the motility of organelles transported by ensembles of kinesin and dynein, we isolated organelles and reconstituted their motility in vitro In the absence of MAP7, isolated phagosomes exhibit approximately equal fractions of plus- and minus-end-directed motility along microtubules. MAP7 causes a pronounced shift in motility; phagosomes move toward the plus-end ∼80% of the time, and kinesin teams generate more force. To dissect MAP7-mediated regulation of kinesin-driven transport, we examined its effects on the motility and force generation of single and teams of full-length kinesin-1 motors. We find that MAP7 does not alter the force exerted by a single kinesin-1 motor, but instead increases its binding rate to the microtubule. For ensembles of kinesin, a greater number of kinesin motors are simultaneously engaged and generating force to preferentially target organelles toward the microtubule plus-end."
2018 Feb,"Traffic (Copenhagen, Denmark)",Traffic. 2018 Feb;19(2):111-121. doi: 10.1111/tra.12537. Epub 2017 Dec 5.,"['Chaudhary, Abdullah R', 'Berger, Florian', 'Berger, Christopher L', 'Hendricks, Adam G']","['animals', 'cell movement physiology', 'dyneins  metabolism', 'kinesins  metabolism', 'mice', 'microtubules metabolism', 'protein transport physiology', 'tau proteins  metabolism', 'dynein', 'in vitro reconstitution', 'intracellular transport', 'kinesin-1', 'kinesin-2', 'optical tweezers', 'tau']",Tau directs intracellular trafficking by regulating the forces exerted by kinesin and dynein teams.,"Organelles, proteins, and mRNA are transported bidirectionally along microtubules by plus-end directed kinesin and minus-end directed dynein motors. Microtubules are decorated by microtubule-associated proteins (MAPs) that organize the cytoskeleton, regulate microtubule dynamics and modulate the interaction between motor proteins and microtubules to direct intracellular transport. Tau is a neuronal MAP that stabilizes axonal microtubules and crosslinks them into bundles. Dysregulation of tau leads to a range of neurodegenerative diseases known as tauopathies including Alzheimer's disease (AD). Tau reduces the processivity of kinesin and dynein by acting as an obstacle on the microtubule. Single-molecule assays indicate that kinesin-1 is more strongly inhibited than kinesin-2 or dynein, suggesting tau might act to spatially modulate the activity of specific motors. To investigate the role of tau in regulating bidirectional transport, we isolated phagosomes driven by kinesin-1, kinesin-2, and dynein and reconstituted their motility along microtubules. We find that tau biases bidirectional motility towards the microtubule minus-end in a dose-dependent manner. Optical trapping measurements show that tau increases the magnitude and frequency of forces exerted by dynein through inhibiting opposing kinesin motors. Mathematical modeling indicates that tau controls the directional bias of intracellular cargoes through differentially tuning the processivity of kinesin-1, kinesin-2, and dynein. Taken together, these results demonstrate that tau modulates motility in a motor-specific manner to direct intracellular transport, and suggests that dysregulation of tau might contribute to neurodegeneration by disrupting the balance of plus- and minus-end directed transport."
