time,journal,doi_info,authors,key words,title,abstract
2023 Sep-Oct,CMAJ open,CMAJ Open. 2023 Oct 24;11(5):E995-E1005. doi: 10.9778/cmajo.20220242. Print 2023 ,"['Anato, Jorge Luis Flores', 'Ma, Huiting', 'Hamilton, Mackenzie A', 'Xia, Yiqing', 'Harper, Sam', 'Buckeridge, David', 'Brisson, Marc', 'Hillmer, Michael P', 'Malikov, Kamil', 'Kerem, Aidin', 'Beall, Reed', 'Wagner, Caroline E', 'Racine, Étienne', 'Baral, Stefan', 'Dubé, Ève', 'Mishra, Sharmistha', 'Maheu-Giroux, Mathieu']",[],Impact of a vaccine passport on first-dose SARS-CoV-2 vaccine coverage by age and area-level social determinants of health in the Canadian provinces of Quebec and Ontario: an interrupted time series analysis.,"BACKGROUND: In Canada, all provinces implemented vaccine passports in 2021 to reduce SARS-CoV-2 transmission in non-essential indoor spaces and increase vaccine uptake (policies active September 2021-March 2022 in Quebec and Ontario). We sought to evaluate the impact of vaccine passport policies on first-dose SARS-CoV-2 vaccination coverage by age, and area-level income and proportion of racialized residents. METHODS: We performed interrupted time series analyses using data from Quebec's and Ontario's vaccine registries linked to census information (population of 20.5 million people aged ≥ 12 yr; unit of analysis: dissemination area). We fit negative binomial regressions to first-dose vaccinations, using natural splines adjusting for baseline vaccination coverage (start: July 2021; end: October 2021 for Quebec, November 2021 for Ontario). We obtained counterfactual vaccination rates and coverage, and estimated the absolute and relative impacts of vaccine passports. RESULTS: In both provinces, first-dose vaccination coverage before the announcement of vaccine passports was 82% (age ≥ 12 yr). The announcement resulted in estimated increases in coverage of 0.9 percentage points (95% confidence interval ["
2023 Aug,"Journal of the Royal Society, Interface",J R Soc Interface. 2023 Aug;20(205):20230247. doi: 10.1098/rsif.2023.0247. Epub ,"['Saad-Roy, Chadi M', 'Morris, Sinead E', 'Baker, Rachel E', 'Farrar, Jeremy', 'Graham, Andrea L', 'Levin, Simon A', 'Wagner, Caroline E', 'Metcalf, C Jessica E', 'Grenfell, Bryan T']","['humans', ' covid-19 epidemiology prevention & control', 'post-acute covid-19 syndrome', 'sars-cov-2', 'chronic disease', 'uncertainty', 'long covid', 'immuno-epidemiology', 'mathematical model', 'medium-term projections']",Medium-term scenarios of COVID-19 as a function of immune uncertainties and chronic disease.,"As the SARS-CoV-2 trajectory continues, the longer-term immuno-epidemiology of COVID-19, the dynamics of Long COVID, and the impact of escape variants are important outstanding questions. We examine these remaining uncertainties with a simple modelling framework that accounts for multiple (antigenic) exposures via infection or vaccination. If immunity (to infection or Long COVID) accumulates rapidly with the valency of exposure, we find that infection levels and the burden of Long COVID are markedly reduced in the medium term. More pessimistic assumptions on host adaptive immune responses illustrate that the longer-term burden of COVID-19 may be elevated for years to come. However, we also find that these outcomes could be mitigated by the eventual introduction of a vaccine eliciting robust (i.e. durable, transmission-blocking and/or 'evolution-proof') immunity. Overall, our work stresses the wide range of future scenarios that still remain, the importance of collecting real-world epidemiological data to identify likely outcomes, and the crucial need for the development of a highly effective transmission-blocking, durable and broadly protective vaccine."
2023 Sep,Advanced drug delivery reviews,Adv Drug Deliv Rev. 2023 Sep;200:115008. doi: 10.1016/j.addr.2023.115008. Epub ,"['Bustos, Nicole A', 'Ribbeck, Katharina', 'Wagner, Caroline E']","['humans', ' mucous membrane', 'mucins chemistry', 'mucus physiology', 'disease progression', ' communicable diseases', 'disease transmission', 'mucin–pathogen interactions', 'mucus', 'mucus barrier']",The role of mucosal barriers in disease progression and transmission.,"Mucus is a biological hydrogel that coats and protects all non-keratinized wet epithelial surfaces. Mucins, the primary structural components of mucus, are critical components of the gel layer that protect against invading pathogens. For communicable diseases, pathogen-mucin interactions contribute to the pathogen's fate and the potential for disease progression in-host, as well as the potential for onward transmission. We begin by reviewing in-host mucus filtering mechanisms, including size filtering and interaction filtering, which regulate the permeability of mucus barriers to all molecules including pathogens. Next, we discuss the role of mucins in communicable diseases at the point of transmission (i.e. how the encapsulation of pathogens in emitted mucosal droplets externally to hosts may modulate pathogen infectivity and viability). Overall, mucosal barriers modulate both host susceptibility as well as the dynamics of population-level disease transmission. The study of mucins and their use in models and experimental systems are therefore crucial for understanding the mechanistic biophysical principles underlying disease transmission and the early stages of host infection."
2022 Sep,PLOS digital health,PLOS Digit Health. 2022 Sep 6;1(9):e0000100. doi: 10.1371/journal.pdig.0000100. ,"['Duarte, Nathan', 'Arora, Rahul K', 'Bennett, Graham', 'Wang, Meng', 'Snyder, Michael P', 'Cooperstock, Jeremy R', 'Wagner, Caroline E']",[],Deploying wearable sensors for pandemic mitigation: A counterfactual modelling study of Canada's second COVID-19 wave.,"Wearable sensors can continuously and passively detect potential respiratory infections before or absent symptoms. However, the population-level impact of deploying these devices during pandemics is unclear. We built a compartmental model of Canada's second COVID-19 wave and simulated wearable sensor deployment scenarios, systematically varying detection algorithm accuracy, uptake, and adherence. With current detection algorithms and 4% uptake, we observed a 16% reduction in the second wave burden of infection; however, 22% of this reduction was attributed to incorrectly quarantining uninfected device users. Improving detection specificity and offering confirmatory rapid tests each minimized unnecessary quarantines and lab-based tests. With a sufficiently low false positive rate, increasing uptake and adherence became effective strategies for scaling averted infections. We concluded that wearable sensors capable of detecting presymptomatic or asymptomatic infections have potential to help reduce the burden of infection during a pandemic; in the case of COVID-19, technology improvements or supporting measures are required to keep social and resource costs sustainable."
2022 Nov 23,Soft matter,Soft Matter. 2022 Nov 23;18(45):8572-8581. doi: 10.1039/d2sm00952h.,"['Bustos, Nicole A', 'Saad-Roy, Chadi M', 'Cherstvy, Andrey G', 'Wagner, Caroline E']","['viscosity', ' glycerol', 'probability', 'particle size', 'motion']",Distributed medium viscosity yields quasi-exponential step-size probability distributions in heterogeneous media.,"The analysis of the statistics of random walks undertaken by passive particles in complex media has important implications in a number of areas including pathogen transport and drug delivery. In several systems in which heterogeneity is important, the distribution of particle step-sizes has been found to be exponential in nature, as opposed to the Gaussian distribution associated with Brownian motion. Here, we first develop a theoretical framework to study a simplified version of this problem: the motion of passive tracers in a range of sub-environments with different viscosity. We show that in the limit of a large number of equi-distributed sub-environments spanning a broad viscosity range, an exact analytical expression for the underlying particle step-size distribution can be derived, which approaches an exponential distribution when step sizes are small. We then validate this using a simple experimental system of glycerol-water mixtures, in which the volume fraction of glycerol is systematically varied. Overall, the assumption of exponentially distributed step sizes may substantially over-estimate the incidence of large steps in heterogeneous systems, with important implications in the analysis of various biophysical processes."
2022 Mar,Nature reviews. Immunology,Nat Rev Immunol. 2022 Mar;22(3):139-141. doi: 10.1038/s41577-022-00687-3.,"['Wagner, Caroline E', 'Saad-Roy, Chadi M', 'Grenfell, Bryan T']","[' covid-19 prevention & control', 'humans', 'sars-cov-2', 'vaccination']",Modelling vaccination strategies for COVID-19.,"Despite the rapid development of safe and highly effective vaccines against coronavirus disease 2019 (COVID-19), the strategy for their distribution has been and remains contentious. Mathematical models can be used to guide and inform these strategies; however, uncertainties in critical immunological and evolutionary parameters of SARS-CoV-2 can limit the predictive power of models. Notwithstanding these ongoing uncertainties, we discuss how models have been applied to guide health policy decisions related to vaccination against COVID-19, and how they may be applied in the future in the context of booster doses under different scenarios related to disease-specific factors and global distribution."
2022 May,Annals of the New York Academy of Sciences,Ann N Y Acad Sci. 2022 May;1511(1):59-86. doi: 10.1111/nyas.14739. Epub 2022 Jan ,"['Cable, Jennifer', 'Rappuoli, Rino', 'Klemm, Elizabeth J', 'Kang, Gagandeep', 'Mutreja, Ankur', 'Wright, Gavin J', 'Pizza, Mariagrazia', 'Castro, Sowmya Ajay', 'Hoffmann, Joseph P', 'Alter, Galit', 'Carfi, Andrea', 'Pollard, Andrew J', 'Krammer, Florian', 'Gupta, Ravindra K', 'Wagner, Caroline E', 'Machado, Viviane', 'Modjarrad, Kayvon', 'Corey, Lawrence', 'B Gilbert, Peter', 'Dougan, Gordon', 'Lurie, Nicole', 'Bjorkman, Pamela J', 'Chiu, Christopher', 'Nemes, Elisa', 'Gordon, Stephen B', 'Steer, Andrew C', 'Rudel, Thomas', 'Blish, Catherine A', 'Sandberg, John Tyler', 'Brennan, Kiva', 'Klugman, Keith P', 'Stuart, Lynda M', 'Madhi, Shabir A', 'Karp, Christopher L']","[' covid-19 prevention & control', 'covid-19 vaccines therapeutic use', 'global health', 'humans', ' influenza vaccines', 'pandemics prevention & control', ' vaccines therapeutic use', 'covid-19', 'correlates of protection', 'human challenge studies', 'influenza', 'pneumococcal disease', 'streptococcus', 'vaccine equity', 'vaccines']",Innovative vaccine approaches-a Keystone Symposia report.,"The rapid development of COVID-19 vaccines was the result of decades of research to establish flexible vaccine platforms and understand pathogens with pandemic potential, as well as several novel changes to the vaccine discovery and development processes that partnered industry and governments. And while vaccines offer the potential to drastically improve global health, low-and-middle-income countries around the world often experience reduced access to vaccines and reduced vaccine efficacy. Addressing these issues will require novel vaccine approaches and platforms, deeper insight how vaccines mediate protection, and innovative trial designs and models. On June 28-30, 2021, experts in vaccine research, development, manufacturing, and deployment met virtually for the Keystone eSymposium ""Innovative Vaccine Approaches"" to discuss advances in vaccine research and development."
2022 Apr,Nature reviews. Microbiology,Nat Rev Microbiol. 2022 Apr;20(4):193-205. doi: 10.1038/s41579-021-00639-z. Epub ,"['Baker, Rachel E', 'Mahmud, Ayesha S', 'Miller, Ian F', 'Rajeev, Malavika', 'Rasambainarivo, Fidisoa', 'Rice, Benjamin L', 'Takahashi, Saki', 'Tatem, Andrew J', 'Wagner, Caroline E', 'Wang, Lin-Fa', 'Wesolowski, Amy', 'Metcalf, C Jessica E']","[' covid-19 epidemiology', ' communicable diseases epidemiology', 'disease outbreaks', ' hemorrhagic fever, ebola epidemiology', 'humans', ' middle east respiratory syndrome coronavirus', 'pandemics', ' zika virus', ' zika virus infection']",Infectious disease in an era of global change.,"The twenty-first century has witnessed a wave of severe infectious disease outbreaks, not least the COVID-19 pandemic, which has had a devastating impact on lives and livelihoods around the globe. The 2003 severe acute respiratory syndrome coronavirus outbreak, the 2009 swine flu pandemic, the 2012 Middle East respiratory syndrome coronavirus outbreak, the 2013-2016 Ebola virus disease epidemic in West Africa and the 2015 Zika virus disease epidemic all resulted in substantial morbidity and mortality while spreading across borders to infect people in multiple countries. At the same time, the past few decades have ushered in an unprecedented era of technological, demographic and climatic change: airline flights have doubled since 2000, since 2007 more people live in urban areas than rural areas, population numbers continue to climb and climate change presents an escalating threat to society. In this Review, we consider the extent to which these recent global changes have increased the risk of infectious disease outbreaks, even as improved sanitation and access to health care have resulted in considerable progress worldwide."
2021 Sep 24,"Science (New York, N.Y.)",Science. 2021 Sep 24;373(6562):eabj7364. doi: 10.1126/science.abj7364. Epub 2021 ,"['Wagner, Caroline E', 'Saad-Roy, Chadi M', 'Morris, Sinead E', 'Baker, Rachel E', 'Mina, Michael J', 'Farrar, Jeremy', 'Holmes, Edward C', 'Pybus, Oliver G', 'Graham, Andrea L', 'Emanuel, Ezekiel J', 'Levin, Simon A', 'Metcalf, C Jessica E', 'Grenfell, Bryan T']","['covid-19 epidemiology immunology  prevention & control transmission', 'covid-19 vaccines administration & dosage immunology  supply & distribution', 'emigration and immigration', 'evolution, molecular', ' global health', 'humans', 'immune evasion', 'models, theoretical', 'sars-cov-2 genetics immunology', 'strategic stockpile', 'vaccination coverage']",Vaccine nationalism and the dynamics and control of SARS-CoV-2.,"Vaccines provide powerful tools to mitigate the enormous public health and economic costs that the ongoing severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic continues to exert globally, yet vaccine distribution remains unequal among countries. To examine the potential epidemiological and evolutionary impacts of “vaccine nationalism,” we extend previous models to include simple scenarios of stockpiling between two regions. In general, when vaccines are widely available and the immunity they confer is robust, sharing doses minimizes total cases across regions. A number of subtleties arise when the populations and transmission rates in each region differ, depending on evolutionary assumptions and vaccine availability. When the waning of natural immunity contributes most to evolutionary potential, sustained transmission in low-access regions results in an increased potential for antigenic evolution, which may result in the emergence of novel variants that affect epidemiological characteristics globally. Overall, our results stress the importance of rapid, equitable vaccine distribution for global control of the pandemic."
2021 Aug,Nature ecology & evolution,Nat Ecol Evol. 2021 Aug;5(8):1052-1054. doi: 10.1038/s41559-021-01514-z.,"['Baker, Rachel E', 'Park, Sang Woo', 'Wagner, Caroline E', 'Metcalf, C Jessica E']","[' covid-19', 'humans', ' sars-cov-2']",The limits of SARS-CoV-2 predictability.,
