time,journal,doi_info,authors,key words,title,abstract
2024 Jun 10,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2024 Jun 10;10(6):3909-3922. doi: ,"['Nejati, Sara', 'Mongeau, Luc']","[' vocal cords cytology metabolism chemistry', ' hydrogels chemistry', 'humans', 'porosity', ' fibroblasts cytology', ' polyethylene glycols chemistry', ' cell proliferation', 'elasticity', 'tissue scaffolds chemistry', 'tissue engineering methods', 'cell movement', 'gelatin chemistry', 'cell differentiation', 'collagen chemistry metabolism', 'hydrogels', 'porous', 'tissue engineering', 'tunable', 'vocal folds']",In Vitro Investigation of Vocal Fold Cellular Response to Variations in Hydrogel Porosity and Elasticity.,"Tissue regeneration is intricately influenced by the dynamic interplay between the physical attributes of tissue engineering scaffolds and the resulting biological responses. A tunable microporous hydrogel system was engineered using gelatin methacryloyl (GelMA) and polyethylene glycol diacrylate (PEGDA), with polyethylene glycol (PEG) serving as a porogen. Through systematic variation of PEGDA molecular weights, hydrogels with varying mechanical and architectural properties were obtained. The objective of the present study was to elucidate the impact of substrate mechanics and architecture on the immunological and reparative activities of vocal fold tissues. Mechanical characterization of the hydrogels was performed using tensile strength measurements and rheometry. Their morphological properties were investigated using scanning electron microscopy (SEM) and confocal microscopy. A series of biological assays were conducted. Cellular morphology, differentiation, and collagen synthesis of human vocal fold fibroblasts (hVFFs) were evaluated using immunostaining. Fibroblast proliferation was studied using the WST-1 assay, and cell migration was investigated via the Boyden chamber assay. Macrophage polarization and secretions were also examined using immunostaining and ELISA. The results revealed that increasing the molecular weight of PEGDA from 700 Da to 10,000 Da resulted in decreased hydrogel stiffness, from 62.6 to 8.8 kPa, and increased pore dimensions from approximately 64.9 to 137.4 μm. Biological evaluations revealed that hydrogels with a higher stiffness promoted fibroblast proliferation and spreading, albeit with an increased propensity for fibrosis, as indicated by a surge in myofibroblast differentiation and collagen synthesis. In contrast, hydrogels with greater molecular weights had a softer matrix with expanded pores, enhancing cellular migration and promoting an M2 macrophage phenotype conducive to tissue healing. The findings show that the hydrogels formulated with a PEGDA molecular weight of 6000 Da are best among the hydrogels considered for vocal fold repair. The microporous hydrogels could be tuned to serve in other tissue engineering applications."
2024 May 6,Journal of computational chemistry,J Comput Chem. 2024 May 6. doi: 10.1002/jcc.27384.,"['Poirier, Nicolas', 'Kottmann, Jakob S', 'Aspuru-Guzik, Alán', 'Mongeau, Luc', 'Najafi-Yazdi, Alireza']","['ab initio calculations', 'density functional calculation', 'multiresolution analysis', 'quantum computing', 'variational quantum eigensolver']",Range-separated density functional theory using multiresolution analysis and quantum computing.,"Quantum computers are expected to outperform classical computers for specific problems in quantum chemistry. Such calculations remain expensive, but costs can be lowered through the partition of the molecular system. In the present study, partition was achieved with range-separated density functional theory (RS-DFT). The use of RS-DFT reduces both the basis set size and the active space size dependence of the ground state energy in comparison with the use of wave function theory (WFT) alone. The utilization of pair natural orbitals (PNOs) in place of canonical molecular orbitals (MOs) results in more compact qubit Hamiltonians. To test this strategy, a basis-set independent framework, known as multiresolution analysis (MRA), was employed to generate PNOs. Tests were conducted with the variational quantum eigensolver for a number of molecules. The results show that the proposed approach reduces the number of qubits needed to reach a target energy accuracy."
2023 Sep 26,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Sep 26;120(39):e2307816120. doi: ,"['Yang, Zhen', 'Bao, Guangyu', 'Huo, Ran', 'Jiang, Shuaibing', 'Yang, Xingwei', 'Ni, Xiang', 'Mongeau, Luc', 'Long, Rong', 'Li, Jianyu']","['controlled adhesion', 'hydrogel adhesives', 'polymer entanglement', 'polymer gels']",Programming hydrogel adhesion with engineered polymer network topology.,"Hydrogel adhesion that can be easily modulated in magnitude, space, and time is desirable in many emerging applications ranging from tissue engineering and soft robotics to wearable devices. In synthetic materials, these complex adhesion behaviors are often achieved individually with mechanisms and apparatus that are difficult to integrate. Here, we report a universal strategy to embody multifaceted adhesion programmability in synthetic hydrogels. By designing the surface network topology of a hydrogel, supramolecular linkages that result in contrasting adhesion behaviors are formed on the hydrogel interface. The incorporation of different topological linkages leads to dynamically tunable adhesion with high-resolution spatial programmability without alteration of bulk mechanics and chemistry. Further, the association of linkages enables stable and tunable adhesion kinetics that can be tailored to suit different applications. We rationalize the physics of polymer chain slippage, rupture, and diffusion at play in the emergence of the programmable behaviors. With the understanding, we design and fabricate various soft devices such as smart wound patches, fluidic channels, drug-eluting devices, and reconfigurable soft robotics. Our study presents a simple and robust platform in which adhesion controllability in multiple aspects can be easily integrated into a single design of a hydrogel network."
2023 Aug 31,Scientific reports,Sci Rep. 2023 Aug 31;13(1):14303. doi: 10.1038/s41598-023-41468-9.,"['Nejati, Sara', 'Mongeau, Luc']","[' hyaluronic acid', 'dopamine', 'tissue engineering', ' prunella', 'hydrogels']","Injectable, pore-forming, self-healing, and adhesive hyaluronan hydrogels for soft tissue engineering applications.","Most existing injectable hydrogels are non-porous, thereby lacking a microporous structure to promote cell ingrowth. Also, most hydrogels do not effectively adhere to the host tissue. The present study describes an injectable double network hydrogel formed by combining two hyaluronic acid (HA) derivatives, namely dopamine grafted HA (DAHA) and methacrylated HA (HAMA). These constituents instantly form a physically crosslinked network through Fe(3+)-dopamine coordination, and confer fast gelation, pore formation, and self-healing properties to the hydrogel. Photocroslinked upon UV exposure, HAMA forms a chemically crosslinked network, thereby improving mechanical and degradation properties. The adhesive properties of this hydrogel are attributed to the presence of dopamine groups, inspired by mussel creatures. Proper modification of HA chains was confirmed by NMR spectroscopy. The physical, mechanical, rheological, and biological properties of the new hydrogels were quantified in wet laboratory conditions. The results revealed that the DAHA/HAMA hydrogel rapidly forms a self-healing microporous adhesive scaffold with a 26.9 µm pore size, 29.4 kPa compressive modulus, and 12.8 kPa adhesion strength in under 6 s. These findings suggest that the new hydrogel is a promising candidate for in situ repair of soft tissues, particularly mechanically dynamic ones such as the vocal folds, cartilage, and dermis."
2023 Oct,The Laryngoscope,Laryngoscope. 2023 Oct;133(10):2734-2741. doi: 10.1002/lary.30649. Epub 2023 Mar ,"['Hudson, Thomas J', 'Ait Oubahou, Rayane', 'Mongeau, Luc', 'Kost, Karen']","['humans', 'airway resistance', ' laryngeal neoplasms surgery', 'hydrodynamics', 'case-control studies', 'retrospective studies', 'lung', 'dyspnea', ' airway obstruction', ' respiratory distress syndrome', 'computer simulation', 'airflow limitation', 'airway resistance', 'computational fluid dynamics (cfd)', 'emergency airway', 'laryngeal cancer']",Airway Resistance and Respiratory Distress in Laryngeal Cancer: A Computational Fluid Dynamics Study.,"BACKGROUND: Obstructive upper airway pathologies are a great clinical challenge for the airway surgeon. Protection against acute obstruction is critical, but avoidance of unnecessary tracheostomy must also be considered. Decision-making regarding airway, although supported by some objective findings, is largely guided by subjective experience and training. This investigation aims to study the relationship between clinical respiratory distress and objective measures of airway resistance in laryngeal cancer as determined by computational fluid dynamic (CFD) and morphometric analysis. METHODS: Retrospective CT and clinical data were obtained for series of 20 cases, defined as newly diagnosed laryngeal cancer patients who required admission or urgent airway surgery, and 20 controls. Cases and controls were matched based on T-staging. Image segmentation and morphometric analysis were first performed. Computational models based on the lattice Boltzmann method were then created and used to quantify the continuous mass flow, rigid wall, and constant static pressure inlet boundary conditions. RESULTS: The analysis demonstrated a significant relationship between airway resistance and acute obstruction (OR 1.018, 95%"
2022,Aerosol science and technology : the journal of the American Association for ,Aerosol Sci Technol. 2022;56(5):413-424. doi: 10.1080/02786826.2022.2040729. Epub ,"['He, Zixin', 'Gao, Qiman', 'Henley, Anna', 'Khatchadourian, Zovinar Der', 'Somerville, Wendy', 'Wiseman, Michael', 'Mongeau, Luc', 'Tamimi, Faleh']",[],Efficacy of Aerosol Reduction Measures for Dental Aerosol Generating Procedures.,"Aerosol particles generated by dental procedures could facilitate the transmission of infectious diseases and contain carcinogen particles. Such particles can penetrate common surgical masks and reach the lungs, leading to increased risk for dental care professionals. However, the risk of inhaling contaminated aerosol and the effectiveness of aerosol reduction measures in dental offices remain unclear. The present study aimed to quantify aerosols produced by drilling and scaling procedures and to evaluate present recommendations for aerosol reduction. The concentration of aerosol particles released from the mock scaling and drilling procedures on dental mannequin were measured using a TSI Optical Particle Sizer (OPS 3330) during 15-min sessions carried out in a single-patient examination room. Using a drilling procedure as the aerosol source, the aerosol reduction performance of two types of high-volume evacuators (HVEs) and a commercial off-the-shelf air purifier was evaluated in a simulated clinical setting. Using either HVEs or the air purifier individually reduced the aerosol accumulated over the course of a 15-minutes drilling procedure at a reduction rate of 94.8 to 97.6%. Using both measures simultaneously raised the reduction rate to 99.6%. The results show that existing HVEs can effectively reduce aerosol concentration generated by a drilling procedure and can be further improved by using an air purifier. Following current regulatory guidelines can ensure a low risk of inhaling contaminated aerosol for dentists, assistants, and patients."
2022 Aug 26,Nature communications,Nat Commun. 2022 Aug 26;13(1):5035. doi: 10.1038/s41467-022-32803-1.,"['Bao, Guangyu', 'Gao, Qiman', 'Cau, Massimo', 'Ali-Mohamad, Nabil', 'Strong, Mitchell', 'Jiang, Shuaibing', 'Yang, Zhen', 'Valiei, Amin', 'Ma, Zhenwei', 'Amabili, Marco', 'Gao, Zu-Hua', 'Mongeau, Luc', 'Kastrup, Christian', 'Li, Jianyu']","['animals', 'biocompatible materials', 'hemorrhage', 'hemostasis', ' hemostatics', 'humans', 'rats', 'swine', ' tissue adhesives']",Liquid-infused microstructured bioadhesives halt non-compressible hemorrhage.,"Non-compressible hemorrhage is an unmet clinical challenge that accounts for high mortality in trauma. Rapid pressurized blood flows under hemorrhage impair the function and integrity of hemostatic agents and the adhesion of bioadhesive sealants. Here, we report the design and performance of bioinspired microstructured bioadhesives, formed with a macroporous tough xerogel infused with functional liquids. The xerogel can rapidly absorb interfacial fluids such as whole blood and promote blood clotting, while the infused liquids facilitate interfacial bonding, sealing, and antibacterial function. Their synergy enables the bioadhesives to form tough adhesion on ex vivo human and porcine tissues and diverse engineered surfaces without the need for compression, as well as on-demand instant removal and storage stability. We demonstrate a significantly improved hemostatic efficacy and biocompatibility in rats and pigs compared to non-structured counterparts and commercial products. This work opens new avenues for the development of bioadhesives and hemostatic sealants."
2022 Feb 2,Matter,Matter. 2022 Feb 2;5(2):573-593. doi: 10.1016/j.matt.2021.11.020. Epub 2021 Dec ,"['Ravanbakhsh, Hossein', 'Luo, Zeyu', 'Zhang, Xiang', 'Maharjan, Sushila', 'Mirkarimi, Hengameh S', 'Tang, Guosheng', 'Chávez-Madero, Carolina', 'Mongeau, Luc', 'Zhang, Yu Shrike']","['3d bioprinting', 'biofabrication', 'cryobioprinting', 'cryopreservation', 'regenerative medicine', 'tissue engineering']",Freeform Cell-Laden Cryobioprinting for Shelf-Ready Tissue Fabrication and Storage.,"One significant drawback of existing bioprinted tissues is their lack of shelf-availability caused by complications in both fabrication and storage. Here, we report a cryobioprinting strategy for simultaneously fabricating and storing cell-laden volumetric tissue constructs through seamlessly combining extrusion bioprinting and cryopreservation. The cryobioprinting performance was investigated by designing, fabricating, and storing cell-laden constructs made of our optimized cryoprotective gelatin-based bioinks using a freezing plate with precisely controllable temperature. The in situ freezing process further promoted the printability of cell-laden hydrogel bioinks to achieve freeform structures otherwise inconvenient with direct extrusion bioprinting. The effects of bioink composition on printability and cell viability were evaluated. The functionality of the method was finally investigated using cell differentiation and chick ex ovo assays. The results confirmed the feasibility and efficacy of cryobioprinting as a single-step method for concurrent tissue biofabrication and storage."
2022 Jun,Advanced healthcare materials,Adv Healthc Mater. 2022 Jun;11(11):e2102366. doi: 10.1002/adhm.202102366. Epub ,"['Mohammadi, Sepideh', 'Ravanbakhsh, Hossein', 'Taheri, Sareh', 'Bao, Guangyu', 'Mongeau, Luc']","['collagen type i', 'fibroblasts', 'hydrogels pharmacology', 'interleukin-10', ' macrophage activation', ' microgels', 'laponite', 'fibroblast collagen synthesis', 'fibrosis', 'immunomodulation', 'interleukin-10', 'microgels', 'proregenerative macrophages']",Immunomodulatory Microgels Support Proregenerative Macrophage Activation and Attenuate Fibroblast Collagen Synthesis.,"Scars composed of fibrous connective tissues are natural consequences of injury upon incisional wound healing in soft tissues. Hydrogels that feature a sustained presentation of immunomodulatory cytokines are known to modulate wound healing. However, existing immunomodulatory hydrogels lack interconnected micropores to promote cell ingrowth. Other limitations include invasive delivery procedures and harsh synthesis conditions that are incompatible with drug molecules. Here, hybrid nanocomposite microgels containing interleukin-10 (IL-10) are reported to modulate tissue macrophage phenotype during wound healing. The intercalation of laponite nanoparticles in the polymer network yields microgels with tissue-mimetic elasticity (Young's modulus in the range of 2-6 kPa) and allows the sustained release of IL-10 to promote the differentiation of macrophages toward proregenerative phenotypes. The porous interstitial spaces between microgels promote fibroblast proliferation and fast trafficking (an average speed of ≈14.4 µm h(-1) ). The incorporation of hyaluronic acid further enhances macrophage infiltration. The coculture of macrophages and fibroblasts treated with transforming growth factor-beta 1 resulted in a twofold reduction in collagen-I production for microgels releasing IL-10 compared to the IL-10 free group. The new microgels show potential toward regenerative healing by harnessing the antifibrotic behavior of host macrophages."
2022 Jan,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2022 Jan;9(2):e2102627. doi: 10.1002/advs.202102627. Epub 2021 ,"['Taheri, Sareh', 'Bao, Guangyu', 'He, Zixin', 'Mohammadi, Sepideh', 'Ravanbakhsh, Hossein', 'Lessard, Larry', 'Li, Jianyu', 'Mongeau, Luc']","['biocompatible materials  chemistry', 'biomimetics  methods', 'cell proliferation', 'cells, cultured', 'hydrogels  chemistry', 'permeability', 'regenerative medicine  methods', 'cytocompatible', 'injectable', 'microfluidics', 'perfusable', 'porous structures', 'tissue engineering', 'tough hydrogels']","Injectable, Pore-Forming, Perfusable Double-Network Hydrogels Resilient to Extreme Biomechanical Stimulations.","Biological tissues hinge on blood perfusion and mechanical toughness to function. Injectable hydrogels that possess both high permeability and toughness have profound impacts on regenerative medicine but remain a long-standing challenge. To address this issue, injectable, pore-forming double-network hydrogels are fabricated by orchestrating stepwise gelation and phase separation processes. The interconnected pores of the resulting hydrogels enable direct medium perfusion through organ-sized matrices. The hydrogels are amenable to cell encapsulation and delivery while promoting cell proliferation and spreading. They are also pore insensitive, tough, and fatigue resistant. When tested in biomimetic perfusion bioreactors, the hydrogels maintain physical integrity under prolonged, high-frequency biomechanical stimulations (>6000 000 cycles at 120 Hz). The excellent biomechanical performance suggests the great potential of the new injectable hydrogel technology for repairing mechanically dynamic tissues, such as vocal folds, and other applications, such as tissue engineering, biofabrication, organs-on-chips, drug delivery, and disease modeling."
