time,journal,doi_info,authors,key words,title,abstract
2024 Jul,Journal of extracellular vesicles,J Extracell Vesicles. 2024 Jul;13(7):e12435. doi: 10.1002/jev2.12435.,"['Karoichan, Antoine', 'Boucenna, Sarah', 'Tabrizian, Maryam']","['humans', ' extracellular vesicles metabolism', ' osteoarthritis therapy metabolism', ' biomarkers metabolism', 'animals', 'clinical translation', 'extracellular vesicles', 'osteoarthritis']",Therapeutics of the future: Navigating the pitfalls of extracellular vesicles research from an osteoarthritis perspective.,"Extracellular vesicles have gained wide momentum as potential therapeutics for osteoarthritis, a highly prevalent chronic disease that still lacks an approved treatment. The membrane-bound vesicles are secreted by all cells carrying different cargos that can serve as both disease biomarkers and disease modifiers. Nonetheless, despite a significant peak in research regarding EVs as OA therapeutics, clinical implementation seems distant. In addition to scalability and standardization challenges, researchers often omit to focus on and consider the proper tropism of the vesicles, the practicality and relevance of their source, their low native therapeutic efficacy, and whether they address the disease as a whole. These considerations are necessary to better understand EVs in a clinical light and have been comprehensively discussed and ultimately summarized in this review into a conceptualized framework termed the nanodiamond concept. Future perspectives are also discussed, and alternatives are presented to address some of the challenges and concerns."
2024 Mar,Bioengineering & translational medicine,Bioeng Transl Med. 2023 Nov 9;9(2):e10601. doi: 10.1002/btm2.10601. eCollection ,"['Paun, Radu A', 'Jurchuk, Sarah', 'Tabrizian, Maryam']","['chemotherapy', 'drug combination', 'gene therapy', 'immunotherapy', 'lipid nanoparticles', 'solid tumors', 'translational limitations']",A landscape of recent advances in lipid nanoparticles and their translational potential for the treatment of solid tumors.,"Lipid nanoparticles (LNPs) are biocompatible drug delivery systems that have found numerous applications in medicine. Their versatile nature enables the encapsulation and targeting of various types of medically relevant molecular cargo, including oligonucleotides, proteins, and small molecules for the treatment of diseases, such as cancer. Cancers that form solid tumors are particularly relevant for LNP-based therapeutics due to the enhanced permeation and retention effect that allows nanoparticles to accumulate within the tumor tissue. Additionally, LNPs can be formulated for both locoregional and systemic delivery depending on the tumor type and stage. To date, LNPs have been used extensively in the clinic to reduce systemic toxicity and improve outcomes in cancer patients by encapsulating chemotherapeutic drugs. Next-generation lipid nanoparticles are currently being developed to expand their use in gene therapy and immunotherapy, as well as to enable the co-encapsulation of multiple drugs in a single system. Other developments include the design of targeted LNPs to specific cells and tissues, and triggerable release systems to control cargo delivery at the tumor site. This review paper highlights recent developments in LNP drug delivery formulations and focuses on the treatment of solid tumors, while also discussing some of their current translational limitations and potential opportunities in the field."
2023,Journal of diabetes research,J Diabetes Res. 2023 Dec 21;2023:6610007. doi: 10.1155/2023/6610007. eCollection ,"['Porter, James M', 'Yitayew, Michael', 'Tabrizian, Maryam']","['humans', 'coculture techniques', ' diabetes mellitus, type 1 metabolism', 'endothelial cells metabolism', 'pilot projects', 'insulin metabolism', ' insulin-secreting cells metabolism', 'glucose metabolism']",Renewable Human Cell Model for Type 1 Diabetes Research: EndoC-βH5/HUVEC Coculture Spheroids.,"In vitro drug screening for type 1 diabetes therapies has largely been conducted on human organ donor islets for proof of efficacy. While native islets are the ultimate target of these drugs (either in situ or for transplantation), significant benefit can be difficult to ascertain due to the highly heterogeneous nature of individual donors and the overall scarcity of human islets for research. We present an in vitro coculture model based on immortalized insulin-producing beta-cell lines with human endothelial cells in 3D spheroids that aims to recapitulate the islet morphology in an effort towards developing a standardized cell model for in vitro diabetes research. Human insulin-producing immortalized EndoC-βH5 cells are cocultured with human endothelial cells in varying ratios to evaluate 3D cell culture models for type 1 diabetes research. Insulin secretion, metabolic activity, live cell fluorescence staining, and gene expression assays were used to compare the viability and functionality of spheroids composed of 100% beta-cells, 1 : 1 beta-cell/endothelial, and 1 : 3 beta-cell/endothelial. Monoculture and βH5/HUVEC cocultures formed compact spheroids within 7 days, with average diameter ~140 μm. This pilot study indicated that stimulated insulin release from 0 to 20 mM glucose increased from ~8-fold for monoculture and 1 : 1 coculture spheroids to over 20-fold for 1 : 3 EndoC-βH5/HUVEC spheroids. Metabolic activity was also ~12% higher in the 1 : 3 EndoC-βH5/HUVEC group compared to other groups. Stimulating monoculture beta-cell spheroids with 20 mM glucose +1 μg/mL glycine-modified INGAP-P increased the insulin stimulation index ~2-fold compared to glucose alone. Considering their availability and consistent phenotype, EndoC-βH5-based spheroids present a useful 3D cell model for in vitro testing and drug screening applications."
2023 Nov 3,"Materials (Basel, Switzerland)",Materials (Basel). 2023 Nov 3;16(21):7026. doi: 10.3390/ma16217026.,"['Rothpan, Matthew', 'Chandra Teja Dadi, Nitin', 'McKay, Geoffrey', 'Tanzer, Michael', 'Nguyen, Dao', 'Hart, Adam', 'Tabrizian, Maryam']","['antibiofilm coating', 'bioactive coating', 'layer by layer', 'orthopedic implants', 'polyelectrolyte', 'silver nanoparticles', 'titanium dioxide nanoparticles']",Titanium-Dioxide-Nanoparticle-Embedded Polyelectrolyte Multilayer as an Osteoconductive and Antimicrobial Surface Coating.,"Bioactive surface coatings have retained the attention of researchers and physicians due to their versatility and range of applications in orthopedics, particularly in infection prevention. Antibacterial metal nanoparticles (mNPs) are a promising therapeutic, with vast application opportunities on orthopedic implants. The current research aimed to construct a polyelectrolyte multilayer on a highly porous titanium implant using alternating thin film coatings of chitosan and alginate via the layer-by-layer (LbL) self-assembly technique, along with the incorporation of silver nanoparticles (AgNPs) or titanium dioxide nanoparticles (TiO(2)NPs), for antibacterial and osteoconductive activity. These mNPs were characterized for their physicochemical properties using quartz crystal microgravimetry with a dissipation system, nanoparticle tracking analysis, scanning electron microscopy, and atomic force microscopy. Their cytotoxicity and osteogenic differentiation capabilities were assessed using AlamarBlue and alkaline phosphatase (ALP) activity assays, respectively. The antibiofilm efficacy of the mNPs was tested against Staphylococcus aureus. The LbL polyelectrolyte coating was successfully applied to the porous titanium substrate. A dose-dependent relationship between nanoparticle concentration and ALP as well as antibacterial effects was observed. TiO(2)NP samples were also less cytotoxic than their AgNP counterparts, although similarly antimicrobial. Together, these data serve as a proof-of-concept for a novel coating approach for orthopedic implants with antimicrobial and osteoconductive properties."
2023 Sep 18,"Biomedical materials (Bristol, England)",Biomed Mater. 2023 Sep 18;18(6). doi: 10.1088/1748-605X/acf542.,"['Watcharajittanont, Nattawat', 'Tabrizian, Maryam', 'Ekarattanawong, Sophapun', 'Meesane, Jirut']","[' osteogenesis', ' fibroins', 'calcium', 'bone and bones', 'silk', 'durapatite', 'bone tissue engineering', 'hydroxyapatite', 'silk fibroin', 'tissue scaffolds', 'titanium oxide']","Bone-mimicking scaffold based on silk fibroin incorporated with hydroxyapatite and titanium oxide as enhanced osteo-conductive material for bone tissue formation: fabrication, characterization, properties, andin vitrotesting.","Bone-mimicking scaffolds based on silk fibroin (SF) mixed with hydroxyapatite nanoparticles (HA NPs) and titanium oxide (TiO(2)) nanoparticles were created as materials for bone formation. Six scaffold groups were fabricated: S1 (SF), S2 (Silk + (HA: TiO(2); 100: 0)), S3 (Silk, (HA: TiO(2); 70: 30)), S4 (Silk + (HA NPs: TiO(2); 50: 50)), S5 (Silk + (HA: TiO(2); 30: 70)), and S6 (Silk + (HA NPs: TiO(2); 0:100)). Scaffolds were characterized for molecular formation, structure, and morphology by Fourier transform infrared spectroscopy, element analysis, and X-ray diffraction. They were tested for physical swelling and compressive modulus. Scaffolds were cultured with MC3T3 and testedin vitroto evaluate their biological performance. The results showed that scaffolds with HA and TiO(2)demonstrated molecular interaction via amide I and phosphate groups. These scaffolds had smaller pore sizes than those without HA and TiO(2). They showed more swelling and higher compressive modulus than the scaffolds without HA and TiO(2). They exhibited better biological performance: cell adhesion, viability, proliferation, alkaline phosphatase activity, and calcium content than the scaffolds without HA and TiO(2). Their porous walls acted as templates for cell aggregation and supported synthesis of calcium secreted from cells. S3 were the most suitable scaffolds. With their enhanced osteo-conductive function, they are promising for bone augmentation for oral and maxillofacial surgery."
2023 Apr,Advanced nanobiomed research,Adv Nanobiomed Res. 2023 Apr;3(4):2200095. doi: 10.1002/anbr.202200095. Epub 2023 ,"['Brown, Mika', 'Zhu, Shirley', 'Taylor, Lorne', 'Tabrizian, Maryam', 'Li-Jessen, Nicole Y K']","['biomaterials', 'decellularized extracellular matrix', 'neo-ecm deposition', 'proteomics', 'vocal folds']",Unraveling the Relevance of Tissue-Specific Decellularized Extracellular Matrix Hydrogels for Vocal Fold Regenerative Biomaterials: A Comprehensive Proteomic and In Vitro Study.,"Decellularized extracellular matrix (dECM) is a promising material for tissue engineering applications. Tissue-specific dECM is often seen as a favorable material that recapitulates a native-like microenvironment for cellular remodeling. However, the minute quantity of dECM derivable from small organs like the vocal fold (VF) hampers manufacturing scalability. Small intestinal submucosa (SIS), a commercial product with proven regenerative capacity, may be a viable option for VF applications. This study aims to compare dECM hydrogels derived from SIS or VF tissue with respect to protein content and functionality using mass spectrometry-based proteomics and in vitro studies. Proteomic analysis reveals that VF and SIS dECM share 75% of core matrisome proteins. Although VF dECM proteins have greater overlap with native VF, SIS dECM shows less cross-sample variability. Following decellularization, significant reductions of soluble collagen (61%), elastin (81%), and hyaluronan (44%) are noted in VF dECM. SIS dECM contains comparable elastin and hyaluronan but 67% greater soluble collagen than VF dECM. Cells deposit more neo-collagen on SIS than VF-dECM hydrogels, whereas neo-elastin (~50 μg/scaffold) and neo-hyaluronan (~ 6 μg/scaffold) are comparable between the two hydrogels. Overall, SIS dECM possesses reasonably similar proteomic profile and regenerative capacity to VF dECM. SIS dECM is considered a promising alternative for dECM-derived biomaterials for VF regeneration."
2023 Jun 8,International journal of molecular sciences,Int J Mol Sci. 2023 Jun 8;24(12):9902. doi: 10.3390/ijms24129902.,"['Moya-Garcia, Christian R', 'Li-Jessen, Nicole Y K', 'Tabrizian, Maryam']","['humans', 'docetaxel', 'liposomes chemistry', ' laryngeal neoplasms drug therapy', ' chitosan chemistry', 'drug delivery systems methods', ' antineoplastic agents', 'particle size', 'chitosan coating', 'docetaxel', 'drug delivery', 'laryngeal cancer', 'liposomes']",Chitosomes Loaded with Docetaxel as a Promising Drug Delivery System to Laryngeal Cancer Cells: An In Vitro Cytotoxic Study.,"Current delivery of chemotherapy, either intra-venous or intra-arterial, remains suboptimal for patients with head and neck tumors. The free form of chemotherapy drugs, such as docetaxel, has non-specific tissue targeting and poor solubility in blood that deters treatment efficacy. Upon reaching the tumors, these drugs can also be easily washed away by the interstitial fluids. Liposomes have been used as nanocarriers to enhance docetaxel bioavailability. However, they are affected by potential interstitial dislodging due to insufficient intratumoral permeability and retention capabilities. Here, we developed and characterized docetaxel-loaded anionic nanoliposomes coated with a layer of mucoadhesive chitosan (chitosomes) for the application of chemotherapy drug delivery. The anionic liposomes were 99.4 ± 1.5 nm in diameter with a zeta potential of -26 ± 2.0 mV. The chitosan coating increased the liposome size to 120 ± 2.2 nm and the surface charge to 24.8 ± 2.6 mV. Chitosome formation was confirmed via FTIR spectroscopy and mucoadhesive analysis with anionic mucin dispersions. Blank liposomes and chitosomes showed no cytotoxic effect on human laryngeal stromal and cancer cells. Chitosomes were also internalized into the cytoplasm of human laryngeal cancer cells, indicating effective nanocarrier delivery. A higher cytotoxicity (p < 0.05) of docetaxel-loaded chitosomes towards human laryngeal cancer cells was observed compared to human stromal cells and control treatments. No hemolytic effect was observed on human red blood cells after a 3 h exposure, proving the proposed intra-arterial administration. Our in vitro results supported the potential of docetaxel-loaded chitosomes for locoregional chemotherapy delivery to laryngeal cancer cells."
2023 Jul 17,ACS applied bio materials,ACS Appl Bio Mater. 2023 Jul 17;6(7):2515-2545. doi: 10.1021/acsabm.3c00108. Epub ,"['Agnes, Celine J', 'Karoichan, Antoine', 'Tabrizian, Maryam']","[' tissue engineering methods', ' chitosan', 'tissue scaffolds', 'biocompatible materials therapeutic use', 'bone and bones surgery', 'bone tissue engineering', 'chitosan-based scaffolds', 'cross-linking', 'diamond concept', 'growth factors', 'osteogenic cells']",The Diamond Concept Enigma: Recent Trends of Its Implementation in Cross-linked Chitosan-Based Scaffolds for Bone Tissue Engineering.,"An increasing number of publications over the past ten years have focused on the development of chitosan-based cross-linked scaffolds to regenerate bone tissue. The design of biomaterials for bone tissue engineering applications relies heavily on the ideals set forth by a polytherapy approach called the ""Diamond Concept"". This methodology takes into consideration the mechanical environment, scaffold properties, osteogenic and angiogenic potential of cells, and benefits of osteoinductive mediator encapsulation. The following review presents a comprehensive summarization of recent trends in chitosan-based cross-linked scaffold development within the scope of the Diamond Concept, particularly for nonload-bearing bone repair. A standardized methodology for material characterization, along with assessment of in vitro and in vivo potential for bone regeneration, is presented based on approaches in the literature, and future directions of the field are discussed."
2023 Apr 12,Lab on a chip,Lab Chip. 2023 Apr 12;23(8):2091-2105. doi: 10.1039/d2lc00854h.,"['Rasouli, Reza', 'Paun, Radu Alexandru', 'Tabrizian, Maryam']","['animals', 'mice', 'humans', 'female', 'spheroids, cellular pathology', 'sound', ' nanoparticles chemistry', 'drug delivery systems', ' breast neoplasms pathology']",Sonoprinting nanoparticles on cellular spheroids via surface acoustic waves for enhanced nanotherapeutics delivery.,"Nanotherapeutics, on their path to the target tissues, face numerous physicochemical hindrances that affect their therapeutic efficacy. Physical barriers become more pronounced in pathological tissues, such as solid tumors, where they limit the penetration of nanocarriers into deeper regions, thereby preventing the efficient delivery of drug cargo. To address this challenge, we introduce a novel approach that employs surface acoustic wave (SAW) technology to sonoprint and enhance the delivery of nanoparticles onto and into cell spheroids. Our SAW platform is designed to generate focused and unidirectional acoustic waves for creating vigorous acoustic streaming while promoting Bjerknes forces. The effect of SAW excitation on cell viability, as well as the accumulation and penetration of nanoparticles on human breast cancer (MCF 7) and mouse melanoma (YUMM 1.7) cell spheroids were investigated. The high frequency, low input voltage, and contact-free nature of the proposed SAW system ensured over 92% cell viability for both cell lines after SAW exposure. SAW sonoprinting enhanced the accumulation of 100 nm polystyrene particles on the periphery of the spheroids to near four-fold, while the penetration of nanoparticles into the core regions of the spheroids was improved up to three times. To demonstrate the effectiveness of our SAW platform on the efficacy of nanotherapeutics, the platform was used to deliver nanoliposomes encapsulated with the anti-cancer metal compound copper diethyldithiocarbamate (CuET) to MCF 7 and YUMM 1.7 cell spheroids. A three-fold increase in the cytotoxic activity of the drug was observed in spheroids under the effect of SAW, compared to controls. The capacity of SAW-based devices to be manufactured as minuscule wearable patches can offer highly controllable, localized, and continuous acoustic waves to enhance drug delivery efficiency to target tissues."
2023 Mar 1,Lab on a chip,Lab Chip. 2023 Mar 1;23(5):1300-1338. doi: 10.1039/d2lc00439a.,"['Rasouli, Reza', 'Villegas, Karina Martinez', 'Tabrizian, Maryam']","['humans', ' tissue engineering', 'acoustics', 'sound', 'lab-on-a-chip devices', ' micro-electrical-mechanical systems']","Acoustofluidics - changing paradigm in tissue engineering, therapeutics development, and biosensing.","For more than 70 years, acoustic waves have been used to screen, diagnose, and treat patients in hundreds of medical devices. The biocompatible nature of acoustic waves, their non-invasive and contactless operation, and their compatibility with wide visualization techniques are just a few of the many features that lead to the clinical success of sound-powered devices. The development of microelectromechanical systems and fabrication technologies in the past two decades reignited the spark of acoustics in the discovery of unique microscale bio applications. Acoustofluidics, the combination of acoustic waves and fluid mechanics in the nano and micro-realm, allowed researchers to access high-resolution and controllable manipulation and sensing tools for particle separation, isolation and enrichment, patterning of cells and bioparticles, fluid handling, and point of care biosensing strategies. This versatility and attractiveness of acoustofluidics have led to the rapid expansion of platforms and methods, making it also challenging for users to select the best acoustic technology. Depending on the setup, acoustic devices can offer a diverse level of biocompatibility, throughput, versatility, and sensitivity, where each of these considerations can become the design priority based on the application. In this paper, we aim to overview the recent advancements of acoustofluidics in the multifaceted fields of regenerative medicine, therapeutic development, and diagnosis and provide researchers with the necessary information needed to choose the best-suited acoustic technology for their application. Moreover, the effect of acoustofluidic systems on phenotypic behavior of living organisms are investigated. The review starts with a brief explanation of acoustofluidic principles, the different working mechanisms, and the advantages or challenges of commonly used platforms based on the state-of-the-art design features of acoustofluidic technologies. Finally, we present an outlook of potential trends, the areas to be explored, and the challenges that need to be overcome in developing acoustofluidic platforms that can echo the clinical success of conventional ultrasound-based devices."
