time,journal,doi_info,authors,key words,title,abstract
2024 Jun 26,Critical reviews in food science and nutrition,Crit Rev Food Sci Nutr. 2024 Jun 26:1-19. doi: 10.1080/10408398.2024.2369694.,"['Wu, Qiming', 'Kan, Juntao', 'Cui, Zhengying', 'Ma, Yuchen', 'Liu, Xin', 'Dong, Ruifang', 'Huang, Dejian', 'Chen, Lin', 'Du, Jun', 'Fu, Caili']","['probiotics', 'interaction', 'metabolism', 'plant protein', 'synergistic effect']","Understanding the nutritional benefits through plant proteins-probiotics interactions: mechanisms, challenges, and perspectives.","The nutritional benefits of combining probiotics with plant proteins have sparked increasing research interest and drawn significant attention. The interactions between plant proteins and probiotics demonstrate substantial potential for enhancing the functionality of plant proteins. Fermented plant protein foods offer a unique blend of bioactive components and beneficial microorganisms that can enhance gut health and combat chronic diseases. Utilizing various probiotic strains and plant protein sources opens doors to develop innovative probiotic products with enhanced functionalities. Nonetheless, the mechanisms and synergistic effects of these interactions remain not fully understood. This review aims to delve into the roles of promoting health through the intricate interplay of plant proteins and probiotics. The regulatory mechanisms have been elucidated to showcase the synergistic effects, accompanied by a discussion on the challenges and future research prospects. It is essential to recognize that the interactions between plant proteins and probiotics encompass multiple mechanisms, highlighting the need for further research to address challenges in achieving a comprehensive understanding of these mechanisms and their associated health benefits."
2024 May 24,ACS sensors,ACS Sens. 2024 May 24;9(5):2413-2420. doi: 10.1021/acssensors.4c00090. Epub 2024 ,"['Zhao, Xue', 'He, Yawen', 'Shao, Shengjie', 'Ci, Qiaoqiao', 'Chen, Lin', 'Lu, Xiaonan', 'Liu, Qian', 'Chen, Juhong']","[' african swine fever virus genetics isolation & purification', ' colorimetry methods', ' biosensing techniques methods', ' dna, catalytic chemistry', ' g-quadruplexes', ' paper', 'animals', ' crispr-cas systems genetics', 'swine', 'dna, viral analysis genetics', 'limit of detection', 'african swine fever virus', 'crispr', 'cas14', 'g-quadruplex', 'microfluidic paper-based analytical device', 'pathogen detection']",CRISPR/Cas14 and G-Quadruplex DNAzyme-Driven Biosensor for Paper-Based Colorimetric Detection of African Swine Fever Virus.,"The highly contagious nature and 100% fatality rate contribute to the ongoing and expanding impact of the African swine fever virus (ASFV), causing significant economic losses worldwide. Herein, we developed a cascaded colorimetric detection using the combination of a CRISPR/Cas14a system, G-quadruplex DNAzyme, and microfluidic paper-based analytical device. This CRISPR/Cas14a-G4 biosensor could detect ASFV as low as 5 copies/μL and differentiate the wild-type and mutated ASFV DNA with 2-nt difference. Moreover, this approach was employed to detect ASFV in porcine plasma. A broad linear detection range was observed, and the limit of detection in spiked porcine plasma was calculated to be as low as 42-85 copies/μL. Our results indicate that the developed paper platform exhibits the advantages of high sensitivity, excellent specificity, and low cost, making it promising for clinical applications in the field of DNA disease detection and suitable for popularization in low-resourced areas."
2024 Mar 5,"Light, science & applications",Light Sci Appl. 2024 Mar 5;13(1):65. doi: 10.1038/s41377-024-01409-1.,"['Shu, Xiaoqian', 'Zhong, Qi', 'Hong, Kai', 'You, Oubo', 'Wang, Jian', 'Hu, Guangwei', 'Alù, Andrea', 'Zhang, Shuang', 'Christodoulides, Demetrios N', 'Chen, Lin']",[],Chiral transmission by an open evolution trajectory in a non-Hermitian system.,"Exceptional points (EPs), at which two or more eigenvalues and eigenstates of a resonant system coalesce, are associated with non-Hermitian Hamiltonians with gain and/or loss elements. Dynamic encircling of EPs has received significant interest in recent years, as it has been shown to lead to highly nontrivial phenomena, such as chiral transmission in which the final state of the system depends on the encircling handedness. Previously, chiral transmission for a pair of eigenmodes has been realized by establishing a closed dynamical trajectory in parity-time- (PT-) or anti-PT-symmetric systems. Although chiral transmission of symmetry-broken modes, more accessible in practical photonic integrated circuits, has been realized by establishing a closed trajectory encircling EPs in anti-PT-symmetric systems, the demonstrated transmission efficiency is very low due to path-dependent losses. Here, we demonstrate chiral dynamics in a coupled waveguide system that does not require a closed trajectory. Specifically, we explore an open trajectory linking two infinite points having the same asymptotic eigenmodes (not modes in PT- and anti-PT-symmetric systems), demonstrating that this platform enables high-efficiency chiral transmission, with each eigenmode localized in a single waveguide. This concept is experimentally implemented in a coupled silicon waveguide system at telecommunication wavelengths. Our work provides a new evolution strategy for chiral dynamics with superior performance, laying the foundation for the development of practical chiral-transmission devices."
2024 Mar 11,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 Mar 11;63(11):e202317957. doi: ,"['Yang, Sudong', 'Guo, Xu', 'Li, Xiaoning', 'Wu, Tianze', 'Zou, Longhua', 'He, Zhiying', 'Xu, Qing', 'Zheng, Junjie', 'Chen, Lin', 'Wang, Qingyuan', 'Xu, Zhichuan J']","['co desorption', 'co2 photoreduction', 'heterojunction', 'oxygen vacancy', 'topological phase transition']",Enhancing Photocatalytic CO(2) Conversion through Oxygen-Vacancy-Mediated Topological Phase Transition.,"Weak adsorption of gas reactants and strong binding of intermediates present a significant challenge for most transition metal oxides, particularly in the realm of CO(2) photoreduction. Herein, we demonstrate that the adsorption can be fine-tuned by phase engineering of oxide catalysts. An oxygen vacancy mediated topological phase transition in Ni-Co oxide nanowires, supported on a hierarchical graphene aerogel (GA), is observed from a spinel phase to a rock-salt phase. Such in situ phase transition empowers the Ni-Co oxide catalyst with a strong internal electric field and the attainment of abundant oxygen vacancies. Among a series of catalysts, the in situ transformed spinel/rock-salt heterojunction supported on GA stands out for an exceptional photocatalytic CO(2) reduction activity and selectivity, yielding an impressive CO production rate of 12.5 mmol g(-1) h(-1) and high selectivity of 96.5 %. This remarkable performance is a result of the robust interfacial coupling between two topological phases that optimizes the electronic structures through directional charge transfer across interfaces. The phase transition process induces more Co(2+) in octahedral site, which can effectively enhance the Co-O covalency. This synergistic effect balances the surface activation of CO(2) molecules and desorption of reaction intermediates, thereby lowering the energetic barrier of the rate-limiting step."
2023 Dec 11,Biomacromolecules,Biomacromolecules. 2023 Dec 11;24(12):5722-5736. doi: 10.1021/acs.biomac.3c00691. ,"['Hu, Han', 'Luan, Qingyang', 'Li, Jiayi', 'Lin, Chen', 'Ouyang, Xingyu', 'Wei, Dong-Qing', 'Wang, Jinggang', 'Zhu, Jin']","[' polyesters chemistry', 'molecular weight', 'hydrolysis', ' hydrogen peroxide', 'oxidation-reduction']",High-Molecular-Weight and Light-Colored Disulfide-Bond-Embedded Polyesters: Accelerated Hydrolysis Triggered by Redox Responsiveness.,"Disulfide bonds have attracted considerable attention due to their reduction responsiveness, but it is crucial and challenging to prepare disulfide-bond-based polyesters by melt polycondensation. Herein, the inherently poor thermal stability of the S-S bond in melting polycondensation was overcome. Moreover, poly(butylene succinate-co-dithiodipropionate) (PBSDi) with a light color and high molecular weights (M(n) values up to 84.7 kg/mol) was obtained. These polyesters can be applied via melt processing with T(d,5%) > 318 °C. PBSDi10-PBSDi40 shows good crystallizability (crystallinity 56-38%) and compact lamellar thickness (2.9-3.2 nm). Compared with commercial poly(butylene adipate-co-terephthalate) (PBAT), the elevated mechanical and barrier performances of PBSDi make them better packaging materials. For the degradation behavior, the disulfide monomer obviously accelerates the enzyme degradation but has a weaker effect on hydrolysis. In 0.1 mol/L or higher concentrations of H(2)O(2) solutions, the oxidation of disulfide bonds to sulfoxide and sulfone groups can be realized. This process results in a stronger nucleophilic attack, as confirmed by the Fukui function and DFT calculations. Additionally, the greater polarity and hydrophilicity of oxidation products, proved by noncovalent interaction analysis, accelerate the hydrolysis of polyesters. Moreover, glutathione-responsive breakage, from polymers to oligomers, is confirmed by an accelerated decline in molecular weight. Our research offers fresh perspectives on the effective synthesis of the disulfide polyester and lays a solid basis for the creation of high-performance biodegradable polyesters that degrade on demand."
2022 Jul 1,Biomedical optics express,Biomed Opt Express. 2022 Jun 17;13(7):4007-4020. doi: 10.1364/BOE.465916. ,"['Han, Le', 'Tan, Bingyao', 'Hosseinaee, Zohreh', 'Chen, Lin Kun', 'Hileeto, Denise', 'Bizheva, Kostadinka']",[],"Line-scanning SD-OCT for in-vivo, non-contact, volumetric, cellular resolution imaging of the human cornea and limbus.","In-vivo, non-contact, volumetric imaging of the cellular and sub-cellular structure of the human cornea and limbus with optical coherence tomography (OCT) is challenging due to involuntary eye motion that introduces both motion artifacts and blur in the OCT images. Here we present the design of a line-scanning (LS) spectral-domain (SD) optical coherence tomography system that combines 2 × 3 × 1.7 µm (x, y, z) resolution in biological tissue with an image acquisition rate of ∼2,500 fps, and demonstrate its ability to image in-vivo and without contact with the tissue surface, the cellular structure of the human anterior segment tissues. Volumetric LS-SD-OCT images acquired over a field-of-view (FOV) of 0.7 mm × 1.4 mm reveal fine morphological details in the healthy human cornea, such as epithelial and endothelial cells, sub-basal nerves, as well as the cellular structure of the limbal crypts, the palisades of Vogt (POVs) and the blood microvasculature of the human limbus. LS-SD-OCT is a promising technology that can assist ophthalmologists with the early diagnostics and optimal treatment planning of ocular diseases affecting the human anterior eye."
2021,Frontiers in human neuroscience,Front Hum Neurosci. 2021 Feb 3;15:621677. doi: 10.3389/fnhum.2021.621677. ,"['Wang, Xiao-Dong', 'Xu, Hong', 'Yuan, Zhen', 'Luo, Hao', 'Wang, Ming', 'Li, Hua-Wei', 'Chen, Lin']","['auditory processing', 'brain laterality', 'lexical tone', 'mismatch negativity', 'reaction time']",Brain Hemispheres Swap Dominance for Processing Semantically Meaningful Pitch.,"The question of what determines brain laterality for auditory cognitive processing is unresolved. Here, we demonstrate a swap of hemisphere dominance from right to left during semantic interpretation of Chinese lexical tones in native speakers using simultaneously recorded mismatch negativity response and behavioral reaction time during dichotic listening judgment. The mismatch negativity, which is a brain wave response and indexes auditory processing at an early stage, indicated right hemisphere dominance. In contrast, the behavioral reaction time, which reflects auditory processing at a later stage, indicated a right ear listening advantage, or left hemisphere dominance. The observed swap of hemisphere dominance would not occur when the lexical tone was substituted with a meaningless pure tone. This swap reveals dependence of hemisphere labor division initially on acoustic and then on functional cues of auditory inputs in the processing from sound to meaning."
2020 Nov 25,Journal of agricultural and food chemistry,J Agric Food Chem. 2020 Nov 25;68(47):14071-14080. doi: 10.1021/acs.jafc.0c05344. ,"['Li, Da', 'Li, Cun-Yu', 'Hu, Ci-Jie', 'Yang, Yu-Si', 'Lin, Chen', 'Zhao, Dong', 'Li, Qing-Sheng', 'Ye, Jian-Hui', 'Zheng, Xin-Qiang', 'Liang, Yue-Rong', 'Lu, Jian-Liang']","['amino acids', ' camellia sinensis', 'metabolome', 'plant leaves', 'tea', 'accumulation of amino acids', 'bruising and withering treatment', 'expression regulation', 'hub genes', 'oolong tea', 'tea leaves']",Study on the Accumulation Mechanism of Amino Acids during Bruising and Withering Treatment of Oolong Tea.,"Amino acids are very important for oolong tea brisk-smooth mouthfeel which is mainly associated with bruising and withering treatment (BWT). In this study, metabolome and transcriptome analyses were performed to comprehensively investigate the changes in abundance of amino acids and the expression pattern of relevant genes during BWT of oolong tea manufacturing. Levels of most amino acids increased during BWT in the leaves harvested from 4 cultivars, while expression of the relevant function genes responsible for synthesis and transformation of amino acids up-regulated accordingly. Upstream hub genes including receptor-like protein kinase IKU2, serine/threonine-protein kinase PBL11, MYB transcription factor MYB2, ethylene-responsive transcription factor ERF114, WRKY transcription factor WRKY71, aspartate aminotransferase AATC, UDP-glycosyltransferase U91D1, and 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2 RRAA2, were predicted to be involved in regulation of the function genes expression and the amino acids metabolism through weighted gene coexpression network analysis. A modulation mechanism for accumulation of amino acids during BWT was also proposed. These findings give a deep insight into the metabolic reprogramming mechanism of amino acids during BWT of oolong tea."
2019 Jun,Computational biology and chemistry,Comput Biol Chem. 2019 Jun;80:390-397. doi: 10.1016/j.compbiolchem.2019.04.008. ,"['Huang, Han', 'Chu, Chen-Liang', 'Chen, Lin', 'Shui, Dong']","['catalytic domain', 'datasets as topic', 'drug design', 'drug evaluation, preclinical', 'enzyme inhibitors chemistry  metabolism', 'farnesyl-diphosphate farnesyltransferase  antagonists &', 'molecular docking simulation', 'molecular structure', 'protein binding', 'quantitative structure-activity relationship', '3d-qsar', 'in vitro evaluation', 'molecular docking', 'squalene synthase inhibitor', 'virtual screening']",Evaluation of potential inhibitors of squalene synthase based on virtual screening and in vitro studies.,"Squalene synthase (SQS) is a potential target for hyperlipidemia treatment. To identify novel chemical scaffolds of SQS inhibitors, we generated 3D-QSAR pharmacophore models using HypoGen. The best quantitative pharmacophore model, Hypo 1, was selected for virtual screening using two chemical databases, Specs and Traditional Chinese Medicine database (TCM). The best-mapped hit compounds were then subjected to filtering by Lipinski(')s rule of five and docking studies to refine the hits. Finally, five compounds were selected from the top-ranked hit compounds for SQS inhibitory assay in vitro. Three of these compounds could inhibit SQS in vitro, and should be further evaluated pre-clinically as a treatment for hyperlipidemia."
2018 Dec 25,Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,Zhonghua Wei Chang Wai Ke Za Zhi. 2018 Dec 25;21(12):1366-1373.,"['Wang, Zhiwei', 'Chen, Jun', 'Ren, Jianan', 'Wang, Peige', 'Jie, Zhigang', 'Jin, Weidong', 'Hu, Jiankun', 'Li, Yong', 'Zhang, Jianwen', 'Li, Shuhua', 'Tu, Jiancheng', 'Zhang, Haiyang', 'Liu, Hongbin', 'Shang, Liang', 'Zhao, Jie', 'Luo, Suming', 'Yao, Hongliang', 'Jia, Baoqing', 'Chen, Lin', 'Ren, Zeqiang', 'Li, Guangyi', 'Zhang, Hao', 'Wu, Zhiming', 'Wang, Daorong', 'Gao, Yongshun', 'Fu, Weihua', 'Yang, Hua', 'Xie, Wenbiao', 'Zhang, Erlei', 'Peng, Yong', 'Wang, Shichen', 'Chen, Jie', 'Zhang, Junqiang', 'Zheng, Tao', 'Wang, Gefei']","['abdomen surgery', 'adult', 'aged', 'china', 'cross-sectional studies', 'female', 'general surgery statistics & numerical data', 'humans', 'male', 'middle aged', 'operative time', 'postoperative complications prevention & control', 'preoperative period', 'retrospective studies', 'risk factors', ' surgical wound infection prevention & control']",[Surgical site infection following abdominal surgery in China: a multicenter cross-sectional study].,"OBJECTIVE: To determine the incidence of surgical site infection (SSI) after abdominal surgery and to further evaluate the related risk factors of SSI in China. METHODS: The multicenter cross-sectional study collected clinical data of all adult patients who underwent abdominal surgery from May 1, 2018 to May 31, 2018 in 30 domestic hospitals, including basic information, perioperative parameters, and incisional microbial culture results. The primary outcome was the incidence of SSI within postoperative 30 days. SSI was classified into superficial incision infection, deep incision infection, and organ/gap infection according to the US Centers for Disease Control and Prevention (CDC) criteria. The secondary outcome variables were ICU stay, postoperative hospital stay, total hospital stay, 30-day mortality and treatment costs. Multivariate logistic regression was used to analyze the risk factors of SSI. RESULTS: A total of 1666 patients were enrolled in the study, including 263 cases of East War Zone Hospital of PLA, 140 cases of Affiliated Hospital of Qingdao University, 108 cases of The First Affiliated Hospital of Nanchang University, 87 cases of Central War Zone Hospital of PLA, 77 cases of West China Hospital, 74 cases of Guangdong General Hospital, 71 cases of Chenzhou First People's Hospital, 71 cases of Zigong First People's Hospital, 64 cases of Zhangjiagang First People's Hospital, 56 cases of Nanyang City Central Hospital, 56 cases of Lanzhou General Hospital of Lanzhou Military Command, 56 cases of Shandong Provincial Hospital, 52 cases of Shangqiu First People's Hospital, 52 cases of People's Hospital of Xinjiang Uygur Autonomous Region, 48 cases of The Second Xiangya Hospital of Central South University, 48 cases of Chinese PLA General Hospital, 44 cases of Affiliated Hospital of Xuzhou Medical University, 38 cases of Hunan Province People's Hospital, 36 cases of Dongguan Kanghua Hospital, 30 cases of Shaoxing Central Hospital, 30 cases of Northern Jiangsu People's Hospital, 29 vases of The First Affiliated Hospital of Zhengzhou University, 27 cases of General Hospital of Tianjin Medical University, 22 cases of Zigong Fourth People's Hospital, 21 cases of The Second Hospital of University of South China, 18 cases of Tongji Hospital, 15 cases of Nanchong Central Hospital, 12 cases of The 901th Hospital of PLA, 11 cases of Hunan Cancer Hospital, 10 cases of Lanzhou University Second Hospital. There were 1019 males and 647 females with mean age of (56.5±15.3) years old. SSI occurred in 80 patients (4.8%) after operation, including 39 cases of superficial incision infection, 16 cases of deep incision infection, and 25 cases of organ/interstitial infection. Escherichia coli was the main pathogen of SSI, and the positive rate was 32.5% (26/80). Compared with patients without SSI, those with SSI had significantly higher ICU occupancy rate [38.8%(31/80) vs. 13.9%(220/1586), P<0.001], postoperative hospital stay (median 17 days vs. 7 days, P<0.001) and total hospital stay (median 22 days vs. 13 days, P<0.001), and significantly higher cost of treatment (median 75 000 yuan vs. 44 000 yuan, P<0.001). Multivariate analysis showed that male rise(OR=2.110, 95%"
