time,journal,doi_info,authors,key words,title,abstract
2024 Jul 3,Journal of materials chemistry. B,J Mater Chem B. 2024 Jul 3. doi: 10.1039/d4tb00889h.,"['Hasan Aneem, Taufiq', 'Sarker, Mridul', 'Wong, Siew Yee', 'Lim, Sierin', 'Li, Xu', 'Rashed, Asif', 'Chakravarty, Saumitra', 'Arafat, M Tarik']",[],Antimicrobial peptide immobilization on catechol-functionalized PCL/alginate wet-spun fibers to combat surgical site infection.,"Surgical site infection (SSI) caused by pathogenic bacteria leads to delayed wound healing and extended hospitalization. Inappropriate uses of antibiotics have caused a surge in SSI and common antibiotics are proving to be ineffective against SSI. Antimicrobial peptides (AMPs) can be a potential solution to prevent SSI because of their broad spectrum of antimicrobial activities. In this study, naturally sourced AMPs were studied along with microfibers, fabricated by a novel wet-spinning method using sodium alginate and polycaprolactone. Afterward, fibers were functionalized by the catechol groups of dopamine immobilizing nucleophilic AMPs on the surface. Conjugation between PCL and alginate resulted in fibers with smooth surfaces improving their mechanical strength via hydrogen bonds. Having an average diameter of 220 μm, the mechanical properties of the fiber complied with USP standards for suture size 3-0. Engineered microfibers were able to hinder the growth of Proteus spp., a pathogenic bacterium for at least 60 hours whereas antibiotic ceftazidime failed. When subjected to a linear incisional wound model study, accelerated healing was observed when the wound was closed using the engineered fiber compared to Vicryl. The microfibers promoted faster re-epithelialization compared to Vicryl proving their higher wound healing capacity."
2024 Jun,Biofilm,Biofilm. 2024 Jan 6;7:100176. doi: 10.1016/j.bioflm.2024.100176. eCollection 2024 ,"['Mahadevaswamy, Usha Rani', 'Mugunthan, Sudarsan', 'Seviour, Thomas', 'Kjelleberg, Staffan', 'Lim, Sierin']","['biofilm', 'co-culture', 'eps', 'extracellular dna', 'komagataeibacter hansenii', 'microbial population', 'pseudomonas aeruginosa pao1', 'structural integration']",Evaluating a polymicrobial biofilm model for structural components by co-culturing Komagataeibacter hansenii produced bacterial cellulose with Pseudomonas aeruginosa PAO1.,"A polymicrobial biofilm model of Komagataeibacter hansenii and Pseudomonas aeruginosa was developed to understand whether a pre-existing matrix affects the ability of another species to build a biofilm. P. aeruginosa was inoculated onto the preformed K. hansenii biofilm consisting of a cellulose matrix. P. aeruginosa PAO1 colonized and infiltrated the K. hansenii bacterial cellulose biofilm (BC), as indicated by the presence of cells at 19 μm depth in the translucent hydrogel matrix. Bacterial cell density increased along the imaged depth of the biofilm (17-19 μm). On day 5, the average bacterial count across sections was 67 ± 4 % P. aeruginosa PAO1 and 33 ± 6 % K. hansenii. Biophysical characterization of the biofilm indicated that colonization by P. aeruginosa modified the biophysical properties of the BC matrix, which inlcuded increased density, heterogeneity, degradation temperature and thermal stability, and reduced crystallinity, swelling ability and moisture content. This further indicates colonization of the biofilm by P. aeruginosa. While eDNA fibres - a key viscoelastic component of P. aeruginosa biofilm - were present on the surface of the co-cultured biofilm on day 1, their abundance decreased over time, and by day 5, no eDNA was observed, either on the surface or within the matrix. P. aeruginosa-colonized biofilm devoid of eDNA retained its mechanical properties. The observations demonstrate that a pre-existing biofilm scaffold of K. hansenii inhibits P. aeruginosa PAO1 eDNA production and suggest that eDNA production is a response by P. aeruginosa to the viscoelastic properties of its environment."
2024 Mar 12,Biomaterials science,Biomater Sci. 2024 Mar 12;12(6):1502-1514. doi: 10.1039/d3bm01347b.,"['Djordjevic, Ivan', 'Ellis, Elizabeth', 'Singh, Juhi', 'Ali, Naziruddin', 'Pena, Edgar M', 'Rajarethinam, Ravisankar', 'Manikandan, Lakshmanan', 'Goh, Jason', 'Lim, Sierin', 'Steele, Terry']","['swine', 'animals', 'catheters, indwelling', 'skin', ' catheterization, peripheral', ' bacteremia']",Color changing bioadhesive barrier for peripherally inserted central catheters.,"Bacteria migration at catheter insertion sites presents a serious complication (bacteraemia) with high mortality rates. One strategy to mediate bacteraemia is a physical barrier at the skin-catheter interface. Herein a colorimetric biosensor adhesive (CathoGlu) is designed and evaluated for both colorimetric detection of bacterial infection and application as a bacteria barrier. The design intent combines viscous, hydrophobic bioadhesive with an organic pH indicator (bromothymol blue). Visual observation can then distinguish healthy skin at pH = ∼5 from an infected catheter insertion site at pH = ∼8. The liquid-to-biorubber transition of CathoGlu formulation occurs via a brief exposure to UVA penlight, providing an elastic barrier to the skin flora. Leachates from CathoGlu demonstrate no genotoxic and skin sensitization effect, assessed by OECD-recommended in vitro and in chemico assays. The CathoGlu formulation was found non-inferior against clinically approved 2-octyl-cyanoacrylate (Dermabond™), and adhesive tape (Micropore™) within an in vivo porcine model. CathoGlu skin adhesive provides new opportunities to prevent sepsis in challenging clinical situations."
2024 Mar,Journal of colloid and interface science,J Colloid Interface Sci. 2024 Mar;657:971-981. doi: 10.1016/j.jcis.2023.11.055. ,"['Watts, Samuel', 'Hänni, Eliane', 'Smith, Gregory N', 'Mahmoudi, Najet', 'Freire, Rafael V M', 'Lim, Sierin', 'Salentinig, Stefan']","['humans', ' antimicrobial peptides', ' viruses', 'antiviral agents pharmacology', 'peptides pharmacology', 'lipid bilayers chemistry', 'antimicrobial peptide', 'antiviral mechanism', 'enveloped virus', 'll-37', 'multi-angle dynamic light scattering', 'small angle x-ray scattering', 'small angle neutron scattering']",Human antimicrobial peptide inactivation mechanism of enveloped viruses.,"HYPOTHESIS: Enveloped viruses are pivotal in causing various illnesses, including influenza and COVID-19. The antimicrobial peptide LL-37, a critical part of the human innate immune system, exhibits potential as an antiviral agent capable of thwarting these viral threats. Its mode of action involves versatile and non-specific interactions that culminate in dismantling the viral envelope, ultimately rendering the viruses inert. However, the exact mechanism of action is not yet understood. EXPERIMENTS: Here, the mechanism of LL-37 triggered changes in the structure and function of an enveloped virus is investigated. The bacteriophage ""Phi6"" is used as a surrogate for pathogenic enveloped viruses. Small angle X-ray and neutron scattering combined with light scattering techniques demonstrate that LL-37 actively integrates into the virus's lipid envelope. FINDINGS: LL-37 addition to Phi6 leads to curvature modification in the lipid bilayer, ultimately separating the envelope from the nucleocapsid. Additional biological assays confirm the loss of virus infectivity in the presence of LL-37, which coincides with the structural transformations. The results provide a fundamental understanding of the structure-activity relationship related to enveloped viruses. The knowledge of peptide-virus interactions can guide the design of future peptide-based antiviral drugs and therapies."
2023 Nov,Biotechnology and bioengineering,Biotechnol Bioeng. 2023 Nov;120(11):3200-3209. doi: 10.1002/bit.28523. Epub 2023 ,"['Sana, Barindra', 'Ding, Ke', 'Siau, Jia Wei', 'Pasula, Rupali Reddy', 'Chee, Sharon', 'Kharel, Sharad', 'Lena, Jean-Baptise Henri', 'Goh, Eunice', 'Rajamani, Lakshminarayanan', 'Lam, Yeng Ming', 'Lim, Sierin', 'Ghadessy, John F']","['pet', 'engineering', 'hydrolase', 'scaffold', 'thermostability', 'vgfp']",Thermostability enhancement of polyethylene terephthalate degrading PETase using self- and nonself-ligating protein scaffolding approaches.,"Polyethylene terephthalate (PET) hydrolase enzymes show promise for enzymatic PET degradation and green recycling of single-use PET vessels representing a major source of global pollution. Their full potential can be unlocked with enzyme engineering to render activities on recalcitrant PET substrates commensurate with cost-effective recycling at scale. Thermostability is a highly desirable property in industrial enzymes, often imparting increased robustness and significantly reducing quantities required. To date, most engineered PET hydrolases show improved thermostability over their parental enzymes. Here, we report engineered thermostable variants of Ideonella sakaiensis PET hydrolase enzyme (IsPETase) developed using two scaffolding strategies. The first employed SpyCatcher-SpyTag technology to covalently cyclize IsPETase, resulting in increased thermostability that was concomitant with reduced turnover of PET substrates compared to native IsPETase. The second approach using a GFP-nanobody fusion protein (vGFP) as a scaffold yielded a construct with a melting temperature of 80°C. This was further increased to 85°C when a thermostable PETase variant (FAST PETase) was scaffolded into vGFP, the highest reported so far for an engineered PET hydrolase derived from IsPETase. Thermostability enhancement using the vGFP scaffold did not compromise activity on PET compared to IsPETase. These contrasting results highlight potential topological and dynamic constraints imposed by scaffold choice as determinants of enzyme activity."
2023,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2023;2671:349-360. doi: 10.1007/978-1-0716-3222-2_20.,"['Kumar, Ambrish', 'Sharma, Bhargy', 'Lim, Sierin']","[' contrast media', ' magnetic resonance imaging', 'ferritins', 'iron', 'cell differentiation', 'contrast agent', 'ferritin', 'mri', 'nmr', 'relaxivity']",Protein Cage Relaxivity Measurement for Magnetic Resonance Imaging Contrast Agents.,"Contrast agents are employed to enhance the differentiation of diseased cells or lesions from normal tissues in magnetic resonance imaging (MRI). Protein cages have been explored as templates to synthesize superparamagnetic MRI contrast agents for decades. The biological origin imparts natural precision in forming confined nano-sized reaction vessels. With natural capacity to bind divalent metal ions, ferritin protein cages have been used for the synthesis of nanoparticles containing MRI contrast agents inside their core. Furthermore, ferritin is known to bind transferrin receptor 1 (TfR1) which is overexpressed on specific cancer cell types and could be used for targeted cellular imaging. In addition to iron, other metal ions such as manganese and gadolinium have been encapsulated within the core of ferritin cages. To compare the magnetic properties of ferritin loaded with contrast agents, a protocol for calculating the contrast enhancement power of protein nanocage is required. The contrast enhancement power is demonstrated as relaxivity and can be measured using MRI and solution nuclear magnetic resonance (NMR) methods. In this chapter, we present methods for measuring and calculating the relaxivity of ferritin nanocages loaded with paramagnetic ions in solution (in tube) with NMR and MRI."
2023,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2023;2671:219-239. doi: 10.1007/978-1-0716-3222-2_13.,"['Sarker, Mridul', 'Watts, Samuel', 'Salentinig, Stefan', 'Lim, Sierin']","[' emulsions', 'scattering, small angle', 'x-ray diffraction', 'circular dichroism', 'dynamic light scattering', 'circular dichroism', 'dls', 'emulsion', 'formulation', 'intrinsic fluorescence', 'saxs']",Protein Cage-Stabilized Emulsions: Formulation and Characterization.,"The formulation of Pickering emulsions using protein cages is gaining interest for applications in molecular delivery. Despite the growing interest, methods to investigate the at the liquid-liquid interface are limited. This chapter describes standard methods to formulate and protocols to characterize protein cage-stabilized emulsions. The characterization methods are dynamic light scattering (DLS), intrinsic fluorescence spectroscopy (TF), circular dichroism (CD), and small angle X-ray scattering (SAXS). Combining these methods allows understanding of the protein cage nanostructure at the oil/water interface."
2022 Mar,Engineering biology,Eng Biol. 2022 Mar 24;6(1):17-22. doi: 10.1049/enb2.12018. eCollection 2022 Mar.,"['Pasula, Rupali Reddy', 'Lim, Sierin', 'Ghadessy, Farid J', 'Sana, Barindra']","['ispetase', 'pet hydrolase', 'biochemistry', 'biodegradability', 'biodegradable materials', 'catalysis', 'chemical structure', 'crystallinity', 'enzymes', 'glass transition', 'microorganisms', 'molecular biophysics', 'plastics', 'polyethylene terephthalate', 'polymers', 'recycling', 'waste', 'waste recovery']",The influences of substrates' physical properties on enzymatic PET hydrolysis: Implications for PET hydrolase engineering.,"Plastic pollution in diverse terrestrial and marine environments is a widely recognised and growing problem. Bio-recycling and upcycling of plastic waste is a potential solution to plastic pollution, as these processes convert plastic waste into useful materials. Polyethylene terephthalate (PET) is the most abundant plastic waste, and this material can be degraded by a class of recently discovered bacterial esterase enzymes known as PET hydrolases (PETase). Investigations of the enzymatic hydrolysis of diverse PET molecules have clearly revealed that the biodegradability of various PET substrates depends on both their chemical structure and physical properties, including polymer length, crystallinity, glass transition temperature, surface area, and surface charge. This review summarises the known impacts of crystallinity and other physical properties on enzymatic PET hydrolysis."
2022 Mar,Engineering biology,Eng Biol. 2022 Feb 11;6(1):1-2. doi: 10.1049/enb2.12019. eCollection 2022 Mar.,"['Lim, Sierin', 'Bayer, Travis']",[],Engineering biology in the environment and sustainability.,
2023 Jan,Biomaterials advances,Biomater Adv. 2023 Jan;144:213174. doi: 10.1016/j.bioadv.2022.213174. Epub 2022 ,"['Singh, Juhi', 'Steele, Terry W J', 'Lim, Sierin']","[' adhesives chemistry', ' cellulose', 'bacteria chemistry', 'mucous membrane', 'bc', 'bacterial cellulose', 'bioadhesives', 'mucoadhesives', 'oral patches', 'photocuring']",Bacterial cellulose adhesive patches designed for soft mucosal interfaces.,"The wet environment in the oral cavity is challenging for topical disease management approaches. The compromised material properties leading to weak adhesion and short retention (<8 h) in such environment result in frequent reapplication of the therapeutics. Composites of bacterial cellulose (BC) and carbene-based bioadhesives attempt to address these shortcomings. Previous designs comprised of aqueous formulations. The current design, for the first time, presents dry, shelf-stable cellulose patches for convenient ready-to-use application. The dry patches simultaneously remove tissue surface hydration while retaining carbene-based photocuring and offers on-demand adhesion. The dry patch prototypes are optimized by controlling BC/adhesive mole ratios and dehydration technique. The adhesion strength is higher than commercial denture adhesives on soft mucosal tissues. The structural integrity is maintained for a minimum of 7 days in aqueous environment. The patches act as selective nanoporous barrier against bacteria while allowing permeation of proteins. The results support the application of BC-based adhesive patches as a flexible platform for wound dressings, drug depots, or combination thereof."
