time,journal,doi_info,authors,key words,title,abstract
2024 May 1,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2024 May 1;16(17):21498-21508. doi: ,"['Wei, Guangmin', 'Yue Feng, Moon Tay', 'Si, Zhangyong', 'Chan-Park, Mary B']","['animals', 'administration, oral', 'hydrogen-ion concentration', ' chitosan chemistry', 'probiotics administration & dosage pharmacology', 'humans', 'mice', 'lacticaseibacillus rhamnosus', 'intestinal mucosa metabolism drug effects', 'intestines drug effects', 'impermeable shell', 'layer-by-layer assembly', 'oral vaccine', 'ph-responsive', 'probiotics']",Single-Cell Oral Delivery Platform for Enhanced Acid Resistance and Intestinal Adhesion.,"Oral delivery of cells, such as probiotics and vaccines, has proved to be inefficient since cells are generally damaged in an acidic stomach prior to arrival at the intestine to exert their health benefits. In addition, short retention in the intestine is another obstacle which affects inefficiency. To overcome these obstacles, a cell-in-shell structure was designed with pH-responsive and mucoadhesive properties. The pH-responsive shell consisting of three cationic layers of chitosan and three anionic layers of trans-cinnamic acid (t-CA) was made via layer-by-layer (LbL) assembly. t-CA layers are hydrophobic and impermeable to protons in acid, thus enhancing cell gastric resistance in the stomach, while chitosan layers endow strong interaction between the cell surface and the mucosal wall which facilitates cell mucoadhesion in the intestine. Two model cells, probiotic L. rhamnosus GG and dead Streptococcus iniae, which serve as inactivated whole-cell vaccine were chosen to test the design. Increased survival and retention during oral administration were observed for coated cells as compared with naked cells. Partial removal of the coating (20-60% removal) after acid treatment indicates that the coated vaccine can expose its surface immunogenic protein after passage through the stomach, thus facilitating vaccine immune stimulation in the intestine. As a smart oral delivery platform, this design can be extended to various macromolecules, thus providing a promising strategy to formulate oral macromolecules in the prevention and treatment of diseases at a cellular level."
2024 Mar 20,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2024 Mar 20;16(11):14093-14112. doi: ,"['Ooi, Ying Jie', 'Huang, Chongquan', 'Lau, Kieran', 'Chew, Sing Yian', 'Park, Jong Gu', 'Chan-Park, Mary B']","['humans', 'rna, small interfering genetics', 'hela cells', ' esters', ' polymers', 'transfection', 'gene silencing', 'gene transfer techniques', 'biodegradable', 'gene silencing', 'poly(β-amino esters)', 'primary neural cells', 'sirna delivery']","Nontoxic, Biodegradable Hyperbranched Poly(β-amino ester)s for Efficient siRNA Delivery and Gene Silencing.","RNA interference (RNAi)-mediated gene silencing is a promising therapeutic approach to treat various diseases, but safe and efficient delivery remains a major challenge to its clinical application. Non-viral gene vectors, such as poly(β-amino esters) (pBAEs), have emerged as a potential candidate due to their biodegradability, low toxicity profile, ease of synthesis, and high gene transfection efficiency for both DNA and siRNA delivery. However, achieving significant gene silencing using pBAEs often requires a large amount of polymer carrier (with polymer/siRNA weight ratio >100) or high siRNA dose (>100 nM), which might potentially exacerbate toxicity concerns during delivery. To overcome these barriers, we designed and optimized a series of hyperbranched pBAEs capable of efficiently condensing siRNA and achieving excellent silencing efficiency at a lower polymer/siRNA weight ratio (w/w) and siRNA dose. Through modulation of monomer combinations and branching density, we identified the top-performing hyperbranched pBAEs, named as h(A2B3)-1, which possess good siRNA condensation ability, low cytotoxicity, and high cellular uptake efficiency. Compared with Lipofectamine 2000, h(A2B3)-1 achieved lower cytotoxicity and higher siRNA silencing efficiency in HeLa cells at a polymer/siRNA weight ratio of 30 and 30 nM siRNA dose. Notably, h(A2B3)-1 enhanced the gene uptake in primary neural cells and effectively silenced the target gene in hard-to-transfect primary cortical neurons and oligodendrocyte progenitor cells, with gene knockdown efficiencies of 34.8 and 53.4% respectively. By incorporating a bioreducible disulfide compartment into the polymer backbone, the cytocompatibility of the h(A2B3)-1 was greatly enhanced while maintaining their good transfection efficiency. Together, the low cytotoxicity and high siRNA transfection efficiency of hyperbranched h(A2B3)-1 in this study demonstrated their great potential as a non-viral gene vector for efficient siRNA delivery and RNAi-mediated gene silencing. This provides valuable insight into the future development of safe and efficient non-viral siRNA delivery systems as well as their translation into clinical applications."
2024 Feb 1,Nature communications,Nat Commun. 2024 Feb 1;15(1):954. doi: 10.1038/s41467-024-44968-y.,"['Pranantyo, Dicky', 'Yeo, Chun Kiat', 'Wu, Yang', 'Fan, Chen', 'Xu, Xiaofei', 'Yip, Yun Sheng', 'Vos, Marcus Ivan Gerard', 'Mahadevegowda, Surendra H', 'Lim, Priscilla Lay Keng', 'Yang, Liang', 'Hammond, Paula T', 'Leavesley, David Ian', 'Tan, Nguan Soon', 'Chan-Park, Mary B']","['humans', 'animals', 'mice', 'antioxidants pharmacology', 'acetylcysteine pharmacology', 'hydrogels pharmacology', ' methicillin-resistant staphylococcus aureus', 'wound healing', 'bandages', 'anti-bacterial agents pharmacology therapeutic use', 'biofilms', ' deafness', ' wound infection drug therapy', ' diabetes mellitus']",Hydrogel dressings with intrinsic antibiofilm and antioxidative dual functionalities accelerate infected diabetic wound healing.,"Chronic wounds are often infected with biofilm bacteria and characterized by high oxidative stress. Current dressings that promote chronic wound healing either require additional processes such as photothermal irradiation or leave behind gross amounts of undesirable residues. We report a dual-functionality hydrogel dressing with intrinsic antibiofilm and antioxidative properties that are synergistic and low-leaching. The hydrogel is a crosslinked network with tethered antibacterial cationic polyimidazolium and antioxidative N-acetylcysteine. In a murine diabetic wound model, the hydrogel accelerates the closure of wounds infected with methicillin-resistant Staphylococcus aureus or carbapenem-resistant Pseudomonas aeruginosa biofilm. Furthermore, a three-dimensional ex vivo human skin equivalent model shows that N-acetylcysteine promotes the keratinocyte differentiation and accelerates the re-epithelialization process. Our hydrogel dressing can be made into different formats for the healing of both flat and deep infected chronic wounds without contamination of the wound or needing other modalities such as photothermal irradiation."
2023 Oct 3,The Journal of antimicrobial chemotherapy,J Antimicrob Chemother. 2023 Oct 3;78(10):2581-2590. doi: 10.1093/jac/dkad274.,"['Chen, Yahua', 'Yong, Melvin', 'Li, Ming', 'Si, Zhangyong', 'Koh, Chong Hui', 'Lau, Pearlyn', 'Chang, Yi Wei', 'Teo, Jeanette', 'Chan-Park, Mary B', 'Gan, Yunn-Hwen']","['animals', 'humans', ' anti-bacterial agents pharmacology', 'colistin pharmacology', 'meropenem pharmacology', 'gram-negative bacteria', ' anti-infective agents pharmacology', 'escherichia coli genetics', 'microbial sensitivity tests', 'drug resistance, multiple, bacterial', 'mammals']",A hydrophilic polyimidazolium antibiotic targeting the membranes of Gram-negative bacteria.,"OBJECTIVES: The rise of MDR Gram-negative bacteria (GNB), especially those resistant to last-resort drugs such as carbapenems and colistin, is a global health risk and calls for increased efforts to discover new antimicrobial compounds. We previously reported that polyimidazolium (PIM) compounds exhibited significant antimicrobial activity and minimal mammalian cytotoxicity. However, their mechanism of action is relatively unknown. We examined the efficacy and mechanism of action of a hydrophilic PIM (PIM5) against colistin- and meropenem-resistant clinical isolates. METHODS: MIC and time-kill testing was performed for drug-resistant Escherichia coli and Klebsiella pneumoniae clinical isolates. N-phenyl-1-naphthylamine and propidium iodide dyes were employed to determine membrane permeabilization. Spontaneous resistant mutants and single deletion mutants were generated to understand potential resistance mechanisms to the drug. RESULTS: PIM5 had the same effectiveness against colistin- and meropenem-resistant strains as susceptible strains of GNB. PIM5 exhibited a rapid bactericidal effect independent of bacterial growth phase and was especially effective in water. The polymer disrupts both the outer and cytoplasmic membranes. PIM5 binds and intercalates into bacterial genomic DNA upon entry of cells. GNB do not develop high resistance to PIM5. However, the susceptibility and uptake of the polymer is moderately affected by mutations in the two-component histidine kinase sensor BaeS. PIM5 has negligible cytotoxicity on human cells at bacterial-killing concentrations, comparable to the commercial antibiotics polymyxin B and colistin. CONCLUSIONS: PIM5 is a potent broad-spectrum antibiotic targeting GNB resistant to last-resort antibiotics."
2023 Sep 6,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Sep 6;15(35):41772-41782. doi: ,"['Wang, Liping', 'Zhong, Wenbin', 'Liu, Bo', 'Pranantyo, Dicky', 'Chan-Park, Mary B']","[' anti-bacterial agents', ' anti-infective agents', 'biofilms', 'carbon monoxide', 'cations', 'gram-negative bacteria', 'gram-positive bacteria', 'polymers', 'co-releasing molecules', 'antibiofilm', 'antimicrobial', 'cationic polymers', 'cytotoxicity']",Cationic Carbon Monoxide-Releasing Polymers as Antimicrobial and Antibiofilm Agents by the Synergetic Activity.,"Recent studies indicate that carbon monoxide-releasing molecules (CORMs), a class of organometallic compounds, exert antibacterial activities through the delivery of carbon monoxide (CO) molecules. We developed a new-class CO-delivery system by conjugating classical low-molecular-weight CORMs (i.e., [Ru(CO)(3)Cl(2)](2) and Mn(CO)(5)Br) onto a positively charged carrier, polyimidazolium (PIM), giving cationic CO-releasing polymers Ru@PIM and Mn@PIM, respectively. Compared with low-molecular-weight CORMs, our polymeric CO vehicles showed improved water solubility, reduced cytotoxicity, significantly extended CO-releasing duration, and enhanced antimicrobial ability against both planktonic and biofilm microorganisms. Ru@PIM and Mn@PIM inhibited the growth of a broad spectrum of free Gram-positive and Gram-negative bacteria as well as fungus with the lowest minimum inhibitory concentration (MIC) at 8 μg/mL. They were effective in preventing pathogenic Pseudomonas aeruginosa biofilm formation with biofilm reduction by more than 92% at 16 μg/mL and 99% at 32 μg/mL. They also demonstrated potent dispersal efficacy on recalcitrant well-established biofilms through a synergetic activity with a biofilm log(10) reduction of 2.5-3.2 ≥ 64 μg/mL and nearly 2.0 at the concentration of as low as 16 μg/mL. This CO-releasing system may retain long-time antimicrobial ability after the complete release of CO molecules owing to the cationic structure. The novel CO-releasing polymers have great potential as antimicrobial and antibiofilm agents in biomedical applications."
2023 May 17,Antimicrobial agents and chemotherapy,Antimicrob Agents Chemother. 2023 May 17;67(5):e0035523. doi: ,"['Yong, Melvin', 'Kok, Zhi Y', 'Koh, Chong H', 'Zhong, Wenbin', 'Ng, Justin Ty', 'Mu, Yuguang', 'Chan-Park, Mary B', 'Gan, Yunn-Hwen']","['animals', 'dna, bacterial', 'membrane potentials', ' antimicrobial cationic peptides pharmacology', 'anti-bacterial agents pharmacology', ' anti-infective agents', 'bacteria', 'microbial sensitivity tests', 'mammals', 'dna damage', 'cationic', 'enteric bacteria', 'experimental therapeutics', 'imidazolium', 'membrane potential']",Membrane Potential-Dependent Uptake of Cationic Oligoimidazolium Mediates Bacterial DNA Damage and Death.,"The treatment of bacterial infections is becoming increasingly challenging with the emergence of antimicrobial resistance. Thus, the development of antimicrobials with novel mechanisms of action is much needed. Previously, we designed several cationic main-chain imidazolium compounds and identified the polyimidazolium PIM1 as a potent antibacterial against a wide panel of multidrug-resistant nosocomial pathogens, and it had relatively low toxicity against mammalian epithelial cells. However, little is known about the mechanism of action of PIM1. Using an oligomeric version of PIM1 with precisely six repeating units (OIM1-6) to control for consistency, we showed that OIM1-6 relies on an intact membrane potential for entry into the bacterial cytoplasm, as resistant mutants to OIM1-6 have mutations in their electron transport chains. These mutants demonstrate reduced uptake of the compound, which can be circumvented through the addition of a sub-MIC dose of colistin. Once taken up intracellularly, OIM1-6 exerts double-stranded DNA breaks. Its potency and ability to kill represents a promising class of drugs that can be combined with membrane-penetrating drugs to potentiate activity and hedge against the rise of resistant mutants. In summary, we discovered that cationic antimicrobial OIM1-6 exhibits an antimicrobial property that is dissimilar to the conventional cationic antimicrobial compounds. Its killing mechanism does not involve membrane disruption but instead depends on the membrane potential for uptake into bacterial cells so that it can exert its antibacterial effect intracellularly."
2023 Apr 26,Chemical science,Chem Sci. 2023 Apr 5;14(16):4434. doi: 10.1039/d3sc90061d. eCollection 2023 Apr ,"['Si, Zhangyong', 'Zhong, Wenbin', 'Prananty, Dicky', 'Li, Jianghua', 'Koh, Chong Hui', 'Kang, En-Tang', 'Pethe, Kevin', 'Chan-Park, Mary B']",[],Correction: Polymers as advanced antibacterial and antibiofilm agents for direct and combination therapies.,[This corrects the article DOI: 10.1039/D1SC05835E.].
2023 Feb 27,JACS Au,JACS Au. 2023 Jan 31;3(2):276-292. doi: 10.1021/jacsau.2c00532. eCollection 2023 ,"['Si, Zhangyong', 'Pethe, Kevin', 'Chan-Park, Mary B']",[],Chemical Basis of Combination Therapy to Combat Antibiotic Resistance.,"The antimicrobial resistance crisis is a global health issue requiring discovery and development of novel therapeutics. However, conventional screening of natural products or synthetic chemical libraries is uncertain. Combination therapy using approved antibiotics with inhibitors targeting innate resistance mechanisms provides an alternative strategy to develop potent therapeutics. This review discusses the chemical structures of effective β-lactamase inhibitors, outer membrane permeabilizers, and efflux pump inhibitors that act as adjuvant molecules of classical antibiotics. Rational design of the chemical structures of adjuvants will provide methods to impart or restore efficacy to classical antibiotics for inherently antibiotic-resistant bacteria. As many bacteria have multiple resistance pathways, adjuvant molecules simultaneously targeting multiple pathways are promising approaches to combat multidrug-resistant bacterial infections."
2023 Mar,Biomaterials,Biomaterials. 2023 Mar;294:122004. doi: 10.1016/j.biomaterials.2023.122004. Epub ,"['Si, Zhangyong', 'Li, Jianguo', 'Ruan, Lin', 'Reghu, Sheethal', 'Ooi, Ying Jie', 'Li, Peng', 'Zhu, Yabin', 'Hammond, Paula T', 'Verma, Chandra S', 'Bazan, Guillermo C', 'Pethe, Kevin', 'Chan-Park, Mary B']","['animals', 'mice', ' peptides', ' anti-infective agents', 'gram-negative bacteria metabolism', 'lipopolysaccharides', 'biofilms', 'anti-bacterial agents pharmacology', 'microbial sensitivity tests', 'mammals metabolism', 'antimicrobial peptides', 'beta-peptide', 'biofilm', 'gram-selective', 'lipopolysaccharide', 'persisters']",Designer co-beta-peptide copolymer selectively targets resistant and biofilm Gram-negative bacteria.,"New antimicrobials are urgently needed to combat Gram-negative bacteria, particularly multi-drug resistant (MDR) and phenotypically resistant biofilm species. At present, only sequence-defined alpha-peptides (e.g. polymyxin B) can selectively target Gram-negative bacterial lipopolysaccharides. We show that a copolymer, without a defined sequence, shows good potency against MDR Gram-negative bacteria including its biofilm form. The tapered blocky co-beta-peptide with controlled N-terminal hydrophobicity (#4) has strong interaction with the Gram-negative bacterial lipopolysaccharides via its backbone through electrostatic and hydrogen bonding interactions but not the Gram-positive bacterial and mammalian cell membranes so that this copolymer is non-toxic to these two latter cell types. The new #4 co-beta-peptide selectively kills Gram-negative bacteria with low cytotoxicity both in vitro and in a mouse biofilm wound infection model. This strategy provides a new concept for the design of Gram-negative selective antimicrobial peptidomimetics against MDR and biofilm species."
2022 Oct 18,Antimicrobial agents and chemotherapy,Antimicrob Agents Chemother. 2022 Oct 18;66(10):e0059722. doi: ,"['Mon, Khin K Z', 'Si, Zhangyong', 'Chan-Park, Mary B', 'Kenney, Linda J']","['chick embryo', 'animals', 'humans', 'salmonella typhimurium', 'anti-bacterial agents pharmacology', 'gram-negative bacteria', 'gram-positive bacteria', 'biofilms', ' salmonella infections', 'chickens', ' salmonella infections, animal drug therapy prevention & control microbiology', 'cam', 'salmonella', 'antibiofilm', 'antimicrobial', 'chicken egg', 'polyimidazolium']",Polyimidazolium Protects against an Invasive Clinical Isolate of Salmonella Typhimurium.,"Frequent outbreaks of Salmonella Typhimurium infection, in both animal and human populations and with the potential for zoonotic transmission, pose a significant threat to the public health sector. The rapid emergence and spread of more invasive multidrug-resistant clinical isolates of Salmonella further highlight the need for the development of new drugs with effective broad-spectrum bactericidal activities. The synthesis and evaluation of main-chain cationic polyimidazolium 1 (PIM1) against several Gram-positive and Gram-negative bacteria have previously demonstrated the efficacy profile of PIM1. The present study focuses on the antibacterial and anti-biofilm activities of PIM1 against Salmonella in both in vitro and in ovo settings. In vitro, PIM1 exhibited bactericidal activity against three strains of Salmonella at a low dosage of 8 μg/mL. The anti-biofilm activity of PIM1 was evident by its elimination of planktonic cells within preformed biofilms in a dose-dependent manner. During the host cell infection process, PIM1 reduces the extracellular bacterial load, which reduces adhesion and invasion to limit the establishment of infection. Once intracellular, Salmonella strains were tolerant and protected from PIM1 treatment. In a chicken egg infection model, PIM1 exhibited therapeutic activity for both Salmonella strains, using stationary-phase and exponential-phase inocula. Moreover, PIM1 showed a remarkable efficacy against the stationary-phase inocula of drug-resistant Salmonella by eliminating the bacterial burden in >50% of the infected chicken egg embryos. Collectively, our results highlight the potential for PIM1 as a replacement therapy for existing antibiotic applications on the poultry farm, given the efficiency and low toxicity profile demonstrated in our agriculturally relevant chicken embryo model."
