time,journal,doi_info,authors,key words,title,abstract
2024 Jun 26,Journal of the American Chemical Society,J Am Chem Soc. 2024 Jun 26;146(25):17393-17403. doi: 10.1021/jacs.4c05012. Epub ,"['Wei, Xin', 'Xu, Cheng', 'Cheng, Penghui', 'Hu, Yuxuan', 'Liu, Jing', 'Xu, Mengke', 'Huang, Jingsheng', 'Zhang, Yan', 'Pu, Kanyi']","[' singlet oxygen metabolism chemistry', 'humans', ' optical imaging', 'fluorescent dyes chemistry', 'animals', 'mice', 'biomarkers, tumor metabolism', 'cell line, tumor', 'neoplasms diagnostic imaging']",Leveraging Long-Distance Singlet-Oxygen Transfer for Bienzyme-Locked Afterglow Imaging of Intratumoral Granule Enzymes.,"Dual-locked activatable optical probes, leveraging the orthogonal effects of two biomarkers, hold great promise for the specific imaging of biological processes. However, their design approaches are limited to a short-distance energy or charge transfer mechanism, while the signal readout relies on fluorescence, which inevitably suffers from tissue autofluorescence. Herein, we report a long-distance singlet oxygen transfer approach to develop a bienzyme-locked activatable afterglow probe (BAAP) that emits long-lasting self-luminescence without real-time light excitation for the dynamic imaging of an intratumoral granule enzyme. Composed of an immuno-biomarker-activatable singlet oxygen ((1)O(2)) donor and a cancer-biomarker-activatable (1)O(2) acceptor, BAAP is initially nonafterglow. Only in the presence of both immune and cancer biomarkers can (1)O(2) be generated by the activated donor and subsequently diffuse toward the activated acceptor, resulting in bright near-infrared afterglow with a high signal-to-background ratio and specificity toward an intratumoral granule enzyme. Thus, BAAP allows for real-time tracking of tumor-infiltrating cytotoxic T lymphocytes, enabling the evaluation of cancer immunotherapy and the differentiation of tumor from local inflammation with superb sensitivity and specificity, which are unachievable by single-locked probes. Thus, this study not only presents the first dual-locked afterglow probe but also proposes a new design way toward dual-locked probes via reactive oxygen species transfer processes."
2024 May 3,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 May 3:e202405358. doi: 10.1002/anie.202405358.,"['Zhang, Chi', 'Huang, Jingsheng', 'Xu, Mengke', 'Yu, Jie', 'Wei, Xin', 'He, Shasha', 'Pu, Kanyi']","['eosinophil', 'immunotherapy', 'phototherapy', 'semiconducting polymer']",Eosinophil-Activating Semiconducting Polymer Nanoparticles for Cancer Photo-Immunotherapy.,"Eosinophils are important immune effector cells that affect T cell-mediated antitumor immunity. However, the low frequency and restrained activity of eosinophils restricted the outcome of cancer immunotherapies. We herein report an eosinophil-activating semiconducting polymer nanoparticle (SPNe) to improve photodynamic tumor immunogenicity, modulate eosinophil chemotaxis, and reinvigorate T-cell immunity for activated cancer photo-immunotherapy. SPNe comprises an amphiphilic semiconducting polymer and a dipeptidyl peptidase 4 (DPP4) inhibitor sitagliptin via a (1)O(2)-cleavable thioketal linker. Upon localized NIR photoirradiation, SPNe generates (1)O(2) to elicit immunogenic cell death of tumors and induce specific activation of sitagliptin. The subsequent inhibition of DPP4 increases intratumoral CCL11 levels to promote eosinophil chemotaxis and activation. SPNe-mediated photo-immunotherapy synergized with immune checkpoint blockade greatly promotes tumor infiltration and activation of both eosinophils and T cells, effectively inhibiting tumor growth and metastasis. Thus, this study presents a generic polymeric nanoplatform to modulate specific immune cells for precision cancer immunotherapy."
2024 May 8,Journal of the American Chemical Society,J Am Chem Soc. 2024 May 8;146(18):12656-12663. doi: 10.1021/jacs.4c02070. Epub ,"['Hu, Yuxuan', 'Yu, Jie', 'Xu, Mengke', 'Pu, Kanyi']","[' mast cells', ' fluorescent dyes chemistry chemical synthesis', 'animals', 'mice', ' optical imaging', 'tryptases metabolism', 'humans', 'chymases metabolism', 'neoplasms diagnostic imaging', 'cell line, tumor']",Bienzyme-Locked Activatable Fluorescent Probes for Specific Imaging of Tumor-Associated Mast Cells.,"Tumor-associated mast cells (TAMCs) have been recently revealed to play a multifaceted role in the tumor microenvironment. Noninvasive optical imaging of TAMCs is thus highly desired to gain insights into their functions in cancer immunotherapy. However, due to the lack of a single enzyme that is specific to mast cells, a common probe design approach based on single-enzyme activation is not applicable. Herein, we reported a bienzyme-locked molecular probe (THC(MC)) based on a photoinduced electron transfer-intramolecular charge-transfer hybrid strategy for in vivo imaging of TAMCs. The bienzyme-locked activation mechanism ensures that THC(MC) exclusively turns on near-infrared (NIR) fluorescence only in the presence of both tryptase and chymase specifically coexpressed by mast cells. Thus, THC(MC) effectively distinguishes mast cells from other leukocytes, including T cells, neutrophils, and macrophages, a capability lacking in single-locked probes. Such a high specificity of THC(MC) allows noninvasive tracking of the fluctuation of TAMCs in the tumor of living mice during cancer immunotherapy. The results reveal that the decreased intratumoral signal of THC(MC) after combination immunotherapy correlates well with the reduced population of TAMCs, accurately predicting the inhibition of tumor growth. Thus, this study not only presents the first NIR fluorescent probe specific for TAMCs but also proposes a generic bienzyme-locked probe design approach for in vivo cell imaging."
2024 May 21,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 May 21;63(21):e202319780. doi: ,"['Huang, Jingsheng', 'Xu, Mengke', 'Cheng, Penghui', 'Yu, Jie', 'Wu, Jiayan', 'Pu, Kanyi']","[' tumor-associated macrophages', 'animals', 'mice', 'optical imaging', 'humans', 'luminescent agents chemistry', 'luminescent measurements', 'chemiluminescent probe', 'in vivo imaging', 'macrophage detection']",A Tandem-Locked Chemiluminescent Probe for Imaging of Tumor-Associated Macrophage Polarization.,"Tumor-associated macrophages (TAMs) play a role in both pro- and anti-tumor functions; and the targeted polarization from M2 to M1 TAMs has become an effective therapy option. Although detection of M1 TAMs is imperative to assess cancer immunotherapeutic efficacy, existing optical probes suffer from shallow tissue penetration depth and poor specificity toward M1 TAMs. Herein, we report a tandem-locked NIR chemiluminescent (CL) probe for specific detection of M1 TAMs. Through a combined molecular engineering approach via both atomic alternation and introduction of electron-withdrawing groups, near-infrared (NIR) chemiluminophores are screened out to possess record-long emission (over 800 nm), record-high CL quantum yield (2.7 % einstein/mol), and prolonged half-life (7.7 h). Based on an ideal chemiluminophore, the tandem-locked probe (DPD(GN)) is developed to only activate CL signal in the presence of both tumour (γ-glutamyl transpeptidase) and M1 macrophage biomarkers (nitric oxide). Such a tandem-lock design ensures its high specificity towards M1 macrophages in the tumor microenvironment over those in normal tissues or peripheral blood. Thus, DPD(GN) permits noninvasive imaging and tracking of M1 TAM in the tumor of living mice during R837 treatment, showing a good correlation with ex vivo methods. This study not only reports a new molecular approach towards highly efficient chemiluminophores but also reveals the first tandem-locked CL probes for enhanced imaging specificity."
2024 Jun,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Jun;36(25):e2314084. doi: 10.1002/adma.202314084. Epub 2024 Mar ,"['Xu, Cheng', 'Xu, Mengke', 'Hu, Yuxuan', 'Liu, Jing', 'Cheng, Penghui', 'Zeng, Ziling', 'Pu, Kanyi']","[' biomarkers, tumor urine', 'animals', 'mice', 'humans', 'gastrointestinal neoplasms diagnosis urine', 'urinalysis methods', 'cell line, tumor', 'early detection of cancer methods', 'fluorescent dyes chemistry', 'administration, oral', 'bioorthogonal reaction', 'cancer detection', 'in vitro diagnosis', 'ingestible probe', 'urinalysis']",Ingestible Artificial Urinary Biomarker Probes for Urine Test of Gastrointestinal Cancer.,"Although colorectal cancer diagnosed at an early stage shows high curability, methods simultaneously possessing point-of-care testing ability and high sensitivity are limited. Here, an orally deliverable biomarker-activatable probe (termed as HATS) for early detection of orthotopic tumors via remote urinalysis is presented. To enable its oral delivery to the colon, HATS is designed to have remarkable resistance to acidity and digestive enzymes in the stomach and small intestine and negligible intestinal absorption. Upon reaction with a cancer biomarker in the colon segment, HATS releases a small fragment of tetrazine that can transverse the intestinal barrier, enter blood circulation, and ultimately undergo renal clearance to urine. Subsequently, the urinary tetrazine fragment is detected by bioorthogonal reaction with trans-cyclooctene-caged resorufin (TCO-Reso) to afford a rapid and specific fluorescence enhancement of TCO-Reso. Such signal readout is correlated with the urinary tetrazine concentration and thus measures the level of cancer biomarkers in the colon. HATS-based optical urinalysis detects orthotopic colon tumors two weeks earlier than clinical serological tests and can be developed to a point-of-care paper test. Thereby, HATS-based urinalysis provides a non-invasive and sensitive approach to cancer screening at low-resource settings."
2024 Jun,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Jun;36(25):e2400762. doi: 10.1002/adma.202400762. Epub 2024 Mar ,"['Wu, Jiayan', 'Huang, Jingsheng', 'Yu, Jie', 'Xu, Mengke', 'Liu, Jing', 'Pu, Kanyi']","[' exosomes metabolism chemistry', ' immunotherapy', 'animals', 'mice', 'cell line, tumor', 'humans', ' lung neoplasms therapy pathology drug therapy', 'ultrasonic therapy methods', 'polymers chemistry', 'polyethylene glycols chemistry', 'neoplasms therapy', 'cancer therapy', 'exosome inhibition', 'semiconducting polymer nanoparticles', 'sonodynamic immunotherapy']",Exosome-Inhibiting Polymeric Sonosensitizer for Tumor-Specific Sonodynamic Immunotherapy.,"Combination cancer immunotherapy based on electromagnetic energy and immunotherapy shows potent anti-cancer efficacy. However, as a factor that mediates tumor metastasis and immune suppression, the impact of tumor exosomes on therapy under electromagnetic energy stimulation remains unclear. Herein, findings indicate that sonodynamic therapy (SDT) increases serum exosome levels by inducing apoptotic exosomes and loosening the tumor extracellular matrix, promoting lung metastasis. To address this problem, an exosome-inhibiting polymeric sonosensitizer (EIPS) selectively inhibiting tumor exosome generation in response to the tumor biomarker is synthesized. EIPS consists of a semiconducting polymer backbone capable of inducing SDT and a poly(ethylene glycol) layer conjugated with a tumor-specific enzyme-responsive exosome inhibitor prodrug. After being cleaved by tumor Cathepsin B, EIPS releases active exosome inhibitors, preventing tumor exosome-mediated immune suppression and lung metastasis. As a result, EIPS elicits robust antitumor effects through the synergistic effect of SDT and tumor exosome inhibition, completely preventing lung metastasis and establishing a long-term immune memory effect. This is the first example showing that combining SDT with tumor-specific exosome inhibition can elicit a potent immune response without the help of typical immune agonists."
2024 Mar 5,ACS nano,ACS Nano. 2024 Mar 5;18(9):7123-7135. doi: 10.1021/acsnano.3c11496. Epub 2024 Feb ,"['Xu, Ting', 'Ning, Xiaogang', 'Wu, Jiayan', 'Wang, Qian', 'Wang, Zhifei', 'Chen, Zhiqing', 'Tang, Xiaoxian', 'Bai, Peirong', 'Pu, Kanyi', 'Li, Liping', 'Zhang, Ruiping']","['humans', 'reactive oxygen species metabolism', ' inflammatory bowel diseases drug therapy', 'inflammation metabolism', 'hydrogels pharmacology', 'iron', 'gallium', 'inflammatory bowel disease', 'melanin', 'metabolic regulation', 'systemic strategy']",Metabolic Nanoregulator Remodels Gut Microenvironment for Treatment of Inflammatory Bowel Disease.,"Inflammatory bowel disease (IBD) is strongly related to the occurrence of accumulation of toxic reactive oxygen species (ROS), inflammation of the mucosa, and an imbalance of intestinal microbes. However, current treatments largely focus on a single factor, yielding unsatisfactory clinical outcomes. Herein, we report a biocompatible and IBD-targeted metabolic nanoregulator (TMNR) that synergistically regulates cellular and bacterial metabolism. The TMNR comprises a melanin-gallium complex (MNR) encapsulated within a thermosensitive and colitis-targeting hydrogel, all composed of natural and FDA-approved components. The TMNR confers superior broad-spectrum antioxidant properties, effectively scavenging reactive oxygen species (ROS) and blocking inflammatory signaling pathways. The presence of Ga(3+) in TMNR selectively disrupts iron metabolism in pathogenic microorganisms due to its structural resemblance to the iron atom. Additionally, incorporating a thermosensitive injectable hydrogel enables targeted delivery of TMNR to inflammatory regions, prolonging their retention time and providing a physical barrier function for optimizing IBD treatment efficacy. Collectively, TMNR effectively modulates the redox balance of inflamed colonic epithelial tissue and disrupts iron metabolism in pathogenic microorganisms, thereby eliminating inflammation and restoring intestinal homeostasis against IBD. Hence, this work presents a comprehensive approach for precise spatiotemporal regulation of the intestinal microenvironmental metabolism for IBD treatment."
2024 Mar,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Mar;36(11):e2310605. doi: 10.1002/adma.202310605. Epub 2023 Dec ,"['Liu, Jing', 'Huang, Jingsheng', 'Wei, Xin', 'Cheng, Penghui', 'Pu, Kanyi']","['humans', 'mice', 'animals', 'luminescence', 'calpain adverse effects', ' peripheral nervous system diseases chemically induced diagnostic imaging', 'paclitaxel', ' antineoplastic agents adverse effects', 'optical imaging', 'activatable molecular probes', 'chemiluminescence imaging', 'drug toxicity', 'neuron imaging']",Near-Infrared Chemiluminescence Imaging of Chemotherapy-Induced Peripheral Neuropathy.,Chemotherapy-induced peripheral neuropathy (
2024 Jan 22,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 Jan 22;63(4):e202313117. doi: ,"['Yang, Li', 'Zhao, Min', 'Chen, Wan', 'Zhu, Jieli', 'Xu, Weina', 'Li, Qing', 'Pu, Kanyi', 'Miao, Qingqing']","['humans', ' nanoparticles chemistry', ' neoplasms', 'diagnostic imaging', 'photosensitizing agents chemistry', 'luminescence', 'activatable probe', 'afterglow luminescence', 'near-infrared', 'sensitivity', 'signal-to-background ratio (sbr)']",A Highly Bright Near-Infrared Afterglow Luminophore for Activatable Ultrasensitive In Vivo Imaging.,"Afterglow luminescence imaging probes, with long-lived emission after cessation of light excitation, have drawn increasing attention in biomedical imaging field owing to their elimination of autofluorescence. However, current afterglow agents always suffer from an unsatisfactory signal intensity and complex systems consisting of multiple ingredients. To address these issues, this study reports a near-infrared (NIR) afterglow luminophore (TPP-DO) by chemical conjugation of an afterglow substrate and a photosensitizer acting as both an afterglow initiator and an energy relay unit into a single molecule, resulting in an intramolecular energy transfer process to improve the afterglow brightness. The constructed TPP-DO NPs emit a strong NIR afterglow luminescence with a signal intensity of up to 10(8) p/s/cm(2) /sr at a low concentration of 10 μM and a low irradiation power density of 0.05 W/cm(2) , which is almost two orders of magnitude higher than most existing organic afterglow probes. The highly bright NIR afterglow luminescence with minimized background from TPP-DO NPs allows a deep tissue penetration depth ability. Moreover, we develop a GSH-activatable afterglow probe (Q-TPP-DO NPs) for ultrasensitive detection of subcutaneous tumor with the smallest tumor volume of 0.048 mm(3) , demonstrating the high potential for early diagnosis and imaging-guided surgical resection of tumors."
2024 Feb 5,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 Feb 5;63(6):e202314468. doi: 10.1002/anie.202314468. ,"['Ran, Chongzhao', 'Pu, Kanyi']","[' photochemotherapy methods', 'molecular imaging', 'molecular light', 'molecular light imaging', 'photobiomodulation', 'phototherapy']",Molecularly generated light and its biomedical applications.,"Molecularly generated light, referred to here as ""molecular light"", mainly includes bioluminescence, chemiluminescence, and Cerenkov luminescence. Molecular light possesses unique dual features of being both a molecule and a source of light. Its molecular nature enables it to be delivered as molecules to regions deep within the body, overcoming the limitations of natural sunlight and physically generated light sources like lasers and LEDs. Simultaneously, its light properties make it valuable for applications such as imaging, photodynamic therapy, photo-oxidative therapy, and photobiomodulation. In this review article, we provide an updated overview of the diverse applications of molecular light and discuss the strengths and weaknesses of molecular light across various domains. Lastly, we present forward-looking perspectives on the potential of molecular light in the realms of molecular imaging, photobiological mechanisms, therapeutic applications, and photobiomodulation. While some of these perspectives may be considered bold and contentious, our intent is to inspire further innovations in the field of molecular light applications."
