time,journal,doi_info,authors,key words,title,abstract
2024 Jun 19,Nature communications,Nat Commun. 2024 Jun 19;15(1):5156. doi: 10.1038/s41467-024-49014-5.,"['Tan, Bingyao', 'Li, Huakun', 'Zhuo, Yueming', 'Han, Le', 'Mupparapu, Rajeshkumar', 'Nanni, Davide', 'Barathi, Veluchamy Amutha', 'Palanker, Daniel', 'Schmetterer, Leopold', 'Ling, Tong']","[' tomography, optical coherence methods', 'animals', ' retinal pigment epithelium diagnostic imaging metabolism', ' retinal rod photoreceptor cells physiology', 'retina diagnostic imaging physiology', 'light', 'photic stimulation', 'algorithms', 'male']","Light-evoked deformations in rod photoreceptors, pigment epithelium and subretinal space revealed by prolonged and multilayered optoretinography.","Phototransduction involves changes in concentration of ions and other solutes within photoreceptors and in subretinal space, which affect osmotic pressure and the associated water flow. Corresponding expansion and contraction of cellular layers can be imaged using optoretinography (ORG), based on phase-resolved optical coherence tomography (OCT). Until now, ORG could reliably detect only photoisomerization and phototransduction in photoreceptors, primarily in cones under bright stimuli. Here, by employing a phase-restoring subpixel motion correction algorithm, which enables imaging of the nanometer-scale tissue dynamics during minute-long recordings, and unsupervised learning of spatiotemporal patterns, we discover optical signatures of the other retinal structures' response to visual stimuli. These include inner and outer segments of rod photoreceptors, retinal pigment epithelium, and subretinal space in general. The high sensitivity of our technique enables detection of the retinal responses to dim stimuli: down to 0.01% bleach level, corresponding to natural levels of scotopic illumination. We also demonstrate that with a single flash, the optoretinogram can map retinal responses across a 12° field of view, potentially replacing multifocal electroretinography. This technique expands the diagnostic capabilities and practical applicability of optoretinography, providing an alternative to electroretinography, while combining structural and functional retinal imaging in the same OCT machine."
2024 Jun 15,Graefe's archive for clinical and experimental ophthalmology = Albrecht von ,Graefes Arch Clin Exp Ophthalmol. 2024 Jun 15. doi: 10.1007/s00417-024-06552-4.,"['Pemp, Berthold', 'Palkovits, Stefan', 'Sacu, Stefan', 'Schmidl, Doreen', 'Garhöfer, Gerhard', 'Schmetterer, Leopold', 'Schmidt-Erfurth, Ursula']","['diabetes mellitus', 'diabetic retinopathy', 'dynamic vessel analysis', 'neurovascular coupling', 'optical coherence tomography', 'retinal neurodegeneration']",Associations of retinal neurovascular dysfunction with inner retinal layer thickness in non-proliferative diabetic retinopathy.,"PURPOSE: Neurovascular coupling impairment and inner retinal layer thinning are early detectable retinal changes in diabetes, and both worsen during progression of diabetic retinopathy (DR). However, direct interactions between these features have not been investigated so far. Therefore, we aimed to analyze associations between the retinal functional hyperemic response to light stimulation and the thickness of individual neuroretinal layers in eyes with early non-proliferative DR. METHODS: Thirty patients with type 1 diabetes featuring mild (n = 15) or moderate (n = 15) non-proliferative DR and 14 healthy subjects were included in this cross-sectional study. Retinal vessel diameters were measured before and during illumination with flickering light using a dynamic vessel analyzer. Individual layer thickness in the macula was analyzed from spectral domain optical coherence tomography. RESULTS: Flicker light-induced vessel dilation was significantly reduced in patients compared to healthy controls (veins: 3.0% vs. 6.1%, p < 0.001; arteries: 1.3% vs. 5.1%, p = 0.005). Univariately, the response in retinal veins of diabetes patients correlated significantly with ganglion cell layer (GCL) thickness (r = 0.46, p = 0.010), and negatively with hemoglobin A1c (HbA1c) levels (r=-0.41, p = 0.023) and age (r=-0.38, p = 0.037), but not with baseline diameters, glucose levels, or diabetes duration. In a multiple regression model only GCL thickness (p = 0.017, β = 0.42) and HbA1c (p = 0.045, β=-0.35) remained significantly associated with the vascular flicker light response. CONCLUSION: The results indicate that thinner GCL and worse glycemic control both contribute to reduced retinal neurovascular coupling in patients with clinical signs of DR. Progression of neurovascular dysfunction in DR might be related to structural degeneration of the neurovascular complex in the inner retina."
2024 Jun 3,"Eye and vision (London, England)",Eye Vis (Lond). 2024 Jun 3;11(1):21. doi: 10.1186/s40662-024-00385-2.,"['Lim, Zhi Wei', 'Li, Jonathan', 'Wong, Damon', 'Chung, Joey', 'Toh, Angeline', 'Lee, Jia Ling', 'Lam, Crystal', 'Balakrishnan, Maithily', 'Chia, Audrey', 'Chua, Jacqueline', 'Girard, Michael', 'Hoang, Quan V', 'Chong, Rachel', 'Wong, Chee Wai', 'Saw, Seang Mei', 'Schmetterer, Leopold', 'Brennan, Noel', 'Ang, Marcus']","['automated segmentation', 'choroidal thickness', 'manual segmentation', 'myopia', 'optical coherence tomography']",Comparison of manual and artificial intelligence-automated choroidal thickness segmentation of optical coherence tomography imaging in myopic adults.,"BACKGROUND: Myopia affects 1.4 billion individuals worldwide. Notably, there is increasing evidence that choroidal thickness plays an important role in myopia and risk of developing myopia-related conditions. With the advancements in artificial intelligence (AI), choroidal thickness segmentation can now be automated, offering inherent advantages such as better repeatability, reduced grader variability, and less reliance for manpower. Hence, we aimed to evaluate the agreement between AI-automated and manual segmented measurements of subfoveal choroidal thickness (SFCT) using two swept-source optical coherence tomography (OCT) systems. METHODS: Subjects aged ≥ 16 years, with myopia of ≥ 0.50 diopters in both eyes, were recruited from the Prospective Myopia Cohort Study in Singapore (PROMYSE). OCT scans were acquired using Triton DRI-OCT and PLEX Elite 9000. OCT images were segmented both automatically with an established SA-Net architecture and manually using a standard technique with adjudication by two independent graders. SFCT was subsequently determined based on the segmentation. The Bland-Altman plot and intraclass correlation coefficient (ICC) were used to evaluate the agreement. RESULTS: A total of 229 subjects (456 eyes) with mean [± standard deviation (SD)] age of 34.1 (10.4) years were included. The overall SFCT (mean ± SD) based on manual segmentation was 216.9 ± 82.7 µm with Triton DRI-OCT and 239.3 ± 84.3 µm with PLEX Elite 9000. ICC values demonstrated excellent agreement between AI-automated and manual segmented SFCT measurements (PLEX Elite 9000: ICC = 0.937, 95%"
2024 May 1,Translational vision science & technology,Transl Vis Sci Technol. 2024 May 1;13(5):9. doi: 10.1167/tvst.13.5.9.,"['Parakkel, Reshma Radhakrishnan', 'Wong, Damon', 'Li, Chi', 'Cheong, Jocelyn', 'Nongpiur, Monisha Esther', 'Chong, Rachel Shujuan', 'Aung, Tin', 'Schmetterer, Leopold', 'Liu, Xinyu', 'Chua, Jacqueline']","['humans', ' tomography, optical coherence methods', 'cross-sectional studies', 'male', 'female', 'middle aged', ' nerve fibers pathology', 'pilot projects', ' visual fields physiology', ' glaucoma physiopathology diagnostic imaging', 'aged', ' retinal ganglion cells pathology', 'roc curve', 'visual field tests methods', 'adult', 'intraocular pressure physiology']",Retinal Nerve Fiber Layer Damage Assessment in Glaucomatous Eyes Using Retinal Retardance Measured by Polarization-Sensitive Optical Coherence Tomography.,"PURPOSE: To assess the diagnostic performance and structure-function association of retinal retardance (RR), a customized metric measured by a prototype polarization-sensitive optical coherence tomography (PS-OCT), across various stages of glaucoma. METHODS: This cross-sectional pilot study analyzed 170 eyes from 49 healthy individuals and 68 patients with glaucoma. The patients underwent PS-OCT imaging and conventional spectral-domain optical coherence tomography (SD-OCT), as well as visual field (VF) tests. Parameters including RR and retinal nerve fiber layer thickness (RNFLT) were extracted from identical circumpapillary regions of the fundus. Glaucomatous eyes were categorized into early, moderate, or severe stages based on VF mean deviation (MD). The diagnostic performance of RR and RNFLT in discriminating glaucoma from controls was assessed using receiver operating characteristic (ROC) curves. Correlations among VF-MD, RR, and RNFLT were evaluated and compared within different groups of disease severity. RESULTS: The diagnostic performance of both RR and RNFLT was comparable for glaucoma detection (RR AUC = 0.98, RNFLT AUC = 0.97; P = 0.553). RR showed better structure-function association with VF-MD than RNFLT (RR VF-MD = 0.68, RNFLT VF-MD = 0.58; z = 1.99; P = 0.047) in glaucoma cases, especially in severe glaucoma, where the correlation between VF-MD and RR (r = 0.73) was significantly stronger than with RNFLT (r = 0.43, z = 1.96, P = 0.050). In eyes with early and moderate glaucoma, the structure-function association was similar when using RNFLT and RR. CONCLUSIONS: RR and RNFLT have similar performance in glaucoma diagnosis. However, in patients with glaucoma especially severe glaucoma, RR showed a stronger correlation with VF test results. Further research is needed to validate RR as an indicator for severe glaucoma evaluation and to explore the benefits of using PS-OCT in clinical practice. TRANSLATIONAL RELEVANCE: We demonstrated that PS-OCT has the potential to evaluate the status of RNFL structural damage in eyes with severe glaucoma, which is currently challenging in clinics."
2024 May 7,The British journal of ophthalmology,Br J Ophthalmol. 2024 May 7:bjo-2023-324792. doi: 10.1136/bjo-2023-324792.,"['Chua, Jacqueline', 'Li, Chi', 'Chong, Rachel', 'Wong, Tina T', 'Husain, Rahat', 'Aung, Tin', 'Schmetterer, Leopold', 'Wong, Damon Wing Kee']","['glaucoma', 'imaging', 'retina']",Enhancing the structure-function relationship in glaucoma using anatomical compensation of retinal nerve fibre layer.,"BACKGROUND/AIMS: To investigate whether compensating retinal nerve fibre layer (RNFL) thickness measurements for demographic and anatomical ocular factors can strengthen the structure-function relationship in patients with glaucoma. METHODS: 600 eyes from 412 patients with glaucoma (mean deviation of the visual field (MD VF) -6.53±5.55 dB) were included in this cross-sectional study. Participants underwent standard automated perimetry and spectral-domain optical coherence tomography imaging (Cirrus; Carl Zeiss Meditec). Compensated RNFL thickness was computed considering age, refractive error, optic disc parameters and retinal vessel density. The relationship between MD VF and RNFL thickness measurements, with or without demographic and anatomical compensation, was evaluated sectorally and focally. RESULTS: The superior arcuate sector exhibited the highest correlation between measured RNFL and MD VF, with a correlation of 0.49 (95%"
2024 Jun,Ophthalmology and therapy,Ophthalmol Ther. 2024 Jun;13(6):1453-1477. doi: 10.1007/s40123-024-00951-w. Epub ,"['Eppenberger, Leila Sara', 'Grzybowski, Andrzej', 'Schmetterer, Leopold', 'Ang, Marcus']","['cost', 'effect', 'intervention', 'myopia control', 'myopia management', 'rcts', 'safety']",Myopia Control: Are We Ready for an Evidence Based Approach?,"INTRODUCTION: Myopia and its vision-threatening complications present a significant public health problem. This review aims to provide an updated overview of the multitude of known and emerging interventions to control myopia, including their potential effect, safety, and costs. METHODS: A systematic literature search of three databases was conducted. Interventions were grouped into four categories: environmental/behavioral (outdoor time, near work), pharmacological (e.g., atropine), optical interventions (spectacles and contact lenses), and novel approaches such as red-light (RLRL) therapies. Review articles and original articles on randomized controlled trials (RCT) were selected. RESULTS: From the initial 3224 retrieved records, 18 reviews and 41 original articles reporting results from RCTs were included. While there is more evidence supporting the efficacy of low-dose atropine and certain myopia-controlling contact lenses in slowing myopia progression, the evidence about the efficacy of the newer interventions, such as spectacle lenses (e.g., defocus incorporated multiple segments and highly aspheric lenslets) is more limited. Behavioral interventions, i.e., increased outdoor time, seem effective for preventing the onset of myopia if implemented successfully in schools and homes. While environmental interventions and spectacles are regarded as generally safe, pharmacological interventions, contact lenses, and RLRL may be associated with adverse effects. All interventions, except for behavioral change, are tied to moderate to high expenditures. CONCLUSION: Our review suggests that myopia control interventions are recommended and prescribed on the basis of accessibility and clinical practice patterns, which vary widely around the world. Clinical trials indicate short- to medium-term efficacy in reducing myopia progression for various interventions, but none have demonstrated long-term effectiveness in preventing high myopia and potential complications in adulthood. There is an unmet need for a unified consensus for strategies that balance risk and effectiveness for these methods for personalized myopia management."
2024 May 4,NPJ digital medicine,NPJ Digit Med. 2024 May 4;7(1):115. doi: 10.1038/s41746-024-01119-3.,"['Bellemo, Valentina', 'Kumar Das, Ankit', 'Sreng, Syna', 'Chua, Jacqueline', 'Wong, Damon', 'Shah, Janika', 'Jonas, Rahul', 'Tan, Bingyao', 'Liu, Xinyu', 'Xu, Xinxing', 'Tan, Gavin Siew Wei', 'Agrawal, Rupesh', 'Ting, Daniel Shu Wei', 'Yong, Liu', 'Schmetterer, Leopold']",[],Optical coherence tomography choroidal enhancement using generative deep learning.,"Spectral-domain optical coherence tomography (SDOCT) is the gold standard of imaging the eye in clinics. Penetration depth with such devices is, however, limited and visualization of the choroid, which is essential for diagnosing chorioretinal disease, remains limited. Whereas swept-source OCT (SSOCT) devices allow for visualization of the choroid these instruments are expensive and availability in praxis is limited. We present an artificial intelligence (AI)-based solution to enhance the visualization of the choroid in OCT scans and allow for quantitative measurements of choroidal metrics using generative deep learning (DL). Synthetically enhanced SDOCT B-scans with improved choroidal visibility were generated, leveraging matching images to learn deep anatomical features during the training. Using a single-center tertiary eye care institution cohort comprising a total of 362 SDOCT-SSOCT paired subjects, we trained our model with 150,784 images from 410 healthy, 192 glaucoma, and 133 diabetic retinopathy eyes. An independent external test dataset of 37,376 images from 146 eyes was deployed to assess the authenticity and quality of the synthetically enhanced SDOCT images. Experts' ability to differentiate real versus synthetic images was poor (47.5% accuracy). Measurements of choroidal thickness, area, volume, and vascularity index, from the reference SSOCT and synthetically enhanced SDOCT, showed high Pearson's correlations of 0.97 [95%"
2024 Apr 16,Scientific reports,Sci Rep. 2024 Apr 16;14(1):8724. doi: 10.1038/s41598-024-54619-3.,"['Tan, Ting Fang', 'Yap, Chun Lin', 'Peterson, Claire L', 'Wong, Damon', 'Wong, Tien Yin', 'Cheung, Chui Ming Gemmy', 'Schmetterer, Leopold', 'Tan, Anna Cheng Sim']","['humans', 'cross-sectional studies', 'prospective studies', ' macular degeneration diagnostic imaging', 'tomography, optical coherence', 'fluorescein angiography', 'structure-activity relationship', 'age related macular degeneration', 'imaging', 'microperimetry', 'multimodal', 'visual function']",Defining the structure-function relationship of specific lesions in early and advanced age-related macular degeneration.,"The objective of this study is to define structure-function relationships of pathological lesions related to age-related macular degeneration (AMD) using microperimetry and multimodal retinal imaging. We conducted a cross-sectional study of 87 patients with AMD (30 eyes with early and intermediate AMD and 110 eyes with advanced AMD), compared to 33 normal controls (66 eyes) recruited from a single tertiary center. All participants had enface and cross-sectional optical coherence tomography (Heidelberg HRA-2), OCT angiography, color and infra-red (IR) fundus and microperimetry (MP) (Nidek MP-3) performed. Multimodal images were graded for specific AMD pathological lesions. A custom marking tool was used to demarcate lesion boundaries on corresponding enface IR images, and subsequently superimposed onto MP color fundus photographs with retinal sensitivity points (RSP). The resulting overlay was used to correlate pathological structural changes to zonal functional changes. Mean age of patients with early/intermediate AMD, advanced AMD and controls were 73(SD = 8.2), 70.8(SD = 8), and 65.4(SD = 7.7) years respectively. Mean retinal sensitivity (MRS) of both early/intermediate (23.1 dB; SD = 5.5) and advanced AMD (18.1 dB; SD = 7.8) eyes were significantly worse than controls (27.8 dB, SD = 4.3) (p < 0.01). Advanced AMD eyes had significantly more unstable fixation (70%; SD = 63.6), larger mean fixation area (3.9 mm(2); SD = 3.0), and focal fixation point further away from the fovea (0.7 mm; SD = 0.8), than controls (29%; SD = 43.9; 2.6 mm(2); SD = 1.9; 0.4 mm; SD = 0.3) (p ≤ 0.01). Notably, 22 fellow eyes of AMD eyes (25.7 dB; SD = 3.0), with no AMD lesions, still had lower MRS than controls (p = 0.04). For specific AMD-related lesions, end-stage changes such as fibrosis (5.5 dB, SD = 5.4 dB) and atrophy (6.2 dB, SD = 7.0 dB) had the lowest MRS; while drusen and pigment epithelial detachment (17.7 dB, SD = 8.0 dB) had the highest MRS. Peri-lesional areas (20.2 dB, SD = 7.6 dB) and surrounding structurally normal areas (22.2 dB, SD = 6.9 dB) of the retina with no AMD lesions still had lower MRS compared to controls (27.8 dB, SD = 4.3 dB) (p < 0.01). Our detailed topographic structure-function correlation identified specific AMD pathological changes associated with a poorer visual function. This can provide an added value to the assessment of visual function to optimize treatment outcomes to existing and potentially future novel therapies."
2024 Apr 5,"Materials (Basel, Switzerland)",Materials (Basel). 2024 Apr 5;17(7):1676. doi: 10.3390/ma17071676.,"['Vasile, Victor A', 'Pirvulescu, Ruxandra A', 'Iancu, Raluca C', 'Garhöfer, Gerhard', 'Schmetterer, Leopold', 'Ghita, Aurelian M', 'Ionescu, Diana', 'Istrate, Sinziana', 'Piticescu, Roxana M', 'Cursaru, Laura M', 'Popa-Cherecheanu, Alina']","['hydroxyapatite coating', 'orbital reconstruction', 'titanium mesh']",Titanium Implants Coated with Hydroxyapatite Used in Orbital Wall Reconstruction-A Literature Review.,"With the increasing incidences of orbital wall injuries, effective reconstruction materials and techniques are imperative for optimal clinical outcomes. In this literature review, we delve into the efficacy and potential advantages of using titanium implants coated with nanostructured hydroxyapatite for the reconstruction of the orbital wall. Titanium implants, recognized for their durability and mechanical strength, when combined with the osteoconductive properties of hydroxyapatite, present a potentially synergistic solution. The purpose of this review was to critically analyze the recent literature and present the state of the art in orbital wall reconstruction using titanium implants coated with nanostructured hydroxyapatite. This review offers clinicians detailed insight into the benefits and potential drawbacks of using titanium implants coated with nanostructured hydroxyapatite for orbital wall reconstruction. The highlighted results advocate for its benefits in terms of osseointegration and provide a novel strategy for orbital reconstruction, though further studies are essential to establish long-term efficacy and address concerns."
2024 Apr 10,Scientific reports,Sci Rep. 2024 Apr 10;14(1):8395. doi: 10.1038/s41598-024-56834-4.,"['Pai, Viktoria', 'Bileck, Andrea', 'Hommer, Nikolaus', 'Janku, Patrick', 'Lindner, Theresa', 'Kauer, Victoria', 'Rumpf, Benedikt', 'Haslacher, Helmuth', 'Hagn, Gerhard', 'Meier-Menches, Samuel M', 'Schmetterer, Leopold', 'Schmidl, Doreen', 'Gerner, Christopher', 'Garhöfer, Gerhard']","['humans', ' oxygen metabolism', 'microcirculation', 'nitric oxide', 'oximetry methods', ' covid-19', 'retinal vessels', 'perfusion', 'blood proteins', 'lipids', 'covid-19', 'metabolomics', 'multi-omics analysis', 'ocular blood flow', 'sars-cov2']",Impaired retinal oxygen metabolism and perfusion are accompanied by plasma protein and lipid alterations in recovered COVID-19 patients.,"The aim of the present study was to investigate retinal microcirculatory and functional metabolic changes in patients after they had recovered from a moderate to severe acute COVID-19 infection. Retinal perfusion was quantified using laser speckle flowgraphy. Oxygen saturation and retinal calibers were assessed with a dynamic vessel analyzer. Arterio-venous ratio (AVR) was calculated based on retinal vessel diameter data. Blood plasma samples underwent mass spectrometry-based multi-omics profiling, including proteomics, metabolomics and eicosadomics. A total of 40 subjects were included in the present study, of which 29 had recovered from moderate to severe COVID-19 within 2 to 23 weeks before inclusion and 11 had never had COVID-19, as confirmed by antibody testing. Perfusion in retinal vessels was significantly lower in patients (60.6 ± 16.0 a.u.) than in control subjects (76.2 ± 12.1 a.u., p = 0.006). Arterio-venous (AV) difference in oxygen saturation and AVR was significantly lower in patients compared to healthy controls (p = 0.021 for AVR and p = 0.023 for AV difference in oxygen saturation). Molecular profiles demonstrated down-regulation of cell adhesion molecules, NOTCH3 and fatty acids, and suggested a bisphasic dysregulation of nitric oxide synthesis after COVID-19 infection. The results of this study imply that retinal perfusion and oxygen metabolism is still significantly altered in patients well beyond the acute phase of COVID-19. This is also reflected in the molecular profiling analysis of blood plasma, indicating a down-regulation of nitric oxide-related endothelial and immunological cell functions.Trial Registration: ClinicalTrials.gov ( https://clinicaltrials.gov ) NCT05650905."
