time,journal,doi_info,authors,key words,title,abstract
2024 Jan,International journal of biological macromolecules,Int J Biol Macromol. 2024 Jan;254(Pt 3):127797. doi: ,"['Lee, Hyun', 'Shin, Da Yong', 'Bang, Seo-Jun', 'Han, Ginam', 'Na, Yuhyun', 'Kang, Hyeong Seok', 'Oh, SeKwon', 'Yoon, Chang-Bun', 'Vijayavenkataraman, Sanjairaj', 'Song, Juha', 'Kim, Hyoun-Ee', 'Jung, Hyun-Do', 'Kang, Min-Ho']","[' osseointegration', ' magnesium pharmacology chemistry', 'polyesters pharmacology chemistry', 'anti-bacterial agents pharmacology', 'materials testing', 'calcium phosphates pharmacology chemistry', 'biocompatible materials pharmacology chemistry', 'antibacterial effect', 'biodegradable composite', 'magnesium (mg)', 'orthopedic implant', 'polylactic acid (pla)', 'pore generation', 'tricalcium phosphate (tcp)']",A strategy for enhancing bioactivity and osseointegration with antibacterial effect by incorporating magnesium in polylactic acid based biodegradable orthopedic implant.,"Biodegradable orthopedic implants are essential for restoring the physiological structure and function of bone tissue while ensuring complete degradation after recovery. Polylactic acid (PLA), a biodegradable polymer, is considered a promising material due to its considerable mechanical properties and biocompatibility. However, further improvements are necessary to enhance the mechanical strength and bioactivity of PLA for reliable load-bearing orthopedic applications. In this study, a multifunctional PLA-based composite was fabricated by incorporating tricalcium phosphate (TCP) microspheres and magnesium (Mg) particles homogenously at a volume fraction of 40 %. This approach aims to enhance mechanical strength, accelerate pore generation, and improve biological and antibacterial performance. Mg content was incorporated into the composite at varying values of 1, 3, and 5 vol% (referred to as PLA/TCP-1 Mg, PLA/TCP-3 Mg, and PLA/TCP-5 Mg, respectively). The compressive strength and stiffness were significantly enhanced in all composites, reaching 87.7, 85.9, and 84.1 MPa, and 2.7, 3.0, and 3.1 GPa, respectively. The degradation test indicated faster elimination of the reinforcers as the Mg content increased, resulting in accelerated pore generation to induce enhanced osseointegration. Because PLA/TCP-3 Mg and PLA/TCP-5 Mg exhibited cracks in the PLA matrix due to rapid corrosion of Mg forming corrosion byproducts, to optimize the Mg particle content, PLA/TCP-1 Mg was selected for further evaluation. As determined by in vitro biological and antibacterial testing, PLA/TCP-1 Mg showed enhanced bioactivity with pre-osteoblast cells and exhibited antibacterial properties by suppressing bacterial colonization. Overall, the multifunctional PLA/TCP-Mg composite showed improved mechanobiological performance, making it a promising material for biodegradable orthopedic implants."
2023 Dec,Acta biomaterialia,Acta Biomater. 2023 Dec;172:175-187. doi: 10.1016/j.actbio.2023.10.016. Epub 2023 ,"['Tay, Jie Hao', 'Lim, Yu Han', 'Zheng, Mengjia', 'Zhao, Yakai', 'Tan, Wen See', 'Xu, Chenjie', 'Ramamurty, Upadrasta', 'Song, Juha']","['humans', ' hyaluronic acid chemistry', 'administration, cutaneous', ' skin metabolism', 'drug delivery systems methods', 'polymers chemistry', 'needles', 'drug delivery', 'hyaluronic acid-silica nanocomposite', 'in situ precipitation', 'mechanical enhancement', 'penetration efficiency', 'fast-dissolving microneedle system (dms)']",Development of hyaluronic acid-silica composites via in situ precipitation for improved penetration efficiency in fast-dissolving microneedle systems.,"Fast-dissolving microneedles (DMNs) hold significant promise for transdermal drug delivery, offering improved patient compliance, biocompatibility, and functional adaptability for various therapeutic purposes. However, the mechanical strength of the biodegradable polymers used in DMNs often proves insufficient for effective penetration into human skin, especially under high humidity conditions. While many composite strategies have been developed to reinforce polymer-based DMNs, simple mixing of the reinforcements with polymers often results in ineffective penetration due to inhomogeneous dispersion of the reinforcements and the formation of undesired micropores. In response to this challenge, this study aimed to enhance the mechanical performance of hyaluronic acid (HA)-based microneedles (MNs), one of the most commonly used DMN systems. We introduced in situ precipitation of silica nanoparticles (Si) into the HA matrix in conjunction with conventional micromolding. The precipitated silica nanoparticles were uniformly distributed, forming an interconnected network within the HA matrix. Experimental results demonstrated that the mechanical properties of the HA-Si composite MNs with up to 20 vol% Si significantly improved, leading to higher penetration efficiency compared to pure HA MNs, while maintaining structural integrity without any critical defects. The composite MNs also showed reduced degradation rates and preserved their drug delivery capabilities and biocompatibility. Thus, the developed HA-Si composite MNs present a promising solution for efficient transdermal drug delivery and address the mechanical limitations inherent in DMN systems. STATEMENT OF SIGNIFICANCE: HA-Si composite dissolving microneedle (DMN) systems were successfully fabricated through in situ precipitation and conventional micromolding processes. The precipitated silica nanoparticles formed an interconnected network within the HA matrix, ranging in size from 25 to 230 nm. The optimal silica content for HA-Si composite MN systems should be up to 20 % by volume to maintain structural integrity and mechanical properties. HA-Si composite MNs with up to 20 % Si showed improved penetration efficiency and reduced degradation rates compared to pure HA MNs, thereby expanding the operational window. The HA-Si composite MNs retained good drug delivery capabilities and biocompatibility."
2021 May 24,International journal of molecular sciences,Int J Mol Sci. 2021 May 24;22(11):5552. doi: 10.3390/ijms22115552.,"['Singh, Satnam', 'Mishra, Sachin', 'Juha, Song', 'Pramanik, Manojit', 'Padmanabhan, Parasuraman', 'Gulyás, Balázs']","['animals', 'cell culture techniques instrumentation  methods', 'humans', 'nanotechnology instrumentation  methods', 'nerve net  metabolism ultrastructure', 'neural stem cells  metabolism ultrastructure', ' neurogenesis physiology', 'regenerative medicine', 'tissue engineering instrumentation  methods', 'nanoelectrode', 'nanopatterning', 'nanotechnology', 'neural stem cells', 'neuronal network', 'neuronal signal recording']",Nanotechnology Facilitated Cultured Neuronal Network and Its Applications.,"The development of a biomimetic neuronal network from neural cells is a big challenge for researchers. Recent advances in nanotechnology, on the other hand, have enabled unprecedented tools and techniques for guiding and directing neural stem cell proliferation and differentiation in vitro to construct an in vivo-like neuronal network. Nanotechnology allows control over neural stem cells by means of scaffolds that guide neurons to reform synaptic networks in suitable directions in 3D architecture, surface modification/nanopatterning to decide cell fate and stimulate/record signals from neurons to find out the relationships between neuronal circuit connectivity and their pathophysiological functions. Overall, nanotechnology-mediated methods facilitate precise physiochemical controls essential to develop tools appropriate for applications in neuroscience. This review emphasizes the newest applications of nanotechnology for examining central nervous system (CNS) roles and, therefore, provides an insight into how these technologies can be tested in vitro before being used in preclinical and clinical research and their potential role in regenerative medicine and tissue engineering."
2021 Apr 12,Membranes,Membranes (Basel). 2021 Apr 12;11(4):284. doi: 10.3390/membranes11040284.,"['Chuah, Chong Yang', 'Lee, Junghyun', 'Song, Juha', 'Bae, Tae-Hyun']","['activated carbon', 'carbon capture', 'carbon molecular sieve membrane', 'gas permeation test', 'graphene oxide']",Carbon Molecular Sieve Membranes Comprising Graphene Oxides and Porous Carbon for CO(2)/N(2) Separation.,"To improve the CO(2)/N(2) separation performance, mixed-matrix carbon molecular sieve membranes (mixed-matrix CMSMs) were fabricated and tested. Two carbon-based fillers, graphene oxide (GO) and activated carbon (YP-50F), were separately incorporated into two polymer precursors (Matrimid(®) 5218 and ODPA-TMPDA), and the resulting CMSMs demonstrated improved CO(2) permeability. The improvement afforded by YP-50F was more substantial due to its higher accessible surface area. Based on the gas permeation data and the Robeson plot for CO(2)/N(2) separation, the performances of the CMSMs containing 15 wt % YP-50F and 15 wt % GO in the mixed polymer matrix surpassed the 2008 Robeson upper bound of polymeric membranes. Hence, this study demonstrates the feasibility of such membranes in improving the CO(2)/N(2) separation performance through the appropriate choice of carbon-based filler materials in polymer matrices."
2020 Nov,Biomedical engineering letters,Biomed Eng Lett. 2020 Sep 29;10(4):517-532. doi: 10.1007/s13534-020-00173-6. ,"['Tan, Wen See', 'Shi, Qian', 'Chen, Shengyang', 'Bin Juhari, Muhammad Aidil', 'Song, Juha']","['calcium alginate microgels', 'freeform 3d printing', 'hydrogel-based supporting matrix', 'silicone elastomer']",Recyclable and biocompatible microgel-based supporting system for positive 3D freeform printing of silicone rubber.,"Additive manufacturing (AM) of biomaterials has evolved from a rapid prototyping tool into a viable approach for the manufacturing of patient-specific implants over the past decade. It can tailor to the unique physiological and anatomical criteria of the patient's organs or bones through precise controlling of the structure during the 3D printing. Silicone elastomers, which is a major group of materials in many biomedical implants, have low viscosities and can be printed with a special AM platform, known as freeform 3D printing systems. The freeform 3D printing systems are composed of a supporting bath and a printing material. Current supporting matrices that are either commercially purchased or synthesized were usually disposed of after retrieval of the printed part. In this work, we proposed a new and improved supporting matrix comprises of synthesized calcium alginate microgels produced via encapsulation which can be recycled, reused, and recovered for multiple prints, hence minimizing wastage and cost of materials. The dehydration tolerance of the calcium alginate microgels was improved through physical means by the addition of glycerol and chemical means by developing new calcium alginate microgels encapsulated with glycerol. The recyclability of the heated calcium alginate microgels was also enhanced by a rehydration step with sodium chloride solution and a recovery step with calcium chloride solution via the ion exchange process. We envisaged that our reusable and recyclable biocompatible calcium alginate microgels can save material costs, time, and can be applied in various freeform 3D printing systems."
2020 Nov,Biomedical engineering letters,Biomed Eng Lett. 2020 Sep 29;10(4):453-479. doi: 10.1007/s13534-020-00171-8. ,"['Chen, Shengyang', 'Tan, Wen See', 'Bin Juhari, Muhammad Aidil', 'Shi, Qian', 'Cheng, Xue Shirley', 'Chan, Wai Lee', 'Song, Juha']","['additive manufacturing', 'biomedical engineering', 'freeform 3d printing', 'soft matters', 'supporting matrix']",Freeform 3D printing of soft matters: recent advances in technology for biomedical engineering.,"In the last decade, an emerging three-dimensional (3D) printing technique named freeform 3D printing has revolutionized the biomedical engineering field by allowing soft matters with or without cells to be printed and solidified with high precision regardless of their poor self-supportability. The key to this freeform 3D printing technology is the supporting matrices that hold the printed soft ink materials during omnidirectional writing and solidification. This approach not only overcomes structural design restrictions of conventional layer-by-layer printing but also helps to realize 3D printing of low-viscosity or slow-curing materials. This article focuses on the recent developments in freeform 3D printing of soft matters such as hydrogels, cells, and silicone elastomers, for biomedical engineering. Herein, we classify the reported freeform 3D printing systems into positive, negative, and functional based on the fabrication process, and discuss the rheological requirements of the supporting matrix in accordance with the rheological behavior of counterpart inks, aiming to guide development and evaluation of new freeform printing systems. We also provide a brief overview of various material systems used as supporting matrices for freeform 3D printing systems and explore the potential applications of freeform 3D printing systems in different areas of biomedical engineering."
2021 Jan,Biomaterials,Biomaterials. 2021 Jan;266:120473. doi: 10.1016/j.biomaterials.2020.120473. Epub ,"['Hui Chong, Lydia Shi', 'Zhang, Jingyi', 'Bhat, Kiesar Sideeq', 'Yong, Derrick', 'Song, Juha']","['animals', ' biomedical engineering', ' cytoprotection', 'seeds', 'tissue engineering', 'bioinspiration', 'biomineralization', 'cell encapsulation', 'cell-in-shell structure', 'cytoprotection', 'sporulation']",Bioinspired cell-in-shell systems in biomedical engineering and beyond: Comparative overview and prospects.,"With the development in tissue engineering, cell transplantation, and genetic technologies, living cells have become an important therapeutic tool in clinical medical care. For various cell-based technologies including cell therapy and cell-based sensors in addition to fundamental studies on single-cell biology, the cytoprotection of individual living cells is a prerequisite to extend cell storage life or deliver cells from one place to another, resisting various external stresses. Nature has evolved a biological defense mechanism to preserve their species under unfavorable conditions by forming a hard and protective armor. Particularly, plant seeds covered with seed coat turn into a dormant state against stressful environments, due to mechanical and water/gas constraints imposed by hard seed coat. However, when the environmental conditions become hospitable to seeds, seed coat is ruptured, initiating seed germination. This seed dormancy and germination mechanism has inspired various approaches that artificially induce cell sporulation via chemically encapsulating individual living cells within a thin but tough shell forming a 3D ""cell-in-shell"" structure. Herein, the recent advance of cell encapsulation strategies along with the potential advantages of the 3D ""cell-in-shell"" system is reviewed. Diverse coating materials including polymeric shells and hybrid shells on different types of cells ranging from microbes to mammalian cells will be discussed in terms of enhanced cytoprotective ability, control of division, chemical functionalization, and on-demand shell degradation. Finally, current and potential applications of ""cell-in-shell"" systems for cell-based technologies with remaining challenges will be explored."
2020 Sep 18,Polymers,Polymers (Basel). 2020 Sep 18;12(9):2136. doi: 10.3390/polym12092136.,"['Luis, Eric', 'Pan, Houwen Matthew', 'Bastola, Anil Kumar', 'Bajpai, Ram', 'Sing, Swee Leong', 'Song, Juha', 'Yeong, Wai Yee']","['3d printing', 'additive manufacturing', 'meniscus implants', 'silicone', 'validation']",3D Printed Silicone Meniscus Implants: Influence of the 3D Printing Process on Properties of Silicone Implants.,"Osteoarthritis of the knee with meniscal pathologies is a severe meniscal pathology suffered by the aging population worldwide. However, conventional meniscal substitutes are not 3D-printable and lack the customizability of 3D printed implants and are not mechanically robust enough for human implantation. Similarly, 3D printed hydrogel scaffolds suffer from drawbacks of being mechanically weak and as a result patients are unable to execute immediate post-surgical weight-bearing ambulation and rehabilitation. To solve this problem, we have developed a 3D silicone meniscus implant which is (1) cytocompatible, (2) resistant to cyclic loading and mechanically similar to native meniscus, and (3) directly 3D printable. The main focus of this study is to determine whether the purity, composition, structure, dimensions and mechanical properties of silicone implants are affected by the use of a custom-made in-house 3D-printer. We have used the phosphate buffer saline (PBS) absorption test, Fourier transform infrared (FTIR) spectroscopy, surface profilometry, thermo-gravimetric analysis (TGA), X-ray photoelectron spectroscopy (XPS), differential scanning calorimetry (DSC), and scanning electron microscopy (SEM) to effectively assess and compare material properties between molded and 3D printed silicone samples."
2020,International journal of bioprinting,Int J Bioprint. 2020 Apr 2;6(2):258. doi: 10.18063/ijb.v6i2.258.. eCollection ,"['Chen, Shengyang', 'Jang, Tae-Sik', 'Pan, Houwen Matthew', 'Jung, Hyun-Do', 'Sia, Ming Wei', 'Xie, Shuying', 'Hang, Yao', 'Chong, Seow Khoon Mark', 'Wang, Dongan', 'Song, Juha']","['hydrogels', 'multi-materials', 'nanocomposites', 'three-dimensional freeform printing', 'viscous fluid matrix', 'in situ precipitation']",3D Freeform Printing of Nanocomposite Hydrogels through in situ Precipitation in Reactive Viscous Fluid.,"Composite hydrogels have gained great attention as three-dimensional (3D) printing biomaterials because of their enhanced intrinsic mechanical strength and bioactivity compared to pure hydrogels. In most conventional printing methods for composite hydrogels, particles are preloaded in ink before printing, which often reduces the printability of composite ink with little mechanical improvement due to poor particle-hydrogel interaction of physical mixing. In contrast, the in situ incorporation of nanoparticles into a hydrogel during 3D printing achieves uniform distribution of particles with remarkable mechanical reinforcement, while precursors dissolved in inks do not influence the printing process. Herein, we introduced a ""printing in liquid"" technique coupled with a hybridization process, which allows 3D freeform printing of nanoparticle-reinforced composite hydrogels. A viscoplastic matrix for this printing system provides not only support for printed hydrogel filaments but also chemical reactants to induce various reactions in printed objects for in situ modification. Nanocomposite hydrogel scaffolds were successfully fabricated through this 3D freeform printing of hyaluronic acid (HAc)-alginate (Alg) hydrogel inks through a two-step crosslinking strategy. The first ionic crosslinking of Alg provided structural stability during printing, while the secondary crosslinking of photo-curable HAc improved the mechanical and physiological stability of the nanocomposite hydrogels. For in situ precipitation during 3D printing, phosphate ions were dissolved in the hydrogel ink and calcium ions were added to the viscoplastic matrix. The composite hydrogels demonstrated a significant improvement in mechanical strength, biostability, as well as biological performance compared to pure HAc. Moreover, the multi-material printing of composites with different calcium phosphate contents was achieved by adjusting the ionic concentration of inks. Our method greatly accelerates the 3D printing of various functional or hybridized materials with complex geometries through the design and modification of printing materials coupled with in situ post-printing functionalization and hybridization in reactive viscoplastic matrices."
2020 Jul 17,Membranes,Membranes (Basel). 2020 Jul 17;10(7):154. doi: 10.3390/membranes10070154.,"['Chuah, Chong Yang', 'Lee, Junghyun', 'Song, Juha', 'Bae, Tae-Hyun']","['co2 capture', 'uio-66', 'mixed-matrix membrane', 'polyimide', 'pre-synthetic functionalization']",CO(2)/N(2) Separation Properties of Polyimide-Based Mixed-Matrix Membranes Comprising UiO-66 with Various Functionalities.,"Nanocrystalline UiO-66 and its derivatives (containing -NH(2), -Br, -(OH)(2)) were developed via pre-synthetic functionalization and incorporated into a polyimide membrane to develop a mixed-matrix membrane (MMM) for CO(2)/N(2) separation. Incorporation of the non-functionalized UiO-66 nanocrystals into the polyimide membrane successfully improved CO(2) permeability, with a slight decrease in CO(2)/N(2) selectivity, owing to its large accessible surface area. The addition of other functional groups further improved the CO(2)/N(2) selectivity of the polymeric membrane, with UiO-66-NH(2), UiO-66-Br, and UiO-66-(OH)(2) demonstrating improvements of 12%, 4%, and 17%, respectively. Further evaluation by solubility-diffusivity analysis revealed that the functionalized UiO-66 in MMMs can effectively increase CO(2) diffusivity while suppressing N(2) sorption, thus, resulting in improved CO(2)/N(2) selectivity. Such results imply that the structural tuning of UiO-66 by the incorporation of various functional groups is an effective strategy to improve the CO(2) separation performance of MMMs."
