time,journal,doi_info,authors,key words,title,abstract
2023 Feb 22,"Nanomaterials (Basel, Switzerland)",Nanomaterials (Basel). 2023 Feb 22;13(5):815. doi: 10.3390/nano13050815.,"['Chan, Wen Kiat', 'Chen, Jiawei', 'Zhou, Donglei', 'Ye, Junzhi', 'Vázquez, Ricardo Javier', 'Zhou, Cheng', 'Bazan, Guillermo Carlos', 'Rao, Akshay', 'Yu, Zhongzheng', 'Tan, Timothy Thatt Yang']","['ligand-assisted reprecipitation', 'organic–inorganic perovskites', 'superstructures', 'ultrapure green emissions']",Hybrid Organic-Inorganic Perovskite Superstructures for Ultrapure Green Emissions.,"All inorganic CsPbBr(3) superstructures (SSs) have attracted much research interest due to their unique photophysical properties, such as their large emission red-shifts and super-radiant burst emissions. These properties are of particular interest in displays, lasers and photodetectors. Currently, the best-performing perovskite optoelectronic devices incorporate organic cations (methylammonium (MA), formamidinium (FA)), however, hybrid organic-inorganic perovskite SSs have not yet been investigated. This work is the first to report on the synthesis and photophysical characterization of APbBr(3) (A = MA, FA, Cs) perovskite SSs using a facile ligand-assisted reprecipitation method. At higher concentrations, the hybrid organic-inorganic MA/FAPbBr(3) nanocrystals self-assemble into SSs and produce red-shifted ultrapure green emissions, meeting the requirement of Rec. 2020 displays. We hope that this work will be seminal in advancing the exploration of perovskite SSs using mixed cation groups to further improve their optoelectronic applications."
2022 Jul 12,Biomaterials science,Biomater Sci. 2022 Jul 12;10(14):3963-3971. doi: 10.1039/d2bm00572g.,"['Chun, Yong Yao', 'Tan, William Wei Ren', 'Vos, Marcus Ivan Gerard', 'Chan, Wen Kiat', 'Tey, Hong Liang', 'Tan, Nguan Soon', 'Tan, Timothy Thatt Yang']","[' cicatrix', 'collagen metabolism', 'fibrosis', 'gelatin', 'humans', ' hyaluronic acid', 'rna, small interfering  genetics', 'skin metabolism', 'tyramine']",Scar prevention through topical delivery of gelatin-tyramine-siSPARC nanoplex loaded in dissolvable hyaluronic acid microneedle patch across skin barrier.,"Currently, there is no effective method to prevent the formation of hypertrophic scars and keloids, which can cause severe physical and psychological burdens to patients. Secreted protein acidic and cysteine-rich (SPARC) is involved in wound fibrosis by modulating fibroblast functions, causing excessive collagen deposition during wound healing. Thus, the reduction in SPARC gene expression after wounding can contribute to the downstream reduction in collagen production at the wound site and prevent scar formation. In this study, a dissolvable and biocompatible hyaluronic acid (HA) microneedle patch loaded with nanoplexes containing tyramine-modified gelatin and siRNA for SPARC (siSPARC/Gtn-Tyr) was investigated for topical scar prevention. Tyramine-modified gelatin (Gtn-Tyr) provides electrostatic protection and enhances cell internalization for siSPARC. In vitro studies using human dermal fibroblasts showed that both siSPARC/Gtn-Tyr nanoplexes and siSPARC/Gtn-Tyr-loaded microneedle patches can significantly reduce SPARC gene expression (P < 0.05) and do not cause discernable cytotoxic effects. Further studies using a mouse wound model demonstrate that the siSPARC/Gtn-Tyr-loaded microneedle patch can reduce collagen production during wound healing without triggering an immune response. When Gtn-Tyr-siSPARC is administered transdermally at the wound site, effective collagen reduction is achieved through silencing of the matricellular SPARC protein, thus promising the reduction of scar formation. Overall, the siSPARC/Gtn-Tyr loaded microneedle patch can potentially provide an effective transdermal anti-fibrotic treatment."
2021 Feb,Biomaterials,Biomaterials. 2021 Feb;269:120459. doi: 10.1016/j.biomaterials.2020.120459. Epub ,"['Yu, Zhongzheng', 'Chan, Wen Kiat', 'Zhang, Yan', 'Tan, Timothy Thatt Yang']","[' nanomedicine', ' nanostructures', 'phototherapy', 'inorganic', 'nir-ii', 'nanotheranostics', 'photothermal']",Near-infrared-II activated inorganic photothermal nanomedicines.,"The emergence of near-infrared-II (NIR-II) activated photomedicines has extended the penetration depth for noninvasive theranostics, especially for photothermal nanomedicines. The current early development stage for NIR-II activated photomedicines has focused on creating a greater variety of photothermal agents (PTAs) with superior photothermal conversion ability. However, there is no thorough review for NIR-II inorganic PTAs and most comparisons of the photothermal performances of NIR-II inorganic PTAs are made with NIR-I PTAs. This review will first discuss about the key mechanisms of NIR-II absorption and photothermal conversion. Subsequently, this review will summarize recently developed advanced NIR-II inorganic PTAs based on the dominant inorganic elements and provide a comparison of their NIR-II photothermal performances. The nanostructure design, enhancement strategies and potential biomedical applications will be listed and discussed. We hope this review will further inspire active development and study of NIR-II activated inorganic PTAs with good photothermal conversion ability, multifunctionality, biocompatibility or biodegradability, and disease targeting ability."
2020 May 21,Biomaterials science,Biomater Sci. 2020 May 21;8(10):2878-2886. doi: 10.1039/d0bm00453g. Epub 2020 Apr ,"['Yu, Zhongzheng', 'Chun, Yong Yao', 'Xue, Jingwen', 'Tan, Jodie Zu Yi', 'Chan, Wen Kiat', 'Cai, Weizheng', 'Zhang, Yan', 'Tan, Timothy Thatt Yang']","['cell line', 'cell proliferation drug effects', 'cell survival drug effects', 'cross-linking reagents chemical synthesis  chemistry pharmacology', 'humans', 'hydrogels chemical synthesis  chemistry pharmacology', 'infrared rays', 'molecular structure', 'nanoparticles  chemistry', 'neodymium  chemistry', 'particle size', 'surface properties', 'tissue adhesives chemical synthesis  chemistry pharmacology', 'ultraviolet rays']",Balancing the thickness of sensitizing and inert layers in neodymium-sensitized tetralayer nanoconstructs for optimal ultraviolet upconversion and near-infrared cross-linked hydrogel tissue sealants.,"Tuning the configuration of lanthanide-doped upconversion nanoparticles (UCNPs) has been proven to be an effective approach to enhance upconversion (UC) efficiency, especially for neodymium (Nd(3+))-sensitized UCNPs. Rational configuration design can spatially separate activators and sensitizers, achieving the evolution from single core to multilayer structures. However, optimizing multiphoton UC emission via configuration modulation, especially in the ultraviolet range, is yet to be fully investigated. In this work, thickness tuning of the sensitizing layer containing Nd(3+) ions and the inert layer containing gadolinium ions at a fixed combined thickness of 5 nm in tetralayer UCNPs to exclude the size effect is reported for the first time. The optimal thickness of sensitizing and inert layers was determined to be 3 and 2 nm respectively, showing a new strategy of balancing sensitization and surface passivation to enhance 4-photon (360 nm) emission. Although 3-photon emission (475 nm) is mainly influenced by the overall size, its emission intensity remains similar in all the tetralayer UCNPs. Additionally, an 808 nm cross-linked hydrogel has been demonstrated as a potential near-infrared activated tissue sealant. Our results have uncovered the structural parameters for optimal ultraviolet UC emissions and elucidated the strategic importance of nano-configuration design to minimize the energy loss in the high-photon UC process."
2020 Feb,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2020 Feb;16(8):e1906797. doi: 10.1002/smll.201906797. Epub 2020 Jan 31.,"['Zhang, Yan', 'Zhang, Wanmei', 'Zeng, Kanghua', 'Ao, Yanxiao', 'Wang, Mengdie', 'Yu, Zhongzheng', 'Qi, Fukang', 'Yu, Weiwei', 'Mao, Heng', 'Tao, Louis', 'Zhang, Cuntai', 'Tan, Timothy Thatt Yang', 'Yang, Xiangliang', 'Pu, Kanyi', 'Gao, Shangbang']","[' ablation techniques methods', 'animals', 'caenorhabditis elegans drug effects radiation effects', 'infrared rays', 'light', ' locomotion drug effects', ' nanoparticles chemistry', ' neurons cytology drug effects radiation effects', 'optogenetics', 'singlet oxygen chemistry', 'locomotion regulation', 'multiplex protein activation', 'neuron ablation', 'optogenetics', 'upconversion nanoparticles']",Upconversion Nanoparticles-Based Multiplex Protein Activation to Neuron Ablation for Locomotion Regulation.,"The optogenetic neuron ablation approach enables noninvasive remote decoding of specific neuron function within a complex living organism in high spatiotemporal resolution. However, it suffers from shallow tissue penetration of visible light with low ablation efficiency. This study reports a upconversion nanoparticle (UCNP)-based multiplex proteins activation tool to ablate deep-tissue neurons for locomotion modulation. By optimizing the dopant contents and nanoarchitecure, over 300-fold enhancement of blue (450-470 nm) and red (590-610 nm) emissions from UCNPs is achieved upon 808 nm irradiation. Such emissions simultaneously activate mini singlet oxygen generator and Chrimson, leading to boosted near infrared (NIR) light-induced neuronal ablation efficiency due to the synergism between singlet oxygen generation and intracellular Ca(2+) elevation. The loss of neurons severely inhibits reverse locomotion, revealing the instructive role of neurons in controlling motor activity. The deep penetrance NIR light makes the current system feasible for in vivo deep-tissue neuron elimination. The results not only provide a rapidly adoptable platform to efficient photoablate single- and multiple-cells, but also define the neural circuits underlying behavior, with potential for development of remote therapy in diseases."
2020 Jan,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2020 Jan;16(1):e1905265. doi: 10.1002/smll.201905265. Epub 2019 Nov 29.,"['Yu, Zhongzheng', 'Chan, Wen Kiat', 'Tan, Timothy Thatt Yang']","[' infrared rays', 'nanoparticles  chemistry', 'neodymium  chemistry', ' phototherapy', 'nd 3+-sensitization', 'energy transfer pathways', 'nanoconstructs', 'photomedicine']",Neodymium-Sensitized Nanoconstructs for Near-Infrared Enabled Photomedicine.,"Neodymium (Nd(3+) )-sensitized nanoconstructs have gained increasing attention in recent decades due to their unique properties, especially optical properties. The design of various Nd(3+) -sensitized nanosystems is expected to contribute to medical and health applications, due to their advantageous properties such as high penetration depth, excellent photostability, non-photobleaching, low cytotoxicity, etc. However, the low conversion efficiency and potential long-term toxicity of Nd(3+) -sensitized nanoconstructs are huge obstacles to their clinical translations. This review article summarizes three energy transfer pathways of all kinds of Nd(3+) -sensitized nanoconstructs focusing on the properties of Nd(3+) ions and discusses their recent potential applications as near-infrared (NIR) enabled photomedicine. This review article will contribute to the design and fabrication of novel Nd(3+) -sensitized nanoconstructs for NIR-enabled photomedicine, aiming for potentially safer and more efficient designs to get closer to clinical usage."
2019 Jun 17,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2019 Jun 17;58(25):8536-8540. doi: ,"['Yu, Zhongzheng', 'Hu, Wenbo', 'Zhao, Hui', 'Miao, Xiaofei', 'Guan, Yan', 'Cai, Weizheng', 'Zeng, Zhiping', 'Fan, Quli', 'Tan, Timothy Thatt Yang']","['cross-relaxation', 'dyes pigments', 'electronic structure', 'nanostructures', 'photothermal agents']",Generating New Cross-Relaxation Pathways by Coating Prussian Blue on NaNdF(4) To Fabricate Enhanced Photothermal Agents.,"Cross-relaxation among sensitizers is commonly regarded as deleterious in fluorescent materials, although favorable in photothermal agents. Herein, we coated Prussian blue (PB) on NaNdF(4) nanoparticles to fabricate core-shell nanocomplexes with new cross relaxation pathways between the ladder-like energy levels of Nd(3+) ions and continuous energy band of PB. The photothermal conversion efficiency was improved exceptionally and the mechanism of the enhanced photothermal effect was investigated. In vivo photoacoustic imaging and photothermal therapy demonstrated the potential of the enhanced photothermal agents. Moreover, the concept of generating new cross-relaxation pathways between different materials is proposed to contribute to the design of all kinds of enhanced photothermal agents."
2019 Mar 26,ACS nano,ACS Nano. 2019 Mar 26;13(3):3373-3386. doi: 10.1021/acsnano.8b09270. Epub 2019 ,"['Ao, Yanxiao', 'Zeng, Kanghua', 'Yu, Bin', 'Miao, Yu', 'Hung, Wesley', 'Yu, Zhongzheng', 'Xue, Yanhong', 'Tan, Timothy Thatt Yang', 'Xu, Tao', 'Zhen, Mei', 'Yang, Xiangliang', 'Zhang, Yan', 'Gao, Shangbang']","['animals', 'caenorhabditis elegans  physiology', 'infrared rays', 'lanthanoid series elements  chemistry', 'motor neurons  physiology', 'nanoparticles  chemistry', 'caenorhabditis elegans', 'action potential', 'lanthanide upconversion nanoparticle', 'locomotion', 'optogenetics']",An Upconversion Nanoparticle Enables Near Infrared-Optogenetic Manipulation of the Caenorhabditis elegans Motor Circuit.,"Near-infrared (NIR) light penetrates tissue deeply, but its application to motor behavior stimulation has been limited by the lack of known genetic NIR light-responsive sensors. We designed and synthesized a Yb(3+)/Er(3+)/Ca(2+)-based lanthanide-doped upconversion nanoparticle (UCNP) that effectively converts 808 nm NIR light to green light emission. This UCNP is compatible with Chrimson, a cation channel activated by green light; as such, it can be used in the optogenetic manipulation of the motor behaviors of Caenorhabditis elegans. We show that this UCNP effectively activates Chrimson-expressing, inhibitory GABAergic motor neurons, leading to reduced action potential firing in the body wall muscle and resulting in locomotion inhibition. The UCNP also activates the excitatory glutamatergic DVC interneuron, leading to potentiated muscle action potential bursts and active reversal locomotion. Moreover, this UCNP exhibits negligible toxicity in neural development, growth, and reproduction, and the NIR energy required to elicit these behavioral and physiological responses does not activate the animal's temperature response. This study shows that UCNP provides a useful integrated optogenetic toolset, which may have wide applications in other experimental systems."
2017 Nov,Acta biomaterialia,Acta Biomater. 2017 Nov;63:246-260. doi: 10.1016/j.actbio.2017.09.001. Epub 2017 ,"['Wang, Jun Kit', 'Yeo, Kim Pin', 'Chun, Yong Yao', 'Tan, Timothy Thatt Yang', 'Tan, Nguan Soon', 'Angeli, Véronique', 'Choong, Cleo']","['animal scales  chemistry', 'animals', 'butylene glycols chemistry', 'collagen  pharmacology', 'cross-linking reagents chemistry', 'endothelial cells drug effects metabolism', 'esterification', 'fishes', 'implants, experimental', 'lymphangiogenesis  drug effects', 'lymphatic vessels  physiology', 'lymphography', 'methylation', 'mice, inbred c57bl', 'neovascularization, physiologic  drug effects', 'regeneration', 'spectroscopy, fourier transform infrared', 'blood vessels', 'crosslinking', 'lymphatic vessels', 'methylated collagen', 'unmodified collagen']",Fish scale-derived collagen patch promotes growth of blood and lymphatic vessels in vivo.,"In this study, Type I collagen was extracted from fish scales asa potential alternative source of collagen for tissue engineering applications. Since unmodified collagen typically has poor mechanical and degradation stability both in vitro and in vivo, additional methylation modification and 1,4-butanediol diglycidyl ether (BDE) crosslinking steps were used to improve the physicochemical properties of fish scale-derived collagen. Subsequently, in vivo studies using a murine model demonstrated the biocompatibility of the different fish scale-derived collagen patches. In general, favorable integration of the collagen patches to the surrounding tissues, with good infiltration of cells, blood vessels (BVs) and lymphatic vessels (LVs) were observed under growth factor-free conditions. Interestingly, significantly higher (p<0.05) number of LVs was found to be more abundant around collagen patches with methylation modification and BDE crosslinking. Overall, we have demonstrated the potential application of fish scale-derived collagen as a promising scaffolding material for various biomedical applications. STATEMENT OF SIGNIFICANCE: Currently the most common sources of collagen are of bovine and porcine origins, although the industrial use of collagen obtained from non-mammalian species is growing in importance, particularly since they have a lower risk of disease transmission and are not subjected to any cultural or religious constraints. However, unmodified collagen typically has poor mechanical and degradation stability both in vitro and in vivo. Hence, in this study, Type I collagen was successfully extracted from fish scales and chemically modified and crosslinked. In vitro studies showed overall improvement in the physicochemical properties of the material, whilst in vivo implantation studies showed improvements in the growth of blood and lymphatic host vessels in the vicinity of the implants."
2017 Jun 1,"Materials science & engineering. C, Materials for biological applications",Mater Sci Eng C Mater Biol Appl. 2017 Jun 1;75:349-358. doi: ,"['Wang, Jun Kit', 'Luo, Baiwen', 'Guneta, Vipra', 'Li, Liang', 'Foo, Selin Ee Min', 'Dai, Yun', 'Tan, Timothy Thatt Yang', 'Tan, Nguan Soon', 'Choong, Cleo', 'Wong, Marcus Thien Chong']","['adipose tissue  chemistry', ' carbon dioxide chemistry pharmacology', 'cell line, tumor', 'extracellular matrix  chemistry', ' extracellular matrix proteins chemistry pharmacology', 'female', 'human umbilical vein endothelial cells cytology  metabolism', 'humans', 'keratinocytes cytology  metabolism', 'male', 'extracellular matrix', 'supercritical carbon dioxide', 'surface coating', 'tissue engineering', 'wound healing']",Supercritical carbon dioxide extracted extracellular matrix material from adipose tissue.,"Adipose tissue is a rich source of extracellular matrix (ECM) material that can be isolated by delipidating and decellularizing the tissue. However, the current delipidation and decellularization methods either involve tedious and lengthy processes or require toxic chemicals, which may result in the elimination of vital proteins and growth factors found in the ECM. Hence, an alternative delipidation and decellularization method for adipose tissue was developed using supercritical carbon dioxide (SC-CO(2)) that eliminates the need of any harsh chemicals and also reduces the amount of processing time required. The resultant SC-CO(2)-treated ECM material showed an absence of nuclear content but the preservation of key proteins such as collagen Type I, collagen Type III, collagen Type IV, elastin, fibronectin and laminin. In addition, other biological factors such as glycosaminoglycans (GAGs) and growth factors such as basic fibroblast growth factor (bFGF) and vascular endothelial growth factor (VEGF) were also retained. Subsequently, the resulting SC-CO(2)-treated ECM material was used as a bioactive coating on tissue culture plastic (TCP). Four different cell types including adipose tissue-derived mesenchymal stem cells (ASCs), human umbilical vein endothelial cells (HUVECs), immortalized human keratinocyte (HaCaT) cells and human monocytic leukemia cells (THP-1) were used in this study to show that the SC-CO(2)-treated ECM coating can be potentially used for various biomedical applications. The SC-CO(2)-treated ECM material showed improved cell-material interactions for all cell types tested. In addition, in vitro scratch wound assay using HaCaT cells showed that the presence of SC-CO(2)-treated ECM material enhanced keratinocyte migration whilst the in vitro cellular studies using THP-1-derived macrophages showed that the SC-CO(2)-treated ECM material did not evoke pro-inflammatory responses from the THP-1-derived macrophages. Overall, this study shows the efficacy of SC-CO(2) method for delipidation and decellularization of adipose tissue whilst retaining its ECM and its subsequent utilization as a bioactive surface coating material for soft tissue engineering, angiogenesis and wound healing applications."
