time,journal,doi_info,authors,key words,title,abstract
2024 May 24,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 May 24:e202406830. doi: 10.1002/anie.202406830.,"['Siow, Wei Jian Samuel', 'Chong, Jeng Yi', 'Ong, Jia Hui', 'Kraft, Markus', 'Wang, Rong', 'Xu, Rong']","['alumina hollow fiber', 'covalent organic frameworks', 'loose nanofiltration', 'organic solvent nanofiltration', 'vapor vapor-solid interfacial growth']",Vapor/Vapor-Solid Interfacial Growth of Covalent Organic Framework Membranes on Alumina Hollow Fiber for Advanced Molecular Separation.,"Covalent organic frameworks (COFs), known for their chemical stability and porous crystalline structure, hold promises as advanced separation membranes. However, fabricating high-quality COF membranes, particularly on industrial-preferred hollow fiber substrates, remains challenging. This study introduces a novel vapor/vapor-solid (V/V-S) method for growing ultrathin crystalline TpPa-1 COF membranes on the inner lumen surface of alumina hollow fibers (TpPa-1/Alumina). Through vapor-phase monomer introduction onto polydopamine-modified alumina at 170 °C and 1 atm, efficient polymerization and crystallization occur at the confined V-S interface. This enables one-step growth within 8 h, producing 100 nm thick COF membranes with strong substrate adhesion. TpPa-1/Alumina exhibits exceptional stability and performance over 80 h in continuous cross-flow organic solvent nanofiltration (OSN), with methanol permeance of about 200 L m-2 h-1 bar-1 and dye rejection with molecular weight cutoff (MWCO) of approximately 700 Da. Moreover, the versatile V/V-S method synthesizes two additional COF membranes (TpPa2Cl/Alumina and TpHz/Alumina) with different pore sizes and chemical environments. Adjusting the COF membrane thickness between 100-500 nm is achievable easily by varying the growth cycle numbers. Notably, TpPa2Cl/Alumina demonstrates excellent OSN performance in separating the model active pharmaceutical ingredient glycyrrhizic acid (GA) from dimethyl sulfoxide (DMSO), highlighting the method's potential for large-scale industrial applications."
2024 Jan 5,Nature communications,Nat Commun. 2024 Jan 5;15(1):305. doi: 10.1038/s41467-023-44493-4.,"['Liu, Lizhen', 'Hu, Jingcong', 'Ma, Zhaoyu', 'Zhu, Zijian', 'He, Bin', 'Chen, Fang', 'Lu, Yue', 'Xu, Rong', 'Zhang, Yihe', 'Ma, Tianyi', 'Sui, Manling', 'Huang, Hongwei']",[],One-dimensional single atom arrays on ferroelectric nanosheets for enhanced CO(2) photoreduction.,"Single-atom catalysts show excellent catalytic performance because of their coordination environments and electronic configurations. However, controllable regulation of single-atom permutations still faces challenges. Herein, we demonstrate that a polarization electric field regulates single atom permutations and forms periodic one-dimensional Au single-atom arrays on ferroelectric Bi(4)Ti(3)O(12) nanosheets. The Au single-atom arrays greatly lower the Gibbs free energy for CO(2) conversion via Au-O=C=O-Au dual-site adsorption compared to that for Au-O=C=O single-site adsorption on Au isolated single atoms. Additionally, the Au single-atom arrays suppress the depolarization of Bi(4)Ti(3)O(12), so it maintains a stronger driving force for separation and transfer of photogenerated charges. Thus, Bi(4)Ti(3)O(12) with Au single-atom arrays exhibit an efficient CO production rate of 34.15 µmol·g(-1)·h(-1), ∼18 times higher than that of pristine Bi(4)Ti(3)O(12). More importantly, the polarization electric field proves to be a general tactic for the syntheses of one-dimensional Pt, Ag, Fe, Co and Ni single-atom arrays on the Bi(4)Ti(3)O(12) surface."
2024 Mar,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2024 Mar;20(13):e2307057. doi: 10.1002/smll.202307057. Epub 2023 Nov 16.,"['Wu, Shuyang', 'Lee, Jinn-Kye', 'Tan, Joseph Wei En', 'Chan, Jia Xin', 'Xu, Rong', 'Zhang, Zhengyang']","['1d–1d cnt cds heterostructures', 'photocatalytic kinetics', 'single‐molecule imaging', 'site‐specific activity', 'structure‐dynamic correlation']",In Situ Quantitative Study of Single-Molecule Photoreduction Activities and Kinetics on 1D-1D Heterostructure.,"Understanding the underlying catalytic mechanisms with nanometer resolution is of critical importance to the rational design of 1D heterogeneous catalysts. However, a fundamental investigation of photocatalytic activities and kinetics at their individual sites is still challenging. Herein, in situ single-molecule fluorescence microscopy is employed to study the site-specific catalytic activities and dynamics on 1D-1D heterostructure for the first time. For carbon nanotube (CNT)/CdS nanorod composites, it is found that the CdS end with heterojunction exhibits the highest catalytic conversion rate constant of resazurin photoreduction, which is 30%, 7%, and 19% higher than those of the middle segment and the bare end of CdS, and the CNT end with heterojunction, respectively. A similar trend of adsorption abilities is observed in these structures. Such phenomena can be attributed to the different content of defects in these structures. Regarding the dissociation behaviors, the dissociation rate constants of all structures exhibit an opposite trend to those of adsorption and conversion. The direct and indirect dissociation are found to be predominant on CdS and CNT, respectively. Such investigation provides a deep insight into the understanding of site-specific properties on 1D heterogeneous catalysts and helps construct the ""structure-dynamics"" correlations at the nanoscale."
2023 Oct,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2023 Oct;19(41):e2301379. doi: 10.1002/smll.202301379. Epub 2023 Jun 10.,"['Liu, Guanyu', 'Trinh, Quang Thang', 'Wang, Haojing', 'Wu, Shuyang', 'Arce-Ramos, Juan Manuel', 'Sullivan, Michael B', 'Kraft, Markus', 'Ager, Joel W', 'Zhang, Jia', 'Xu, Rong']","['co2 reduction', 'copper-based catalysts', 'density functional theory calculations', 'metal-organic frameworks (mofs)', 'metal-support interaction']",Selective and Stable CO(2) Electroreduction to CH(4) via Electronic Metal-Support Interaction upon Decomposition/Redeposition of MOF.,"The CO(2) electroreduction to fuels is a feasible approach to provide renewable energy sources. Therefore, it is necessary to conduct experimental and theoretical investigations on various catalyst design strategies, such as electronic metal-support interaction, to improve the catalytic selectivity. Here a solvent-free synthesis method is reported to prepare a copper (Cu)-based metal-organic framework (MOF) as the precursor. Upon electrochemical CO(2) reduction in aqueous electrolyte, it undergoes in situ decomposition/redeposition processes to form abundant interfaces between Cu nanoparticles and amorphous carbon supports. This Cu/C catalyst favors the selective and stable production of CH(4) with a Faradaic efficiency of ≈55% at -1.4 V versus reversible hydrogen electrode (RHE) for 12.5 h. The density functional theory calculation reveals the crucial role of interfacial sites between Cu and amorphous carbon support in stabilizing the key intermediates for CO(2) reduction to CH(4) . The adsorption of COOH* and CHO* at the Cu/C interface is up to 0.86 eV stronger than that on Cu(111), thus promoting the formation of CH(4) . Therefore, it is envisioned that the strategy of regulating electronic metal-support interaction can improve the selectivity and stability of catalyst toward a specific product upon electrochemical CO(2) reduction."
2023 Aug,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2023 Aug;19(35):e2301469. doi: 10.1002/smll.202301469. Epub 2023 Apr 25.,"['Wang, Na', 'Li, Haoyue', 'Wang, Haojing', 'Yang, Huanhuan', 'Ren, Ziqiu', 'Xu, Rong']","['ni single atoms', 'coordination environments', 'electrochemical co 2 reduction', 'low-coordinate catalysts', 'universality']",Temperature-Induced Low-Coordinate Ni Single-Atom Catalyst for Boosted CO(2) Electroreduction Activity.,"Single-atom catalysts (SACs) exhibit remarkable potential for electrochemical reduction of CO(2) to value-added products. However, the commonly pursued methods for preparing SACs are hard to scale up, and sometimes, lack general applicability because of expensive raw materials and complex synthetic procedures. In addition, the fine tuning of coordination environment of SACs remains challenging due to their structural vulnerability. Herein, a simple and universal strategy is developed to fabricate Ni SACs with different nitrogen coordination numbers through one-step pyrolysis of melamine, Ni(NO(3) )∙6H(2) O, and polyvinylpyrrolidone at different temperatures. Experimental measurements and theoretical calculations reveal that the low-coordinate Ni SACs exhibit outstanding CO(2) reduction performance and stability, achieving a Faradic efficiency (FE(CO) ) of 98.5% at -0.76 V with CO current density of 24.6 mA cm(-2) , and maintaining FE(CO) of over 91.0% at all applied potential windows from -0.56 to -1.16 V, benefiting from its coordinatively unsaturated structure to afford high catalytic activity and low barrier for the formation of *COOH intermediate. No significant performance degradation is observed over 50 h of continuous operation. Additionally, several other metallic single-atom catalysts are successfully prepared by this synthetic method, demonstrating the universality of this strategy."
2023 Mar 28,"Chemical communications (Cambridge, England)",Chem Commun (Camb). 2023 Mar 28;59(26):3918-3921. doi: 10.1039/d3cc00750b.,"['Wu, Shuyang', 'Madridejos, Jenica Marie L', 'Lee, Jinn-Kye', 'Xu, Rong', 'Lu, Yunpeng', 'Zhang, Zhengyang']",[],Quantitative single-molecule study reveals site-specific photo-oxidation activities and kinetics on 2D g-C(3)N(4).,"We report the utilization of single-molecule fluorescence microscopy to in situ quantify the photo-oxidation reaction kinetics on g-C(3)N(4). The wrinkle structure shows the highest reactivity and direct dissociation rate. The basal plane exhibits the highest affinity to reactants and products and indirect dissociation rate constant, followed by edges and wrinkles."
2023 Feb 16,Nanoscale,Nanoscale. 2023 Feb 16;15(7):3449-3460. doi: 10.1039/d2nr06077a.,"['Wu, Shuyang', 'Madridejos, Jenica Marie L', 'Lee, Jinn-Kye', 'Lu, Yunpeng', 'Xu, Rong', 'Zhang, Zhengyang']",[],In situ quantitative single-molecule study of site-specific photocatalytic activity and dynamics on ultrathin g-C(3)N(4) nanosheets.,"Graphitic carbon nitride (g-C(3)N(4)) has attracted extensive research attention in recent years due to its unique layered structure, facile synthetic route, visible-light-responsive nature, and excellent photocatalytic performance. However, an insightful investigation of site-specific catalytic activities and kinetics on g-C(3)N(4) is still warranted. Here, we fabricated ultrathin g-C(3)N(4) nanosheets through thermal exfoliation. The optimized sample exhibits a high specific surface area of 307.35 m(2) g(-1) and a remarkable H(2) generation activity of 2008 μmol h(-1) g(-1) with an apparent quantum efficiency of 4.62% at λ = 420 nm. Single-molecule fluorescence microscopy was applied for the first time to spatially resolve the reaction heterogeneities with nanometer precision (∼10 nm). The catalytic kinetics (i.e., reactant adsorption, conversion, and product dissociation) and temporal activity fluctuations were in situ quantified at individual structural features (i.e., wrinkles, edges, and basal planes) of g-C(3)N(4). It was found that the wrinkle and edge exhibited superior photocatalytic activity due to the intrinsic band modulation, which are 20 times and 14.8 times that of the basal plane, respectively. Moreover, due to the steric effect, the basal plane showed the highest adsorption constant and the lowest direct dissociation constant. Density functional theory (DFT) simulations unveiled the adsorption energies of reactant and product molecules on each structure of g-C(3)N(4), which support our experimental results. Such investigation would shed more light on the fundamental understanding of site-specific catalytic dynamics on g-C(3)N(4), which benefits the rational design of 2D layered materials for efficient solar-to-chemical energy conversion."
2022 Apr 7,Nanoscale,Nanoscale. 2022 Apr 7;14(14):5612-5624. doi: 10.1039/d2nr00316c.,"['Wu, Shuyang', 'Lee, Jinn-Kye', 'Lim, Pei Chong', 'Xu, Rong', 'Zhang, Zhengyang']",[],Super-resolution imaging of photogenerated charges on CdS/g-C(3)N(4) heterojunctions and its correlation with photoactivity.,"Construction of heterostructures is an effective way to improve photo-induced charge separation and photocatalytic performance. Among various structures, type II and direct Z-scheme heterojunctions with distinct charge separation mechanisms are the two typical representatives attracting much research attention. Here we prepared type II and Z-scheme CdS/g-C(3)N(4) nanocomposites by thermal treatment and self-assembly chemisorption methods, respectively. High-resolution microscopy techniques including (scanning) transmission electron microscopy (TEM/STEM) and super-resolution fluorescence microscopy (SRM) were used to investigate the charge distribution and flow mechanism. The charge tracking results reveal that the nanocomposite prepared by thermal treatment has a type II heterostructure with charges flowing in the opposite direction, while the self-assembly sample possesses a Z-scheme structure. It was found that the type II system exhibited the lowest charge migration resistance and the best charge separation ability and stability of photoactivity, leading to the highest H(2) generation rate of 2410 μmol h(-1) g(-1). The SRM technique was applied for the first time to map the reactive sites of type II and Z-scheme structures at nanometer resolution. The photoactive species (i.e., e(-) and h(+)) were found to be preferentially distributed at the two end segments of CdS nanorods and the edge boundaries of g-C(3)N(4). Therefore, our findings shed more light on the charge distribution and photocatalytic heterogeneity of composite materials at the nanoscale. Such results would provide guidance on optimizing nanocomposite properties and help to design better photocatalysts for efficient solar-to-chemical energy conversion."
2021 Feb,Small methods,Small Methods. 2021 Feb;5(2):e2000928. doi: 10.1002/smtd.202000928. Epub 2020 Dec ,"['Wu, Shuyang', 'Manuputty, Manoel Y', 'Sheng, Yuan', 'Wang, Haojing', 'Yan, Yong', 'Kraft, Markus', 'Xu, Rong']","['blue tio 2− x', 'charge separation', 'flame synthesis', 'oxygen vacancies', 'photocatalysis']",Flame Synthesized Blue TiO(2-) (x) with Tunable Oxygen Vacancies from Surface to Grain Boundary to Bulk.,"Fabrication of nonstoichiometric metal oxides containing oxygen vacancies (OVs) has been an effective strategy to modulate their (photo)catalytic or (photo)electrochemical performances which are all affected by charge transfer at the interface and in the bulk. Considerable efforts are still needed to achieve tunability of OVs, as well as their quantitative characterization. Herein, a one-step flame synthesis method is reported for the first time for fast fabrication of blue TiO(2-) (x) with controllable defect content and location. Temperature-programmed oxidation (TPO) analysis is applied for the first time and found to be an excellent technique in both differentiating and quantifying OVs at the surface, grain boundary (GB), and bulk of TiO(2-) (x) . The results indicate that a moderate level of OVs can greatly enhance the charge transfer. Importantly, the OVs locked at GBs due to the thermal sintering of nanoparticles during the synthesis can facilitate the anchoring and reduction of Pt species."
2021 Sep 20,Chemical Society reviews,Chem Soc Rev. 2021 Sep 20;50(18):10674-10699. doi: 10.1039/d1cs00258a.,"['Liu, Guanyu', 'Wong, William S Y', 'Kraft, Markus', 'Ager, Joel W', 'Vollmer, Doris', 'Xu, Rong']",[],Wetting-regulated gas-involving (photo)electrocatalysis: biomimetics in energy conversion.,"(Photo)electrolysis of water or gases with water to species serving as industrial feedstocks and energy carriers, such as hydrogen, ammonia, ethylene, propanol, etc., has drawn tremendous attention. Moreover, these processes can often be driven by renewable energy under ambient conditions as a sustainable alternative to traditional high-temperature and high-pressure synthesis methods. In addition to the extensive studies on catalyst development, increasing attention has been paid to the regulation of gas transport/diffusion behaviors during gas-involving (photo)electrocatalytic reactions towards the goal of creating industrially viable catalytic systems with high reaction rates, excellent long-term stabilities and near-unity selectivities. Biomimetic surfaces and systems with special wetting capabilities and structural advantages can shed light on the future design of (photo)electrodes and address long-standing challenges. This article is dedicated to bridging the fields of wetting and catalysis by reviewing the cutting-edge design methodologies of both gas-evolving and gas-consuming (photo)electrocatalytic systems. We first introduce the fundamentals of various in-air/underwater wetting states and their corresponding bioinspired structural properties. The relationship amongst the bubble transport behavior, wettability, and porosity/tortuosity is also discussed. Next, the latest implementations of wetting-related design principles for gas-evolving reactions (i.e. the hydrogen evolution reaction and oxygen evolution reaction) and gas-consuming reactions (i.e. the oxygen reduction reaction and CO(2) reduction reaction) are summarized. For photoelectrode designs, additional factors are taken into account, such as light absorption and the separation, transport and recombination of photoinduced electrons and holes. The influences of wettability and 3D structuring of (photo)electrodes on the catalytic activity, stability and selectivity are analyzed to reveal the underlying mechanisms. Finally, remaining questions and related future perspectives are outlined."
