time,journal,doi_info,authors,key words,title,abstract
2024 Feb 27,"Molecules (Basel, Switzerland)",Molecules. 2024 Feb 27;29(5):1026. doi: 10.3390/molecules29051026.,"['Rohman, Nur', 'Ardiansah, Bayu', 'Wukirsari, Tuti', 'Judeh, Zaher']","['structure-activity relationship', ' chalcone', ' chalcones', 'triazoles chemistry', 'coumarins chemistry', 'molecular structure', ' antineoplastic agents pharmacology', 'biological activity', 'chalcone', 'coumarin', 'molecular hybridization', 'triazole']","Recent Trends in the Synthesis and Bioactivity of Coumarin, Coumarin-Chalcone, and Coumarin-Triazole Molecular Hybrids.","Molecular hybridization represents a new approach in drug discovery in which specific chromophores are strategically combined to create novel drugs with enhanced therapeutic effects. This innovative strategy leverages the strengths of individual chromophores to address complex biological challenges, synergize beneficial properties, optimize pharmacokinetics, and overcome limitations associated with single-agent therapies. Coumarins are documented to possess several bioactivities and have therefore been targeted for combination with other active moieties to create molecular hybrids. This review summarizes recent (2013-2023) trends in the synthesis of coumarins, as well as coumarin-chalcone and coumarin-triazole molecular hybrids. To cover the wide aspects of this area, we have included differently substituted coumarins, chalcones, 1,2,3- and 1,2,4-triazoles in this review and considered the point of fusion/attachment with coumarin to show the diversity of these hybrids. The reported syntheses mainly relied on well-established chemistry without the need for strict reaction conditions and usually produced high yields. Additionally, we discussed the bioactivities of the reported compounds, including antioxidative, antimicrobial, anticancer, antidiabetic, and anti-cholinesterase activities and commented on their IC(50) where possible. Promising bioactivity results have been obtained so far. It is noted that mechanistic studies are infrequently found in the published work, which was also mentioned in this review to give the reader a better understanding. This review aims to provide valuable information to enable further developments in this field."
2023 Sep 1,"Chemistry, an Asian journal",Chem Asian J. 2023 Sep 1;18(17):e202300475. doi: 10.1002/asia.202300475. Epub ,"['Moussa, Ziad', 'Perez Paz, Alejandro', 'Khalaf, Mohamed A', 'Judeh, Zaher M A', 'Alzamly, Ahmed', 'Samadi, Abdelouahid', 'Al-Fahemi, Jabir H', 'Tatina, Madhu Babu', 'Al-Masri, Harbi Tomah', 'Jassas, Rabab S', 'Ahmed, Saleh A']","['density functional theory', 'hydrazonoyl chloride', 'inverse electron demand 1,3-dipolar cycloadditions, 1,3,4-selenadiazole', 'isoselenocyanate']","First Exclusive Stereo- and Regioselective Preparation of 5-Arylimino-1,3,4-Selenadiazole Derivatives: Synthesis, NMR analysis, and Computational Studies.","Isoselenocyanates are valuable coupling partners required for preparing key chemical intermediates and biologically active molecules in an accelerated and effective way. Likewise, (Z)-2-oxo-N-phenylpropanehydrazonoyl chlorides have been employed in numerous one-step heteroannulation reactions to assemble the structural core of several various kinds of heterocyclic compounds. Here, we describe the inverse electron demand 1,3-dipolar cycloaddition reaction of isoselenocyanates with a variety of substituted (Z)-2-oxo-N-phenylpropanehydrazonoyl chlorides to generate, regioselectively and stereoselectively, a series of 5-arylimino-1,3,4-selenadiazole derivatives comprising a multitude of functional groups on both aryl rings. The synthetic method features gentle room-temperature conditions, wide substrate scope, and good to high reaction yields. The selenadiazoles were separated by gravity filtration in all instances and chemical structures were validated by multinuclear NMR spectroscopy and high accuracy mass spectral measurements. First conclusive molecular structure elucidation of the observed 5-arylimino-selenadiazole regioisomer was verified by single-crystal X-ray diffraction analysis. Crystal-structure measurement was successfully carried out on (Z)-1-(4-(4-iodophenyl)-5-(p-tolylimino)-4,5-dihydro-1,3,4-selenadiazol-2-yl)ethan-1-one and (Z)-1-(5-((4-methoxyphenyl)imino)-4-(4-(methylthio)phenyl)-4,5-dihydro-1,3,4-selenadiazol-2-yl)ethan-1-one. Likewise, the (Z)-geometry of the hydrazonoyl chloride reactant was proven by X-ray diffraction studies. As representative examples, crystal-structure determination was carried out on (Z)-2-oxo-N-phenylpropanehydrazonoyl chloride and (Z)-N-(3,5-bis(trifluoromethyl)phenyl)-2-oxopropanehydrazonoyl chloride. Density functional theory calculations at the B3LYP-D4/def2-TZVP level were conducted to support the noted experimental findings and suggested mechanism."
2023 Feb 13,International journal of molecular sciences,Int J Mol Sci. 2023 Feb 13;24(4):3759. doi: 10.3390/ijms24043759.,"['Moussa, Ziad', 'Paz, Alejandro Perez', 'Judeh, Zaher M A', 'Alzamly, Ahmed', 'Saadeh, Haythem A', 'Asghar, Basim H', 'Alsaedi, Sara', 'Masoud, Bayan', 'Almeqbaali, Salama', 'Estwani, Saeda', 'Aljaberi, Amna', 'Al-Rooqi, Munirah M', 'Ahmed, Saleh A']","['x-rays', ' thiadiazoles chemistry', 'chlorides', 'molecular structure', ' heterocyclic compounds chemistry', '1,3,4-thiadiazole', 'n-arylcyanothioformamide', 'density functional theory', 'hydrazonoyl chloride', 'isothiocyanate']","First X-ray Crystal Structure Characterization, Computational Studies, and Improved Synthetic Route to the Bioactive 5-Arylimino-1,3,4-thiadiazole Derivatives.","N-arylcyanothioformamides are useful coupling components for building key chemical intermediates and biologically active molecules in an expedited and efficient manner. Similarly, substituted (Z)-2-oxo-N-phenylpropanehydrazonoyl chlorides have been utilized in numerous one-step heteroannulation reactions to assemble the structural core of several different types of heterocyclic compounds. Herein, we demonstrate the effectiveness of the reaction of N-arylcyanothioformamides with various substituted (Z)-2-oxo-N-phenylpropanehydrazonoyl chlorides to produce, stereoselectively and regioselectively, a range of 5-arylimino-1,3,4-thiadiazole derivatives decorated with a multitude of functional groups on both aromatic rings. The synthetic methodology features mild room-temperature conditions, large substrate scope, wide array of functional groups on both reactants, and good to high reaction yields. The products were isolated by gravity filtration in all cases and structures were confirmed by multinuclear NMR spectroscopy and high accuracy mass spectral analysis. Proof of molecular structure of the isolated 5-arylimino-1,3,4-thiadiazole regioisomer was obtained for the first time by single-crystal X-ray diffraction analysis. Crystal-structure determination was carried out on (Z)-1-(5-((3-fluorophenyl)imino)-4-(4-iodophenyl)-4,5-dihydro-1,3,4-thiadiazol-2-yl)ethan-1-one and (Z)-1-(4-phenyl-5-(p-tolylimino)-4,5-dihydro-1,3,4-thiadiazol-2-yl)ethan-1-one. Similarly, the tautomeric structures of the N-arylcyanothioformamides and (Z)-geometries of the 2-oxo-N-phenylpropanehydrazonoyl chloride coupling partners were proven by X-ray diffraction studies. As representative examples, crystal-structure determination was carried out on (4-ethoxyphenyl)carbamothioyl cyanide and (Z)-N-(2,3-difluorophenyl)-2-oxopropanehydrazonoyl chloride. Density functional theory calculations at the B3LYP-D4/def2-TZVP level were carried out to rationalize the observed experimental findings."
2023 Jan 28,"Molecules (Basel, Switzerland)",Molecules. 2023 Jan 28;28(3):1265. doi: 10.3390/molecules28031265.,"['Xia, Mengxin', 'Santoso, Mardi', 'Moussa, Ziad', 'Judeh, Zaher M A']","[' pyrroles pharmacology', ' aniline compounds', 'bm212', 'pyrroles', 'three-component reactions']","A Concise Synthesis of Pyrrole-Based Drug Candidates from α-Hydroxyketones, 3-Oxobutanenitrile, and Anilines.","A simple and concise three-component synthesis of a key pyrrole framework was developed from the reaction between α-hydroxyketones, oxoacetonitriles, and anilines. The synthesis was used to obtain several pyrrole-based drug candidates, including COX-2 selective NSAID, antituberculosis lead candidates BM212, BM521, and BM533, as well as several analogues. This route has potential to obtain diverse libraries of these pyrrole candidates in a concise manner to develop optimum lead compounds."
2022 Sep 16,The Journal of organic chemistry,J Org Chem. 2022 Sep 16;87(18):12115-12131. doi: 10.1021/acs.joc.2c01270. Epub ,"['Mengxin, Xia', 'Lambu, Mallikharjuna Rao', 'Judeh, Zaher M A']","['amines chemistry', ' biological products', 'catalysis', ' heterocyclic compounds chemistry', 'nitrogen', 'pyrroles chemistry', 'sugars']","Selective One-Pot Cascade Synthesis of N-Substituted Highly Functionalized Pyrroles from Unprotected Sugars, Primary Amines, and Oxoacetonitriles.","A one-pot, three-component cascade reaction between unprotected sugars, primary amines, and 3-oxoacetonitriles gave N-substituted 2,3,5-functionalized pyrroles or N-substituted 2,3,4-functionalized pyrroles in excellent yields and selectivities. The selectivity of the reaction was achieved by simple control of the sequence of substrate addition. The reaction showed a wide substrate scope, and various types of sugars, primary amines, and oxoacetonitriles reacted smoothly. The work demonstrates a highly desired simple reaction for embedding nitrogen into sugars to produce valuable N-heterocyclic compounds that are amenable to further modifications to natural products and drug intermediates."
2022 Aug 18,"Molecules (Basel, Switzerland)",Molecules. 2022 Aug 18;27(16):5285. doi: 10.3390/molecules27165285.,"['Xia, Mengxin', 'Moussa, Ziad', 'Judeh, Zaher M A']","[' amines chemistry', 'catalysis', 'crystallography, x-ray', 'ketones', ' pyrroles chemistry', 'carbohydrates', 'one-pot reactions', 'pyrroles', 'sustainable synthesis', 'three-component reactions']","Selective One-Pot Multicomponent Synthesis of N-Substituted 2,3,5-Functionalized 3-Cyanopyrroles via the Reaction between α-Hydroxyketones, Oxoacetonitriles, and Primary Amines.","A one-step, three-component reaction between α-hydroxyketones, oxoacetonitriles, and primary amines gives N-substituted 2,3,5-functionalized 3-cyanopyrroles with complete selectivity in up to 90% isolated yields. The reaction worked on a wide substrate scope under mild reaction conditions (AcOH as a catalyst, EtOH, 70 °C, 3 h). The reaction proceeded with very high atom efficiency as water is the only molecule lost during the reaction. The practicality of the reaction was demonstrated on a large gram scale. The structures of the 3-cyanopyrroles were confirmed by single-crystal X-ray diffraction and NMR; this work provides a general and practical entry to pyrrole scaffolds suitably decorated for the synthesis of various bioactive pyrroles in a concise manner."
2021 Jul 19,RSC advances,RSC Adv. 2021 Jul 21;11(41):25381-25421. doi: 10.1039/d1ra03091d. eCollection ,"['Wati, First Ambar', 'Santoso, Mardi', 'Moussa, Ziad', 'Fatmawati, Sri', 'Fadlan, Arif', 'Judeh, Zaher M A']",[],"Chemistry of trisindolines: natural occurrence, synthesis and bioactivity.","Heterocyclic nitrogen compounds are privileged structures with many applications in the pharmaceutical and nutraceutical industries since they possess wide bioactivities. Trisindolines are heterocyclic nitrogen compounds consisting of an isatin core bearing two indole moieties. Trisindolines have been synthesized by reacting isatins with indoles using various routes and the yield greatly depends on the catalyst used, reaction conditions, and the substituents on both the isatin and indole moieties. Amongst the synthetic routes, acid-catalyzed condensation reaction between isatins and indoles are the most useful due to high yield, wide scope and short reaction times. Trisindolines are biologically active compounds and show anticancer, antimicrobial, antitubercular, antifungal, anticonvulsant, spermicidal, and antioxidant activities, among others. Trisindolines have not previously been reviewed. Therefore, this review aims to provide a comprehensive account of trisindolines including their natural occurrence, routes of synthesis, and biological activities. It aims to inspire the discovery of lead trisindoline drug candidates for further development."
2022 Feb 16,RSC advances,RSC Adv. 2022 Feb 21;12(10):6133-6148. doi: 10.1039/d2ra00049k. eCollection 2022 ,"['Moussa, Ziad', 'Judeh, Zaher M A', 'Alzamly, Ahmed', 'Ahmed, Saleh A', 'Tomah Al-Masri, Harbi', 'Al-Hindawi, Bassam', 'Rasool, Faisal', 'Saada, Sara']",[],Iodine-DMSO mediated conversion of N-arylcyanothioformamides to N-arylcyanoformamides and the unexpected formation of 2-cyanobenzothiazoles.,"Cyanoformamides are ubiquitous as useful components for assembling key intermediates and bioactive molecules. The development of an efficient and simple approach to this motif is a challenge. Herein, we demonstrate the effectiveness of the I(2)-DMSO oxidative system in the preparation of N-arylcyanoformamides from N-arylcyanothioformamides. The synthetic method features mild conditions, broad substrate scope, and high reaction efficiency. Furthermore, this method provides an excellent entry to exclusively afford 2-cyanobenzothiazoles which are useful substrates to access new luciferin analogs. The structures of all new products were elucidated by multinuclear NMR spectroscopy and high accuracy mass spectral analysis. Crystal-structure determination by means of single-crystal X-ray diffraction was carried out on (4-bromophenyl)carbamoyl cyanide, 5,6-dimethoxybenzo[d]thiazole-2-carbonitrile, 5-(benzyloxy)benzo[d]oxazole-2-carbonitrile, 4,7-dimethoxybenzo[d]thiazole-2-carbonitrile, and (5-iodo-2,4-dimethoxyphenyl)carbamoyl cyanide, a key intermediate with mechanistic implications."
2022 Mar,Heliyon,Heliyon. 2022 Mar 4;8(3):e09045. doi: 10.1016/j.heliyon.2022.e09045. eCollection ,"['Santoso, Mardi', 'Ong, Li Lin', 'Aijijiyah, Nur Pasca', 'Wati, First Ambar', 'Azminah, Azminah', 'Annuur, Rose Malina', 'Fadlan, Arif', 'Judeh, Zaher M A']","['3,3-di(indolyl)indolin-2-ones', 'diabetes', 'docking studies', 'α-amylase inhibition', 'α-glucosidase inhibition']","Synthesis, α-glucosidase inhibition, α-amylase inhibition, and molecular docking studies of 3,3-di(indolyl)indolin-2-ones.","The synthesized 3,3-di(indolyl)indolin-2-ones 1a-p showed desired higher α-glucosidase inhibitory activities and lower α-amylase inhibitory activities than standard drug acarbose. Particularly, compound 1i showed favorable higher α-glucosidase % inhibition of 67 ± 13 and lower α-amylase % inhibition of 51 ± 4 in comparison to acarbose with % inhibition activities of 19 ± 5 and 90 ± 2, respectively. Docking studies of selected 3,3-di(indolyl)indolin-2-ones revealed key interactions with the active sites of both α-glucosidase and α-amylase, further supporting the observed % inhibitory activities. Furthermore, the binding energies are consistent with the % inhibition values. The results suggest that 3,3-di(indolyl)indolin-2-ones may be developed as suitable Alpha Glucosidase Inhibitors (AGIs) and the lower α-amylase activities should be advantageous to reduce the side effects exhibited by commercial AGIs."
2022 Jan 15,"Molecules (Basel, Switzerland)",Molecules. 2022 Jan 15;27(2):535. doi: 10.3390/molecules27020535.,"['Kathy, Wong Pooi Wen', 'Ong, Li Lin', 'Devaraj, Surabhi', 'Khong, Duc Thinh', 'Judeh, Zaher M A']","['antidiabetic compounds', 'natural products', 'orthogonal protection', 'phenylpropanoid sucrose esters', 'selective acylation of sugar']","Targeted Synthesis of 3,3'-, 3,4'- and 3,6'-Phenylpropanoid Sucrose Esters.","In this study, we report on an orthogonal strategy for the precise synthesis of 3,3'-, 3,4'-, and 3,6'-phenylpropanoid sucrose esters (PSEs). The strategy relies on carefully selected protecting groups and deprotecting agents, taking into consideration the reactivity of the four free hydroxyl groups of the key starting material: di-isopropylidene sucrose 2. The synthetic strategy is general, and potentially applies to the preparation of many natural and unnatural PSEs, especially those substituted at 3-, 3'-, 4'- and 6'-positions of PSEs."
