time,journal,doi_info,authors,key words,title,abstract
2023,Frontiers in neuroscience,Front Neurosci. 2023 Aug 15;17:1248640. doi: 10.3389/fnins.2023.1248640. ,"['Sparks, Sierra', 'Pinto, Joana', 'Hayes, Genevieve', 'Spitschan, Manuel', 'Bulte, Daniel P']","['alzheimer’s disease', 'biomarkers', 'dementia', 'early detection', 'neurodegeneration', 'pupil', 'pupillary light response', 'risk factor']",The impact of Alzheimer's disease risk factors on the pupillary light response.,"Alzheimer's disease (AD) is the leading cause of dementia, and its prevalence is increasing and is expected to continue to increase over the next few decades. Because of this, there is an urgent requirement to determine a way to diagnose the disease, and to target interventions to delay and ideally stop the onset of symptoms, specifically those impacting cognition and daily livelihood. The pupillary light response (PLR) is controlled by the sympathetic and parasympathetic branches of the autonomic nervous system, and impairments to the pupillary light response (PLR) have been related to AD. However, most of these studies that assess the PLR occur in patients who have already been diagnosed with AD, rather than those who are at a higher risk for the disease but without a diagnosis. Determining whether the PLR is similarly impaired in subjects before an AD diagnosis is made and before cognitive symptoms of the disease begin, is an important step before using the PLR as a diagnostic tool. Specifically, identifying whether the PLR is impaired in specific at-risk groups, considering both genetic and non-genetic risk factors, is imperative. It is possible that the PLR may be impaired in association with some risk factors but not others, potentially indicating different pathways to neurodegeneration that could be distinguished using PLR. In this work, we review the most common genetic and lifestyle-based risk factors for AD and identify established relationships between these risk factors and the PLR. The evidence here shows that many AD risk factors, including traumatic brain injury, ocular and intracranial hypertension, alcohol consumption, depression, and diabetes, are directly related to changes in the PLR. Other risk factors currently lack sufficient literature to make any conclusions relating directly to the PLR but have shown links to impairments in the parasympathetic nervous system; further research should be conducted in these risk factors and their relation to the PLR."
2023,Frontiers in physiology,Front Physiol. 2023 May 26;14:1142359. doi: 10.3389/fphys.2023.1142359. ,"['Pinto, Joana', 'Blockley, Nicholas P', 'Harkin, James W', 'Bulte, Daniel P']","['arterial spin labelling', 'cerebral blood flow', 'cerebral haemodynamic', 'functional mri', 'kinetic modelling']",Modelling spatiotemporal dynamics of cerebral blood flow using multiple-timepoint arterial spin labelling MRI.,"Introduction: Cerebral blood flow (CBF) is an important physiological parameter that can be quantified non-invasively using arterial spin labelling (ASL) imaging. Although most ASL studies are based on single-timepoint strategies, multi-timepoint approaches (multiple-PLD) in combination with appropriate model fitting strategies may be beneficial not only to improve CBF quantification but also to retrieve other physiological information of interest. Methods: In this work, we tested several kinetic models for the fitting of multiple-PLD pCASL data in a group of 10 healthy subjects. In particular, we extended the standard kinetic model by incorporating dispersion effects and the macrovascular contribution and assessed their individual and combined effect on CBF quantification. These assessments were performed using two pseudo-continuous ASL (pCASL) datasets acquired in the same subjects but during two conditions mimicking different CBF dynamics: normocapnia and hypercapnia (achieved through a CO(2) stimulus). Results: All kinetic models quantified and highlighted the different CBF spatiotemporal dynamics between the two conditions. Hypercapnia led to an increase in CBF whilst decreasing arterial transit time (ATT) and arterial blood volume (aBV). When comparing the different kinetic models, the incorporation of dispersion effects yielded a significant decrease in CBF (∼10-22%) and ATT (∼17-26%), whilst aBV (∼44-74%) increased, and this was observed in both conditions. The extended model that includes dispersion effects and the macrovascular component has been shown to provide the best fit to both datasets. Conclusion: Our results support the use of extended models that include the macrovascular component and dispersion effects when modelling multiple-PLD pCASL data."
2023 May,Neuroscience and biobehavioral reviews,Neurosci Biobehav Rev. 2023 May;148:105140. doi: 10.1016/j.neubiorev.2023.105140. ,"['Wang, Congxiyu', 'Reid, Graham', 'Mackay, Clare E', 'Hayes, Genevieve', 'Bulte, Daniel P', 'Suri, Sana']","['humans', 'brain blood supply', ' stroke', 'risk factors', 'magnetic resonance imaging methods', ' dementia complications', 'cerebrovascular circulation physiology', 'ageing', 'cerebrovascular reactivity', 'dementia', 'magnetic resonance imaging', 'risk', 'systematic review']",A systematic review of the association between dementia risk factors and cerebrovascular reactivity.,"Cumulative evidence suggests that impaired cerebrovascular reactivity (CVR), a regulatory response critical for maintaining neuronal health, is amongst the earliest pathological changes in dementia. However, we know little about how CVR is affected by dementia risk, prior to disease onset. Understanding this relationship would improve our knowledge of disease pathways and help inform preventative interventions. This systematic review investigates 59 studies examining how CVR (measured by magnetic resonance imaging) is affected by modifiable, non-modifiable, and clinical risk factors for dementia. We report that non-modifiable risk (older age and apolipoprotein ε4), some modifiable factors (diabetes, traumatic brain injury, hypertension) and some clinical factors (stroke, carotid artery occlusion, stenosis) were consistently associated with reduced CVR. We also note a lack of conclusive evidence on how other behavioural factors such as physical inactivity, obesity, or depression, affect CVR. This review explores the biological mechanisms underpinning these brain-behaviour associations, highlights evident gaps in the literature, and identifies the risk factors that could be managed to preserve CVR in an effort to prevent dementia."
2023 Mar,Clinical and translational radiation oncology,Clin Transl Radiat Oncol. 2022 Dec 17;39:100563. doi: 10.1016/j.ctro.2022.100563. ,"['Bluemke, Emma', 'Bertrand, Ambre', 'Chu, Kwun-Ye', 'Syed, Nigar', 'Murchison, Andrew G', 'Cooke, Rosie', 'Greenhalgh, Tessa', 'Burns, Brian', 'Craig, Martin', 'Taylor, Nia', 'Shah, Ketan', 'Gleeson, Fergus', 'Bulte, Daniel']","['hypoxia', 'mri', 'oropharyngeal squamous cell carcinoma', 'oxygen', 'oxygen-enhanced mri']",Oxygen-enhanced MRI and radiotherapy in patients with oropharyngeal squamous cell carcinoma.,"BACKGROUND AND PURPOSE: This study aimed to assess the role of T1 mapping and oxygen-enhanced MRI in patients undergoing radical dose radiotherapy for HPV positive oropharyngeal cancer, which has not yet been examined in an OE-MRI study. MATERIALS AND METHODS: Variable Flip Angle T1 maps were acquired on a 3T MRI scanner while patients (n = 12) breathed air and/or 100 % oxygen, before and after fraction 10 of the planned 30 fractions of chemoradiotherapy ('visit 1' and 'visit 2', respectively). The analysis aimed to assess to what extent (1) native R1 relates to patient outcome; (2) OE-MRI response relates to patient outcome; (3) changes in mean R1 before and after radiotherapy related to clinical outcome in patients with oropharyngeal squamous cell carcinoma. RESULTS: Due to the radiotherapy being largely successful, the sample sizes of non-responder groups were small, and therefore it was not possible to properly assess the predictive nature of OE-MRI. The tumour R1 increased in some patients while decreasing in others, in a pattern that was overall consistent with the underlying OE-MRI theory and previously reported tumour OE-MRI responses. In addition, we discuss some practical challenges faced when integrating this technique into a clinical trial, with the aim that sharing this is helpful to researchers planning to use OE-MRI in future clinical studies. CONCLUSION: Altogether, these results suggest that further clinical OE-MRI studies to assess hypoxia and radiotherapy response are worth pursuing, and that there is important work to be done to improve the robustness of the OE-MRI technique in human applications in order for it to be useful as a widespread clinical technique."
2023 Apr,Magnetic resonance imaging,Magn Reson Imaging. 2023 Apr;97:102-111. doi: 10.1016/j.mri.2023.01.002. Epub ,"['Triay Bagur, Alexandre', 'McClymont, Darryl', 'Hutton, Chloe', 'Borghetto, Andrea', 'Gyngell, Michael L', 'Aljabar, Paul', 'Robson, Matthew D', 'Brady, Michael', 'Bulte, Daniel P']","['humans', ' water', ' magnetic resonance imaging methods', 'protons', 'liver', 'reproducibility of results', 'b0 field', 'fat-water swap', 'mri-pdff', 'proton density fat fraction']",Estimation of field inhomogeneity map following magnitude-based ambiguity-resolved water-fat separation.,"Magnitude-based PDFF (Proton Density Fat Fraction) and R(2)(∗) mapping with resolved water-fat ambiguity is extended to calculate field inhomogeneity (field map) using the phase images. The estimation is formulated in matrix form, resolving the field map in a least-squares sense. PDFF and R(2)(∗) from magnitude fitting may be updated using the estimated field maps. The limits of quantification of our voxel-independent implementation were assessed. Bland-Altman was used to compare PDFF and field maps from our method against a reference complex-based method on 152 UK Biobank subjects (1.5 T Siemens). A separate acquisition (3 T Siemens) presenting field inhomogeneities was also used. The proposed field mapping was accurate beyond double the complex-based limit range. High agreement was obtained between the proposed method and the reference in UK. Robust field mapping was observed at 3 T, for inhomogeneities over 400 Hz including rapid variation across edges. Field mapping following unambiguous magnitude-based water-fat separation was demonstrated in-vivo and showed potential at 3 T."
2023 Mar,Abdominal radiology (New York),Abdom Radiol (NY). 2023 Mar;48(3):865-873. doi: 10.1007/s00261-022-03762-4. Epub ,"['Pickles, Elisabeth', 'Kumar, Shravan', 'Brady, Michael', 'Telford, Alison', 'Pavlides, Michael', 'Bulte, Daniel']","['humans', 'calibration', 'iron', ' iron overload pathology', 'liver pathology', 'magnetic resonance imaging methods', 'hemochromatosis', 'iron', 'liver', 'magnetic resonance imaging', 'thalassemia']",Comparison of liver iron concentration calculated from R2* at 1.5 T and 3 T.,"PURPOSE: R2*, a measurement obtained using magnetic resonance imaging (MRI) can be used to estimate liver iron concentration (LIC). 3 T and 1.5 T scanners can be used but conversion of 3 T R2* to LIC is less well validated. In this study the aim was to compare 3 T-R2* LIC and 1.5 T-R2* LIC estimations to assess if they can be used interchangeably. METHODS: Thirty participants were scanned at both 1.5 T and 3 T. R2* was measured at both field strengths. 3 T R2* and 1.5 R2* were compared using linear regression and were converted to LIC using different calibration curves. Pearson's rho and Intraclass Correlation Coefficients (ICCs) were used to assess correlation and agreement between 1.5 and 3 T LIC. Bland Altman plots were used to assess bias and limits of agreement. RESULTS: All 1.5 T and 3 T LIC comparisons gave Pearson's rho of 0.99 (p < 0.001). ICC ranged from 0.83 (p = 0.005) to 0.96 (p < 0.001). Biases had magnitude of less than 0.2 mg/g dry weight. CONCLUSION: Agreement and bias between 3 and 1.5 T-R2* LIC depended on the method used for conversion. There were instances when the agreement was excellent and bias was small, indicating that potentially 3 T-R2* LIC can be used alongside or instead of 1.5 T-R2* LIC but care needs to be taken over the conversion methods selected. TRIAL REGISTRATION NUMBER: Clinicaltrials.gov NCT03743272, 16 November 2018."
2022,Frontiers in neuroscience,Front Neurosci. 2022 Nov 10;16:1010164. doi: 10.3389/fnins.2022.1010164. ,"['Hayes, Genevieve', 'Pinto, Joana', 'Sparks, Sierra N', 'Wang, Congxiyu', 'Suri, Sana', 'Bulte, Daniel P']","['alzheimer’s disease', 'mri', 'cerebral blood flow', 'cerebrovascular reactivity', 'dementia', 'neurodegeneration', 'vascular smooth muscle cells']",Vascular smooth muscle cell dysfunction in neurodegeneration.,"Vascular smooth muscle cells (VSMCs) are the key moderators of cerebrovascular dynamics in response to the brain's oxygen and nutrient demands. Crucially, VSMCs may provide a sensitive biomarker for neurodegenerative pathologies where vasculature is compromised. An increasing body of research suggests that VSMCs have remarkable plasticity and their pathophysiology may play a key role in the complex process of neurodegeneration. Furthermore, extrinsic risk factors, including environmental conditions and traumatic events can impact vascular function through changes in VSMC morphology. VSMC dysfunction can be characterised at the molecular level both preclinically, and clinically ex vivo. However the identification of VSMC dysfunction in living individuals is important to understand changes in vascular function at the onset and progression of neurological disorders such as dementia, Alzheimer's disease, and Parkinson's disease. A promising technique to identify changes in the state of cerebral smooth muscle is cerebrovascular reactivity (CVR) which reflects the intrinsic dynamic response of blood vessels in the brain to vasoactive stimuli in order to modulate regional cerebral blood flow (CBF). In this work, we review the role of VSMCs in the most common neurodegenerative disorders and identify physiological systems that may contribute to VSMC dysfunction. The evidence collected here identifies VSMC dysfunction as a strong candidate for novel therapeutics to combat the development and progression of neurodegeneration, and highlights the need for more research on the role of VSMCs and cerebrovascular dynamics in healthy and diseased states."
2022 Oct,Behavior research methods,Behav Res Methods. 2022 Oct;54(5):2622-2624. doi: 10.3758/s13428-022-01937-x.,"['Martin, Joel T', 'Pinto, Joana', 'Bulte, Daniel', 'Spitschan, Manuel']",[],"Correction to: PyPlr: A versatile, integrated system of hardware and software for researching the human pupillary light reflex.",
2022 Oct,Magnetic resonance in medicine,Magn Reson Med. 2022 Oct;88(4):1867-1885. doi: 10.1002/mrm.29315. Epub 2022 Jun ,"['Bluemke, Emma', 'Stride, Eleanor', 'Bulte, Daniel Peter']","['blood volume', 'humans', ' hyperoxia diagnostic imaging', 'magnetic resonance imaging methods', 'oxygen', 'phantoms, imaging', 'r1', 'hyperoxia', 'longitudinal relaxation', 'oxygen', 'oxygen-enhanced mri', 'tissue']",Modeling the Effect of Hyperoxia on the Spin-Lattice Relaxation Rate R1 of Tissues.,"PURPOSE: Inducing hyperoxia in tissues is common practice in several areas of research, including oxygen-enhanced MRI (OE-MRI), which attempts to use the resulting signal changes to detect regions of tumor hypoxia or pulmonary disease. The linear relationship between PO(2) and R1 has been reproduced in phantom solutions and body fluids such as vitreous fluid; however, in tissue and blood experiments, factors such as changes in deoxyhemoglobin levels can also affect the ΔR1. THEORY AND METHODS: This manuscript proposes a three-compartment model for estimating the hyperoxia-induced changes in R1 of tissues depending on B0, SO(2) , blood volume, hematocrit, oxygen extraction fraction, and changes in blood and tissue PO(2) . The model contains two blood compartments (arterial and venous) and a tissue compartment. This model has been designed to be easy for researchers to tailor to their tissue of interest by substituting their preferred model for tissue oxygen diffusion and consumption. A specific application of the model is demonstrated by calculating the resulting ΔR1 expected in healthy, hypoxic and necrotic tumor tissues. In addition, the effect of sex-based hematocrit differences on ΔR1 is assessed. RESULTS: The ΔR1 values predicted by the model are consistent with reported literature OE-MRI results: with larger positive changes in the vascular periphery than hypoxic and necrotic regions. The observed sex-based differences in ΔR1 agree with findings by Kindvall et al. suggesting that differences in hematocrit levels may sometimes be a confounding factor in ΔR1. CONCLUSION: This model can be used to estimate the expected tissue ΔR1 in oxygen-enhanced MRI experiments."
2022 Oct,"Magma (New York, N.Y.)",MAGMA. 2022 Oct;35(5):817-826. doi: 10.1007/s10334-022-01009-3. Epub 2022 Apr 13.,"['Bluemke, Emma', 'Young, Liam A J', 'Owen, Joshua', 'Smart, Sean', 'Kinchesh, Paul', 'Bulte, Daniel P', 'Stride, Eleanor']","[' magnetic resonance imaging methods', ' oxygen', 'phantoms, imaging', 'hypoxia', 'mri relaxometry', 'oxygen', 'quantitative mri']",Determination of oxygen relaxivity in oxygen nanobubbles at 3 and 7 Tesla.,"OBJECTIVE: Oxygen-loaded nanobubbles have shown potential for reducing tumour hypoxia and improving treatment outcomes, however, it remains difficult to noninvasively measure the changes in partial pressure of oxygen (PO(2)) in vivo. The linear relationship between PO(2) and longitudinal relaxation rate (R(1)) has been used to noninvasively infer PO(2) in vitreous and cerebrospinal fluid, and therefore, this experiment aimed to investigate whether R(1) is a suitable measurement to study oxygen delivery from such oxygen carriers. METHODS: T(1) mapping was used to measure R(1) in phantoms containing nanobubbles with varied PO(2) to measure the relaxivity of oxygen (r(1Ox)) in the phantoms at 7 and 3 T. These measurements were used to estimate the limit of detection (LOD) in two experimental settings: preclinical 7 T and clinical 3 T MRI. RESULTS: The r(1Ox) in the nanobubble solution was 0.00057 and 0.000235 s(-1)/mmHg, corresponding to a LOD of 111 and 103 mmHg with 95% confidence at 7 and 3 T, respectively. CONCLUSION: This suggests that T(1) mapping could provide a noninvasive method of measuring a > 100 mmHg oxygen delivery from therapeutic nanobubbles."
