time,journal,doi_info,authors,key words,title,abstract
2024 Jun 4,Respiratory research,Respir Res. 2024 Jun 4;25(1):232. doi: 10.1186/s12931-024-02834-x.,"['Tran, Tu K', 'Tran, Minh C', 'Joseph, Arun', 'Phan, Phi A', 'Grau, Vicente', 'Farmery, Andrew D']","['humans', ' machine learning', 'predictive value of tests', ' respiratory distress syndrome classification diagnosis therapy', 'ai', 'ards', 'explainable ai']","A systematic review of machine learning models for management, prediction and classification of ARDS.","AIM: Acute respiratory distress syndrome or ARDS is an acute, severe form of respiratory failure characterised by poor oxygenation and bilateral pulmonary infiltrates. Advancements in signal processing and machine learning have led to promising solutions for classification, event detection and predictive models in the management of ARDS. METHOD: In this review, we provide systematic description of different studies in the application of Machine Learning (ML) and artificial intelligence for management, prediction, and classification of ARDS. We searched the following databases: Google Scholar, PubMed, and EBSCO from 2009 to 2023. A total of 243 studies was screened, in which, 52 studies were included for review and analysis. We integrated knowledge of previous work providing the state of art and overview of explainable decision models in machine learning and have identified areas for future research. RESULTS: Gradient boosting is the most common and successful method utilised in 12 (23.1%) of the studies. Due to limitation of data size available, neural network and its variation is used by only 8 (15.4%) studies. Whilst all studies used cross validating technique or separated database for validation, only 1 study validated the model with clinician input. Explainability methods were presented in 15 (28.8%) of studies with the most common method is feature importance which used 14 times. CONCLUSION: For databases of 5000 or fewer samples, extreme gradient boosting has the highest probability of success. A large, multi-region, multi centre database is required to reduce bias and take advantage of neural network method. A framework for validating with and explaining ML model to clinicians involved in the management of ARDS would be very helpful for development and deployment of the ML model."
2024 Apr 18,Scientific reports,Sci Rep. 2024 Apr 18;14(1):8951. doi: 10.1038/s41598-024-59114-3.,"['Corral Acero, Jorge', 'Lamata, Pablo', 'Eitel, Ingo', 'Zacur, Ernesto', 'Evertz, Ruben', 'Lange, Torben', 'Backhaus, Sören J', 'Stiermaier, Thomas', 'Thiele, Holger', 'Bueno-Orovio, Alfonso', 'Schuster, Andreas', 'Grau, Vicente']","['humans', ' ventricular function, left', 'stroke volume', 'risk factors', 'risk assessment', 'prognosis', ' st elevation myocardial infarction pathology', 'predictive value of tests', 'magnetic resonance imaging, cine']",Comprehensive characterization of cardiac contraction for improved post-infarction risk assessment.,"This study aims at identifying risk-related patterns of left ventricular contraction dynamics via novel volume transient characterization. A multicenter cohort of AMI survivors (n = 1021) who underwent Cardiac Magnetic Resonance (CMR) after infarction was considered for the study. The clinical endpoint was the 12-month rate of major adverse cardiac events (MACE, n = 73), consisting of all-cause death, reinfarction, and new congestive heart failure. Cardiac function was characterized from CMR in 3 potential directions: by (1) volume temporal transients (i.e. contraction dynamics); (2) feature tracking strain analysis (i.e. bulk tissue peak contraction); and (3) 3D shape analysis (i.e. 3D contraction morphology). A fully automated pipeline was developed to extract conventional and novel artificial-intelligence-derived metrics of cardiac contraction, and their relationship with MACE was investigated. Any of the 3 proposed directions demonstrated its additional prognostic value on top of established CMR indexes, myocardial injury markers, basic characteristics, and cardiovascular risk factors (P < 0.001). The combination of these 3 directions of enhancement towards a final CMR risk model improved MACE prediction by 13% compared to clinical baseline (0.774 (0.771-0.777) vs. 0.683 (0.681-0.685) cross-validated AUC, P < 0.001). The study evidences the contribution of the novel contraction characterization, enabled by a fully automated pipeline, to post-infarction assessment."
2024 May,Medical image analysis,Med Image Anal. 2024 May;94:103108. doi: 10.1016/j.media.2024.103108. Epub 2024 ,"['Camps, Julia', 'Berg, Lucas Arantes', 'Wang, Zhinuo Jenny', 'Sebastian, Rafael', 'Riebel, Leto Luana', 'Doste, Ruben', 'Zhou, Xin', 'Sachetto, Rafael', 'Coleman, James', 'Lawson, Brodie', 'Grau, Vicente', 'Burrage, Kevin', 'Bueno-Orovio, Alfonso', 'Weber Dos Santos, Rodrigo', 'Rodriguez, Blanca']","['humans', ' purkinje fibers diagnostic imaging anatomy & histology physiology', ' magnetic resonance imaging', 'myocardium', 'computer simulation', 'electrocardiography methods', 'bayesian inference', 'cardiac digital twin', 'cardiac magnetic resonance', 'purkinje network']",Digital twinning of the human ventricular activation sequence to Clinical 12-lead ECGs and magnetic resonance imaging using realistic Purkinje networks for in silico clinical trials.,"Cardiac in silico clinical trials can virtually assess the safety and efficacy of therapies using human-based modelling and simulation. These technologies can provide mechanistic explanations for clinically observed pathological behaviour. Designing virtual cohorts for in silico trials requires exploiting clinical data to capture the physiological variability in the human population. The clinical characterisation of ventricular activation and the Purkinje network is challenging, especially non-invasively. Our study aims to present a novel digital twinning pipeline that can efficiently generate and integrate Purkinje networks into human multiscale biventricular models based on subject-specific clinical 12-lead electrocardiogram and magnetic resonance recordings. Essential novel features of the pipeline are the human-based Purkinje network generation method, personalisation considering ECG R wave progression as well as QRS morphology, and translation from reduced-order Eikonal models to equivalent biophysically-detailed monodomain ones. We demonstrate ECG simulations in line with clinical data with clinical image-based multiscale models with Purkinje in four control subjects and two hypertrophic cardiomyopathy patients (simulated and clinical QRS complexes with Pearson's correlation coefficients > 0.7). Our methods also considered possible differences in the density of Purkinje myocardial junctions in the Eikonal-based inference as regional conduction velocities. These differences translated into regional coupling effects between Purkinje and myocardial models in the monodomain formulation. In summary, we demonstrate a digital twin pipeline enabling simulations yielding clinically consistent ECGs with clinical CMR image-based biventricular multiscale models, including personalised Purkinje in healthy and cardiac disease conditions."
2024 Feb,Medical image analysis,Med Image Anal. 2024 Feb;92:103061. doi: 10.1016/j.media.2023.103061. Epub 2023 ,"['Huang, Yuhao', 'Yang, Xin', 'Liu, Lian', 'Zhou, Han', 'Chang, Ao', 'Zhou, Xinrui', 'Chen, Rusi', 'Yu, Junxuan', 'Chen, Jiongquan', 'Chen, Chaoyu', 'Liu, Sijing', 'Chi, Haozhe', 'Hu, Xindi', 'Yue, Kejuan', 'Li, Lei', 'Grau, Vicente', 'Fan, Deng-Ping', 'Dong, Fajin', 'Ni, Dong']","['humans', ' image processing, computer-assisted methods', ' diagnostic imaging', 'medical image segmentation', 'medical object perception', 'segment anything model']",Segment anything model for medical images?,"The Segment Anything Model (SAM) is the first foundation model for general image segmentation. It has achieved impressive results on various natural image segmentation tasks. However, medical image segmentation (MIS) is more challenging because of the complex modalities, fine anatomical structures, uncertain and complex object boundaries, and wide-range object scales. To fully validate SAM's performance on medical data, we collected and sorted 53 open-source datasets and built a large medical segmentation dataset with 18 modalities, 84 objects, 125 object-modality paired targets, 1050K 2D images, and 6033K masks. We comprehensively analyzed different models and strategies on the so-called COSMOS 1050K dataset. Our findings mainly include the following: (1) SAM showed remarkable performance in some specific objects but was unstable, imperfect, or even totally failed in other situations. (2) SAM with the large ViT-H showed better overall performance than that with the small ViT-B. (3) SAM performed better with manual hints, especially box, than the Everything mode. (4) SAM could help human annotation with high labeling quality and less time. (5) SAM was sensitive to the randomness in the center point and tight box prompts, and may suffer from a serious performance drop. (6) SAM performed better than interactive methods with one or a few points, but will be outpaced as the number of points increases. (7) SAM's performance correlated to different factors, including boundary complexity, intensity differences, etc. (8) Finetuning the SAM on specific medical tasks could improve its average DICE performance by 4.39% and 6.68% for ViT-B and ViT-H, respectively. Codes and models are available at: https://github.com/yuhoo0302/Segment-Anything-Model-for-Medical-Images. We hope that this comprehensive report can help researchers explore the potential of SAM applications in MIS, and guide how to appropriately use and develop SAM."
2024 Mar 1,Journal of thoracic imaging,J Thorac Imaging. 2024 Mar 1;39(2):79-85. doi: 10.1097/RTI.0000000000000748. Epub ,"['Kim, Minsuok', 'Hwang, Jeongeun', 'Grist, James T', 'Abueid, Gabriele', 'Yoon, Soon Ho', 'Grau, Vicente', 'Fraser, Emily', 'Gleeson, Fergus V']","['humans', ' xenon isotopes', ' post-acute covid-19 syndrome', 'lung diagnostic imaging pathology', 'respiration', 'magnetic resonance imaging methods', 'dyspnea diagnostic imaging']",Functional Impairment in Small Airways Associated With the Breathlessness Symptoms in Long-Coronavirus Disease.,"PURPOSE: This study aimed to determine the association between functional impairment in small airways and symptoms of dyspnea in patients with Long-coronavirus disease (COVID), using imaging and computational modeling analysis. PATIENTS AND METHODS: Thirty-four patients with Long-COVID underwent thoracic computed tomography and hyperpolarized Xenon-129 magnetic resonance imaging (HP Xe MRI) scans. Twenty-two answered dyspnea-12 questionnaires. We used a computed tomography-based full-scale airway network (FAN) flow model to simulate pulmonary ventilation. The ventilation distribution projected on a coronal plane and the percentage lobar ventilation modeled in the FAN model were compared with the HP Xe MRI data. To assess the ventilation heterogeneity in small airways, we calculated the fractal dimensions of the impaired ventilation regions in the HP Xe MRI and FAN models. RESULTS: The ventilation distribution projected on a coronal plane showed an excellent resemblance between HP Xe MRI scans and FAN models (structure similarity index: 0.87 ± 0.04). In both the image and the model, the existence of large clustered ventilation defects was not identifiable regardless of dyspnea severity. The percentage lobar ventilation of the HP Xe MRI and FAN model showed a strong correlation (ρ = 0.63, P < 0.001). The difference in the fractal dimension of impaired ventilation zones between the low and high dyspnea-12 score groups was significant (HP Xe MRI: 1.97 [1.89 to 2.04] and 2.08 [2.06 to 2.14], P = 0.005; FAN: 2.60 [2.59 to 2.64] and 2.64 [2.63 to 2.65], P = 0.056). CONCLUSIONS: This study has identified a potential association of small airway functional impairment with breathlessness in Long-COVID, using fractal analysis of HP Xe MRI scans and FAN models."
2023 Dec,Medical image analysis,Med Image Anal. 2023 Dec;90:102975. doi: 10.1016/j.media.2023.102975. Epub 2023 ,"['Beetz, Marcel', 'Banerjee, Abhirup', 'Ossenberg-Engels, Julius', 'Grau, Vicente']","['humans', ' heart diagnostic imaging', ' magnetic resonance imaging', 'magnetic resonance imaging, cine methods', 'thorax', 'imaging, three-dimensional methods', 'cardiac 3d surface reconstruction', 'cine mri', 'contours to mesh reconstruction', 'cross-domain transfer', 'geometric deep learning', 'misalignment correction', 'multi-class point cloud completion network']",Multi-class point cloud completion networks for 3D cardiac anatomy reconstruction from cine magnetic resonance images.,"Cine magnetic resonance imaging (MRI) is the current gold standard for the assessment of cardiac anatomy and function. However, it typically only acquires a set of two-dimensional (2D) slices of the underlying three-dimensional (3D) anatomy of the heart, thus limiting the understanding and analysis of both healthy and pathological cardiac morphology and physiology. In this paper, we propose a novel fully automatic surface reconstruction pipeline capable of reconstructing multi-class 3D cardiac anatomy meshes from raw cine MRI acquisitions. Its key component is a multi-class point cloud completion network (PCCN) capable of correcting both the sparsity and misalignment issues of the 3D reconstruction task in a unified model. We first evaluate the PCCN on a large synthetic dataset of biventricular anatomies and observe Chamfer distances between reconstructed and gold standard anatomies below or similar to the underlying image resolution for multiple levels of slice misalignment. Furthermore, we find a reduction in reconstruction error compared to a benchmark 3D U-Net by 32% and 24% in terms of Hausdorff distance and mean surface distance, respectively. We then apply the PCCN as part of our automated reconstruction pipeline to 1000 subjects from the UK Biobank study in a cross-domain transfer setting and demonstrate its ability to reconstruct accurate and topologically plausible biventricular heart meshes with clinical metrics comparable to the previous literature. Finally, we investigate the robustness of our proposed approach and observe its capacity to successfully handle multiple common outlier conditions."
2023 Aug,Medical image analysis,Med Image Anal. 2023 Aug;88:102869. doi: 10.1016/j.media.2023.102869. Epub 2023 ,"['Li, Lei', 'Ding, Wangbin', 'Huang, Liqin', 'Zhuang, Xiahai', 'Grau, Vicente']","['humans', ' imaging, three-dimensional methods', ' cardiovascular diseases', 'image processing, computer-assisted methods', 'magnetic resonance imaging methods', 'cardiac', 'fusion', 'multi-modality imaging', 'registration', 'review', 'segmentation']",Multi-modality cardiac image computing: A survey.,"Multi-modality cardiac imaging plays a key role in the management of patients with cardiovascular diseases. It allows a combination of complementary anatomical, morphological and functional information, increases diagnosis accuracy, and improves the efficacy of cardiovascular interventions and clinical outcomes. Fully-automated processing and quantitative analysis of multi-modality cardiac images could have a direct impact on clinical research and evidence-based patient management. However, these require overcoming significant challenges including inter-modality misalignment and finding optimal methods to integrate information from different modalities. This paper aims to provide a comprehensive review of multi-modality imaging in cardiology, the computing methods, the validation strategies, the related clinical workflows and future perspectives. For the computing methodologies, we have a favored focus on the three tasks, i.e., registration, fusion and segmentation, which generally involve multi-modality imaging data, either combining information from different modalities or transferring information across modalities. The review highlights that multi-modality cardiac imaging data has the potential of wide applicability in the clinic, such as trans-aortic valve implantation guidance, myocardial viability assessment, and catheter ablation therapy and its patient selection. Nevertheless, many challenges remain unsolved, such as missing modality, modality selection, combination of imaging and non-imaging data, and uniform analysis and representation of different modalities. There is also work to do in defining how the well-developed techniques fit in clinical workflows and how much additional and relevant information they introduce. These problems are likely to continue to be an active field of research and the questions to be answered in the future."
2022,Frontiers in cardiovascular medicine,Front Cardiovasc Med. 2022 Dec 22;9:983868. doi: 10.3389/fcvm.2022.983868. ,"['Beetz, Marcel', 'Corral Acero, Jorge', 'Banerjee, Abhirup', 'Eitel, Ingo', 'Zacur, Ernesto', 'Lange, Torben', 'Stiermaier, Thomas', 'Evertz, Ruben', 'Backhaus, Sören J', 'Thiele, Holger', 'Bueno-Orovio, Alfonso', 'Lamata, Pablo', 'Schuster, Andreas', 'Grau, Vicente']","['3d ventricular shape analysis', 'acute myocardial infarction', 'clinical outcome prediction', 'geometric deep learning', 'graph neural networks', 'major adverse cardiac events', 'mesh vae', 'virtual anatomy generation']",Interpretable cardiac anatomy modeling using variational mesh autoencoders.,"Cardiac anatomy and function vary considerably across the human population with important implications for clinical diagnosis and treatment planning. Consequently, many computer-based approaches have been developed to capture this variability for a wide range of applications, including explainable cardiac disease detection and prediction, dimensionality reduction, cardiac shape analysis, and the generation of virtual heart populations. In this work, we propose a variational mesh autoencoder (mesh VAE) as a novel geometric deep learning approach to model such population-wide variations in cardiac shapes. It embeds multi-scale graph convolutions and mesh pooling layers in a hierarchical VAE framework to enable direct processing of surface mesh representations of the cardiac anatomy in an efficient manner. The proposed mesh VAE achieves low reconstruction errors on a dataset of 3D cardiac meshes from over 1,000 patients with acute myocardial infarction, with mean surface distances between input and reconstructed meshes below the underlying image resolution. We also find that it outperforms a voxelgrid-based deep learning benchmark in terms of both mean surface distance and Hausdorff distance while requiring considerably less memory. Furthermore, we explore the quality and interpretability of the mesh VAE's latent space and showcase its ability to improve the prediction of major adverse cardiac events over a clinical benchmark. Finally, we investigate the method's ability to generate realistic virtual populations of cardiac anatomies and find good alignment between the synthesized and gold standard mesh populations in terms of multiple clinical metrics."
2022,Frontiers in physiology,Front Physiol. 2022 Jun 8;13:886723. doi: 10.3389/fphys.2022.886723. eCollection ,"['Beetz, Marcel', 'Banerjee, Abhirup', 'Grau, Vicente']","['cardiac disease classification', 'cardiac electrophysiology', 'cine magnetic resonance imaging', 'combined electrocardiogram and cardiac anatomy generation', 'geometric deep learning', 'multi-domain variational autoencoder', 'point clouds', 'time series analysis']",Multi-Domain Variational Autoencoders for Combined Modeling of MRI-Based Biventricular Anatomy and ECG-Based Cardiac Electrophysiology.,"Human cardiac function is characterized by a complex interplay of mechanical deformation and electrophysiological conduction. Similar to the underlying cardiac anatomy, these interconnected physiological patterns vary considerably across the human population with important implications for the effectiveness of clinical decision-making and the accuracy of computerized heart models. While many previous works have investigated this variability separately for either cardiac anatomy or physiology, this work aims to combine both aspects in a single data-driven approach and capture their intricate interdependencies in a multi-domain setting. To this end, we propose a novel multi-domain Variational Autoencoder (VAE) network to capture combined Electrocardiogram (ECG) and Magnetic Resonance Imaging (MRI)-based 3D anatomy information in a single model. Each VAE branch is specifically designed to address the particular challenges of the respective input domain, enabling efficient encoding, reconstruction, and synthesis of multi-domain cardiac signals. Our method achieves high reconstruction accuracy on a United Kingdom Biobank dataset, with Chamfer Distances between reconstructed and input anatomies below the underlying image resolution and ECG reconstructions outperforming multiple single-domain benchmarks by a considerable margin. The proposed VAE is capable of generating realistic virtual populations of arbitrary size with good alignment in clinical metrics between the synthesized and gold standard anatomies and Maximum Mean Discrepancy (MMD) scores of generated ECGs below those of comparable single-domain approaches. Furthermore, we observe the latent space of our VAE to be highly interpretable with separate components encoding different aspects of anatomical and ECG variability. Finally, we demonstrate that the combined anatomy and ECG representation improves the performance in a cardiac disease classification task by 3.9% in terms of Area Under the Receiver Operating Characteristic (AUROC) curve over the best corresponding single-domain modeling approach."
2022 Mar 14,Insights into imaging,Insights Imaging. 2022 Mar 14;13(1):45. doi: 10.1186/s13244-022-01161-3.,"['Chandrashekar, Anirudh', 'Handa, Ashok', 'Ward, Joel', 'Grau, Vicente', 'Lee, Regent']","['deep learning', 'generative adversarial network', 'head and neck cancer', 'positron emission tomography', 'tomography (x-ray computed)']",A deep learning pipeline to simulate fluorodeoxyglucose (FDG) uptake in head and neck cancers using non-contrast CT images without the administration of radioactive tracer.,"OBJECTIVES: Positron emission tomography (PET) imaging is a costly tracer-based imaging modality used to visualise abnormal metabolic activity for the management of malignancies. The objective of this study is to demonstrate that non-contrast CTs alone can be used to differentiate regions with different Fluorodeoxyglucose (FDG) uptake and simulate PET images to guide clinical management. METHODS: Paired FDG-PET and CT images (n = 298 patients) with diagnosed head and neck squamous cell carcinoma (HNSCC) were obtained from The cancer imaging archive. Random forest (RF) classification of CT-derived radiomic features was used to differentiate metabolically active (tumour) and inactive tissues (ex. thyroid tissue). Subsequently, a deep learning generative adversarial network (GAN) was trained for this CT to PET transformation task without tracer injection. The simulated PET images were evaluated for technical accuracy (PER"
