time,journal,doi_info,authors,key words,title,abstract
2024 May 15,Advanced healthcare materials,Adv Healthc Mater. 2024 May 15:e2400419. doi: 10.1002/adhm.202400419.,"['Chen, Maggie S', 'Sun, Rujie', 'Wang, Richard', 'Zuo, Yuyang', 'Zhou, Kun', 'Kim, Junyoung', 'Stevens, Molly M']","['cardiac arrhythmias', 'fillable microrobots', 'magnetic actuation', 'phase-change materials', 'stimuli-responsive drug delivery']",Fillable Magnetic Microrobots for Drug Delivery to Cardiac Tissues In Vitro.,"Many cardiac diseases, such as arrhythmia or cardiogenic shock, cause irregular beating patterns that must be regulated to prevent disease progression toward heart failure. Treatments can include invasive surgery or high systemic drug dosages, which lack precision, localization, and control. Drug delivery systems (DDSs) that can deliver cargo to the cardiac injury site could address these unmet clinical challenges. Here, a microrobotic DDS that can be mobilized to specific sites via magnetic control is presented. This DDS incorporates an internal chamber that can protect drug cargo. Furthermore, the DDS contains a tunable thermosensitive sealing layer that gradually degrades upon exposure to body temperature, enabling prolonged drug release. Once loaded with the small molecule drug norepinephrine, this microrobotic DDS modulated beating frequency in induced pluripotent stem-cell derived cardiomyocytes (iPSC-CMs) in a dose-dependent manner, thus simulating drug delivery to cardiac cells in vitro. The DDS also navigates several maze-like structures seeded with cardiomyocytes to demonstrate precise locomotion under a rotating low-intensity magnetic field and on-site drug delivery. This work demonstrates the utility of a magnetically actuating DDS for precise, localized, and controlled drug delivery which is of interest for a myriad of future opportunities such as in treating cardiac diseases."
2024 Apr 24,Trends in biotechnology,Trends Biotechnol. 2024 Apr 24:S0167-7799(24)00068-4. doi: ,"['Zlotnick, Hannah M', 'Stevens, Molly M', 'Mauck, Robert L']","['compressibility', 'density', 'magnetic susceptibility', 'physical-property-based patterning', 'remote fields', 'tissue engineering']",Physical-property-based patterning: simply engineering complex tissues.,"The field of biofabrication is rapidly expanding with the advent of new technologies and material systems to engineer complex tissues. In this opinion article, we introduce an emerging tissue patterning method, physical-property-based patterning, that has strong translational potential given its simplicity and limited dependence on external hardware. Physical-property-based patterning relies solely on the intrinsic density, magnetic susceptibility, or compressibility of an object, its surrounding solution, and the noncontact application of a remote field. We discuss how physical properties can be exploited to pattern objects and design a variety of biologic tissues. Finally, we pose several open questions that, if addressed, could transform the status quo of biofabrication, pushing us one step closer to patterning tissues in situ."
2024 Apr 18,Nano convergence,Nano Converg. 2024 Apr 18;11(1):15. doi: 10.1186/s40580-024-00421-w.,"['Zuo, Yuyang', 'Sun, Rujie', 'Del Piccolo, Nuala', 'Stevens, Molly M']","['diagnostics', 'drug delivery', 'microneedle', 'nanomedicine', 'therapeutics']",Microneedle-mediated nanomedicine to enhance therapeutic and diagnostic efficacy.,"Nanomedicine has been extensively explored for therapeutic and diagnostic applications in recent years, owing to its numerous advantages such as controlled release, targeted delivery, and efficient protection of encapsulated agents. Integration of microneedle technologies with nanomedicine has the potential to address current limitations in nanomedicine for drug delivery including relatively low therapeutic efficacy and poor patient compliance and enable theragnostic uses. In this Review, we first summarize representative types of nanomedicine and describe their broad applications. We then outline the current challenges faced by nanomedicine, with a focus on issues related to physical barriers, biological barriers, and patient compliance. Next, we provide an overview of microneedle systems, including their definition, manufacturing strategies, drug release mechanisms, and current advantages and challenges. We also discuss the use of microneedle-mediated nanomedicine systems for therapeutic and diagnostic applications. Finally, we provide a perspective on the current status and future prospects for microneedle-mediated nanomedicine for biomedical applications."
2024 Apr 9,Chemistry of materials : a publication of the American Chemical Society,Chem Mater. 2024 Mar 25;36(7):3092-3106. doi: 10.1021/acs.chemmater.3c01360. ,"['Salter, Luke C B', 'Wojciechowski, Jonathan P', 'McLean, Ben', 'Charchar, Patrick', 'Barnes, Piers R F', 'Creamer, Adam', 'Doutch, James', 'Barriga, Hanna M G', 'Holme, Margaret N', 'Yarovsky, Irene', 'Stevens, Molly M']",[],"3,4-Ethylenedioxythiophene Hydrogels: Relating Structure and Charge Transport in Supramolecular Gels.","Ionic charge transport is a ubiquitous language of communication in biological systems. As such, bioengineering is in constant need of innovative, soft, and biocompatible materials that facilitate ionic conduction. Low molecular weight gelators (LMWGs) are complex self-assembled materials that have received increasing attention in recent years. Beyond their biocompatible, self-healing, and stimuli responsive facets, LMWGs can be viewed as a ""solid"" electrolyte solution. In this work, we investigate 3,4-ethylenedioxythiophene (EDOT) as a capping group for a small peptide library, which we use as a system to understand the relationship between modes of assembly and charge transport in supramolecular gels. Through a combination of techniques including small-angle neutron scattering (SANS), NMR-based Van't Hoff analysis, atomic force microscopy (AFM), rheology, four-point probe, and electrochemical impedance spectroscopy (EIS), we found that modifications to the peptide sequence result in distinct assembly pathways, thermodynamic parameters, mechanical properties, and ionic conductivities. Four-point probe conductivity measurements and electrochemical impedance spectroscopy suggest that ionic conductivity is approximately doubled by programmable gel assemblies with hollow cylinder morphologies relative to gels containing solid fibers or a control electrolyte. More broadly, it is hoped this work will serve as a platform for those working on charge transport of aqueous soft materials in general."
2024 Feb 27,ArXiv,ArXiv [Preprint]. 2024 Feb 27:arXiv:2402.17704v1.,"['Sedgwick, Ruby', 'Goertz, John P', 'Stevens, Molly M', 'Misener, Ruth', 'van der Wilk, Mark']",[],Transfer Learning Bayesian Optimization to Design Competitor DNA Molecules for Use in Diagnostic Assays.,"With the rise in engineered biomolecular devices, there is an increased need for tailor-made biological sequences. Often, many similar biological sequences need to be made for a specific application meaning numerous, sometimes prohibitively expensive, lab experiments are necessary for their optimization. This paper presents a transfer learning design of experiments workflow to make this development feasible. By combining a transfer learning surrogate model with Bayesian optimization, we show how the total number of experiments can be reduced by sharing information between optimization tasks. We demonstrate the reduction in the number of experiments using data from the development of DNA competitors for use in an amplification-based diagnostic assay. We use cross-validation to compare the predictive accuracy of different transfer learning models, and then compare the performance of the models for both single objective and penalized optimization tasks."
2024 Feb 2,Science advances,Sci Adv. 2024 Feb 2;10(5):eadl1549. doi: 10.1126/sciadv.adl1549. Epub 2024 Feb 2.,"['Xie, Ruoxiao', 'Cao, Yuanxiong', 'Sun, Rujie', 'Wang, Richard', 'Morgan, Alexis', 'Kim, Junyoung', 'Callens, Sebastien J P', 'Xie, Kai', 'Zou, Jiawen', 'Lin, Junliang', 'Zhou, Kun', 'Lu, Xiangrong', 'Stevens, Molly M']","[' tissue engineering methods', 'biocompatible materials chemistry', 'hydrogels chemistry', 'printing, three-dimensional', ' robotics']",Magnetically driven formation of 3D freestanding soft bioscaffolds.,"3D soft bioscaffolds have great promise in tissue engineering, biohybrid robotics, and organ-on-a-chip engineering applications. Though emerging three-dimensional (3D) printing techniques offer versatility for assembling soft biomaterials, challenges persist in overcoming the deformation or collapse of delicate 3D structures during fabrication, especially for overhanging or thin features. This study introduces a magnet-assisted fabrication strategy that uses a magnetic field to trigger shape morphing and provide remote temporary support, enabling the straightforward creation of soft bioscaffolds with overhangs and thin-walled structures in 3D. We demonstrate the versatility and effectiveness of our strategy through the fabrication of bioscaffolds that replicate the complex 3D topology of branching vascular systems. Furthermore, we engineered hydrogel-based bioscaffolds to support biohybrid soft actuators capable of walking motion triggered by cardiomyocytes. This approach opens new possibilities for shaping hydrogel materials into complex 3D morphologies, which will further empower a broad range of biomedical applications."
2024 May,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 May;36(19):e2312135. doi: 10.1002/adma.202312135. Epub 2024 Feb ,"['Zhou, Kun', 'Sun, Rujie', 'Wojciechowski, Jonathan P', 'Wang, Richard', 'Yeow, Jonathan', 'Zuo, Yuyang', 'Song, Xin', 'Wang, Chunliang', 'Shao, Yue', 'Stevens, Molly M']","['4d multimaterial printing', 'ph‐responsive hydrogel', 'photothermal effect', 'shape‐memory polymer', 'soft actuator', 'spatial and temporal control', 'thiol‐ene reaction']",4D Multimaterial Printing of Soft Actuators with Spatial and Temporal Control.,"Soft actuators (SAs) are devices which can interact with delicate objects in a manner not achievable with traditional robotics. While it is possible to design a SA whose actuation is triggered via an external stimulus, the use of a single stimulus creates challenges in the spatial and temporal control of the actuation. Herein, a 4D printed multimaterial soft actuator design (MMSA) whose actuation is only initiated by a combination of triggers (i.e., pH and temperature) is presented. Using 3D printing, a multilayered soft actuator with a hydrophilic pH-sensitive layer, and a hydrophobic magnetic and temperature-responsive shape-memory polymer layer, is designed. The hydrogel responds to environmental pH conditions by swelling or shrinking, while the shape-memory polymer can resist the shape deformation of the hydrogel until triggered by temperature or light. The combination of these stimuli-responsive layers allows for a high level of spatiotemporal control of the actuation. The utility of the 4D MMSA is demonstrated via a series of cargo capture and release experiments, validating its ability to demonstrate active spatiotemporal control. The MMSA concept provides a promising research direction to develop multifunctional soft devices with potential applications in biomedical engineering and environmental engineering."
2024 Feb 9,ACS infectious diseases,ACS Infect Dis. 2024 Feb 9;10(2):732-745. doi: 10.1021/acsinfecdis.3c00564. Epub ,"['Najer, Adrian', 'Kim, Junyoung', 'Saunders, Catherine', 'Che, Junyi', 'Baum, Jake', 'Stevens, Molly M']","['female', 'humans', 'pregnancy', 'plasmodium falciparum metabolism', ' antimalarials pharmacology', 'placenta', 'endothelial cells', ' malaria, cerebral', 'biopolymers metabolism', 'heparin pharmacology', 'plasmodium', 'biomaterial', 'inhibition', 'nanoparticle', 'sequestration', 'severe malaria']",Enhanced Antimalarial and Antisequestration Activity of Methoxybenzenesulfonate-Modified Biopolymers and Nanoparticles for Tackling Severe Malaria.,"Severe malaria is a life-threatening condition that is associated with a high mortality. Severe Plasmodium falciparum infections are mediated primarily by high parasitemia and binding of infected red blood cells (iRBCs) to the blood vessel endothelial layer, a process known as sequestration. Here, we show that including the 5-amino-2-methoxybenzenesulfonate (AMBS) chemical modification in soluble biopolymers (polyglutamic acid and heparin) and poly(acrylic acid)-exposing nanoparticles serves as a universal tool to introduce a potent parasite invasion inhibitory function in these materials. Importantly, the modification did not add or eliminated (for heparin) undesired anticoagulation activity. The materials protected RBCs from invasion by various parasite strains, employing both major entry pathways. Two further P. falciparum strains, which either expose ligands for chondroitin sulfate A (CSA) or intercellular adhesion molecule 1 (ICAM-1) on iRBCs, were tested in antisequestration assays due to their relevance in placental and cerebral malaria, respectively. Antisequestration activity was found to be more efficacious with nanoparticles vs gold-standard soluble biopolymers (CSA and heparin) against both strains, when tested on receptor-coated dishes. The nanoparticles also efficiently inhibited and reversed the sequestration of iRBCs on endothelial cells. First, the materials described herein have the potential to reduce the parasite burden by acting at the key multiplication stage of reinvasion. Second, the antisequestration ability could help remove iRBCs from the blood vessel endothelium, which could otherwise cause vessel obstruction, which in turn can lead to multiple organ failure in severe malaria infections. This approach represents a further step toward creation of adjunctive therapies for this devastating condition to reduce morbidity and mortality."
2023 Nov,The Lancet. Digital health,Lancet Digit Health. 2023 Nov;5(11):e774-e785. doi: ,"['Jackson, Heather R', 'Zandstra, Judith', 'Menikou, Stephanie', 'Hamilton, Melissa Shea', 'McArdle, Andrew J', 'Fischer, Roman', 'Thorne, Adam M', 'Huang, Honglei', 'Tanck, Michael W', 'Jansen, Machiel H', 'De, Tisham', 'Agyeman, Philipp K A', 'Von Both, Ulrich', 'Carrol, Enitan D', 'Emonts, Marieke', 'Eleftheriou, Irini', 'Van der Flier, Michiel', 'Fink, Colin', 'Gloerich, Jolein', 'De Groot, Ronald', 'Moll, Henriette A', 'Pokorn, Marko', 'Pollard, Andrew J', 'Schlapbach, Luregn J', 'Tsolia, Maria N', 'Usuf, Effua', 'Wright, Victoria J', 'Yeung, Shunmay', 'Zavadska, Dace', 'Zenz, Werner', 'Coin, Lachlan J M', 'Casals-Pascual, Climent', 'Cunnington, Aubrey J', 'Martinon-Torres, Federico', 'Herberg, Jethro A', 'de Jonge, Marien I', 'Levin, Michael', 'Kuijpers, Taco W', 'Kaforou, Myrsini']","['humans', 'child', 'proteomics', ' bacterial infections diagnosis', 'biomarkers metabolism', ' virus diseases diagnosis', 'anti-bacterial agents']",A multi-platform approach to identify a blood-based host protein signature for distinguishing between bacterial and viral infections in febrile children (PERFORM): a multi-cohort machine learning study.,"BACKGROUND: Differentiating between self-resolving viral infections and bacterial infections in children who are febrile is a common challenge, causing difficulties in identifying which individuals require antibiotics. Studying the host response to infection can provide useful insights and can lead to the identification of biomarkers of infection with diagnostic potential. This study aimed to identify host protein biomarkers for future development into an accurate, rapid point-of-care test that can distinguish between bacterial and viral infections, by recruiting children presenting to health-care settings with fever or a history of fever in the previous 72 h. METHODS: In this multi-cohort machine learning study, patient data were taken from EUCLIDS, the Swiss Pediatric Sepsis study, the GENDRES study, and the PERFORM study, which were all based in Europe. We generated three high-dimensional proteomic datasets (SomaScan and two via liquid chromatography tandem mass spectrometry, referred to as MS-A and MS-B) using targeted and untargeted platforms (SomaScan and liquid chromatography mass spectrometry). Protein biomarkers were then shortlisted using differential abundance analysis, feature selection using forward selection-partial least squares (FS-PLS; 100 iterations), along with a literature search. Identified proteins were tested with Luminex and ELISA and iterative FS-PLS was done again (25 iterations) on the Luminex results alone, and the Luminex and ELISA results together. A sparse protein signature for distinguishing between bacterial and viral infections was identified from the selected proteins. The performance of this signature was finally tested using Luminex assays and by calculating disease risk scores. FINDINGS: 376 children provided serum or plasma samples for use in the discovery of protein biomarkers. 79 serum samples were collected for the generation of the SomaScan dataset, 147 plasma samples for the MS-A dataset, and 150 plasma samples for the MS-B dataset. Differential abundance analysis, and the first round of feature selection using FS-PLS identified 35 protein biomarker candidates, of which 13 had commercial ELISA or Luminex tests available. 16 proteins with ELISA or Luminex tests available were identified by literature review. Further evaluation via Luminex and ELISA and the second round of feature selection using FS-PLS revealed a six-protein signature: three of the included proteins are elevated in bacterial infections (SELE, NGAL, and IFN-γ), and three are elevated in viral infections (IL18, NCAM1, and LG3BP). Performance testing of the signature using Luminex assays revealed area under the receiver operating characteristic curve values between 89·4% and 93·6%. INTERPRETATION: This study has led to the identification of a protein signature that could be ultimately developed into a blood-based point-of-care diagnostic test for rapidly diagnosing bacterial and viral infections in febrile children. Such a test has the potential to greatly improve care of children who are febrile, ensuring that the correct individuals receive antibiotics. FUNDING: European Union's Horizon 2020 research and innovation programme, the European Union's Seventh Framework Programme (EUCLIDS), Imperial Biomedical Research Centre of the National Institute for Health Research, the Wellcome Trust and Medical Research Foundation, Instituto de Salud Carlos III, Consorcio Centro de Investigación Biomédica en Red de Enfermedades Respiratorias, Grupos de Refeencia Competitiva, Swiss State Secretariat for Education, Research and Innovation."
2024 Mar 20,Clinical infectious diseases : an official publication of the Infectious Diseases ,Clin Infect Dis. 2024 Mar 20;78(3):526-534. doi: 10.1093/cid/ciad615.,"['Kolberg, Laura', 'Khanijau, Aakash', 'van der Velden, Fabian J S', 'Herberg, Jethro', 'De, Tisham', 'Galassini, Rachel', 'Cunnington, Aubrey J', 'Wright, Victoria J', 'Shah, Priyen', 'Kaforou, Myrsini', 'Wilson, Clare', 'Kuijpers, Taco', 'Martinón-Torres, Federico', 'Rivero-Calle, Irene', 'Moll, Henriette', 'Vermont, Clementien', 'Pokorn, Marko', 'Kolnik, Mojca', 'Pollard, Andrew J', 'Agyeman, Philipp K A', 'Schlapbach, Luregn J', 'Tsolia, Maria N', 'Yeung, Shunmay', 'Zavadska, Dace', 'Zenz, Werner', 'Schweintzger, Nina A', 'van der Flier, Michiel', 'de Groot, Ronald', 'Usuf, Effua', 'Voice, Marie', 'Calvo-Bado, Leonides', 'Mallet, François', 'Fidler, Katy', 'Levin, Michael', 'Carrol, Enitan D', 'Emonts, Marieke', 'von Both, Ulrich']","['child', 'humans', ' anti-bacterial agents therapeutic use', ' antimicrobial stewardship methods', 'drug prescriptions', 'europe', 'emergency service, hospital', 'fever diagnosis drug therapy', 'penicillins therapeutic use', 'aware', 'antibiotic prescription', 'antimicrobial stewardship', 'infectious diseases', 'pediatric emergency care']",Raising AWaRe-ness of Antimicrobial Stewardship Challenges in Pediatric Emergency Care: Results from the PERFORM Study Assessing Consistency and Appropriateness of Antibiotic Prescribing Across Europe.,"BACKGROUND: Optimization of antimicrobial stewardship is key to tackling antimicrobial resistance, which is exacerbated by overprescription of antibiotics in pediatric emergency departments (EDs). We described patterns of empiric antibiotic use in European EDs and characterized appropriateness and consistency of prescribing. METHODS: Between August 2016 and December 2019, febrile children attending EDs in 9 European countries with suspected infection were recruited into the PERFORM (Personalised Risk Assessment in Febrile Illness to Optimise Real-Life Management) study. Empiric systemic antibiotic use was determined in view of assigned final ""bacterial"" or ""viral"" phenotype. Antibiotics were classified according to the World Health Organization (WHO) AWaRe classification. RESULTS: Of 2130 febrile episodes (excluding children with nonbacterial/nonviral phenotypes), 1549 (72.7%) were assigned a bacterial and 581 (27.3%) a viral phenotype. A total of 1318 of 1549 episodes (85.1%) with a bacterial and 269 of 581 (46.3%) with a viral phenotype received empiric systemic antibiotics (in the first 2 days of admission). Of those, the majority (87.8% in the bacterial and 87.0% in the viral group) received parenteral antibiotics. The top 3 antibiotics prescribed were third-generation cephalosporins, penicillins, and penicillin/β-lactamase inhibitor combinations. Of those treated with empiric systemic antibiotics in the viral group, 216 of 269 (80.3%) received ≥1 antibiotic in the ""Watch"" category. CONCLUSIONS: Differentiating bacterial from viral etiology in febrile illness on initial ED presentation remains challenging, resulting in a substantial overprescription of antibiotics. A significant proportion of patients with a viral phenotype received systemic antibiotics, predominantly classified as WHO Watch. Rapid and accurate point-of-care tests in the ED differentiating between bacterial and viral etiology could significantly improve antimicrobial stewardship."
