time,journal,doi_info,authors,key words,title,abstract
2024 Jun 26,Scientific reports,Sci Rep. 2024 Jun 26;14(1):14798. doi: 10.1038/s41598-024-64564-w.,"['Nhat, Phung Tran Huy', 'Van Hao, Nguyen', 'Yen, Lam Minh', 'Anh, Nguyen Hoang', 'Khiem, Dong Phu', 'Kerdegari, Hamideh', 'Phuong, Le Thanh', 'Hoang, Vo Tan', 'Ngoc, Nguyen Thanh', 'Thu, Le Ngoc Minh', 'Trung, Truong Ngoc', 'Pisani, Luigi', 'Razavi, Reza', 'Yacoub, Sophie', 'Van Vinh Chau, Nguyen', 'King, Andrew P', 'Thwaites, Louise', 'Denehy, Linda', 'Gomez, Alberto']","['humans', ' intensive care units', 'male', ' ultrasonography methods', 'female', 'middle aged', 'aged', ' muscular atrophy diagnostic imaging', ' critical illness', 'muscle, skeletal diagnostic imaging', 'quadriceps muscle diagnostic imaging', 'artificial intelligence', 'adult', 'artificial intelligence', 'intensive care unit', 'muscle ultrasound', 'muscle wasting', 'real-time']",Clinical evaluation of AI-assisted muscle ultrasound for monitoring muscle wasting in ICU patients.,"Muscle ultrasound has been shown to be a valid and safe imaging modality to assess muscle wasting in critically ill patients in the intensive care unit (ICU). This typically involves manual delineation to measure the rectus femoris cross-sectional area (RFCSA), which is a subjective, time-consuming, and laborious task that requires significant expertise. We aimed to develop and evaluate an AI tool that performs automated recognition and measurement of RFCSA to support non-expert operators in measurement of the RFCSA using muscle ultrasound. Twenty patients were recruited between Feb 2023 and July 2023 and were randomized sequentially to operators using AI (n = 10) or non-AI (n = 10). Muscle loss during ICU stay was similar for both methods: 26 ± 15% for AI and 23 ± 11% for the non-AI, respectively (p = 0.13). In total 59 ultrasound examinations were carried out (30 without AI and 29 with AI). When assisted by our AI tool, the operators showed less variability between measurements with higher intraclass correlation coefficients (ICCs 0.999 95%"
2024 May,European heart journal. Digital health,Eur Heart J Digit Health. 2024 Feb 19;5(3):247-259. doi: 10.1093/ehjdh/ztae014. ,"['Lu, Lei', 'Zhu, Tingting', 'Ribeiro, Antonio H', 'Clifton, Lei', 'Zhao, Erying', 'Zhou, Jiandong', 'Ribeiro, Antonio Luiz P', 'Zhang, Yuan-Ting', 'Clifton, David A']","['artificial intelligence', 'electrocardiogram', 'interpretable diagnosis', 'knowledge discovery', 'mortality risk stratification']",Decoding 2.3 million ECGs: interpretable deep learning for advancing cardiovascular diagnosis and mortality risk stratification.,"AIMS: Electrocardiogram (ECG) is widely considered the primary test for evaluating cardiovascular diseases. However, the use of artificial intelligence (AI) to advance these medical practices and learn new clinical insights from ECGs remains largely unexplored. We hypothesize that AI models with a specific design can provide fine-grained interpretation of ECGs to advance cardiovascular diagnosis, stratify mortality risks, and identify new clinically useful information. METHODS AND RESULTS: Utilizing a data set of 2 322 513 ECGs collected from 1 558 772 patients with 7 years follow-up, we developed a deep-learning model with state-of-the-art granularity for the interpretable diagnosis of cardiac abnormalities, gender identification, and hypertension screening solely from ECGs, which are then used to stratify the risk of mortality. The model achieved the area under the receiver operating characteristic curve (AUC) scores of 0.998 (95% confidence interval ("
2024 Feb 21,Nature communications,Nat Commun. 2024 Feb 21;15(1):1582. doi: 10.1038/s41467-024-45777-z.,"['Thakur, Anshul', 'Zhu, Tingting', 'Abrol, Vinayak', 'Armstrong, Jacob', 'Wang, Yujiang', 'Clifton, David A']",[],Data encoding for healthcare data democratization and information leakage prevention.,"The lack of data democratization and information leakage from trained models hinder the development and acceptance of robust deep learning-based healthcare solutions. This paper argues that irreversible data encoding can provide an effective solution to achieve data democratization without violating the privacy constraints imposed on healthcare data and clinical models. An ideal encoding framework transforms the data into a new space where it is imperceptible to a manual or computational inspection. However, encoded data should preserve the semantics of the original data such that deep learning models can be trained effectively. This paper hypothesizes the characteristics of the desired encoding framework and then exploits random projections and random quantum encoding to realize this framework for dense and longitudinal or time-series data. Experimental evaluation highlights that models trained on encoded time-series data effectively uphold the information bottleneck principle and hence, exhibit lesser information leakage from trained models."
2024 Feb 15,BMC infectious diseases,BMC Infect Dis. 2024 Feb 15;24(1):205. doi: 10.1186/s12879-024-08994-x.,"['Nhan, Le Nguyen Thanh', 'Hung, Nguyen Thanh', 'Khanh, Truong Huu', 'Hong, Nguyen Thi Thu', 'Ny, Nguyen Thi Han', 'Nhu, Le Nguyen Truc', 'Han, Do Duong Kim', 'Zhu, Tingting', 'Thanh, Tran Tan', 'Tadesse, Girmaw Abebe', 'Clifton, David', 'Van Doorn, H Rogier', 'Van Tan, Le', 'Thwaites, C Louise']","['child', 'humans', 'infant', ' hand, foot and mouth disease diagnosis', 'heart rate', 'feasibility studies', ' enterovirus', ' enterovirus infections', 'china epidemiology', ' enterovirus a, human', 'hand foot and mouth disease', 'heart rate variability', 'vietnam', 'wearable devices']","Feasibility of wearable monitors to detect heart rate variability in children with hand, foot and mouth disease.","Hand foot and mouth disease (HFMD) is caused by a variety of enteroviruses, and occurs in large outbreaks in which a small proportion of children deteriorate rapidly with cardiopulmonary failure. Determining which children are likely to deteriorate is difficult and health systems may become overloaded during outbreaks as many children require hospitalization for monitoring. Heart rate variability (HRV) may help distinguish those with more severe diseases but requires simple scalable methods to collect ECG data.We carried out a prospective observational study to examine the feasibility of using wearable devices to measure HRV in 142 children admitted with HFMD at a children's hospital in Vietnam. ECG data were collected in all children. HRV indices calculated were lower in those with enterovirus A71 associated HFMD compared to those with other viral pathogens.HRV analysis collected from wearable devices is feasible in a low and middle income country (LMIC) and may help classify disease severity in HFMD."
2024 Feb,The Lancet. Digital health,Lancet Digit Health. 2024 Feb;6(2):e93-e104. doi: 10.1016/S2589-7500(23)00226-1.,"['Soltan, Andrew A S', 'Thakur, Anshul', 'Yang, Jenny', 'Chauhan, Anoop', ""D'Cruz, Leon G"", 'Dickson, Phillip', 'Soltan, Marina A', 'Thickett, David R', 'Eyre, David W', 'Zhu, Tingting', 'Clifton, David A']","['humans', ' secondary care', 'artificial intelligence', 'privacy', 'state medicine', ' covid-19 diagnosis', 'hospitals', 'united kingdom']",A scalable federated learning solution for secondary care using low-cost microcomputing: privacy-preserving development and evaluation of a COVID-19 screening test in UK hospitals.,"BACKGROUND: Multicentre training could reduce biases in medical artificial intelligence (AI); however, ethical, legal, and technical considerations can constrain the ability of hospitals to share data. Federated learning enables institutions to participate in algorithm development while retaining custody of their data but uptake in hospitals has been limited, possibly as deployment requires specialist software and technical expertise at each site. We previously developed an artificial intelligence-driven screening test for COVID-19 in emergency departments, known as CURIAL-Lab, which uses vital signs and blood tests that are routinely available within 1 h of a patient's arrival. Here we aimed to federate our COVID-19 screening test by developing an easy-to-use embedded system-which we introduce as full-stack federated learning-to train and evaluate machine learning models across four UK hospital groups without centralising patient data. METHODS: We supplied a Raspberry Pi 4 Model B preloaded with our federated learning software pipeline to four National Health Service (NHS) hospital groups in the UK: Oxford University Hospitals NHS Foundation Trust (OUH; through the locally linked research University, University of Oxford), University Hospitals Birmingham NHS Foundation Trust (UHB), Bedfordshire Hospitals NHS Foundation Trust (BH), and Portsmouth Hospitals University NHS Trust (PUH). OUH, PUH, and UHB participated in federated training, training a deep neural network and logistic regressor over 150 rounds to form and calibrate a global model to predict COVID-19 status, using clinical data from patients admitted before the pandemic (COVID-19-negative) and testing positive for COVID-19 during the first wave of the pandemic. We conducted a federated evaluation of the global model for admissions during the second wave of the pandemic at OUH, PUH, and externally at BH. For OUH and PUH, we additionally performed local fine-tuning of the global model using the sites' individual training data, forming a site-tuned model, and evaluated the resultant model for admissions during the second wave of the pandemic. This study included data collected between Dec 1, 2018, and March 1, 2021; the exact date ranges used varied by site. The primary outcome was overall model performance, measured as the area under the receiver operating characteristic curve (AUROC). Removable micro secure digital (microSD) storage was destroyed on study completion. FINDINGS: Clinical data from 130 941 patients (1772 COVID-19-positive), routinely collected across three hospital groups (OUH, PUH, and UHB), were included in federated training. The evaluation step included data from 32 986 patients (3549 COVID-19-positive) attending OUH, PUH, or BH during the second wave of the pandemic. Federated training of a global deep neural network classifier improved upon performance of models trained locally in terms of AUROC by a mean of 27·6% (SD 2·2): AUROC increased from 0·574 (95%"
2024 Jan 5,JMIR human factors,JMIR Hum Factors. 2024 Jan 5;11:e44619. doi: 10.2196/44619.,"['Luu, An Phuoc', 'Nguyen, Truong Thanh', 'Cao, Van Thi Cam', 'Ha, Trinh Hoang Diem', 'Chung, Lien Thi Thu', 'Truong, Trung Ngoc', 'Nguyen Le Nhu, Tung', 'Dao, Khoa Bach', 'Nguyen, Hao Van', 'Khanh, Phan Nguyen Quoc', 'Le, Khanh Thuy Thuy', 'Tran, Luu Hoai Bao', 'Nhat, Phung Tran Huy', 'Tran, Duc Minh', 'Lam, Yen Minh', 'Thwaites, Catherine Louise', 'Mcknight, Jacob', 'Vinh Chau, Nguyen Van', 'Van Nuil, Jennifer Ilo']","['humans', 'vietnam', ' covid-19', 'pandemics', 'patients', 'hospitals', 'covid-19', 'tam', 'action learning', 'oximeter', 'remote monitoring', 'technology acceptance', 'technology acceptance model', 'user-centered design', 'vital signs', 'wearable devices', 'wearables']","Acceptance and User Experiences of a Wearable Device for the Management of Hospitalized Patients in COVID-19-Designated Wards in Ho Chi Minh City, Vietnam: Action Learning Project.","BACKGROUND: Wearable devices have been used extensively both inside and outside of the hospital setting. During the COVID-19 pandemic, in some contexts, there was an increased need to remotely monitor pulse and saturated oxygen for patients due to the lack of staff and bedside monitors. OBJECTIVE: A prototype of a remote monitoring system using wearable pulse oximeter devices was implemented at the Hospital for Tropical Diseases in Ho Chi Minh City, Vietnam, from August to December 2021. The aim of this work was to support the ongoing implementation of the remote monitoring system. METHODS: We used an action learning approach with rapid pragmatic methods, including informal discussions and observations as well as a feedback survey form designed based on the technology acceptance model to assess the use and acceptability of the system. Based on these results, we facilitated a meeting using user-centered design principles to explore user needs and ideas about its development in more detail. RESULTS: In total, 21 users filled in the feedback form. The mean technology acceptance model scores ranged from 3.5 (for perceived ease of use) to 4.4 (for attitude) with behavioral intention (3.8) and perceived usefulness (4.2) scoring in between. Those working as nurses scored higher on perceived usefulness, attitude, and behavioral intention than did physicians. Based on informal discussions, we realized there was a mismatch between how we (ie, the research team) and the ward teams perceived the use and wider purpose of the technology. CONCLUSIONS: Designing and implementing the devices to be more nurse-centric from their introduction could have helped to increase their efficiency and use during the complex pandemic period."
2023 Dec 2,NPJ digital medicine,NPJ Digit Med. 2023 Dec 2;6(1):226. doi: 10.1038/s41746-023-00952-2.,"['Liu, Fenglin', 'Zhu, Tingting', 'Wu, Xian', 'Yang, Bang', 'You, Chenyu', 'Wang, Chenyang', 'Lu, Lei', 'Liu, Zhangdaihong', 'Zheng, Yefeng', 'Sun, Xu', 'Yang, Yang', 'Clifton, Lei', 'Clifton, David A']",[],A medical multimodal large language model for future pandemics.,"Deep neural networks have been integrated into the whole clinical decision procedure which can improve the efficiency of diagnosis and alleviate the heavy workload of physicians. Since most neural networks are supervised, their performance heavily depends on the volume and quality of available labels. However, few such labels exist for rare diseases (e.g., new pandemics). Here we report a medical multimodal large language model (Med-MLLM) for radiograph representation learning, which can learn broad medical knowledge (e.g., image understanding, text semantics, and clinical phenotypes) from unlabelled data. As a result, when encountering a rare disease, our Med-MLLM can be rapidly deployed and easily adapted to them with limited labels. Furthermore, our model supports medical data across visual modality (e.g., chest X-ray and CT) and textual modality (e.g., medical report and free-text clinical note); therefore, it can be used for clinical tasks that involve both visual and textual data. We demonstrate the effectiveness of our Med-MLLM by showing how it would perform using the COVID-19 pandemic ""in replay"". In the retrospective setting, we test the model on the early COVID-19 datasets; and in the prospective setting, we test the model on the new variant COVID-19-Omicron. The experiments are conducted on 1) three kinds of input data; 2) three kinds of downstream tasks, including disease reporting, diagnosis, and prognosis; 3) five COVID-19 datasets; and 4) three different languages, including English, Chinese, and Spanish. All experiments show that our model can make accurate and robust COVID-19 decision-support with little labelled data."
2024 Jan 3,The American journal of tropical medicine and hygiene,Am J Trop Med Hyg. 2023 Nov 20;110(1):165-169. doi: 10.4269/ajtmh.23-0531. Print ,"['Hai, Ho Bich', 'Cattrall, Jonathan W S', 'Hao, Nguyen Van', 'Van, Hoang Minh Tu', 'Thuy, Duong Bich', 'Nhat, Phung Tran Huy', 'Khanh, Phan Nguyen Quoc', 'Duong, Ha Thi Hai', 'Duong, Tran Duc', 'Lu, Ping', 'Phuong, Le Thanh', 'Greeff, Heloise', 'Zhu, Tingting', 'Yen, Lam Minh', 'Clifton, David', 'Thwaites, C Louise']","['humans', 'heart rate physiology', ' tetanus diagnosis', 'electrocardiography, ambulatory', 'patient acuity', ' wearable electronic devices']",Heart Rate Variability Measured from Wearable Devices as a Marker of Disease Severity in Tetanus.,"Tetanus is a disease associated with significant morbidity and mortality. Heart rate variability (HRV) is an objective clinical marker with potential value in tetanus. This study aimed to investigate the use of wearable devices to collect HRV data and the relationship between HRV and tetanus severity. Data were collected from 110 patients admitted to the intensive care unit in a tertiary hospital in Vietnam. HRV indices were calculated from 5-minute segments of 24-hour electrocardiogram recordings collected using wearable devices. HRV was found to be inversely related to disease severity. The standard deviation of NN intervals and interquartile range of RR intervals (IRRR) were significantly associated with the presence of muscle spasms; low frequency (LF) and high frequency (HF) indices were significantly associated with severe respiratory compromise; and the standard deviation of differences between adjacent NN intervals, root mean square of successive differences between normal heartbeats, LF to HF ratio, total frequency power, and IRRR, were significantly associated with autonomic nervous system dysfunction. The findings support the potential value of HRV as a marker for tetanus severity, identifying specific indices associated with clinical severity thresholds. Data were recorded using wearable devices, demonstrating this approach in resource-limited settings where most tetanus occurs."
2023 Oct 21,Cardiovascular diabetology,Cardiovasc Diabetol. 2023 Oct 21;22(1):281. doi: 10.1186/s12933-023-02012-1.,"['Liu, Jin', 'Zhou, Yang', 'Huang, Haozhang', 'Liu, Rui', 'Kang, Yu', 'Zhu, Tingting', 'Wu, Jielan', 'Gao, Yuwei', 'Li, Yuqi', 'Wang, Chenyang', 'Chen, Shiqun', 'Xie, Nianjin', 'Zheng, Xueyan', 'Meng, Ruilin', 'Liu, Yong', 'Tan, Ning', 'Gao, Fei']","['humans', 'china epidemiology', 'east asian people', ' hyperglycemia', ' myocardial infarction complications diagnosis mortality therapy', 'prognosis', 'united states epidemiology', 'coronary artery disease', 'diabetes', 'mortality', 'stress hyperglycemia ratio']",Impact of stress hyperglycemia ratio on mortality in patients with critical acute myocardial infarction: insight from american MIMIC-IV and the chinese CIN-II study.,
2023 Nov,Nature medicine,Nat Med. 2023 Nov;29(11):2686-2687. doi: 10.1038/s41591-023-02540-z.,"['Youssef, Alexey', 'Pencina, Michael', 'Thakur, Anshul', 'Zhu, Tingting', 'Clifton, David', 'Shah, Nigam H']",[],External validation of AI models in health should be replaced with recurring local validation.,
