time,journal,doi_info,authors,key words,title,abstract
2024 Feb 8,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 8:2024.02.07.579368. doi: 10.1101/2024.02.07.579368.,"['Liu, Jiageng', 'Prahl, Louis S', 'Huang, Aria', 'Hughes, Alex J']",[],Measurement of adhesion and traction of cells at high yield (MATCHY) reveals an energetic ratchet driving nephron condensation.,"Engineering of embryonic strategies for tissue-building has extraordinary promise for regenerative medicine. This has led to a resurgence in interest in the relationship between cell biophysical properties and morphological transitions. However, mapping gene or protein expression data to cell biophysical properties to physical morphogenesis remains challenging with current techniques. Here we present MATCHY (multiplexed adhesion and traction of cells at high yield). MATCHY advances the multiplexing and throughput capabilities of existing traction force and cell-cell adhesion assays using microfabrication and an automated computation scheme with machine learning-driven cell segmentation. Both biophysical assays are coupled with serial downstream immunofluorescence to extract cell type/signaling state information. MATCHY is especially suited to complex primary tissue-, organoid-, or biopsy-derived cell mixtures since it does not rely on a priori knowledge of cell surface markers, cell sorting, or use of lineage-specific reporter animals. We first validate MATCHY on canine kidney epithelial cells engineered for RET tyrosine kinase expression and quantify a relationship between downstream signaling and cell traction. We go on to create a biophysical atlas of primary cells dissociated from the mouse embryonic kidney and use MATCHY to identify distinct biophysical states along the nephron differentiation trajectory. Our data complement expression-level knowledge of adhesion molecule changes that accompany nephron differentiation with quantitative biophysical information. These data reveal an 'energetic ratchet' that explains spatial nephron progenitor cell condensation from the niche as they differentiate, which we validate through agent-based computational simulation. MATCHY offers automated cell biophysical characterization at >10(4)-cell throughput, a highly enabling advance for fundamental studies and new synthetic tissue design strategies for regenerative medicine."
2024 Jan 13,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 13:2023.11.21.568157. doi: ,"['Davis, Sachin N', 'Grindel, Samuel H', 'Viola, John M', 'Liu, Grace Y', 'Liu, Jiageng', 'Qian, Grace', 'Porter, Catherine M', 'Hughes, Alex J']",[],Nephron progenitors rhythmically alternate between renewal and differentiation phases that synchronize with kidney branching morphogenesis.,"The mammalian kidney achieves massive parallelization of function by exponentially duplicating nephron-forming niches during development. Each niche caps a tip of the ureteric bud epithelium (the future urinary collecting duct tree) as it undergoes branching morphogenesis, while nephron progenitors within niches balance self-renewal and differentiation to early nephron cells. Nephron formation rate approximately matches branching rate over a large fraction of mouse gestation, yet the nature of this apparent pace-maker is unknown. Here we correlate spatial transcriptomics data with branching 'life-cycle' to discover rhythmically alternating signatures of nephron progenitor differentiation and renewal across Wnt, Hippo-Yap, retinoic acid (RA), and other pathways. We then find in human stem-cell derived nephron progenitor organoids that Wnt/β-catenin-induced differentiation is converted to a renewal signal when it temporally overlaps with YAP activation. Similar experiments using RA activation indicate a role in setting nephron progenitor exit from the naive state, the spatial extent of differentiation, and nephron segment bias. Together the data suggest that nephron progenitor interpretation of consistent Wnt/β-catenin differentiation signaling in the niche may be modified by rhythmic activity in ancillary pathways to set the pace of nephron formation. This would synchronize nephron formation with ureteric bud branching, which creates new sites for nephron condensation. Our data bring temporal resolution to the renewal vs. differentiation balance in the nephrogenic niche and inform new strategies to achieve self-sustaining nephron formation in synthetic human kidney tissues."
2023 Nov 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 10:2023.11.08.566308. doi: ,"['Viola, John M', 'Liu, Jiageng', 'Huang, Aria', 'Grindel, Samuel H', 'Prahl, Louis S', 'Hughes, Alex J']",[],Rho/ROCK activity tunes cell compartment segregation and differentiation in nephron-forming niches.,"Controlling the time and place of nephron formation in vitro would improve nephron density and connectivity in next-generation kidney replacement tissues. Recent developments in kidney organoid technology have paved the way to achieving self-sustaining nephrogenic niches in vitro. The physical and geometric structure of the niche are key control parameters in tissue engineering approaches. However, their relationship to nephron differentiation is unclear. Here we investigate the relationship between niche geometry, cell compartment mixing, and nephron differentiation by targeting the Rho/ROCK pathway, a master regulator of the actin cytoskeleton. We find that the ROCK inhibitor Y-27632 increases mixing between nephron progenitor and stromal compartments in native mouse embryonic kidney niches, and also increases nephrogenesis. Similar increases are also seen in reductionist mouse primary cell and human induced pluripotent stem cell (iPSC)-derived organoids perturbed by Y-27632, dependent on the presence of stromal cells. Our data indicate that niche organization is a determinant of nephron formation rate, bringing renewed focus to the spatial context of cell-cell interactions in kidney tissue engineering efforts."
2023 Dec 5,Analytical chemistry,Anal Chem. 2023 Dec 5;95(48):17894-17902. doi: 10.1021/acs.analchem.3c04130. Epub ,"['Alibekova Long, Mariia', 'Benman, William K J', 'Petrikas, Nathan', 'Bugaj, Lukasz J', 'Hughes, Alex J']","['collodion', ' proteins', 'antibodies', ' immunoconjugates', 'blotting, western', 'indicators and reagents']",Enhancing Single-Cell Western Blotting Sensitivity Using Diffusive Analyte Blotting and Antibody Conjugate Amplification.,"While there are many techniques to achieve highly sensitive, multiplex detection of RNA and DNA from single cells, detecting protein content often suffers from low limits of detection and throughput. Miniaturized, high-sensitivity Western blots on single cells (scWesterns) are attractive because they do not require advanced instrumentation. By physically separating analytes, scWesterns also uniquely mitigate limitations to target protein multiplexing posed by the affinity reagent performance. However, a fundamental limitation of scWesterns is their limited sensitivity for detecting low-abundance proteins, which arises from transport barriers posed by the separation gel against detection species. Here we address the sensitivity by decoupling the electrophoretic separation medium from the detection medium. We transfer scWestern separations to a nitrocellulose blotting medium with distinct mass transfer advantages over traditional in-gel probing, yielding a 5.9-fold improvement in the limit of detection. We next amplify probing of blotted proteins with enzyme-antibody conjugates, which are incompatible with traditional in-gel probing to achieve further improvement in the limit of detection to 1000 molecules, a 120-fold improvement. This enables us to detect 100% of cells in an EGFP-expressing population using fluorescently tagged and enzyme-conjugated antibodies compared to 84.5% of cells using in-gel detection. These results suggest the compatibility of nitrocellulose-immobilized scWesterns with a variety of affinity reagents─not previously accessible for in-gel use─for further signal amplification and detection of low-abundance targets."
2023 Oct 25,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Oct 25:2023.10.25.564017. doi: ,"['Porter, Catherine M', 'Qian, Grace C', 'Grindel, Samuel H', 'Hughes, Alex J']",[],Highly-parallel production of designer organoids by mosaic patterning of progenitors.,"Human organoids are a promising approach for disease modeling and regenerative medicine. However, organoid variability and limited control over morphological outcomes remain significant challenges. Here we extend a DNA 'velcro' cell patterning approach, precisely controlling the number and ratio of human stem cell-derived progenitors contributing to nephron and mosaic nephron/ureteric bud organoids within arrays of microwells. We demonstrate long-term control over organoid size and morphology, decoupled from geometric constraints."
2023 Jun 14,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jun 14:2023.06.13.544857. doi: ,"['Long, Mariia Alibekova', 'Benman, William', 'Petrikas, Nathan', 'Bugaj, Lukasz J', 'Hughes, Alex J']",[],Enhancing single-cell western blotting sensitivity using diffusive analyte blotting and antibody conjugate amplification.,"While there are many techniques to achieve highly sensitive, multiplex detection of RNA and DNA from single cells, detecting protein contents often suffers from low limits of detection and throughput. Miniaturized, high-sensitivity western blots on single cells (scWesterns) are attractive since they do not require advanced instrumentation. By physically separating analytes, scWesterns also uniquely mitigate limitations to target protein multiplexing posed by affinity reagent performance. However, a fundamental limitation of scWesterns is their limited sensitivity for detecting low-abundance proteins, which arises from transport barriers posed by the separation gel against detection species. Here we address sensitivity by decoupling the electrophoretic separation medium from the detection medium. We transfer scWestern separations to a nitrocellulose blotting medium with distinct mass transfer advantages over traditional in-gel probing, yielding a 5.9-fold improvement in limit of detection. We next amplify probing of blotted proteins with enzyme-antibody conjugates which are incompatible with traditional in-gel probing to achieve further improvement in the limit of detection to 10(3) molecules, a 520-fold improvement. This enables us to detect 85% and 100% of cells in an EGFP-expressing population using fluorescently tagged and enzyme-conjugated antibodies respectively, compared to 47% of cells using in-gel detection. These results suggest compatibility of nitrocellulose-immobilized scWesterns with a variety of affinity reagents - not previously accessible for in-gel use - for further signal amplification and detection of low abundance targets."
2023 May 19,iScience,iScience. 2023 Apr 11;26(5):106657. doi: 10.1016/j.isci.2023.106657. eCollection ,"['Prahl, Louis S', 'Porter, Catherine M', 'Liu, Jiageng', 'Viola, John M', 'Hughes, Alex J']","['bioengineering', 'cell biology', 'tissue engineering']",Independent control over cell patterning and adhesion on hydrogel substrates for tissue interface mechanobiology.,"Tissue boundaries and interfaces are engines of morphogenesis in vivo. However, despite a wealth of micropatterning approaches available to control tissue size, shape, and mechanical environment in vitro, fine-scale spatial control of cell positioning within tissue constructs remains an engineering challenge. To address this, we augment DNA ""velcro"" technology for selective patterning of ssDNA-labeled cells on mechanically defined photoactive polyacrylamide hydrogels. Hydrogels bearing photopatterned single-stranded DNA (ssDNA) features for cell capture are then co-functionalized with extracellular matrix (ECM) proteins to support subsequent adhesion of patterned tissues. ECM protein co-functionalization does not alter ssDNA pattern fidelity, cell capture, or hydrogel elastic stiffness. This approach enables mechanobiology studies and measurements of signaling activity at dynamic cell interfaces with precise initial patterning. Combining DNA velcro patterning and ECM functionalization provides independent control of initial cell placement, adhesion, and mechanics, constituting a new tool for studying biological interfaces and for programming multicellular interactions in engineered tissues."
2023 Jan 23,Developmental cell,Dev Cell. 2023 Jan 23;58(2):110-120.e5. doi: 10.1016/j.devcel.2022.12.008.,"['Prahl, Louis S', 'Viola, John M', 'Liu, Jiageng', 'Hughes, Alex J']","['mice', 'animals', ' kidney', 'epithelium', 'morphogenesis physiology', 'actomyosin', 'branching morphogenesis', 'epithelial tubules', 'geometric packing', 'kidney', 'organogenesis']",The developing murine kidney actively negotiates geometric packing conflicts to avoid defects.,"The physiological functions of several organs rely on branched epithelial tubule networks bearing specialized structures for secretion, gas exchange, or filtration. Little is known about conflicts in development between building enough tubules for adequate function and geometric constraints imposed by organ size. We show that the mouse embryonic kidney epithelium negotiates a physical packing conflict between increasing tubule tip numbers through branching and limited organ surface area. Through imaging of whole kidney explants, combined with computational and soft material modeling of tubule families, we identify six possible geometric packing phases, including two defective ones. Experiments in explants show that a radially oriented tension on tubule families is necessary and sufficient for them to switch to a vertical packing arrangement that increases surface tip density while avoiding defects. These results reveal developmental contingencies in response to physical limitations and create a framework for classifying congenital kidney defects."
2022 Dec,Annals of the New York Academy of Sciences,Ann N Y Acad Sci. 2022 Dec;1518(1):183-195. doi: 10.1111/nyas.14896. Epub 2022 ,"['Cable, Jennifer', 'Arlotta, Paola', 'Parker, Kevin Kit', 'Hughes, Alex J', 'Goodwin, Katharine', 'Mummery, Christine L', 'Kamm, Roger D', 'Engle, Sandra J', 'Tagle, Danilo A', 'Boj, Sylvia F', 'Stanton, Alice E', 'Morishita, Yoshihiro', 'Kemp, Melissa L', 'Norfleet, Dennis A', 'May, Elebeoba E', 'Lu, Aric', 'Bashir, Rashid', 'Feinberg, Adam W', 'Hull, Sarah M', 'Gonzalez, Anjelica L', 'Blatchley, Michael R', 'Montserrat Pulido, Núria', 'Morizane, Ryuji', 'McDevitt, Todd C', 'Mishra, Deepak', 'Mulero-Russe, Adriana']","['humans', ' organoids', ' engineering', 'tissue engineering', 'computational', 'engineered living', 'engineered organs', 'multicellular', 'systems']",Engineering multicellular living systems-a Keystone Symposia report.,"The ability to engineer complex multicellular systems has enormous potential to inform our understanding of biological processes and disease and alter the drug development process. Engineering living systems to emulate natural processes or to incorporate new functions relies on a detailed understanding of the biochemical, mechanical, and other cues between cells and between cells and their environment that result in the coordinated action of multicellular systems. On April 3-6, 2022, experts in the field met at the Keystone symposium ""Engineering Multicellular Living Systems"" to discuss recent advances in understanding how cells cooperate within a multicellular system, as well as recent efforts to engineer systems like organ-on-a-chip models, biological robots, and organoids. Given the similarities and common themes, this meeting was held in conjunction with the symposium ""Organoids as Tools for Fundamental Discovery and Translation""."
2022 Jul 20,Cell systems,Cell Syst. 2022 Jul 20;13(7):547-560.e3. doi: 10.1016/j.cels.2022.05.008. Epub ,"['Beck, Lauren E', 'Lee, Jasmine', 'Coté, Christopher', 'Dunagin, Margaret C', 'Lukonin, Ilya', 'Salla, Nikkita', 'Chang, Marcello K', 'Hughes, Alex J', 'Mornin, Joseph D', 'Gartner, Zev J', 'Liberali, Prisca', 'Raj, Arjun']","['animals', ' cysts', 'dogs', ' organoids', 'phenotype', 'design principles', 'morphology', 'organoids']",Systematically quantifying morphological features reveals constraints on organoid phenotypes.,"Organoids recapitulate complex 3D organ structures and represent a unique opportunity to probe the principles of self-organization. While we can alter an organoid's morphology by manipulating the culture conditions, the morphology of an organoid often resembles that of its original organ, suggesting that organoid morphologies are governed by a set of tissue-specific constraints. Here, we establish a framework to identify constraints on an organoid's morphological features by quantifying them from microscopy images of organoids exposed to a range of perturbations. We apply this framework to Madin-Darby canine kidney cysts and show that they obey a number of constraints taking the form of scaling relationships or caps on certain parameters. For example, we found that the number, but not size, of cells increases with increasing cyst size. We also find that these constraints vary with cyst age and can be altered by varying the culture conditions. We observed similar sets of constraints in intestinal organoids. This quantitative framework for identifying constraints on organoid morphologies may inform future efforts to engineer organoids."
