time,journal,doi_info,authors,key words,title,abstract
2024 Apr 5,eLife,Elife. 2024 Apr 5;12:RP91357. doi: 10.7554/eLife.91357.,"['Coté, Allison', ""O'Farrell, Aoife"", 'Dardani, Ian', 'Dunagin, Margaret', 'Coté, Chris', 'Wan, Yihan', 'Bayatpour, Sareh', 'Drexler, Heather L', 'Alexander, Katherine A', 'Chen, Fei', 'Wassie, Asmamaw T', 'Patel, Rohan', 'Pham, Kenneth', 'Boyden, Edward S', 'Berger, Shelly', 'Phillips-Cremins, Jennifer', 'Churchman, L Stirling', 'Raj, Arjun']","['animals', ' rna precursors genetics metabolism', ' transcription, genetic', 'rna splicing', 'rna, messenger genetics metabolism', 'rna', 'introns genetics', 'mammals genetics', 'chromosomes', 'expansion microscopy', 'gene expression', 'human', 'live-cell imaging', 'splicing']",Post-transcriptional splicing can occur in a slow-moving zone around the gene.,"Splicing is the stepwise molecular process by which introns are removed from pre-mRNA and exons are joined together to form mature mRNA sequences. The ordering and spatial distribution of these steps remain controversial, with opposing models suggesting splicing occurs either during or after transcription. We used single-molecule RNA FISH, expansion microscopy, and live-cell imaging to reveal the spatiotemporal distribution of nascent transcripts in mammalian cells. At super-resolution levels, we found that pre-mRNA formed clouds around the transcription site. These clouds indicate the existence of a transcription-site-proximal zone through which RNA move more slowly than in the nucleoplasm. Full-length pre-mRNA undergo continuous splicing as they move through this zone following transcription, suggesting a model in which splicing can occur post-transcriptionally but still within the proximity of the transcription site, thus seeming co-transcriptional by most assays. These results may unify conflicting reports of co-transcriptional versus post-transcriptional splicing."
2024 Jan 31,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jan 31:2024.01.31.578123. doi: ,"['Niu, Zijian', ""O'Farrell, Aoife"", 'Li, Jingxin', 'Reffsin, Sam', 'Jain, Naveen', 'Dardani, Ian', 'Goyal, Yogesh', 'Raj, Arjun']",[],Piscis: a novel loss estimator of the F1 score enables accurate spot detection in fluorescence microscopy images via deep learning.,"Single-molecule RNA fluorescence in situ hybridization (RNA FISH)-based spatial transcriptomics methods have enabled the accurate quantification of gene expression at single-cell resolution by visualizing transcripts as diffraction-limited spots. While these methods generally scale to large samples, image analysis remains challenging, often requiring manual parameter tuning. We present Piscis, a fully automatic deep learning algorithm for spot detection trained using a novel loss function, the SmoothF1 loss, that approximates the F1 score to directly penalize false positives and false negatives but remains differentiable and hence usable for training by deep learning approaches. Piscis was trained and tested on a diverse dataset composed of 358 manually annotated experimental RNA FISH images representing multiple cell types and 240 additional synthetic images. Piscis outperforms other state-of-the-art spot detection methods, enabling accurate, high-throughput analysis of RNA FISH-derived imaging data without the need for manual parameter tuning."
2024 Feb 21,Cell systems,Cell Syst. 2024 Feb 21;15(2):109-133.e10. doi: 10.1016/j.cels.2024.01.001. Epub ,"['Jain, Naveen', 'Goyal, Yogesh', 'Dunagin, Margaret C', 'Cote, Christopher J', 'Mellis, Ian A', 'Emert, Benjamin', 'Jiang, Connie L', 'Dardani, Ian P', 'Reffsin, Sam', 'Arnett, Miles', 'Yang, Wenli', 'Raj, Arjun']","['humans', ' cellular reprogramming', ' induced pluripotent stem cells metabolism', 'kruppel-like factor 4', 'retrospective studies', 'fibroblasts', 'cellular barcoding', 'ipsc reprogramming', 'lineage tracing', 'systems biology']",Retrospective identification of cell-intrinsic factors that mark pluripotency potential in rare somatic cells.,"Pluripotency can be induced in somatic cells by the expression of OCT4, KLF4, SOX2, and MYC. Usually only a rare subset of cells reprogram, and the molecular characteristics of this subset remain unknown. We apply retrospective clone tracing to identify and characterize the rare human fibroblasts primed for reprogramming. These fibroblasts showed markers of increased cell cycle speed and decreased fibroblast activation. Knockdown of a fibroblast activation factor identified by our analysis increased the reprogramming efficiency. We provide evidence for a unified model in which cells can move into and out of the primed state over time, explaining how reprogramming appears deterministic at short timescales and stochastic at long timescales. Furthermore, inhibiting the activity of LSD1 enlarged the pool of cells that were primed for reprogramming. Thus, even homogeneous cell populations can exhibit heritable molecular variability that can dictate whether individual rare cells will reprogram or not."
2023 Oct,Nature metabolism,Nat Metab. 2023 Oct;5(10):1691-1705. doi: 10.1038/s42255-023-00893-w. Epub 2023 ,"['Lundgren, Patrick', 'Sharma, Prateek V', 'Dohnalová, Lenka', 'Coleman, Kyle', 'Uhr, Giulia T', 'Kircher, Susanna', 'Litichevskiy, Lev', 'Bahnsen, Klaas', 'Descamps, Hélène C', 'Demetriadou, Christina', 'Chan, Jacqueline', 'Chellappa, Karthikeyani', 'Cox, Timothy O', 'Heyman, Yael', 'Pather, Sarshan R', 'Shoffler, Clarissa', 'Petucci, Christopher', 'Shalem, Ophir', 'Raj, Arjun', 'Baur, Joseph A', 'Snyder, Nathaniel W', 'Wellen, Kathryn E', 'Levy, Maayan', 'Seale, Patrick', 'Li, Mingyao', 'Thaiss, Christoph A']","[' adipocytes, brown metabolism', ' adipose tissue, brown metabolism', 'thermogenesis physiology']",A subpopulation of lipogenic brown adipocytes drives thermogenic memory.,"Sustained responses to transient environmental stimuli are important for survival. The mechanisms underlying long-term adaptations to temporary shifts in abiotic factors remain incompletely understood. Here, we find that transient cold exposure leads to sustained transcriptional and metabolic adaptations in brown adipose tissue, which improve thermogenic responses to secondary cold encounter. Primary thermogenic challenge triggers the delayed induction of a lipid biosynthesis programme even after cessation of the original stimulus, which protects from subsequent exposures. Single-nucleus RNA sequencing and spatial transcriptomics reveal that this response is driven by a lipogenic subpopulation of brown adipocytes localized along the perimeter of Ucp1(hi) adipocytes. This lipogenic programme is associated with the production of acylcarnitines, and supplementation of acylcarnitines is sufficient to recapitulate improved secondary cold responses. Overall, our data highlight the importance of heterogenous brown adipocyte populations for 'thermogenic memory', which may have therapeutic implications for leveraging short-term thermogenesis to counteract obesity."
2023 Sep 16,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Sep 16:2023.09.14.557228. doi: ,"['Alexander, Katherine A', 'Yu, Ruofan', 'Skuli, Nicolas', 'Coffey, Nathan J', 'Nguyen, Son', 'Faunce, Christine', 'Huang, Hua', 'Dardani, Ian P', 'Good, Austin L', 'Lim, Joan', 'Li, Catherine', 'Biddle, Nicholas', 'Joyce, Eric F', 'Raj, Arjun', 'Lee, Daniel', 'Keith, Brian', 'Simon, M Celeste', 'Berger, Shelley L']","['hif-2α', 'nuclear speckles', 'trex complex', 'cancer', 'chromatin organization', 'clear cell renal cell carcinoma', 'gene expression', 'speckle targeting motif']",Nuclear speckles regulate HIF-2α programs and correlate with patient survival in kidney cancer.,"Nuclear speckles are membrane-less bodies within the cell nucleus enriched in RNA biogenesis, processing, and export factors. In this study we investigated speckle phenotype variation in human cancer, finding a reproducible speckle signature, based on RNA expression of speckle-resident proteins, across >20 cancer types. Of these, clear cell renal cell carcinoma (ccRCC) exhibited a clear correlation between the presence of this speckle expression signature, imaging-based speckle phenotype, and clinical outcomes. ccRCC is typified by hyperactivation of the HIF-2α transcription factor, and we demonstrate here that HIF-2α drives physical association of a select subset of its target genes with nuclear speckles. Disruption of HIF-2α-driven speckle association via deletion of its speckle targeting motifs (STMs)-defined in this study-led to defective induction of speckle-associating HIF-2α target genes without impacting non-speckle-associating HIF-2α target genes. We further identify the RNA export complex, TREX, as being specifically altered in speckle signature, and knockdown of key TREX component, ALYREF, also compromises speckle-associated gene expression. By integrating tissue culture functional studies with tumor genomic and imaging analysis, we show that HIF-2α gene regulatory programs are impacted by specific manipulation of speckle phenotype and by abrogation of speckle targeting abilities of HIF-2α. These findings suggest that, in ccRCC, a key biological function of nuclear speckles is to modulate expression of a specific subset of HIF-2α-regulated target genes that, in turn, influence patient outcomes. We also identify STMs in other transcription factors, suggesting that DNA-speckle targeting may be a general mechanism of gene regulation."
2023 Aug,Nature,Nature. 2023 Aug;620(7974):651-659. doi: 10.1038/s41586-023-06342-8. Epub 2023 ,"['Goyal, Yogesh', 'Busch, Gianna T', 'Pillai, Maalavika', 'Li, Jingxin', 'Boe, Ryan H', 'Grody, Emanuelle I', 'Chelvanambi, Manoj', 'Dardani, Ian P', 'Emert, Benjamin', 'Bodkin, Nicholas', 'Braun, Jonas', 'Fingerman, Dylan', 'Kaur, Amanpreet', 'Jain, Naveen', 'Ravindran, Pavithran T', 'Mellis, Ian A', 'Kiani, Karun', 'Alicea, Gretchen M', 'Fane, Mitchell E', 'Ahmed, Syeda Subia', 'Li, Haiyin', 'Chen, Yeqing', 'Chai, Cedric', 'Kaster, Jessica', 'Witt, Russell G', 'Lazcano, Rossana', 'Ingram, Davis R', 'Johnson, Sarah B', 'Wani, Khalida', 'Dunagin, Margaret C', 'Lazar, Alexander J', 'Weeraratna, Ashani T', 'Wargo, Jennifer A', 'Herlyn, Meenhard', 'Raj, Arjun']","['humans', ' clone cells drug effects metabolism pathology', 'dna barcoding, taxonomic', ' drug resistance, neoplasm drug effects genetics', ' neoplasms drug therapy genetics pathology', 'rna-seq', 'single-cell gene expression analysis', 'tumor cells, cultured', ' antineoplastic agents pharmacology']",Diverse clonal fates emerge upon drug treatment of homogeneous cancer cells.,"Even among genetically identical cancer cells, resistance to therapy frequently emerges from a small subset of those cells(1-7). Molecular differences in rare individual cells in the initial population enable certain cells to become resistant to therapy(7-9); however, comparatively little is known about the variability in the resistance outcomes. Here we develop and apply FateMap, a framework that combines DNA barcoding with single-cell RNA sequencing, to reveal the fates of hundreds of thousands of clones exposed to anti-cancer therapies. We show that resistant clones emerging from single-cell-derived cancer cells adopt molecularly, morphologically and functionally distinct resistant types. These resistant types are largely predetermined by molecular differences between cells before drug addition and not by extrinsic factors. Changes in the dose and type of drug can switch the resistant type of an initial cell, resulting in the generation and elimination of certain resistant types. Samples from patients show evidence for the existence of these resistant types in a clinical context. We observed diversity in resistant types across several single-cell-derived cancer cell lines and cell types treated with a variety of drugs. The diversity of resistant types as a result of the variability in intrinsic cell states may be a generic feature of responses to external cues."
2023 Jul 7,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 7:2023.07.06.547955. doi: 10.1101/2023.07.06.547955.,"['Reffsin, Sam', 'Miller, Jesse', 'Ayyanathan, Kasirajan', 'Dunagin, Margaret C', 'Jain, Naveen', 'Schultz, David C', 'Cherry, Sara', 'Raj, Arjun']",[],Single cell susceptibility to SARS-CoV-2 infection is driven by variable cell states.,"The ability of a virus to infect a cell type is at least in part determined by the presence of host factors required for the viral life cycle. However, even within cell types that express known factors needed for infection, not every cell is equally susceptible, suggesting that our knowledge of the full spectrum of factors that promote infection is incomplete. Profiling the most susceptible subsets of cells within a population may reveal additional factors that promote infection. However, because viral infection dramatically alters the state of the cell, new approaches are needed to reveal the state of these cells prior to infection with virus. Here, we used single-cell clone tracing to retrospectively identify and characterize lung epithelial cells that are highly susceptible to infection with SARS-CoV-2. The transcriptional state of these highly susceptible cells includes markers of retinoic acid signaling and epithelial differentiation. Loss of candidate factors identified by our approach revealed that many of these factors play roles in viral entry. Moreover, a subset of these factors exert control over the infectable cell state itself, regulating the expression of key factors associated with viral infection and entry. Analysis of patient samples revealed the heterogeneous expression of these factors across both cells and patients in vivo. Further, the expression of these factors is upregulated in particular inflammatory pathologies. Altogether, our results show that the variable expression of intrinsic cell states is a major determinant of whether a cell can be infected by SARS-CoV-2."
2023 Feb 8,Cell genomics,Cell Genom. 2023 Jan 12;3(2):100247. doi: 10.1016/j.xgen.2022.100247. eCollection ,"['Richman, Lee P', 'Goyal, Yogesh', 'Jiang, Connie L', 'Raj, Arjun']","['bioinformatics', 'clonality', 'clustering', 'lineage tracing', 'single cell']",ClonoCluster: A method for using clonal origin to inform transcriptome clustering.,"Clustering cells based on their high-dimensional profiles is an important data reduction process by which researchers infer distinct cellular states. The advent of cellular barcoding, however, provides an alternative means by which to group cells: by their clonal origin. We developed ClonoCluster, a computational method that combines both clone and transcriptome information to create hybrid clusters that weight both kinds of data with a tunable parameter. We generated hybrid clusters across six independent datasets and found that ClonoCluster generated qualitatively different clusters in all cases. The markers of these hybrid clusters were different but had equivalent fidelity to transcriptome-only clusters. The genes most strongly associated with the rearrangements in hybrid clusters were ribosomal function and extracellular matrix genes. We also developed the complementary tool Warp Factor that incorporates clone information in popular 2D visualization techniques like UMAP. Integrating ClonoCluster and Warp Factor revealed biologically relevant markers of cell identity."
2023 Feb 10,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Feb 10:2023.02.10.527870. doi: ,"['Jain, Naveen', 'Goyal, Yogesh', 'Dunagin, Margaret C', 'Cote, Christopher J', 'Mellis, Ian A', 'Emert, Benjamin', 'Jiang, Connie L', 'Dardani, Ian P', 'Reffsin, Sam', 'Raj, Arjun']",[],Retrospective identification of intrinsic factors that mark pluripotency potential in rare somatic cells.,"Pluripotency can be induced in somatic cells by the expression of the four ""Yamanaka"" factors OCT4, KLF4, SOX2, and MYC. However, even in homogeneous conditions, usually only a rare subset of cells admit reprogramming, and the molecular characteristics of this subset remain unknown. Here, we apply retrospective clone tracing to identify and characterize the individual human fibroblast cells that are primed for reprogramming. These fibroblasts showed markers of increased cell cycle speed and decreased fibroblast activation. Knockdown of a fibroblast activation factor identified by our analysis led to increased reprogramming efficiency, identifying it as a barrier to reprogramming. Changing the frequency of reprogramming by inhibiting the activity of LSD1 led to an enlarging of the pool of cells that were primed for reprogramming. Our results show that even homogeneous cell populations can exhibit heritable molecular variability that can dictate whether individual rare cells will reprogram or not."
2022 Dec 21,Cell systems,Cell Syst. 2022 Dec 21;13(12):1016-1032.e6. doi: 10.1016/j.cels.2022.10.008. Epub ,"['Boe, Ryan H', 'Ayyappan, Vinay', 'Schuh, Lea', 'Raj, Arjun']","['animals', ' gene regulatory networks genetics', 'alleles', ' signal transduction genetics', 'mammals', 'allelic correlation', 'network modeling', 'noise transmission', 'signal processing', 'transcriptional noise']",Allelic correlation is a marker of trade-offs between barriers to transmission of expression variability and signal responsiveness in genetic networks.,"Genetic networks should respond to signals but prevent the transmission of spontaneous fluctuations. Limited data from mammalian cells suggest that noise transmission is uncommon, but systematic claims about noise transmission have been limited by the inability to directly measure it. Here, we build a mathematical framework modeling allelic correlation and noise transmission, showing that allelic correlation and noise transmission correspond across model parameters and network architectures. Limiting noise transmission comes with the trade-off of being unresponsive to signals, and within responsive regimes, there is a further trade-off between response time and basal noise transmission. Analysis of allele-specific single-cell RNA-sequencing data revealed that genes encoding upstream factors in signaling pathways and cell-type-specific factors have higher allelic correlation than downstream factors, suggesting they are more subject to regulation. Overall, our findings suggest that some noise transmission must result from signal responsiveness, but it can be minimized by trading off for a slower response. A record of this paper's transparent peer review process is included in the supplemental information."
