time,journal,doi_info,authors,key words,title,abstract
2024 Mar 26,Family process,Fam Process. 2024 Mar 26. doi: 10.1111/famp.12995.,"['Wang, Xinyi', 'McGowan, Amanda L', 'Fosco, Gregory M', 'Falk, Emily B', 'Bassett, Dani S', 'Lydon-Staley, David M']","['daily diary', 'emotion', 'experience‐sampling', 'family conflict', 'networks']",A socioemotional network perspective on momentary experiences of family conflict in young adults.,"Family conflict is an established predictor of psychopathology in youth. Traditional approaches focus on between-family differences in conflict. Daily fluctuations in conflict within families might also impact psychopathology, but more research is needed to understand how and why. Using 21 days of daily diary data and 6-times a day experience-sampling data (N = 77 participants; mean age = 21.18, SD = 1.75; 63 women, 14 men), we captured day-to-day and within-day fluctuations in family conflict, anger, anxiety, and sadness. Using multilevel models, we find that days of higher-than-usual anger are also days of higher-than-usual family conflict. Examining associations between family conflict and emotions within days, we find that moments of higher-than-usual anger predict higher-than-usual family conflict later in the day. We observe substantial between-family differences in these patterns with implications for psychopathology; youth showing the substantial interplay between family conflict and emotions across time had a more perseverative family conflict and greater trait anxiety. Overall, findings indicate the importance of increases in youth anger for experiences of family conflict during young adulthood and demonstrate how intensive repeated measures coupled with network analytic approaches can capture long-theorized notions of reciprocal processes in daily family life."
2023 Feb,"Social development (Oxford, England)",Soc Dev. 2023 Feb;32(1):263-282. doi: 10.1111/sode.12637. Epub 2022 Sep 13.,"['Mak, Hio Wa', 'Lydon-Staley, David M', 'Lunkenheimer, Erika', 'Lai, Mark H C', 'Fosco, Gregory M']","['emotion socialization', 'daily diary', 'emotion dynamics', 'friends', 'parents']",The roles of caregivers and friends in adolescent daily emotion dynamics.,"Daily emotion dynamics provide valuable information about individuals' emotion processes as they go about their lives. Emotion dynamics such as emotion levels (mean), emotion variability (degree of fluctuation), and emotion network density (strength of temporal connections among emotions) are associated with risks for various psychopathology in youth and adults. Prior work has shown that caregivers and friends play crucial socializing roles in adolescent emotional well-being, but less is known about their roles in daily emotion dynamics. This study examined whether caregiver emotion coaching, caregiver-adolescent closeness, and friendship quality were associated with adolescents' emotion levels, emotion variability, and emotion network density. Further, we examined whether caregiver-adolescent closeness moderated the associations between coaching and emotion dynamics. Participants were 150 adolescents (61% girls; M(age) = 14.75) and one of their caregivers (95% female; M(age) = 43.35) who completed a baseline survey and 21 daily surveys. Results showed that caregiver emotion coaching interacted with caregiver-adolescent closeness in predicting emotion levels and variability. Specifically, when closeness was higher, emotion coaching was significantly associated with lower sadness and anger levels, higher happiness levels, and lower happiness variability. Caregiver emotion coaching, independent of closeness, was also associated with lower anxiety levels, lower sadness variability, and lower emotion network density. Friendship quality was significantly associated with lower levels of sadness, anxiety, and anger, higher levels of happiness, and lower variability in anxiety and anger. These findings suggest that caregivers and friends are central to everyday emotion levels and variability and a more flexible emotion system in adolescents."
2023 Jan-Feb,Psychological bulletin,Psychol Bull. 2023 Jan-Feb;149(1-2):1-24. doi: 10.1037/bul0000387.,"['Dora, Jonas', 'Piccirillo, Marilyn', 'Foster, Katherine T', 'Arbeau, Kelly', 'Armeli, Stephen', 'Auriacombe, Marc', 'Bartholow, Bruce', 'Beltz, Adriene M', 'Blumenstock, Shari M', 'Bold, Krysten', 'Bonar, Erin E', 'Braitman, Abby', 'Carpenter, Ryan W', 'Creswell, Kasey G', 'De Hart, Tracy', 'Dvorak, Robert D', 'Emery, Noah', 'Enkema, Matthew', 'Fairbairn, Catharine', 'Fairlie, Anne M', 'Ferguson, Stuart G', 'Freire, Teresa', 'Goodman, Fallon', 'Gottfredson, Nisha', 'Halvorson, Max', 'Haroon, Maleeha', 'Howard, Andrea L', 'Hussong, Andrea', 'Jackson, Kristina M', 'Jenzer, Tiffany', 'Kelly, Dominic P', 'Kuczynski, Adam M', 'Kuerbis, Alexis', 'Lee, Christine M', 'Lewis, Melissa', 'Linden-Carmichael, Ashley N', 'Littlefield, Andrew', 'Lydon-Staley, David M', 'Merrill, Jennifer E', 'Miranda, Robert Jr', 'Mohr, Cynthia', 'Read, Jennifer P', 'Richardson, Clarissa', ""O'Connor, Roisin"", ""O'Malley, Stephanie S"", 'Papp, Lauren', 'Piasecki, Thomas M', 'Sacco, Paul', 'Scaglione, Nichole', 'Serre, Fuschia', 'Shadur, Julia', 'Sher, Kenneth J', 'Shoda, Yuichi', 'Simpson, Tracy L', 'Smith, Michele R', 'Stevens, Angela', 'Stevenson, Brittany', 'Tennen, Howard', 'Todd, Michael', 'Treloar Padovano, Hayley', 'Trull, Timothy', 'Waddell, Jack', 'Walukevich-Dienst, Katherine', 'Witkiewitz, Katie', 'Wray, Tyler', 'Wright, Aidan G C', 'Wycoff, Andrea M', 'King, Kevin M']","['humans', ' affect physiology', ' alcohol drinking epidemiology psychology', 'motivation', 'ecological momentary assessment', 'surveys and questionnaires', 'affect', 'alcohol use', 'drinking motives', 'emotion', 'meta-analysis']",The daily association between affect and alcohol use: A meta-analysis of individual participant data.,"Influential psychological theories hypothesize that people consume alcohol in response to the experience of both negative and positive emotions. Despite two decades of daily diary and ecological momentary assessment research, it remains unclear whether people consume more alcohol on days they experience higher negative and positive affect in everyday life. In this preregistered meta-analysis, we synthesized the evidence for these daily associations between affect and alcohol use. We included individual participant data from 69 studies (N = 12,394), which used daily and momentary surveys to assess affect and the number of alcoholic drinks consumed. Results indicate that people are not more likely to drink on days they experience high negative affect, but are more likely to drink and drink heavily on days high in positive affect. People self-reporting a motivational tendency to drink-to-cope and drink-to-enhance consumed more alcohol, but not on days they experienced higher negative and positive affect. Results were robust across different operationalizations of affect, study designs, study populations, and individual characteristics. These findings challenge the long-held belief that people drink more alcohol following increases in negative affect. Integrating these findings under different theoretical models and limitations of this field of research, we collectively propose an agenda for future research to explore open questions surrounding affect and alcohol use."
2023 Jul 25,Scientific reports,Sci Rep. 2023 Jul 25;13(1):12045. doi: 10.1038/s41598-023-38478-y.,"['Jovanova, Mia', 'Cosme, Danielle', 'Doré, Bruce', 'Kang, Yoona', 'Stanoi, Ovidia', 'Cooper, Nicole', 'Helion, Chelsea', 'Lomax, Silicia', 'McGowan, Amanda L', 'Boyd, Zachary M', 'Bassett, Dani S', 'Mucha, Peter J', 'Ochsner, Kevin N', 'Lydon-Staley, David M', 'Falk, Emily B']","['humans', 'young adult', 'alcohol drinking prevention & control psychology', ' alcoholism prevention & control psychology', ' covid-19 epidemiology prevention & control', 'pandemics', 'psychological distance']",Psychological distance intervention reminders reduce alcohol consumption frequency in daily life.,"Modifying behaviors, such as alcohol consumption, is difficult. Creating psychological distance between unhealthy triggers and one's present experience can encourage change. Using two multisite, randomized experiments, we examine whether theory-driven strategies to create psychological distance-mindfulness and perspective-taking-can change drinking behaviors among young adults without alcohol dependence via a 28-day smartphone intervention (Study 1, N = 108 participants, 5492 observations; Study 2, N = 218 participants, 9994 observations). Study 2 presents a close replication with a fully remote delivery during the COVID-19 pandemic. During weeks when they received twice-a-day intervention reminders, individuals in the distancing interventions reported drinking less frequently than on control weeks-directionally in Study 1, and significantly in Study 2. Intervention reminders reduced drinking frequency but did not impact amount. We find that smartphone-based mindfulness and perspective-taking interventions, aimed to create psychological distance, can change behavior. This approach requires repeated reminders, which can be delivered via smartphones."
2023 Aug,Molecular psychiatry,Mol Psychiatry. 2023 Aug;28(8):3314-3323. doi: 10.1038/s41380-023-02121-z. Epub ,"['Mahadevan, Arun S', 'Cornblath, Eli J', 'Lydon-Staley, David M', 'Zhou, Dale', 'Parkes, Linden', 'Larsen, Bart', 'Adebimpe, Azeez', 'Kahn, Ari E', 'Gur, Ruben C', 'Gur, Raquel E', 'Satterthwaite, Theodore D', 'Wolf, Daniel H', 'Bassett, Dani S']","['humans', ' schizophrenia drug therapy', 'alprazolam pharmacology', 'emotions', 'brain', 'amygdala', 'brain mapping', 'magnetic resonance imaging']",Alprazolam modulates persistence energy during emotion processing in first-degree relatives of individuals with schizophrenia: a network control study.,"Schizophrenia is marked by deficits in facial affect processing associated with abnormalities in GABAergic circuitry, deficits also found in first-degree relatives. Facial affect processing involves a distributed network of brain regions including limbic regions like amygdala and visual processing areas like fusiform cortex. Pharmacological modulation of GABAergic circuitry using benzodiazepines like alprazolam can be useful for studying this facial affect processing network and associated GABAergic abnormalities in schizophrenia. Here, we use pharmacological modulation and computational modeling to study the contribution of GABAergic abnormalities toward emotion processing deficits in schizophrenia. Specifically, we apply principles from network control theory to model persistence energy - the control energy required to maintain brain activation states - during emotion identification and recall tasks, with and without administration of alprazolam, in a sample of first-degree relatives and healthy controls. Here, persistence energy quantifies the magnitude of theoretical external inputs during the task. We find that alprazolam increases persistence energy in relatives but not in controls during threatening face processing, suggesting a compensatory mechanism given the relative absence of behavioral abnormalities in this sample of unaffected relatives. Further, we demonstrate that regions in the fusiform and occipital cortices are important for facilitating state transitions during facial affect processing. Finally, we uncover spatial relationships (i) between regional variation in differential control energy (alprazolam versus placebo) and (ii) both serotonin and dopamine neurotransmitter systems, indicating that alprazolam may exert its effects by altering neuromodulatory systems. Together, these findings provide a new perspective on the distributed emotion processing network and the effect of GABAergic modulation on this network, in addition to identifying an association between schizophrenia risk and abnormal GABAergic effects on persistence energy during threat processing."
2023,Brain communications,Brain Commun. 2023 May 3;5(3):fcad143. doi: 10.1093/braincomms/fcad143. ,"['von Schwanenflug, Nina', 'Koch, Stefan P', 'Krohn, Stephan', 'Broeders, Tommy A A', 'Lydon-Staley, David M', 'Bassett, Dani S', 'Schoonheim, Menno M', 'Paul, Friedemann', 'Finke, Carsten']","['edss', 'functional reorganization', 'temporal core–periphery', 'time-varying functional connectivity']",Increased flexibility of brain dynamics in patients with multiple sclerosis.,"Patients with multiple sclerosis consistently show widespread changes in functional connectivity. Yet, alterations are heterogeneous across studies, underscoring the complexity of functional reorganization in multiple sclerosis. Here, we aim to provide new insights by applying a time-resolved graph-analytical framework to identify a clinically relevant pattern of dynamic functional connectivity reconfigurations in multiple sclerosis. Resting-state data from 75 patients with multiple sclerosis (N = 75, female:male ratio of 3:2, median age: 42.0 ± 11.0 years, median disease duration: 6 ± 11.4 years) and 75 age- and sex-matched controls (N = 75, female:male ratio of 3:2, median age: 40.2 ± 11.8 years) were analysed using multilayer community detection. Local, resting-state functional system and global levels of dynamic functional connectivity reconfiguration were characterized using graph-theoretical measures including flexibility, promiscuity, cohesion, disjointedness and entropy. Moreover, we quantified hypo- and hyper-flexibility of brain regions and derived the flexibility reorganization index as a summary measure of whole-brain reorganization. Lastly, we explored the relationship between clinical disability and altered functional dynamics. Significant increases in global flexibility (t = 2.38, P(FDR) = 0.024), promiscuity (t = 1.94, P(FDR) = 0.038), entropy (t = 2.17, P(FDR) = 0.027) and cohesion (t = 2.45, P(FDR) = 0.024) were observed in patients and were driven by pericentral, limbic and subcortical regions. Importantly, these graph metrics were correlated with clinical disability such that greater reconfiguration dynamics tracked greater disability. Moreover, patients demonstrate a systematic shift in flexibility from sensorimotor areas to transmodal areas, with the most pronounced increases located in regions with generally low dynamics in controls. Together, these findings reveal a hyperflexible reorganization of brain activity in multiple sclerosis that clusters in pericentral, subcortical and limbic areas. This functional reorganization was linked to clinical disability, providing new evidence that alterations of multilayer temporal dynamics play a role in the manifestation of multiple sclerosis."
2023,Communication methods and measures,Commun Methods Meas. 2023;17(1):59-82. doi: 10.1080/19312458.2023.2167197. Epub ,"['Brinberg, Miriam', 'Lydon-Staley, David M']","['communication processes', 'communication theory', 'dynamics', 'intensive longitudinal data', 'longitudinal analyses']",Conceptualizing and Examining Change in Communication Research.,"Communication research often focuses on processes of communication, such as how messages impact individuals over time or how interpersonal relationships develop and change. Despite their importance, these change processes are often implicit in much theoretical and empirical work in communication. Intensive longitudinal data are becoming increasingly feasible to collect and, when coupled with appropriate analytic frameworks, enable researchers to better explore and articulate the types of change underlying communication processes. To facilitate the study of change processes, we (a) describe advances in data collection and analytic methods that allow researchers to articulate complex change processes of phenomena in communication research, (b) provide an overview of change processes and how they may be captured with intensive longitudinal methods, and (c) discuss considerations of capturing change when designing and implementing studies. We are excited about the future of studying processes of change in communication research, and we look forward to the iterations between empirical tests and theory revision that will occur as researchers delve into studying change within communication processes."
2023 Apr 15,Biological psychiatry,Biol Psychiatry. 2023 Apr 15;93(8):681-689. doi: 10.1016/j.biopsych.2022.12.012. ,"['McGowan, Amanda L', 'Sayed, Farah', 'Boyd, Zachary M', 'Jovanova, Mia', 'Kang, Yoona', 'Speer, Megan E', 'Cosme, Danielle', 'Mucha, Peter J', 'Ochsner, Kevin N', 'Bassett, Dani S', 'Falk, Emily B', 'Lydon-Staley, David M']","['humans', ' smartphone', 'psychopathology', 'brain diagnostic imaging', ' psychiatry', 'ambulatory assessment', 'experience sampling', 'magnetic resonance imaging', 'network analysis']",Dense Sampling Approaches for Psychiatry Research: Combining Scanners and Smartphones.,"Together, data from brain scanners and smartphones have sufficient coverage of biology, psychology, and environment to articulate between-person differences in the interplay within and across biological, psychological, and environmental systems thought to underlie psychopathology. An important next step is to develop frameworks that combine these two modalities in ways that leverage their coverage across layers of human experience to have maximum impact on our understanding and treatment of psychopathology. We review literature published in the last 3 years highlighting how scanners and smartphones have been combined to date, outline and discuss the strengths and weaknesses of existing approaches, and sketch a network science framework heretofore underrepresented in work combining scanners and smartphones that can push forward our understanding of health and disease."
2023 Feb-Mar 01,Psychosomatic medicine,Psychosom Med. 2023 Feb-Mar 01;85(2):141-153. doi: 10.1097/PSY.0000000000001159. ,"['McGowan, Amanda L', 'Boyd, Zachary M', 'Kang, Yoona', 'Bennett, Logan', 'Mucha, Peter J', 'Ochsner, Kevin N', 'Bassett, Dani S', 'Falk, Emily B', 'Lydon-Staley, David M']","['young adult', 'humans', 'self report', ' emotions', ' sleep', 'exercise', 'students']","Within-Person Temporal Associations Among Self-Reported Physical Activity, Sleep, and Well-Being in College Students.","OBJECTIVE: A holistic understanding of the naturalistic dynamics among physical activity, sleep, emotions, and purpose in life as part of a system reflecting wellness is key to promoting well-being. The main aim of this study was to examine the day-to-day dynamics within this wellness system. METHODS: Using self-reported emotions (happiness, sadness, anger, anxiousness) and physical activity periods collected twice per day, and daily reports of sleep and purpose in life via smartphone experience sampling, more than 28 days as college students ( n = 226 young adults; mean [standard deviation] = 20.2 [1.7] years) went about their daily lives, we examined day-to-day temporal and contemporaneous dynamics using multilevel vector autoregressive models that consider the network of wellness together. RESULTS: Network analyses revealed that higher physical activity on a given day predicted an increase of happiness the next day. Higher sleep quality on a given night predicted a decrease in negative emotions the next day, and higher purpose in life predicted decreased negative emotions up to 2 days later. Nodes with the highest centrality were sadness, anxiety, and happiness in the temporal network and purpose in life, anxiety, and anger in the contemporaneous network. CONCLUSIONS: Although the effects of sleep and physical activity on emotions and purpose in life may be shorter term, a sense of purpose in life is a critical component of wellness that can have slightly longer effects, bleeding into the next few days. High-arousal emotions and purpose in life are central to motivating people into action, which can lead to behavior change."
2023 Jan 10,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Jan 10;120(2):e2201074119. doi: ,"['Zhou, Dale', 'Kang, Yoona', 'Cosme, Danielle', 'Jovanova, Mia', 'He, Xiaosong', 'Mahadevan, Arun', 'Ahn, Jeesung', 'Stanoi, Ovidia', 'Brynildsen, Julia K', 'Cooper, Nicole', 'Cornblath, Eli J', 'Parkes, Linden', 'Mucha, Peter J', 'Ochsner, Kevin N', 'Lydon-Staley, David M', 'Falk, Emily B', 'Bassett, Dani S']","['humans', ' mindfulness', 'attention physiology', 'brain diagnostic imaging', 'craving', ' self-control', 'brain network dynamics', 'mindfulness', 'network control theory', 'neural intrinsic timescale']",Mindful attention promotes control of brain network dynamics for self-regulation and discontinues the past from the present.,"Mindful attention is characterized by acknowledging the present experience as a transient mental event. Early stages of mindfulness practice may require greater neural effort for later efficiency. Early effort may self-regulate behavior and focalize the present, but this understanding lacks a computational explanation. Here we used network control theory as a model of how external control inputs-operationalizing effort-distribute changes in neural activity evoked during mindful attention across the white matter network. We hypothesized that individuals with greater network controllability, thereby efficiently distributing control inputs, effectively self-regulate behavior. We further hypothesized that brain regions that utilize greater control input exhibit shorter intrinsic timescales of neural activity. Shorter timescales characterize quickly discontinuing past processing to focalize the present. We tested these hypotheses in a randomized controlled study that primed participants to either mindfully respond or naturally react to alcohol cues during fMRI and administered text reminders and measurements of alcohol consumption during 4 wk postscan. We found that participants with greater network controllability moderated alcohol consumption. Mindful regulation of alcohol cues, compared to one's own natural reactions, reduced craving, but craving did not differ from the baseline group. Mindful regulation of alcohol cues, compared to the natural reactions of the baseline group, involved more-effortful control of neural dynamics across cognitive control and attention subnetworks. This effort persisted in the natural reactions of the mindful group compared to the baseline group. More-effortful neural states had shorter timescales than less effortful states, offering an explanation for how mindful attention promotes being present."
