time,journal,doi_info,authors,key words,title,abstract
2024 Feb 27,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 27:2024.02.27.582395. doi: ,"['Chandrashekar, Harshini', 'Simandi, Zoltan', 'Choi, Heesun', 'Ryu, Han-Seul', 'Waldman, Abraham J', 'Nikish, Alexandria', 'Muppidi, Srikar S', 'Gong, Wanfeng', 'Paquet, Dominik', 'Phillips-Cremins, Jennifer E']",[],A multi-looping chromatin signature predicts dysregulated gene expression in neurons with familial Alzheimer's disease mutations.,"Mammalian genomes fold into tens of thousands of long-range loops, but their functional role and physiologic relevance remain poorly understood. Here, using human post-mitotic neurons with rare familial Alzheimer's disease (FAD) mutations, we identify hundreds of reproducibly dysregulated genes and thousands of miswired loops prior to amyloid accumulation and tau phosphorylation. Single loops do not predict expression changes; however, the severity and direction of change in mRNA levels and single-cell burst frequency strongly correlate with the number of FAD-gained or -lost promoter-enhancer loops. Classic architectural proteins CTCF and cohesin do not change occupancy in FAD-mutant neurons. Instead, we unexpectedly find TAATTA motifs amenable to binding by DLX homeodomain transcription factors and changing noncoding RNAPolII signal at FAD-dynamic promoter-enhancer loops. DLX1/5/6 mRNA levels are strongly upregulated in FAD-mutant neurons coincident with a shift in excitatory-to-inhibitory gene expression and miswiring of multi-loops connecting enhancers to neural subtype genes. DLX1 overexpression is sufficient for loop miswiring in wildtype neurons, including lost and gained loops at enhancers with tandem TAATTA arrays and singular TAATTA motifs, respectively. Our data uncover a genome structure-function relationship between multi-loop miswiring and dysregulated excitatory and inhibitory transcriptional programs during lineage commitment of human neurons homozygously-engineered with rare FAD mutations."
2023 Dec 21,Cell,Cell. 2023 Dec 21;186(26):5840-5858.e36. doi: 10.1016/j.cell.2023.11.019.,"['Malachowski, Thomas', 'Chandradoss, Keerthivasan Raanin', 'Boya, Ravi', 'Zhou, Linda', 'Cook, Ashley L', 'Su, Chuanbin', 'Pham, Kenneth', 'Haws, Spencer A', 'Kim, Ji Hun', 'Ryu, Han-Seul', 'Ge, Chunmin', 'Luppino, Jennifer M', 'Nguyen, Son C', 'Titus, Katelyn R', 'Gong, Wanfeng', 'Wallace, Owen', 'Joyce, Eric F', 'Wu, Hao', 'Rojas, Luis Alejandro', 'Phillips-Cremins, Jennifer E']","['humans', ' fragile x syndrome genetics metabolism', 'trinucleotide repeat expansion', 'dna methylation', 'mutation', 'fragile x mental retardation protein genetics metabolism', 'crispr', 'dna fish', 'hi-c', 'chromatin', 'epigenetics', 'fragile x syndrome', 'heterochromatin', 'higher-order genome folding', 'repeat expansion disorders', 'short tandem repeats', 'topologically associating domains']",Spatially coordinated heterochromatinization of long synaptic genes in fragile X syndrome.,"Short tandem repeat (STR) instability causes transcriptional silencing in several repeat expansion disorders. In fragile X syndrome (FXS), mutation-length expansion of a CGG STR represses FMR1 via local DNA methylation. Here, we find megabase-scale H3K9me3 domains on autosomes and encompassing FMR1 on the X chromosome in FXS patient-derived iPSCs, iPSC-derived neural progenitors, EBV-transformed lymphoblasts, and brain tissue with mutation-length CGG expansion. H3K9me3 domains connect via inter-chromosomal interactions and demarcate severe misfolding of TADs and loops. They harbor long synaptic genes replicating at the end of S phase, replication-stress-induced double-strand breaks, and STRs prone to stepwise somatic instability. CRISPR engineering of the mutation-length CGG to premutation length reverses H3K9me3 on the X chromosome and multiple autosomes, refolds TADs, and restores gene expression. H3K9me3 domains can also arise in normal-length iPSCs created with perturbations linked to genome instability, suggesting their relevance beyond FXS. Our results reveal Mb-scale heterochromatinization and trans interactions among loci susceptible to instability."
2023 Dec 5,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Dec 5:2023.12.04.569731. doi: 10.1101/2023.12.04.569731.,"['Titus, Katelyn R', 'Simandi, Zoltan', 'Chandrashekar, Harshini', 'Paquet, Dominik', 'Phillips-Cremins, Jennifer E']",[],Cell type-specific loops linked to RNA polymerase II elongation in human neural differentiation.,"DNA is folded into higher-order structures that shape and are shaped by genome function. The role for long-range loops in the establishment of new gene expression patterns during cell fate transitions remains poorly understood. Here, we investigate the link between cell-specific loops and RNA polymerase II (RNAPolII) during neural lineage commitment. We find thousands of loops decommissioned or gained de novo upon differentiation of human induced pluripotent stem cells (hiPSCs) to neural progenitors (NPCs) and post-mitotic neurons. During hiPSC-to-NPC and NPC-to-neuron transitions, genes changing from RNAPolII initiation to elongation are >4-fold more likely to anchor cell-specific loops than repressed genes. Elongated genes exhibit significant mRNA upregulation when connected in cell-specific promoter-enhancer loops but not invariant promoter-enhancer loops, promoter-promoter loops, or unlooped. Genes transitioning from repression to RNAPolII initiation exhibit slight mRNA increase independent of loop status. Our data link cell-specific loops and robust RNAPolII-mediated elongation during neural cell fate transitions."
2023 Aug 9,Cell genomics,Cell Genom. 2023 Jul 6;3(8):100356. doi: 10.1016/j.xgen.2023.100356. eCollection ,"['Maury, Eduardo A', 'Sherman, Maxwell A', 'Genovese, Giulio', 'Gilgenast, Thomas G', 'Kamath, Tushar', 'Burris, S J', 'Rajarajan, Prashanth', 'Flaherty, Erin', 'Akbarian, Schahram', 'Chess, Andrew', 'McCarroll, Steven A', 'Loh, Po-Ru', 'Phillips-Cremins, Jennifer E', 'Brennand, Kristen J', 'Macosko, Evan Z', 'Walters, James T R', ""O'Donovan, Michael"", 'Sullivan, Patrick', 'Sebat, Jonathan', 'Lee, Eunjung A', 'Walsh, Christopher A']","['abcb11', 'nrxn1', 'genomics', 'mosaicism', 'schizophrenia', 'somatic', 'structural variants', 'treatment resistance']","Schizophrenia-associated somatic copy-number variants from 12,834 cases reveal recurrent NRXN1 and ABCB11 disruptions.","- 100356LID - 10.1016/j.xgen.2023.100356 [doi]LID - 100356AB - While germline copy-number variants (CNVs) contribute to schizophrenia (SCZ) risk, the contribution of somatic CNVs (sCNVs)-present in some but not all cells-remains unknown. We identified sCNVs using blood-derived genotype arrays from 12,834 SCZ cases and 11,648 controls, filtering sCNVs at loci recurrently mutated in clonal blood disorders. Likely early-developmental sCNVs were more common in cases (0.91%) than controls (0.51%, p = 2.68e-4), with recurrent somatic deletions of exons 1-5 of the NRXN1 gene in five SCZ cases. Hi-C maps revealed ectopic, allele-specific loops forming between a potential cryptic promoter and non-coding cis-regulatory elements upon 5' deletions in NRXN1. We also observed recurrent intragenic deletions of ABCB11, encoding a transporter implicated in anti-psychotic response, in five treatment-resistant SCZ cases and showed that ABCB11 is specifically enriched in neurons forming mesocortical and mesolimbic dopaminergic projections. Our results indicate potential roles of sCNVs in SCZ risk."
2023 Sep 7,Molecular cell,Mol Cell. 2023 Sep 7;83(17):3064-3079.e5. doi: 10.1016/j.molcel.2023.07.009. Epub ,"['Wulfridge, Phillip', 'Yan, Qingqing', 'Rell, Nathaniel', 'Doherty, John', 'Jacobson, Skye', 'Offley, Sarah', 'Deliard, Sandra', 'Feng, Kelly', 'Phillips-Cremins, Jennifer E', 'Gardini, Alessandro', 'Sarma, Kavitha']","['animals', 'mice', ' g-quadruplexes', 'r-loop structures', 'ccctc-binding factor metabolism', 'chromatin genetics', 'genomics', 'binding sites', 'ctcf', 'g-quadruplex', 'r-loops', 'genome organization']",G-quadruplexes associated with R-loops promote CTCF binding.,"CTCF is a critical regulator of genome architecture and gene expression that binds thousands of sites on chromatin. CTCF genomic localization is controlled by the recognition of a DNA sequence motif and regulated by DNA modifications. However, CTCF does not bind to all its potential sites in all cell types, raising the question of whether the underlying chromatin structure can regulate CTCF occupancy. Here, we report that R-loops facilitate CTCF binding through the formation of associated G-quadruplex (G4) structures. R-loops and G4s co-localize with CTCF at many genomic regions in mouse embryonic stem cells and promote CTCF binding to its cognate DNA motif in vitro. R-loop attenuation reduces CTCF binding in vivo. Deletion of a specific G4-forming motif in a gene reduces CTCF binding and alters gene expression. Conversely, chemical stabilization of G4s results in CTCF gains and accompanying alterations in chromatin organization, suggesting a pivotal role for G4 structures in reinforcing long-range genome interactions through CTCF."
2023 Aug,Nature,Nature. 2023 Aug;620(7972):209-217. doi: 10.1038/s41586-023-06340-w. Epub 2023 ,"['Park, Daniel S', 'Nguyen, Son C', 'Isenhart, Randi', 'Shah, Parisha P', 'Kim, Wonho', 'Barnett, R Jordan', 'Chandra, Aditi', 'Luppino, Jennifer M', 'Harke, Jailynn', 'Wai, May', 'Walsh, Patrick J', 'Abdill, Richard J', 'Yang, Rachel', 'Lan, Yemin', 'Yoon, Sora', 'Yunker, Rebecca', 'Kanemaki, Masato T', 'Vahedi, Golnaz', 'Phillips-Cremins, Jennifer E', 'Jain, Rajan', 'Joyce, Eric F']","['humans', ' chromatin drug effects genetics metabolism', ' chromosome positioning drug effects', ' chromosomes, human drug effects genetics metabolism', 'dna analysis metabolism', ' genome, human drug effects genetics', ' glycogen synthase kinases antagonists & inhibitors deficiency genetics', ' high-throughput screening assays methods', 'interphase', 'reproducibility of results', 'rna analysis metabolism', 'signal transduction drug effects', ' single-cell analysis methods', 'cohesins']",High-throughput Oligopaint screen identifies druggable 3D genome regulators.,"The human genome functions as a three-dimensional chromatin polymer, driven by a complex collection of chromosome interactions(1-3). Although the molecular rules governing these interactions are being quickly elucidated, relatively few proteins regulating this process have been identified. Here, to address this gap, we developed high-throughput DNA or RNA labelling with optimized Oligopaints (HiDRO)-an automated imaging pipeline that enables the quantitative measurement of chromatin interactions in single cells across thousands of samples. By screening the human druggable genome, we identified more than 300 factors that influence genome folding during interphase. Among these, 43 genes were validated as either increasing or decreasing interactions between topologically associating domains. Our findings show that genetic or chemical inhibition of the ubiquitous kinase GSK3A leads to increased long-range chromatin looping interactions in a genome-wide and cohesin-dependent manner. These results demonstrate the importance of GSK3A signalling in nuclear architecture and the use of HiDRO for identifying mechanisms of spatial genome organization."
2023 Aug 3,Molecular cell,Mol Cell. 2023 Aug 3;83(15):2624-2640. doi: 10.1016/j.molcel.2023.06.018. Epub ,"['Dekker, Job', 'Alber, Frank', 'Aufmkolk, Sarah', 'Beliveau, Brian J', 'Bruneau, Benoit G', 'Belmont, Andrew S', 'Bintu, Lacramioara', 'Boettiger, Alistair', 'Calandrelli, Riccardo', 'Disteche, Christine M', 'Gilbert, David M', 'Gregor, Thomas', 'Hansen, Anders S', 'Huang, Bo', 'Huangfu, Danwei', 'Kalhor, Reza', 'Leslie, Christina S', 'Li, Wenbo', 'Li, Yun', 'Ma, Jian', 'Noble, William S', 'Park, Peter J', 'Phillips-Cremins, Jennifer E', 'Pollard, Katherine S', 'Rafelski, Susanne M', 'Ren, Bing', 'Ruan, Yijun', 'Shav-Tal, Yaron', 'Shen, Yin', 'Shendure, Jay', 'Shu, Xiaokun', 'Strambio-De-Castillia, Caterina', 'Vertii, Anastassiia', 'Zhang, Huaiying', 'Zhong, Sheng']","[' genome genetics', ' cell nucleus genetics metabolism', 'chromatin metabolism', '4d nucleome', 'cell cycle', 'chromosome folding', 'development', 'disease model', 'genomics technologies', 'imaging technologies', 'modeling', 'nuclear organization']",Spatial and temporal organization of the genome: Current state and future aims of the 4D nucleome project.,"The four-dimensional nucleome (4DN) consortium studies the architecture of the genome and the nucleus in space and time. We summarize progress by the consortium and highlight the development of technologies for (1) mapping genome folding and identifying roles of nuclear components and bodies, proteins, and RNA, (2) characterizing nuclear organization with time or single-cell resolution, and (3) imaging of nuclear organization. With these tools, the consortium has provided over 2,000 public datasets. Integrative computational models based on these data are starting to reveal connections between genome structure and function. We then present a forward-looking perspective and outline current aims to (1) delineate dynamics of nuclear architecture at different timescales, from minutes to weeks as cells differentiate, in populations and in single cells, (2) characterize cis-determinants and trans-modulators of genome organization, (3) test functional consequences of changes in cis- and trans-regulators, and (4) develop predictive models of genome structure and function."
2022 Jul 21,Cell,Cell. 2022 Jul 21;185(15):2690-2707. doi: 10.1016/j.cell.2022.06.052.,"['Haws, Spencer A', 'Simandi, Zoltan', 'Barnett, R Jordan', 'Phillips-Cremins, Jennifer E']","['animals', 'genome, human', ' heterochromatin genetics', 'humans', 'mammals', ' repetitive sequences, nucleic acid genetics']","3D genome, on repeat: Higher-order folding principles of the heterochromatinized repetitive genome.","Nearly half of the human genome is comprised of diverse repetitive sequences ranging from satellite repeats to retrotransposable elements. Such sequences are susceptible to stepwise expansions, duplications, inversions, and recombination events which can compromise genome function. In this review, we discuss the higher-order folding mechanisms of compartmentalization and loop extrusion and how they shape, and are shaped by, heterochromatin. Using primarily mammalian model systems, we contrast mechanisms governing H3K9me3-mediated heterochromatinization of the repetitive genome and highlight emerging links between repetitive elements and chromatin folding."
2022 Jun,Nature,Nature. 2022 Jun;606(7915):812-819. doi: 10.1038/s41586-022-04803-0. Epub 2022 ,"['Emerson, Daniel J', 'Zhao, Peiyao A', 'Cook, Ashley L', 'Barnett, R Jordan', 'Klein, Kyle N', 'Saulebekova, Dalila', 'Ge, Chunmin', 'Zhou, Linda', 'Simandi, Zoltan', 'Minsk, Miriam K', 'Titus, Katelyn R', 'Wang, Weitao', 'Gong, Wanfeng', 'Zhang, Di', 'Yang, Liyan', 'Venev, Sergey V', 'Gibcus, Johan H', 'Yang, Hongbo', 'Sasaki, Takayo', 'Kanemaki, Masato T', 'Yue, Feng', 'Dekker, Job', 'Chen, Chun-Long', 'Gilbert, David M', 'Phillips-Cremins, Jennifer E']","[' cell cycle proteins metabolism', ' chromatin genetics', ' chromosomal proteins, non-histone metabolism', 'dna replication', 'humans', ' replication origin genetics', 's phase', 'cohesins']",Cohesin-mediated loop anchors confine the locations of human replication origins.,"DNA replication occurs through an intricately regulated series of molecular events and is fundamental for genome stability(1,2). At present, it is unknown how the locations of replication origins are determined in the human genome. Here we dissect the role of topologically associating domains (TADs)(3-6), subTADs(7) and loops(8) in the positioning of replication initiation zones (IZs). We stratify TADs and subTADs by the presence of corner-dots indicative of loops and the orientation of CTCF motifs. We find that high-efficiency, early replicating IZs localize to boundaries between adjacent corner-dot TADs anchored by high-density arrays of divergently and convergently oriented CTCF motifs. By contrast, low-efficiency IZs localize to weaker dotless boundaries. Following ablation of cohesin-mediated loop extrusion during G1, high-efficiency IZs become diffuse and delocalized at boundaries with complex CTCF motif orientations. Moreover, G1 knockdown of the cohesin unloading factor WAPL results in gained long-range loops and narrowed localization of IZs at the same boundaries. Finally, targeted deletion or insertion of specific boundaries causes local replication timing shifts consistent with IZ loss or gain, respectively. Our data support a model in which cohesin-mediated loop extrusion and stalling at a subset of genetically encoded TAD and subTAD boundaries is an essential determinant of the locations of replication origins in human S phase."
2022 Apr 26,eLife,Elife. 2022 Apr 26;11:e76539. doi: 10.7554/eLife.76539.,"['Calderon, Lesly', 'Weiss, Felix D', 'Beagan, Jonathan A', 'Oliveira, Marta S', 'Georgieva, Radina', 'Wang, Yi-Fang', 'Carroll, Thomas S', 'Dharmalingam, Gopuraja', 'Gong, Wanfeng', 'Tossell, Kyoko', 'de Paola, Vincenzo', 'Whilding, Chad', 'Ungless, Mark A', 'Fisher, Amanda G', 'Phillips-Cremins, Jennifer E', 'Merkenschlager, Matthias']","['animals', 'ccctc-binding factor genetics metabolism', ' cell cycle proteins genetics metabolism', ' chromatin', 'chromosomal proteins, non-histone', 'gene expression', 'mice', 'neurons metabolism', 'cohesins', '3d chromatin organization', 'chromosomes', 'cohesin', 'gene expression', 'mouse', 'neurons', 'neuroscience']",Cohesin-dependence of neuronal gene expression relates to chromatin loop length.,"Cohesin and CTCF are major drivers of 3D genome organization, but their role in neurons is still emerging. Here, we show a prominent role for cohesin in the expression of genes that facilitate neuronal maturation and homeostasis. Unexpectedly, we observed two major classes of activity-regulated genes with distinct reliance on cohesin in mouse primary cortical neurons. Immediate early genes (IEGs) remained fully inducible by KCl and BDNF, and short-range enhancer-promoter contacts at the IEGs Fos formed robustly in the absence of cohesin. In contrast, cohesin was required for full expression of a subset of secondary response genes characterized by long-range chromatin contacts. Cohesin-dependence of constitutive neuronal genes with key functions in synaptic transmission and neurotransmitter signaling also scaled with chromatin loop length. Our data demonstrate that key genes required for the maturation and activation of primary cortical neurons depend on cohesin for their full expression, and that the degree to which these genes rely on cohesin scales with the genomic distance traversed by their chromatin contacts."
