time,journal,doi_info,authors,key words,title,abstract
2023 Nov 7,International journal of environmental research and public health,Int J Environ Res Public Health. 2023 Nov 7;20(22):7029. doi: ,"['Foster, Kenneth R', 'Balzano, Quirino']","[' electromagnetic fields adverse effects', 'public health', 'environmental exposure', 'radio waves adverse effects', ' cell phone', '5g new radio', 'brillouin precursors', 'thermal hazards']","Comment on Redmayne, M.; Maisch, D.R. ICNIRP Guidelines' Exposure Assessment Method for 5G Millimetre Wave Radiation May Trigger Adverse Effects. Int. J. Environ. Res. Public Health 2023, 20, 5267.",This article discusses the contention in the commented-upon paper that Brillouin precursors generated by 5G New Radio (5G NR) and other cellular systems are a possible cause of tissue damage at deeper layers of tissue than the power penetration depth of the carrier frequency. The original theory for Brillouin precursors from pulsed radiofrequency signals (RF-EMF) and speculation about their possible health effects dates back to the 1990's and was based on studies of the propagation of very short (nanosecond) ultrawide-bandwidth RF pulses through water. This assumption is not correct for cellular telephone signals due to their narrow bandwidth. The commented-on paper provides no alternative rationale as to why Brillouin effects should cause tissue damage from RF-EMF radiation from cellular and other communications systems. Other inaccuracies in this paper concerning thermal responses of tissue to RF-EMF are also noted.
2023,International journal of radiation biology,Int J Radiat Biol. 2023;99(7):1016-1026. doi: 10.1080/09553002.2023.2188936. Epub ,"['Vijayalaxmi', 'Foster, Kenneth R']","['animals', 'humans', 'reproducibility of results', 'comet assay', ' dna damage', ' electromagnetic fields adverse effects', 'mutagenicity tests', 'radio waves adverse effects', 'nonionizing electromagnetic fields', 'comet assay', 'genetic damage', 'radiofrequency fields', 'statistical methods']",The need for consensus guidelines to address the mixed legacy of genetic damage assessments for radiofrequency fields.,"PURPOSE: This review considers issues related to interpreting the mixed legacy of >300 papers published during the past three decades on possible genotoxic effects of exposure of human and animal tissues to radiofrequency electromagnetic fields (RF-EMF). The main paper reviews the evolution of consensus guidelines for genotoxicity testing and the increasing emphasis on systematic reviews for evaluation of scientific studies for use in health risk assessments. An Appendix considers some issues in assessing the bioeffects literature by examining a subset of genotoxicity publications that employed the comet assay. While most studies found no statistically significant effects of exposure, a significant minority of studies (chiefly, in vivo studies) reported statistically significant effects of exposure. The quality of the studies was highly variable; while several studies were meticulously done and documented, none of these studies were compliant with currently accepted guidelines such as those of the Organization for Economic Cooperation and Development (OECD). Evaluation of the studies using risk of bias (RoB) criteria showed that, in this sample of studies, higher quality studies were less likely to find statistically significant results than those of lower quality. CONCLUSION: The authors conclude that statistical significance should be only one consideration in evaluation of bioeffects studies. Simply listing 'statistically' significant effects identified using null hypothesis testing and the criterion p < 0.05 for statistical significance is misleading and uninformative in assessing health risks of exposure. A careful synthesis of evidence is needed, including assessment of study validity, biological significance of reported effects, and coherence of study results with those of other related studies.The authors recommend that all future RF genotoxicity studies intended for use in human health risk assessments and evaluations of the literature should be done in compliance with accepted quality guidelines, i.e. OECD or equivalent guidelines for genotoxicity screening studies and PRISMA or other accepted guideline for reviews of the literature. The positive studies in this group should be redone with tighter quality control to establish the reliability of the findings."
2022,Frontiers in public health,Front Public Health. 2023 Jan 9;10:1118762. doi: 10.3389/fpubh.2022.1118762. ,"['Foster, Kenneth R']","[' microwaves', 'havana syndrome', 'anomalous health incident', 'infrared radiation', 'retinal burn', 'thermoacoustic sound generation']","Commentary: Can the microwave auditory effect be ""weaponized""?",
2022 Feb 12,International journal of environmental research and public health,Int J Environ Res Public Health. 2022 Feb 12;19(4):2067. doi: ,"['Foster, Kenneth R', 'Ziskin, Marvin C', 'Balzano, Quirino']","[' cell phone', ' electromagnetic fields', 'environmental exposure', 'microwaves', 'radio waves adverse effects', 'radiometry', 'dosimetry', 'exposure assessment', 'exposure limits', 'history', 'radiofrequency radiation']",Three Quarters of a Century of Research on RF Exposure Assessment and Dosimetry-What Have We Learned?,"This commentary, by three authors with an aggregate experience of more than a century in technology and health and safety studies concerning radiofrequency (RF) energy, asks what has been learned over the past 75 years of research on radiofrequency and health, focusing on technologies for exposure assessment and dosimetry. Research programs on health and safety of RF exposure began in the 1950s, initially motivated by occupational health concerns for military personnel, and later to address public concerns about exposures to RF energy from environmental sources and near-field exposures from RF transmitting devices such as mobile phones that are used near the body. While this research largely focused on the biological effects of RF energy, it also led to important improvements in exposure assessment and dosimetry. This work in the aggregate has made RF energy one of the best studied potential technological hazards and represents a productive response by large numbers of scientists and engineers, working in many countries and supported by diverse funding agencies, to the ever rapidly evolving uses of the electromagnetic spectrum. This review comments on present needs of the field, which include raising the quality of dosimetry in many RF bioeffects studies and developing improved exposure/dosimetric techniques for the higher microwave frequencies to be used by forthcoming communications technologies. At present, however, the major uncertainties in dosimetric modeling/exposure assessment are likely to be related to the inherent variability in real-world exposures, rather than imprecision in measurement technologies."
2021,Frontiers in public health,Front Public Health. 2021 Dec 23;9:788613. doi: 10.3389/fpubh.2021.788613. ,"['Foster, Kenneth R', 'Garrett, David C', 'Ziskin, Marvin C']","[' microwaves', 'frey effect', 'havana syndrome', 'pulsed microwave energy', 'thermoacoustic sound generation', 'thresholds for adverse effects']","Can the Microwave Auditory Effect Be ""Weaponized""?",
2022 Jun 27,Reviews on environmental health,Rev Environ Health. 2021 Jul 16;37(2):291-293. doi: 10.1515/reveh-2021-0086. ,"['Foster, Kenneth R', 'Balzano, Quirino']","['biology', ' microwaves adverse effects', ' physics']","Comments on Martin Pall, ""Millimeter (MM) wave and microwave frequency radiation produce deeply penetrating effects: the biology and the physics"", Rev Environ Health 2021;37:247-58.",
2021 Oct 1,Radiation research,Radiat Res. 2021 Oct 1;196(4):417-422. doi: 10.1667/RADE-21-00079.1.,"['Vijayalaxmi', 'Foster, Kenneth R']","[' radio waves', 'systematic reviews as topic']",Improving the Quality of Radiofrequency Bioeffects Research: The Need for a Carrot and a Stick.,"This commentary considers research needs for radiofrequency (RF) energy above 6 GHz, including in the ""high band"" of 5G New Radio (NR) communications systems that exists just beneath the mm-wave band (30-300 GHz). As of late 2020, approximately 100 RF bioeffects studies have been published involving exposures above 6 GHz, encompassing a wide range of exposure levels and frequencies. A majority of these studies report statistically significant effects of exposure, many at exposures within international safety limits. This commentary examines 31 genetic damage studies involving RF exposures above 6 GHz in the context of two sets of quality-assessment criteria: 1. ""Risk of bias"" (RoB) criteria used for systematic reviews of health-related studies; and 2. a broader set of criteria for research quality from a different scholarly approach (metascience). The 31 studies report several statistically significant effects of exposure on different markers for genetic damage. These effects, if real, would have great potential significance for carcinogen risk assessment. However, the studies as a group have significant technical weaknesses, including small size, failure to meet multiple RoB criteria, naïve use of statistics, and lack of prespecified hypotheses and methods of analysis, all of which increase the chances of false discovery. Here we propose a ""carrot"" (adequate funding to support high-quality research) and a ""stick"" (more stringent review of bioeffects manuscripts, including explicit instructions to reviewers to assess study quality) approach to increase the reliability of RF bioeffects studies to facilitate health agency reviews of this socially controversial topic."
2021 Sep 1,Health physics,Health Phys. 2021 Sep 1;121(3):234-247. doi: 10.1097/HP.0000000000001447.,"['Foster, Kenneth R', 'Ziskin, Marvin C', 'Balzano, Quirino']","['cornea', ' radiation protection', ' radio waves adverse effects', 'temperature']",Time-temperature Thresholds and Safety Factors for Thermal Hazards from Radiofrequency Energy above 6 GHz.,"Two major sets of exposure limits for radiofrequency (RF) radiation, those of the International Commission on Nonionizing Radiation Protection (ICNIRP 2020) and the Institute of Electrical and Electronics Engineers (IEEE C95.1-2019), have recently been revised and updated with significant changes in limits above 6 GHz through the millimeter wave (mm-wave) band (30-300 GHz). This review compares available data on thermal damage and pain from exposure to RF energy above 6 GHz with corresponding data from infrared energy and other heat sources and estimates safety factors that are incorporated in the IEEE and ICNIRP RF exposure limits. The benchmarks for damage are the same as used in ICNIRP IR limits: minimal epithelial damage to cornea and first-degree burn (erythema in skin observable within 48 h after exposure). The data suggest that limiting thermal hazard to skin is cutaneous pain for exposure durations less than ≈20 min and thermal damage for longer exposures. Limitations on available data and thermal models are noted. However, data on RF and IR thermal damage and pain thresholds show that exposures far above current ICNIRP and IEEE limits would be required to produce thermally hazardous effects. This review focuses exclusively on thermal hazards from RF exposures above 6 GHz to skin and the cornea, which are the most exposed tissues in the considered frequency range."
2021 Apr 14,Physics in medicine and biology,Phys Med Biol. 2021 Apr 14;66(8). doi: 10.1088/1361-6560/abf1b7.,"['Hirata, Akimasa', 'Kodera, Sachiko', 'Sasaki, Kensuke', 'Gomez-Tames, Jose', 'Laakso, Ilkka', 'Wood, Andrew', 'Watanabe, Soichi', 'Foster, Kenneth R']","['body temperature', 'electromagnetic fields adverse effects', 'humans', ' radio waves adverse effects', 'radiometry', 'temperature', 'international standard', 'radiofrequency safety', 'thermal effect']",Human exposure to radiofrequency energy above 6 GHz: review of computational dosimetry studies.,"International guidelines/standards for human protection from electromagnetic fields have been revised recently, especially for frequencies above 6 GHz where new wireless communication systems have been deployed. Above this frequency a new physical quantity 'absorbed/epithelial power density' has been adopted as a dose metric. Then, the permissible level of external field strength/power density is derived for practical assessment. In addition, a new physical quantity, fluence or absorbed energy density, is introduced for protection from brief pulses (especially for shorter than 10 s). These limits were explicitly designed to avoid excessive increases in tissue temperature, based on electromagnetic and thermal modeling studies but supported by experimental data where available. This paper reviews the studies on the computational modeling/dosimetry which are related to the revision of the guidelines/standards. The comparisons with experimental data as well as an analytic solution are also been presented. Future research needs and additional comments on the revision will also be mentioned."
2021 May 1,Health physics,Health Phys. 2021 May 1;120(5):525-531. doi: 10.1097/HP.0000000000001376.,"['Foster, Kenneth R', 'Laakso, Ilkka', 'Chalfin, Steven']","[' body temperature', ' cornea', 'radio waves', 'temperature']",Nonuniform Exposure to the Cornea from Millimeter Waves.,"This study examines the nonuniform exposure to the cornea from incident millimeter waves at 94-100 GHz. Two previous studies measured temperature increases in the rhesus cornea exposed to brief (1-6 s) pulses of high-fluence millimeter waves (94 GHz), one of which also estimated thresholds for corneal damage (reported as ED50, the dose resulting in a visible lesion 50% of the time). Both studies noted large variations in the temperature increase across the surface of the cornea due to wave interference effects. This study examines this variability using high-resolution simulations of mm-wave absorption and temperature increase in the human cornea from exposures to plane wave energy at 100 GHz. Calculations are based on an earlier study. The simulations show that the peak temperature increases in the cornea from short exposures (up to 10 s) to high-intensity mm-wave pulses are 1.7-2.8 times the median increase depending on the polarization of the incident energy. A simple one-dimensional ""baseline"" model provides a good estimate of the median temperature increase in the cornea. Two different estimates are presented for the thresholds for producing thermal lesions, expressed in terms of the minimum fluence of incident 100 GHz pulses. The first estimate is based on thresholds for thermal damage from pulsed infrared energy, and the second is based on a thermal damage model. The mm-wave pulses presently considered far exceed current IEEE or ICNIRP exposure limits but may be produced by some nonlethal weapons systems. Interference effects due to wave reflections from structures in and near the eye result in highly localized variations in energy absorbed in the cornea and surrounding facial tissues and are important to consider in a hazard analysis for exposures to intense pulsed millimeter waves."
