time,journal,doi_info,authors,key words,title,abstract
2023 Nov,PLoS computational biology,PLoS Comput Biol. 2023 Nov 7;19(11):e1011574. doi: 10.1371/journal.pcbi.1011574. ,"['Lepperød, Mikkel Elle', 'Stöber, Tristan', 'Hafting, Torkel', 'Fyhn, Marianne', 'Kording, Konrad Paul']","[' optogenetics methods', ' brain physiology', 'neurons physiology', 'causality', 'opsins']",Inferring causal connectivity from pairwise recordings and optogenetics.,"To understand the neural mechanisms underlying brain function, neuroscientists aim to quantify causal interactions between neurons, for instance by perturbing the activity of neuron A and measuring the effect on neuron B. Recently, manipulating neuron activity using light-sensitive opsins, optogenetics, has increased the specificity of neural perturbation. However, using widefield optogenetic interventions, multiple neurons are usually perturbed, producing a confound-any of the stimulated neurons can have affected the postsynaptic neuron making it challenging to discern which neurons produced the causal effect. Here, we show how such confounds produce large biases in interpretations. We explain how confounding can be reduced by combining instrumental variables (IV) and difference in differences (DiD) techniques from econometrics. Combined, these methods can estimate (causal) effective connectivity by exploiting the weak, approximately random signal resulting from the interaction between stimulation and the absolute refractory period of the neuron. In simulated neural networks, we find that estimates using ideas from IV and DiD outperform naïve techniques suggesting that methods from causal inference can be useful to disentangle neural interactions in the brain."
2023 Aug,The Journal of physiology,J Physiol. 2023 Aug;601(15):3141-3149. doi: 10.1113/JP282747. Epub 2023 May 1.,"['Richards, Blake Aaron', 'Kording, Konrad Paul']","[' neuronal plasticity physiology', ' neurons physiology', 'dopamine', 'synapses physiology', 'brain', 'feedback connections', 'gradients', 'intrinsic plasticity', 'learning', 'machine learning', 'neuromodulators', 'synaptic plasticity']",The study of plasticity has always been about gradients.,"The experimental study of learning and plasticity has always been driven by an implicit question: how can physiological changes be adaptive and improve performance? For example, in Hebbian plasticity only synapses from presynaptic neurons that were active are changed, avoiding useless changes. Similarly, in dopamine-gated learning synapse changes depend on reward or lack thereof and do not change when everything is predictable. Within machine learning we can make the question of which changes are adaptive concrete: performance improves when changes correlate with the gradient of an objective function quantifying performance. This result is general for any system that improves through small changes. As such, physiology has always implicitly been seeking mechanisms that allow the brain to approximate gradients. Coming from this perspective we review the existing literature on plasticity-related mechanisms, and we show how these mechanisms relate to gradient estimation. We argue that gradients are a unifying idea to explain the many facets of neuronal plasticity."
2023 May,Nature human behaviour,Nat Hum Behav. 2023 May;7(5):680-681. doi: 10.1038/s41562-023-01560-6. Epub 2023 ,"['Verstynen, Timothy', 'Kording, Konrad Paul']","['humans', ' suicidal ideation', ' suicide', 'risk factors']",Overfitting to 'predict' suicidal ideation.,
2023 Apr,PLoS computational biology,PLoS Comput Biol. 2023 Apr 4;19(4):e1011005. doi: 10.1371/journal.pcbi.1011005. ,"['Lansdell, Benjamin James', 'Kording, Konrad Paul']","[' learning physiology', ' neurons physiology', 'membrane potentials physiology', 'action potentials physiology', 'models, neurological']",Neural spiking for causal inference and learning.,"When a neuron is driven beyond its threshold, it spikes. The fact that it does not communicate its continuous membrane potential is usually seen as a computational liability. Here we show that this spiking mechanism allows neurons to produce an unbiased estimate of their causal influence, and a way of approximating gradient descent-based learning. Importantly, neither activity of upstream neurons, which act as confounders, nor downstream non-linearities bias the results. We show how spiking enables neurons to solve causal estimation problems and that local plasticity can approximate gradient descent using spike discontinuity learning."
2021 Nov 12,Neural computation,Neural Comput. 2021 Nov 12;33(12):3204-3263. doi: 10.1162/neco_a_01441.,"['Filom, Khashayar', 'Farhoodi, Roozbeh', 'Kording, Konrad Paul']","[' neural networks, computer']",On PDE Characterization of Smooth Hierarchical Functions Computed by Neural Networks.,"Neural networks are versatile tools for computation, having the ability to approximate a broad range of functions. An important problem in the theory of deep neural networks is expressivity; that is, we want to understand the functions that are computable by a given network. We study real, infinitely differentiable (smooth) hierarchical functions implemented by feedforward neural networks via composing simpler functions in two cases: (1) each constituent function of the composition has fewer inputs than the resulting function and (2) constituent functions are in the more specific yet prevalent form of a nonlinear univariate function (e.g., tanh) applied to a linear multivariate function. We establish that in each of these regimes, there exist nontrivial algebraic partial differential equations (PDEs) that are satisfied by the computed functions. These PDEs are purely in terms of the partial derivatives and are dependent only on the topology of the network. Conversely, we conjecture that such PDE constraints, once accompanied by appropriate nonsingularity conditions and perhaps certain inequalities involving partial derivatives, guarantee that the smooth function under consideration can be represented by the network. The conjecture is verified in numerous examples, including the case of tree architectures, which are of neuroscientific interest. Our approach is a step toward formulating an algebraic description of functional spaces associated with specific neural networks, and may provide useful new tools for constructing neural networks."
2021 Oct 6,Neuron,Neuron. 2021 Oct 6;109(19):3034-3035. doi: 10.1016/j.neuron.2021.07.021. Epub ,"['Kording, Konrad Paul']","['covid-19', 'neurosciences  education trends', 'pandemics', 'teaching', ' videoconferencing']",For love of neuroscience: The Neuromatch movement.,"In this meeting report, I applaud the Neuromatch community, which runs virtual summer schools and conferences in response to the pandemic. Its members love science, aim to advance our understanding of the brain, and work extremely hard to include everyone."
2021 May 13,Neural computation,Neural Comput. 2021 May 13;33(6):1554-1571. doi: 10.1162/neco_a_01390.,"['Jones, Ilenna Simone', 'Kording, Konrad Paul']","[' dendrites', 'machine learning', ' models, neurological', 'neurons', 'synapses']",Might a Single Neuron Solve Interesting Machine Learning Problems Through Successive Computations on Its Dendritic Tree?,"Physiological experiments have highlighted how the dendrites of biological neurons can nonlinearly process distributed synaptic inputs. However, it is unclear how aspects of a dendritic tree, such as its branched morphology or its repetition of presynaptic inputs, determine neural computation beyond this apparent nonlinearity. Here we use a simple model where the dendrite is implemented as a sequence of thresholded linear units. We manipulate the architecture of this model to investigate the impacts of binary branching constraints and repetition of synaptic inputs on neural computation. We find that models with such manipulations can perform well on machine learning tasks, such as Fashion MNIST or Extended MNIST. We find that model performance on these tasks is limited by binary tree branching and dendritic asymmetry and is improved by the repetition of synaptic inputs to different dendritic branches. These computational experiments further neuroscience theory on how different dendritic properties might determine neural computation of clearly defined tasks."
2022 May 1,Neuroscience,Neuroscience. 2022 May 1;489:262-274. doi: 10.1016/j.neuroscience.2021.07.036. ,"['Jones, Ilenna Simone', 'Kording, Konrad Paul']","['action potentials physiology', ' dendrites physiology', ' models, neurological', 'neural networks, computer', 'neurons physiology', 'synapses physiology', 'dendritic computation', 'ion channels', 'machine learning', 'modeling', 'nonlinearity']",Do Biological Constraints Impair Dendritic Computation?,"Computations on the dendritic trees of neurons have important constraints. Voltage dependent conductances in dendrites are not similar to arbitrary direct-current generation, they are the basis for dendritic nonlinearities and they do not allow converting positive currents into negative currents. While it has been speculated that the dendritic tree of a neuron can be seen as a multi-layer neural network and it has been shown that such an architecture could be computationally strong, we do not know if that computational strength is preserved under these biological constraints. Here we simulate models of dendritic computation with and without these constraints. We find that dendritic model performance on interesting machine learning tasks is not hurt by these constraints but may benefit from them. Our results suggest that single real dendritic trees may be able to learn a surprisingly broad range of tasks."
2021 Apr,Trends in cognitive sciences,Trends Cogn Sci. 2021 Apr;25(4):265-268. doi: 10.1016/j.tics.2021.01.007. Epub ,"['Achakulvisut, Titipat', 'Ruangrong, Tulakan', 'Mineault, Patrick', 'Vogels, Tim P', 'Peters, Megan A K', 'Poirazi, Panayiota', 'Rozell, Christopher', 'Wyble, Brad', 'Goodman, Dan F M', 'Kording, Konrad Paul']","['humans', ' pandemics']",Towards Democratizing and Automating Online Conferences: Lessons from the Neuromatch Conferences.,"Legacy conferences are costly and time consuming, and exclude scientists lacking various resources or abilities. During the 2020 pandemic, we created an online conference platform, Neuromatch Conferences (NMC), aimed at developing technological and cultural changes to make conferences more democratic, scalable, and accessible. We discuss the lessons we learned."
2019 Nov 28,The Behavioral and brain sciences,Behav Brain Sci. 2019 Nov 28;42:e233. doi: 10.1017/S0140525X19001444.,"['Jones, Ilenna Simone', 'Kording, Konrad Paul']","['brain', 'language', ' metaphor', ' neurons']",Quantifying the role of neurons for behavior is a mediation question.,"Many systems neuroscientists want to understand neurons in terms of mediation; we want to understand how neurons are involved in the causal chain from stimulus to behavior. Unfortunately, most tools are inappropriate for that while our language takes mediation for granted. Here we discuss the contrast between our conceptual drive toward mediation and the difficulty of obtaining meaningful evidence."
2019 Nov,Neural computation,Neural Comput. 2019 Nov;31(11):2075-2137. doi: 10.1162/neco_a_01231. Epub 2019 ,"['Farhoodi, Roozbeh', 'Filom, Khashayar', 'Jones, Ilenna Simone', 'Kording, Konrad Paul']","[' computer simulation', ' neural networks, computer']",On Functions Computed on Trees.,"Any function can be constructed using a hierarchy of simpler functions through compositions. Such a hierarchy can be characterized by a binary rooted tree. Each node of this tree is associated with a function that takes as inputs two numbers from its children and produces one output. Since thinking about functions in terms of computation graphs is becoming popular, we may want to know which functions can be implemented on a given tree. Here, we describe a set of necessary constraints in the form of a system of nonlinear partial differential equations that must be satisfied. Moreover, we prove that these conditions are sufficient in contexts of analytic and bit-valued functions. In the latter case, we explicitly enumerate discrete functions and observe that there are relatively few. Our point of view allows us to compare different neural network architectures in regard to their function spaces. Our work connects the structure of computation graphs with the functions they can implement and has potential applications to neuroscience and computer science."
2019,Frontiers in neuroinformatics,Front Neuroinform. 2019 May 21;13:36. doi: 10.3389/fninf.2019.00036. eCollection ,"['Farhoodi, Roozbeh', 'Lansdell, Benjamin James', 'Kording, Konrad Paul']","['dendritic morphology', 'fluorescence microscopy', 'golgi method', 'immunostaining', 'neuroinformatics', 'rodent neuroanatomy', 'staining method']",Quantifying How Staining Methods Bias Measurements of Neuron Morphologies.,"The process through which neurons are labeled is a key methodological choice in measuring neuron morphology. However, little is known about how this choice may bias measurements. To quantify this bias we compare the extracted morphology of neurons collected from the same rodent species, experimental condition, gender distribution, age distribution, brain region and putative cell type, but obtained with 19 distinct staining methods. We found strong biases on measured features of morphology. These were largest in features related to the coverage of the dendritic tree (e.g., the total dendritic tree length). Understanding measurement biases is crucial for interpreting morphological data."
