time,journal,doi_info,authors,key words,title,abstract
2024 Jan,"Computation (Basel, Switzerland)",Computation (Basel). 2024 Jan;12(1):3. doi: 10.3390/computation12010003. Epub ,"['Arthur, Moses N', 'Bebla, Kristeen', 'Broni, Emmanuel', 'Ashley, Carolyn', 'Velazquez, Miriam', 'Hua, Xianin', 'Radhakrishnan, Ravi', 'Kwofie, Samuel K', 'Miller, Whelton A 3rd']","['computer-aided drug design', 'menin', 'mixed-lineage leukemia', 'molecular dynamics']",Design of Inhibitors That Target the Menin-Mixed-Lineage Leukemia Interaction.,"The prognosis of mixed-lineage leukemia (MLL) has remained a significant health concern, especially for infants. The minimal treatments available for this aggressive type of leukemia has been an ongoing problem. Chromosomal translocations of the KMT2A gene are known as MLL, which expresses MLL fusion proteins. A protein called menin is an important oncogenic cofactor for these MLL fusion proteins, thus providing a new avenue for treatments against this subset of acute leukemias. In this study, we report results using the structure-based drug design (SBDD) approach to discover potential novel MLL-mediated leukemia inhibitors from natural products against menin. The three-dimensional (3D) protein model was derived from Protein Databank (Protein ID: 4GQ4), and EasyModeller 4.0 and I-TASSER were used to fix missing residues during rebuilding. Out of the ten protein models generated (five from EasyModeller and I-TASSER each), one model was selected. The selected model demonstrated the most reasonable quality and had 75.5% of residues in the most favored regions, 18.3% of residues in additionally allowed regions, 3.3% of residues in generously allowed regions, and 2.9% of residues in disallowed regions. A ligand library containing 25,131 ligands from a Chinese database was virtually screened using AutoDock Vina, in addition to three known menin inhibitors. The top 10 compounds including ZINC000103526876, ZINC000095913861, ZINC000095912705, ZINC000085530497, ZINC000095912718, ZINC000070451048, ZINC000085530488, ZINC000095912706, ZINC000103580868, and ZINC000103584057 had binding energies of -11.0, -10.7, -10.6, -10.2, -10.2, -9.9, -9.9, -9.9, -9.9, and -9.9 kcal/mol, respectively. To confirm the stability of the menin-ligand complexes and the binding mechanisms, molecular dynamics simulations including molecular mechanics Poisson-Boltzmann surface area (MM/PBSA) computations were performed. The amino acid residues that were found to be potentially crucial in ligand binding included Phe243, Met283, Cys246, Tyr281, Ala247, Ser160, Asn287, Asp185, Ser183, Tyr328, Asn249, His186, Leu182, Ile248, and Pro250. MI-2-2 and PubChem"
2024 Sep,Mechanobiology in medicine,Mechanobiol Med. 2024 Sep;2(3):100071. doi: 10.1016/j.mbm.2024.100071. Epub 2024 ,"['Parihar, Kshitiz', 'Ko, Seung-Hyun B', 'Bradley, Ryan P', 'Taylor, Phillip', 'Ramakrishnan, N', 'Baumgart, Tobias', 'Guo, Wei', 'Weaver, Valerie M', 'Janmey, Paul A', 'Radhakrishnan, Ravi']","['curvature sensing', 'morphological transitions', 'multiscale modeling', 'oncology', 'trafficking']",Asymmetric crowders and membrane morphology at the nexus of intracellular trafficking and oncology.,"A definitive understanding of the interplay between protein binding/migration and membrane curvature evolution is emerging but needs further study. The mechanisms defining such phenomena are critical to intracellular transport and trafficking of proteins. Among trafficking modalities, exosomes have drawn attention in cancer research as these nano-sized naturally occurring vehicles are implicated in intercellular communication in the tumor microenvironment, suppressing anti-tumor immunity and preparing the metastatic niche for progression. A significant question in the field is how the release and composition of tumor exosomes are regulated. In this perspective article, we explore how physical factors such as geometry and tissue mechanics regulate cell cortical tension to influence exosome production by co-opting the biophysics as well as the signaling dynamics of intracellular trafficking pathways and how these exosomes contribute to the suppression of anti-tumor immunity and promote metastasis. We describe a multiscale modeling approach whose impact goes beyond the fundamental investigation of specific cellular processes toward actual clinical translation. Exosomal mechanisms are critical to developing and approving liquid biopsy technologies, poised to transform future non-invasive, longitudinal profiling of evolving tumors and resistance to cancer therapies to bring us one step closer to the promise of personalized medicine."
2024 Apr 29,Journal of personalized medicine,J Pers Med. 2024 Apr 29;14(5):475. doi: 10.3390/jpm14050475.,"['Kolokotroni, Eleni', 'Abler, Daniel', 'Ghosh, Alokendra', 'Tzamali, Eleftheria', 'Grogan, James', 'Georgiadi, Eleni', 'Büchler, Philippe', 'Radhakrishnan, Ravi', 'Byrne, Helen', 'Sakkalis, Vangelis', 'Nikiforaki, Katerina', 'Karatzanis, Ioannis', 'McFarlane, Nigel J B', 'Kaba, Djibril', 'Dong, Feng', 'Bohle, Rainer M', 'Meese, Eckart', 'Graf, Norbert', 'Stamatakos, Georgios']","['wilms tumor', 'cancer', 'computational oncology', 'digital twin', 'hypermodeling', 'in silico medicine', 'in silico oncology', 'non-small cell lung cancer', 'virtual twin']","A Multidisciplinary Hyper-Modeling Scheme in Personalized In Silico Oncology: Coupling Cell Kinetics with Metabolism, Signaling Networks, and Biomechanics as Plug-In Component Models of a Cancer Digital Twin.","The massive amount of human biological, imaging, and clinical data produced by multiple and diverse sources necessitates integrative modeling approaches able to summarize all this information into answers to specific clinical questions. In this paper, we present a hypermodeling scheme able to combine models of diverse cancer aspects regardless of their underlying method or scale. Describing tissue-scale cancer cell proliferation, biomechanical tumor growth, nutrient transport, genomic-scale aberrant cancer cell metabolism, and cell-signaling pathways that regulate the cellular response to therapy, the hypermodel integrates mutation, miRNA expression, imaging, and clinical data. The constituting hypomodels, as well as their orchestration and links, are described. Two specific cancer types, Wilms tumor (nephroblastoma) and non-small cell lung cancer, are addressed as proof-of-concept study cases. Personalized simulations of the actual anatomy of a patient have been conducted. The hypermodel has also been applied to predict tumor control after radiotherapy and the relationship between tumor proliferative activity and response to neoadjuvant chemotherapy. Our innovative hypermodel holds promise as a digital twin-based clinical decision support system and as the core of future in silico trial platforms, although additional retrospective adaptation and validation are necessary."
2024 Mar,Nature cell biology,Nat Cell Biol. 2024 Mar;26(3):490-491. doi: 10.1038/s41556-024-01375-1.,"['Wu, Bin', 'Liu, Di-Ao', 'Guan, Lei', 'Myint, Phyoe Kyawe', 'Chin, LiKang', 'Dang, Hien', 'Xu, Ye', 'Ren, Jinqi', 'Li, Ting', 'Yu, Ziyan', 'Jabban, Sophie', 'Mills, Gordon B', 'Nukpezah, Jonathan', 'Chen, Youhai H', 'Furth, Emma E', 'Gimotty, Phyllis A', 'Wells, Rebecca G', 'Weaver, Valerie M', 'Radhakrishnan, Ravi', 'Wang, Xin Wei', 'Guo, Wei']",[],Author Correction: Stiff matrix induces exosome secretion to promote tumour growth.,
2023 Nov 15,The Biochemical journal,Biochem J. 2023 Nov 15;480(21):1733-1751. doi: 10.1042/BCJ20230281.,"['Patil, Keshav', 'Wang, Yiming', 'Chen, Zhangtao', 'Suresh, Krishna', 'Radhakrishnan, Ravi']","['humans', 'mutation', ' neoplasms metabolism', 'gain of function mutation', 'activating mutations', 'conformational plasticity', 'dynamical correlation', 'enhanced sampling', 'oncogenic driver']",Activating mutations drive human MEK1 kinase using a gear-shifting mechanism.,"There is an unmet need to classify cancer-promoting kinase mutations in a mechanistically cognizant way. The challenge is to understand how mutations stabilize different kinase configurations to alter function, and how this influences pathogenic potential of the kinase and its responses to therapeutic inhibitors. This goal is made more challenging by the complexity of the mutational landscape of diseases, and is further compounded by the conformational plasticity of each variant where multiple conformations coexist. We focus here on the human MEK1 kinase, a vital component of the RAS/MAPK pathway in which mutations cause cancers and developmental disorders called RASopathies. We sought to explore how these mutations alter the human MEK1 kinase at atomic resolution by utilizing enhanced sampling simulations and free energy calculations. We computationally mapped the different conformational stabilities of individual mutated systems by delineating the free energy landscapes, and showed how this relates directly to experimentally quantified developmental transformation potentials of the mutations. We conclude that mutations leverage variations in the hydrogen bonding network associated with the conformational plasticity to progressively stabilize the active-like conformational state of the kinase while destabilizing the inactive-like state. The mutations alter residue-level internal molecular correlations by differentially prioritizing different conformational states, delineating the various modes of MEK1 activation reminiscent of a gear-shifting mechanism. We define the molecular basis of conversion of this kinase from its inactive to its active state, connecting structure, dynamics, and function by delineating the energy landscape and conformational plasticity, thus augmenting our understanding of MEK1 regulation."
2023 Oct 19,Communications biology,Commun Biol. 2023 Oct 19;6(1):1067. doi: 10.1038/s42003-023-05254-7.,"['Pedron, Cibele Nicolaski', 'Torres, Marcelo Der Torossian', 'Oliveira, Cyntia Silva', 'Silva, Adriana Farias', 'Andrade, Gislaine Patricia', 'Wang, Yiming', 'Pinhal, Maria Aparecida Silva', 'Cerchiaro, Giselle', 'da Silva Junior, Pedro Ismael', 'da Silva, Fernanda Dias', 'Radhakrishnan, Ravi', 'de la Fuente-Nunez, Cesar', 'Oliveira Junior, Vani Xavier']","['humans', ' antimicrobial cationic peptides genetics pharmacology chemistry', ' anti-infective agents pharmacology', 'amino acid sequence']",Molecular hybridization strategy for tuning bioactive peptide function.,"The physicochemical and structural properties of antimicrobial peptides (AMPs) determine their mechanism of action and biological function. However, the development of AMPs as therapeutic drugs has been traditionally limited by their toxicity for human cells. Tuning the physicochemical properties of such molecules may abolish toxicity and yield synthetic molecules displaying optimal safety profiles and enhanced antimicrobial activity. Here, natural peptides were modified to improve their activity by the hybridization of sequences from two different active peptide sequences. Hybrid AMPs (hAMPs) were generated by combining the amphipathic faces of the highly toxic peptide VmCT1, derived from scorpion venom, with parts of four other naturally occurring peptides having high antimicrobial activity and low toxicity against human cells. This strategy led to the design of seven synthetic bioactive variants, all of which preserved their structure and presented increased antimicrobial activity (3.1-128 μmol L(-1)). Five of the peptides (three being hAMPs) presented high antiplasmodial at 0.8 μmol L(-1), and virtually no undesired toxic effects against red blood cells. In sum, we demonstrate that peptide hybridization is an effective strategy for redirecting biological activity to generate novel bioactive molecules with desired properties."
2023 May 5,Nature communications,Nat Commun. 2023 May 5;14(1):2601. doi: 10.1038/s41467-023-38195-0.,"['Berko, Esther R', 'Witek, Gabriela M', 'Matkar, Smita', 'Petrova, Zaritza O', 'Wu, Megan A', 'Smith, Courtney M', 'Daniels, Alex', 'Kalna, Joshua', 'Kennedy, Annie', 'Gostuski, Ivan', 'Casey, Colleen', 'Krytska, Kateryna', 'Gerelus, Mark', 'Pavlick, Dean', 'Ghazarian, Susan', 'Park, Julie R', 'Marachelian, Araz', 'Maris, John M', 'Goldsmith, Kelly C', 'Radhakrishnan, Ravi', 'Lemmon, Mark A', 'Mossé, Yaël P']","['humans', 'aminopyridines therapeutic use', 'anaplastic lymphoma kinase genetics', ' carcinoma, non-small-cell lung genetics', ' circulating tumor dna genetics', 'drug resistance, neoplasm genetics', 'lactams, macrocyclic therapeutic use', ' lung neoplasms genetics', 'mutation', ' neuroblastoma drug therapy genetics', 'protein kinase inhibitors therapeutic use']",Circulating tumor DNA reveals mechanisms of lorlatinib resistance in patients with relapsed/refractory ALK-driven neuroblastoma.,"Activating point mutations in Anaplastic Lymphoma Kinase (ALK) have positioned ALK as the only mutated oncogene tractable for targeted therapy in neuroblastoma. Cells with these mutations respond to lorlatinib in pre-clinical studies, providing the rationale for a first-in-child Phase 1 trial (NCT03107988) in patients with ALK-driven neuroblastoma. To track evolutionary dynamics and heterogeneity of tumors, and to detect early emergence of lorlatinib resistance, we collected serial circulating tumor DNA samples from patients enrolled on this trial. Here we report the discovery of off-target resistance mutations in 11 patients (27%), predominantly in the RAS-MAPK pathway. We also identify newly acquired secondary compound ALK mutations in 6 (15%) patients, all acquired at disease progression. Functional cellular and biochemical assays and computational studies elucidate lorlatinib resistance mechanisms. Our results establish the clinical utility of serial circulating tumor DNA sampling to track response and progression and to discover acquired resistance mechanisms that can be leveraged to develop therapeutic strategies to overcome lorlatinib resistance."
2024 Feb 19,ACS applied bio materials,ACS Appl Bio Mater. 2024 Feb 19;7(2):617-625. doi: 10.1021/acsabm.2c01023. Epub ,"['Wang, Yiming', 'Stebe, Kathleen J', 'de la Fuente-Nunez, Cesar', 'Radhakrishnan, Ravi']","['humans', ' biocompatible materials therapeutic use', ' peptides chemistry', 'proteins chemistry', 'biotechnology', 'protein engineering', 'antifreeze protein', 'antimicrobial peptide', 'genetic algorithm', 'machine learning', 'molecular modeling', 'molecular simulation']",Computational Design of Peptides for Biomaterials Applications.,"Computer-aided molecular design and protein engineering emerge as promising and active subjects in bioengineering and biotechnological applications. On one hand, due to the advancing computing power in the past decade, modeling toolkits and force fields have been put to use for accurate multiscale modeling of biomolecules including lipid, protein, carbohydrate, and nucleic acids. On the other hand, machine learning emerges as a revolutionary data analysis tool that promises to leverage physicochemical properties and structural information obtained from modeling in order to build quantitative protein structure-function relationships. We review recent computational works that utilize state-of-the-art computational methods to engineer peptides and proteins for various emerging biomedical, antimicrobial, and antifreeze applications. We also discuss challenges and possible future directions toward developing a roadmap for efficient biomolecular design and engineering."
2023 Mar,Nature cell biology,Nat Cell Biol. 2023 Mar;25(3):415-424. doi: 10.1038/s41556-023-01092-1. Epub 2023 ,"['Wu, Bin', 'Liu, Di-Ao', 'Guan, Lei', 'Myint, Phyoe Kyawe', 'Chin, LiKang', 'Dang, Hien', 'Xu, Ye', 'Ren, Jinqi', 'Li, Ting', 'Yu, Ziyan', 'Jabban, Sophie', 'Mills, Gordon B', 'Nukpezah, Jonathan', 'Chen, Youhai H', 'Furth, Emma E', 'Gimotty, Phyllis A', 'Wells, Rebecca G', 'Weaver, Valerie M', 'Radhakrishnan, Ravi', 'Wang, Xin Wei', 'Guo, Wei']","['humans', ' exosomes metabolism', 'proteomics', ' neoplasms metabolism', 'extracellular matrix metabolism', 'signal transduction', 'tumor microenvironment']",Stiff matrix induces exosome secretion to promote tumour growth.,"Tissue fibrosis and extracellular matrix (ECM) stiffening promote tumour progression. The mechanisms by which ECM regulates its contacting cells have been extensively studied. However, how stiffness influences intercellular communications in the microenvironment for tumour progression remains unknown. Here we report that stiff ECM stimulates the release of exosomes from cancer cells. We delineate a molecular pathway that links stiff ECM to activation of Akt, which in turn promotes GTP loading to Rab8 that drives exosome secretion. We further show that exosomes generated from cells grown on stiff ECM effectively promote tumour growth. Proteomic analysis revealed that the Notch signalling pathway is activated in cells treated with exosomes derived from tumour cells grown on stiff ECM, consistent with our gene expression analysis of liver tissues from patients. Our study reveals a molecular mechanism that regulates exosome secretion and provides insight into how mechanical properties of the ECM control the tumour microenvironment for tumour growth."
2022,Frontiers in medical technology,Front Med Technol. 2022 Jul 15;4:934015. doi: 10.3389/fmedt.2022.934015. ,"['Glass, Emma M', 'Kulkarni, Sahil', 'Eng, Christina', 'Feng, Shurui', 'Malaviya, Avishi', 'Radhakrishnan, Ravi']","['biodistribution', 'neural network', 'physiologically based pharmacokinetic', 'quasi steady-state approximation', 'vascular branching']",Multiphysics pharmacokinetic model for targeted nanoparticles.,"Nanoparticles (NP) are being increasingly explored as vehicles for targeted drug delivery because they can overcome free therapeutic limitations by drug encapsulation, thereby increasing solubility and transport across cell membranes. However, a translational gap exists from animal to human studies resulting in only several NP having FDA approval. Because of this, researchers have begun to turn toward physiologically based pharmacokinetic (PBPK) models to guide in vivo NP experimentation. However, typical PBPK models use an empirically derived framework that cannot be universally applied to varying NP constructs and experimental settings. The purpose of this study was to develop a physics-based multiscale PBPK compartmental model for determining continuous NP biodistribution. We successfully developed two versions of a physics-based compartmental model, models A and B, and validated the models with experimental data. The more physiologically relevant model (model B) had an output that more closely resembled experimental data as determined by normalized root mean squared deviation (NRMSD) analysis. A branched model was developed to enable the model to account for varying NP sizes. With the help of the branched model, we were able to show that branching in vasculature causes enhanced uptake of NP in the organ tissue. The models were solved using two of the most popular computational platforms, MATLAB and Julia. Our experimentation with the two suggests the highly optimized ODE solver package DifferentialEquations.jl in Julia outperforms MATLAB when solving a stiff system of ordinary differential equations (ODEs). We experimented with solving our PBPK model with a neural network using Julia's Flux.jl package. We were able to demonstrate that a neural network can learn to solve a system of ODEs when the system can be made non-stiff via quasi-steady-state approximation (QSSA). Our model incorporates modules that account for varying NP surface chemistries, multiscale vascular hydrodynamic effects, and effects of the immune system to create a more comprehensive and modular model for predicting NP biodistribution in a variety of NP constructs."
