time,journal,doi_info,authors,key words,title,abstract
2024 Apr 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Apr 6:2024.04.05.588239. doi: 10.1101/2024.04.05.588239.,"['Lang, Annemarie', 'Eastburn, Emily A', 'Younesi, Mousa', 'Nijsure, Madhura', 'Siciliano, Carly', 'Haran, Annapurna Pranatharthi', 'Panebianco, Christopher J', 'Seidl, Elizabeth', 'Tang, Rui', 'Alsberg, Eben', 'Willett, Nick J', 'Gottardi, Riccardo', 'Huh, Dongeun', 'Boerckel, Joel D']",[],Cyr61 delivery promotes angiogenesis during bone fracture repair.,"Compromised vascular supply and insufficient neovascularization impede bone repair, increasing risk of non-union. Cyr61, Cysteine-rich angiogenic inducer of 61kD (also known as CCN1), is a matricellular growth factor that is regulated by mechanical cues during fracture repair. Here, we map the distribution of endogenous Cyr61 during bone repair and evaluate the effects of recombinant Cyr61 delivery on vascularized bone regeneration. In vitro, Cyr61 treatment did not alter chondrogenesis or osteogenic gene expression, but significantly enhanced angiogenesis. In a mouse femoral fracture model, Cyr61 delivery did not alter cartilage or bone formation, but accelerated neovascularization during fracture repair. Early initiation of ambulatory mechanical loading disrupted Cyr61-induced neovascularization. Together, these data indicate that Cyr61 delivery can enhance angiogenesis during bone repair, particularly for fractures with stable fixation, and may have therapeutic potential for fractures with limited blood vessel supply."
2024 Jan 22,Developmental cell,Dev Cell. 2024 Jan 22;59(2):211-227.e5. doi: 10.1016/j.devcel.2023.11.029. Epub ,"['Collins, Joseph M', 'Lang, Annemarie', 'Parisi, Cristian', 'Moharrer, Yasaman', 'Nijsure, Madhura P', 'Thomas Kim, Jong Hyun', 'Ahmed, Saima', 'Szeto, Gregory L', 'Qin, Ling', 'Gottardi, Riccardo', 'Dyment, Nathaniel A', 'Nowlan, Niamh C', 'Boerckel, Joel D']","['animals', 'humans', 'mice', ' adaptor proteins, signal transducing metabolism', 'angiogenesis', 'bone development', 'morphogenesis', 'osteoblasts metabolism', ' trans-activators metabolism', 'transcription factors metabolism', 'yap-signaling proteins', 'taz', 'yap', 'angiogenesis', 'bone', 'development', 'growth plate', 'mechanobiology']",YAP and TAZ couple osteoblast precursor mobilization to angiogenesis and mechanoregulation in murine bone development.,"Fetal bone development occurs through the conversion of avascular cartilage to vascularized bone at the growth plate. This requires coordinated mobilization of osteoblast precursors with blood vessels. In adult bone, vessel-adjacent osteoblast precursors are maintained by mechanical stimuli; however, the mechanisms by which these cells mobilize and respond to mechanical cues during embryonic development are unknown. Here, we show that the mechanoresponsive transcriptional regulators Yes-associated protein (YAP) and transcriptional co-activator with PDZ-binding motif (TAZ) spatially couple osteoblast precursor mobilization to angiogenesis, regulate vascular morphogenesis to control cartilage remodeling, and mediate mechanoregulation of embryonic murine osteogenesis. Mechanistically, YAP and TAZ regulate a subset of osteoblast-lineage cells, identified by single-cell RNA sequencing as vessel-associated osteoblast precursors, which regulate transcriptional programs that direct blood vessel invasion through collagen-integrin interactions and Cxcl12. Functionally, in 3D human cell co-culture, CXCL12 treatment rescues angiogenesis impaired by stromal cell YAP/TAZ depletion. Together, these data establish functions of the vessel-associated osteoblast precursors in bone development."
2023 Dec 7,Cell stem cell,Cell Stem Cell. 2023 Dec 7;30(12):1563-1565. doi: 10.1016/j.stem.2023.11.007.,"['Dumas, Alexandra A', 'Friedman, Ryan M', 'Smith, Kyra W Y', 'Gottardi, Riccardo']","['animals', 'rabbits', ' trachea', ' tissue engineering']",Breathing room: Toward next-generation tracheal engineering.,"The creation of an engineered trachea with robust phenotype and sufficient mechanical properties for clinical application remains a challenge. In their work, Tang et al.(1) propose a stacked approach of alternating cartilaginous and fibrous rings to form a tracheal segment, which integrated and retain patency in rabbits for 8 weeks."
2023 Aug,Cellular and molecular bioengineering,Cell Mol Bioeng. 2023 Jun 29;16(4):369-381. doi: 10.1007/s12195-023-00769-9. ,"['Aronson, Matthew R', 'Mehta, Amrita', 'Friedman, Ryan M', 'Ghaderi, Daniel D', 'Borek, Ryan C', 'Nguyen, Hoang C B', 'McDaid, Kendra S', 'Jacobs, Ian N', 'Mirza, Natasha', 'Gottardi, Riccardo']","['controlled drug delivery', 'immunomodulatory biomaterials', 'pediatrics', 'upper airway disease']",Amelioration of Subglottic Stenosis by Antimicrobial Peptide Eluting Endotracheal Tubes.,"INTRODUCTION: Pediatric subglottic stenosis (SGS) results from prolonged intubation where scar tissue leads to airway narrowing that requires invasive surgery. We have recently discovered that modulating the laryngotracheal microbiome can prevent SGS. Herein, we show how our patent-pending antimicrobial peptide-eluting endotracheal tube (AMP-ET) effectively modulates the local airway microbiota resulting in reduced inflammation and stenosis resolution. MATERIALS AND METHODS: We fabricated mouse-sized ETs coated with a polymeric AMP-eluting layer, quantified AMP release over 10 days, and validated bactericidal activity for both planktonic and biofilm-resident bacteria against Staphylococcus aureus and Pseudomonas aeruginosa. Ex vivo testing: we inserted AMP-ETs and ET controls into excised laryngotracheal complexes (LTCs) of C57BL/6 mice and assessed biofilm formation after 24 h. In vivo testing: AMP-ETs and ET controls were inserted in sham or SGS-induced LTCs, which were then implanted subcutaneously in receptor mice, and assessed for immune response and SGS severity after 7 days. RESULTS: We achieved reproducible, linear AMP release at 1.16 µg/day resulting in strong bacterial inhibition in vitro and ex vivo. In vivo, SGS-induced LTCs exhibited a thickened scar tissue typical of stenosis, while the use of AMP-ETs abrogated stenosis. Notably, SGS airways exhibited high infiltration of T cells and macrophages, which was reversed with AMP-ET treatment. This suggests that by modulating the microbiome, AMP-ETs reduce macrophage activation and antigen specific T cell responses resolving stenosis progression. CONCLUSION: We developed an AMP-ET platform that reduces T cell and macrophage responses and reduces SGS in vivo via airway microbiome modulation. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s12195-023-00769-9."
2024 Feb,The Laryngoscope,Laryngoscope. 2024 Feb;134(2):807-814. doi: 10.1002/lary.31017. Epub 2023 Sep 2.,"['Gehret, Paul M', 'Dumas, Alexandra A', 'Jacobs, Ian N', 'Gottardi, Riccardo']","['infant', 'infant, newborn', 'child', 'humans', 'animals', 'swine', 'pilot projects', 'constriction, pathologic surgery', ' plastic surgery procedures', 'cartilage transplantation', ' laryngostenosis surgery', 'cartilage', 'decellularized cartilage', 'pig model', 'subglottic stenosis', 'tissue engineering']",A Pilot Study of Decellularized Cartilage for Laryngotracheal Reconstruction in a Neonatal Pig Model.,"OBJECTIVE: Severe subglottic stenosis develops as a response to intubation in 1% of the >200,000 neonatal intensive care unit infants per year and may require laryngotracheal reconstruction (LTR) with autologous hyaline cartilage. Although effective, LTR is limited by comorbidities, severity of stenosis, and graft integration. In children, there is a significant incidence of restenosis requiring revision surgery. Tissue engineering has been proposed to develop alterative grafting options to improve outcomes and eliminate donor-site morbidity. Our objective is to engineer a decellularized, channel-laden xenogeneic cartilage graft, that we deployed in a proof-of-concept, neonatal porcine LTR model. METHODS: Meniscal porcine cartilage was freeze-thawed and washed with pepsin/elastase to decellularize and create microchannels. A 6 × 10-mm decellularized cartilage graft was then implanted in 4 infant pigs in an anterior cricoid split. Airway patency and host response were monitored endoscopically until sacrifice at 12 weeks, when the construct phenotype, cricoid expansion, mechanics, and histomorphometry were evaluated. RESULTS: The selective digestion of meniscal components yielded decellularized cartilage with cell-size channels. After LTR with decellularized meniscus, neonatal pigs were monitored via periodic endoscopy observing re-epithelization, integration, and neocartilage formation. At 12 weeks, the graft appeared integrated and exhibited airway expansion of 4 mm in micro-CT and endoscopy. Micro-CT revealed a larger lumen compared with age-matched controls. Finally, histology showed significant neocartilage formation. CONCLUSION: Our neonatal porcine LTR model with a decellularized cartilage graft is a novel approach to tissue engineered pediatric LTR. This pilot study sets the stage for ""off-the-shelf"" graft procurement and future optimization of MEND for LTR. LEVEL OF EVIDENCE: NA Laryngoscope, 134:807-814, 2024."
2024 Jan,The Laryngoscope,Laryngoscope. 2024 Jan;134(1):287-296. doi: 10.1002/lary.30873. Epub 2023 Jul 17.,"['Ali Akbari Ghavimi, Soheila', 'Aronson, Matthew R', 'Ghaderi, Daniel D', 'Friedman, Ryan M', 'Patel, Neil', 'Giordano, Terri', 'Borek, Ryan C', 'Devine, Conor M', 'Han, Lin', 'Jacobs, Ian N', 'Gottardi, Riccardo']","['humans', 'child', ' transforming growth factor beta1 metabolism', ' cicatrix pathology', 'constriction, pathologic pathology', 'fibrosis', 'fibroblasts metabolism', 'transforming growth factor beta metabolism', 'cells, cultured', 'hippo pathway', 'tgf-β pathway', 'airway disorders', 'fibrosis']",Modulated Fibrosis and Mechanosensing of Fibroblasts by SB525334 in Pediatric Subglottic Stenosis.,"OBJECTIVE: Subglottic stenosis (SGS) may result from prolonged intubation where fibrotic scar tissue narrows the airway. The scar forms by differentiated myofibroblasts secreting excessive extracellular matrix (ECM). TGF-β1 is widely accepted as a regulator of fibrosis; however, it is unclear how biomechanical pathways co-regulate fibrosis. Therefore, we phenotyped fibroblasts from pediatric patients with SGS to explore how key signaling pathways, TGF-β and Hippo, impact scarring and assess the impact of inhibiting these pathways with potential therapeutic small molecules SB525334 and DRD1 agonist dihydrexidine hydrochloride (DHX). METHODS: Laryngeal fibroblasts isolated from subglottic as well as distal control biopsies of patients with evolving and maturing subglottic stenosis were assessed by α-smooth muscle actin immunostaining and gene expression for α-SMA, FN, HGF, and CTGF markers. TGF-β and Hippo signaling pathways were modulated during TGF-β1-induced fibrosis using the inhibitor SB525334 or DHX and analyzed by RT-qPCR for differential gene expression and atomic force microscopy for ECM stiffness. RESULTS: SGS fibroblasts exhibited higher α-SMA staining and greater inflammatory cytokine and fibrotic marker expression upon TGF-β1 stimulation (p < 0.05). SB525334 restored levels to baseline by reducing SMAD2/3 nuclear translocation (p < 0.0001) and pro-fibrotic gene expression (p < 0.05). ECM stiffness of stenotic fibroblasts was greater than healthy fibroblasts and was restored to baseline by Hippo pathway modulation using SB525334 and DHX (p < 0.01). CONCLUSION: We demonstrate that distinct fibroblast phenotypes from diseased and healthy regions of pediatric SGS patients respond differently to TGF-β1 stimulation, and SB525334 has the superior potential for subglottic stenosis treatment by simultaneously modulating TGF-β and Hippo signaling pathways. LEVEL OF EVIDENCE: NA Laryngoscope, 134:287-296, 2024."
2023 Jan 21,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jan 21:2023.01.20.524918. doi: ,"['Collins, Joseph M', 'Lang, Annemarie', 'Parisi, Cristian', 'Moharrer, Yasaman', 'Nijsure, Madhura P', 'Kim, Jong Hyun Thomas', 'Szeto, Greg L', 'Qin, Ling', 'Gottardi, Riccardo L', 'Dyment, Nathanial A', 'Nowlan, Niamh C', 'Boerckel, Joel D']",[],YAP and TAZ couple osteoblast precursor mobilization to angiogenesis and mechanoregulated bone development.,"Endochondral ossification requires coordinated mobilization of osteoblast precursors with blood vessels. During adult bone homeostasis, vessel adjacent osteoblast precursors respond to and are maintained by mechanical stimuli; however, the mechanisms by which these cells mobilize and respond to mechanical cues during embryonic development are unknown. Previously, we found that deletion of the mechanoresponsive transcriptional regulators, YAP and TAZ, from Osterix-expressing osteoblast precursors and their progeny caused perinatal lethality. Here, we show that embryonic YAP/TAZ signaling couples vessel-associated osteoblast precursor mobilization to angiogenesis in developing long bones. Osterix-conditional YAP/TAZ deletion impaired endochondral ossification in the primary ossification center but not intramembranous osteogenesis in the bone collar. Single-cell RNA sequencing revealed YAP/TAZ regulation of the angiogenic chemokine, Cxcl12, which was expressed uniquely in vessel-associated osteoblast precursors. YAP/TAZ signaling spatially coupled osteoblast precursors to blood vessels and regulated vascular morphogenesis and vessel barrier function. Further, YAP/TAZ signaling regulated vascular loop morphogenesis at the chondro-osseous junction to control hypertrophic growth plate remodeling. In human cells, mesenchymal stromal cell co-culture promoted 3D vascular network formation, which was impaired by stromal cell YAP/TAZ depletion, but rescued by recombinant CXCL12 treatment. Lastly, YAP and TAZ mediated mechanotransduction for load-induced osteogenesis in embryonic bone."
2022,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2022;2373:267-281. doi: 10.1007/978-1-0716-1693-2_16.,"['Chiesa, Irene', 'Di Gesù, Roberto', 'Overholt, Kalon J', 'Gottardi, Riccardo']","['bioreactors', 'cartilage', ' tissue engineering', 'tissue scaffolds', 'bioreactor', 'biphasic constructs', 'crosstalk', 'interface tissue engineering', 'microphysiological system', 'osteochondral junction', 'paracrine signaling']",A Mesoscale 3D Culture System for Native and Engineered Biphasic Tissues: Application to the Osteochondral Unit.,"Interface tissues are functionally graded tissues characterized by a complex layered structure, which therefore present a great challenge to be reproduced and cultured in vitro. Here, we describe the design and operation of a 3D printed dual-chamber bioreactor as a culturing system for biphasic native or engineered osteochondral tissues. The bioreactor is designed to potentially accommodate a variety of interface tissues and enables the precise study of tissue crosstalk by creating two separate microenvironments while maintaining the tissue compartments in direct contact."
2022 Jul,The Laryngoscope,Laryngoscope. 2022 Jul;132(7):1356-1363. doi: 10.1002/lary.29769. Epub 2021 Jul ,"['Aronson, Matthew R', 'Ali Akbari Ghavimi, Soheila', 'Gehret, Paul M', 'Jacobs, Ian N', 'Gottardi, Riccardo']","['anti-bacterial agents pharmacology therapeutic use', 'bacteria', 'constriction, pathologic complications', 'humans', 'inflammation', 'intubation, intratracheal adverse effects', ' laryngostenosis etiology prevention & control', 'drug-eluting biomaterials', 'antimicrobial peptides', 'endotracheal tube coating', 'subglottic stenosis']",Drug-Eluting Endotracheal Tubes for Preventing Bacterial Inflammation in Subglottic Stenosis.,"OBJECTIVES/HYPOTHESIS: Subglottic stenosis (SGS) results from dysregulated extracellular matrix deposition by laryngotracheal fibroblasts causing scar tissue formation following intubation. Recent work has highlighted a relationship between this inflammatory state and imbalances in the upper airway microbiome. Herein, we engineer novel drug-eluting endotracheal (ET) tubes to deliver a model antimicrobial peptide Lasioglossin-III (Lasio) for the local modulation of the microbiome during intubation. STUDY DESIGN: Controlled in vitro study. METHODS: ET tubes were coated with a water-in-oil (w/o) emulsion of Lasio in poly(d,l-lactide-co-glycolide) (PLGA) by dipping thrice. Peptide release was quantified over 2 weeks via fluorometric peptide assays. The antibacterial activity was tested against airway microbes (Staphylococcus epidermidis, Streptococcus pneumoniae, and pooled human microbiome samples) by placing Lasio/PLGA-coated tubes and appropriate controls in 48 well plates with diluted bacteria. Bacterial inhibition and tube adhesion were tested by measuring optical density and colony formation after tube culture, respectively. Biocompatibility was tested against laryngotracheal fibroblasts and lung epithelial cells. RESULTS: We achieved a homogeneous coating of ET tubes with Lasio in a PLGA matrix that yields a prolonged, linear release over 1 week (typical timeframe before the ET tube is changed). We observed significant antibacterial activity against S. epidermidis, S. pneumoniae, and human microbiome samples, and prevention of bacterial adherence to the tube. Additionally, the released Lasio did not cause any cytotoxicity toward laryngotracheal fibroblasts or lung epithelial cells in vitro. CONCLUSION: Overall, we demonstrate the design of an effective-eluting ET tube to modulate upper-airway bacterial infections during intubation which could be deployed to help prevent SGS. LEVEL OF EVIDENCE: NA Laryngoscope, 132:1356-1363, 2022."
2022,"Cells, tissues, organs",Cells Tissues Organs. 2022;211(6):670-688. doi: 10.1159/000514985. Epub 2021 Jul ,"['Capuana, Elisa', 'Marino, Davide', 'Di Gesù, Roberto', 'La Carrubba, Vincenzo', 'Brucato, Valerio', 'Tuan, Rocky S', 'Gottardi, Riccardo']","['humans', 'transforming growth factor beta1 metabolism', ' cartilage, articular metabolism', ' osteoarthritis metabolism', 'chondrocytes metabolism', 'tissue engineering', 'cartilage', 'in vitro model', 'mechanical activation', 'mechanobiology', 'post-traumatic osteoarthritis']",A High-Throughput Mechanical Activator for Cartilage Engineering Enables Rapid Screening of in vitro Response of Tissue Models to Physiological and Supra-Physiological Loads.,"Articular cartilage is crucially influenced by loading during development, health, and disease. However, our knowledge of the mechanical conditions that promote engineered cartilage maturation or tissue repair is still incomplete. Current in vitro models that allow precise control of the local mechanical environment have been dramatically limited by very low throughput, usually just a few specimens per experiment. To overcome this constraint, we have developed a new device for the high throughput compressive loading of tissue constructs: the High Throughput Mechanical Activator for Cartilage Engineering (HiT-MACE), which allows the mechanoactivation of 6 times more samples than current technologies. With HiT-MACE we were able to apply cyclic loads in the physiological (e.g., equivalent to walking and normal daily activity) and supra-physiological range (e.g., injurious impacts or extensive overloading) to up to 24 samples in one single run. In this report, we compared the early response of cartilage to physiological and supra-physiological mechanical loading to the response to IL-1β exposure, a common but rudimentary in vitro model of cartilage osteoarthritis. Physiological loading rapidly upregulated gene expression of anabolic markers along the TGF-β1 pathway. Notably, TGF-β1 or serum was not included in the medium. Supra-physiological loading caused a mild catabolic response while IL-1β exposure drove a rapid anabolic shift. This aligns well with recent findings suggesting that overloading is a more realistic and biomimetic model of cartilage degeneration. Taken together, these findings showed that the application of HiT-MACE allowed the use of larger number of samples to generate higher volume of data to effectively explore cartilage mechanobiology, which will enable the design of more effective repair and rehabilitation strategies for degenerative cartilage pathologies."
2021 Jul,Advanced drug delivery reviews,Adv Drug Deliv Rev. 2021 Jul;174:168-189. doi: 10.1016/j.addr.2021.04.004. Epub ,"['Ali Akbari Ghavimi, Soheila', 'Gehret, Paul M', 'Aronson, Matthew R', 'Schipani, Rossana', 'Smith, Kyra W Y', 'Borek, Ryan C', 'Germiller, John A', 'Jacobs, Ian N', 'Zur, Karen B', 'Gottardi, Riccardo']","['age factors', 'animals', 'anti-bacterial agents administration & dosage', 'child', ' drug delivery systems', 'glucocorticoids administration & dosage', 'humans', 'pharmaceutical preparations  administration & dosage metabolism', 'respiratory tract diseases  drug therapy', 'technology, pharmaceutical methods', 'controlled release', 'drug-eluting biomaterials', 'inflammation', 'upper airway disorders']",Drug delivery to the pediatric upper airway.,"Pediatric upper airway disorders are frequently life-threatening and require precise assessment and intervention. Targeting these pathologies remains a challenge for clinicians due to the high complexity of pediatric upper airway anatomy and numerous potential etiologies; the most common treatments include systemic delivery of high dose steroids and antibiotics or complex and invasive surgeries. Furthermore, the majority of innovative airway management technologies are only designed and tested for adults, limiting their widespread implementation in the pediatric population. Here, we provide a comprehensive review of the most recent challenges of managing common pediatric upper airway disorders, describe the limitations of current clinical treatments, and elaborate on how to circumvent those limitations via local controlled drug delivery. Furthermore, we propose future advancements in the field of drug-eluting technologies to improve pediatric upper airway management outcomes."
2021 Mar 5,Cancers,Cancers (Basel). 2021 Mar 5;13(5):1123. doi: 10.3390/cancers13051123.,"['Mangal, Joslyn L', 'Handlos, Jamie L', 'Esrafili, Arezoo', 'Inamdar, Sahil', 'Mcmillian, Sidnee', 'Wankhede, Mamta', 'Gottardi, Riccardo', 'Acharya, Abhinav P']","['car t cell', 'car macrophage', 'immunometabolism', 'immunotherapy', 'solid tumors', 'tumor microenvironment']",Engineering Metabolism of Chimeric Antigen Receptor (CAR) Cells for Developing Efficient Immunotherapies.,"Chimeric antigen receptor (CAR) T cell-based therapies have shown tremendous advancement in clinical and pre-clinical studies for the treatment of hematological malignancies, such as the refractory of pre-B cell acute lymphoblastic leukemia (B-ALL), chronic lymphocytic leukemia (CLL), and large B cell lymphoma (LBCL). However, CAR T cell therapy for solid tumors has not been successful clinically. Although, some research efforts, such as combining CARs with immune checkpoint inhibitor-based therapy, have been used to expand the application of CAR T cells for the treatment of solid tumors. Importantly, further understanding of the coordination of nutrient and energy supplies needed for CAR T cell expansion and function, especially in the tumor microenvironment (TME), is greatly needed. In addition to CAR T cells, there is great interest in utilizing other types of CAR immune cells, such as CAR NK and CAR macrophages that can infiltrate solid tumors. However, the metabolic competition in the TME between cancer cells and immune cells remains a challenge. Bioengineering technologies, such as metabolic engineering, can make a substantial contribution when developing CAR cells to have an ability to overcome nutrient-paucity in the solid TME. This review introduces technologies that have been used to generate metabolically fit CAR-immune cells as a treatment for hematological malignancies and solid tumors, and briefly discusses the challenges to treat solid tumors with CAR-immune cells."
2021 Jun,Drug delivery and translational research,Drug Deliv Transl Res. 2021 Jun;11(3):1144-1155. doi: 10.1007/s13346-020-00837-x.,"['Greene, Ashlee C', 'Acharya, Abhinav P', 'Lee, Sang B', 'Gottardi, Riccardo', 'Zaleski, Erin', 'Little, Steven R']","['biofilms', 'plant extracts pharmacology', ' vaccinium macrocarpon', 'biofilms', 'controlled release systems', 'cranberry extract', 'formulation', 'oral drug delivery']",Cranberry extract-based formulations for preventing bacterial biofilms.,"Generating formulations for the delivery of a mixture of natural compounds extracted from natural sources is a challenge because of unknown active and inactive ingredients and possible interactions between them. As one example, natural cranberry extracts have been proposed for the prevention of biofilm formation on dental pellicle or teeth. However, such extracts may contain phenolic acids, flavonol glycosides along with other constituents like coumaroyl iridoid glycosides, flavonoids, alpha-linolenic acid, n-6 (or n-3) fatty acids, and crude fiber. Due to the presence of a variety of compounds, determining which molecules (and how many molecules) are essential for preventing biofilm growth is nontrivial to ascertain. Therefore, a formulation that could contain natural, unrefined, cranberry extract (with all its constituent compounds) at high loading would be ideal. Accordingly, we have generated several candidate formulations including poly(lactic-co-glycolic) acid (PLGA)-based microencapsulation of cranberry extract (CE15) as well as formulations including stearic acid along with polyvinylpyrrolidone (PVP) or Ethyl lauroyl arginate (LAE) complexed with cranberry extracts (CE15). We found that stearic acid in combination with PVP or LAE as excipients led to higher loading of the active and inactive compounds in CE15 as compared with a PLGA microencapsulation and also sustained release of CE15 in a tunable manner. Using this method, we have been able to generate two successful formulations (one preventative based, one treatment based) that effectively inhibit biofilm growth when incubated with saliva. In addition to cranberry extract, this technique could also be a promising candidate for other natural extracts to form controlled release systems.Graphical abstract."
2020 Mar,Connective tissue research,Connect Tissue Res. 2020 Mar;61(2):115-116. doi: 10.1080/03008207.2020.1715573.,"['Gottardi, Riccardo']","[' bioprinting', 'humans', ' regenerative medicine', ' tissue engineering', 'tissue scaffolds  chemistry']",Advances in bioprinting: a toolbox for tissue engineering.,
2020 Jun,Drug delivery and translational research,Drug Deliv Transl Res. 2020 Jun;10(3):661-677. doi: 10.1007/s13346-020-00724-5.,"['Haley, Rebecca M', 'Gottardi, Riccardo', 'Langer, Robert', 'Mitchell, Michael J']","['animals', 'combined modality therapy', 'cyclodextrins  chemistry', 'drug delivery systems', 'genetic therapy  methods', 'humans', 'precision medicine', 'cancer', 'combination therapy', 'cyclodextrin', 'drug delivery', 'gene therapy', 'hydrogel', 'nanoparticle', 'nucleic acid delivery', 'oncology', 'polymer']",Cyclodextrins in drug delivery: applications in gene and combination therapy.,"Gene therapy is a powerful tool against genetic disorders and cancer, targeting the source of the disease rather than just treating the symptoms. While much of the initial success of gene delivery relied on viral vectors, non-viral vectors are emerging as promising gene delivery systems for efficacious treatment with decreased toxicity concerns. However, the delivery of genetic material is still challenging, and there is a need for vectors with enhanced targeting, reduced toxicity, and controlled release. In this article, we highlight current work in gene therapy which utilizes the cyclic oligosaccharide molecule cyclodextrin (CD). With a number of unique abilities, such as hosting small molecule drugs, acting as a linker or modular component, reducing immunogenicity, and disrupting membranes, CD is a valuable constituent in many delivery systems. These carriers also demonstrate great promise in combination therapies, due to the ease of assembling macromolecular structures and wide variety of chemical derivatives, which allow for customizable delivery systems and co-delivery of therapeutics. The use of combination and personalized therapies can result in improved patient health-modular systems, such as those which incorporate CD, are more conducive to these therapy types. Graphical abstract."
2020 Feb 10,Biomacromolecules,Biomacromolecules. 2020 Feb 10;21(2):319-327. doi: 10.1021/acs.biomac.9b01332. ,"['Lapomarda, Anna', 'De Acutis, Aurora', 'Chiesa, Irene', 'Fortunato, Gabriele M', 'Montemurro, Francesca', 'De Maria, Carmelo', 'Mattioli Belmonte, Monica', 'Gottardi, Riccardo', 'Vozzi, Giovanni']","['biocompatible materials chemistry', 'bioprinting  methods', 'cells, cultured', 'cross-linking reagents chemistry', 'ear', 'epoxy compounds  chemistry', 'freeze drying', 'humans', 'materials testing', 'mesenchymal stem cells cytology', 'nose', 'pectins  chemistry', 'porosity', 'rheology', 'silanes  chemistry', 'tissue engineering methods', 'tissue scaffolds  chemistry', 'water chemistry']",Pectin-GPTMS-Based Biomaterial: toward a Sustainable Bioprinting of 3D scaffolds for Tissue Engineering Application.,"Developing green and nontoxic biomaterials, derived from renewable sources and processable through 3D bioprinting technologies, is an emerging challenge of sustainable tissue engineering. Here, pectin from citrus peels was cross-linked for the first time with (3-glycidyloxypropyl)trimethoxysilane (GPTMS) through a one-pot procedure. Freeze-dried porous pectin sponges, with tunable properties in terms of porosity, water uptake, and compressive modulus, were obtained by controlling GPTMS content. Cell experiments showed that GPTMS did not affect the cytocompatibility of pectin. The addition of GPTMS improved the printability of pectin due to an increase of viscosity and yield stress. Three-dimensional woodpile and complex anatomical-shaped scaffolds with interconnected micro- and macropores were, therefore, bioprinted without the use of any additional support material. These results show the great potential of using pectin cross-linked with GPTMS as biomaterial ink to fabricate patient-specific scaffolds, which could be used to promote tissue regeneration in vivo."
