time,journal,doi_info,authors,key words,title,abstract
2024 May 29,Communications biology,Commun Biol. 2024 May 29;7(1):658. doi: 10.1038/s42003-024-06366-4.,"['Alisafaei, Farid', 'Mandal, Kalpana', 'Saldanha, Renita', 'Swoger, Maxx', 'Yang, Haiqian', 'Shi, Xuechen', 'Guo, Ming', 'Hehnly, Heidi', 'Castañeda, Carlos A', 'Janmey, Paul A', 'Patteson, Alison E', 'Shenoy, Vivek B']","[' microtubules metabolism', ' actomyosin metabolism', ' vimentin metabolism', ' mechanotransduction, cellular', 'humans', 'extracellular matrix metabolism', 'animals']",Vimentin is a key regulator of cell mechanosensing through opposite actions on actomyosin and microtubule networks.,"The cytoskeleton is a complex network of interconnected biopolymers consisting of actin filaments, microtubules, and intermediate filaments. These biopolymers work in concert to transmit cell-generated forces to the extracellular matrix required for cell motility, wound healing, and tissue maintenance. While we know cell-generated forces are driven by actomyosin contractility and balanced by microtubule network resistance, the effect of intermediate filaments on cellular forces is unclear. Using a combination of theoretical modeling and experiments, we show that vimentin intermediate filaments tune cell stress by assisting in both actomyosin-based force transmission and reinforcement of microtubule networks under compression. We show that the competition between these two opposing effects of vimentin is regulated by the microenvironment stiffness. These results reconcile seemingly contradictory results in the literature and provide a unified description of vimentin's effects on the transmission of cell contractile forces to the extracellular matrix."
2024 May 21,Nature communications,Nat Commun. 2024 May 21;15(1):4338. doi: 10.1038/s41467-024-48698-z.,"['Kant, Aayush', 'Guo, Zixian', 'Vinayak, Vinayak', 'Neguembor, Maria Victoria', 'Li, Wing Shun', 'Agrawal, Vasundhara', 'Pujadas, Emily', 'Almassalha, Luay', 'Backman, Vadim', 'Lakadamyali, Melike', 'Cosma, Maria Pia', 'Shenoy, Vivek B']","[' transcription, genetic', 'humans', ' epigenesis, genetic', ' histones metabolism', ' heterochromatin metabolism genetics', ' chromatin metabolism genetics', 'rna polymerase ii metabolism', 'cohesins', 'chromosomal proteins, non-histone metabolism genetics', 'histone code', 'cell line', 'cell nucleus metabolism genetics', 'acetylation', 'cell cycle proteins metabolism genetics', 'interphase']",Active transcription and epigenetic reactions synergistically regulate meso-scale genomic organization.,"In interphase nuclei, chromatin forms dense domains of characteristic sizes, but the influence of transcription and histone modifications on domain size is not understood. We present a theoretical model exploring this relationship, considering chromatin-chromatin interactions, histone modifications, and chromatin extrusion. We predict that the size of heterochromatic domains is governed by a balance among the diffusive flux of methylated histones sustaining them and the acetylation reactions in the domains and the process of loop extrusion via supercoiling by RNAPII at their periphery, which contributes to size reduction. Super-resolution and nano-imaging of five distinct cell lines confirm the predictions indicating that the absence of transcription leads to larger heterochromatin domains. Furthermore, the model accurately reproduces the findings regarding how transcription-mediated supercoiling loss can mitigate the impacts of excessive cohesin loading. Our findings shed light on the role of transcription in genome organization, offering insights into chromatin dynamics and potential therapeutic targets."
2024 May 2,Cell stem cell,Cell Stem Cell. 2024 May 2;31(5):640-656.e8. doi: 10.1016/j.stem.2024.03.016.,"['Indana, Dhiraj', 'Zakharov, Andrei', 'Lim, Youngbin', 'Dunn, Alexander R', 'Bhutani, Nidhi', 'Shenoy, Vivek B', 'Chaudhuri, Ovijit']","['humans', ' actins metabolism', ' germ layers metabolism cytology', ' osmotic pressure', ' polymerization', 'models, biological', 'tight junctions metabolism', 'actin', 'computational modeling', 'embryogenesis', 'engineered hydrogels', 'human epiblast model', 'induced pluripotent stem cells', 'lumen', 'morphogenesis', 'osmotic pressure', 'tissue biophysics']",Lumen expansion is initially driven by apical actin polymerization followed by osmotic pressure in a human epiblast model.,"Post-implantation, the pluripotent epiblast in a human embryo forms a central lumen, paving the way for gastrulation. Osmotic pressure gradients are considered the drivers of lumen expansion across development, but their role in human epiblasts is unknown. Here, we study lumenogenesis in a pluripotent-stem-cell-based epiblast model using engineered hydrogels. We find that leaky junctions prevent osmotic pressure gradients in early epiblasts and, instead, forces from apical actin polymerization drive lumen expansion. Once the lumen reaches a radius of ∼12 μm, tight junctions mature, and osmotic pressure gradients develop to drive further growth. Computational modeling indicates that apical actin polymerization into a stiff network mediates initial lumen expansion and predicts a transition to pressure-driven growth in larger epiblasts to avoid buckling. Human epiblasts show transcriptional signatures consistent with these mechanisms. Thus, actin polymerization drives lumen expansion in the human epiblast and may serve as a general mechanism of early lumenogenesis."
2024 Mar 29,Nature communications,Nat Commun. 2024 Mar 29;15(1):2766. doi: 10.1038/s41467-024-46774-y.,"['Xu, Karen L', 'Di Caprio, Nikolas', 'Fallahi, Hooman', 'Dehghany, Mohammad', 'Davidson, Matthew D', 'Laforest, Lorielle', 'Cheung, Brian C H', 'Zhang, Yuqi', 'Wu, Mingming', 'Shenoy, Vivek', 'Han, Lin', 'Mauck, Robert L', 'Burdick, Jason A']","[' hydrogels chemistry', 'cell movement', ' extracellular matrix metabolism', 'spheroids, cellular', 'biopolymers metabolism']",Microinterfaces in biopolymer-based bicontinuous hydrogels guide rapid 3D cell migration.,"Cell migration is critical for tissue development and regeneration but requires extracellular environments that are conducive to motion. Cells may actively generate migratory routes in vivo by degrading or remodeling their environments or instead utilize existing extracellular matrix microstructures or microtracks as innate pathways for migration. While hydrogels in general are valuable tools for probing the extracellular regulators of 3-dimensional migration, few recapitulate these natural migration paths. Here, we develop a biopolymer-based bicontinuous hydrogel system that comprises a covalent hydrogel of enzymatically crosslinked gelatin and a physical hydrogel of guest and host moieties bonded to hyaluronic acid. Bicontinuous hydrogels form through controlled solution immiscibility, and their continuous subdomains and high micro-interfacial surface area enable rapid 3D migration, particularly when compared to homogeneous hydrogels. Migratory behavior is mesenchymal in nature and regulated by biochemical and biophysical signals from the hydrogel, which is shown across various cell types and physiologically relevant contexts (e.g., cell spheroids, ex vivo tissues, in vivo tissues). Our findings introduce a design that leverages important local interfaces to guide rapid cell migration."
2023 Nov 11,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 11:2023.11.08.566191. doi: ,"['Beedle, Amy E M', 'Jaganathan, Anuja', 'Albajar-Sigalés, Aina', 'Yavitt, F Max', 'Bera, Kaustav', 'Andreu, Ion', 'Granero-Moya, Ignasi', 'Zalvidea, Dobryna', 'Kechagia, Zanetta', 'Wiche, Gerhard', 'Trepat, Xavier', 'Ivaska, Johanna', 'Anseth, Kristi S', 'Shenoy, Vivek B', 'Roca-Cusachs, Pere']",[],Fibrillar adhesion dynamics govern the timescales of nuclear mechano-response via the vimentin cytoskeleton.,"The cell nucleus is continuously exposed to external signals, of both chemical and mechanical nature. To ensure proper cellular response, cells need to regulate not only the transmission of these signals, but also their timing and duration. Such timescale regulation is well described for fluctuating chemical signals, but if and how it applies to mechanical signals reaching the nucleus is still unknown. Here we demonstrate that the formation of fibrillar adhesions locks the nucleus in a mechanically deformed conformation, setting the mechanical response timescale to that of fibrillar adhesion remodelling (~1 hour). This process encompasses both mechanical deformation and associated mechanotransduction (such as via YAP), in response to both increased and decreased mechanical stimulation. The underlying mechanism is the anchoring of the vimentin cytoskeleton to fibrillar adhesions and the extracellular matrix through plectin 1f, which maintains nuclear deformation. Our results reveal a mechanism to regulate the timescale of mechanical adaptation, effectively setting a low pass filter to mechanotransduction."
2024 May,Nature materials,Nat Mater. 2024 May;23(5):711-722. doi: 10.1038/s41563-023-01716-9. Epub 2023 Nov ,"['Chang, Julie', 'Saraswathibhatla, Aashrith', 'Song, Zhaoqiang', 'Varma, Sushama', 'Sanchez, Colline', 'Alyafei, Naomi Hassan Kahtan', 'Indana, Dhiraj', 'Slyman, Raleigh', 'Srivastava, Sucheta', 'Liu, Katherine', 'Bassik, Michael C', 'Marinkovich, M Peter', 'Hodgson, Louis', 'Shenoy, Vivek', 'West, Robert B', 'Chaudhuri, Ovijit']","[' basement membrane metabolism pathology', ' breast neoplasms pathology metabolism', 'humans', ' neoplasm invasiveness', 'female', 'cell line, tumor', 'cell size']",Cell volume expansion and local contractility drive collective invasion of the basement membrane in breast cancer.,"Breast cancer becomes invasive when carcinoma cells invade through the basement membrane (BM)-a nanoporous layer of matrix that physically separates the primary tumour from the stroma. Single cells can invade through nanoporous three-dimensional matrices due to protease-mediated degradation or force-mediated widening of pores via invadopodial protrusions. However, how multiple cells collectively invade through the physiological BM, as they do during breast cancer progression, remains unclear. Here we developed a three-dimensional in vitro model of collective invasion of the BM during breast cancer. We show that cells utilize both proteases and forces-but not invadopodia-to breach the BM. Forces are generated from a combination of global cell volume expansion, which stretches the BM, and local contractile forces that act in the plane of the BM to breach it, allowing invasion. These results uncover a mechanism by which cells collectively interact to overcome a critical barrier to metastasis."
2023 May 22,Nature communications,Nat Commun. 2023 May 22;14(1):2902. doi: 10.1038/s41467-023-38598-z.,"['Gong, Ze', 'van den Dries, Koen', 'Migueles-Ramírez, Rodrigo A', 'Wiseman, Paul W', 'Cambi, Alessandra', 'Shenoy, Vivek B']","[' podosomes metabolism', 'actins metabolism', 'macrophages metabolism']",Chemo-mechanical diffusion waves explain collective dynamics of immune cell podosomes.,"Immune cells, such as macrophages and dendritic cells, can utilize podosomes, mechanosensitive actin-rich protrusions, to generate forces, migrate, and patrol for foreign antigens. Individual podosomes probe their microenvironment through periodic protrusion and retraction cycles (height oscillations), while oscillations of multiple podosomes in a cluster are coordinated in a wave-like fashion. However, the mechanisms governing both the individual oscillations and the collective wave-like dynamics remain unclear. Here, by integrating actin polymerization, myosin contractility, actin diffusion, and mechanosensitive signaling, we develop a chemo-mechanical model for podosome dynamics in clusters. Our model reveals that podosomes show oscillatory growth when actin polymerization-driven protrusion and signaling-associated myosin contraction occur at similar rates, while the diffusion of actin monomers drives wave-like coordination of podosome oscillations. Our theoretical predictions are validated by different pharmacological treatments and the impact of microenvironment stiffness on chemo-mechanical waves. Our proposed framework can shed light on the role of podosomes in immune cell mechanosensing within the context of wound healing and cancer immunotherapy."
2023 Jun,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2023 Jun;10(16):e2206554. doi: 10.1002/advs.202206554. Epub 2023 ,"['Javanmardi, Yousef', 'Agrawal, Ayushi', 'Malandrino, Andrea', 'Lasli, Soufian', 'Chen, Michelle', 'Shahreza, Somayeh', 'Serwinski, Bianca', 'Cammoun, Leila', 'Li, Ran', 'Jorfi, Mehdi', 'Djordjevic, Boris', 'Szita, Nicolas', 'Spill, Fabian', 'Bertazzo, Sergio', 'Sheridan, Graham K', 'Shenoy, Vivek', 'Calvo, Fernando', 'Kamm, Roger', 'Moeendarbary, Emad']","[' transendothelial and transepithelial migration', 'endothelial cells', 'endothelium', 'actins', 'mechanical phenomena', ' neoplasms', 'biomaterial properties', 'cancer cell extravasation', 'computational modeling', 'metastasis', 'traction force microscopy']",Endothelium and Subendothelial Matrix Mechanics Modulate Cancer Cell Transendothelial Migration.,"Cancer cell extravasation, a key step in the metastatic cascade, involves cancer cell arrest on the endothelium, transendothelial migration (TEM), followed by the invasion into the subendothelial extracellular matrix (ECM) of distant tissues. While cancer research has mostly focused on the biomechanical interactions between tumor cells (TCs) and ECM, particularly at the primary tumor site, very little is known about the mechanical properties of endothelial cells and the subendothelial ECM and how they contribute to the extravasation process. Here, an integrated experimental and theoretical framework is developed to investigate the mechanical crosstalk between TCs, endothelium and subendothelial ECM during in vitro cancer cell extravasation. It is found that cancer cell actin-rich protrusions generate complex push-pull forces to initiate and drive TEM, while transmigration success also relies on the forces generated by the endothelium. Consequently, mechanical properties of the subendothelial ECM and endothelial actomyosin contractility that mediate the endothelial forces also impact the endothelium's resistance to cancer cell transmigration. These results indicate that mechanical features of distant tissues, including force interactions between the endothelium and the subendothelial ECM, are key determinants of metastatic organotropism."
2023 Apr 18,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Apr 18;120(16):e2216811120. doi: ,"['Loneker, Abigail E', 'Alisafaei, Farid', 'Kant, Aayush', 'Li, David', 'Janmey, Paul A', 'Shenoy, Vivek B', 'Wells, Rebecca G']","['humans', 'lipid droplets metabolism', 'hepatocytes pathology', ' carcinoma, hepatocellular pathology', ' non-alcoholic fatty liver disease pathology', ' liver neoplasms pathology', 'lipid metabolism physiology', 'hnf4α', 'chromatin condensation', 'cytoskeleton', 'mechanobiology', 'nuclear deformation']",Lipid droplets are intracellular mechanical stressors that impair hepatocyte function.,"Matrix stiffening and external mechanical stress have been linked to disease and cancer development in multiple tissues, including the liver, where cirrhosis (which increases stiffness markedly) is the major risk factor for hepatocellular carcinoma. Patients with nonalcoholic fatty liver disease and lipid droplet-filled hepatocytes, however, can develop cancer in noncirrhotic, relatively soft tissue. Here, by treating primary human hepatocytes with the monounsaturated fatty acid oleate, we show that lipid droplets are intracellular mechanical stressors with similar effects to tissue stiffening, including nuclear deformation, chromatin condensation, and impaired hepatocyte function. Mathematical modeling of lipid droplets as inclusions that have only mechanical interactions with other cellular components generated results consistent with our experiments. These data show that lipid droplets are intracellular sources of mechanical stress and suggest that nuclear membrane tension integrates cell responses to combined internal and external stresses."
2022 Nov 25,Science advances,Sci Adv. 2022 Nov 25;8(47):eabq5944. doi: 10.1126/sciadv.abq5944. Epub 2022 Nov ,"['Price, Christopher C', 'Singh, Akash', 'Frey, Nathan C', 'Shenoy, Vivek B']",[],Efficient catalyst screening using graph neural networks to predict strain effects on adsorption energy.,"Small-molecule adsorption energies correlate with energy barriers of catalyzed intermediate reaction steps, determining the dominant microkinetic mechanism. Straining the catalyst can alter adsorption energies and break scaling relationships that inhibit reaction engineering, but identifying desirable strain patterns using density functional theory is intractable because of the high-dimensional search space. We train a graph neural network to predict the adsorption energy response of a catalyst/adsorbate system under a proposed surface strain pattern. The training data are generated by randomly straining and relaxing Cu-based binary alloy catalyst complexes taken from the Open Catalyst Project. The trained model successfully predicts the adsorption energy response for 85% of strains in unseen test data, outperforming ensemble linear baselines. Using ammonia synthesis as an example, we identify Cu-S alloy catalysts as promising candidates for strain engineering. Our approach can locate strain patterns that break adsorption energy scaling relations to improve catalyst performance."
