time,journal,doi_info,authors,key words,title,abstract
2024 May 30,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 May 30:e2403568. doi: 10.1002/adma.202403568.,"['Luo, Jianzhe', 'Lu, Wenyun', 'Jang, Daeik', 'Zhang, Qianyun', 'Meng, Wenxuan', 'Wells, Alan', 'Alavi, Amir H']","['blood electrical conductivity', 'low frequency', 'millifluidic lab‐on‐a‐chip', 'triboelectric nanogenerator']",Millifluidic Nanogenerator Lab-on-a-Chip Device for Blood Electrical Conductivity Monitoring at Low Frequency.,"The electrical conductivity of blood is a crucial physiological parameter with diverse applications in medical diagnostics. Here, a novel approach utilizing a portable millifluidic nanogenerator lab-on-a-chip device for measuring blood conductivity at low frequencies, is introduced. The proposed device employs blood as a conductive substance within its built-in triboelectric nanogenerator system. The voltage generated by this blood-based nanogenerator device is analyzed to determine the electrical conductivity of the blood sample. The self-powering functionality of the device eliminates the need for complex embedded electronics and external electrodes. Experimental results using simulated body fluid and human blood plasma demonstrate the device's efficacy in detecting variations in conductivity related to changes in electrolyte concentrations. Furthermore, artificial intelligence models are used to analyze the generated voltage patterns and to estimate the blood electrical conductivity. The models exhibit high accuracy in predicting conductivity based solely on the device-generated voltage. The 3D-printed, disposable design of the device enhances portability and usability, providing a point-of-care solution for rapid blood conductivity assessment. A comparative analysis with traditional conductivity measurement methods highlights the advantages of the proposed device in terms of simplicity, portability, and adaptability for various applications beyond blood analysis."
2024 Feb,Nature,Nature. 2024 Feb;626(7998):367-376. doi: 10.1038/s41586-023-06914-8. Epub 2023 ,"['Hislop, Joshua', 'Song, Qi', 'Keshavarz F, Kamyar', 'Alavi, Amir', 'Schoenberger, Rayna', 'LeGraw, Ryan', 'Velazquez, Jeremy J', 'Mokhtari, Tahere', 'Taheri, Mohammad Naser', 'Rytel, Matthew', 'Chuva de Sousa Lopes, Susana M', 'Watkins, Simon', 'Stolz, Donna', 'Kiani, Samira', 'Sozen, Berna', 'Bar-Joseph, Ziv', 'Ebrahimkhani, Mo R']","['humans', 'embryo implantation', ' embryonic development', 'endoderm cytology embryology', ' germ layers cytology embryology', ' yolk sac cytology embryology', 'mesoderm cytology embryology', ' hematopoiesis', 'induced pluripotent stem cells cytology', 'amnion cytology embryology', 'embryoid bodies cytology', 'cell lineage', 'developmental biology methods trends']",Modelling post-implantation human development to yolk sac blood emergence.,"Implantation of the human embryo begins a critical developmental stage that comprises profound events including axis formation, gastrulation and the emergence of haematopoietic system(1,2). Our mechanistic knowledge of this window of human life remains limited due to restricted access to in vivo samples for both technical and ethical reasons(3-5). Stem cell models of human embryo have emerged to help unlock the mysteries of this stage(6-16). Here we present a genetically inducible stem cell-derived embryoid model of early post-implantation human embryogenesis that captures the reciprocal codevelopment of embryonic tissue and the extra-embryonic endoderm and mesoderm niche with early haematopoiesis. This model is produced from induced pluripotent stem cells and shows unanticipated self-organizing cellular programmes similar to those that occur in embryogenesis, including the formation of amniotic cavity and bilaminar disc morphologies as well as the generation of an anterior hypoblast pole and posterior domain. The extra-embryonic layer in these embryoids lacks trophoblast and shows advanced multilineage yolk sac tissue-like morphogenesis that harbours a process similar to distinct waves of haematopoiesis, including the emergence of erythroid-, megakaryocyte-, myeloid- and lymphoid-like cells. This model presents an easy-to-use, high-throughput, reproducible and scalable platform to probe multifaceted aspects of human development and blood formation at the early post-implantation stage. It will provide a tractable human-based model for drug testing and disease modelling."
2024 Feb,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Feb;36(5):e2308505. doi: 10.1002/adma.202308505. Epub 2023 Dec 7.,"['Jiao, Pengcheng', 'Wang, Zhong Lin', 'Alavi, Amir H']","['physics-informed artificial intelligence', 'strategic inverse design', 'triboelectric nanogenerators']",Maximizing Triboelectric Nanogenerators by Physics-Informed AI Inverse Design.,"Triboelectric nanogenerators offer an environmentally friendly approach to harvesting energy from mechanical excitations. This capability has made them widely sought-after as an efficient, renewable, and sustainable energy source, with the potential to decrease reliance on traditional fossil fuels. However, developing triboelectric nanogenerators with specific output remains a challenge mainly due to the uncertainties associated with their complex designs for real-life applications. Artificial intelligence-enabled inverse design is a powerful tool to realize performance-oriented triboelectric nanogenerators. This is an emerging scientific direction that can address the concerns about the design and optimization of triboelectric nanogenerators leading to a next generation nanogenerator systems. This perspective paper aims at reviewing the principal analysis of triboelectricity, summarizing the current challenges of designing and optimizing triboelectric nanogenerators, and highlighting the physics-informed inverse design strategies to develop triboelectric nanogenerators. Strategic inverse design is particularly discussed in the contexts of expanding the four-mode analytical models by physics-informed artificial intelligence, discovering new conductive and dielectric materials, and optimizing contact interfaces. Various potential development levels of artificial intelligence-enhanced triboelectric nanogenerators are delineated. Finally, the potential of physics-informed artificial intelligence inverse design to propel triboelectric nanogenerators from prototypes to multifunctional intelligent systems for real-life applications is discussed."
2023 Sep 26,Nature communications,Nat Commun. 2023 Sep 26;14(1):6004. doi: 10.1038/s41467-023-41679-8.,"['Jiao, Pengcheng', 'Mueller, Jochen', 'Raney, Jordan R', 'Zheng, Xiaoyu Rayne', 'Alavi, Amir H']",[],Mechanical metamaterials and beyond.,"Mechanical metamaterials enable the creation of structural materials with unprecedented mechanical properties. However, thus far, research on mechanical metamaterials has focused on passive mechanical metamaterials and the tunability of their mechanical properties. Deep integration of multifunctionality, sensing, electrical actuation, information processing, and advancing data-driven designs are grand challenges in the mechanical metamaterials community that could lead to truly intelligent mechanical metamaterials. In this perspective, we provide an overview of mechanical metamaterials within and beyond their classical mechanical functionalities. We discuss various aspects of data-driven approaches for inverse design and optimization of multifunctional mechanical metamaterials. Our aim is to provide new roadmaps for design and discovery of next-generation active and responsive mechanical metamaterials that can interact with the surrounding environment and adapt to various conditions while inheriting all outstanding mechanical features of classical mechanical metamaterials. Next, we deliberate the emerging mechanical metamaterials with specific functionalities to design informative and scientific intelligent devices. We highlight open challenges ahead of mechanical metamaterial systems at the component and integration levels and their transition into the domain of application beyond their mechanical capabilities."
2023 Jul 24,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 24:2023.06.15.545118. doi: ,"['Hislop, Joshua', 'Alavi, Amir', 'Song, Qi', 'Schoenberger, Rayna', 'Kamyar, Keshavarz F', 'LeGraw, Ryan', 'Velazquez, Jeremy', 'Mokhtari, Tahere', 'Taheri, Mohammad Nasser', 'Rytel, Matthew', 'de Sousa Lopes, Susana M Chuva', 'Watkins, Simon', 'Stolz, Donna', 'Kiani, Samira', 'Sozen, Berna', 'Bar-Joseph, Ziv', 'Ebrahimkhani, Mo R']",[],Modelling Human Post-Implantation Development via Extra-Embryonic Niche Engineering.,"Implantation of the human embryo commences a critical developmental stage that comprises profound morphogenetic alteration of embryonic and extra-embryonic tissues, axis formation, and gastrulation events. Our mechanistic knowledge of this window of human life remains limited due to restricted access to in vivo samples for both technical and ethical reasons. Additionally, human stem cell models of early post-implantation development with both embryonic and extra-embryonic tissue morphogenesis are lacking. Here, we present iDiscoid, produced from human induced pluripotent stem cells via an engineered a synthetic gene circuit. iDiscoids exhibit reciprocal co-development of human embryonic tissue and engineered extra-embryonic niche in a model of human post-implantation. They exhibit unanticipated self-organization and tissue boundary formation that recapitulates yolk sac-like tissue specification with extra-embryonic mesoderm and hematopoietic characteristics, the formation of bilaminar disc-like embryonic morphology, the development of an amniotic-like cavity, and acquisition of an anterior-like hypoblast pole and posterior-like axis. iDiscoids offer an easy-to-use, high-throughput, reproducible, and scalable platform to probe multifaceted aspects of human early post-implantation development. Thus, they have the potential to provide a tractable human model for drug testing, developmental toxicology, and disease modeling."
2023 Apr,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2023 Apr;35(14):e2211027. doi: 10.1002/adma.202211027. Epub 2023 Feb ,"['Barri, Kaveh', 'Zhang, Qianyun', 'Kline, Jake', 'Lu, Wenyun', 'Luo, Jianzhe', 'Sun, Zhe', 'Taylor, Brandon E', 'Sachs, Steven G', 'Khazanovich, Lev', 'Wang, Zhong Lin', 'Alavi, Amir H']","['energy harvesting', 'mechanical metamaterials', 'multifunctional concrete', 'sensing', 'stiffness', 'triboelectric nanogenerators']",Multifunctional Nanogenerator-Integrated Metamaterial Concrete Systems for Smart Civil Infrastructure.,"Creating multifunctional concrete materials with advanced functionalities and mechanical tunability is a critical step toward reimagining the traditional civil infrastructure systems. Here, the concept of nanogenerator-integrated mechanical metamaterial concrete is presented to design lightweight and mechanically tunable concrete systems with energy harvesting and sensing functionalities. The proposed metamaterial concrete systems are created via integrating the mechanical metamaterial and nano-energy-harvesting paradigms. These advanced materials are composed of reinforcement auxetic polymer lattices with snap-through buckling behavior fully embedded inside a conductive cement matrix. We rationally design their composite structures to induce contact-electrification between the layers under mechanical excitations/triggering. The conductive cement enhanced with graphite powder serves as the electrode in the proposed systems, while providing the desired mechanical performance. Experimental studies are conducted to investigate the mechanical and electrical properties of the designed prototypes. The metamaterial concrete systems are tuned to achieve up to 15% compressibility under cycling loading. The power output of the nanogenerator-integrated metamaterial concrete prototypes reaches 330 µW. Furthermore, the self-powered sensing functionality of the nanogenerator concrete systems for distributed health monitoring of large-scale concrete structures is demonstrated. The metamaterial concrete paradigm can possibly enable the design of smart civil infrastructure systems with a broad range of advanced functionalities."
2022 Nov 21,Cell reports methods,Cell Rep Methods. 2022 Nov 11;2(11):100332. doi: 10.1016/j.crmeth.2022.100332. ,"['Hasanaj, Euxhen', 'Alavi, Amir', 'Gupta, Anupam', 'Póczos, Barnabás', 'Bar-Joseph, Ziv']","[' gene expression profiling methods', ' single-cell analysis methods', 'cluster analysis', 'algorithms', 'phenotype', 'algorithm', 'biomarker', 'cross-entropy method', 'gene sets', 'marker discovery', 'multiset multicover', 'phenotype cover', 'scrna-seq', 'set cover']",Multiset multicover methods for discriminative marker selection.,"Markers are increasingly being used for several high-throughput data analysis and experimental design tasks. Examples include the use of markers for assigning cell types in scRNA-seq studies, for deconvolving bulk gene expression data, and for selecting marker proteins in single-cell spatial proteomics studies. Most marker selection methods focus on differential expression (DE) analysis. Although such methods work well for data with a few non-overlapping marker sets, they are not appropriate for large atlas-size datasets where several cell types and tissues are considered. To address this, we define the phenotype cover (PC) problem for marker selection and present algorithms that can improve the discriminative power of marker sets. Analysis of these sets on several marker-selection tasks suggests that these methods can lead to solutions that accurately distinguish different phenotypes in the data."
2022 Oct,Nature methods,Nat Methods. 2022 Oct;19(10):1306-1319. doi: 10.1038/s41592-022-01583-3. Epub ,"['Zeleniak, Ann', 'Wiegand, Connor', 'Liu, Wen', 'McCormick, Catherine', 'K, Ravikumar', 'Alavi, Amir', 'Guan, Haonan', 'Bertera, Suzanne', 'Lakomy, Robert', 'Tajima, Asako', 'Cohen, Henry', 'Wong, Stephanie', 'Balikani, Lame', 'Mizerak, Benjamin', 'Bar-Joseph, Ziv', 'Trucco, Massimo', 'Banerjee, Ipsita', 'Fan, Yong']","['animals', 'disease models, animal', ' hematopoietic stem cell transplantation', 'humans', ' induced pluripotent stem cells', 'mice', 'mice, scid', 'organoids', 't-lymphocytes', 'thymus gland']",De novo construction of T cell compartment in humanized mice engrafted with iPSC-derived thymus organoids.,"Hematopoietic humanized (hu) mice are powerful tools for modeling the action of human immune system and are widely used for preclinical studies and drug discovery. However, generating a functional human T cell compartment in hu mice remains challenging, primarily due to the species-related differences between human and mouse thymus. While engrafting human fetal thymic tissues can support robust T cell development in hu mice, tissue scarcity and ethical concerns limit their wide use. Here, we describe the tissue engineering of human thymus organoids from inducible pluripotent stem cells (iPSC-thymus) that can support the de novo generation of a diverse population of functional human T cells. T cells of iPSC-thymus-engrafted hu mice could mediate both cellular and humoral immune responses, including mounting robust proinflammatory responses on T cell receptor engagement, inhibiting allogeneic tumor graft growth and facilitating efficient Ig class switching. Our findings indicate that hu mice engrafted with iPSC-thymus can serve as a new animal model to study human T cell-mediated immunity and accelerate the translation of findings from animal studies into the clinic."
2021 Oct 25,Cell reports methods,Cell Rep Methods. 2021 Oct 4;1(6):100087. doi: 10.1016/j.crmeth.2021.100087. ,"['Ding, Jun', 'Alavi, Amir', 'Ebrahimkhani, Mo R', 'Bar-Joseph, Ziv']","['cell differentiation', ' pluripotent stem cells', 'computational approaches', 'pluripotent cell differentiation', 'protocol optimization', 'single cell', 'stem cell applications']",Computational tools for analyzing single-cell data in pluripotent cell differentiation studies.,"Single-cell technologies are revolutionizing the ability of researchers to infer the causes and results of biological processes. Although several studies of pluripotent cell differentiation have recently utilized single-cell sequencing data, other aspects related to the optimization of differentiation protocols, their validation, robustness, and usage are still not taking full advantage of single-cell technologies. In this review, we focus on computational approaches for the analysis of single-cell omics and imaging data and discuss their use to address many of the major challenges involved in the development, validation, and use of cells obtained from pluripotent cell differentiation."
2022 Jan 7,Scientific reports,Sci Rep. 2022 Jan 7;12(1):89. doi: 10.1038/s41598-021-04100-2.,"['Jiao, Pengcheng', 'Matin Nazar, Ali', 'Egbe, King-James Idala', 'Barri, Kaveh', 'Alavi, Amir H']",[],Magnetic capsulate triboelectric nanogenerators.,"Triboelectric nanogenerators have received significant research attention in recent years. Structural design plays a critical role in improving the energy harvesting performance of triboelectric nanogenerators. Here, we develop the magnetic capsulate triboelectric nanogenerators (MC-TENG) for energy harvesting under undesirable mechanical excitations. The capsulate TENG are designed to be driven by an oscillation-triggered magnetic force in a holding frame to generate electrical power due to the principle of the freestanding triboelectrification. Experimental and numerical studies are conducted to investigate the electrical performance of MC-TENG under cyclic loading in three energy harvesting modes. The results indicate that the energy harvesting performance of the MC-TENG is significantly affected by the structure of the capsulate TENG. The copper MC-TENG systems are found to be the most effective design that generates the maximum mode of the voltage range is 4 V in the closed-circuit with the resistance of 10 GΩ. The proposed MC-TENG concept provides an effective method to harvest electrical energy from low-frequency and low-amplitude oscillations such as ocean wave."
