time,journal,doi_info,authors,key words,title,abstract
2022,PloS one,PLoS One. 2022 Aug 25;17(8):e0273336. doi: 10.1371/journal.pone.0273336. ,"['Chung, William L', 'Brown, Bryan N', 'Almarza, Alejandro J']","['animals', 'dogs', 'extracellular matrix chemistry', 'intestine, small', ' meniscus', 'prostheses and implants', 'swine', 'temporomandibular joint', ' temporomandibular joint disc physiology surgery', 'tissue engineering methods', 'tissue scaffolds adverse effects']",Decellularized small intestine submucosa device for temporomandibular joint meniscus repair: Acute timepoint safety study.,"Temporomandibular joint (TMJ) Meniscus removal is an option for the patient to regain full range of motion if the disc is irreversibly damaged or unable to be reduced. However, this procedure leaves the joint vulnerable to condylar remodeling and degeneration. We have shown that extracellular matrix (ECM) scaffolds remodel into a tissue with near native TMJ meniscus in previous studies. The next step towards clinical translation is to manufacture the ECM scaffold as a device under good manufacturing practices (GMP) and test it in a pre-clinical animal study under good laboratory practices (GLP). The primary objective of this study was to evaluate the in-vivo histopathological response to a Prototype GMP manufactured device made of decellularized porcine small intestinal submucosa (SIS), by observing for signs of surrounding tissue reaction to the device that are indicative of an adverse host response in comparison to an empty control at 21 days post-surgical implantation in a canine TMJ meniscus removal and implant model in a GLP setting. The conclusive findings were that the ECM device is safe for placement in the TMJ. After 21 days post implantation, histology of tissue surrounding the device and draining lymph nodes showed that the Prototype GMP device had no negative effects compared to the empty site (as evaluated by the board-certified veterinary pathologist). Furthermore, there was a lack of negative findings for clinical pathology (hematology and clinical chemistry), mortality, and body weight/weight change. Future studies will go to one year after implantation to show that the remodel device remains as a viable tissue with near native mechanical properties."
2022 Jul,Clinical oral investigations,Clin Oral Investig. 2022 Jul;26(7):5019-5027. doi: 10.1007/s00784-022-04472-3. ,"['Lee, Jonah D', 'Becker, Josh I', 'Larkin, Lisa M', 'Almarza, Alejandro J', 'Kapila, Sunil D']","['animals', 'collagen', 'disease models, animal', ' elastin', 'glycosaminoglycans', 'humans', 'mandibular condyle diagnostic imaging', 'sheep', 'swine', 'temporomandibular joint pathology', ' temporomandibular joint disorders pathology', 'tissue engineering', 'x-ray microtomography', 'micro-ct', 'pig', 'sheep', 'temporomandibular joint', 'tissue engineering']",Morphologic and histologic characterization of sheep and porcine TMJ as large animal models for tissue engineering applications.,"OBJECTIVE: The aim of this study was to compare and characterize the structural and ultrastructural organization of the temporomandibular joint (TMJ) between two large animal models for use in the development of tissue engineering strategies. MATERIALS AND METHODS: Whole TMJs from sheep and pigs were evaluated with micro-computed tomography (μCT) for morphology and quantitative analyses of bone parameters. Histological examination was performed on the TMJ disc and its attachments to investigate regional distribution of collagen, elastin, and glycosaminoglycans (GAGs). RESULTS: μCT analyses demonstrate higher bone mineral density (BMD) in the temporal fossa compared to the mandibular condyle in both species, with this variable being significantly higher in sheep than pig. Quantitative morphometry of the trabecular condyle reveals no statistical differences between the species. Histology demonstrates similar structural organization of collagen and elastin between species. Elastin staining was nearly twofold greater in sheep than in the pig disc. Finally, Safranin-O staining for GAGs in the TMJ disc was localized to the intermediate zone in the sheep but was absent from the porcine disc. CONCLUSIONS: Our findings show some important differences in the pig and sheep TMJ μCT variables and histology and composition of the disc and discal attachment. These disparities likely reflect differences in masticatory and TMJ functional loading patterns between the two species and provide insights into large animal models towards human applications. CLINICAL RELEVANCE: As with the established pig model, the sheep is a suitable large animal model for TMJ research such as regenerative strategies, with specific considerations for design parameters appropriate for human-analog applications."
2022 May,Tissue engineering. Part A,Tissue Eng Part A. 2022 May;28(9-10):447-457. doi: 10.1089/ten.TEA.2021.0123. ,"['Brown, Bryan N', 'Chung, William L', 'Lowe, Jesse', 'LoPresti, Samuel T', 'Cheetham, Jonathan', 'Almarza, Alejandro J', 'Badylak, Stephen F']","['animals', ' extracellular matrix chemistry', 'swine', 'temporomandibular joint surgery', ' temporomandibular joint disc pathology surgery', 'extracellular matrix scaffold', 'small intestine submucosa', 'temporomandibular joint disc', 'tissue regeneration']",Inductive Remodeling of Extracellular Matrix Scaffolds in the Temporomandibular Joint of Pigs.,"The temporomandibular joint (TMJ) disc is a fibrocartilaginous tissue located between the condyle of the mandible and glenoid fossa and articular eminence of the temporal bone. Damage or derangement of the TMJ disc can require surgical removal (discectomy) to restore function. Removal of the TMJ disc, however, leaves the joint space vulnerable to condylar remodeling and degradation, potentially leading to long-term complications. No consistently effective clinical option exists for repair or replacement of the disc following discectomy. This study investigates the use of an acellular scaffold composed of extracellular matrix (ECM) derived from small intestinal submucosa (SIS) as a regenerative template for the TMJ disc in a porcine model. Acellular SIS ECM scaffolds were implanted following discectomy and allowed to remodel for 2, 4, 12, and 24 weeks postimplantation. Remodeling of the implanted device was assessed by longitudinal magnetic resonance imaging (MRI) over the course of 6 months, as well as gross morphologic, histologic, biochemical, and biomechanical analysis (tension and compression) of explanted tissues (disc and condyle) at the time of sacrifice. When the scaffold remained in the joint space, longitudinal MRI demonstrated that the scaffolds promoted new tissue formation within the joint space throughout the study period. The scaffolds were rapidly populated with host-derived cells and remodeled with formation of new, dense, aligned fibrocartilage resembling native tissue as early as 1 month postimplantation. De-novo formation of peripheral muscular and tendinous attachments resembling those in native tissue was also observed. The remodeled scaffolds approached native disc biochemical composition and compressive modulus, and possessed 50% of the tensile modulus within 3 months postimplantation. No degradation of the condylar surface was observed. These results suggest that this acellular bioscaffold fills a medical need for which there is currently no effective treatment and may represent a clinically relevant ""off-the-shelf"" implant for reconstruction of the TMJ disc."
2021 Jun 1,Journal of biomechanical engineering,J Biomech Eng. 2021 Jun 1;143(6):064501. doi: 10.1115/1.4050033.,"['Li, Wuyang', 'Trbojevic, Sara', 'Almarza, Alejandro J']",[' temporomandibular joint disc'],Comparison of the Trueness of Fits of the Biphasic Transverse Isotropic and Kelvin Models to the Tensile Behavior of Temporomandibular Joint Disc.,"This technical brief explores the validity and trueness of fit for using the transverse isotropic biphasic and Kelvin models (first and second order generalized) for characterization of the viscoelastic tensile properties of the temporomandibular joint (TMJ) discs from pigs and goats at a strain rate of 10 mm/min. We performed incremental stress-relaxation tests from 0 to 12% strain, in 4% strain steps on pig TMJ disc samples. In addition, to compare the outcomes of these models between species, we also performed a single-step stress-relaxation test of 10% strain. The transverse isotropic biphasic model yielded reliable fits in reference to the least root mean squared error method only at low strain, while the Kelvin models yielded good fits at both low and high strain, with the second order generalized Kelvin model yielding the best fit. When comparing pig to goat TMJ disc in 10% strain stress-relaxation test, unlike the other two Kelvin models, the transverse isotropic model did not fit well for this larger step. In conclusion, the second order Kelvin model showed the best fits to the experimental data of both species. The transverse isotropic biphasic model did not fit well with the experimental data, although better at low strain, suggesting that the assumption of water flow only applies while uncrimping the collagen fibers. Thus, it is likely that the permeability from the biphasic model is not truly representative, and other biphasic models, such as the poroviscoelastic model, would likely yield more meaningful outputs and should be explored in future works."
2020 Sep 21,ACS applied bio materials,ACS Appl Bio Mater. 2020 Sep 21;3(9):5652-5663. doi: 10.1021/acsabm.0c00371. Epub ,"['Patel, Akhil', 'Zaky, Samer H', 'Li, Hongshuai', 'Schoedel, Karen', 'Almarza, Alejandro J', 'Sfeir, Charles', 'Sant, Vinayak', 'Sant, Shilpa']","['bioinspired', 'biomimetic, hydrogel', 'bone regeneration', 'chitosan', 'kappa-carrageenan', 'polysaccharide', 'rabbit ulna defect', 'self-assembly', 'substitute bone graft']",Bottom-Up Self-assembled Hydrogel-Mineral Composites Regenerate Rabbit Ulna Defect without Added Growth Factors.,"Hydrogel-based biomaterials have advanced bone tissue engineering approaches in the last decade, through their ability to serve as a carrier for potent growth factor, bone morphogenic protein-2 (BMP-2). However, biophysical properties of hydrogels such as multiscale structural hierarchy and bone extracellular matrix (ECM)-mimetic microarchitecture are underutilized while designing current bone grafts. Incorporation of these properties offers great potential to create a favorable biomimetic microenvironment to harness their regenerative potential. Here, we present our approach to fabricate collagen-inspired bioactive hydrogel scaffolds (referred to as ""RegenMatrix"") to guide and enhance bone regeneration in a rabbit ulna defect model through the mimicry of multiscale architecture of bone ECM, i.e., native collagen. Specifically, we employed polyelectrolyte complexation to promote bottom-up self-assembly of oppositely charged polysaccharides (chitosan and kappa-carrageenan) at multiple length scales forming fibrils, which further assemble into fibers. The self-assembly and bioinspired scaffold fabrication method resulted in robust cylindrical RegenMatrix with excellent retention of the multiscale architecture and uniform mineral deposition throughout the scaffolds. RegenMatrix, in both nonmineralized and mineralized forms, enhanced bone regeneration in the semiload-bearing ulna defect when compared to the empty defect. RegenMatrix also showed greater histocompatibility without any fibrous tissue formation. Collectively, the RegenMatrix developed in this study has a great potential as a bioactive bone graft without any added growth factors."
2020 Aug 1,Journal of biomechanical engineering,J Biomech Eng. 2020 Aug 1;142(8):081010. doi: 10.1115/1.4046922.,"['Chin, Adam R', 'Almarza, Alejandro J']","['animals', 'cartilage', 'compressive strength', ' mandibular condyle', 'swine', 'temporomandibular joint', ' temporomandibular joint disc']",Trueness of Fit of Biphasic Transversely Isotropic Parameters Model in the Porcine Temporomandibular Joint Disc and Mandibular Condylar Cartilage and Regional Dependence.,"Temporomandibular joint (TMJ) disorders (TMDs) are not well understood and the mechanical differences between the regions of the mandibular condylar cartilage (MCC) and the TMJ disc have not been thoroughly compared. As of now, there are no commercially available regenerative therapies for the TMJ. Elucidating the mechanical properties of these two structures of the articulating joint will help future efforts in developing tissue engineering treatments of the TMJ. In this study, we evaluate the compressive properties of the porcine disc and mandibular condylar cartilage by performing unconfined compression at 10% strain with 4.5%/min strain rate. Punches (4 mm biopsy) from both tissues were taken from five different regions of both the MCC and TMJ: anterior, posterior, lateral, medial, and central. Previously, theoretical models of compression in the porcine tissue did not fit the whole ramp-relaxation behavior. Thus, the data stress-relaxation was fitted to the biphasic transversely isotropic model, for both the TMJ disc and cartilage. From the results found in the disc, it was found that the posterior region had the highest values in multiple viscoelastic parameters when compared to the other regions. The mandibular condylar cartilage was only found to be significantly different in the transverse modulus between the posterior and lateral regions. Both the TMJ disc and MCC had similar magnitudes of values (for the modulus and other corresponding compressive properties) and behavior under this testing modality."
2020 May 18,"Biomedical materials (Bristol, England)",Biomed Mater. 2020 May 18;15(4):045006. doi: 10.1088/1748-605X/ab401f.,"['Chen, Jingming', 'Chin, Adam', 'Almarza, Alejandro J', 'Taboas, Juan M']","['animals', 'bone marrow cells cytology', 'cartilage  metabolism', 'cattle', 'cell differentiation', 'cell lineage', 'cells, cultured', 'chondrocytes', 'chondrogenesis  physiology', 'cross-linking reagents chemistry', 'gelatin chemistry', 'gene expression regulation', 'humans', 'hydrogels  chemistry', 'magnetic resonance spectroscopy', 'mesenchymal stem cells  cytology', 'mice', 'osteogenesis  physiology', 'phenotype', 'polyethylene glycols', 'polymers chemistry', 'regeneration drug effects', 'stem cells  metabolism', 'tissue scaffolds', 'transforming growth factor beta3  metabolism']",Hydrogel to guide chondrogenesis versus osteogenesis of mesenchymal stem cells for fabrication of cartilaginous tissues.,"The ideal combination of hydrogel components for regeneration of cartilage and cartilaginous interfaces is a significant challenge because control over differentiation into multiple lineages is necessary. Stabilization of the phenotype of stem cell derived chondrocytes is needed to avoid undesired progression to terminal hypertrophy and tissue mineralization. A novel ternary blend hydrogel composed of methacrylated poly(ethylene glycol) (PEG), gelatin, and heparin (PGH) was designed to guide chondrogenesis by bone marrow derived mesenchymal stem cells (BMSCs) and maintenance of their cartilaginous phenotype. The hydrogel material effects on chondrogenic and osteogenic differentiation by BMSCs were evaluated in comparison to methacrylated gelatin hydrogel (GEL), a conventional bioink used for both chondrogenic and osteogenic applications. PGH and GEL hydrogels were loaded with goat BMSCs and cultured in chondrogenic and osteogenic mediums in vitro over six weeks. The PGH showed no sign of mineral deposition in an osteogenic environment in vitro. To further evaluate material effects, the hydrogels were loaded with adult human BMSCs (hBMSCs) and transforming growth factor β-3 and grown in subcutaneous pockets in mice over eight weeks. Consistent with the in vitro results, the PGH had greater potential to induce chondrogenesis by BMSCs in vivo compared to the GEL as evidenced by elevated gene expression of chondrogenic markers, supporting its potential for stable cartilage engineering. The PGH also showed a greater percentage of GAG positive cells compared to the GEL. Unlike the GEL, the PGH hydrogel exhibited anti-osteogenic effects in vivo as evidenced by negative Von Kossa staining and suppressed gene expression of hypertrophic and osteogenic markers. By nature of their polymer composition alone, the PGH and GEL regulated BMSC differentiation down different osteochondral lineages. Thus, the PGH and GEL are promising hydrogels to regenerate stratified cartilaginous interfacial tissues in situ, such as the mandibular condyle surface, using undifferentiated BMSCs and a stratified scaffold design."
2019 Nov,Journal of bone and mineral research : the official journal of the American ,J Bone Miner Res. 2019 Nov;34(11):2133-2148. doi: 10.1002/jbmr.3829. Epub 2019 ,"['Menale, Ciro', 'Robinson, Lisa J', 'Palagano, Eleonora', 'Rigoni, Rosita', 'Erreni, Marco', 'Almarza, Alejandro J', 'Strina, Dario', 'Mantero, Stefano', 'Lizier, Michela', 'Forlino, Antonella', 'Besio, Roberta', 'Monari, Marta', 'Vezzoni, Paolo', 'Cassani, Barbara', 'Blair, Harry C', 'Villa, Anna', 'Sobacchi, Cristina']","['animals', ' bone resorption genetics metabolism pathology', ' cellular microenvironment', 'dipeptidyl-peptidases and tripeptidyl-peptidases  deficiency metabolism', 'humans', 'kelch-like ech-associated protein 1 genetics metabolism', 'mice', 'mice, knockout', 'nf-e2-related factor 2 genetics metabolism', ' osteoclasts metabolism pathology', ' oxidative stress', ' signal transduction', 'bone loss', 'dpp3', 'osteoporosis', 'oxidative stress']",Absence of Dipeptidyl Peptidase 3 Increases Oxidative Stress and Causes Bone Loss.,"Controlling oxidative stress through the activation of antioxidant pathways is crucial in bone homeostasis, and impairments of the cellular defense systems involved contribute to the pathogenesis of common skeletal diseases. In this work we focused on the dipeptidyl peptidase 3 (DPP3), a poorly investigated ubiquitous zinc-dependent exopeptidase activating the Keap1-Nrf2 antioxidant pathway. We showed Dpp3 expression in bone and, to understand its role in this compartment, we generated a Dpp3 knockout (KO) mouse model and specifically investigated the skeletal phenotype. Adult Dpp3 KO mice showed a mild growth defect, a significant increase in bone marrow cellularity, and bone loss mainly caused by increased osteoclast activity. Overall, in the mouse model, lack of DPP3 resulted in sustained oxidative stress and in alterations of bone microenvironment favoring the osteoclast compared to the osteoblast lineage. Accordingly, in vitro studies revealed that Dpp3 KO osteoclasts had an inherent increased resorptive activity and ROS production, which on the other hand made them prone to apoptosis. Moreover, absence of DPP3 augmented bone loss after estrogen withdrawal in female mice, further supporting its relevance in the framework of bone pathophysiology. Overall, we show a nonredundant role for DPP3 in the maintenance of bone homeostasis and propose that DPP3 might represent a possible new osteoimmunological player and a marker of human bone loss pathology. © 2019 American Society for Bone and Mineral Research."
2020 Feb 1,Journal of biomechanical engineering,J Biomech Eng. 2020 Feb 1;142(2):020801. doi: 10.1115/1.4044090.,"['Almarza, Alejandro J', 'Mercuri, Louis G', 'Arzi, Boaz', 'Gallo, Luigi M', 'Granquist, Eric', 'Kapila, Sunil', 'Detamore, Michael S']","['arthroplasty, replacement', 'bioengineering', 'biomedical engineering', 'joint prosthesis', ' temporomandibular joint']",Temporomandibular Joint Bioengineering Conference: Working Together Toward Improving Clinical Outcomes.,"The sixth temporomandibular joint (TMJ) Bioengineering Conference (TMJBC) was held on June 14-15 2018, in Redondo Beach, California, 12 years after the first TMJBC. Speakers gave 30 presentations and came from the United States, Europe, Asia, and Australia. The goal of the conference has remained to foster a continuing forum for bioengineers, scientists, and surgeons and veterinarians to advance technology related to TMJ disorders. These collective multidisciplinary interactions over the past decade have made large strides in moving the field of TMJ research forward. Over the past 12 years, in vivo approaches for tissue engineering have emerged, along with a wide variety of degeneration models, as well as with models occurring in nature. Furthermore, biomechanical tools have become more sensitive and new biologic interventions for disease are being developed. Clinical directives have evolved for specific diagnoses, along with patient-specific biological and immunological responses to TMJ replacement devices alloplastic and/or bioengineered devices. The sixth TMJBC heralded many opportunities for funding agencies to advance the field: (1) initiatives on TMJ that go beyond pain research, (2) more training grants focused on graduate students and fellows, (3) partnership funding with government agencies to translate TMJ solutions, and (4) the recruitment of a critical mass of TMJ experts to participate on grant review panels. The TMJ research community continues to grow and has become a pillar of dental and craniofacial research, and together we share the unified vision to ultimately improve diagnoses and treatment outcomes in patients affected by TMJ disorders."
2019,Caries research,Caries Res. 2019;53(3):235-241. doi: 10.1159/000492675. Epub 2018 Sep 11.,"['Bezamat, Mariana', 'Deeley, Kathleen', 'Khaliq, Shahryar', 'Letra, Ariadne', 'Scariot, Rafaela', 'Silva, Renato M', 'Weber, Megan L', 'Bussaneli, Diego G', 'Trevilatto, Paula C', 'Almarza, Alejandro J', 'Ouyang, Hongjiao', 'Vieira, Alexandre R']","['adolescent', 'adult', 'bone diseases  genetics', 'child', 'cohort studies', 'dental caries  genetics', ' endoplasmic reticulum stress', 'female', 'humans', 'male', 'middle aged', 'osteoporosis genetics', 'periodontitis  genetics', 'tor serine-threonine kinases  genetics', 'young adult', 'dental caries', 'endodontics', 'endoplasmic reticulum stress', 'osteoporosis', 'periodontitis', 'mtor signaling']",Are mTOR and Endoplasmic Reticulum Stress Pathway Genes Associated with Oral and Bone Diseases?,"The purpose of this cohort study was to identify associations between combined oral and bone disease phenotypes and genes present in cell regulatory pathways. The studied pathways play important roles in cellular growth, proliferation, differentiation, and homeostasis. DNA samples extracted from whole saliva of 3,912 individuals were genotyped and these data analyzed according to dental caries experience, periapical lesions, periodontitis, osteoporosis, or temporomandibular joint discomfort. Samples were obtained from the Dental Registry and DNA Repository project at the University of Pittsburgh. Twenty-seven polymorphisms in eight genes related to mTOR or endoplasmic reticulum stress pathways were selected for genotyping. Allele frequencies and Hardy-Weinberg equilibrium were calculated. Analyses were performed comparing genotypes between affected and unaffected individuals for each phenotype, as well as for the associated phenotypes combined. For all analyses, we used the software PLINK with an alpha of 0.002. Borderline associations with multiple variants of several genes were found, suggesting that both pathways may be involved in the susceptibility to multiple conditions affecting the oral cavity and bones. When combining patients that had concomitant dental caries, periodontitis, and periapical pathology, several markers in RHEB showed statistically significant association. Multiple conditions affecting bone and teeth (i.e., dental caries, periodontitis, periapical lesion formation, and osteoporosis) appear to share similar underlying genetic etiological factors, which allow us to hypothesize that instead of individually, they should be studied in conjunction in human populations."
