time,journal,doi_info,authors,key words,title,abstract
2023 Feb 17,"Biomedical materials (Bristol, England)",Biomed Mater. 2023 Feb 17;18(2). doi: 10.1088/1748-605X/acb7bf.,"['Goh, Saik-Kia', 'Bertera, Suzanne', 'Richardson, Thomas', 'Banerjee, Ipsita']","['humans', 'tissue scaffolds', ' pluripotent stem cells', 'pancreas', ' islets of langerhans', ' diabetes mellitus', 'tissue engineering', 'extracellular matrix', 'decellularized', 'decellularized organ', 'human pluripotent stem cell', 'organ', 'scaffolds']",Repopulation of decellularized organ scaffolds with human pluripotent stem cell-derived pancreatic progenitor cells.,"Diabetes is an emerging global epidemic that affects more that 285 million people worldwide. Engineering of endocrine pancreas tissue holds great promise for the future of diabetes therapy. Here we demonstrate the feasibility of re-engineering decellularized organ scaffolds using regenerative cell source. We differentiated human pluripotent stem cells (hPSC) toward pancreatic progenitor (PP) lineage and repopulated decellularized organ scaffolds with these hPSC-PP cells. We observed that hPSCs cultured and differentiated as aggregates are more suitable for organ repopulation than isolated single cell suspension. However, recellularization with hPSC-PP aggregates require a more extensive vascular support, which was found to be superior in decellularized liver over the decellularized pancreas scaffolds. Upon continued culture for nine days with chemical induction in the bioreactor, the seeded hPSC-PP aggregates demonstrated extensive and uniform cellular repopulation and viability throughout the thickness of the liver scaffolds. Furthermore, the decellularized liver scaffolds was supportive of the endocrine cell fate of the engrafted cells. Our novel strategy to engineer endocrine pancreas construct is expected to find potential applications in preclinical testing, drug discovery and diabetes therapy."
2022 Oct,Nature methods,Nat Methods. 2022 Oct;19(10):1306-1319. doi: 10.1038/s41592-022-01583-3. Epub ,"['Zeleniak, Ann', 'Wiegand, Connor', 'Liu, Wen', 'McCormick, Catherine', 'K, Ravikumar', 'Alavi, Amir', 'Guan, Haonan', 'Bertera, Suzanne', 'Lakomy, Robert', 'Tajima, Asako', 'Cohen, Henry', 'Wong, Stephanie', 'Balikani, Lame', 'Mizerak, Benjamin', 'Bar-Joseph, Ziv', 'Trucco, Massimo', 'Banerjee, Ipsita', 'Fan, Yong']","['animals', 'disease models, animal', ' hematopoietic stem cell transplantation', 'humans', ' induced pluripotent stem cells', 'mice', 'mice, scid', 'organoids', 't-lymphocytes', 'thymus gland']",De novo construction of T cell compartment in humanized mice engrafted with iPSC-derived thymus organoids.,"Hematopoietic humanized (hu) mice are powerful tools for modeling the action of human immune system and are widely used for preclinical studies and drug discovery. However, generating a functional human T cell compartment in hu mice remains challenging, primarily due to the species-related differences between human and mouse thymus. While engrafting human fetal thymic tissues can support robust T cell development in hu mice, tissue scarcity and ethical concerns limit their wide use. Here, we describe the tissue engineering of human thymus organoids from inducible pluripotent stem cells (iPSC-thymus) that can support the de novo generation of a diverse population of functional human T cells. T cells of iPSC-thymus-engrafted hu mice could mediate both cellular and humoral immune responses, including mounting robust proinflammatory responses on T cell receptor engagement, inhibiting allogeneic tumor graft growth and facilitating efficient Ig class switching. Our findings indicate that hu mice engrafted with iPSC-thymus can serve as a new animal model to study human T cell-mediated immunity and accelerate the translation of findings from animal studies into the clinic."
2022,Frontiers in medicine,Front Med (Lausanne). 2022 May 19;9:794423. doi: 10.3389/fmed.2022.794423. ,"['Aldewereld, Zachary T', 'Zhang, Li Ang', 'Urbano, Alisa', 'Parker, Robert S', 'Swigon, David', 'Banerjee, Ipsita', 'Gómez, Hernando', 'Clermont, Gilles']","['hierarchical clustering', 'machine learning', 'phenotypes', 'sepsis', 'septic shock']",Identification of Clinical Phenotypes in Septic Patients Presenting With Hypotension or Elevated Lactate.,"INTRODUCTION: Targeted therapies for sepsis have failed to show benefit due to high variability among subjects. We sought to demonstrate different phenotypes of septic shock based solely on clinical features and show that these relate to outcome. METHODS: A retrospective analysis was performed of a 1,023-subject cohort with early septic shock from the ProCESS trial. Twenty-three clinical variables at baseline were analyzed using hierarchical clustering, with consensus clustering used to identify and validate the ideal number of clusters in a derivation cohort of 642 subjects from 20 hospitals. Clusters were visualized using heatmaps over 0, 6, 24, and 72 h. Clinical outcomes were 14-day all-cause mortality and organ failure pattern. Cluster robustness was confirmed in a validation cohort of 381 subjects from 11 hospitals. RESULTS: Five phenotypes were identified, each with unique organ failure patterns that persisted in time. By enrollment criteria, all patients had shock. The two high-risk phenotypes were characterized by distinct multi-organ failure patterns and cytokine signatures, with the highest mortality group characterized most notably by liver dysfunction and coagulopathy while the other group exhibited primarily respiratory failure, neurologic dysfunction, and renal dysfunction. The moderate risk phenotype was that of respiratory failure, while low-risk phenotypes did not have a high degree of additional organ failure. CONCLUSIONS: Sepsis phenotypes with distinct biochemical abnormalities may be identified by clinical characteristics alone and likely provide an opportunity for early clinical actionability and prognosis."
2021,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2021;2258:73-92. doi: 10.1007/978-1-0716-1174-6_6.,"['Richardson, Thomas', 'Mathew, Shibin', 'Wiegand, Connor', 'Pietz, Kevin', 'Candiello, Joseph', 'Ravikumar, K', 'Banerjee, Ipsita']","['alginates chemistry', 'cell culture techniques', ' cell differentiation', ' cell lineage', 'cells, cultured', 'endoderm cytology  physiology', ' fluorescent antibody technique', 'gene expression regulation, developmental', 'humans', ' mechanotransduction, cellular', ' microscopy, fluorescence', 'models, statistical', 'phenotype', 'pluripotent stem cells  physiology', ' stem cell niche', 'time factors', ' tissue engineering', '3d cell culture', 'alginate encapsulation', 'alginate stiffness', 'biophysical cues', 'hpsc differentiation']",Engineering Biophysical Cues for Controlled 3D Differentiation of Endoderm Derivatives.,"Biophysical cues synergize with biochemical cues to drive differentiation of pluripotent stem cells through specific phenotypic trajectory. Tools to manipulate the cell biophysical environment and identify the influence of specific environment perturbation in the presence of combinatorial inputs will be critical to control the development trajectory. Here we describe the procedure to perturb biophysical environment of pluripotent stem cells while maintaining them in 3D culture configuration. We also discuss a high-throughput platform for combinatorial perturbation of the cell microenvironment, and detail a statistical procedure to extract dominant environmental influences."
2020 Nov 10,Biofabrication,Biofabrication. 2020 Nov 10;13(1). doi: 10.1088/1758-5090/abc05f.,"['Goh, Saik-Kia', 'Halfter, Willi', 'Richardson, Thomas', 'Bertera, Suzanne', 'Vaidya, Vimal', 'Candiello, Joe', 'Bradford, Mahalia', 'Banerjee, Ipsita']","['cell communication', 'cell differentiation', ' extracellular matrix metabolism', ' pluripotent stem cells', 'tissue engineering methods', 'ecm array', 'human pluripotent stem cell', 'organ decellulariation', 'organ derived extracellular matrix', 'pancreatic differentiation']",Organ-specific ECM arrays for investigating cell-ECM interactions during stem cell differentiation.,"Pluripotent stem cells are promising source of cells for tissue engineering, regenerative medicine and drug discovery applications. The process of stem cell differentiation is regulated by multi-parametric cues from the surrounding microenvironment, one of the critical one being cell interaction with extracellular matrix (ECM). The ECM is a complex tissue-specific structure which is an important physiological regulator of stem cell function and fate. Recapitulating this native ECM microenvironment niche is best facilitated by decellularized tissue/organ derived ECM, which can faithfully reproduce the physiological environment with high fidelity toin vivocondition and promote tissue-specific cellular development and maturation. Recognizing the need for organ specific ECM in a 3D culture environment in driving phenotypic differentiation and maturation of hPSCs, we fabricated an ECM array platform using native-mimicry ECM from decellularized organs (namely pancreas, liver and heart), which allows cell-ECM interactions in both 2D and 3D configuration. The ECM array was integrated with rapid quantitative imaging for a systematic investigation of matrix protein profiles and sensitive measurement of cell-ECM interaction during hPSC differentiation. We tested our platform by elucidating the role of the three different organ-specific ECM in supporting induced pancreatic differentiation of hPSCs. While the focus of this report is on pancreatic differentiation, the developed platform is versatile to be applied to characterize any lineage specific differentiation."
2020 Sep 1,Acta biomaterialia,Acta Biomater. 2020 Sep 1;113:228-239. doi: 10.1016/j.actbio.2020.06.034. Epub ,"['Richardson, Thomas', 'Wiegand, Connor', 'Adisa, Fatimah', 'Ravikumar, K', 'Candiello, Joe', 'Kumta, Prashant', 'Banerjee, Ipsita']","[' cell culture techniques', ' cell differentiation', 'humans', 'hydrogels', ' peptides pharmacology', ' pluripotent stem cells', 'e-cadherin', 'hydrogel', 'peptide conjugation', 'hpsc']",Engineered peptide modified hydrogel platform for propagation of human pluripotent stem cells.,"Human pluripotent stem cells (hPSCs) have enormous potential to alleviate cell needs for regenerative medicine, however these cells require expansion in cell colonies to maintain cell-cell contact, thus limiting the scalability needed to meet the demands of cell therapy. While the use of a Rho-associated protein kinase (ROCK) inhibitor will allow for culture of single cell hPSCs, typically only 50% of cells are recovered after dissociation. When hPSCs lose cell-cell contact through E-cadherin, dissociation induced apoptosis occurs. In this study, we hypothesized that the extracellular E-cadherin domain of hPSCs will bind to synthetic E-cadherin peptides presented on a hydrogel substrate, mimicking the required cell-cell contact and thereby retaining single-cell viability and clonogenicity. Hence, the objective of this study was to functionalize alginate hydrogels with synthetic peptides mimicking E-cadherin and evaluate peptide performance in promoting cell attachment, viability, maintaining pluripotency, and differentiation potential. We observed that alginate conjugated with synthetic E-cadherin peptides not only supported initial cell attachment with high viability, but also supported hPSC propagation and high fold expansion. hPSCs propagated on the peptide modified substrates maintained the hPSC characteristic pluripotency and differentiation potential, characterized by both spontaneous and directed differentiation. STATEMENT OF SIGNIFICANCE: Human pluripotent stem cells (hPSCs) have enormous potential to alleviate cell needs for regenerative medicine and cell therapy. However, scalable culture of hPSCs is challenged by its need for maintenance of cell-cell contact, dissociation of which triggers the apoptotic pathway. Hence hPSCs are commonly maintained as colonies over Matrigel coated culture plates. Furthermore, use of xenogenic and undefined Matrigel compromises the translational potential of hPSCs. In this work we have developed a completely defined substrate to enable adherent culture of hPSCs as single cells. This substrate prevents apoptosis of the single cells and allows significant fold expansion of hPSCs while maintaining pluripotency and differentiation potential. The developed substrate is expected to be a cost-effective and translatable alternative to Matrigel."
2019 Dec,Current opinion in biotechnology,Curr Opin Biotechnol. 2019 Dec;60:250-258. doi: 10.1016/j.copbio.2019.05.011. ,"['Wiegand, Connor', 'Banerjee, Ipsita']","['cell differentiation', 'drug evaluation, preclinical', 'humans', ' induced pluripotent stem cells', 'organoids']",Recent advances in the applications of iPSC technology.,"Pluripotent stems cells (PSCs) can be expanded indefinitely and differentiated into almost any organ-specific cell type. This has enabled the generation of disease relevant tissues from patients in scalable quantities. iPSC-derived organs and organoids are currently being evaluated both in regenerative therapy which are proceeding towards clinical trials, and for disease modeling, which are facilitating drug screening efforts for discovery of novel therapeutics. Here we will review the current efforts and advances in iPSC technology and its subsequent applications and provide a brief commentary on future outlook of this promising technology."
2019,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2019;1975:53-77. doi: 10.1007/978-1-4939-9224-9_3.,"['Task, Keith', 'Banerjee, Ipsita']","['activins metabolism', ' cell differentiation', ' cell lineage', 'endoderm  cytology metabolism', 'human embryonic stem cells  cytology metabolism', 'humans', ' models, theoretical', 'pluripotent stem cells  cytology metabolism', 'activin', 'embryonic stem cells', 'endoderm', 'human stem cell differentiation', 'population modeling']",Cell Population Model to Track Stochastic Cellular Decision-Making During Differentiation.,"Human pluripotent stem cells are defined by their potential to give rise to all of the lineages of an embryo proper. Guiding the differentiation of embryonic stem cells or induced pluripotent stem cells can be achieved by exposing them to a succession of signaling conditions meant to mimic developmental milieus. However, achieving a quantitative understanding of the relationship between proliferation, cell death, and commitment has been difficult due to the inherent heterogeneity of pluripotent stem cells and their differentiation. Here, we describe a computational modeling approach to track the dynamics of germ layer commitment of human embryonic stem cells. We demonstrate that simulations using this model yield specific hypotheses regarding proliferation, cell death, and commitment and that these predictions are consistent with experimental measurements."
2018 Sep,Biomaterials,Biomaterials. 2018 Sep;177:27-39. doi: 10.1016/j.biomaterials.2018.05.031. Epub ,"['Candiello, Joseph', 'Grandhi, Taraka Sai Pavan', 'Goh, Saik Kia', 'Vaidya, Vimal', 'Lemmon-Kishi, Maya', 'Eliato, Kiarash Rahmani', 'Ros, Robert', 'Kumta, Prashant N', 'Rege, Kaushal', 'Banerjee, Ipsita']","['biocompatible materials chemistry', 'cell aggregation', 'cell line', 'human embryonic stem cells  cytology', 'humans', 'hydrogels  chemistry', 'insulin-secreting cells cytology', 'islets of langerhans  cytology', 'organoids  cytology', 'spheroids, cellular cytology', 'tissue engineering  methods', 'tissue scaffolds  chemistry', 'aggregation', 'human embryonic stem cells', 'hydrogel', 'islet', 'organoid', 'three dimensional']",3D heterogeneous islet organoid generation from human embryonic stem cells using a novel engineered hydrogel platform.,"Organoids, which exhibit spontaneous organ specific organization, function, and multi-cellular complexity, are in essence the in vitro reproduction of specific in vivo organ systems. Recent work has demonstrated human pluripotent stem cells (hPSCs) as a viable regenerative cell source for tissue-specific organoid engineering. This is especially relevant for engineering islet organoids, due to the recent advances in generating functional beta-like cells from human pluripotent stem cells. In this study, we report specific engineering of regenerative islet organoids of precise size and cellular heterogeneity, using a novel hydrogel system, Amikagel. Amikagel facilitated controlled and spontaneous aggregation of human embryonic stem cell derived pancreatic progenitor cells (hESC-PP) into robust homogeneous spheroids. This platform further allowed fine control over the integration of multiple cell populations to produce heterogeneous spheroids, which is a necessity for complex organoid engineering. Amikagel induced hESC-PP spheroid formation enhanced pancreatic islet-specific Pdx-1 and NKX6.1 gene and protein expression, while also increasing the percentage of committed population. hESC-PP spheroids were further induced towards mature beta-like cells which demonstrated increased Beta-cell specific INS1 gene and C-peptide protein expression along with functional insulin production in response to in vitro glucose challenge. Further integration of hESC-PP with biologically relevant supporting endothelial cells resulted in multicellular organoids which demonstrated spontaneous maturation towards islet-specific INS1 gene and C-peptide protein expression along with a significantly developed extracellular matrix support system. These findings establish Amikagel -facilitated platform ideal for islet organoid engineering."
2018 Feb 2,Computers & chemical engineering,Comput Chem Eng. 2018 Feb 2;110:1-12. doi: 10.1016/j.compchemeng.2017.11.011. ,"['Zhang, Li Ang', 'Urbano, Alisa', 'Clermont, Gilles', 'Swigon, David', 'Banerjee, Ipsita', 'Parker, Robert S']","['bayesian inference', 'mcmc', 'simulation']","APT-MCMC, a C++/Python implementation of Markov Chain Monte Carlo for parameter identification.","The inverse problem associated with fitting parameters of an ordinary differential equation (ODE) system to data is nonlinear and multimodal, which is of great challenge to gradient-based optimizers. Markov Chain Monte Carlo (MCMC) techniques provide an alternative approach to solving these problems and can escape local minima by design. APT-MCMC was created to allow users to setup ODE simulations in Python and run as compiled C++ code. It combines affine-invariant ensemble of samplers and parallel tempering MCMC techniques to improve the simulation efficiency. Simulations use Bayesian inference to provide probability distributions of parameters, which enable analysis of multiple minima and parameter correlation. Benchmark tests result in a 20×-60× speedup but 14% increase in memory usage against emcee, a similar MCMC package in Python. Several MCMC hyperparameters were analyzed: number of temperatures, ensemble size, step size, and swap attempt frequency. Heuristic tuning guidelines are provided for setting these hyperparameters."
