time,journal,doi_info,authors,key words,title,abstract
2024 May 13,eLife,Elife. 2024 May 13;12:RP88514. doi: 10.7554/eLife.88514.,"['Sadeghi, Mohsen', 'Sharif Razavian, Reza', 'Bazzi, Salah', 'Chowdhury, Raeed H', 'Batista, Aaron P', 'Loughlin, Patrick J', 'Sternad, Dagmar']","['animals', 'humans', 'male', ' behavior, animal physiology', 'female', 'psychomotor performance physiology', 'adult', 'postural balance physiology', 'young adult', 'macaca mulatta', 'feedback-driven behavior', 'human', 'human monkey comparison', 'motor control strategies', 'neuroscience', 'optimal feedback control', 'rhesus macaque', 'vsuomotor control']",Inferring control objectives in a virtual balancing task in humans and monkeys.,"Natural behaviors have redundancy, which implies that humans and animals can achieve their goals with different strategies. Given only observations of behavior, is it possible to infer the control objective that the subject is employing? This challenge is particularly acute in animal behavior because we cannot ask or instruct the subject to use a particular strategy. This study presents a three-pronged approach to infer an animal's control objective from behavior. First, both humans and monkeys performed a virtual balancing task for which different control strategies could be utilized. Under matched experimental conditions, corresponding behaviors were observed in humans and monkeys. Second, a generative model was developed that represented two main control objectives to achieve the task goal. Model simulations were used to identify aspects of behavior that could distinguish which control objective was being used. Third, these behavioral signatures allowed us to infer the control objective used by human subjects who had been instructed to use one control objective or the other. Based on this validation, we could then infer objectives from animal subjects. Being able to positively identify a subject's control objective from observed behavior can provide a powerful tool to neurophysiologists as they seek the neural mechanisms of sensorimotor coordination."
2024 Jun,Current opinion in neurobiology,Curr Opin Neurobiol. 2024 Jun;86:102872. doi: 10.1016/j.conb.2024.102872. Epub ,"['Mitchell, Jude F', 'Wang, Kuan Hong', 'Batista, Aaron P', 'Miller, Cory T']","['animals', ' psychomotor performance physiology', ' callithrix physiology', 'visual perception physiology', 'primates physiology', 'hand strength physiology']",An ethologically motivated neurobiology of primate visually-guided reach-to-grasp behavior.,"The precision of primate visually guided reaching likely evolved to meet the many challenges faced by living in arboreal environments, yet much of what we know about the underlying primate brain organization derives from a set of highly constrained experimental paradigms. Here we review the role of vision to guide natural reach-to-grasp movements in marmoset monkey prey capture to illustrate the breadth and diversity of these behaviors in ethological contexts, the fast predictive nature of these movements [1,2], and the advantages of this particular primate model to investigate the underlying neural mechanisms in more naturalistic contexts [3]. In addition to their amenability to freely-moving neural recording methods for investigating the neural basis of dynamic ethological behaviors [4,5], marmosets have a smooth neocortical surface that facilitates imaging and array recordings [6,7] in all areas in the primate fronto-parietal network [8,9]. Together, this model organism offers novel opportunities to study the real-world interplay between primate vision and reach-to-grasp dynamics using ethologically motivated neuroscientific experimental designs."
2024 Apr 8,Current biology : CB,Curr Biol. 2024 Apr 8;34(7):1519-1531.e4. doi: 10.1016/j.cub.2024.03.003. Epub ,"['Losey, Darby M', 'Hennig, Jay A', 'Oby, Emily R', 'Golub, Matthew D', 'Sadtler, Patrick T', 'Quick, Kristin M', 'Ryu, Stephen I', 'Tyler-Kabara, Elizabeth C', 'Batista, Aaron P', 'Yu, Byron M', 'Chase, Steven M']","[' motor cortex', ' brain-computer interfaces', 'learning', 'brain', 'brain mapping', 'electroencephalography', 'brain-computer interfaces', 'dimensionality reduction', 'learning', 'memory', 'motor control', 'neural populations']",Learning leaves a memory trace in motor cortex.,"How are we able to learn new behaviors without disrupting previously learned ones? To understand how the brain achieves this, we used a brain-computer interface (B"
2024 Apr,Nature human behaviour,Nat Hum Behav. 2024 Apr;8(4):729-742. doi: 10.1038/s41562-023-01804-5. Epub 2024 ,"['Dekleva, Brian M', 'Chowdhury, Raeed H', 'Batista, Aaron P', 'Chase, Steven M', 'Yu, Byron M', 'Boninger, Michael L', 'Collinger, Jennifer L']","['humans', ' motor cortex physiology diagnostic imaging', ' imagination physiology', 'male', 'spinal cord injuries physiopathology', 'adult', 'movement physiology', 'female', 'wrist physiology', 'motor activity physiology', 'middle aged', 'psychomotor performance physiology']",Motor cortex retains and reorients neural dynamics during motor imagery.,"The most prominent characteristic of motor cortex is its activation during movement execution, but it is also active when we simply imagine movements in the absence of actual motor output. Despite decades of behavioural and imaging studies, it is unknown how the specific activity patterns and temporal dynamics in motor cortex during covert motor imagery relate to those during motor execution. Here we recorded intracortical activity from the motor cortex of two people who retain some residual wrist function following incomplete spinal cord injury as they performed both actual and imagined isometric wrist extensions. We found that we could decompose the population activity into three orthogonal subspaces, where one was similarly active during both action and imagery, and the others were active only during a single task type-action or imagery. Although they inhabited orthogonal neural dimensions, the action-unique and imagery-unique subspaces contained a strikingly similar set of dynamic features. Our results suggest that during motor imagery, motor cortex maintains the same overall population dynamics as during execution by reorienting the components related to motor output and/or feedback into a unique, output-null imagery subspace."
2023 Nov 8,The Journal of neuroscience : the official journal of the Society for ,J Neurosci. 2023 Nov 8;43(45):7523-7529. doi: 10.1523/JNEUROSCI.1505-23.2023.,"['Constantinidis, Christos', 'Ahmed, Alaa A', 'Wallis, Joni D', 'Batista, Aaron P']","[' learning physiology', ' movement', 'cognition physiology']",Common Mechanisms of Learning in Motor and Cognitive Systems.,
2023 Mar 15,Neuron,Neuron. 2023 Mar 15;111(6):764-766. doi: 10.1016/j.neuron.2023.02.035.,"['Batista, Aaron P', 'Pandarinath, Chethan', 'Yu, Byron M']",[],Krishna Shenoy (1968-2023).,
2022 May 9,Current biology : CB,Curr Biol. 2022 May 9;32(9):R430-R432. doi: 10.1016/j.cub.2022.03.061.,"['Batista, Aaron P', 'Horwitz, Gregory D']","['animals', 'cognition', ' cognitive neuroscience', 'haplorhini', 'memory, short-term']",Cognitive neuroscience: Mental replay in monkeys.,"Cognition allows sensory experiences to inform later actions in flexible ways. A new study shows that, in a cognitively demanding task, monkeys store visual information in short-term memory and replay it when they need it to make a decision."
2021 Dec 1,Neuron,Neuron. 2021 Dec 1;109(23):3720-3735. doi: 10.1016/j.neuron.2021.09.005. Epub ,"['Hennig, Jay A', 'Oby, Emily R', 'Losey, Darby M', 'Batista, Aaron P', 'Yu, Byron M', 'Chase, Steven M']","['algorithms', ' brain', ' learning', 'neural networks, computer']",How learning unfolds in the brain: toward an optimization view.,"How do changes in the brain lead to learning? To answer this question, consider an artificial neural network (ANN), where learning proceeds by optimizing a given objective or cost function. This ""optimization framework"" may provide new insights into how the brain learns, as many idiosyncratic features of neural activity can be recapitulated by an ANN trained to perform the same task. Nevertheless, there are key features of how neural population activity changes throughout learning that cannot be readily explained in terms of optimization and are not typically features of ANNs. Here we detail three of these features: (1) the inflexibility of neural variability throughout learning, (2) the use of multiple learning processes even during simple tasks, and (3) the presence of large task-nonspecific activity changes. We propose that understanding the role of these features in the brain will be key to describing biological learning using an optimization framework."
2021 Aug 31,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2021 Aug 31;118(35):e2109643118. doi: ,"['Smoulder, Adam L', 'Pavlovsky, Nicholas P', 'Marino, Patrick J', 'Degenhart, Alan D', 'McClain, Nicole T', 'Batista, Aaron P', 'Chase, Steven M']","['airway obstruction  physiopathology', 'animals', 'macaca mulatta', 'male', 'motor skills  physiology', ' pressure', ' psychological theory', ' psychomotor performance', 'stress, psychological  physiopathology', 'animal behavior', 'motivation', 'motor control', 'reaching', 'reward']",Monkeys exhibit a paradoxical decrease in performance in high-stakes scenarios.,"In high-stakes situations, people sometimes exhibit a frustrating phenomenon known as ""choking under pressure."" Usually, we perform better when the potential payoff is larger. However, once potential rewards get too high, performance paradoxically decreases-we ""choke."" Why do we choke under pressure? An animal model of choking would facilitate the investigation of its neural basis. However, it could be that choking is a uniquely human occurrence. To determine whether animals also choke, we trained three rhesus monkeys to perform a difficult reaching task in which they knew in advance the amount of reward to be given upon successful completion. Like humans, monkeys performed worse when potential rewards were exceptionally valuable. Failures that occurred at the highest level of reward were due to overly cautious reaching, in line with the psychological theory that explicit monitoring of behavior leads to choking. Our results demonstrate that choking under pressure is not unique to humans, and thus, its neural basis might be conserved across species."
2021 May,Nature neuroscience,Nat Neurosci. 2021 May;24(5):727-736. doi: 10.1038/s41593-021-00822-8. Epub 2021 ,"['Hennig, Jay A', 'Oby, Emily R', 'Golub, Matthew D', 'Bahureksa, Lindsay A', 'Sadtler, Patrick T', 'Quick, Kristin M', 'Ryu, Stephen I', 'Tyler-Kabara, Elizabeth C', 'Batista, Aaron P', 'Chase, Steven M', 'Yu, Byron M']","['action potentials  physiology', 'animals', 'attention physiology', ' brain-computer interfaces', 'learning  physiology', 'macaca mulatta', 'male', 'motor cortex  physiology', 'neurons  physiology']",Learning is shaped by abrupt changes in neural engagement.,"Internal states such as arousal, attention and motivation modulate brain-wide neural activity, but how these processes interact with learning is not well understood. During learning, the brain modifies its neural activity to improve behavior. How do internal states affect this process? Using a brain-computer interface learning paradigm in monkeys, we identified large, abrupt fluctuations in neural population activity in motor cortex indicative of arousal-like internal state changes, which we term 'neural engagement.' In a brain-computer interface, the causal relationship between neural activity and behavior is known, allowing us to understand how neural engagement impacted behavioral performance for different task goals. We observed stereotyped changes in neural engagement that occurred regardless of how they impacted performance. This allowed us to predict how quickly different task goals were learned. These results suggest that changes in internal states, even those seemingly unrelated to goal-seeking behavior, can systematically influence how behavior improves with learning."
