time,journal,doi_info,authors,key words,title,abstract
2024 Jun,The European respiratory journal,Eur Respir J. 2024 Jun 28;63(6):2301494. doi: 10.1183/13993003.01494-2023. Print ,"['Allbright, Kassandra', 'Villandre, John', 'Crotty Alexander, Laura E', 'Zhang, Michael', 'Benam, Kambez H', 'Evankovich, John', 'Königshoff, Melanie', 'Chandra, Divay']","['humans', ' electronic nicotine delivery systems', ' lung drug effects', 'lung diseases chemically induced', 'nicotine adverse effects', 'harm reduction', 'oxidative stress', 'vaping adverse effects', 'dna damage', 'tobacco products adverse effects']",The paradox of the safer cigarette: understanding the pulmonary effects of electronic cigarettes.,"Electronic cigarette (e-cigarette) use continues to rise globally. E-cigarettes have been presented as safer alternatives to combustion cigarettes that can mitigate the harm associated with tobacco products; however, the degree to which e-cigarette use itself can lead to morbidity and mortality is not fully defined. Herein we describe how e-cigarettes function; discuss the current knowledge of the effects of e-cigarette aerosol on lung cell cytotoxicity, inflammation, antipathogen immune response, mucociliary clearance, oxidative stress, DNA damage, carcinogenesis, matrix remodelling and airway hyperresponsiveness; and summarise the impact on lung diseases, including COPD, respiratory infection, lung cancer and asthma. We highlight how the inclusion of nicotine or flavouring compounds in e-liquids can impact lung toxicity. Finally, we consider the paradox of the safer cigarette: the toxicities of e-cigarettes that can mitigate their potential to serve as a harm reduction tool in the fight against traditional cigarettes, and we summarise the research needed in this underinvestigated area."
2024 Mar 4,Advanced functional materials,Adv Funct Mater. 2024 Mar 4;34(10):2304630. doi: 10.1002/adfm.202304630. Epub ,"['Vo, Quoc', 'Carlson, Kaely A', 'Chiknas, Peter M', 'Brocker, Chad N', 'DaSilva, Luis', 'Clark, Erica', 'Park, Sang Ki', 'Ajiboye, A Seun', 'Wier, Eric M', 'Benam, Kambez H']","['extracellular matrix', 'microvasculature', 'organ-on-a-chip', 'organs-on-chips', 'tissue engineering']",On-Chip Reconstitution of Uniformly Shear-Sensing 3D Matrix-embedded Multicellular Blood Microvessel.,"Preclinical human-relevant modeling of organ-specific vasculature offers a unique opportunity to recreate pathophysiological intercellular, tissue-tissue, and cell-matrix interactions for a broad range of applications. Here, we present a reliable, and simply reproducible process for constructing user-controlled long rounded extracellular matrix (ECM)-embedded vascular microlumens on-chip for endothelization and co-culture with stromal cells obtained from human lung. We demonstrate the critical impact of microchannel cross-sectional geometry and length on uniform distribution and magnitude of vascular wall shear stress, which is key when emulating in vivo-observed blood flow biomechanics in health and disease. In addition, we provide an optimization protocol for multicellular culture and functional validation of the system. Moreover, we show the ability to finely tune rheology of the three-dimensional natural matrix surrounding the vascular microchannel to match pathophysiological stiffness. In summary, we provide the scientific community with a matrix-embedded microvasculature on-chip populated with all-primary human-derived pulmonary endothelial cells and fibroblasts to recapitulate and interrogate lung parenchymal biology, physiological responses, vascular biomechanics, and disease biogenesis in vitro. Such a mix-and-match synthetic platform can be feasibly adapted to study blood vessels, matrix, and ECM-embedded cells in other organs and be cellularized with additional stromal cells."
2024 Apr 1,European journal of pharmaceutical sciences : official journal of the European ,Eur J Pharm Sci. 2024 Apr 1;195:106709. doi: 10.1016/j.ejps.2024.106709. Epub ,"['Vo, Quoc', 'Benam, Kambez H']","['humans', 'microfluidics', ' models, biological', ' tissue engineering', 'ecm mv-chip', 'extracellular matrix', 'microvasculature', 'organ-on-a-chip', 'organs-on-chips', 'pathophysiological modeling', 'pulmonary vascular disease', 'pulmonary vasculature']",Advancements in preclinical human-relevant modeling of pulmonary vasculature on-chip.,"Preclinical human-relevant modeling of organ-specific vasculature offers a unique opportunity to recreate pathophysiological intercellular, tissue-tissue, and cell-matrix interactions for a broad range of applications. Lung vasculature is particularly important due to its involvement in genesis and progression of rare, debilitating disorders as well as common chronic pathologies. Here, we provide an overview of the latest advances in the development of pulmonary vascular (PV) models using emerging microfluidic tissue engineering technology Organs-on-Chips (so-called PV-Chips). We first review the currently reported PV-Chip systems and their key features, and then critically discuss their major limitations in reproducing in vivo-seen and disease-relevant cellularity, localization, and microstructure. We conclude by presenting latest efforts to overcome such technical and biological limitations and future directions."
2023 Aug 18,iScience,iScience. 2023 Jul 14;26(8):107361. doi: 10.1016/j.isci.2023.107361. eCollection ,"['Thomas, Samantha N', 'Niemeyer, Brian F', 'Jimenez-Valdes, Rocio J', 'Kaiser, Alexander J', 'Espinosa, Joaquin M', 'Sullivan, Kelly D', 'Goodspeed, Andrew', 'Costello, James C', 'Alder, Jonathan K', 'Cañas-Arranz, Rodrigo', 'García-Sastre, Adolfo', 'Benam, Kambez H']","['biological sciences', 'cell biology', 'disease']","Down syndrome is associated with altered frequency and functioning of tracheal multiciliated cells, and response to influenza virus infection.","Individuals with Down syndrome (DS) clinically manifest severe respiratory illnesses; however, there is a paucity of data on how DS influences homeostatic physiology of lung airway, and its reactive responses to pulmonary pathogens. We generated well-differentiated ciliated airway epithelia using tracheas from wild-type and Dp(16)1/Yey mice in vitro, and discovered that Dp(16)1/Yey epithelia have significantly lower abundance of ciliated cells, an altered ciliary beating profile, and reduced mucociliary transport. Interestingly, both sets of differentiated epithelia released similar quantities of viral particles after infection with influenza A virus (IAV). However, RNA-sequencing and proteomic analyses revealed an immune hyperreactive phenotype particularly for monocyte-recruiting chemokines in Dp(16)1/Yey epithelia. Importantly, when we challenged mice in vivo with IAV, we observed immune hyper-responsiveness in Dp(16)1/Yey mice, evidenced by higher quantities of lung airway infiltrated monocytes, and elevated levels of pro-inflammatory cytokines in bronchoalveolar lavage fluid. Our findings illuminate mechanisms underlying DS-mediated pathophysiological changes in airway epithelium."
2023 Apr 11,Respiratory research,Respir Res. 2023 Apr 11;24(1):108. doi: 10.1186/s12931-023-02410-9.,"['Chandra, Divay', 'Bogdanoff, Rachel F', 'Bowler, Russell P', 'Benam, Kambez H']","['humans', ' electronic nicotine delivery systems', 'smokers', 'menthol adverse effects', 'prospective studies', 'retrospective studies', ' tobacco products adverse effects', 'lung', 'electronic cigarette', 'humitipaa', 'lung function', 'menthol', 'pulmonary toxicity', 'robotic human vaping mimetic real-time particle analyzer']",Electronic cigarette menthol flavoring is associated with increased inhaled micro and sub-micron particles and worse lung function in combustion cigarette smokers.,"Flavored electronic cigarettes (ECs) present a serious health challenge globally. Currently, it is unknown whether the addition of highly popular menthol flavoring to e-liquid is associated with changes in the number of aerosolized particles generated or altered lung function. Here, we first performed preclinical studies using our novel robotic platform Human Vaping Mimetic Real-Time Particle Analyzer (HUMITIPAA). HUMITIPAA generates fresh aerosols for any desired EC in a very controlled and user-definable manner and utilizes an optical sensing system to quantitate and analyze sub-micron and microparticles from every puff over the course of vaping session in real-time while emulating clinically relevant breathing mechanics and vaping topography. We discovered that addition of menthol flavoring to freshly prepared e-liquid base propylene glycol-vegetable glycerin leads to enhanced particle counts in all tested size fractions, similar to the effect of adding vitamin E acetate to e-liquid we previously reported. Similarly, we found that menthol vs. non-menthol (tobacco) flavored pods from commercially available ECs leads to generation of significantly higher quantities of 1-10 µm particles upon inhalation. We then retrospectively analyzed data from the COPDGene study and identified an association between the use of menthol flavored ECs and reduced FEV1% predicted and FEV1/FVC independent of age, gender, race, pack-years of smoking, and use of nicotine or cannabis-containing vaping products. Our results reveal an association between enhanced inhaled particle due to menthol addition to ECs and worse lung function indices. Detailed causal relation remains to be demonstrated in future large-scale prospective clinical studies. Importantly, here we demonstrate utility of the HUMITIPAA as a predictive enabling technology to identify inhalation toxicological potential of emerging ECs as the chemical formulation of e-liquid gets modified."
2022 Dec 16,STAR protocols,STAR Protoc. 2022 Dec 16;3(4):101885. doi: 10.1016/j.xpro.2022.101885. Epub 2022 ,"['Bogdanoff, Rachel F', 'Kaiser, Alexander J', 'Benam, Kambez H']","['humans', ' vaping adverse effects', ' electronic nicotine delivery systems', 'biomimetics', ' robotics', 'data collection', 'biotechnology and bioengineering', 'health sciences', 'physics']",Protocol for the operation of a breathing and vaping biomimetic robot to delineate real-time inhaled particle profile of electronic cigarettes.,"We recently developed a robotic human vaping mimetic real-time particle analyzer (HUMITIPAA) to evaluate the impact of change in chemical constituents and breathing profiles of electronic cigarettes (ECs) on potential pulmonary toxicity. Here, we describe the fabrication procedure of EC mouthpiece(s), establishment of sensor saturation curve, and preparation of e-liquid and vaping device(s) for testing. We further detail steps for HUMITIPAA preparation and connection setup, followed by data collection and processing. For complete details on the use and execution of this protocol, please refer to Kaiser et al. (2021).(1)."
2022,Frontiers in cellular and infection microbiology,Front Cell Infect Microbiol. 2022 Nov 28;12:1035566. doi: ,"['Clifton, Clarissa', 'Niemeyer, Brian F', 'Novak, Richard', 'Can, Uryan Isik', 'Hainline, Kelly', 'Benam, Kambez H']","['humans', 'cells, cultured', ' respiratory mucosa', ' epithelial cells metabolism', 'cell differentiation', 'epithelium', 'biomarkers metabolism', 'glycoproteins genetics metabolism', 'phosphoproteins metabolism', 'bpifa1', 'biomarker', 'differentiation', 'human airway epithelium', 'inflammation']",BPIFA1 is a secreted biomarker of differentiating human airway epithelium.,"In vitro culture and differentiation of human-derived airway basal cells under air-liquid interface (ALI) into a pseudostratified mucociliated mucosal barrier has proven to be a powerful preclinical tool to study pathophysiology of respiratory epithelium. As such, identifying differentiation stage-specific biomarkers can help investigators better characterize, standardize, and validate populations of regenerating epithelial cells prior to experimentation. Here, we applied longitudinal transcriptomic analysis and observed that the pattern and the magnitude of OMG, KRT14, STC1, BPIFA1, PLA2G7, TXNIP, S100A7 expression create a unique biosignature that robustly indicates the stage of epithelial cell differentiation. We then validated our findings by quantitative hemi-nested real-time PCR from in vitro cultures sourced from multiple donors. In addition, we demonstrated that at protein-level secretion of BPIFA1 accurately reflects the gene expression profile, with very low quantities present at the time of ALI induction but escalating levels were detectable as the epithelial cells terminally differentiated. Moreover, we observed that increase in BPIFA1 secretion closely correlates with emergence of secretory cells and an anti-inflammatory phenotype as airway epithelial cells undergo mucociliary differentiation under air-liquid interface in vitro."
2021,Frontiers in pharmacology,Front Pharmacol. 2022 Jan 3;12:827172. doi: 10.3389/fphar.2021.827172. ,"['Benam, Kambez H', 'Burgess, Janette K', 'Stewart, Alastair G']","['efficacy', 'microphysiological systems', 'organoids', 'organs-on-chips', 'pharmacology', 'predictive modeling', 'safety', 'translational science']",Editorial: Accelerated Translation Using Microphysiological Organoid and Microfluidic Chip Models.,
2021 Oct 22,iScience,iScience. 2021 Sep 29;24(10):103091. doi: 10.1016/j.isci.2021.103091. eCollection ,"['Kaiser, Alexander J', 'Salem, Cassie', 'Alvarenga, Bob J', 'Pagliaro, Anthony', 'Smith, Kelly P', 'Valerio, Luis G Jr', 'Benam, Kambez H']","['biomechanical engineering', 'biotechnology', 'pathophysiology']",A robotic system for real-time analysis of inhaled submicron and microparticles.,"Vitamin E acetate (VEA) has been strongly linked to outbreak of electronic cigarette (EC) or vaping product use-associated lung injury. How VEA leads to such an unexpected morbidity and mortality is currently unknown. To understand whether VEA impacts the disposition profile of inhaled particles, we created a biologically inspired robotic system that quantitatively analyzes submicron and microparticles generated from ECs in real-time while mimicking clinically relevant breathing and vaping topography exactly as happens in humans. We observed addition of even small quantities of VEA was sufficient to alter size distribution and significantly enhance total particles inhaled from ECs. Moreover, we demonstrated utility of our biomimetic robot for studying influence of nicotine and breathing profiles from obstructive and restrictive lung disorders. We anticipate our system will serve as a novel preclinical scientific research, decision-support tool when insight into toxicological impact of modifications in electronic nicotine delivery systems is desired."
2022 May,Pharmacology & therapeutics,Pharmacol Ther. 2022 May;233:108027. doi: 10.1016/j.pharmthera.2021.108027. Epub ,"['Niemeyer, Brian F', 'Benam, Kambez H']","['anticoagulants pharmacology therapeutic use', 'antiviral agents pharmacology therapeutic use', 'humans', 'pandemics', ' sars-cov-2', ' covid-19 drug treatment', 'anti-inflammatory', 'anticoagulant', 'antiviral', 'coronavirus', 'drug repurposing', 'host-targeting therapies', 'nafamostat mesylate']",Untapping host-targeting cross-protective efficacy of anticoagulants against SARS-CoV-2.,"Responding quickly to emerging respiratory viruses, such as SARS-CoV-2 the causative agent of coronavirus disease 2019 (COVID-19) pandemic, is essential to stop uncontrolled spread of these pathogens and mitigate their socio-economic impact globally. This can be achieved through drug repurposing, which tackles inherent time- and resource-consuming processes associated with conventional drug discovery and development. In this review, we examine key preclinical and clinical therapeutic and prophylactic approaches that have been applied for treatment of SARS-CoV-2 infection. We break these strategies down into virus- versus host-targeting and discuss their reported efficacy, advantages, and disadvantages. Importantly, we highlight emerging evidence on application of host serine protease-inhibiting anticoagulants, such as nafamostat mesylate, as a potentially powerful therapy to inhibit virus activation and offer cross-protection against multiple strains of coronavirus, lower inflammatory response independent of its antiviral effect, and modulate clotting problems seen in COVID-19 pneumonia."
