time,journal,doi_info,authors,key words,title,abstract
2024 Apr 28,medRxiv : the preprint server for health sciences,medRxiv [Preprint]. 2024 Apr 28:2024.04.26.24306239. doi: ,"['Downey, John E', 'Schone, Hunter R', 'Foldes, Stephen T', 'Greenspon, Charles', 'Liu, Fang', 'Verbaarschot, Ceci', 'Biro, Daniel', 'Satzer, David', 'Moon, Chan Hong', 'Coffman, Brian A', 'Youssofzadeh, Vahab', 'Fields, Daryl', 'Hobbs, Taylor G', 'Okorokova, Elizaveta', 'Tyler-Kabara, Elizabeth C', 'Warnke, Peter C', 'Gonzalez-Martinez, Jorge', 'Hatsopoulos, Nicholas G', 'Bensmaia, Sliman J', 'Boninger, Michael L', 'Gaunt, Robert A', 'Collinger, Jennifer L']",[],A roadmap for implanting microelectrode arrays to evoke tactile sensations through intracortical microstimulation.,"Intracortical microstimulation (ICMS) is a method for restoring sensation to people with paralysis as part of a bidirectional brain-computer interface to restore upper limb function. Evoking tactile sensations of the hand through ICMS requires precise targeting of implanted electrodes. Here we describe the presurgical imaging procedures used to generate functional maps of the hand area of the somatosensory cortex and subsequent planning that guided the implantation of intracortical microelectrode arrays. In five participants with cervical spinal cord injury, across two study locations, this procedure successfully enabled ICMS-evoked sensations localized to at least the first four digits of the hand. The imaging and planning procedures developed through this clinical trial provide a roadmap for other brain-computer interface studies to ensure successful placement of stimulation electrodes."
2024 Apr,Nature human behaviour,Nat Hum Behav. 2024 Apr;8(4):729-742. doi: 10.1038/s41562-023-01804-5. Epub 2024 ,"['Dekleva, Brian M', 'Chowdhury, Raeed H', 'Batista, Aaron P', 'Chase, Steven M', 'Yu, Byron M', 'Boninger, Michael L', 'Collinger, Jennifer L']","['humans', ' motor cortex physiology diagnostic imaging', ' imagination physiology', 'male', 'spinal cord injuries physiopathology', 'adult', 'movement physiology', 'female', 'wrist physiology', 'motor activity physiology', 'middle aged', 'psychomotor performance physiology']",Motor cortex retains and reorients neural dynamics during motor imagery.,"The most prominent characteristic of motor cortex is its activation during movement execution, but it is also active when we simply imagine movements in the absence of actual motor output. Despite decades of behavioural and imaging studies, it is unknown how the specific activity patterns and temporal dynamics in motor cortex during covert motor imagery relate to those during motor execution. Here we recorded intracortical activity from the motor cortex of two people who retain some residual wrist function following incomplete spinal cord injury as they performed both actual and imagined isometric wrist extensions. We found that we could decompose the population activity into three orthogonal subspaces, where one was similarly active during both action and imagery, and the others were active only during a single task type-action or imagery. Although they inhabited orthogonal neural dimensions, the action-unique and imagery-unique subspaces contained a strikingly similar set of dynamic features. Our results suggest that during motor imagery, motor cortex maintains the same overall population dynamics as during execution by reorienting the components related to motor output and/or feedback into a unique, output-null imagery subspace."
2023 Dec 28,Nature biomedical engineering,Nat Biomed Eng. 2023 Dec 28. doi: 10.1038/s41551-023-01175-2.,"['Nanivadekar, Ameya C', 'Bose, Rohit', 'Petersen, Bailey A', 'Okorokova, Elizaveta V', 'Sarma, Devapratim', 'Madonna, Tyler J', 'Barra, Beatrice', 'Farooqui, Juhi', 'Dalrymple, Ashley N', 'Levy, Isaiah', 'Helm, Eric R', 'Miele, Vincent J', 'Boninger, Michael L', 'Capogrosso, Marco', 'Bensmaia, Sliman J', 'Weber, Douglas J', 'Fisher, Lee E']",[],Publisher Correction: Restoration of sensory feedback from the foot and reduction of phantom limb pain via closed-loop spinal cord stimulation.,
2023 Dec 14,Nature biomedical engineering,Nat Biomed Eng. 2023 Dec 14. doi: 10.1038/s41551-023-01153-8.,"['Nanivadekar, Ameya C', 'Bose, Rohit', 'Petersen, Bailey A', 'Okorokova, Elizaveta V', 'Sarma, Devapratim', 'Madonna, Tyler J', 'Barra, Beatrice', 'Farooqui, Juhi', 'Dalrymple, Ashley N', 'Levy, Isaiah', 'Helm, Eric R', 'Miele, Vincent J', 'Boninger, Michael L', 'Capogrosso, Marco', 'Bensmaia, Sliman J', 'Weber, Douglas J', 'Fisher, Lee E']",[],Restoration of sensory feedback from the foot and reduction of phantom limb pain via closed-loop spinal cord stimulation.,"Restoring somatosensory feedback in individuals with lower-limb amputations would reduce the risk of falls and alleviate phantom limb pain. Here we show, in three individuals with transtibial amputation (one traumatic and two owing to diabetic peripheral neuropathy), that sensations from the missing foot, with control over their location and intensity, can be evoked via lateral lumbosacral spinal cord stimulation with commercially available electrodes and by modulating the intensity of stimulation in real time on the basis of signals from a wireless pressure-sensitive shoe insole. The restored somatosensation via closed-loop stimulation improved balance control (with a 19-point improvement in the composite score of the Sensory Organization Test in one individual) and gait stability (with a 5-point improvement in the Functional Gait Assessment in one individual). And over the implantation period of the stimulation leads, the three individuals experienced a clinically meaningful decrease in phantom limb pain (with an average reduction of nearly 70% on a visual analogue scale). Our findings support the further clinical assessment of lower-limb neuroprostheses providing somatosensory feedback."
2023 Fall,Topics in spinal cord injury rehabilitation,Top Spinal Cord Inj Rehabil. 2023 Fall;29(4):108-121. doi: 10.46292/sci23-00030. ,"['Botticello, Amanda L', 'Murphy, Lauren F', 'Boninger, Michael', 'Bryce, Thomas N', 'Charlifue, Susan', 'Coker, Jennifer', 'Roach, Mary Joan', 'Scott, Michael', 'Worobey, Lynn']","['middle aged', 'young adult', 'humans', ' spinal cord injuries epidemiology', 'residence characteristics', 'surveys and questionnaires', 'population dynamics', 'employment', 'community living', 'housing', 'mobility disability', 'residential mobility', 'spinal cord injuries']",Residential Mobility and Reasons for Moving Among People Living With Spinal Cord Injury: Results of a Multisite Survey Study.,BACKGROUND: Residential mobility after spinal cord injury (S
2023 Nov 10,Nature communications,Nat Commun. 2023 Nov 10;14(1):7270. doi: 10.1038/s41467-023-43140-2.,"['Shelchkova, Natalya D', 'Downey, John E', 'Greenspon, Charles M', 'Okorokova, Elizaveta V', 'Sobinov, Anton R', 'Verbaarschot, Ceci', 'He, Qinpu', 'Sponheim, Caleb', 'Tortolani, Ariana F', 'Moore, Dalton D', 'Kaufman, Matthew T', 'Lee, Ray C', 'Satzer, David', 'Gonzalez-Martinez, Jorge', 'Warnke, Peter C', 'Miller, Lee E', 'Boninger, Michael L', 'Gaunt, Robert A', 'Collinger, Jennifer L', 'Hatsopoulos, Nicholas G', 'Bensmaia, Sliman J']","['humans', ' somatosensory cortex physiology', ' motor cortex physiology', 'neurons physiology', 'movement physiology', 'hand', 'electric stimulation']","Microstimulation of human somatosensory cortex evokes task-dependent, spatially patterned responses in motor cortex.","The primary motor (M1) and somatosensory (S1) cortices play critical roles in motor control but the signaling between these structures is poorly understood. To fill this gap, we recorded - in three participants in an ongoing human clinical trial (NCT01894802) for people with paralyzed hands - the responses evoked in the hand and arm representations of M1 during intracortical microstimulation (ICMS) in the hand representation of S1. We found that ICMS of S1 activated some M1 neurons at short, fixed latencies consistent with monosynaptic activation. Additionally, most of the ICMS-evoked responses in M1 were more variable in time, suggesting indirect effects of stimulation. The spatial pattern of M1 activation varied systematically: S1 electrodes that elicited percepts in a finger preferentially activated M1 neurons excited during that finger's movement. Moreover, the indirect effects of S1 ICMS on M1 were context dependent, such that the magnitude and even sign relative to baseline varied across tasks. We tested the implications of these effects for brain-control of a virtual hand, in which ICMS conveyed tactile feedback. While ICMS-evoked activation of M1 disrupted decoder performance, this disruption was minimized using biomimetic stimulation, which emphasizes contact transients at the onset and offset of grasp, and reduces sustained stimulation."
2023,Frontiers in physiology,Front Physiol. 2023 Oct 18;14:1220969. doi: 10.3389/fphys.2023.1220969. ,"['Minder, Ursina', 'Arnet, Ursina', 'Müller, Erich', 'Boninger, Michael', 'Bossuyt, Fransiska M']","['neuromuscular activation', 'perceived fatigability', 'performance fatigability', 'shoulder pain', 'spinal cord injury', 'wheelchair propulsion']","Changes in neuromuscular activation, heart rate and rate of perceived exertion over the course of a wheelchair propulsion fatigue protocol.","Shoulder pain is common in persons with spinal cord injury and has been associated with wheelchair use. Fatigue related compensation strategies have been identified as possibly impacting the development of shoulder injury and pain. The purpose of this study was to investigate the progression of performance fatigability (i.e., decline in objective measure of performance including neuromuscular activation and increase in heart rate) and perceived fatigability (i.e., increased perceived exertion) during a 15-min fatigue protocol including maximum voluntary overground wheelchair propulsion. Fifty participants with paraplegic spinal cord injury completed three 4-min rounds of wheelchair propulsion, separated by 90 s of rest, on a figure-8 course consisting of two turns and full stops per lap in their manual wheelchairs (ClinicalTrials.gov: NCT03153033). Electromyography (EMG) signal of five muscles acting on the shoulder joint, heart rate (HR), and rate of perceived exertion (RPE) were measured at the beginning and end of every 4 min of propulsion. Root Mean Square (RMS) and Mean Power Frequency were calculated from EMG data. There was a significant increase in %RMS of the pectoralis major pars sternalis and trapezius pars descendens, HR, and RPE with greatest changes during the first 4 min of the protocol. The observed changes in neuromuscular activation in only two of the shoulder muscles may impact muscular imbalances and the development of shoulder injuries and should be further studied. The current study gives clearer insight into the mechanisms of performance fatigability and perceived fatigability throughout a wheelchair propulsion fatigue protocol."
2023 Jul 15,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 15:2023.06.23.545425. doi: ,"['Greenspon, Charles M', 'Shelchkova, Natalya D', 'Valle, Giacomo', 'Hobbs, Taylor G', 'Berger-Wolf, Ev I', 'Hutchison, Brianna C', 'Dogruoz, Efe', 'Verbarschott, Ceci', 'Callier, Thierri', 'Sobinov, Anton R', 'Okorokova, Elizaveta V', 'Jordan, Patrick M', 'Prasad, Dillan', 'He, Qinpu', 'Liu, Fang', 'Kirsch, Robert F', 'Miller, Jonathan P', 'Lee, Ray C', 'Satzer, David', 'Gonzalez-Martinez, Jorge', 'Warnke, Peter C', 'Miller, Lee E', 'Boninger, Michael L', 'Ajiboye, Abidemi B', 'Graczyk, Emily L', 'Downey, John E', 'Collinger, Jennifer L', 'Hatsopoulos, Nicholas G', 'Gaunt, Robert A', 'Bensmaia, Sliman J']",[],Tessellation of artificial touch via microstimulation of human somatosensory cortex.,"When we interact with objects, we rely on signals from the hand that convey information about the object and our interaction with it. A basic feature of these interactions, the locations of contacts between the hand and object, is often only available via the sense of touch. Information about locations of contact between a brain-controlled bionic hand and an object can be signaled via intracortical microstimulation (ICMS) of somatosensory cortex (S1), which evokes touch sensations that are localized to a specific patch of skin. To provide intuitive location information, tactile sensors on the robotic hand drive ICMS through electrodes that evoke sensations at skin locations matching sensor locations. This approach requires that ICMS-evoked sensations be focal, stable, and distributed over the hand. To systematically investigate the localization of ICMS-evoked sensations, we analyzed the projected fields (PFs) of ICMS-evoked sensations - their location and spatial extent - from reports obtained over multiple years from three participants implanted with microelectrode arrays in S1. First, we found that PFs vary widely in their size across electrodes, are highly stable within electrode, are distributed over large swaths of each participant's hand, and increase in size as the amplitude or frequency of ICMS increases. Second, while PF locations match the locations of the receptive fields (RFs) of the neurons near the stimulating electrode, PFs tend to be subsumed by the corresponding RFs. Third, multi-channel stimulation gives rise to a PF that reflects the conjunction of the PFs of the component channels. By stimulating through electrodes with largely overlapping PFs, then, we can evoke a sensation that is experienced primarily at the intersection of the component PFs. To assess the functional consequence of this phenomenon, we implemented multichannel ICMS-based feedback in a bionic hand and demonstrated that the resulting sensations are more localizable than are those evoked via single-channel ICMS."
2023 Jul 12,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 12:2023.02.18.528972. doi: ,"['Greenspon, Charles M', 'Valle, Giacomo', 'Hobbs, Taylor G', 'Verbaarschot, Ceci', 'Callier, Thierri', 'Okorokova, Elizaveta V', 'Shelchkova, Natalya D', 'Sobinov, Anton R', 'Jordan, Patrick M', 'Weiss, Jeffrey M', 'Fitzgerald, Emily E', 'Prasad, Dillan', 'van Driesche, Ashley', 'Lee, Ray C', 'Satzer, David', 'Gonzalez-Martinez, Jorge', 'Warnke, Peter C', 'Miller, Lee E', 'Boninger, Michael L', 'Collinger, Jennifer L', 'Gaunt, Robert A', 'Downey, John E', 'Hatsopoulos, Nicholas G', 'Bensmaia, Sliman J']",[],Biomimetic multi-channel microstimulation of somatosensory cortex conveys high resolution force feedback for bionic hands.,"Manual interactions with objects are supported by tactile signals from the hand. This tactile feedback can be restored in brain-controlled bionic hands via intracortical microstimulation (ICMS) of somatosensory cortex (S1). In ICMS-based tactile feedback, contact force can be signaled by modulating the stimulation intensity based on the output of force sensors on the bionic hand, which in turn modulates the perceived magnitude of the sensation. In the present study, we gauged the dynamic range and precision of ICMS-based force feedback in three human participants implanted with arrays of microelectrodes in S1. To this end, we measured the increases in sensation magnitude resulting from increases in ICMS amplitude and participant's ability to distinguish between different intensity levels. We then assessed whether we could improve the fidelity of this feedback by implementing ""biomimetic"" ICMS-trains, designed to evoke patterns of neuronal activity that more closely mimic those in natural touch, and by delivering ICMS through multiple channels at once. We found that multi-channel biomimetic ICMS gives rise to stronger and more distinguishable sensations than does its single-channel counterpart. Finally, we implemented biomimetic multi-channel feedback in a bionic hand and had the participant perform a compliance discrimination task. We found that biomimetic multi-channel tactile feedback yielded improved discrimination over its single-channel linear counterpart. We conclude that multi-channel biomimetic ICMS conveys finely graded force feedback that more closely approximates the sensitivity conferred by natural touch."
2022 Nov 3,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2022 Nov 3;19(1):118. doi: 10.1186/s12984-022-01090-8.,"['Rigot, Stephanie K', 'Boninger, Michael L', 'Ding, Dan', 'Collinger, Jennifer L', 'Dicianno, Brad E', 'Worobey, Lynn A']","['adult', 'humans', ' muscle spasticity etiology complications', ' spinal cord injuries complications', 'sensation', 'upper extremity', 'acceleration', 'sleep', 'pain', 'functional outcomes', 'lower extremity', 'motor activity', 'muscle spasticity', 'muscle strength', 'physiologic monitoring', 'sensation', 'sleep', 'spinal cord injuries']","Limb accelerations during sleep are related to measures of strength, sensation, and spasticity among individuals with spinal cord injury.",BACKGROUND: To evaluate the relationship between measures of neuromuscular impairment and limb accelerations (LA) collected during sleep among individuals with chronic spinal cord injury (S
