time,journal,doi_info,authors,key words,title,abstract
2023 Jan-Dec,Journal of tissue engineering,J Tissue Eng. 2023 Nov 17;14:20417314231197282. doi: 10.1177/20417314231197282. ,"['Buckenmeyer, Michael J', 'Sukhwani, Meena', 'Iftikhar, Aimon', 'Nolfi, Alexis L', 'Xian, Ziyu', 'Dadi, Srujan', 'Case, Zachary W', 'Steimer, Sarah R', ""D'Amore, Antonio"", 'Orwig, Kyle E', 'Brown, Bryan N']","['biomaterials', 'decellularization', 'extracellular matrix hydrogels', 'fertility preservation', 'tissue engineering']",A bioengineered in situ ovary (ISO) supports follicle engraftment and live-births post-chemotherapy.,"Female cancer patients who have undergone chemotherapy have an elevated risk of developing ovarian dysfunction and failure. Experimental approaches to treat iatrogenic infertility are evolving rapidly; however, challenges and risks remain that hinder clinical translation. Biomaterials have improved in vitro follicle maturation and in vivo transplantation in mice, but there has only been marginal success for early-stage human follicles. Here, we developed methods to obtain an ovarian-specific extracellular matrix hydrogel to facilitate follicle delivery and establish an in situ ovary (ISO), which offers a permissive environment to enhance follicle survival. We demonstrate sustainable follicle engraftment, natural pregnancy, and the birth of healthy pups after intraovarian microinjection of isolated exogenous follicles into chemotherapy-treated (CTx) mice. Our results confirm that hydrogel-based follicle microinjection could offer a minimally invasive delivery platform to enhance follicle integration for patients post-chemotherapy."
2024 Jan,Tissue engineering. Part A,Tissue Eng Part A. 2024 Jan;30(1-2):84-93. doi: 10.1089/ten.TEA.2023.0191. Epub ,"['Behun, Marissa N', 'Kulkarni, Mangesh', 'Nolfi, Alexis L', 'France, Cambell T', 'Skillen, Clint D', 'Mahan, Mark A', 'Soletti, Lorenzo', 'Brown, Bryan N']","['rats', 'animals', 'swine', ' nerve transfer methods', 'hydrogels pharmacology', 'nerve regeneration', 'muscle fibers, skeletal', 'neuromuscular junction', 'muscle, skeletal pathology', 'biomaterial', 'decellularization', 'direct muscle neurotization', 'extracellular matrix', 'hydrogel', 'nerve']",Porcine Acellular Nerve-Derived Hydrogel Improves Outcomes of Direct Muscle Neurotization in Rats.,"Background: The ability to reinnervate a muscle in the absence of a viable nerve stump is a challenging clinical scenario. Direct muscle neurotization (DMN) is an approach to overcome this obstacle; however, success depends on the formation of new muscle endplates, a process, which is often limited due to lack of appropriate axonal pathfinding cues. Objective: This study explored the use of a porcine nerve extracellular matrix hydrogel as a neuroinductive interface between nerve and muscle in a rat DMN model. The goal of the study was to establish whether such hydrogel can be used to improve neuromuscular function in this model. Materials and Methods: A common peroneal nerve-to-gastrocnemius model of DMN was developed. Animals were survived for 2 or 8 weeks following DMN with or without the addition of the hydrogel at the site of neurotization. Longitudinal postural thrust, terminal electrophysiology, and muscle weight assessments were performed to qualify and quantify neuromuscular function. Histological assessments were made to qualify the host response at the DMN site, and to quantify neuromuscular junctions (NMJs) and muscle fiber diameter. Results: The hydrogel-treated group showed a 132% increase in postural thrust at 8 weeks compared with that of the DMN alone group. This was accompanied by an 80% increase in the number of NMJs at 2 weeks, and 26% increase in mean muscle fiber diameter at 8 weeks. Conclusions: These results suggest that a nerve-derived hydrogel may improve the neuromuscular outcome following DNM."
2022 Nov,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2022 Nov;110(11):1738-1748. doi: 10.1002/jbm.a.37437. Epub ,"['Faust, Anne E', 'Soletti, Lorenzo', 'Cwalina, Nicole A', 'Miller, Andrew D', 'Wood, Matthew D', 'Mahan, Mark A', 'Cheetham, Jonathan', 'Brown, Bryan N']","['animals', 'axons', 'heterografts', 'humans', 'nerve regeneration', ' neuroma pathology prevention & control', ' quality of life', 'rats', 'sciatic nerve surgery', 'swine', 'acellular', 'extracellular matrix', 'nerve cap', 'neuroma', 'xenograft']",Development of an acellular nerve cap xenograft for neuroma prevention.,"Neuroma formation following limb amputation is a prevalent and debilitating condition that can deeply affect quality of life and productivity. Several approaches exist to prevent or treat neuromas; however, no approach is either consistently reliable or surgically facile, with high rates of neuroma occurrence and/or recurrence. The present study describes the development and testing of a xenogeneic nerve cap graft made from decellularized porcine nerve. The grafts were tested in vitro for cellular removal, cytotoxicity, mechanical properties, and morphological characteristics. The grafts were then tested in rat sciatic nerve gap reconstruction and nerve amputation models for 8 weeks. Gross morphology, electrophysiology, and histopathology assessments were performed to determine the ability of the grafts to limit pathologic nerve regrowth. In vitro testing showed well decellularized and demyelinated nerve cap graft structures without any cytotoxicity from residual reagents. The grafts had a proximal socket for the proximal nerve stump and longitudinally oriented internal pores. Mechanical and surgical handling properties suggested suitability for implantation as a nerve graft. Following 8 weeks in vivo, the grafts were well integrated with the proximal and distal nerve segments without evidence of fibrotic adhesions to the surrounding tissues or bulbous outgrowth of the nerve. Electrophysiology revealed absence of nerve conduction within the remodeled nerve cap grafts and significant downstream muscle atrophy. Histologic evaluation showed well organized but limited axonal regrowth within the grafts without fibrous overgrowth or neuromatous hypercellularity. These results provide proof of concept for a novel xenograft-based approach to neuroma prevention."
2022,PloS one,PLoS One. 2022 Aug 25;17(8):e0273336. doi: 10.1371/journal.pone.0273336. ,"['Chung, William L', 'Brown, Bryan N', 'Almarza, Alejandro J']","['animals', 'dogs', 'extracellular matrix chemistry', 'intestine, small', ' meniscus', 'prostheses and implants', 'swine', 'temporomandibular joint', ' temporomandibular joint disc physiology surgery', 'tissue engineering methods', 'tissue scaffolds adverse effects']",Decellularized small intestine submucosa device for temporomandibular joint meniscus repair: Acute timepoint safety study.,"Temporomandibular joint (TMJ) Meniscus removal is an option for the patient to regain full range of motion if the disc is irreversibly damaged or unable to be reduced. However, this procedure leaves the joint vulnerable to condylar remodeling and degeneration. We have shown that extracellular matrix (ECM) scaffolds remodel into a tissue with near native TMJ meniscus in previous studies. The next step towards clinical translation is to manufacture the ECM scaffold as a device under good manufacturing practices (GMP) and test it in a pre-clinical animal study under good laboratory practices (GLP). The primary objective of this study was to evaluate the in-vivo histopathological response to a Prototype GMP manufactured device made of decellularized porcine small intestinal submucosa (SIS), by observing for signs of surrounding tissue reaction to the device that are indicative of an adverse host response in comparison to an empty control at 21 days post-surgical implantation in a canine TMJ meniscus removal and implant model in a GLP setting. The conclusive findings were that the ECM device is safe for placement in the TMJ. After 21 days post implantation, histology of tissue surrounding the device and draining lymph nodes showed that the Prototype GMP device had no negative effects compared to the empty site (as evaluated by the board-certified veterinary pathologist). Furthermore, there was a lack of negative findings for clinical pathology (hematology and clinical chemistry), mortality, and body weight/weight change. Future studies will go to one year after implantation to show that the remodel device remains as a viable tissue with near native mechanical properties."
2022 May,Tissue engineering. Part A,Tissue Eng Part A. 2022 May;28(9-10):447-457. doi: 10.1089/ten.TEA.2021.0123. ,"['Brown, Bryan N', 'Chung, William L', 'Lowe, Jesse', 'LoPresti, Samuel T', 'Cheetham, Jonathan', 'Almarza, Alejandro J', 'Badylak, Stephen F']","['animals', ' extracellular matrix chemistry', 'swine', 'temporomandibular joint surgery', ' temporomandibular joint disc pathology surgery', 'extracellular matrix scaffold', 'small intestine submucosa', 'temporomandibular joint disc', 'tissue regeneration']",Inductive Remodeling of Extracellular Matrix Scaffolds in the Temporomandibular Joint of Pigs.,"The temporomandibular joint (TMJ) disc is a fibrocartilaginous tissue located between the condyle of the mandible and glenoid fossa and articular eminence of the temporal bone. Damage or derangement of the TMJ disc can require surgical removal (discectomy) to restore function. Removal of the TMJ disc, however, leaves the joint space vulnerable to condylar remodeling and degradation, potentially leading to long-term complications. No consistently effective clinical option exists for repair or replacement of the disc following discectomy. This study investigates the use of an acellular scaffold composed of extracellular matrix (ECM) derived from small intestinal submucosa (SIS) as a regenerative template for the TMJ disc in a porcine model. Acellular SIS ECM scaffolds were implanted following discectomy and allowed to remodel for 2, 4, 12, and 24 weeks postimplantation. Remodeling of the implanted device was assessed by longitudinal magnetic resonance imaging (MRI) over the course of 6 months, as well as gross morphologic, histologic, biochemical, and biomechanical analysis (tension and compression) of explanted tissues (disc and condyle) at the time of sacrifice. When the scaffold remained in the joint space, longitudinal MRI demonstrated that the scaffolds promoted new tissue formation within the joint space throughout the study period. The scaffolds were rapidly populated with host-derived cells and remodeled with formation of new, dense, aligned fibrocartilage resembling native tissue as early as 1 month postimplantation. De-novo formation of peripheral muscular and tendinous attachments resembling those in native tissue was also observed. The remodeled scaffolds approached native disc biochemical composition and compressive modulus, and possessed 50% of the tensile modulus within 3 months postimplantation. No degradation of the condylar surface was observed. These results suggest that this acellular bioscaffold fills a medical need for which there is currently no effective treatment and may represent a clinically relevant ""off-the-shelf"" implant for reconstruction of the TMJ disc."
2022 Feb,Muscle & nerve,Muscle Nerve. 2022 Feb;65(2):247-255. doi: 10.1002/mus.27455. Epub 2021 Nov 25.,"['Prest, Travis A', 'Meder, Tyler J', 'Skillen, Clint D', 'Marchal, Lucile', 'Soletti, Lorenzo', 'Gardner, Paul A', 'Cheetham, Jonathan', 'Brown, Bryan N']","['animals', ' crush injuries pathology', ' hydrogels', 'nerve crush', 'nerve regeneration physiology', 'rats', 'rodentia', 'sciatic nerve injuries', 'decellularization', 'extracellular matrix', 'hydrogel', 'nerve', 'regenerative medicine', 'scaffold']",Safety and efficacy of an injectable nerve-specific hydrogel in a rodent crush injury model.,"INTRODUCTION/AIMS: While the peripheral nervous system has the inherent ability to recover following injury, results are often unsatisfactory, resulting in permanent functional deficits and disability. Therefore, methods that enhance regeneration are of significant interest. The present study investigates an injectable nerve-tissue-specific hydrogel as a biomaterial for nerve regeneration in a rat nerve crush model. METHODS: Nerve-specific hydrogels were injected into the subepineurial space in both uninjured and crushed sciatic nerves of rats to assess safety and efficacy, respectively. The animals were followed longitudinally for 12 wk using sciatic functional index and kinematic measures. At 12 wk, electrophysiologic examination was also performed, followed by nerve and muscle histologic assessment. RESULTS: When the hydrogel was injected into an uninjured nerve, no differences in sciatic functional index, kinematic function, or axon counts were observed. A slight reduction in muscle fiber diameter was observed in the hydrogel-injected animals, but overall muscle area and kinematic function were not affected. Hydrogel injection following nerve crush injury resulted in multiple modest improvements in sciatic functional index and kinematic function with an earlier return to normal function observed in the hydrogel treated animals as compared to untreated controls. While no improvements in supramaximal compound motor action potential were observed in hydrogel treated animals, increased axon counts were observed on histologic assessment. DISCUSSION: These improvements in functional and histologic outcomes in a rapidly and fully recovering model suggest that injection of a nerve-specific hydrogel is safe and has the potential to improve outcomes following nerve injury."
2021 May 17,Aging,Aging (Albany NY). 2021 May 17;13(13):16938-16956. doi: 10.18632/aging.203054. ,"['Haschak, Martin', 'LoPresti, Samuel', 'Stahl, Elizabeth', 'Dash, Siddhartha', 'Popovich, Branimir', 'Brown, Bryan N']","['aging pathology physiology', 'animals', 'arginase metabolism', 'biomechanical phenomena', 'bone marrow cells', 'cellular microenvironment  physiology', 'cytokines metabolism', 'dna biosynthesis', 'heart  physiology', 'macrophage activation', 'macrophages  physiology  ultrastructure', 'mice', 'mice, inbred c57bl', 'myocardium pathology', 'nitric oxide metabolism', 'nitric oxide synthase type ii biosynthesis', 'phenotype', 'signal transduction', 'tissue culture techniques', 'cardiovascular', 'macrophage', 'microenvironment']",Macrophage phenotype and function are dependent upon the composition and biomechanics of the local cardiac tissue microenvironment.,"Macrophage accumulation and nitrosative stress are known mechanisms underlying age-related cardiovascular pathology and functional decline. The cardiac muscle microenvironment is known to change with age, yet the direct effects of these changes have yet to be studied in-depth. The present study sought to better elucidate the role that biochemical and biomechanical alterations in cardiac tissue have in the altered phenotype and functionality of cardiac resident macrophages observed with increasing age. To accomplish this, naïve bone marrow derived macrophages from young mice were seeded onto either functionalized poly-dimethyl-siloxane hydrogels ranging in stiffness from 2kPA to 64kPA or onto tissue culture plastic, both of which were coated with either young or aged solubilized mouse cardiac extracellular matrix (cECM). Both biomechanical and biochemical alterations were found to have a significant effect on macrophage polarization and function. Increased substrate stiffness was found to promote macrophage morphologies associated with pro-inflammatory macrophage activation, increased expression of pro-inflammatory inducible nitric oxide synthase protein with increased nitric oxide secretion, and attenuated arginase activity and protein expression. Additionally, exposure to aged cECM promoted attenuated responsivity to both canonical pro-inflammatory and anti-inflammatory cytokine signaling cues when compared to young cECM treated cells. These results suggest that both biomechanical and biochemical changes in the cardiovascular system play a role in promoting the age-related shift towards pro-inflammatory macrophage populations associated with cardiovascular disease development."
2020 Oct 21,Biomaterials science,Biomater Sci. 2020 Oct 21;8(20):5751-5762. doi: 10.1039/d0bm00568a. Epub 2020 Sep ,"['Hachim, Daniel', 'LoPresti, Samuel T', 'Rege, Rahul D', 'Umeda, Yuta', 'Iftikhar, Aimon', 'Nolfi, Alexis L', 'Skillen, Clint D', 'Brown, Bryan N']","['humans', 'immunomodulation', ' interleukin-4', ' macrophages', 'phenotype', 'prostheses and implants']",Distinct macrophage populations and phenotypes associated with IL-4 mediated immunomodulation at the host implant interface.,"The host macrophage response to implants has shown to be affected by tissue location and physio-pathological conditions of the patient. Success in immunomodulatory strategies is thus predicated on the proper understanding of the macrophage populations participating on each one of these contexts. The present study uses an in vivo implantation model to analyze how immunomodulation via an IL-4 eluting implant affects distinct macrophage populations at the tissue-implant interface and how this may affect downstream regenerative processes. Populations identified as F4/80(+), CD68(+) and CD11b(+) macrophages at the peri-implant space showed distinct susceptibility to polarize towards an M2-like phenotype under the effects of delivered IL-4. Also, the presence of the coating resulted in a significant reduction in F4/80(+) macrophages, while other populations remained unchanged. These results suggests that the F4/80(+) macrophage population may be predominant in the early stages of the host response at the surface of these implants, in contrast to CD11b(+) macrophage populations which were either fewer in number or located more distant from the implant surface. Gene expression assays showed increased proteolytic activity and diminished matrix deposition as possible mechanisms explaining the decreased fibrotic capsule deposition and improved peri-implant tissue quality shown in previous studies using IL-4 eluting coatings. The pattern of M2-like gene expression promoted by IL-4 was correlated with glycosaminoglycan production within the site of implantation at early stages of the host response, suggesting a significant role in this response. These findings demonstrate that immunomodulatory strategies can be utilized to design and implement targeted delivery for improving biomaterial performance."
2020 Jul,Translational vision science & technology,Transl Vis Sci Technol. 2020 Jul 13;9(8):17. doi: 10.1167/tvst.9.8.17. ,"['Liou, Jr-Jiun', 'Drewry, Michelle D', 'Sweeney, Ashlinn', 'Brown, Bryan N', 'Vande Geest, Jonathan P']","['animals', 'biophysics', 'extracellular matrix', ' glaucoma', ' optic disk', 'swine', ' tetrahymenina', 'decellularization', 'glaucoma', 'lamina cribrosa', 'mechanobiology', 'porcine']",Decellularizing the Porcine Optic Nerve Head: Toward a Model to Study the Mechanobiology of Glaucoma.,"PURPOSE: Studying the extracellular matrix (ECM) remodeling of the lamina cribrosa in vivo can be extremely challenging and costly. There exist very few options for studying optic nerve head (ONH) mechanobiology in vitro that are able to reproduce the complex anatomic and biomechanical environment of the ONH. Herein, we have developed a decellularization procedure that will enable more anatomically relevant and cost-efficient future studies of ECM remodeling of the ONH. METHODS: Porcine posterior poles were decellularized using a detergent and enzyme-based decellularization protocol. DNA quantification and histology were used to investigate the effectiveness of the protocol. We subsequently investigated the ability of a polyethylene glycol (PEG)-based hydrogel to restore the ONH's ability to hold pressure following decellularization. Anterior-posterior displacement of the decellularized and PEG treated ONH in a pressure bioreactor was used to evaluate the biomechanical response of the ONH. RESULTS: DNA quantification and histology confirmed decellularization using Triton X-100 at low concentration for 48 hours successfully reduced the cellular content of the tissue by 94.9% compared with native tissue while preserving the ECM microstructure and basal lamina of the matrix. Infiltrating the decellularized tissues with PEG 6000 and PEG 10,000 hydrogel restored their ability to hold pressure, producing displacements similar to those measured for the non-decellularized control samples. CONCLUSIONS: Our decellularized ONH model is capable of producing scaffolds that are cell-free and maintain the native ECM microstructure. TRANSLATIONAL RELEVANCE: This model represents a platform to study the mechanobiology in the ONH and potentially for glaucoma drug testing."
2021 Feb,Tissue engineering. Part A,Tissue Eng Part A. 2021 Feb;27(3-4):165-176. doi: 10.1089/ten.TEA.2019.0295. Epub ,"['Cercone, Marta', 'Brown, Bryan N', 'Stahl, Elizabeth C', 'Mitchell, Lisa M', 'Fortier, Lisa A', 'Mohammed, Hussni O', 'Ducharme, Norm G']","['animals', 'arytenoid cartilage diagnostic imaging surgery', ' cartilage diseases', 'horses', ' larynx surgery', 'tissue engineering', 'ultrasonography', 'arytenoid chondritis', 'bone marrow-derived nucleated cells', 'decellularized cartilage', 'horse', 'larynx', 'tissue engineering']",An Exploratory Study into the Implantation of Arytenoid Cartilage Scaffold in the Horse.,"Respiratory function in the horse can be severely compromised by arytenoid chondritis, or arytenoid chondropathy, a pathologic condition leading to deformity and dysfunction of the affected cartilage. Current treatment in cases unresponsive to medical management is removal of the cartilage, which can improve the airway obstruction, but predisposes the patient to other complications like tracheal penetration of oropharyngeal content and dynamic collapse of the now unsupported soft tissue lateral to the cartilage. A tissue engineering approach to reconstructing the arytenoid cartilage would represent a significant advantage in the management of arytenoid chondritis. In this study, we explored if decellularized matrix could potentially be incorporated into the high motion environment of the arytenoid cartilages of horses. Equine arytenoid cartilages were decellularized and a portion of the resultant acellular scaffolds was implanted in a full-thickness defect created in the arytenoids of eight horses. The implantation was performed bilaterally in each horse, with one side randomly selected to receive an implant seeded with autologous bone marrow-derived nucleated cells (BMNCs). Arytenoids structure and function were monitored up to 4 months. In vivo assessments included laryngeal ultrasound, and laryngeal endoscopy at rest and during exercise on a high-speed treadmill. Histologic evaluation of the arytenoids was performed postmortem. Implantation of the cartilaginous graft had no adverse effect on laryngeal respiratory function or swallowing, despite induction of a transient granuloma on the medial aspect of the arytenoids. Ultrasonographic monitoring detected a postoperative increase in the thickness and cross-sectional area of the arytenoid body that receded faster in the arytenoids not seeded with BMNCs. The explanted tissue showed epithelialization of the mucosal surface, integration of the implant into the native arytenoid, with minimal adverse cellular reaction. Remodeling of the scaffold material was evident by 2 months after implantation. Preseeding the scaffold with BMNCs increased the rate of scaffold degradation and incorporation. Replacement of arytenoid portion with a tissue-engineered cartilaginous graft preseeded with BMNCs is surgically feasible in the horse, is well tolerated, and results in appropriate integration within the native tissue, also preventing laryngeal tissue collapse during exercise."
