time,journal,doi_info,authors,key words,title,abstract
2023 Dec,Vision research,Vision Res. 2023 Dec;213:108315. doi: 10.1016/j.visres.2023.108315. Epub 2023 Sep ,"['Aweidah, Hamzah', 'Xi, Zhouhuan', 'Sahel, José-Alain', 'Byrne, Leah C']","['humans', 'mutation', ' retinitis pigmentosa genetics therapy', 'eye proteins genetics metabolism', 'pedigree']",PRPF31-retinitis pigmentosa: Challenges and opportunities for clinical translation.,"Mutations in pre-mRNA processing factor 31 cause autosomal dominant retinitis pigmentosa (PRPF31-RP), for which there is currently no efficient treatment, making this disease a prime target for the development of novel therapeutic strategies. PRPF31-RP exhibits incomplete penetrance due to haploinsufficiency, in which reduced levels of gene expression from the mutated allele result in disease. A variety of model systems have been used in the investigation of disease etiology and therapy development. In this review, we discuss recent advances in both in vivo and in vitro model systems, evaluating their advantages and limitations in the context of therapy development for PRPF31-RP. Additionally, we describe the latest approaches for treatment, including AAV-mediated gene augmentation, genome editing, and late-stage therapies such as optogenetics, cell transplantation, and retinal prostheses."
2023 Sep,HardwareX,HardwareX. 2023 Aug 29;15:e00472. doi: 10.1016/j.ohx.2023.e00472. eCollection ,"['Lohss, Maxwell', 'Ho, Jonathan', 'Naylor, Nathan', 'Cashman, Stacy', 'Fu, Roxana', 'Tonya Stefko, S', 'Byrne, Leah C']","['medical devices', 'neurobiology', 'skull clamp', 'surgery']",Adaptable three-pin skull clamp for large animal research.,"Traditionally, surgical head immobilization for neurobiological research with large animals is achieved using stereotaxic frames. Despite their widespread use, these frames are bulky, expensive, and inflexible, ultimately limiting surgical access and preventing research groups from practicing surgical approaches used to treat humans. Here, we designed a mobile, low-cost, three-pin skull clamp for performing a variety of neurosurgical procedures on non-human primates. Modeled after skull clamps used to operate on humans, our system was designed with added adjustability to secure heads with small or irregular geometries for innovative surgical approaches. The system has six degrees of freedom with skull pins attached to setscrews for independent, fine-tuned depth adjustment. Unlike other conventional skull clamps which require additional mounting fixtures, our system has an integrated tray with mounting bracket for easy use on most operating room tables. Our system has successfully secured primate heads in the supine and lateral position, allowing surgeons to match surgical approaches currently practiced when operating on humans. The system also expands the opportunity for researchers to utilize imaged-guided robotic surgery techniques. Overall, we hope that our system can serve as an adaptable, affordable, and robust surgery platform for any laboratory performing neurobiological research with large animal models."
2023 Mar 27,Cold Spring Harbor perspectives in medicine,Cold Spring Harb Perspect Med. 2023 Mar 27;13(12):a041291. doi: ,"['Zin, Emilia A', 'Ozturk, Bilge E', 'Dalkara, Deniz', 'Byrne, Leah C']",[],Developing New Vectors for Retinal Gene Therapy.,"Since their discovery over 55 years ago, adeno-associated virus (AAV) vectors have become powerful tools for experimental and therapeutic in vivo gene delivery, particularly in the retina. Increasing knowledge of AAV structure and biology has propelled forward the development of engineered AAV vectors with improved abilities for gene delivery. However, major obstacles to safe and efficient therapeutic gene delivery remain, including tropism, inefficient and untargeted gene delivery, and limited carrying capacity. Additional improvements to AAV vectors will be required to achieve therapeutic benefit while avoiding safety issues. In this review, we provide an overview of recent methods for engineering-enhanced AAV capsids, as well as remaining challenges that must be overcome to achieve optimized therapeutic gene delivery in the eye."
2022 Dec 13,Nature communications,Nat Commun. 2022 Dec 13;13(1):7695. doi: 10.1038/s41467-022-35361-8.,"['Xi, Zhouhuan', 'Vats, Abhishek', 'Sahel, José-Alain', 'Chen, Yuanyuan', 'Byrne, Leah C']","['mice', 'animals', 'humans', 'eye proteins metabolism', ' retinal degeneration genetics', 'crispr-cas systems genetics', ' retinitis pigmentosa genetics therapy', 'genes, dominant', 'mutation', 'disease models, animal']",Gene augmentation prevents retinal degeneration in a CRISPR/Cas9-based mouse model of PRPF31 retinitis pigmentosa.,"Mutations in PRPF31 cause autosomal dominant retinitis pigmentosa, an untreatable form of blindness. Gene therapy is a promising treatment for PRPF31-retinitis pigmentosa, however, there are currently no suitable animal models in which to develop AAV-mediated gene augmentation. Here we establish Prpf31 mutant mouse models using AAV-mediated CRISPR/Cas9 knockout, and characterize the resulting retinal degeneration phenotype. Mouse models with early-onset morphological and functional impairments like those in patients were established, providing new platforms in which to investigate pathogenetic mechanisms and develop therapeutic methods. AAV-mediated PRPF31 gene augmentation restored the retinal structure and function in a rapidly degenerating mouse model, demonstrating the first in vivo proof-of-concept for AAV-mediated gene therapy to treat PRPF31-retinitis pigmentosa. AAV-CRISPR/Cas9-PRPF31 knockout constructs also mediated efficient PRPF31 knockout in human and non-human primate retinal explants, laying a foundation for establishing non-human primate models using the method developed here."
2022 Aug 16,NPJ Regenerative medicine,NPJ Regen Med. 2022 Aug 16;7(1):39. doi: 10.1038/s41536-022-00235-6.,"['Rodrigues, Amélie', 'Slembrouck-Brec, Amélie', 'Nanteau, Céline', 'Terray, Angélique', 'Tymoshenko, Yelyzaveta', 'Zagar, Yvrick', 'Reichman, Sacha', 'Xi, Zhouhuan', 'Sahel, José-Alain', 'Fouquet, Stéphane', 'Orieux, Gael', 'Nandrot, Emeline F', 'Byrne, Leah C', 'Audo, Isabelle', 'Roger, Jérôme E', 'Goureau, Olivier']",[],Modeling PRPF31 retinitis pigmentosa using retinal pigment epithelium and organoids combined with gene augmentation rescue.,"Mutations in the ubiquitously expressed pre-mRNA processing factor (PRPF) 31 gene, one of the most common causes of dominant form of Retinitis Pigmentosa (RP), lead to a retina-specific phenotype. It is uncertain which retinal cell types are affected and animal models do not clearly present the RP phenotype observed in PRPF31 patients. Retinal organoids and retinal pigment epithelial (RPE) cells derived from human-induced pluripotent stem cells (iPSCs) provide potential opportunities for studying human PRPF31-related RP. We demonstrate here that RPE cells carrying PRPF31 mutations present important morphological and functional changes and that PRPF31-mutated retinal organoids recapitulate the human RP phenotype, with a rod photoreceptor cell death followed by a loss of cones. The low level of PRPF31 expression may explain the defective phenotypes of PRPF31-mutated RPE and photoreceptor cells, which were not observed in cells derived from asymptomatic patients or after correction of the pathogenic mutation by CRISPR/Cas9. Transcriptome profiles revealed differentially expressed and mis-spliced genes belonging to pathways in line with the observed defective phenotypes. The rescue of RPE and photoreceptor defective phenotypes by PRPF31 gene augmentation provide the proof of concept for future therapeutic strategies."
2022 Jun 9,Molecular therapy. Methods & clinical development,Mol Ther Methods Clin Dev. 2022 Apr 30;25:476-489. doi: ,"['Xi, Zhouhuan', 'Öztürk, Bilge E', 'Johnson, Molly E', 'Turunç, Serhan', 'Stauffer, William R', 'Byrne, Leah C']","['aav', 'gene therapy', 'human retinal explant', 'retina', 'scrna-seq']",Quantitative single-cell transcriptome-based ranking of engineered AAVs in human retinal explants.,"Gene therapy is a rapidly developing field, and adeno-associated viruses (AAVs) are a leading viral-vector candidate for therapeutic gene delivery. Newly engineered AAVs with improved abilities are now entering the clinic. It has proven challenging, however, to predict the translational potential of gene therapies developed in animal models due to cross-species differences. Human retinal explants are the only available model of fully developed human retinal tissue and are thus important for the validation of candidate AAV vectors. In this study, we evaluated 18 wild-type and engineered AAV capsids in human retinal explants using a recently developed single-cell RNA sequencing (RNA-seq) AAV engineering pipeline (scAAVengr). Human retinal explants retained the same major cell types as fresh retina, with similar expression of cell-specific markers except for a photoreceptor population with altered expression of photoreceptor-specific genes. The efficiency and tropism of AAVs in human explants were quantified with single-cell resolution. The top-performing serotypes, K91, K912, and 7m8, were further validated in non-human primate and human retinal explants. Together, this study provides detailed information about the transcriptome profiles of retinal explants and quantifies the infectivity of leading AAV serotypes in human retina, accelerating the translation of retinal gene therapies to the clinic."
2022 May 16,eLife,Elife. 2022 May 16;11:e69571. doi: 10.7554/eLife.69571.,"['Lawler, Alyssa J', 'Ramamurthy, Easwaran', 'Brown, Ashley R', 'Shin, Naomi', 'Kim, Yeonju', 'Toong, Noelle', 'Kaplow, Irene M', 'Wirthlin, Morgan', 'Zhang, Xiaoyu', 'Phan, BaDoi N', 'Fox, Grant A', 'Wade, Kirsten', 'He, Jing', 'Ozturk, Bilge Esin', 'Byrne, Leah C', 'Stauffer, William R', 'Fish, Kenneth N', 'Pfenning, Andreas R']","['animals', 'cerebral cortex metabolism', 'computational biology methods', ' enhancer elements, genetic genetics', 'globus pallidus', ' machine learning', 'mice', ' neurons metabolism', 'parvalbumins metabolism', ' sequence analysis, dna methods', 'cell type-specific enhancers', 'genetics', 'genomics', 'machine learning', 'mouse', 'neuron subtype isolation', 'neuroscience', 'parvalbumin neurons', 'rhesus macaque']",Machine learning sequence prioritization for cell type-specific enhancer design.,"Recent discoveries of extreme cellular diversity in the brain warrant rapid development of technologies to access specific cell populations within heterogeneous tissue. Available approaches for engineering-targeted technologies for new neuron subtypes are low yield, involving intensive transgenic strain or virus screening. Here, we present Specific Nuclear-Anchored Independent Labeling (SNAIL), an improved virus-based strategy for cell labeling and nuclear isolation from heterogeneous tissue. SNAIL works by leveraging machine learning and other computational approaches to identify DNA sequence features that confer cell type-specific gene activation and then make a probe that drives an affinity purification-compatible reporter gene. As a proof of concept, we designed and validated two novel SNAIL probes that target parvalbumin-expressing (PV+) neurons. Nuclear isolation using SNAIL in wild-type mice is sufficient to capture characteristic open chromatin features of PV+ neurons in the cortex, striatum, and external globus pallidus. The SNAIL framework also has high utility for multispecies cell probe engineering; expression from a mouse PV+ SNAIL enhancer sequence was enriched in PV+ neurons of the macaque cortex. Expansion of this technology has broad applications in cell type-specific observation, manipulation, and therapeutics across species and disease models."
2022 Mar 29,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Mar 29;119(13):e2117038119. doi: ,"['Miyadera, Keiko', 'Santana, Evelyn', 'Roszak, Karolina', 'Iffrig, Sommer', 'Visel, Meike', 'Iwabe, Simone', 'Boyd, Ryan F', 'Bartoe, Joshua T', 'Sato, Yu', 'Gray, Alexa', 'Ripolles-Garcia, Ana', 'Dufour, Valérie L', 'Byrne, Leah C', 'Flannery, John G', 'Beltran, William A', 'Aguirre, Gustavo D']","['animals', 'dependovirus genetics', 'dogs', 'electroretinography', 'eye diseases, hereditary', ' genetic diseases, x-linked genetics therapy', 'genetic therapy', 'humans', 'membrane proteins genetics', 'myopia', ' night blindness genetics therapy', 'aav', 'lrit3', 'on-bipolar cells', 'animal model', 'congenital stationary night blindness']",Targeting ON-bipolar cells by AAV gene therapy stably reverses LRIT3-congenital stationary night blindness.,"SignificanceCanine models of inherited retinal diseases have helped advance adeno-associated virus (AAV)-based gene therapies targeting specific cells in the outer retina for treating blinding diseases in patients. However, therapeutic targeting of diseases such as congenital stationary night blindness (CSNB) that exhibit defects in ON-bipolar cells (ON-BCs) of the midretina remains underdeveloped. Using a leucine-rich repeat, immunoglobulin-like and transmembrane domain 3 (LRIT3) mutant canine model of CSNB exhibiting ON-BC dysfunction, we tested the ability of cell-specific AAV capsids and promotors to specifically target ON-BCs for gene delivery. Subretinal injection of one vector demonstrated safety and efficacy with robust and stable rescue of electroretinography signals and night vision up to 1 y, paving the way for clinical trials in patients."
2021 Dec 20,Current biology : CB,Curr Biol. 2021 Dec 20;31(24):5473-5486.e6. doi: 10.1016/j.cub.2021.10.015. Epub ,"['He, Jing', 'Kleyman, Michael', 'Chen, Jianjiao', 'Alikaya, Aydin', 'Rothenhoefer, Kathryn M', 'Ozturk, Bilge Esin', 'Wirthlin, Morgan', 'Bostan, Andreea C', 'Fish, Kenneth', 'Byrne, Leah C', 'Pfenning, Andreas R', 'Stauffer, William R']","['animals', ' corpus striatum physiology', 'dopamine metabolism', 'mice', 'mice, inbred c57bl', 'neostriatum', ' neurons physiology', 'primates', 'fish', 'msns', 'nhp', 'nudap', 'anatomical diversity', 'medium spiny neurons', 'primate', 'snrna-seq', 'striatum', 'transcriptional diversity']",Transcriptional and anatomical diversity of medium spiny neurons in the primate striatum.,"Medium spiny neurons (MSNs) constitute the vast majority of striatal neurons and the principal interface between dopamine reward signals and functionally diverse cortico-basal ganglia circuits. Information processing in these circuits is dependent on distinct MSN types: cell types that are traditionally defined according to their projection targets or dopamine receptor expression. Single-cell transcriptional studies have revealed greater MSN heterogeneity than predicted by traditional circuit models, but the transcriptional landscape in the primate striatum remains unknown. Here, we set out to establish molecular definitions for MSN subtypes in Rhesus monkeys and to explore the relationships between transcriptionally defined subtypes and anatomical subdivisions of the striatum. Our results suggest at least nine MSN subtypes, including dorsal striatum subtypes associated with striosome and matrix compartments, ventral striatum subtypes associated with the nucleus accumbens shell and olfactory tubercle, and an MSN-like cell type restricted to μ-opioid receptor rich islands in the ventral striatum. Although each subtype was demarcated by discontinuities in gene expression, continuous variation within subtypes defined gradients corresponding to anatomical locations and, potentially, functional specializations. These results lay the foundation for achieving cell-type-specific transgenesis in the primate striatum and provide a blueprint for investigating circuit-specific information processing."
2021 Oct 19,eLife,Elife. 2021 Oct 19;10:e64175. doi: 10.7554/eLife.64175.,"['Öztürk, Bilge E', 'Johnson, Molly E', 'Kleyman, Michael', 'Turunç, Serhan', 'He, Jing', 'Jabalameli, Sara', 'Xi, Zhouhuan', 'Visel, Meike', 'Dufour, Valérie L', 'Iwabe, Simone', 'Pompeo Marinho, Luis Felipe L', 'Aguirre, Gustavo D', 'Sahel, José-Alain', 'Schaffer, David V', 'Pfenning, Andreas R', 'Flannery, John G', 'Beltran, William A', 'Stauffer, William R', 'Byrne, Leah C']","['animals', 'dependovirus  physiology', 'gene expression profiling  methods', 'genetic vectors', 'macaca fascicularis  physiology', 'retina  physiology', ' transcriptome', ' transduction, genetic', 'adeno-associated virus', 'callithrix jacchus', 'macaca fascicularis', 'medicine', 'neuroscience', 'retinal degeneration', 'rhesus macaque', 'scrna-seq']","scAAVengr, a transcriptome-based pipeline for quantitative ranking of engineered AAVs with single-cell resolution.","BACKGROUND: Adeno-associated virus (AAV)-mediated gene therapies are rapidly advancing to the clinic, and AAV engineering has resulted in vectors with increased ability to deliver therapeutic genes. Although the choice of vector is critical, quantitative comparison of AAVs, especially in large animals, remains challenging. METHODS: Here, we developed an efficient single-cell AAV engineering pipeline (scAAVengr) to simultaneously quantify and rank efficiency of competing AAV vectors across all cell types in the same animal. RESULTS: To demonstrate proof-of-concept for the scAAVengr workflow, we quantified - with cell-type resolution - the abilities of naturally occurring and newly engineered AAVs to mediate gene expression in primate retina following intravitreal injection. A top performing variant identified using this pipeline, K912, was used to deliver SaCas9 and edit the rhodopsin gene in macaque retina, resulting in editing efficiency similar to infection rates detected by the scAAVengr workflow. scAAVengr was then used to identify top-performing AAV variants in mouse brain, heart, and liver following systemic injection. CONCLUSIONS: These results validate scAAVengr as a powerful method for development of AAV vectors. FUNDING: This work was supported by funding from the Ford Foundation, NEI/NIH, Research to Prevent Blindness, Foundation Fighting Blindness, UPMC Immune Transplant and Therapy Center, and the Van Sloun fund for canine genetic research."
