time,journal,doi_info,authors,key words,title,abstract
2024 Jul,Gait & posture,Gait Posture. 2024 Jul;112:74-80. doi: 10.1016/j.gaitpost.2024.04.035. Epub 2024 ,"['Bick, Natalie A', 'Redfern, Mark S', 'Jennings, J Richard', 'Eack, Shaun M', 'Iverson, Jana M', 'Cham, Rakié']","['humans', ' autism spectrum disorder physiopathology', 'male', 'female', ' attention physiology', 'young adult', 'adult', ' gait physiology', 'reaction time', 'case-control studies', 'attentional set-shifting', 'autism spectrum disorder', 'information processing auditory dual-task', 'spatiotemporal gait metrics']",Attention and sensory integration for gait in young adults with autism spectrum disorder.,"INTRODUCTION: Altered sensorimotor function is a common feature of autism spectrum disorder (ASD). As a result, spatiotemporal walking patterns are typically affected. Attentional processes relevant for locomotion may be altered in people with ASD. This study assessed the extent to which gait alterations observed under sensory challenging conditions are due to reduced attention-related processes in young adults with ASD. METHODS: Twenty-one adults with ASD and 21 age- and sex-matched neurotypical participants walked at a self-selected pace on a 10-m walkway under 12 sensory/attention conditions: hard or carpet flooring; well-lit or dim lighting; no attention task, an auditory choice-reaction time information-processing task, or a simple reaction time information-processing task. Gait data were collected with a 12-marker motion capture set and a trunk accelerometer. Spatiotemporal characteristics of gait were derived and compared between the two groups across gait conditions. RESULTS: Floor/light conditions impacted gait speed, average step length, average stance time, average step width, and step width variability similarly in both groups (p<0.05). The information processing tasks impacted average step length, gait speed, and step length variability (p<0.05). Group differences were found in step length metrics: the ASD group had decreased average step length during the simple reaction time information-processing task and neurotypical participants did not (p=0.039); the ASD group had increased variability on carpet compared to hard floor and the neurotypical group had no change in variability due to floor (p=0.015). SIGNIFICANCE: These results suggest that attentional set-shifting and somatosensory inputs may play an important role in ASD-related gait alterations. Step length metrics appear to be sensitive to group differences between ASD and neurotypical adults during sensory challenging conditions."
2022 May 10,"Sensors (Basel, Switzerland)",Sensors (Basel). 2022 May 10;22(10):3641. doi: 10.3390/s22103641.,"['Ma, Christina Zong-Hao', 'Bao, Tian', 'DiCesare, Christopher A', 'Harris, Isaac', 'Chambers, April', 'Shull, Peter B', 'Zheng, Yong-Ping', 'Cham, Rakie', 'Sienko, Kathleen H']","[' accidental falls prevention & control', 'biomechanical phenomena', 'feasibility studies', 'feedback', ' gait physiology', 'humans', 'feedback', 'foot–floor contact angle', 'gait training', 'inertial measurement unit', 'slip']",Reducing Slip Risk: A Feasibility Study of Gait Training with Semi-Real-Time Feedback of Foot-Floor Contact Angle.,"Slip-induced falls, responsible for approximately 40% of falls, can lead to severe injuries and in extreme cases, death. A large foot-floor contact angle (FFCA) during the heel-strike event has been associated with an increased risk of slip-induced falls. The goals of this feasibility study were to design and assess a method for detecting FFCA and providing cues to the user to generate a compensatory FFCA response during a future heel-strike event. The long-term goal of this research is to train gait in order to minimize the likelihood of a slip event due to a large FFCA. An inertial measurement unit (IMU) was used to estimate FFCA, and a speaker provided auditory semi-real-time feedback when the FFCA was outside of a 10-20 degree target range following a heel-strike event. In addition to training with the FFCA feedback during a 10-min treadmill training period, the healthy young participants completed pre- and post-training overground walking trials. Results showed that training with FFCA feedback increased FFCA events within the target range by 16% for ""high-risk"" walkers (i.e., participants that walked with more than 75% of their FFCAs outside the target range) both during feedback treadmill trials and post-training overground trials without feedback, supporting the feasibility of training FFCA using a semi-real-time FFCA feedback system."
2022 May 2,JAMA network open,JAMA Netw Open. 2022 May 2;5(5):e2212921. doi: ,"['Brach, Jennifer S', 'Perera, Subashan', 'Shuman, Valerie', 'Gil, Alexandra B', 'Kriska, Andrea', 'Nadkarni, Neelesh K', 'Rockette-Wagner, Bonny', 'Cham, Rakie', 'VanSwearingen, Jessie M']","['aged', ' exercise physiology', 'exercise therapy', 'female', 'humans', ' independent living', 'male', 'walking physiology', 'walking speed']",Effect of Timing and Coordination Training on Mobility and Physical Activity Among Community-Dwelling Older Adults: A Randomized Clinical Trial.,"IMPORTANCE: Standard exercise interventions targeting underlying physiologic system impairments have limited success in improving walking. Augmenting standard interventions with timing and coordination training, which incorporates the principles of motor learning and integrates multiple systems, may be more successful. OBJECTIVE: To determine whether a standard strength and endurance program incorporating timing and coordination training (standard-plus) improves gait speed more than strength and endurance training alone. DESIGN, SETTING, AND PARTI"
2021 Oct 4,Scientific reports,Sci Rep. 2021 Oct 4;11(1):19691. doi: 10.1038/s41598-021-98518-3.,"[""O'Connell, Caitlin"", 'Redfern, Mark', 'Chan, Kevin C', 'Wollstein, Gadi', 'Conner, Ian P', 'Cham, Rakié']","['adaptation, physiological', 'aged', 'aged, 80 and over', 'female', 'glaucoma  diagnosis etiology  physiopathology', 'humans', 'male', 'middle aged', ' postural balance', 'posture', 'severity of illness index', 'visual fields']","Sensory integration abilities for balance in glaucoma, a preliminary study.","The goal of this study was to quantify the association between sensory integration abilities relevant for standing balance and disease stage in glaucoma. The disease stage was assessed using both functional (visual field deficit) and structural (retinal nerve fiber layer thickness) deficits in the better and worse eye. Balance was assessed using an adapted version of the well-established Sensory Organization Test (SOT). Eleven subjects diagnosed with mild to moderate glaucoma stood for 3 min in 6 sensory challenging postural conditions. Balance was assessed using sway magnitude and sway speed computed based on center-of-pressure data. Mixed linear regression analyses were used to investigate the associations between glaucoma severity and balance measures. Findings revealed that the visual field deficit severity in the better eye was associated with increased standing sway speed. This finding was confirmed in eyes open and closed conditions. Balance was not affected by the extent of the visual field deficit in the worse eye. Similarly, structural damage in either eye was not associated with the balance measures. In summary, this study found that postural control performance was associated with visual field deficit severity. The fact that this was found during eyes closed as well suggests that reduced postural control in glaucoma is not entirely attributed to impaired peripheral visual inputs. A larger study is needed to further investigate potential interactions between visual changes and central processing changes contributing to reduced balance function and increased incidence of falls in adults with glaucoma."
2021 May,Experimental brain research,Exp Brain Res. 2021 May;239(5):1417-1426. doi: 10.1007/s00221-021-06058-z. Epub ,"['Cham, Rakié', 'Iverson, Jana M', 'Bailes, Anna H', 'Jennings, J Richard', 'Eack, Shaun M', 'Redfern, Mark S']","['adaptation, physiological', ' autism spectrum disorder', 'humans', ' postural balance', 'reaction time', 'sensation disorders etiology', 'young adult', 'attention', 'autism', 'postural control']",Attention and sensory integration for postural control in young adults with autism spectrum disorders.,"Postural control impairments have been reported in adults with autism spectrum disorders (ASD). Balance relies on the integration of multisensory cues, a process that requires attention. The purpose of this study was to determine if the influence of attention demands on sensory integration abilities relevant for balance partially contributes to postural control impairments in ASD. Young adults with ASD (N = 24) and neurotypical participants (N = 24) were exposed to sensory perturbations during standing. An established dual-task paradigm was used, requiring participants to maintain balance in these sensory challenging environments and to perform auditory information processing tasks (simple reaction time task and choice reaction time task). Balance was assessed using sway magnitude and sway speed, and attention demands were evaluated based on the response time in the auditory tasks. While young adults with ASD were able to maintain balance in destabilizing sensory conditions, they were more challenged (greater sway speed) than their neurotypical counterparts. Additionally, when exposed for an extended amount of time (3 min) to the most challenging sensory condition included in this study, adults with ASD exhibited a reduced ability to adapt their postural control strategies (sway speed was minimally reduced), demonstrating a postural inflexibility pattern in ASD compared to neurotypical counterparts. Finally, the impact of performing an auditory information processing task on balance and the dual-task cost on information processing (response time) was similar in both groups. ASD may disrupt temporal adaptive postural control processes associated with sensory reweighting that occurs in neurotypicals."
2020 Nov,Ergonomics,Ergonomics. 2020 Nov;63(11):1425-1433. doi: 10.1080/00140139.2020.1792560. Epub ,"['Merrill, Zachary', 'Woolley, Charles', 'Cham, Rakié']","['absorptiometry, photon', 'adult', 'age factors', 'aged', 'anthropometry  methods', 'body height  physiology', ' body mass index', 'ergonomics  methods', 'female', 'humans', 'male', 'middle aged', 'occupational health', 'torso diagnostic imaging  physiology', 'young adult', 'ageing', 'anthropometry', 'body mass index', 'body segment parameters']",Impact of the seated height to stature ratio on torso segment parameters.,"Ergonomic modelling programmes such as the Three Dimensional Static Strength Prediction Programme (3DSSPP) are valuable tools for assessing strength capabilities and risk assessment. These tools rely on accurate, representative inputs in the form of body segment parameters (BSPs). The upcoming version of 3DSSPP will employ BSPs for the torso, split into thoracic, lumbar and pelvis segments in order to more precisely determine spinal forces and injury risks. This study determines the impacts of age, body mass index and the estimated seated height to stature ratio (SHS) on these full and split torso parameters in a sample of working American adults. The results show that all of these metrics have significant relationships with the BSPs of interest, indicating that they must be accounted for when determining these parameters. A sensitivity analysis performed in 3DSSPP demonstrates that varying the parameters inputs will have large effects on L5/S1 compression force calculations. Practitioner Summary: Current anthropometric data sets for ergonomic applications do not account for wide ranges of age, BMI and overall body shape on segment parameter calculations. This study quantifies the associations of age, BMI and the seated height to stature ratio on full and split torso segment parameters. Abbreviations: 3DSSPP: Three-Dimensional Static Strength Prediction Program; BMI: body mass index; BSP: body segment parameter; BW: body weight; COM: centre of mass; DXA: dual energy x-ray absorptiometry; R(G): radius of gyration; SHS: seated height to stature ratio; SL: segment length."
2020 Apr,Obesity science & practice,Obes Sci Pract. 2020 Jan 15;6(2):189-195. doi: 10.1002/osp4.392. eCollection 2020 ,"['Merrill, Zachary', 'Chambers, April', 'Cham, Rakié']","['body composition', 'body fat', 'obesity']",Development and validation of body fat prediction models in American adults.,"INTRODUCTION: Commonly used statistical models to predict body fat percentage currently rely on skinfold measures, anthropometric measures, or some combination of the two but do not account for the wide ranges of age and body mass index (BMI) present in the American adult population. The objective of this study was to develop a statistical regression model to predict in vivo body fat percentage (dual energy X-ray) in men and women across significant age and obesity ranges. METHODS: This study included 228 adults between the ages of 21 and 70, with BMI between 18.5 and 40.0 kg m(-2). The study population was split into training (n = 163) and validation (n = 65) groups, which were used to develop and validate the prediction models. The models were developed on the training group using a backwards stepwise regression analysis, with the initial predictors including age, BMI, and several anthropometric and skinfold measurements. RESULTS: The final statistical regression models included age, BMI, anthropometric measures, and skinfold measures with significant effects following the stepwise process. The models predicted body fat percentage in the testing group with average errors of less than 0.10% body fat in males and females, while the four previously existing methods (Durnin, Hodgdon, Jackson, and Woolcott) significantly underestimated or overestimated body fat in both genders, with errors ranging between 2% and 10%. CONCLUSIONS: The final models included hand thickness, and the female model was dependent on waist circumference and two of the skinfold measures, while the male model used hip and thigh circumferences, along with three skinfold measures. By including the skinfold measurements separately, instead of only as sums like previous models have done, these models can account for the different relative contributions of each site to total body fat."
2020 Feb,Contemporary clinical trials,Contemp Clin Trials. 2020 Feb;89:105912. doi: 10.1016/j.cct.2019.105912. Epub ,"['Brach, Jennifer S', 'VanSwearingen, Jessie M', 'Gil, Alexandra', 'Nadkarni, Neelesh K', 'Kriska, Andrea', 'Cham, Rakie', 'Perera, Subashan']","['aged', 'aged, 80 and over', 'female', 'humans', 'male', 'exercise physiology', ' health promotion organization & administration', 'muscle strength', 'physical endurance physiology', 'physical functional performance', 'research design', 'single-blind method', 'social participation', ' walking physiology', 'walking speed', 'randomized controlled trials as topic', 'aging', 'disability', 'exercise', 'physical therapy', 'rehabilitation']",Program to improve mobility in aging (PRIMA) study: Methods and rationale of a task-oriented motor learning exercise program.,"Walking difficulty is a common and costly problem in older adults. A potentially important yet unaddressed strategy to enhance walking ability through exercise intervention is to add a timing and coordination component in gait training (i.e. task specific timing and coordination exercise intervention) to the usual strength, endurance, and flexibility training. We describe the methods and rationale of a randomized single-blind, physical therapist supervised, exercise intervention trial to compare the effects of a standard strength, endurance, and flexibility program to a standard plus timing and coordination program in community-dwelling older adults walking slower than the desired gait speed of 1.2 m/s. Exercise sessions are twice weekly for 12 weeks. Participants are assessed at baseline, 12 weeks (post intervention), 24 weeks and 36 weeks. The primary outcome is gait speed, secondary outcomes represent components of the interventions (strength, endurance, flexibility, timing and coordination), and tertiary outcomes are measure of activity and participation (Late Life Function and Disability Instrument and physical activity). The findings of this trial will (1) establish if a standard-plus task specific timing and coordination program is superior to a standard strength and endurance program in improving mobility, activity and participation and (2) determine if the improvements are sustained over time. The information derived from this project will provide valuable insight into the prevention and management of walking difficulty, which is so common in older Americans."
2019 Nov 11,Journal of biomechanics,J Biomech. 2019 Nov 11;96:109349. doi: 10.1016/j.jbiomech.2019.109349. Epub 2019 ,"['Merrill, Zachary', 'Perera, Subashan', 'Cham, Rakié']","['absorptiometry, photon', 'adult', 'aged', 'anthropometry  methods', 'arm  anatomy & histology', 'female', 'forearm  anatomy & histology', 'humans', 'leg  anatomy & histology', 'male', 'middle aged', ' models, statistical', 'obesity', 'regression analysis', 'thigh  anatomy & histology', 'torso  anatomy & histology', 'young adult', 'age', 'anthropometry', 'body mass index', 'body segment parameters']",Predictive regression modeling of body segment parameters using individual-based anthropometric measurements.,"Body segment parameters such as segment mass, center of mass, and radius of gyration are used as inputs in static and dynamic ergonomic and biomechanical models used to predict joint and muscle forces, and to assess risks of musculoskeletal injury. Previous work has predicted body segment parameters (BSPs) in the general population using age and obesity levels as statistical predictors (Merrill et al., 2017). Estimated errors in the prediction of BSPs can be as large as 40%, depending on age, and the prediction method employed (Durkin and Dowling, 2003). Thus, more accurate and representative segment parameter inputs are required for attempting to predict modeling outputs such as joint contact forces, muscle forces, and injury risk in individuals. This study aims to provide statistical models for predicting torso, thigh, shank, upper arm, and forearm segment parameters in working adults using whole body dual energy x-ray absorptiometry (DXA) scan data along with a set of anthropometric measurements. The statistical models were developed on a training data set, and independently validated on a separate test data set. The predicted BSPs in validation data were, on average, within 5% of the actual in vivo DXA-based BSPs, while previously developed predictions (de Leva, 1996) had average errors of up to 60%, indicating that the new models greatly increase the accuracy in predicting segment parameters. These final developed models can be used for calculating representative BSPs in individuals for use in modeling applications dependent on these parameters."
2019 Oct 2,Scientific reports,Sci Rep. 2019 Oct 2;9(1):14168. doi: 10.1038/s41598-019-50793-x.,"['Trivedi, Vivek', 'Bang, Ji Won', 'Parra, Carlos', 'Colbert, Max K', ""O'Connell, Caitlin"", 'Arshad, Ahmel', 'Faiq, Muneeb A', 'Conner, Ian P', 'Redfern, Mark S', 'Wollstein, Gadi', 'Schuman, Joel S', 'Cham, Rakie', 'Chan, Kevin C']","['brain diagnostic imaging  physiopathology', ' connectome', 'female', 'glaucoma diagnostic imaging  physiopathology', 'humans', 'magnetic resonance imaging', 'male', 'middle aged', 'posture', ' psychomotor performance']",Widespread brain reorganization perturbs visuomotor coordination in early glaucoma.,"Glaucoma is the world's leading cause of irreversible blindness, and falls are a major public health concern in glaucoma patients. Although recent evidence suggests the involvements of the brain toward advanced glaucoma stages, the early brain changes and their clinical and behavioral consequences remain poorly described. This study aims to determine how glaucoma may impair the brain structurally and functionally within and beyond the visual pathway in the early stages, and whether these changes can explain visuomotor impairments in glaucoma. Using multi-parametric magnetic resonance imaging, glaucoma patients presented compromised white matter integrity along the central visual pathway and around the supramarginal gyrus, as well as reduced functional connectivity between the supramarginal gyrus and the visual occipital and superior sensorimotor areas when compared to healthy controls. Furthermore, decreased functional connectivity between the supramarginal gyrus and the visual brain network may negatively impact postural control measured with dynamic posturography in glaucoma patients. Taken together, this study demonstrates that widespread structural and functional brain reorganization is taking place in areas associated with visuomotor coordination in early glaucoma. These results implicate an important central mechanism by which glaucoma patients may be susceptible to visual impairments and increased risk of falls."
