time,journal,doi_info,authors,key words,title,abstract
2020 Feb,Gait & posture,Gait Posture. 2020 Feb;76:204-209. doi: 10.1016/j.gaitpost.2019.11.012. Epub 2019 ,"['McCrory, Jean L', 'Chambers, April J', 'Daftary, Ashi', 'Redfern, Mark S']","['accidental falls  prevention & control', 'adolescent', 'adult', 'anthropometry  methods', 'biomechanical phenomena', 'exercise physiology', 'female', 'gait  physiology', 'humans', 'middle aged', 'pregnancy', 'pregnancy complications  physiopathology prevention & control', 'pregnancy trimester, third', 'torso  physiopathology', 'walking  physiology', 'young adult', 'fallers', 'gait', 'kinematics', 'pregnancy', 'walking']",Torso kinematics during gait and trunk anthropometry in pregnant fallers and non-fallers.,"BACKGROUND: Pregnant women experience numerous physiological and biomechanical alterations which may be associated with their increased risk of experiencing a fall. Gait alterations in other populations who fall include increased step width and mediolateral trunk motion. It is not known if pregnant women who have fallen exhibit these alterations. RESEARCH QUESTION: Our purpose was to examine torso kinematics and step width during gait in pregnant fallers, pregnant non-fallers and non-pregnant controls. We also examined trunk anthropometry in the pregnant groups to determine if pregnant fallers have different trunk physiques than pregnant non-fallers. METHODS: 3D kinematic data were collected on 14 pregnant fallers, 15 pregnant non-fallers and 40 non-pregnant controls. Pregnant women were in their second or third trimester of pregnancy. Frontal plane translations of C7 and L4, step width, stride length, walking velocity, and 3D thoracic and pelvic kinematics were determined. Anthropometric torso measurements were obtained on the pregnant women. A series of MANCOVAs was performed (covariate: walking velocity, α = 0.05) to compare the dependent variables between pregnant fallers, pregnant non-fallers, and controls. Tukey post-hoc analyses were performed when appropriate (α = 0.05). A MANOVA compared anthropometric variables between pregnant fallers and non-fallers (α = 0.05). RESULTS: Pregnant non-fallers exhibited greater step width and frontal and transverse plane angles at heel contact and range of motion over the gait cycle when compared to the fallers. Trunk anthropometry did not differ between pregnant fallers and non-fallers. SIGNIFICANCE: Pregnancy-associated gait alterations differed between fallers and non-fallers. Greater step width of the pregnant non-fallers increased the base of support, thus increasing stability. Exercise participation may allow pregnant women to better adapt to their altered physiques and be more able to prevent a fall should a trip or slip occur."
2019 Jun,Journal of sports science & medicine,J Sports Sci Med. 2019 Jun 1;18(2):337-343. eCollection 2019 Jun.,"['Chambers, April J', 'Haney, Justin M', 'Huppert, Theodore', 'Redfern, Mark S']","['adult', 'hemoglobins analysis', 'humans', ' muscle fatigue', 'muscle, skeletal  physiology', 'oxygen consumption', 'paraspinal muscles  physiology', 'spectroscopy, near-infrared', ' standing position', 'walking  physiology', 'young adult', 'muscle oxygenation', 'nirs', 'discomfort', 'walk', 'walking']",The Effect of Prolonged Walking With Intermittent Standing on Erector Spinae and Soleus Muscle Oxygenation and Discomfort.,"Prolonged periods of walking have been associated with musculoskeletal discomfort and injuries. Previous research has shown that muscle fatigue is related to decreases in muscle oxygenation during short term walking. The objective of the proposed research is to determine the impact of prolonged walking with intermittent standing on musculoskeletal discomfort and muscle oxygenation measures in young adults. Nine young adults walked for a period of 2 hours. Ratings of perceived discomfort were recorded using a questionnaire. Muscle oxygenation and hemoglobin levels were collected from the lower back erector spinae and soleus muscles using near infrared spectroscopy (NIRS). Subjective discomfort significantly increased throughout the 2 hours. Prolonged walking generally induced increased oxygenation of the erector spinae and soleus across walking periods, within walking periods and across standing periods. These increases were more pronounced at the beginning of the walking session and continued through the second or third periods. Erector spinae and soleus total hemoglobin increased within walking period one and two. Only the soleus total hemoglobin significantly increased after the first walking and standing periods and during all the transitions from walking to standing. Increased oxygenation and total hemoglobin during prolonged walking with intermittent standing are likely a result of the repeated dynamic contractions and exercise-induced blood volume expansion. Increased discomfort was found; however, this was not explained by detrimental changes in oxygenation or total hemoglobin."
2019 Jul,Applied ergonomics,Appl Ergon. 2019 Jul;78:37-53. doi: 10.1016/j.apergo.2019.01.015. Epub 2019 Feb ,"['Chambers, April J', 'Robertson, Michelle M', 'Baker, Nancy A']","['behavior', ' health status', 'humans', ' interior design and furnishings', 'movement', 'musculoskeletal pain prevention & control', 'physiological phenomena', 'sitting position', 'standing position', 'work performance', ' workplace', 'sit-stand desk', 'standing desk', 'workplace intervention']",The effect of sit-stand desks on office worker behavioral and health outcomes: A scoping review.,"This scoping review examines the effects of sit-stand desks (SSDs) on six domains: behavior (e.g. time sitting and standing), physiological, work performance, psychological, discomfort, and posture. Fifty-three articles met criteria. We determined the percentage of significant results for each domain. Forty-seven studies were experimental trials. Sample sizes ranged from six to 231 participants. Follow-up time-frames ranged from one day to one year. Sixty-one percent of behavioral (24 studies), 37% of physiological (28 studies), 7% of work performance (23 studies), 31% of psychological (11 studies), 43% of discomfort (22 studies), and 18% of posture domain results (4 studies) were significant. We conclude that SSDs effectively change behaviors, but these changes only mildly effect health outcomes. SSDs seem most effective for discomfort and least for productivity. Further study is needed to examine long-term effects, and to determine clinically appropriate dosage and workstation setup."
2019,IISE transactions on occupational ergonomics and human factors,IISE Trans Occup Ergon Hum Factors. 2019;7(2):142-152. doi: ,"['Rekant, Julie S', 'Wiltman, Stephanie A', 'Chambers, April J']","['occupational health', 'posture', 'prolonged standing']",A Novel Method of Analysis for Prolonged-Standing Data: Accounting for Joint and Muscle Discomfort.,"BACKGROUND: The typical American worker spends about two-thirds of their work day standing. Prolonged standing has been found to be associated with acute and chronic adverse health outcomes. There is considerable variability among existing methods of analysis for prolonged-standing data, and therefore difficulty interpreting and comparing results across studies. PURPOSE: The purpose of this study is to develop a bodyweight transfer analysis method that incorporates factors of both time and amplitude of loading. This method was then applied to actual prolonged-standing data, to understand how the results of this method are impacted by time spent standing, and how the results relate to previously-reported methods of analysis for weight shifting data. METHODS: Seven subjects (six male, one female) stood with each foot on one of two force plates for 6 h with a 5-min seated rest break between hours. Our new method identified two different types of events: fidgets and weight shifts. Center-of-pressure data were analyzed with the proposed method and three existing methods of analysis. RESULTS: Subjects utilized different quantities of fidgets and weight shifts over the course of the trials. Existing methods of analysis identified a wide range in number of events, with some methods consistently identifying more events than others. These existing methods significantly differed from the proposed method. Fidgets, weight shifts, and fidgets + weight shifts, as identified using the proposed method, had significant interactions with time, while only one of the existing methods showed a significant time interaction. CONCLUSIONS: The conclusions drawn from analysis of prolonged standing center-of-pressure data can differ significantly depending on the method of analysis used. The method proposed here accounts for the different sources of discomfort and the tissue characteristics of these sources. Future work should explore the relationships between physiologic parameters and fidgets and weight shifts, so that appropriate clinical interventions can be identified."
2018,Dementia and geriatric cognitive disorders,Dement Geriatr Cogn Disord. 2018;46(5-6):266-274. doi: 10.1159/000493748. Epub ,"['Redfern, Mark S', 'Chambers, April J', 'Sparto, Patrick J', 'Furman, Joseph M', 'Jennings, J Richard']","['adult', 'age factors', 'aged', ' aging physiology psychology', 'cognition', 'executive function', 'female', 'humans', ' inhibition, psychological', 'male', ' perception', ' postural balance', 'psychomotor performance', 'reaction time', ' sensation', 'stroop test', 'attention', 'cognitive', 'posture', 'standing']",Perceptual Inhibition Associated with Sensory Integration for Balance in Older Adults.,"AIMS: Inhibition associated with perception has been implicated in sensory integration processes for balance when sensory conflict occurs. The current study examines the associations of three measures of inhibition (perceptual inhibition, motor inhibition, and Stroop interference) with standing balance under sensory conflict conditions in younger and older adults. METHODS: Perceptual inhibition, motor inhibition, and Stroop interference were measured in younger and older subjects. Standing balance under conditions of sensory conflict was evaluated using a modified dynamic posturography protocol. Correlative analysis was performed to examine the associations between the inhibition measures and sway. RESULTS: In older adults only, perceptual inhibition was correlated with sway when sensory conflict was present. Stroop interference and motor inhibition were not significantly correlated with sway under any posturography conditions. CONCLUSION: Measures of perceptual inhibition are associated with reduced sensory integration capability for balance during sensory conflict conditions in older adults."
2019 Jan,Experimental brain research,Exp Brain Res. 2019 Jan;237(1):37-45. doi: 10.1007/s00221-018-5394-0. Epub 2018 ,"['Redfern, Mark S', 'Chambers, April J', 'Sparto, Patrick J', 'Furman, Joseph M', 'Jennings, J Richard']","['adult', 'age factors', 'aged', 'aged, 80 and over', 'female', ' geriatric assessment', 'humans', 'independent living', ' inhibition, psychological', 'male', 'neuropsychological tests', 'postural balance  physiology', 'posture  physiology', 'reaction time physiology', 'vision, ocular physiology', 'visual perception  physiology', 'young adult', 'aging', 'balance', 'cognition', 'posture', 'sensory integration']",Inhibition and decision-processing speed are associated with performance on dynamic posturography in older adults.,"Changes in cognition due to age have been associated with falls and reduced standing postural control. Sensory integration is one component of postural control that may be influenced by certain aspects of cognitive functioning. This study investigated associations between measures of cognitive function and sensory integration capabilities for healthy young and older adults. Dynamic posturography was performed using the Equitest Sensory Organization Test (SOT) protocol to evaluate sensory integration during standing using sway-referencing of the platform and/or visual scene to alter somatosensory and visual inputs. The Equilibrium Score was used as a measure of sway. Cognitive testing examined aspects of cognitive function that have been associated with falls in older adults. A correlational analysis investigated associations between the cognitive measures and postural sway during the altered sensory conditions of the SOT. For older subjects only, slower decision-processing speed was associated with increased sway during SOT conditions whenever somatosensation was altered. Reduced perceptual inhibition was associated with increased sway whenever somatosensation was intact, and particularly when vision was altered in the presence of somatosensation. Visuospatial construct ability was associated with sway only when the eyes were closed during altered somatosensation. Task-switching was associated with sway only when vision and somatosensation were intact. With increased age, deficits in decision speed and inhibition appear associated with the sensory integration crucial for balance maintenance. Associations are modulated by the availability of somatosensation and vision. These associations define situations and individual differences in aspects of cognition that may relate to situational loss of balance in older adults."
2017 Aug,Experimental brain research,Exp Brain Res. 2017 Aug;235(8):2523-2531. doi: 10.1007/s00221-017-4985-5. Epub ,"['Redfern, Mark S', 'Chambers, April J', 'Jennings, J Richard', 'Furman, Joseph M']","['adult', 'aged', 'aged, 80 and over', 'aging  physiology', 'attention  physiology', 'choice behavior physiology', 'female', 'humans', 'male', 'movement physiology', 'postural balance  physiology', 'posture  physiology', 'proprioception  physiology', 'psychomotor performance  physiology', 'reaction time physiology', 'rotation', 'young adult', 'aging', 'attention', 'balance', 'posture']",Sensory and motoric influences on attention dynamics during standing balance recovery in young and older adults.,"This study investigated the impact of attention on the sensory and motor actions during postural recovery from underfoot perturbations in young and older adults. A dual-task paradigm was used involving disjunctive and choice reaction time (RT) tasks to auditory and visual stimuli at different delays from the onset of two types of platform perturbations (rotations and translations). The RTs were increased prior to the perturbation (preparation phase) and during the immediate recovery response (response initiation) in young and older adults, but this interference dissipated rapidly after the perturbation response was initiated (<220 ms). The sensory modality of the RT task impacted the results with interference being greater for the auditory task compared to the visual task. As motor complexity of the RT task increased (disjunctive versus choice) there was greater interference from the perturbation. Finally, increasing the complexity of the postural perturbation by mixing the rotational and translational perturbations together increased interference for the auditory RT tasks, but did not affect the visual RT responses. These results suggest that sensory and motoric components of postural control are under the influence of different dynamic attentional processes."
2017 Jun 14,Journal of biomechanics,J Biomech. 2017 Jun 14;58:21-26. doi: 10.1016/j.jbiomech.2017.04.011. Epub 2017 ,"['Merrill, Zachary', 'Chambers, April J', 'Cham, Rakié']","[' accidental falls', 'adult', 'aged', 'aging  physiology', 'arm  physiology', 'biomechanical phenomena', 'female', 'floors and floorcoverings', 'humans', 'male', 'middle aged', 'walking physiology', 'young adult', 'aging', 'slipping', 'upper body reactions']",Arm reactions in response to an unexpected slip-Impact of aging.,"Slips and falls represent a serious public safety concern in older adults, with the segment of the United States population over the age of 65 accounting for about three quarters of all fall related deaths. The majority of falls in older adults are due to trips and slips. The objective of this study was to investigate how age affects arm reactions generated in response to unexpected slips. Thirty-three participants divided into two age groups (16 young, 17 old) participated in this study. Participants were exposed to two conditions: known dry walking (baseline) and an unexpected slip initiated when stepping onto a glycerol-contaminated floor. The upper extremity parameters of interest included the timing and amplitude of the shoulder flexion moment generated in response to the slip as well as the resulting angular kinematics (trajectories). The analysis of the kinetic data revealed a delayed shoulder flexion reaction to slips in older adults compared to their young counterparts, as well as a greater flexion moment magnitude. Knowledge of such upper body reaction mechanisms to unexpected slips may help to improve balance recovery training in older adults, as well as aid in the implementation of environmental modifications, e.g. handrails, to reduce falls-related injuries."
2015 Mar,The Laryngoscope,Laryngoscope. 2015 Mar;125(3):649-54. doi: 10.1002/lary.24932. Epub 2014 Nov 29.,"['Smith, Libby J', 'Trout, Jenna M', 'Sridharan, Shaum S', 'Guyer, Joan R', 'Owens, Grace E', 'Chambers, April J', 'Rosen, Clark A']","['adult', 'electromyography', 'female', 'humans', 'intraoperative period', 'laryngeal diseases surgery', ' laryngoscopy', 'male', 'microsurgery methods', 'muscle fatigue  physiology', 'muscle, skeletal  physiopathology', 'musculoskeletal diseases physiopathology  prevention & control', 'otorhinolaryngologic surgical procedures  methods', 'patient positioning  methods', 'posture  physiology', 'prospective studies', 'emg', 'surface electromyography', 'ergonomics', 'laryngeal surgery', 'laryngeal surgical ergonomics', 'microlaryngeal surgery', 'surgical ergonomics']","Comparison of microsuspension laryngoscopy positions: a randomized, prospective study.","OBJECTIVES/HYPOTHESIS: To evaluate muscle fatigue and participant pain in the upper back, cervical, and arm muscles associated with microlaryngeal surgery (MLS) in standardized favorable and unfavorable ergonomic positions. STUDY DESIGN: Individual randomized counterbalanced design. METHODS: Electromyographic sensors were placed on targeted muscles involved with performing MLS on 18 otolaryngology residents/fellows. Subjects were randomly counterbalanced in both favorable and unfavorable positions while completing simulated laryngeal microsurgical tasks. Participants reported their extent of muscle discomfort in targeted muscle regions on a standardized survey. RESULTS: Muscle fatigue and self-reported pain were reduced, and productivity was improved in the favorable position. In the lower trapezius, significantly less muscle activation (P = 0.025) and less pain (P < 0.05) were found while in the favorable position compared to the unfavorable position. CONCLUSION: This is the first study to demonstrate electromyographic evidence of decreased muscle activation and fatigue, in addition to self-reported pain with a more favorable microsurgical ergonomic position, which may help surgeons avoid musculoskeletal injuries."
2014 Sep 22,Journal of biomechanics,J Biomech. 2014 Sep 22;47(12):2964-8. doi: 10.1016/j.jbiomech.2014.07.009. Epub ,"['McCrory, Jean L', 'Chambers, April J', 'Daftary, Ashi', 'Redfern, Mark S']","['adaptation, physiological', 'adult', 'biomechanical phenomena', 'cervical vertebrae physiology', 'female', 'gait  physiology', 'humans', 'lumbar vertebrae', 'pelvis  physiology', 'pregnancy  physiology', 'pregnancy trimester, second', 'pregnancy trimester, third', 'range of motion, articular', 'thorax  physiology', 'torso  physiology', 'walking physiology', 'young adult', 'gait', 'kinematics', 'pregnancy', 'range of motion', 'trimester', 'walking']","The pregnant ""waddle"": an evaluation of torso kinematics in pregnancy.","Although pregnant women are anecdotally said to ""waddle"" during gait, researchers have not quantified the kinematics of these gait alterations. The purpose of this study was to examine the effects of pregnancy on thoracic and pelvic kinematics during gait. METHODS: Data were collected on 29 pregnant subjects in the mid-second and third trimesters and on 40 control women. Three-dimensional kinematic data were collected on subjects walking at their freely-chosen speed. Right foot heel-strike (RHS) and left foot toe-off (LTO) were determined from force plate data. Thoracic and pelvic angles at RHS, step width, mediolateral translation of the C7 and L4 vertebrae, and the ranges of motion (ROMs) of the thorax and pelvis over the gait stride were determined. A series of MANCOVAs were performed with trimester (second, third, and control) as the independent variable and velocity as the covariate (α=0.05). Post-hoc analyses were performed when appropriate. RESULTS: Increased lateral translation of the C7 and L4 vertebrae (third trimester>second trimester>control, p<0.05) was noted, accompanied by an increased step width in the third trimester (p=0.03). At heel strike, pregnant women had greater thoracic extension (third trimester>second trimester>control, p<0.05) and greater anterior pelvic tilt (third trimester>control; p<0.05). Sagittal plane thoracic ROM was less in the third trimester compared to controls (p<0.01). CONCLUSIONS: Pregnant women demonstrated a lateral shifting of the body during gait, which accompanied a greater step width. The increased thoracic extension and anterior pelvic tilt, along with decreased sagittal plane ROM are likely adaptations to increased abdominal size."
