time,journal,doi_info,authors,key words,title,abstract
2024 Jun 14,The journal of spinal cord medicine,J Spinal Cord Med. 2024 Jun 14:1-8. doi: 10.1080/10790268.2024.2364381.,"['Lee, Chang Dae', 'Cooper, Rosemarie', 'Cooper, Rory A']","['activities of daily living', 'assistive devices', 'pressure injuries', 'social participation', 'wheelchairs']",On the Move pad - a portable multipurpose pad: User feedback.,"CONTEXT/OBJECTIVE: Hard-shell toilet seats may compromise safety and hinder the participation of individuals at risk for pressure injuries (PIs) when using these facilities away from home in public, hotel, or family/friend restrooms. Moreover, people often add ""wash-cloths"" for additional padding for comfort, and to reduce the risk of PIs due to pressure or shearing on their wheelchairs surfaces. This study investigated the utilization of portable pads, initially designed for toilet use but adaptable to various places and contexts, while examining pad usability. DESIGN: A cross-sectional descriptive survey design. SETTING: Inpatient care, outpatient care, and community setting. PARTI"
2024 Apr 29,Archives of physical medicine and rehabilitation,Arch Phys Med Rehabil. 2024 Apr 29:S0003-9993(24)00951-1. doi: ,"['Sivakanthan, Sivashankar', 'Dicianno, Brad E', 'Koontz, Alicia', 'Adenaiye, Oluwasanmi', 'Joseph, James', 'Candiotti, Jorge L', 'Wang, Hongwu', 'Cooper, Rosemarie', 'Cooper, Rory A']","['assistive technology', 'autonomous vehicles', 'rehabilitation', 'universal design']",Accessible Autonomous Transportation and Services: Design Considerations From the Perspective of Consumers and Providers.,"OBJECTIVE: To understand the priorities and preferences of people with disabilities (PwDs) and older adults regarding accessible autonomous vehicles (AVs) to address existing transportation barriers. DESIGN: Two national surveys, Voice of the Consumer and Voice of the Provider, were conducted to gather feedback from accessible AV consumers and providers, respectively, in the United States. SETTING: This U.S.-based study focused on PwDs and older adults who may face transportation challenges and those who provide or design AV solutions. PARTI"
2024 Apr 26,Assistive technology : the official journal of RESNA,Assist Technol. 2024 Apr 26:1-9. doi: 10.1080/10400435.2024.2336334.,"['Kulich, Hailee R', 'Collins, Diane', 'Dicianno, Brad E', 'Leykum, Luci', 'Worobey, Lynn', 'Cooper, Rory', 'Koontz, Alicia M']","['activities of daily living', 'informal caregiving', 'outcome measures', 'patient handling', 'wheelchair']",Development and content validity of the caregiver assisted transfer technique instrument.,"Informal caregivers often provide transfer assistance to individuals with disabilities; however, repeated transfers are associated with a high risk of musculoskeletal pain and injury, and training and education around transfers is minimal. The purpose of this study was to develop and assess the content validity of a new tool, the Caregiver Assisted Transfer Technique Instrument (CATT), which could be used to provide an objective indicator of transfer performance. Item importance, clarity, and appropriateness of responses were rated on a five-point Likert scale by clinicians (n = 15), informal caregivers (n = 10), and individuals with spinal cord injury (n = 5). The content validity index and modified Kappa of each item was calculated. Participants also provided qualitative feedback on item content. In general, items were rated favorably for their importance (4.47 to 5.00), clarity (4.33 to 4.90), and appropriateness of responses (4.38 to 4.90), and most items had excellent content validity (k* ≥ 0.75). Feedback from participants led to the creation of two versions of the CATT: one for manual lifting techniques (CATT-M) and one for transfers performed via lift-based technologies (CATT-L). Future work will focus on establishing the reliability and validity of the CATT as well as developing training and education interventions surrounding assisted transfers."
2024 Apr 12,American journal of physical medicine & rehabilitation,Am J Phys Med Rehabil. 2024 Apr 12. doi: 10.1097/PHM.0000000000002484.,"['Lee, Chang Dae', 'Peterson, Sara', 'Joseph, James', 'McKernan, Gina', 'Cooper, Rosemarie', 'Koontz, Alicia M', 'Dicianno, Brad E', 'Cooper, Rory A']",[],Discovering Provider Awareness of Mobility Assistive Technologies and Clinical Guidelines- A Comparative Analysis with Consumer Responses.,"OBJECTIVE: This study aims to enhance the accessibility and quality of mobility assistive technology (MAT) by investigating and bridging knowledge gaps between MAT providers and consumers with ambulatory limitations. DESIGN: A survey was conducted among MAT providers in the United States, consisting of sections on awareness, knowledge importance and desire, and knowledge sources. The responses were compared to data collected from consumers in a previous study. RESULTS: A total of 144 MAT providers participated, with 60% having received academic or professional training in relevant fields. Analysis revealed significant knowledge gaps between providers and consumers, particularly in AT assessment tools and knowledge sources. Moderate gaps were also observed in areas such as clinical practice guidelines, desired MAT information, and knowledge sources. However, the gaps in other areas were relatively small. CONCLUSION: This study highlights the knowledge gaps between MAT providers and consumers, hindering the optimal utilization and fulfillment of user needs. Providers possess valuable information that consumers may lack, positioning them as primary knowledge sources. Addressing these gaps through targeted interventions, improved communication channels, and enhanced education can enhance the utilization of MAT and improve outcomes for individuals with ambulatory limitations."
2024 Mar 7,Actuators,Actuators. 2024 Mar 7;13(3):10.3390/act13030104. doi: 10.3390/act13030104.,"['Styler, Breelyn Kane', 'Deng, Wei', 'Simmons, Reid', 'Admoni, Henny', 'Cooper, Rory', 'Ding, Dan']","['activities of daily living', 'assistive technology', 'mixed method', 'usability', 'user agency']",Exploring Control Authority Preferences in Robotic Arm Assistance for Power Wheelchair Users.,"This paper uses mixed methods to explore the preliminary design of control authority preferences for an Assistive Robotic Manipulator (ARM). To familiarize users with an intelligent robotic arm, we perform two kitchen task iterations: one with user-initiated software autonomy (predefined autonomous actions) and one with manual control. Then, we introduce a third scenario, enabling users to choose between manual control and system delegation throughout the task. Results showed that, while manually switching modes and controlling the arm via joystick had a higher mental workload, participants still preferred full joystick control. Thematic analysis indicates manual control offered greater freedom and sense of accomplishment. Participants reacted positively to the idea of an interactive assistive system. Users did not want to ask the system to only assist, by taking over for certain actions, but also asked for situational feedback (e.g., 'How close am I (the gripper)?', 'Is the lid centered over the jug?'). This speaks to a future assistive system that ensures the user feels like they drive the system for the entirety of the task and provides action collaboration in addition to more granular situational awareness feedback."
2024 Feb 6,American journal of physical medicine & rehabilitation,Am J Phys Med Rehabil. 2024 Feb 6. doi: 10.1097/PHM.0000000000002457.,"['Daveler, Brandon J', 'Gebrosky, Benjamin', 'Eckstein, Ian J', 'Grindle, Garrett G', 'Cooper, Rosemarie', 'Cooper, Rory A']",[],Evaluation of Electric and Air-Powered Shopping Scooters in Grocery Stores.,"OBJECTIVE: The purpose of this study was to further previous research and gather additional information regarding the usage of motorized shopping scooters as well as feedback for improvements to an air-powered scooter. METHODS: Online surveys were used to assess individuals' shopping characteristics and experience using the motorized scooters and to gather feedback from store employees regarding their experience. K-Means clustering analysis was used to determine user demographics who chose to use the air-powered scooter versus the electric powered scooter while shopping. RESULTS: A total of 127 individuals provided informed consent, 65 individuals from Site 1 and 62 individuals from Site 2. 120 participants met the inclusion criteria and completed the survey. K-Means clustering found that age, type of personal mobility device, shopping bill total, and frequency using a motorized shopping scooter to be significant factors in whether individuals chose to use an air-powered scooter or electric-powered scooter. CONCLUSION: Motorized shopping scooters are in high demand and used by a wide variety of individuals, yet electric-powered scooters are commonly unavailable due to having dead batteries or all the devices being in use. Air-powered scooters may serve as a practical replacement for the current electric-powered scooters found in grocery and retail stores."
2023 Nov 1,The American journal of occupational therapy : official publication of the ,Am J Occup Ther. 2023 Nov 1;77(6):7706205140. doi: 10.5014/ajot.2023.050285.,"['Quamar, Abbas H', 'Schmeler, Mark R', 'McCue, Michael', 'Cooper, Rory A', 'Goldberg, Mary R', 'DiGiovine, Carmen', 'Collins, Diane M', 'Schein, Richard M']","['humans', 'female', 'adult', 'adolescent', 'male', ' activities of daily living', 'cohort studies', 'reproducibility of results', ' disabled persons', 'personal satisfaction', 'surveys and questionnaires', 'psychometrics']",Test-Retest Reliability of the Electronic Instrumental activities of daily living Satisfaction Assessment (EISA): A Cohort Study.,"IMPORTANCE: Currently, no self-report instruments exist for assessing satisfaction with performing instrumental activities of daily living and occupations for people with disabilities using internet-connected assistive devices like accessible smartphones, tablets, laptops, and apps. OBJECTIVE: To assess the test-retest reliability and internal consistency of the Electronic Instrumental activities of daily living Satisfaction Assessment (EISA) self-report outcome tool. DESIGN: Repeated-measures cohort study with a time frame of 7 to 21 days. SETTING: Multicity online recruitment at assistive technology clinics, nongovernmental organizations, advocacy and peer support groups for people with disabilities, and higher education institutions. PARTI"
2023 Nov 21,Disability and rehabilitation. Assistive technology,Disabil Rehabil Assist Technol. 2023 Nov 21:1-12. doi: ,"['Sivakanthan, Sivashankar', 'Dicianno, Brad E', 'Koontz, Alicia', 'Adenaiye, Oluwasanmi', 'Joseph, James', 'Candiotti, Jorge L', 'Wang, Hongwu', 'Cooper, Rosemarie', 'Cooper, Rory A']","['autonomous vehicles', 'inclusion', 'universal design']",Accessible autonomous transportation and services: voice of the consumer - understanding end-user priorities.,"PURPOSE: This study aimed to explore the requirements for accessible Autonomous Vehicles (AVs) and AV services from a consumer perspective, focusing on people with disabilities (PwDs) and older adults. METHODS: Two national surveys were conducted, capturing current transportation trends and AV priorities. Participants (n = 922) with disabilities and older adults were included in the analysis. RESULTS: Transportation choices exhibited significant divergence based on the underlying causes of disabilities, showcasing distinct inclinations and impediments within each category. AV services, encompassing family conveyance and package delivery, proved integral, but their specific desirability fluctuated in accordance with the nature of disabilities. Notably, medical appointments emerged as the foremost AV utilisation requirement, particularly pronounced among individuals with hearing impairments. Preferences for orchestrating AV rides and the preferred vehicle types displayed disparities linked to the various disability classifications. The employment of mobile applications, websites, and text messages were preferred mediums for arranging rides. Features such as automated route guidance and collision prevention garnered unanimous precedence among AV attributes. Key priorities, spanning wheelchair accessibility, user profiles, and seamless communication with AVs, were universally emphasised across all participant clusters. The study indicated a moderate comfort level with AV deployment, implying the potential for favourable reception within the population of PwDs and older adults. CONCLUSION: The study highlights the significance of considering diverse needs in accessible AV development of vehicle and infrastructure and policies."
2023 Feb 24,Vibration,Vibration. 2023 Feb 24;6(1):255-268. doi: 10.3390/vibration6010016.,"['Lee, Chang Dae', 'Daveler, Brandon J', 'Candiotti, Jorge L', 'Cooper, Rosemarie', 'Sivakanthan, Sivashankar', 'Deepak, Nikitha', 'Grindle, Garrett G', 'Cooper, Rory A']","['accessible transportation', 'assistive technology', 'securement', 'vehicle safety', 'wheelchair docking system']",Usability and Vibration Analysis of a Low-Profile Automatic Powered Wheelchair to Motor Vehicle Docking System.,"The QLX is a low-profile automatic powered wheelchair docking system (WDS) prototype developed to improve the securement and discomfort of wheelchair users when riding in vehicles. The study evaluates the whole-body vibration effects between the proposed QLX and another WDS (4-point tiedown system) following ISO 2631-1 standards and a systematic usability evaluation. Whole-body vibration analysis was evaluated in wheelchairs using both WDS to dock in a vehicle while riding on real-world surfaces. Also, participants rated the usability of each WDS while driving a wheelchair and while riding in a vehicle in driving tasks. Both WDSs showed similar vibration results within the vibration health-risk margins; but shock values below health-risk margins. Fifteen powered wheelchair users reported low task load demand to operate both WDS; but better performance to dock in vehicles with the QLX (p = 0.03). Also, the QLX showed better usability (p < 0.01), less discomfort (p's < 0.05), and greater security compared to the 4-point tiedown while riding in a vehicle (p's < 0.05). Study findings indicate that both WDS maintain low shock exposure for wheelchair users while riding vehicles, but a better performance overall to operate the QLX compared to the 4-point tiedown system; hence enhancing user's autonomy to dock in vehicles independently."
2023 Aug 7,Disability and rehabilitation. Assistive technology,Disabil Rehabil Assist Technol. 2023 Aug 7:1-8. doi: ,"['Sivakanthan, Sivashankar', 'Cooper, Rosemarie', 'Lopes, Celia', 'Kulich, Hailee', 'Deepak, Nikitha', 'Lee, Chang Dae', 'Wang, Hongwu', 'Candiotti, Jorge L', 'Dicianno, Brad E', 'Koontz, Alicia', 'Cooper, Rory A']","['adaptive driving', 'accessible transportation service providers', 'accessible travel', 'autonomous vehicles', 'caregivers']",Accessible autonomous transportation and services: a focus group study.,"PURPOSE: Existing automated vehicle transportation guidelines and regulations have minimal guidance to address the specific needs of people with disabilities. Accessibility should be at the forefront to increase autonomy and independence for people with disabilities. The purpose of this research is to better understand potential facilitators and barriers to using accessible autonomous transportation. METHODS: Focus groups were conducted with key stakeholders derived from people with disabilities (n = 5), travel companions/caregivers (n = 5), and transportation experts or designers (n = 11). RESULTS: The themes include describing stakeholder perceptions across all three groups by identified themes: autonomous vehicle assistive technology, autonomy vs automation, cost, infrastructure, safety & liability, design challenges, and potential impact. CONCLUSION: Specific gaps and needs were identified regarding barriers and facilitators for transportation accessibility and evidence-based guidance. These specific gaps can help to formulate design criteria for the communication between, the interior and exterior of accessible autonomous vehicles."
