time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2024 Jun 5;12:1410863. doi: 10.3389/fbioe.2024.1410863. ,"['Rodríguez-Soto, María A', 'Riveros-Cortés, Alejandra', 'Orjuela-Garzón, Ian C', 'Fernández-Calderón, Inés María', 'Rodríguez, Cristian F', 'Vargas, Natalia Suárez', 'Ostos, Carlos', 'Camargo, Carolina Muñoz', 'Cruz, Juan C', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R', 'Briceño, Juan C']","['m1 m2 macrophage polarization', 'biomaterials', 'cell signaling', 'endothelialization', 'immunomodulation', 'inflammatory response', 'regenerative medicine', 'tissue engineered vascular grafts']",Redefining vascular repair: revealing cellular responses on PEUU-gelatin electrospun vascular grafts for endothelialization and immune responses on in vitro models.,"Tissue-engineered vascular grafts (TEVGs) poised for regenerative applications are central to effective vascular repair, with their efficacy being significantly influenced by scaffold architecture and the strategic distribution of bioactive molecules either embedded within the scaffold or elicited from responsive tissues. Despite substantial advancements over recent decades, a thorough understanding of the critical cellular dynamics for clinical success remains to be fully elucidated. Graft failure, often ascribed to thrombogenesis, intimal hyperplasia, or calcification, is predominantly linked to improperly modulated inflammatory reactions. The orchestrated behavior of repopulating cells is crucial for both initial endothelialization and the subsequent differentiation of vascular wall stem cells into functional phenotypes. This necessitates the TEVG to provide an optimal milieu wherein immune cells can promote early angiogenesis and cell recruitment, all while averting persistent inflammation. In this study, we present an innovative TEVG designed to enhance cellular responses by integrating a physicochemical gradient through a multilayered structure utilizing synthetic (poly (ester urethane urea), PEUU) and natural polymers (Gelatin B), thereby modulating inflammatory reactions. The luminal surface is functionalized with a four-arm polyethylene glycol (P4A) to mitigate thrombogenesis, while the incorporation of adhesive peptides (RGD/SV) fosters the adhesion and maturation of functional endothelial cells. The resultant multilayered TEVG, with a diameter of 3.0 cm and a length of 11 cm, exhibits differential porosity along its layers and mechanical properties commensurate with those of native porcine carotid arteries. Analyses indicate high biocompatibility and low thrombogenicity while enabling luminal endothelialization and functional phenotypic behavior, thus limiting inflammation in in-vitro models. The vascular wall demonstrated low immunogenicity with an initial acute inflammatory phase, transitioning towards a pro-regenerative M2 macrophage-predominant phase. These findings underscore the potential of the designed TEVG in inducing favorable immunomodulatory and pro-regenerative environments, thus holding promise for future clinical applications in vascular tissue engineering."
2024 Jul,Biomaterials,Biomaterials. 2024 Jul;308:122531. doi: 10.1016/j.biomaterials.2024.122531. Epub ,"['Zhu, Tian', 'Alves, Steven M', 'Adamo, Arianna', 'Wen, Xiaona', 'Corn, Kevin C', 'Shostak, Anastasia', 'Johnson, Shereena', 'Shaub, Nicholas D', 'Martello, Shannon E', 'Hacker, Benjamin C', ""D'Amore, Antonio"", 'Bardhan, Rizia', 'Rafat, Marjan']","['animals', ' extracellular matrix metabolism', ' tumor microenvironment radiation effects', ' hydrogels chemistry', 'female', ' cell proliferation drug effects radiation effects', 'cell line, tumor', 'mice', 'humans', ' triple negative breast neoplasms pathology radiotherapy', 'macrophages metabolism', 'mammary glands, animal radiation effects', 'breast cancer', 'invasion', 'm2 macrophages', 'proliferation', 'radiation therapy', 'decm hydrogels']",Mammary tissue-derived extracellular matrix hydrogels reveal the role of irradiation in driving a pro-tumor and immunosuppressive microenvironment.,"Radiation therapy (RT) is essential for triple negative breast cancer (TNBC) treatment. However, patients with TNBC continue to experience recurrence after RT. The role of the extracellular matrix (ECM) of irradiated breast tissue in tumor recurrence is still unknown. In this study, we evaluated the structure, molecular composition, and mechanical properties of irradiated murine mammary fat pads (MFPs) and developed ECM hydrogels from decellularized tissues (dECM) to assess the effects of RT-induced ECM changes on breast cancer cell behavior. Irradiated MFPs were characterized by increased ECM deposition and fiber density compared to unirradiated controls, which may provide a platform for cell invasion and proliferation. ECM component changes in collagens I, IV, and VI, and fibronectin were observed following irradiation in both MFPs and dECM hydrogels. Encapsulated TNBC cell proliferation and invasive capacity was enhanced in irradiated dECM hydrogels. In addition, TNBC cells co-cultured with macrophages in irradiated dECM hydrogels induced M2 macrophage polarization and exhibited further increases in proliferation. Our study establishes that the ECM in radiation-damaged sites promotes TNBC invasion and proliferation as well as an immunosuppressive microenvironment. This work represents an important step toward elucidating how changes in the ECM after RT contribute to breast cancer recurrence."
2024 May 1,ASAIO journal (American Society for Artificial Internal Organs : 1992),ASAIO J. 2024 May 1;70(5):451-455. doi: 10.1097/MAT.0000000000002138. Epub 2024 ,"['Menallo, Giorgio', 'Miraglia, Roberto', 'Gerasia, Roberta', 'Cosentino, Federica', 'Terranova, Pietro', 'Barbuto, Marianna', 'Wagner, William R', ""D'Amore, Antonio""]","['humans', ' image processing, computer-assisted methods', 'software', 'time factors']",Open-Source Image-Based Tool to Experimentally Evaluate Blood Residence Time in Clinical Devices.,"This article introduces an open-source tool to experimentally compare blood residence time in biomedical devices using an image-based method. The experimental setup and the postprocessing workflow are comprehensively elucidated in a detailed report that conducts a thorough comparison of the residence times of a blood analog within three distinct blood oxygenator prototypes. To enable widespread accessibility and ease of use, the user-friendly MATLAB App developed for the analysis is available on the Mathworks repository: https://www.mathworks.com/matlabcentral/fileexchange/135156 ."
2023 Jan-Dec,Journal of tissue engineering,J Tissue Eng. 2023 Nov 17;14:20417314231197282. doi: 10.1177/20417314231197282. ,"['Buckenmeyer, Michael J', 'Sukhwani, Meena', 'Iftikhar, Aimon', 'Nolfi, Alexis L', 'Xian, Ziyu', 'Dadi, Srujan', 'Case, Zachary W', 'Steimer, Sarah R', ""D'Amore, Antonio"", 'Orwig, Kyle E', 'Brown, Bryan N']","['biomaterials', 'decellularization', 'extracellular matrix hydrogels', 'fertility preservation', 'tissue engineering']",A bioengineered in situ ovary (ISO) supports follicle engraftment and live-births post-chemotherapy.,"Female cancer patients who have undergone chemotherapy have an elevated risk of developing ovarian dysfunction and failure. Experimental approaches to treat iatrogenic infertility are evolving rapidly; however, challenges and risks remain that hinder clinical translation. Biomaterials have improved in vitro follicle maturation and in vivo transplantation in mice, but there has only been marginal success for early-stage human follicles. Here, we developed methods to obtain an ovarian-specific extracellular matrix hydrogel to facilitate follicle delivery and establish an in situ ovary (ISO), which offers a permissive environment to enhance follicle survival. We demonstrate sustainable follicle engraftment, natural pregnancy, and the birth of healthy pups after intraovarian microinjection of isolated exogenous follicles into chemotherapy-treated (CTx) mice. Our results confirm that hydrogel-based follicle microinjection could offer a minimally invasive delivery platform to enhance follicle integration for patients post-chemotherapy."
2024 Mar,Annals of biomedical engineering,Ann Biomed Eng. 2024 Mar;52(3):575-587. doi: 10.1007/s10439-023-03401-z. Epub ,"['Pedersen, Drake D', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R']","[' polymers', ' pulmonary valve', 'tissue engineering methods', 'tissue scaffolds', 'heart valves', 'polyesters', 'fluid mechanics', 'heart valve design', 'particle image velocimetry', 'pulmonary valve', 'tissue-engineered heart valve']",Influence of Polymer Stiffness and Geometric Design on Fluid Mechanics in Tissue-Engineered Pulmonary Valve Scaffolds.,"There is still much unknown about the fluid mechanical response to cardiac valve scaffolds, even as their implementation in the clinic is on the horizon. Specifically, while degradable polymer valve scaffolds are currently being tested in the pulmonary valve position, their material and mechanical properties have not been fully elucidated. Optimizing these properties are important determinants not only of acute function, but long-term remodeling prospects. This study aimed to characterize fluid profiles downstream of electrospun valve scaffolds under dynamic pulmonary conditions. Valve scaffold design was changed by either blending poly(carbonate urethane) urea (PCUU) with poly(ε-caprolactone) (PCL) to modulate material stiffness or by changing the geometric design of the valve scaffolds. Specifically, two designs were utilized: one modeled after a clinically used bioprosthetic valve design (termed Mk1 design), and another using a geometrically ""optimized"" design (termed Mk2) based on anatomical data. Particle image velocimetry results showed that material stiffness only had a mild impact on fluid mechanics, measured by velocity magnitude, vorticity, viscous shear stress, Reynolds shear stress, and turbulent kinetic energy. However, comparing the two geometric designs yielded a much greater impact, with the Mk2 valve groups containing the highest PCUU/PCL ratio demonstrating the overall best performance. This report highlights the easily manipulable design features of polymeric valve scaffolds and demonstrates their relative significance for valve function."
2023,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2023 Sep 20;11:1257778. doi: 10.3389/fbioe.2023.1257778. ,"['Rodríguez-Soto, María A', 'Suárez Vargas, Natalia', 'Ayala-Velásquez, María', 'Aragón-Rivera, Andrés M', 'Ostos, Carlos', 'Cruz, Juan C', 'Muñoz Camargo, Carolina', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R', 'Briceño, Juan C']","['anti-thrombotic performance', 'biocompatibility', 'polyester urethane urea (peuu)', 'regenerative cardiovascular devices', 'surface modifications']",Polyester urethane urea (PEUU) functionalization for enhanced anti-thrombotic performance: advancing regenerative cardiovascular devices through innovative surface modifications.,"Introduction: Thrombogenesis, a major cause of implantable cardiovascular device failure, can be addressed through the use of biodegradable polymers modified with anticoagulating moieties. This study introduces a novel polyester urethane urea (PEUU) functionalized with various anti-platelet deposition molecules for enhanced antiplatelet performance in regenerative cardiovascular devices. Methods: PEUU, synthesized from poly-caprolactone, 1,4-diisocyanatobutane, and putrescine, was chemically oxidized to introduce carboxyl groups, creating PEUU-COOH. This polymer was functionalized in situ with polyethyleneimine, 4-arm polyethylene glycol, seleno-L-cystine, heparin sodium, and fondaparinux. Functionalization was confirmed using Fourier-transformed infrared spectroscopy and X-ray photoelectron spectroscopy. Bio-compatibility and hemocompatibility were validated through metabolic activity and hemolysis assays. The anti-thrombotic activity was assessed using platelet aggregation, lactate dehydrogenase activation assays, and scanning electron microscopy surface imaging. The whole-blood clotting time quantification assay was employed to evaluate anticoagulation properties. Results: Results demonstrated high biocompatibility and hemocompatibility, with the most potent anti-thrombotic activity observed on pegylated surfaces. However, seleno-L-cystine and fondaparinux exhibited no anti-platelet activity. Discussion: The findings highlight the importance of balancing various factors and addressing challenges associated with different approaches when developing innovative surface modifications for cardiovascular devices."
2024 Feb,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2024 Feb;112(2):276-287. doi: 10.1002/jbm.a.37622. Epub ,"['Machaidze, Zurab', ""D'Amore, Antonio"", 'Freitas, Renata C C', 'Joyce, Angelina J', 'Bayoumi, Ahmed', 'Rich, Kimberly', 'Brown, David W', 'Aikawa, Elena', 'Wagner, William R', 'Rego, Bruno V', 'Mayer, John E Jr']","['animals', 'sheep', 'endothelial cells', ' pulmonary valve', 'tissue scaffolds chemistry', 'biocompatible materials', ' heart valve prosthesis', 'polymers', 'polyesters', 'tissue engineering methods', 'pecuu', 'biodegradable scaffold', 'heart valve', 'inflammation', 'tissue engineering']",Tissue formation and host remodeling of an elastomeric biodegradable scaffold in an ovine pulmonary leaflet replacement model.,"In pursuit of a suitable scaffold material for cardiac valve tissue engineering applications, an acellular, electrospun, biodegradable polyester carbonate urethane urea (PECUU) scaffold was evaluated as a pulmonary valve leaflet replacement in vivo. In sheep (n = 8), a single pulmonary valve leaflet was replaced with a PECUU leaflet and followed for 1, 6, and 12 weeks. Implanted leaflet function was assessed in vivo by echocardiography. Explanted samples were studied for gross pathology, microscopic changes in the extracellular matrix, host cellular re-population, and immune responses, and for biomechanical properties. PECUU leaflets showed normal leaflet motion at implant, but decreased leaflet motion and dimensions at 6 weeks. The leaflets accumulated α-SMA and CD45 positive cells, with surfaces covered with endothelial cells (CD31+). New collagen formation occurred (Picrosirius Red). Accumulated tissue thickness correlated with the decrease in leaflet motion. The PECUU scaffolds had histologic evidence of scaffold degradation and an accumulation of pro-inflammatory/M1 and anti-inflammatory/M2 macrophages over time in vivo. The extent of inflammatory cell accumulation correlated with tissue formation and polymer degradation but was also associated with leaflet thickening and decreased leaflet motion. Future studies should explore pre-implant seeding of polymer scaffolds, more advanced polymer fabrication methods able to more closely approximate native tissue structure and function, and other techniques to control and balance the degradation of biomaterials and new tissue formation by modulation of the host immune response."
2023 Oct,Journal of the mechanical behavior of biomedical materials,J Mech Behav Biomed Mater. 2023 Oct;146:106043. doi: 10.1016/j.jmbbm.2023.106043. ,"['Pedersen, Drake D', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R']","[' tissue engineering methods', 'aortic valve', 'tissue scaffolds', 'polymers', 'catheters', ' heart valve prosthesis', 'heart valve design', 'pulmonary valve', 'strain map', 'tissue engineered heart valve']",Cardiac valve scaffold design: Implications of material properties and geometric configuration on performance and mechanics.,"Development of tissue engineered scaffolds for cardiac valve replacement is nearing clinical translation. While much work has been done to characterize mechanical behavior of native and bioprosthetic valves, and incorporate those data into models improving valve design, similar work for degradable valve scaffolds is lacking. This is particularly important given the implications mechanics have on short-term survival and long-term remodeling. As such, this study aimed to characterize spatially-resolved strain profiles on the leaflets of degradable polymeric valve scaffolds, manipulating common design features such as material stiffness by blending poly(carbonate urethane)urea with stiffer polymers, and geometric configuration, modeled after either a clinically-used valve design (Mk1 design) or an anatomically ""optimized"" design (Mk2 design). It was shown that material stiffness plays a significant role in overall valve performance, with the stiffest valve groups showing asymmetric and incomplete opening during systole. However, the geometric configuration had a significantly greater effect on valve performance as well as strain magnitude and distribution. Major findings in the strain maps included systolic strains having overall higher strain magnitudes than diastole, and peak radial-direction strain concentrations in the base region of Mk1 valves during systole, with a significant mitigation of radial strain in Mk2 valves. The high tunability of tissue engineered scaffolds is a great advantage for valve design, and the results reported here indicate that design parameters have significant and unequal impact on valve performance and mechanics."
2023 Nov,Advanced healthcare materials,Adv Healthc Mater. 2023 Nov;12(29):e2301335. doi: 10.1002/adhm.202301335. Epub ,"['Sato, Hideyoshi', 'Kohyama, Keishi', 'Uchibori, Takafumi', 'Takanari, Keisuke', 'Huard, Johnny', 'Badylak, Stephen F', ""D'Amore, Antonio"", 'Wagner, William R']","['rats', 'animals', ' surgical flaps blood supply innervation', ' muscles', 'extracellular matrix', 'biohybrid flaps', 'facial paralysis', 'muscle regeneration', 'stem cells', 'tissue engineering']","Creating and Transferring an Innervated, Vascularized Muscle Flap Made from an Elastic, Cellularized Tissue Construct Developed In Situ.","Reanimating facial structures following paralysis and muscle loss is a surgical objective that would benefit from improved options for harvesting appropriately sized muscle flaps. The objective of this study is to apply electrohydrodynamic processing to generate a cellularized, elastic, biocomposite scaffold that could develop and mature as muscle in a prepared donor site in vivo, and then be transferred as a thin muscle flap with a vascular and neural pedicle. First, an effective extracellular matrix (ECM) gel type is selected for the biocomposite scaffold from three types of ECM combined with poly(ester urethane)urea microfibers and evaluated in rat abdominal wall defects. Next, two types of precursor cells (muscle-derived and adipose-derived) are compared in constructs placed in rat hind limb defects for muscle regeneration capacity. Finally, with a construct made from dermal ECM and muscle-derived stem cells, protoflaps are implanted in one hindlimb for development and then microsurgically transferred as a free flap to the contralateral limb where stimulated muscle function is confirmed. This construct generation and in vivo incubation procedure may allow the generation of small-scale muscle flaps appropriate for transfer to the face, offering a new strategy for facial reanimation."
2022 Jul,Advanced healthcare materials,Adv Healthc Mater. 2022 Jul;11(13):e2102613. doi: 10.1002/adhm.202102613. Epub ,"['Adamo, Arianna', 'Bartolacci, Joseph G', 'Pedersen, Drake D', 'Traina, Marco G', 'Kim, Seungil', 'Pantano, Antonio', 'Ghersi, Giulio', 'Watkins, Simon C', 'Wagner, William R', 'Badylak, Stephen F', ""D'Amore, Antonio""]","['animals', 'rats', ' sutures', 'tendons', 'tensile strength', ' tissue engineering methods', 'wound healing', 'biofabrication', 'biomaterials host response', 'inflammation', 'macrophagic responses', 'medical textiles']",Continuous Microfiber Wire Mandrel-Less Biofabrication for Soft Tissue Engineering Applications.,"Suture materials are the most common bioimplants in surgical and clinical practice, playing a crucial role in wound healing and tendon and ligament repair. Despite the assortment available on the market, sutures are still affected by significant disadvantages, including failure in mimicking the mechanical properties of the tissue, excessive fibrosis, and inflammation. This study introduces a mandrel-less electrodeposition apparatus to fabricate continuous microfiber wires of indefinite length. The mandrel-less biofabrication produces wires, potentially used as medical fibers, with different microfiber bundles, that imitate the hierarchical organization of native tissues, and tailored mechanical properties. Microfiber wire morphology and mechanical properties are characterized by scanning electron microscopy, digital image processing, and uniaxial tensile test. Wires are tested in vitro on monocyte/macrophage stimulation and in vivo on a rat surgical wound model. The wires produced by mandrel-less deposition show an increased M2 macrophage phenotype in vitro. The in vivo assessment demonstrates that microfiber wires, compared to the medical fibers currently used, reduce pro-inflammatory macrophage response and preserve their mechanical properties after 30 days of use. These results make this microfiber wire an ideal candidate as a suture material for soft tissue surgery, suggesting a crucial role of microarchitecture in more favorable host response."
