time,journal,doi_info,authors,key words,title,abstract
2024,Current topics in developmental biology,Curr Top Dev Biol. 2024;160:87-109. doi: 10.1016/bs.ctdb.2024.05.004. Epub 2024 ,"['Davidson, Lance A']","['animals', ' morphogenesis', 'plants', 'seeds growth & development', 'biomechanics', 'blastopore closure', 'cell mechanics', 'cell shape change', 'dorsal closure', 'epithelial morphogenesis', 'gastrulation', 'mechanobiology', 'mesenchymal morphogenesis', 'morphogenesis', 'neurulation', 'self-assembly']",Gears of life: A primer on the simple machines that shape the embryo.,"A simple machine is a basic of device that takes mechanical advantage to apply force. Animals and plants self-assemble through the operation of a wide variety of simple machines. Embryos of different species actuate these simple machines to drive the geometric transformations that convert a disordered mass of cells into organized structures with discrete identities and function. These transformations are intrinsically coupled to sequential and overlapping steps of self-organization and self-assembly. The processes of self-organization have been explored through the molecular composition of cells and tissues and their information networks. By contrast, efforts to understand the simple machines underlying self-assembly must integrate molecular composition with the physical principles of mechanics. This primer is concerned with effort to elucidate the operation of these machines, focusing on the ""problem"" of morphogenesis. Advances in understanding self-assembly will ultimately connect molecular-, subcellular-, cellular- and meso-scale functions of plants and animals and their ability to interact with larger ecologies and environmental influences."
2024 Apr 22,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 Apr 22;63(17):e202318773. doi: ,"['Bardhan, Anirban', 'Brown, Wes', 'Albright, Savannah', 'Tsang, Michael', 'Davidson, Lance A', 'Deiters, Alexander']","['animals', 'morpholinos genetics pharmacology', ' zebrafish', ' oligonucleotides', 'oligonucleotides, antisense', 'phenotype', 'mammals', 'xenopus', 'antisense', 'conditional gene knockdown', 'morpholino', 'zebrafish']",Direct Activation of Nucleobases with Small Molecules for the Conditional Control of Antisense Function.,"Conditionally controlled antisense oligonucleotides provide precise interrogation of gene function at different developmental stages in animal models. Only one example of small molecule-induced activation of antisense function exist. This has been restricted to cyclic caged morpholinos that, based on sequence, can have significant background activity in the absence of the trigger. Here, we provide a new approach using azido-caged nucleobases that are site-specifically introduced into antisense morpholinos. The caging group design is a simple azidomethylene (Azm) group that, despite its very small size, efficiently blocks Watson-Crick base pairing in a programmable fashion. Furthermore, it undergoes facile decaging via Staudinger reduction when exposed to a small molecule phosphine, generating the native antisense oligonucleotide under conditions compatible with biological environments. We demonstrated small molecule-induced gene knockdown in mammalian cells, zebrafish embryos, and frog embryos. We validated the general applicability of this approach by targeting three different genes."
2024 Feb 5,Cells,Cells. 2024 Feb 5;13(3):285. doi: 10.3390/cells13030285.,"['Cheng, Ya-Wen', 'Anzell, Anthony R', 'Morosky, Stefanie A', 'Schwartze, Tristin A', 'Hinck, Cynthia S', 'Hinck, Andrew P', 'Roman, Beth L', 'Davidson, Lance A']","['humans', 'endothelial cells', 'ligands', ' telangiectasia, hereditary hemorrhagic genetics', ' arteriovenous malformations', 'signal transduction', 'bone morphogenetic proteins', 'alk1 receptor trafficking', 'endothelial cell biology', 'hereditary hemorrhagic telangiectasia', 'mechanobiology', 'mechanosensing', 'mechanotransduction', 'psmad1 5 9']",Shear Stress and Sub-Femtomolar Levels of Ligand Synergize to Activate ALK1 Signaling in Endothelial Cells.,"Endothelial cells (ECs) respond to concurrent stimulation by biochemical factors and wall shear stress (SS) exerted by blood flow. Disruptions in flow-induced responses can result in remodeling issues and cardiovascular diseases, but the detailed mechanisms linking flow-mechanical cues and biochemical signaling remain unclear. Activin receptor-like kinase 1 (ALK1) integrates SS and ALK1-ligand cues in ECs; ALK1 mutations cause hereditary hemorrhagic telangiectasia (HHT), marked by arteriovenous malformation (AVM) development. However, the mechanistic underpinnings of ALK1 signaling modulation by fluid flow and the link to AVMs remain uncertain. We recorded EC responses under varying SS magnitudes and ALK1 ligand concentrations by assaying pSMAD1/5/9 nuclear localization using a custom multi-SS microfluidic device and a custom image analysis pipeline. We extended the previously reported synergy between SS and BMP9 to include BMP10 and BMP9/10. Moreover, we demonstrated that this synergy is effective even at extremely low SS magnitudes (0.4 dyn/cm(2)) and ALK1 ligand range (femtogram/mL). The synergistic response to ALK1 ligands and SS requires the kinase activity of ALK1. Moreover, ALK1's basal activity and response to minimal ligand levels depend on endocytosis, distinct from cell-cell junctions, cytoskeleton-mediated mechanosensing, or cholesterol-enriched microdomains. However, an in-depth analysis of ALK1 receptor trafficking's molecular mechanisms requires further investigation."
2024 Feb 16,ACS chemical biology,ACS Chem Biol. 2024 Feb 16;19(2):516-525. doi: 10.1021/acschembio.3c00686. Epub ,"['Brown, Wes', 'Davidson, Lance A', 'Deiters, Alexander']","['animals', 'xenopus laevis genetics metabolism', ' amino acids chemistry', ' proteins metabolism', 'genetic code', 'structure-activity relationship']",Expanding the Genetic Code of Xenopus laevis Embryos.,"The incorporation of unnatural amino acids into proteins through genetic code expansion has been successfully adapted to African claw-toed frog embryos. Six unique unnatural amino acids are incorporated site-specifically into proteins and demonstrate robust and reliable protein expression. Of these amino acids, several are caged analogues that can be used to establish conditional control over enzymatic activity. Using light or small molecule triggers, we exhibit activation and tunability of protein functions in live embryos. This approach was then applied to optical control over the activity of a RASopathy mutant of NRAS, taking advantage of generating explant cultures from Xenopus. Taken together, genetic code expansion is a robust approach in the Xenopus model to incorporate novel chemical functionalities into proteins of interest to study their function and role in a complex biological setting."
2024 May,Tissue engineering. Part A,Tissue Eng Part A. 2024 May;30(9-10):404-414. doi: 10.1089/ten.TEA.2023.0219. ,"['Calabrese, Tia C', 'Rothermund, Kristi', 'Gabe, Claire M', 'Beniash, Elia', 'Davidson, Lance A', 'Syed-Picard, Fatima N']","['humans', ' organoids cytology metabolism', ' stem cells cytology metabolism', ' tooth root cytology metabolism', ' dental pulp cytology metabolism', ' periodontal ligament cytology', 'tissue engineering methods', 'dental implants', 'dental pulp stem cells', 'organoid', 'periodontal ligament stem cells', 'self-assembly']",Self-Assembly of Tooth Root Organoid from Postnatal Human Dental Stem Cells.,"Challenges remain in simultaneously regenerating the multiple diverse tissues of the tooth root in a spatially organized manner. Previously, our research group has established that scaffold-free tissue engineering approaches enable dental pulp stem/progenitor cells (DPSCs) and periodontal ligament (PDL) stem/progenitor cells (PDLSCs) to self-assemble into dentin-pulp and PDL-cementum organoids, respectively. In this study, we leveraged the innate self-organizing capacity of DPSCs and PDLSCs to now engineer organoids that resemble the full tooth root. Scaffold-free engineered tissues were generated using a heterogeneous mixture of human DPSCs and PDLSCs. Within 2 days of construct formation, PDLSCs and DPSCs became spatially restricted to the periphery and center of the constructs, respectively, emulating their anatomical positions in the tooth root. Histological and microcomputed tomography analyses showed that organoids exhibited a striated mineral pattern with a central unmineralized core, surrounded by a mineralized tissue structure, enclosed within a second peripheral unmineralized tissue, similar to the natural tooth root. Interestingly, DPSCs gave rise to the central unmineralized tissue and the inner portion of the mineralized tissue, and PDLSCs generated the outer portion of the mineralized tissue and the peripheral soft tissue. Quantitative image analysis of immunofluorescent staining revealed increased dentin sialophosphoprotein expression in the region of mineralized tissue associated with DPSCs and increased cementum protein-1 expression in the portion formed by PDLSCs, demonstrating that tooth root organoids comprise two biochemically distinct mineralized tissues characteristic of dentin-like and cementum-like structures, respectively. In addition, PDL-associated protein-1 expression was localized to the peripheral soft tissue, suggesting the formation of a rudimentary PDL-like structure. This study demonstrates that DPSCs and PDLSCs have an inherent ability to orchestrate the formation of a full tooth root-like structure. These organoids present a biomimetic model system to study cellular dynamics driving dental tissue repair or could be utilized therapeutically as biological dental implants."
2023 Dec,Cells & development,Cells Dev. 2023 Dec;176:203866. doi: 10.1016/j.cdev.2023.203866. Epub 2023 Jun ,"['Masak, Geneva', 'Davidson, Lance A']","['animals', ' vertebrates genetics', ' mesoderm', 'gastrulation', 'spinal cord', 'morphogenesis', 'chordoneural hinge', 'gastrulation', 'neuromesodermal progenitors', 'neurulation', 'posterior neuropore', 'secondary neurulation', 'tail bud', 'axis elongation']",Constructing the pharyngula: Connecting the primary axial tissues of the head with the posterior axial tissues of the tail.,"The pharyngula stage of vertebrate development is characterized by stereotypical arrangement of ectoderm, mesoderm, and neural tissues from the anterior spinal cord to the posterior, yet unformed tail. While early embryologists over-emphasized the similarity between vertebrate embryos at the pharyngula stage, there is clearly a common architecture upon which subsequent developmental programs generate diverse cranial structures and epithelial appendages such as fins, limbs, gills, and tails. The pharyngula stage is preceded by two morphogenetic events: gastrulation and neurulation, which establish common shared structures despite the occurrence of cellular processes that are distinct to each of the species. Even along the body axis of a singular organism, structures with seemingly uniform phenotypic characteristics at the pharyngula stage have been established by different processes. We focus our review on the processes underlying integration of posterior axial tissue formation with the primary axial tissues that creates the structures laid out in the pharyngula. Single cell sequencing and novel gene targeting technologies have provided us with new insights into the differences between the processes that form the anterior and posterior axis, but it is still unclear how these processes are integrated to create a seamless body. We suggest that the primary and posterior axial tissues in vertebrates form through distinct mechanisms and that the transition between these mechanisms occur at different locations along the anterior-posterior axis. Filling gaps that remain in our understanding of this transition could resolve ongoing problems in organoid culture and regeneration."
2023 Apr 19,eLife,Elife. 2023 Apr 19;12:e83792. doi: 10.7554/eLife.83792.,"['Martinson, William Duncan', 'McLennan, Rebecca', 'Teddy, Jessica M', 'McKinney, Mary C', 'Davidson, Lance A', 'Baker, Ruth E', 'Byrne, Helen M', 'Kulesa, Paul M', 'Maini, Philip K']","[' fibronectins', ' neural crest', 'cell movement', 'cell communication', 'chicken', 'collective cell migration', 'computational biology', 'developmental biology', 'extracellular matrix', 'fibronectin', 'individual-based model', 'mathematical modeling', 'neural crest', 'systems biology']",Dynamic fibronectin assembly and remodeling by leader neural crest cells prevents jamming in collective cell migration.,"Collective cell migration plays an essential role in vertebrate development, yet the extent to which dynamically changing microenvironments influence this phenomenon remains unclear. Observations of the distribution of the extracellular matrix (ECM) component fibronectin during the migration of loosely connected neural crest cells (NCCs) lead us to hypothesize that NCC remodeling of an initially punctate ECM creates a scaffold for trailing cells, enabling them to form robust and coherent stream patterns. We evaluate this idea in a theoretical setting by developing an individual-based computational model that incorporates reciprocal interactions between NCCs and their ECM. ECM remodeling, haptotaxis, contact guidance, and cell-cell repulsion are sufficient for cells to establish streams in silico, however, additional mechanisms, such as chemotaxis, are required to consistently guide cells along the correct target corridor. Further model investigations imply that contact guidance and differential cell-cell repulsion between leader and follower cells are key contributors to robust collective cell migration by preventing stream breakage. Global sensitivity analysis and simulated gain- and loss-of-function experiments suggest that long-distance migration without jamming is most likely to occur when leading cells specialize in creating ECM fibers, and trailing cells specialize in responding to environmental cues by upregulating mechanisms such as contact guidance."
2022 Nov 1,Cold Spring Harbor protocols,Cold Spring Harb Protoc. 2022 Nov 1;2022(11):Pdb.prot097378. doi: ,"['Davidson, Lance A']","['animals', ' gastrulation', 'xenopus laevis', ' mesoderm', 'ectoderm', 'pseudopodia']",Microsurgical Manipulations to Isolate Collectively Migrating Mesendoderm.,"Mesendoderm mantle closure completes the gastrulation movements of the Xenopus laevis embryo and provides an unparalleled opportunity to study collective cell behaviors within a mesenchymal tissue. Free-edge sheet-like collective movements of these tissues contrast with movements of epithelial tissues in that mesendodermal cells are not constrained by tight junctions or adherens junctions, yet migrate in a coherent and persistent mode over several hours. Mesendoderm cells are the largest motile cells in the Xenopus embryo and complete a 500-µm migratory path. When mesendoderm is cultured on rigid glass substrates, these cells can exceed 100 µm in length and show a highly persistent leading lamellipodia that can exceed 20 µm from tip to base. These large collectively migrating cells provide a unique imaging opportunity to visualize polarized adhesive and cytoskeletal structures with high-numerical-aperture objectives. Mesendodermal cells in the early embryo originate from around the entirety of the marginal zone and may also be distinguished by their source along the animal-vegetal axis. Here we use the term mesendoderm but note alternative terms for these cells can include head mesoderm, endomesoderm, and prechordal mesoderm. This protocol summarizes microsurgical preparation of mesendoderm tissue explants and ""windowed"" embryos. Skills needed to dissect fragments of the mesendoderm mantle are marginally greater than those needed to isolate animal cap ectoderm and can be mastered within 2 weeks; skills needed to isolate the mesendoderm ""donut"" or ""ring"" or to prepare windowed embryos are significantly greater and may require several additional weeks of training."
2022 Nov 1,Cold Spring Harbor protocols,Cold Spring Harb Protoc. 2022 Nov 1;2022(11):Pdb.prot097386. doi: ,"['Davidson, Lance A']","['animals', ' gastrula', ' mesoderm', 'xenopus laevis', 'ectoderm', 'endoderm']",Microsurgical Methods to Make the Keller Sandwich Explant and the Dorsal Isolate.,"This protocol summarizes preparation of the dorsal marginal zone sandwich explant (a.k.a. the ""Keller sandwich"") and the dorsal isolate from Xenopus embryos. The Keller sandwich is assembled from two early gastrula stage dorsal marginal zone (DMZ) explants. DMZ explants isolated before involution maintain planar patterning processes and block radial signals that might be exchanged between pre- and postinvolution tissues. DMZ explants isolated later in gastrulation, but subsequently opened and flattened may have both planar and radial patterning. The epithelial margins of DMZ explants in Keller sandwiches heal and basal contacts form between the deep layers of the two DMZ explants. The dorsal isolate is dissected from mid- to late-gastrula stage embryos after involution and archenteron formation. Germ-layer contacts between dorsal endoderm, mesoderm, and ectoderm generated by gastrulation movements are maintained in the dorsal isolate. These two explants can be used to study tissue, cell, and subcellular processes relevant to convergent extension, from patterning to cell behaviors, and their collective biomechanics. Skills needed to dissect the Keller sandwich are greater than those needed to dissect animal cap ectoderm and can be mastered in a few weeks; skills needed to dissect the dorsal isolate are similar to those needed to dissect animal caps and can be learned in a week."
2022 Nov 1,Cold Spring Harbor protocols,Cold Spring Harb Protoc. 2022 Nov 1;2022(11):Pdb.prot097360. doi: ,"['Davidson, Lance A']","['animals', ' gastrula', 'prospective studies', ' mesoderm', 'xenopus laevis', 'ectoderm']",Microsurgical Methods to Isolate and Culture the Early Gastrula Dorsal Marginal Zone.,"Marginal zone explants from Xenopus embryos can be used to expose cell behaviors and tissue movements that normally operate in dorsal tissues. Dorsal explants comprise the diverse set of progenitor cells found in dorsal tissues including mesendoderm, head mesoderm, prechordal mesoderm, endoderm with bottle cells, axial mesoderm of the prospective notochord, paraxial mesoderm of the somites, lateral plate mesoderm, neural ectoderm, and ectoderm. Unlike an organoid, the dorsal marginal zone (DMZ) explant is ""organotypic"" in that microsurgery does not disrupt native tissue organization beyond manipulations needed to dissect the tissue from the embryo. An organotypic early gastrula DMZ explant preserves boundaries and close tissue associations in the native marginal zone. Depending on the stage, patterning and cell identities can be maintained in explants and tissue isolates. Local cell movements and behaviors may also be preserved; however, the large-scale biomechanical impact of their collective movements may be altered from those in the native marginal zone. For instance, involution is typically inhibited in the DMZ explant, precluding the two-layer association of mesoderm and prospective neural ectoderm normally achieved during gastrulation. DMZ explants may be mounted and imaged in a variety of ways, exposing interesting cell behaviors or collective movements such as mediolateral cell intercalation in the axial and paraxial mesoderm, apical constriction of bottle cells, and directional migration of mesendoderm. The flattened DMZ explant can also be used to study emergence of new tissue-defining boundaries such as the notochord-somite boundary, the ectoderm-mesoderm boundary, and the mesendoderm-mesoderm boundary."
