time,journal,doi_info,authors,key words,title,abstract
2022 Dec,Radiology. Cardiothoracic imaging,Radiol Cardiothorac Imaging. 2022 Dec 22;4(6):e220039. doi: 10.1148/ryct.220039. ,"['Mastrodicasa, Domenico', 'Willemink, Martin J', 'Turner, Valery L', 'Hinostroza, Virginia', 'Codari, Marina', 'Hanneman, Kate', 'Ouzounian, Maral', 'Ocazionez Trujillo, Daniel', 'Afifi, Rana O', 'Hedgire, Sandeep', 'Burris, Nicholas S', 'Yang, Bo', 'Lacomis, Joan M', 'Gleason, Thomas G', 'Pacini, Davide', 'Folesani, Gianluca', 'Lovato, Luigi', 'Hinzpeter, Ricarda', 'Alkadhi, Hatem', 'Stillman, Arthur E', 'Chen, Edward P', 'van Kuijk, Sander M J', 'Schurink, Geert W H', 'Sailer, Anna M', 'Bäumler, Kathrin', 'Miller, D Craig', 'Fischbein, Michael P', 'Fleischmann, Dominik']","['aorta', 'aortic dissection', 'ct angiography', 'dissection', 'mri', 'outcomes analysis', 'tevar', 'vascular']",Registry of Aortic Diseases to Model Adverse Events and Progression (ROADMAP) in Uncomplicated Type B Aortic Dissection: Study Design and Rationale.,"PURPOSE: To describe the design and methodological approach of a multicenter, retrospective study to externally validate a clinical and imaging-based model for predicting the risk of late adverse events in patients with initially uncomplicated type B aortic dissection (uTBAD). MATERIALS AND METHODS: The Registry of Aortic Diseases to Model Adverse Events and Progression (ROADMAP) is a collaboration between 10 academic aortic centers in North America and Europe. Two centers have previously developed and internally validated a recently developed risk prediction model. Clinical and imaging data from eight ROADMAP centers will be used for external validation. Patients with uTBAD who survived the initial hospitalization between January 1, 2001, and December 31, 2013, with follow-up until 2020, will be retrospectively identified. Clinical and imaging data from the index hospitalization and all follow-up encounters will be collected at each center and transferred to the coordinating center for analysis. Baseline and follow-up CT scans will be evaluated by cardiovascular imaging experts using a standardized technique. RESULTS: The primary end point is the occurrence of late adverse events, defined as aneurysm formation (≥6 cm), rapid expansion of the aorta (≥1 cm/y), fatal or nonfatal aortic rupture, new refractory pain, uncontrollable hypertension, and organ or limb malperfusion. The previously derived multivariable model will be externally validated by using Cox proportional hazards regression modeling. CONCLUSION: This study will show whether a recent clinical and imaging-based risk prediction model for patients with uTBAD can be generalized to a larger population, which is an important step toward individualized risk stratification and therapy.Keywords: CT Angiography, Vascular, Aorta, Dissection, Outcomes Analysis, Aortic Dissection, MRI, TEVAR© RSNA, 2022See also the commentary by Rajiah in this issue."
2024 Jun,The Journal of thoracic and cardiovascular surgery,J Thorac Cardiovasc Surg. 2024 Jun;167(6):2015-2024. doi: ,"['Fortunato, Ronald N', 'Huckaby, Lauren V', 'Emerel, Leonid V', 'Schlosser, Virginia', 'Yang, Fan', 'Phillippi, Julie A', 'Vorp, David A', 'Maiti, Spandan', 'Gleason, Thomas G']","['humans', ' aortic dissection physiopathology diagnostic imaging', ' vascular stiffness', ' finite element analysis', 'male', 'female', 'middle aged', ' aortic aneurysm physiopathology diagnostic imaging', ' echocardiography', 'models, cardiovascular', 'aged', 'predictive value of tests', 'aorta physiopathology diagnostic imaging', 'stress, mechanical', 'dilatation, pathologic', 'aneurysm pathophysiology', 'aortic dissection', 'aortic wall stiffness', 'aortic wall tensile stress', 'computational modeling', 'dissection risk prediction', 'stress analysis']",The predictive capability of aortic stiffness index for aortic dissection among dilated ascending aortas.,"OBJECTIVE: We created a finite element model to predict the probability of dissection based on imaging-derived aortic stiffness and investigated the link between stiffness and wall tensile stress using our model. METHODS: Transthoracic echocardiogram measurements were used to calculate aortic diameter change over the cardiac cycle. Aortic stiffness index was subsequently calculated based on diameter change and blood pressure. A series of logistic models were developed to predict the binary outcome of aortic dissection using 1 or more series of predictor parameters such as aortic stiffness index or patient characteristics. Finite element analysis was performed on a subset of diameter-matched patients exhibiting patient-specific material properties. RESULTS: Transthoracic echocardiogram scans of patients with type A aortic dissection (n = 22) exhibited elevated baseline aortic stiffness index when compared with aneurysmal patients' scans with tricuspid aortic valve (n = 83, P < .001) and bicuspid aortic valve (n = 80, P < .001). Aortic stiffness index proved an excellent discriminator for a future dissection event (area under the curve, 0.9337, odds ratio, 2.896). From the parametric finite element study, we found a correlation between peak longitudinal wall tensile stress and stiffness index (ρ = .6268, P < .001, n = 28 pooled). CONCLUSIONS: Noninvasive transthoracic echocardiogram-derived aortic stiffness measurements may serve as an impactful metric toward predicting aortic dissection or quantifying dissection risk. A correlation between longitudinal stress and stiffness establishes an evidence-based link between a noninvasive stiffness parameter and stress state of the aorta with clinically apparent dissection events."
2022 Oct 1,JAMA cardiology,JAMA Cardiol. 2022 Oct 1;7(10):1000-1008. doi: 10.1001/jamacardio.2022.2695.,"['Van Mieghem, Nicolas M', 'Deeb, G Michael', 'Søndergaard, Lars', 'Grube, Eberhard', 'Windecker, Stephan', 'Gada, Hemal', 'Mumtaz, Mubashir', 'Olsen, Peter S', 'Heiser, John C', 'Merhi, William', 'Kleiman, Neal S', 'Chetcuti, Stanley J', 'Gleason, Thomas G', 'Lee, Joon Sup', 'Cheng, Wen', 'Makkar, Raj R', 'Crestanello, Juan', 'George, Barry', 'George, Isaac', 'Kodali, Susheel', 'Yakubov, Steven J', 'Serruys, Patrick W', 'Lange, Rüdiger', 'Piazza, Nicolo', 'Williams, Mathew R', 'Oh, Jae K', 'Adams, David H', 'Li, Shuzhen', 'Reardon, Michael J']","['aged', 'aortic valve surgery', ' aortic valve stenosis complications', 'female', ' heart valve prosthesis adverse effects', 'humans', 'male', 'prospective studies', ' stroke epidemiology etiology']",Self-expanding Transcatheter vs Surgical Aortic Valve Replacement in Intermediate-Risk Patients: 5-Year Outcomes of the SURTAVI Randomized Clinical Trial.,"IMPORTANCE: In patients with severe aortic valve stenosis at intermediate surgical risk, transcatheter aortic valve replacement (TAVR) with a self-expanding supra-annular valve was noninferior to surgery for all-cause mortality or disabling stroke at 2 years. Comparisons of longer-term clinical and hemodynamic outcomes in these patients are limited. OBJECTIVE: To report prespecified secondary 5-year outcomes from the Symptomatic Aortic Stenosis in Intermediate Risk Subjects Who Need Aortic Valve Replacement (SURTAVI) randomized clinical trial. DESIGN, SETTING, AND PARTI"
2022 Dec,Annals of biomedical engineering,Ann Biomed Eng. 2022 Dec;50(12):1771-1786. doi: 10.1007/s10439-022-02979-0. Epub ,"['Williams, Jessica G', 'Marlevi, David', 'Bruse, Jan L', 'Nezami, Farhad R', 'Moradi, Hamed', 'Fortunato, Ronald N', 'Maiti, Spandan', 'Billaud, Marie', 'Edelman, Elazer R', 'Gleason, Thomas G']","['humans', ' aortic dissection diagnostic imaging', 'aorta', 'aorta, thoracic diagnostic imaging', 'hemodynamics', 'aortic aneurysm', 'statistical shape analysis', 'type a aortic dissection']",Aortic Dissection is Determined by Specific Shape and Hemodynamic Interactions.,"The aim of this study was to determine whether specific three-dimensional aortic shape features, extracted via statistical shape analysis (SSA), correlate with the development of thoracic ascending aortic dissection (TAAD) risk and associated aortic hemodynamics. Thirty-one patients followed prospectively with ascending thoracic aortic aneurysm (ATAA), who either did (12 patients) or did not (19 patients) develop TAAD, were included in the study, with aortic arch geometries extracted from computed tomographic angiography (CTA) imaging. Arch geometries were analyzed with SSA, and unsupervised and supervised (linked to dissection outcome) shape features were extracted with principal component analysis (PCA) and partial least squares discriminant analysis (PLS-DA), respectively. We determined PLS-DA to be effective at separating dissection and no-dissection patients ([Formula: see text]), with decreased tortuosity and more equal ascending and descending aortic diameters associated with higher dissection risk. In contrast, neither PCA nor traditional morphometric parameters (maximum diameter, tortuosity, or arch volume) were effective at separating dissection and no-dissection patients. The arch shapes associated with higher dissection probability were supported with hemodynamic insight. Computational fluid dynamics (CFD) simulations revealed a correlation between the PLS-DA shape features and wall shear stress (WSS), with higher maximum WSS in the ascending aorta associated with increased risk of dissection occurrence. Our work highlights the potential importance of incorporating higher dimensional geometric assessment of aortic arch anatomy in TAAD risk assessment, and in considering the interdependent influences of arch shape and hemodynamics as mechanistic contributors to TAAD occurrence."
2022 Dec,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2022 Dec;110(12):1912-1920. doi: 10.1002/jbm.a.37422. Epub ,"['Wintruba, Kaitlyn L', 'Hill, Jennifer C', 'Richards, Tara D', 'Lee, Yoojin C', 'Kaczorowski, David J', 'Sultan, Ibrahim', 'Badylak, Stephen F', 'Billaud, Marie', 'Gleason, Thomas G', 'Phillippi, Julie A']","[' adventitia metabolism', 'animals', 'biocompatible materials metabolism', 'collagen type i metabolism', 'extracellular matrix', 'humans', 'hydrogels metabolism pharmacology', 'integrins metabolism', 'pericytes', 'swine', 'transforming growth factor beta metabolism', ' vasa vasorum metabolism', 'aortic aneurysm', 'extracellular matrix', 'hydrogel', 'integrins', 'pericytes']",Adventitia-derived extracellular matrix hydrogel enhances contractility of human vasa vasorum-derived pericytes via α(2) β(1) integrin and TGFβ receptor.,"Pericytes are essential components of small blood vessels and are found in human aortic vasa vasorum. Prior work uncovered lower vasa vasorum density and decreased levels of pro-angiogenic growth factors in adventitial specimens of human ascending thoracic aortic aneurysm. We hypothesized that adventitial extracellular matrix (ECM) from normal aorta promotes pericyte function by increasing pericyte contractile function through mechanisms deficient in ECM derived from aneurysmal aortic adventitia. ECM biomaterials were prepared as lyophilized particulates from decellularized adventitial specimens of human and porcine aorta. Immortalized human aortic adventitia-derived pericytes were cultured within Type I collagen gels in the presence or absence of human or porcine adventitial ECMs. Cell contractility index was quantified by measuring the gel area immediately following gelation and after 48 h of culture. Normal human and porcine adventitial ECM increased contractility of pericytes when compared with pericytes cultured in absence of adventitial ECM. In contrast, aneurysm-derived human adventitial ECM failed to promote pericyte contractility. Pharmacological inhibition of TGFβR1 and antibody blockade of α(2) β(1) integrin independently decreased porcine adventitial ECM-induced pericyte contractility. By increasing pericyte contractility, adventitial ECM may improve microvascular function and thus represents a candidate biomaterial for less invasive and preventative treatment of human ascending aortic disease."
2022 Oct,The Journal of surgical research,J Surg Res. 2022 Oct;278:317-324. doi: 10.1016/j.jss.2022.04.043. Epub 2022 Jun ,"['Seese, Laura', 'Deitz, Rachel', 'Dufendach, Keith', 'Sultan, Ibrahim', 'Aranda-Michel, Edgar', 'Gleason, Thomas G', 'Wang, Yisi', 'Thoma, Floyd', 'Kilic, Arman']","['coronary artery bypass adverse effects', ' coronary artery disease complications surgery', ' heart failure complications', 'humans', ' mitral valve insufficiency complications surgery', ' myocardial ischemia complications surgery', 'treatment outcome', 'coronary artery disease', 'ischemic mitral regurgitation', 'mitral valve repair']",Midterm Outcomes of Isolated Coronary Artery Bypass Grafting in the Setting of Moderate Ischemic Mitral Regurgitation.,"INTRODUCTION: Although randomized trial data exist for 2-y outcomes comparing isolated coronary artery bypass grafting (CABG) versus CABG with concomitant mitral valve repair (CABG + MVr) for the treatment of moderate ischemic mitral regurgitation (IMR), longer term outcomes are unclear. This study evaluated the longitudinal outcomes of isolated CABG for moderate IMR. METHODS: Patients with moderate IMR undergoing isolated CABG from January 2010 to February 2018 at a single institution were included. Outcomes included longitudinal freedom from heart failure readmission, survival, rates of persistent mitral regurgitation (MR), and freedom from mitral valve reinterventions. A subanalysis was conducted comparing CABG versus CABG + MVr. Multivariable Cox regression was used for risk adjustment. RESULTS: A total of 528 patients with moderate IMR underwent isolated CABG. Postoperatively, 26% of patients had at least moderate MR at 1-mo follow-up, although at 5 y progression to severe MR was rare (2.2%) as were mitral valve reinterventions (0.2%). Survival at 30 d (95.8%), 1 y (89.6%), and 5 y (76.6%) was acceptable. Furthermore, the freedom from readmission for heart failure was also acceptable at 30 d (92.6%), 1 y (79.9%), and 5 y (65.0%) postoperatively. In a subanalysis comparing CABG versus CABG + MVr, unadjusted and risk-adjusted survival, freedom from heart failure readmissions, mitral valve reinterventions, and degrees of MR were comparable between the groups at all intervals (all P > 0.05). CONCLUSIONS: The majority of patients with moderate IMR can undergo isolated CABG with acceptable rates of heart failure readmissions, survival, progression to severe MR, and the need for subsequent mitral interventions. These data support the use of isolated CABG in patients with moderate IMR."
2022 Oct 4,European journal of cardio-thoracic surgery : official journal of the European ,Eur J Cardiothorac Surg. 2022 Oct 4;62(5):ezac237. doi: 10.1093/ejcts/ezac237.,"['Hill, Jennifer C', 'Billaud, Marie', 'Richards, Tara D', 'Kotlarczyk, Mary P', 'Shiva, Sruti', 'Phillippi, Julie A', 'Gleason, Thomas G']","['humans', ' bicuspid aortic valve disease', ' heart valve diseases genetics metabolism', 'endothelial cells metabolism', 'aortic valve metabolism', 'genotype', 'nitric oxide synthase type iii genetics metabolism', 'aneurysm', 'bicuspid aortic valve', 'endothelial cells', 'nitric oxide synthase 3', 'single-nucleotide polymorphism']",Layer-specific Nos3 expression and genotypic distribution in bicuspid aortic valve aortopathy.,"OBJECTIVES: We hypothesized that expression and activity of nitric oxide synthase-3 enzyme (Nos3) in bicuspid aortic valve (BAV) aortopathy are related to tissue layer and Nos3 genotype. METHODS: Gene expression of Nos3 and platelet and endothelial cell adhesion molecule-1 (Pecam1) and NOS activity were measured in intima-containing media and adventitial specimens of ascending aortic tissue. The presence of 2 Nos3 single-nucleotide polymorphisms (SNPs; -786T/C and 894G/T) was determined for non-aneurysmal (NA) and aneurysmal patients with BAV (n = 40, 89, respectively); patients with tricuspid aortic valve (TAV) and aneurysm (n = 151); and NA patients with TAV (n = 100). RESULTS: Elevated Nos3 relative to Pecam1 and reduced Pecam1 relative to a housekeeping gene were observed within intima-containing aortic specimens from BAV patients when compared with TAV patients. Lower Nos3 in the adventitia of aneurysmal specimens was noted when compared with specimens of NA aorta, independent of valve morphology. NOS activity was similar among cohorts in media/intima and decreased in the diseased adventitia, relative to control patients. Aneurysmal BAV patients exhibited an under-representation of the wild-type genotype for -786 SNP. No differences in genotype distribution were noted for 894 SNP. Primary intimal endothelial cells from patients with at least 1 C allele at -786 SNP exhibited lower Nos3 when compared with wild-type cells. CONCLUSIONS: These findings of differential Nos3 in media/intima versus adventitia depending on valve morphology or aneurysm reveal new information regarding aneurysmal pathophysiology and support our ongoing assertion that there are distinct mechanisms giving rise to ascending aortopathy in BAV and TAV patients."
2022 Mar 8,Journal of the American College of Cardiology,J Am Coll Cardiol. 2022 Mar 8;79(9):882-896. doi: 10.1016/j.jacc.2021.11.062.,"['Forrest, John K', 'Deeb, G Michael', 'Yakubov, Steven J', 'Rovin, Joshua D', 'Mumtaz, Mubashir', 'Gada, Hemal', ""O'Hair, Daniel"", 'Bajwa, Tanvir', 'Sorajja, Paul', 'Heiser, John C', 'Merhi, William', 'Mangi, Abeel', 'Spriggs, Douglas J', 'Kleiman, Neal S', 'Chetcuti, Stanley J', 'Teirstein, Paul S', 'Zorn, George L 3rd', 'Tadros, Peter', 'Tchétché, Didier', 'Resar, Jon R', 'Walton, Antony', 'Gleason, Thomas G', 'Ramlawi, Basel', 'Iskander, Ayman', 'Caputo, Ronald', 'Oh, Jae K', 'Huang, Jian', 'Reardon, Michael J']","['aortic valve diagnostic imaging surgery', ' aortic valve stenosis', 'bayes theorem', ' heart valve prosthesis adverse effects', 'humans', 'prosthesis design', 'risk factors', ' stroke epidemiology etiology', 'time factors', ' transcatheter aortic valve replacement adverse effects', 'treatment outcome', 'aortic stenosis', 'low surgical risk', 'self-expanding supra-annular valve', 'transcatheter aortic valve replacement']",2-Year Outcomes After Transcatheter Versus Surgical Aortic Valve Replacement in Low-Risk Patients.,"BACKGROUND: The Evolut Low Risk Trial (Medtronic Evolut Transcatheter Aortic Valve Replacement in Low Risk Patients) showed that transcatheter aortic valve replacement (TAVR) with a supra-annular, self-expanding valve was noninferior to surgery for the primary endpoint of all-cause mortality or disabling stroke at 2 years. This finding was based on a Bayesian analysis performed after 850 patients had reached 1 year of follow-up. OBJECTIVES: The goal of this study was to report the full 2-year clinical and echocardiographic outcomes for patients enrolled in the Evolut Low Risk Trial. METHODS: A total of 1,414 low-surgical risk patients with severe aortic stenosis were randomized to receive TAVR or surgical AVR. An independent clinical events committee adjudicated adverse events, and a central echocardiographic core laboratory assessed hemodynamic endpoints. RESULTS: An attempted implant was performed in 730 TAVR and 684 surgical patients from March 2016 to May 2019. The Kaplan-Meier rates for the complete 2-year primary endpoint of death or disabling stroke were 4.3% in the TAVR group and 6.3% in the surgery group (P = 0.084). These rates were comparable to the interim Bayesian rates of 5.3% with TAVR and 6.7% with surgery (difference: -1.4%; 95% Bayesian credible interval: -4.9% to 2.1%). All-cause mortality rates were 3.5% vs 4.4% (P = 0.366), and disabling stroke rates were 1.5% vs 2.7% (P = 0.119), respectively. Between years 1 and 2, there was no convergence of the primary outcome curves. CONCLUSIONS: The complete 2-year follow-up from the Evolut Low Risk Trial found that TAVR is noninferior to surgery for the primary endpoint of all-cause mortality or disabling stroke, with event rates that were slightly better than those predicted by using the Bayesian analysis. (Medtronic Evolut Transcatheter Aortic Valve Replacement in Low Risk Patients [Evolut Low Risk Trial]; NCT02701283)."
2022 Apr,The Journal of surgical research,J Surg Res. 2022 Apr;272:166-174. doi: 10.1016/j.jss.2021.08.025. Epub 2021 Dec ,"['Huckaby, Lauren V', 'Seese, Laura M', 'Hess, Nicholas', 'Aranda-Michel, Edgar', 'Sultan, Ibrahim', 'Gleason, Thomas G', 'Chu, Danny', 'Wang, Yisi', 'Thoma, Floyd', 'Kilic, Arman']","[' acute kidney injury epidemiology etiology therapy', 'adult', ' cardiac surgical procedures adverse effects', 'creatinine', 'female', 'humans', 'kidney physiology', 'male', 'renal dialysis adverse effects', 'risk factors', 'cardiac surgery', 'dialysis', 'post-operative renal failure', 'renal insufficiency']",Fate of the Kidneys in Patients with Post-Operative Renal Failure After Cardiac Surgery.,"BACKGROUND: This study evaluates the clinical and renal-related outcomes in patients with acute renal failure (ARF) following cardiac surgery. METHODS: Index adult cardiac operations at a single institution from 2010-2018 were reviewed. Patients requiring dialysis pre-operatively were excluded. ARF was stratified as either creatinine rise (≥3-times baseline or ≥4.0 mg/dL) or post-operative dialysis. Outcomes included mortality, rates of progression to dialysis, and renal recovery. Multivariable Cox regression was used for risk-adjustment. RESULTS: A total of 10,037 patients, including 6,275 (62.5%) isolated coronary artery bypass grafting (CABG), 2,243 (22.3%) isolated valve, and 1,519 (15.1%) CABG plus valve cases, were included. Post-operative ARF occurred in 346 (3.5%) patients, with 230 (66.5%) requiring dialysis. Survival was significantly reduced in patients with ARF at 30-days (97.9 versus 70.8%, P <0.001), 1-year (94.9 versus 48.0%, P <0.001), and 5-years (86.2 versus 38.2%, P <0.001) with more profound reductions in those requiring dialysis, findings which persisted after risk-adjustment. Progression to subsequent dialysis in the creatinine rise group was rare (n = 1). The median time to dialysis initiation in the dialysis group was 5 days (IQR 2-12 days) with a median time of dialysis dependence of 72 days (IQR 38-1229 days). Of those patients requiring postoperative dialysis, 30.9% demonstrated renal recovery. CONCLUSIONS: Post-operative ARF and in particular the need for dialysis are associated with substantial reductions in survival that persist during longitudinal follow-up. This occurs despite the finding that patients experiencing creatinine rise only rarely progress to dialysis, and that nearly one-third of patients requiring post-operative dialysis recover renal function."
2021 Jul 8,HGG advances,HGG Adv. 2021 Jul 8;2(3):100037. doi: 10.1016/j.xhgg.2021.100037. Epub 2021 Jul ,"['Teekakirikul, Polakit', 'Zhu, Wenjuan', 'Gabriel, George C', 'Young, Cullen B', 'Williams, Kylia', 'Martin, Lisa J', 'Hill, Jennifer C', 'Richards, Tara', 'Billaud, Marie', 'Phillippi, Julie A', 'Wang, Jianbin', 'Wu, Yijen', 'Tan, Tuantuan', 'Devine, William', 'Lin, Jiuann-Huey', 'Bais, Abha S', 'Klonowski, Jonathan', 'Moreau de Bellaing, Anne', 'Saini, Ankur', 'Wang, Michael X', 'Emerel, Leonid', 'Salamacha, Nathan', 'Wyman, Samuel K', 'Lee, Carrie', 'Sing Li, Hung', 'Miron, Anastasia', 'Zhang, Jingyu', 'Xing, Jianhua', 'McNamara, Dennis M', 'Fung, Erik', 'Kirshbom, Paul', 'Mahle, William', 'Kochilas, Lazaros K', 'He, Yihua', 'Garg, Vidu', 'White, Peter', 'McBride, Kim L', 'Benson, D Woodrow', 'Gleason, Thomas G', 'Mital, Seema', 'Lo, Cecilia W']",[],Common deletion variants causing protocadherin-α deficiency contribute to the complex genetics of BAV and left-sided congenital heart disease.,"Bicuspid aortic valve (BAV) with ~1%-2% prevalence is the most common congenital heart defect (CHD). It frequently results in valve disease and aorta dilation and is a major cause of adult cardiac surgery. BAV is genetically linked to rare left-heart obstructions (left ventricular outflow tract obstructions [LVOTOs]), including hypoplastic left heart syndrome (HLHS) and coarctation of the aorta (CoA). Mouse and human studies indicate LVOTO is genetically heterogeneous with a complex genetic etiology. Homozygous mutation in the Pcdha protocadherin gene cluster in mice can cause BAV, and also HLHS and other LVOTO phenotypes when accompanied by a second mutation. Here we show two common deletion copy number variants (delCNVs) within the PCDHA gene cluster are associated with LVOTO. Analysis of 1,218 white individuals with LVOTO versus 463 disease-free local control individuals yielded odds ratios (ORs) at 1.47 (95% confidence interval ["
