time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,American journal of physiology. Lung cellular and molecular physiology,Am J Physiol Lung Cell Mol Physiol. 2024 Jun 11. doi: 10.1152/ajplung.00110.2024.,"['Kudryashova, Tatiana V', 'Zaitsev, Sergei V', 'Jiang, Lifeng', 'Buckley, Benjamin J', 'McGuckin, Joshua P', 'Goncharov, Dmitry', 'Zhyvylo, Iryna', 'Lin, Derek', 'Newcomb, Geoffrey', 'Piper, Bryce', 'Bogamuwa, Srimathi', 'Saiyed, Aisha', 'Teos, Leyla', 'Pena, Andressa', 'Ranson, Marie', 'Greenland, John R', 'Wolters, Paul J', 'Kelso, Michael J', 'Poncz, Mortimer', 'DeLisser, Horace M', 'Cines, Douglas B', 'Goncharova, Elena A', 'Farkas, Laszlo', 'Stepanova, Victoria']","['plasminogen activator inhibitor (pai-1))', 'pulmonary hypertension', 'urokinase pa (upa)']",PAI-1 Deficiency Drives Pulmonary Vascular Smooth Muscle Remodeling and Pulmonary Hypertension.,"Pulmonary arterial hypertension (PAH) is a progressive disease characterized by vasoconstriction and remodeling of small pulmonary arteries (PAs). Central to the remodeling process is a switch of pulmonary vascular cells to a proliferative, apoptosis-resistant phenotype. Plasminogen activator inhibitor-1 (PAI-1) is the primary physiological inhibitor of urokinase-type and tissue-type plasminogen activators (uPA and tPA), but its role in PAH is unsettled. Here, we report that: (1) PAI-1 is deficient in remodeled small PAs and in early-passage PA smooth muscle and endothelial cells (PASMCs and PAECs) from subjects with PAH compared to controls; (2) PAI-1(-/-) mice spontaneously develop pulmonary vascular remodeling associated with up-regulation of mTORC1 signaling, pulmonary hypertension (PH), and right ventricle (RV) hypertrophy; and (3) pharmacological inhibition of uPA in human PAH PASMCs suppresses pro-proliferative mTORC1 and SMAD3 signaling, restores PAI-1 levels, reduces proliferation and induces apoptosis in vitro, and prevents the development of SU5416/hypoxia-induced PH and RV hypertrophy in vivo in mice. These data strongly suggest that down-regulation of PAI-1 in small PAs promotes vascular remodeling and PH due to unopposed activation of uPA and consequent up-regulation of mTOR and TGF-b signaling in PASMCs, and call for further studies to determine the potential benefits of targeting the PAI-1/uPA imbalance to attenuate and/or reverse pulmonary vascular remodeling and PH."
2024 May 28,Circulation,Circulation. 2024 May 28. doi: 10.1161/CIRCULATIONAHA.124.068624.,"['Jheng, Jia-Rong', 'Bai, Yang', 'Noda, Kentaro', 'Huot, Joshua R', 'Cook, Todd', 'Fisher, Amanda', 'Chen, Yi-Yun', 'Goncharov, Dmitry A', 'Goncharova, Elena A', 'Simon, Marc A', 'Zhang, Yingze', 'Forman, Daniel E', 'Rojas, Mauricio', 'Machado, Roberto F', 'Auwerx, Johan', 'Gladwin, Mark T', 'Lai, Yen-Chun']",['xxx'],Skeletal Muscle SIRT3 Deficiency Contributes to Pulmonary Vascular Remodeling in Pulmonary Hypertension Due to Heart Failure With Preserved Ejection Fraction.,
2024 May 24,Circulation research,Circ Res. 2024 May 24;134(11):1402-1404. doi: 10.1161/CIRCRESAHA.124.324574. Epub ,"['Al Ghouleh, Imad', 'Pulgarin Rocha, Andres', 'Goncharova, Elena A']","['animals', 'arterioles physiology', 'humans', ' zinc finger protein gli1 metabolism genetics', 'pulmonary artery', 'mice', 'neovascularization, physiologic', 'pulmonary circulation physiology', 'editorials', 'arterioles', 'hypoxia', 'pericytes', 'pulmonary artery']",New Kid on the Block: GLI1+ Cells and Pulmonary Arterioles Neomuscularization.,
2024 Jun,The European respiratory journal,Eur Respir J. 2024 Jun 20;63(6):2301518. doi: 10.1183/13993003.01518-2023. Print ,"['Agarwal, Stuti', 'Fineman, Jeffrey', 'Cornfield, David N', 'Alvira, Cristina M', 'Zamanian, Roham T', 'Goss, Kara', 'Yuan, Ke', 'Bonnet, Sebastien', 'Boucherat, Olivier', 'Pullamsetti, Soni', 'Alcázar, Miguel A', 'Goncharova, Elena', 'Kudryashova, Tatiana V', 'Nicolls, Mark R', 'de Jesús Pérez, Vinicio']","['humans', ' hypertension, pulmonary physiopathology', 'child', 'pediatrics']",Seeing pulmonary hypertension through a paediatric lens: a viewpoint.,Paediatric pulmonary hypertension (PH) offers unique genetic and developmental insights that can help in the discovery of novel mechanisms and targets to treat adult PH https://bit.ly/3TMm6bi
2024 Jun 1,American journal of respiratory and critical care medicine,Am J Respir Crit Care Med. 2024 Jun 1;209(11):1298-1300. doi: ,"['Kudryashova, Tatiana V', 'Jiang, Lifeng', 'Goncharova, Elena A']","['humans', ' hypertension, pulmonary physiopathology', ' signal transduction', 'animals']",What Is All of the Hype About? Hypusine Signaling as a Driver of Pulmonary Hypertension.,
2024 Feb 1,The Journal of clinical investigation,J Clin Invest. 2024 Feb 1;134(3):e169441. doi: 10.1172/JCI169441.,"['Piper, Bryce', 'Bogamuwa, Srimathi', 'Hossain, Tanvir', 'Farkas, Daniela', 'Rosas, Lorena', 'Green, Adam C', 'Newcomb, Geoffrey', 'Sun, Nuo', 'Ovando-Ricardez, Jose A', 'Horowitz, Jeffrey C', 'Bhagwani, Aneel R', 'Yang, Hu', 'Kudryashova, Tatiana V', 'Rojas, Mauricio', 'Mora, Ana L', 'Yan, Pearlly', 'Mallampalli, Rama K', 'Goncharova, Elena A', 'Eckmann, David M', 'Farkas, Laszlo']","['animals', 'humans', 'mice', 'rats', 'familial primary pulmonary hypertension metabolism', ' hypertension, pulmonary etiology', 'hypoxia metabolism', 'lung metabolism', 'pulmonary artery metabolism', 'autophagy', 'cellular senescence', 'endothelial cells', 'pulmonology']",RAB7 deficiency impairs pulmonary artery endothelial function and promotes pulmonary hypertension.,impairs pulmonary artery endothelial function and promotes pulmonary hypertension.LID - 10.1172/J
2023 Apr 22,Scientific reports,Sci Rep. 2023 Apr 22;13(1):6593. doi: 10.1038/s41598-023-33779-8.,"['Toyama, Tetsuo', 'Kudryashova, Tatiana V', 'Ichihara, Asako', 'Lenna, Stefania', 'Looney, Agnieszka', 'Shen, Yuanjun', 'Jiang, Lifeng', 'Teos, Leyla', 'Avolio, Theodore', 'Lin, Derek', 'Kaplan, Ulas', 'Marden, Grace', 'Dambal, Vrinda', 'Goncharov, Dmitry', 'Delisser, Horace', 'Lafyatis, Robert', 'Seta, Francesca', 'Goncharova, Elena A', 'Trojanowska, Maria']","['animals', 'mice', ' bone morphogenetic proteins genetics metabolism', 'cell proliferation', 'cells, cultured', 'familial primary pulmonary hypertension pathology', ' gata6 transcription factor genetics metabolism', 'myocytes, smooth muscle metabolism', ' oxidative stress', ' pulmonary arterial hypertension genetics metabolism pathology', 'pulmonary artery pathology', 'vascular remodeling']",GATA6 coordinates cross-talk between BMP10 and oxidative stress axis in pulmonary arterial hypertension.,"Pulmonary arterial hypertension (PAH) is a life-threatening condition characterized by a progressive increase in pulmonary vascular resistance leading to right ventricular failure and often death. Here we report that deficiency of transcription factor GATA6 is a shared pathological feature of PA endothelial (PAEC) and smooth muscle cells (PASMC) in human PAH and experimental PH, which is responsible for maintenance of hyper-proliferative cellular phenotypes, pulmonary vascular remodeling and pulmonary hypertension. We further show that GATA6 acts as a transcription factor and direct positive regulator of anti-oxidant enzymes, and its deficiency in PAH/PH pulmonary vascular cells induces oxidative stress and mitochondrial dysfunction. We demonstrate that GATA6 is regulated by the BMP10/BMP receptors axis and its loss in PAECs and PASMC in PAH supports BMPR deficiency. In addition, we have established that GATA6-deficient PAEC, acting in a paracrine manner, increase proliferation and induce other pathological changes in PASMC, supporting the importance of GATA6 in pulmonary vascular cell communication. Treatment with dimethyl fumarate resolved oxidative stress and BMPR deficiency, reversed hemodynamic changes caused by endothelial Gata6 loss in mice, and inhibited proliferation and induced apoptosis in human PAH PASMC, strongly suggesting that targeting GATA6 deficiency may provide a therapeutic advance for patients with PAH."
2023 Apr 4,Journal of the American Heart Association,J Am Heart Assoc. 2023 Apr 4;12(7):e027894. doi: 10.1161/JAHA.122.027894. Epub ,"['Hafeez, Neha', 'Kirillova, Anna', 'Yue, Yunshan', 'Rao, Rashmi J', 'Kelly, Neil J', 'El Khoury, Wadih', 'Al Aaraj, Yassmin', 'Tai, Yi-Yin', 'Handen, Adam', 'Tang, Ying', 'Jiang, Danli', 'Wu, Ting', 'Zhang, Yingze', 'McNamara, Dennis', 'Kudryashova, Tatiana V', 'Goncharova, Elena A', 'Goncharov, Dmitry', 'Bertero, Thomas', 'Nouraie, Mehdi', 'Li, Gang', 'Sun, Wei', 'Chan, Stephen Y']","['humans', ' actinin genetics', 'endothelium', 'genetic predisposition to disease', ' hla-dp beta-chains genetics', 'polymorphism, single nucleotide', ' pulmonary arterial hypertension', 'endothelial dysfunction', 'genome‐wide association study', 'linkage disequilibrium', 'pulmonary arterial hypertension', 'single nucleotide polymorphism']",Single Nucleotide Polymorphism rs9277336 Controls the Nuclear Alpha Actinin 4-Human Leukocyte Antigen-DPA1 Axis and Pulmonary Endothelial Pathophenotypes in Pulmonary Arterial Hypertension.,"Background Pulmonary arterial hypertension (PAH) is a complex, fatal disease where disease severity has been associated with the single nucleotide polymorphism (SNP) rs2856830, located near the human leukocyte antigen DPA1 (HLA-DPA1) gene. We aimed to define the genetic architecture of functional variants associated with PAH disease severity by identifying allele-specific binding transcription factors and downstream targets that control endothelial pathophenotypes and PAH. Methods and Results Electrophoretic mobility shift assays of oligonucleotides containing SNP rs2856830 and 8 SNPs in linkage disequilibrium revealed functional SNPs via allele-imbalanced binding to human pulmonary arterial endothelial cell nuclear proteins. DNA pulldown proteomics identified SNP-binding proteins. SNP genotyping and clinical correlation analysis were performed in 84 patients with PAH at University of Pittsburgh Medical Center and in 679 patients with PAH in the All of Us database. SNP rs9277336 was identified as a functional SNP in linkage disequilibrium (r(2)>0.8) defined by rs2856830, and the minor allele was associated with decreased hospitalizations and improved cardiac output in patients with PAH, an index of disease severity. SNP pulldown proteomics showed allele-specific binding of nuclear ACTN4 (alpha actinin 4) protein to rs9277336 minor allele. Both ACTN4 and HLA-DPA1 were downregulated in pulmonary endothelium in human patients and rodent models of PAH. Via transcriptomic and phenotypic analyses, knockdown of HLA-DPA1 phenocopied knockdown of ACTN4, both similarly controlling cell structure pathways, immune pathways, and endothelial dysfunction. Conclusions We defined the pathogenic activity of functional SNP rs9277336, entailing the allele-specific binding of ACTN4 and controlling expression of the neighboring HLA-DPA1 gene. Through inflammatory or genetic means, downregulation of this ACTN4-HLA-DPA1 regulatory axis promotes endothelial pathophenotypes, providing a mechanistic explanation for the association between this SNP and PAH outcomes."
2023 Feb 17,iScience,iScience. 2023 Jan 5;26(2):105935. doi: 10.1016/j.isci.2023.105935. eCollection ,"['Bhagwani, Aneel R', 'Ali, Mehboob', 'Piper, Bryce', 'Liu, Mingjun', 'Hudson, Jaylen', 'Kelly, Neil', 'Bogamuwa, Srimathi', 'Yang, Hu', 'Londino, James D', 'Bednash, Joseph S', 'Farkas, Daniela', 'Mallampalli, Rama K', 'Nicolls, Mark R', 'Ryan, John J', 'Thompson, A A Roger', 'Chan, Stephen Y', 'Gomez, Delphine', 'Goncharova, Elena A', 'Farkas, Laszlo']","['biological sciences', 'cell biology', 'molecular biology']",A p53-TLR3 axis ameliorates pulmonary hypertension by inducing BMPR2 via IRF3.,"Pulmonary arterial hypertension (PAH) features pathogenic and abnormal endothelial cells (ECs), and one potential origin is clonal selection. We studied the role of p53 and toll-like receptor 3 (TLR3) in clonal expansion and pulmonary hypertension (PH) via regulation of bone morphogenetic protein (BMPR2) signaling. ECs of PAH patients had reduced p53 expression. EC-specific p53 knockout exaggerated PH, and clonal expansion reduced p53 and TLR3 expression in rat lung CD117(+) ECs. Reduced p53 degradation (Nutlin 3a) abolished clonal EC expansion, induced TLR3 and BMPR2, and ameliorated PH. Polyinosinic/polycytidylic acid [Poly(I:C)] increased BMPR2 signaling in ECs via enhanced binding of interferon regulatory factor-3 (IRF3) to the BMPR2 promoter and reduced PH in p53(-/-) mice but not in mice with impaired TLR3 downstream signaling. Our data show that a p53/TLR3/IRF3 axis regulates BMPR2 expression and signaling in ECs. This link can be exploited for therapy of PH."
2022 Dec 6,Science signaling,Sci Signal. 2022 Dec 6;15(763):eabn2743. doi: 10.1126/scisignal.abn2743. Epub ,"['Shen, Yuanjun', 'Goncharov, Dmitry A', 'Pena, Andressa', 'Baust, Jeffrey', 'Chavez Barragan, Andres', 'Ray, Arnab', 'Rode, Analise', 'Bachman, Timothy N', 'Chang, Baojun', 'Jiang, Lifeng', 'Dieffenbach, Paul', 'Fredenburgh, Laura E', 'Rojas, Mauricio', 'DeLisser, Horace', 'Mora, Ana L', 'Kudryashova, Tatiana V', 'Goncharova, Elena A']","['animals', 'mice', 'cell proliferation', 'extracellular matrix', ' hypertension, pulmonary genetics', ' tuberous sclerosis', 'humans']",Cross-talk between TSC2 and the extracellular matrix controls pulmonary vascular proliferation and pulmonary hypertension.,"Increased proliferation and survival of cells in small pulmonary arteries (PAs) drive pulmonary arterial hypertension (PAH). Because cell growth mediated by the mTOR-containing mTORC1 complex is inhibited by tuberous sclerosis complex 2 (TSC2), we investigated the role of this GTPase-activating protein in PAH pathology. TSC2 abundance was decreased in remodeled small PAs and PA vascular smooth muscle cells (PAVSMCs) from patients with PAH or from rodent pulmonary hypertension (PH) models, as well as PAVSMCs maintained on substrates that reproduced pathology-induced stiffness. Accordingly, mice with smooth muscle-specific reduction in TSC2 developed PH. At the molecular level, decreased TSC2 abundance led to stiffness-induced PAVSMC proliferation, increased abundance of the mechanosensitive transcriptional coactivators YAP/TAZ, and enhanced mTOR kinase activity. Moreover, extracellular matrix (ECM) produced by TSC2-deficient PAVSMCs stimulated the proliferation of nondiseased PA adventitial fibroblasts and PAVSMCs through fibronectin and its receptor, the α(5)β(1) integrin. Reconstituting TSC2 in PAVSMCs from patients with PAH through overexpression or treatment with the SIRT1 activator SRT2104 decreased YAP/TAZ abundance, mTOR activity, and ECM production, as well as inhibited proliferation and induced apoptosis. In two rodent models of PH, SRT2104 treatment restored TSC2 abundance, attenuated pulmonary vascular remodeling, and ameliorated PH. Thus, TSC2 in PAVSMCs integrates ECM composition and stiffness with pro-proliferative and survival signaling, and restoring TSC2 abundance could be an attractive therapeutic option to treat PH."
