time,journal,doi_info,authors,key words,title,abstract
2024 Apr,Protein science : a publication of the Protein Society,Protein Sci. 2024 Apr;33(4):e4938. doi: 10.1002/pro.4938.,"['Krzysiak, Troy C', 'Choi, You-Jin', 'Kim, Yong Joon', 'Yang, Yunhan', 'DeHaven, Christopher', 'Thompson, Lariah', 'Ponticelli, Ryan', 'Mermigos, Mara M', 'Thomas, Laurel', 'Marquez, Andrea', 'Sipula, Ian', 'Kemper, Jongsook Kim', 'Jurczak, Michael', 'Thomas, Gary', 'Gronenborn, Angela M']","['humans', ' sirtuin 1 genetics metabolism', ' adaptor proteins, signal transducing genetics', 'glycogen synthase kinase 3 metabolism', 'protein processing, post-translational', 'insulin metabolism', 'ck2', 'dbc1', 'gsk3', 'nafld', 'pacs‐2', 'sirt1', 'acetylation', 'insulin signaling', 'liver metabolism', 'obesity', 'post‐translational modification', 'protein–protein interactions']",Inhibitory protein-protein interactions of the SIRT1 deacetylase are choreographed by post-translational modification.,"Regulation of SIRT1 activity is vital to energy homeostasis and plays important roles in many diseases. We previously showed that insulin triggers the epigenetic regulator DBC1 to prime SIRT1 for repression by the multifunctional trafficking protein PACS-2. Here, we show that liver DBC1/PACS-2 regulates the diurnal inhibition of SIRT1, which is critically important for insulin-dependent switch in fuel metabolism from fat to glucose oxidation. We present the x-ray structure of the DBC1 S1-like domain that binds SIRT1 and an NMR characterization of how the SIRT1 N-terminal region engages DBC1. This interaction is inhibited by acetylation of K112 of DBC1 and stimulated by the insulin-dependent phosphorylation of human SIRT1 at S162 and S172, catalyzed sequentially by CK2 and GSK3, resulting in the PACS-2-dependent inhibition of nuclear SIRT1 enzymatic activity and translocation of the deacetylase in the cytoplasm. Finally, we discuss how defects in the DBC1/PACS-2-controlled SIRT1 inhibitory pathway are associated with disease, including obesity and non-alcoholic fatty liver disease."
2024 Mar 6,Journal of the American Chemical Society,J Am Chem Soc. 2024 Mar 6;146(9):6157-6167. doi: 10.1021/jacs.3c13745. Epub 2024 ,"['Bogdanov, Alexey', 'Frydman, Veronica', 'Seal, Manas', 'Rapatskiy, Leonid', 'Schnegg, Alexander', 'Zhu, Wenkai', 'Iron, Mark', 'Gronenborn, Angela M', 'Goldfarb, Daniella']","['electron spin resonance spectroscopy', ' electrons', ' fluorine', 'proteins chemistry', 'spin labels']",Extending the Range of Distances Accessible by (19)F Electron-Nuclear Double Resonance in Proteins Using High-Spin Gd(III) Labels.,"Fluorine electron-nuclear double resonance ((19)F ENDOR) has recently emerged as a valuable tool in structural biology for distance determination between F atoms and a paramagnetic center, either intrinsic or conjugated to a biomolecule via spin labeling. Such measurements allow access to distances too short to be measured by double electron-electron resonance (DEER). To further extend the accessible distance range, we exploit the high-spin properties of Gd(III) and focus on transitions other than the central transition (|-1/2⟩ ↔ |+1/2⟩), that become more populated at high magnetic fields and low temperatures. This increases the spectral resolution up to ca. 7 times, thus raising the long-distance limit of (19)F ENDOR almost 2-fold. We first demonstrate this on a model fluorine-containing Gd(III) complex with a well-resolved (19)F spectrum in conventional central transition measurements and show quantitative agreement between the experimental spectra and theoretical predictions. We then validate our approach on two proteins labeled with (19)F and Gd(III), in which the Gd-F distance is too long to produce a well-resolved (19)F ENDOR doublet when measured at the central transition. By focusing on the |-5/2⟩ ↔ |-3/2⟩ and |-7/2⟩ ↔ |-5/2⟩ EPR transitions, a resolution enhancement of 4.5- and 7-fold was obtained, respectively. We also present data analysis strategies to handle contributions of different electron spin manifolds to the ENDOR spectrum. Our new extended (19)F ENDOR approach may be applicable to Gd-F distances as large as 20 Å, widening the current ENDOR distance window."
2024 Mar,Protein science : a publication of the Protein Society,Protein Sci. 2024 Mar;33(3):e4883. doi: 10.1002/pro.4883.,"['Heath, Shelby L', 'Guseman, Alex J', 'Gronenborn, Angela M', 'Horne, W Seth']","[' aspartic acid chemistry', 'isomerism', ' proteins metabolism', 'protein biosynthesis', 'succinimides', 'gb1', 'protein aging', 'protein backbone isomerization', 'protein chemical synthesis']",Probing effects of site-specific aspartic acid isomerization on structure and stability of GB1 through chemical protein synthesis.,"Chemical modifications of long-lived proteins, such as isomerization and epimerization, have been evoked as prime triggers for protein-damage related diseases. Deamidation of Asn residues, which results in formation of a mixture of l- and d-Asp and isoAsp via an intermediate aspartyl succinimide, can result in the disruption of cellular proteostasis and toxic protein depositions. In contrast to extensive data on the biological prevalence and functional implications of aspartyl succinimide formation, much less is known about the impact of the resulting altered backbone composition on properties of individual proteins at a molecular level. Here, we report the total chemical synthesis, biophysical characterization, and NMR structural analysis of a series of variants of the B1 domain of protein G from Streptococcal bacteria (GB1) in which all possible Asp isomers as well as an aspartyl succinimide were individually incorporated at a defined position in a solvent-exposed loop. Subtle local structural effects were observed; however, these were accompanied by notable differences in thermodynamic folded stability. Surprisingly, the noncanonical backbone connectivity of d-isoAsp led to a variant that exhibited enhanced stability relative to the natural protein."
2024 Feb,Current opinion in structural biology,Curr Opin Struct Biol. 2024 Feb;84:102736. doi: 10.1016/j.sbi.2023.102736. Epub ,"['Zadorozhnyi, Roman', 'Gronenborn, Angela M', 'Polenova, Tatyana']","['cryoelectron microscopy', 'magnetic resonance spectroscopy', ' proteins chemistry', ' molecular dynamics simulation', 'molecular conformation', 'nuclear magnetic resonance, biomolecular']","Integrative approaches for characterizing protein dynamics: NMR, CryoEM, and computer simulations.","Proteins are inherently dynamic and their internal motions are essential for biological function. Protein motions cover a broad range of timescales: 10(-14)-10 s, spanning from sub-picosecond vibrational motions of atoms via microsecond loop conformational rearrangements to millisecond large amplitude domain reorientations. Observing protein dynamics over all timescales and connecting motions and structure to biological mechanisms requires integration of multiple experimental and computational techniques. This review reports on state-of-the-art approaches for assessing dynamics in biological systems using recent examples of virus assemblies, enzymes, and molecular machines. By integrating NMR spectroscopy in solution and the solid state, cryo electron microscopy, and molecular dynamics simulations, atomistic pictures of protein motions are obtained, not accessible from any single method in isolation. This information provides fundamental insights into protein behavior that can guide the development of future therapeutics."
2024 Jan,Nature reviews. Molecular cell biology,Nat Rev Mol Cell Biol. 2024 Jan;25(1):7-12. doi: 10.1038/s41580-023-00659-y. Epub ,"['Bai, Xiao-Chen', 'Gonen, Tamir', 'Gronenborn, Angela M', 'Perrakis, Anastassis', 'Thorn, Andrea', 'Yang, Jianyi']","[' models, molecular', 'cryoelectron microscopy', 'macromolecular substances chemistry']",Challenges and opportunities in macromolecular structure determination.,
2023 Sep 19,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Sep 19;120(38):e2301518120. doi: ,"['Guseman, Alex J', 'Rennick, Linda J', 'Nambulli, Sham', 'Roy, Chandra N', 'Martinez, David R', 'Yang, Darian T', 'Bhinderwala, Fatema', 'Vergara, Sandra', 'Schaefer, Alexandra', 'Baric, Ralph S', 'Ambrose, Zandrea', 'Duprex, W Paul', 'Gronenborn, Angela M']","['humans', ' covid-19', 'rna, viral', 'sars-cov-2', 'spike glycoprotein, coronavirus', 'virus internalization', 'agglutinins', 'lectins', 'polysaccharides pharmacology', 'sars-cov-2', 'glycan shield', 'lectins']",Targeting spike glycans to inhibit SARS-CoV2 viral entry.,"SARS-CoV-2 spike harbors glycans which function as ligands for lectins. Therefore, it should be possible to exploit lectins to target SARS-CoV-2 and inhibit cellular entry by binding glycans on the spike protein. Burkholderia oklahomensis agglutinin (BOA) is an antiviral lectin that interacts with viral glycoproteins via N-linked high mannose glycans. Here, we show that BOA binds to the spike protein and is a potent inhibitor of SARS-CoV-2 viral entry at nanomolar concentrations. Using a variety of biophysical approaches, we demonstrate that the interaction is avidity driven and that BOA cross-links the spike protein into soluble aggregates. Furthermore, using virus neutralization assays, we demonstrate that BOA effectively inhibits all tested variants of concern as well as SARS-CoV 2003, establishing that multivalent glycan-targeting molecules have the potential to act as pan-coronavirus inhibitors."
2023 May 8,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2023 May 8;62(20):e202218780. doi: ,"['Seal, Manas', 'Zhu, Wenkai', 'Dalaloyan, Arina', 'Feintuch, Akiva', 'Bogdanov, Alexey', 'Frydman, Veronica', 'Su, Xun-Cheng', 'Gronenborn, Angela M', 'Goldfarb, Daniella']","['humans', 'electron spin resonance spectroscopy', ' electrons', ' gadolinium chemistry', 'proteins chemistry', 'spin labels', 'ubiquitin', 'fluorine chemistry', 'gd spin label', 'in-cell 19f pre', 'in-cell gdiii-19f endor', 'nanometer range distance', 'protein structure']",Gd(III) -(19) F Distance Measurements for Proteins in Cells by Electron-Nuclear Double Resonance.,"Studies of protein structure and dynamics are usually carried out in dilute buffer solutions, conditions that differ significantly from the crowded environment in the cell. The double electron-electron resonance (DEER) technique can track proteins' conformations in the cell by providing distance distributions between two attached spin labels. This technique, however, cannot access distances below 1.8 nm. Here, we show that Gd(III) -(19) F Mims electron-nuclear double resonance (ENDOR) measurements can cover part of this short range. Low temperature solution and in-cell ENDOR measurements, complemented with room temperature solution and in-cell Gd(III) -(19) F PRE (paramagnetic relaxation enhancement) NMR measurements, were performed on fluorinated GB1 and ubiquitin (Ub), spin-labeled with rigid Gd(III) tags. The proteins were delivered into human cells via electroporation. The solution and in-cell derived Gd(III) -(19) F distances were essentially identical and lie in the 1-1.5 nm range revealing that both, GB1 and Ub, retained their overall structure in the Gd(III) and (19) F regions in the cell."
2023 Mar 4,Nature communications,Nat Commun. 2023 Mar 4;14(1):1237. doi: 10.1038/s41467-023-36569-y.,"['Sarkar, Sucharita', 'Zadrozny, Kaneil K', 'Zadorozhnyi, Roman', 'Russell, Ryan W', 'Quinn, Caitlin M', 'Kleinpeter, Alex', 'Ablan, Sherimay', 'Meshkin, Hamed', 'Perilla, Juan R', 'Freed, Eric O', 'Ganser-Pornillos, Barbie K', 'Pornillos, Owen', 'Gronenborn, Angela M', 'Polenova, Tatyana']","[' hiv-1', 'capsid', 'capsid proteins', 'catalysis', ' triterpenes']",Structural basis of HIV-1 maturation inhibitor binding and activity.,"HIV-1 maturation inhibitors (MIs), Bevirimat (BVM) and its analogs interfere with the catalytic cleavage of spacer peptide 1 (SP1) from the capsid protein C-terminal domain (CA(CTD)), by binding to and stabilizing the CA(CTD)-SP1 region. MIs are under development as alternative drugs to augment current antiretroviral therapies. Although promising, their mechanism of action and associated virus resistance pathways remain poorly understood at the molecular, biochemical, and structural levels. We report atomic-resolution magic-angle-spinning NMR structures of microcrystalline assemblies of CA(CTD)-SP1 complexed with BVM and/or the assembly cofactor inositol hexakisphosphate (IP6). Our results reveal a mechanism by which BVM disrupts maturation, tightening the 6-helix bundle pore and quenching the motions of SP1 and the simultaneously bound IP6. In addition, BVM-resistant SP1-A1V and SP1-V7A variants exhibit distinct conformational and binding characteristics. Taken together, our study provides a structural explanation for BVM resistance as well as guidance for the design of new MIs."
2023 Mar 1,Journal of the American Chemical Society,J Am Chem Soc. 2023 Mar 1;145(8):4564-4569. doi: 10.1021/jacs.2c12021. Epub 2023 ,"['Zhu, Wenkai', 'Yang, Darian T', 'Gronenborn, Angela M']",[],Ligand-Capped Cobalt(II) Multiplies the Value of the Double-Histidine Motif for PCS NMR Studies.,"In structural studies by NMR, pseudocontact shifts (PCSs) provide both angular and distance information. For proteins, incorporation of a di-histidine (diHis) motif, coordinated to Co(2+), has emerged as an important tool to measure PCS. Here, we show that using different Co(II)-chelating ligands, such as nitrilotriacetic acid (NTA) and iminodiacetic acid (IDA), resolves the isosurface ambiguity of Co(2+)-diHis and yields orthogonal PCS data sets with different Δχ-tensors for the same diHis-bearing protein. Importantly, such capping ligands effectively eliminate undesired intermolecular interactions, which can be detrimental to PCS studies. Devising and employing ligand-capping strategies afford versatile and powerful means to obtain multiple orthogonal PCS data sets, significantly extending the use of the diHis motif for structural studies by NMR."
2022 Dec 22,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2022 Dec 22:2022.12.22.521642. doi: ,"['Guseman, Alex J', 'Rennick, Linda J', 'Nambulli, Sham', 'Roy, Chandra N', 'Martinez, David R', 'Yang, Darian T', 'Bhinderwhala, Fatema', 'Vergara, Sandra', 'Baric, Ralph S', 'Ambrose, Zandrea', 'Duprex, W Paul', 'Gronenborn, Angela M']",[],Targeting Spike Glycans to Inhibit SARS-CoV2 Viral Entry.,"SARS-CoV-2 Spike harbors glycans which function as ligands for lectins. Therefore, it should be possible to exploit lectins to target SARS-CoV-2 and inhibit cellular entry by binding glycans on the Spike protein. Burkholderia oklahomensis agglutinin (BOA) is an antiviral lectin that interacts with viral glycoproteins via N-linked high mannose glycans. Here, we show that BOA binds to the Spike protein and is a potent inhibitor of SARS-CoV-2 viral entry at nanomolar concentrations. Using a variety of biophysical tools, we demonstrate that the interaction is avidity driven and that BOA crosslinks the Spike protein into soluble aggregates. Furthermore, using virus neutralization assays, we demonstrate that BOA effectively inhibits all tested variants of concern as well as SARS-CoV 2003, establishing that glycan-targeting molecules have the potential to be pan-coronavirus inhibitors."
