time,journal,doi_info,authors,key words,title,abstract
2023,JVS-vascular science,JVS Vasc Sci. 2023 Feb 18;4:100098. doi: 10.1016/j.jvssci.2023.100098. ,"['Gueldner, Pete H', 'Marini, Ande X', 'Li, Bo', 'Darvish, Cyrus J', 'Chung, Timothy K', 'Weinbaum, Justin S', 'Curci, John A', 'Vorp, David A']","['abdominal aortic aneurysm', 'bapn model', 'elastase model', 'mouse model', 'ninhydrin and hydroxyproline', 'uniaxial ring testing']",Mechanical and matrix effects of short and long-duration exposure to beta-aminopropionitrile in elastase-induced model abdominal aortic aneurysm in mice.,"OBJECTIVE: Evaluate the mechanical and matrix effects on abdominal aortic aneurysms (AAA) during the initial aortic dilation and after prolonged exposure to beta-aminopropionitrile (BAPN) in a topical elastase AAA model. METHODS: Abdominal aortae of C57/BL6 mice were exposed to topical elastase with or without BAPN in the drinking water starting 4 days before elastase exposure. For the standard AAA model, animals were harvested at 2 weeks after active elastase (STD2) or heat-inactivated elastase (SHAM2). For the enhanced elastase model, BAPN treatment continued for either 4 days (ENH2b) or until harvest (ENH2) at 2 weeks; BAPN was continued until harvest at 8 weeks in one group (ENH8). Each group underwent assessment of aortic diameter, mechanical testing (tangent modulus and ultimate tensile strength [UTS]), and quantification of insoluble elastin and bulk collagen in both the elastase exposed aorta as well as the descending thoracic aorta. RESULTS: BAPN treatment did not increase aortic dilation compared with the standard model after 2 weeks (ENH2, 1.65 ± 0.23 mm; ENH2b, 1.49 ± 0.39 mm; STD2, 1.67 ± 0.29 mm; and SHAM2, 0.73 ± 0.10 mm), but did result in increased dilation after 8 weeks (4.3 ± 2.0 mm; P = .005). After 2 weeks, compared with the standard model, continuous therapy with BAPN did not have an effect on UTS (24.84 ± 7.62 N/cm(2); 18.05 ± 4.95 N/cm(2)), tangent modulus (32.60 ± 9.83 N/cm(2); 26.13 ± 9.10 N/cm(2)), elastin (7.41 ± 2.43%; 7.37 ± 4.00%), or collagen (4.25 ± 0.79%; 5.86 ± 1.19%) content. The brief treatment, EHN2b, resulted in increased aortic collagen content compared with STD2 (7.55 ± 2.48%; P = .006) and an increase in UTS compared with ENH2 (35.18 ± 18.60 N/cm(2); P = .03). The ENH8 group had the lowest tangent modulus (3.71 ± 3.10 N/cm(2); P = .005) compared with all aortas harvested at 2 weeks and a lower UTS (2.18 ± 2.18 N/cm(2)) compared with both the STD2 (24.84 ± 7.62 N/cm(2); P = .008) and ENH2b (35.18 ± 18.60 N/cm(2); P = .001) groups. No differences in the mechanical properties or matrix protein concentrations were associated with abdominal elastase exposure or BAPN treatment for the thoracic aorta. The tangent modulus was higher in the STD2 group (32.60 ± 9.83 N/cm(2); P = .0456) vs the SHAM2 group (17.99 ± 5.76 N/cm(2)), and the UTS was lower in the ENH2 group (18.05 ± 4.95 N/cm(2); P = .0292) compared with the ENH2b group (35.18 ± 18.60 N/cm(2)). The ENH8 group had the lowest tangent modulus (3.71 ± 3.10 N/cm(2); P = .005) compared with all aortas harvested at 2 weeks and a lower UTS (2.18 ± 2.18 N/cm(2)) compared with both the STD2 (24.84 ± 7.62 N/cm(2); P = .008) and ENH2b (35.18 ± 18.60 N/cm(2); P = .001) groups. Abdominal aortic elastin in the STD2 group (7.41 ± 2.43%; P = .035) was lower compared with the SHAM2 group (15.29 ± 7.66%). Aortic collagen was lower in the STD2 group (4.25 ± 0.79%; P = .007) compared with the SHAM2 group (12.44 ± 6.02%) and higher for the ENH2b (7.55 ± 2.48%; P = .006) compared with the STD2 group. CONCLUSIONS: Enhancing an elastase AAA model with BAPN does not affect the initial (2-week) dilation phase substantially, either mechanically or by altering the matrix content. Late mechanical and matrix effects of prolonged BAPN treatment are limited to the elastase-exposed segment of the aorta. CLINICAL RELEVANCE: This paper explores the use of short- and long-term exposure to beta-aminopropionitrile to create an enhanced topical elastase abdominal aortic aneurysm model in mice. Readouts of aneurysm severity included loss of mechanical stability and vascular extracellular matrix composition reminiscent of what is seen in the course of human disease. Additionally, we show that the thoracic aorta, unlike the findings below the renal arteries, is not damaged in our animal model."
2022 Jan 15,Biology open,Biol Open. 2022 Jan 15;11(1):bio059156. doi: 10.1242/bio.059156. Epub 2022 Jan 7.,"['Nerger, Bryan A', 'Jones, Tia M', 'Rose, Keron W J', 'Barqué, Anna', 'Weinbaum, Justin S', 'Petrie, Ryan J', 'Chang, Joan', 'Vanhoutte, Davy', 'LaDuca, Kendra', 'Hubmacher, Dirk', 'Naba, Alexandra']","[' extracellular matrix', 'humans', ' models, biological', 'bioengineering', 'career development', 'cell-ecm interactions', 'diversity', 'equity, and inclusion', 'microenvironment', 'virtual meeting']",The matrix in focus: new directions in extracellular matrix research from the 2021 ASMB hybrid meeting.,"The extracellular matrix (ECM) is a complex assembly of macromolecules that provides both architectural support and molecular signals to cells and modulate their behaviors. Originally considered a passive mechanical structure, decades of research have since demonstrated how the ECM dynamically regulates a diverse set of cellular processes in development, homeostasis, and disease progression. In September 2021, the American Society for Matrix Biology (ASMB) organized a hybrid scientific meeting, integrating in-person and virtual formats, to discuss the latest developments in ECM research. Here, we highlight exciting scientific advances that emerged from the meeting including (1) the use of model systems for fundamental and translation ECM research, (2) ECM-targeting approaches as therapeutic modalities, (3) cell-ECM interactions, and (4) the ECM as a critical component of tissue engineering strategies. In addition, we discuss how the ASMB incorporated mentoring, career development, and diversity, equity, and inclusion initiatives in both virtual and in-person events. Finally, we reflect on the hybrid scientific conference format and how it will help the ASMB accomplish its mission moving forward."
2021 Nov,Acta biomaterialia,Acta Biomater. 2021 Nov;135:126-138. doi: 10.1016/j.actbio.2021.08.049. Epub 2021 ,"['Lorentz, Katherine L', 'Gupta, Prerak', 'Shehabeldin, Mostafa S', 'Cunnane, Eoghan M', 'Ramaswamy, Aneesh K', 'Verdelis, Konstantinos', 'DiLeo, Morgan V', 'Little, Steven R', 'Weinbaum, Justin S', 'Sfeir, Charles S', 'Mandal, Biman B', 'Vorp, David A']","['animals', ' blood vessel prosthesis', 'chemokine ccl2', 'chemokines', 'ligands', 'rats', 'rats, inbred lew', 'reproducibility of results', ' silk', 'tissue engineering', 'tissue scaffolds', 'vascular patency', 'ccl2', 'chemokine ligand 2', 'lyogel', 'mcp1', 'microparticles', 'monocyte chemoattractant protein 1', 'silk scaffolds', 'vascular tissue engineering']",CCL2 loaded microparticles promote acute patency in silk-based vascular grafts implanted in rat aortae.,"Cardiovascular disease is the leading cause of death worldwide, often associated with coronary artery occlusion. A common intervention for arterial blockage utilizes a vascular graft to bypass the diseased artery and restore downstream blood flow; however, current clinical options exhibit high long-term failure rates. Our goal was to develop an off-the-shelf tissue-engineered vascular graft capable of delivering a biological payload based on the monocyte recruitment factor C-C motif chemokine ligand 2 (CCL2) to induce remodeling. Bi-layered silk scaffolds consisting of an inner porous and outer electrospun layer were fabricated using a custom blend of Antherea Assama and Bombyx Mori silk (lyogel). Lyogel silk scaffolds alone (LG), and lyogel silk scaffolds containing microparticles (LGMP) were tested. The microparticles (MPs) were loaded with either CCL2 (LGMP+) or water (LGMP-). Scaffolds were implanted as abdominal aortic interposition grafts in Lewis rats for 1 and 8 weeks. 1-week implants exhibited patency rates of 50% (7/14), 100% (10/10), and 100% (5/5) in the LGMP-, LGMP+, and LG groups, respectively. The significantly higher patency rate for the LGMP+ group compared to the LGMP- group (p = 0.0188) suggests that CCL2 can prevent acute occlusion. Immunostaining of the explants revealed a significantly higher density of macrophages (CD68+ cells) within the outer vs. inner layer of LGMP- and LGMP+ constructs but not in LG constructs. After 8 weeks, there were no significant differences in patency rates between groups. All patent scaffolds at 8 weeks showed signs of remodeling; however, stenosis was observed within the majority of explants. This study demonstrated the successful fabrication of a custom blended silk scaffold functionalized with cell-mimicking microparticles to facilitate controlled delivery of a biological payload improving their in vivo performance. STATEMENT OF SIGNIFICANCE: This study outlines the development of a custom blended silk-based tissue-engineered vascular graft (TEVG) for use in arterial bypass or replacement surgery. A custom mixture of silk was formulated to improve biocompatibility and cellular binding to the tubular scaffold. Many current approaches to TEVGs include cells that encourage graft cellularization and remodeling; however, our technology incorporates a microparticle based delivery platform capable of delivering bioactive molecules that can mimic the function of seeded cells. In this study, we load the TEVGs with microparticles containing a monocyte attractant and demonstrate improved performance in terms of unobstructed blood flow versus blank microparticles. The acellular nature of this technology potentially reduces risk, increases reproducibility, and results in a more cost-effective graft when compared to cell-based options."
2021 Apr 27,"Bioengineering (Basel, Switzerland)",Bioengineering (Basel). 2021 Apr 27;8(5):51. doi: 10.3390/bioengineering8050051.,"['Cunnane, Eoghan M', 'Ramaswamy, Aneesh K', 'Lorentz, Katherine L', 'Vorp, David A', 'Weinbaum, Justin S']","['aneurysm', 'fibers', 'modulus', 'regenerative medicine', 'vasculature']",Extracellular Vesicles Derived from Primary Adipose Stromal Cells Induce Elastin and Collagen Deposition by Smooth Muscle Cells within 3D Fibrin Gel Culture.,"Macromolecular components of the vascular extracellular matrix (ECM), particularly elastic fibers and collagen fibers, are critical for the proper physiological function of arteries. When the unique biomechanical combination of these fibers is disrupted, or in the ultimate extreme where fibers are completely lost, arterial disease can emerge. Bioengineers in the realms of vascular tissue engineering and regenerative medicine must therefore ideally consider how to create tissue engineered vascular grafts containing the right balance of these fibers and how to develop regenerative treatments for situations such as an aneurysm where fibers have been lost. Previous work has demonstrated that the primary cells responsible for vascular ECM production during development, arterial smooth muscle cells (SMCs), can be induced to make new elastic fibers when exposed to secreted factors from adipose-derived stromal cells. To further dissect how this signal is transmitted, in this study, the factors were partitioned into extracellular vesicle (EV)-rich and EV-depleted fractions as well as unseparated controls. EVs were validated using electron microscopy, dynamic light scattering, and protein quantification before testing for biological effects on SMCs. In 2D culture, EVs promoted SMC proliferation and migration. After 30 days of 3D fibrin construct culture, EVs promoted SMC transcription of the elastic microfibril gene FBN1 as well as SMC deposition of insoluble elastin and collagen. Uniaxial biomechanical properties of strand fibrin constructs were no different after 30 days of EV treatment versus controls. In summary, it is apparent that some of the positive effects of adipose-derived stromal cells on SMC elastogenesis are mediated by EVs, indicating a potential use for these EVs in a regenerative therapy to restore the biomechanical function of vascular ECM in arterial disease."
2021 Feb,Biomaterials,Biomaterials. 2021 Feb;269:120651. doi: 10.1016/j.biomaterials.2021.120651. Epub ,"['Cunnane, Eoghan M', 'Davis, Niall F', 'Cunnane, Connor V', 'Lorentz, Katherine L', 'Ryan, Alan J', 'Hess, Jochen', 'Weinbaum, Justin S', 'Walsh, Michael T', ""O'Brien, Fergal J"", 'Vorp, David A']","[' biomimetics', 'collagen', 'humans', 'male', 'tissue engineering', 'tissue scaffolds', ' urethra', 'collagen-elastin scaffold', 'mechanical properties', 'subcutaneous implant', 'tissue characterisation', 'urethral tissue']","Mechanical, compositional and morphological characterisation of the human male urethra for the development of a biomimetic tissue engineered urethral scaffold.","This study addresses a crucial gap in the literature by characterising the relationship between urethral tissue mechanics, composition and gross structure. We then utilise these data to develop a biomimetic urethral scaffold with physical properties that more accurately mimic the native tissue than existing gold standard scaffolds; small intestinal submucosa (SIS) and urinary bladder matrix (UBM). Nine human urethra samples were mechanically characterised using pressure-diameter and uniaxial extension testing. The composition and gross structure of the tissue was determined using immunohistological staining. A pressure stiffening response is observed during the application of intraluminal pressure. The elastic and viscous tissue responses to extension are free of regional or directional variance. The elastin and collagen content of the tissue correlates significantly with tissue mechanics. Building on these data, a biomimetic urethral scaffold was fabricated from collagen and elastin in a ratio that mimics the composition of the native tissue. The resultant scaffold is comprised of a dense inner layer and a porous outer layer that structurally mimic the submucosa and corpus spongiosum layers of the native tissue, respectively. The porous outer layer facilitated more uniform cell infiltration relative to SIS and UBM when implanted subcutaneously (p < 0.05). The mechanical properties of the biomimetic scaffold better mimic the native tissue compared to SIS and UBM. The tissue characterisation data presented herein paves the way for the development of biomimetic urethral grafts, and the novel scaffold we develop demonstrates positive findings that warrant further in vivo evaluation."
2020,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2020 Oct 23;8:597847. doi: 10.3389/fbioe.2020.597847. ,"['Cunnane, Eoghan M', 'Lorentz, Katherine L', 'Soletti, Lorenzo', 'Ramaswamy, Aneesh K', 'Chung, Timothy K', 'Haskett, Darren G', 'Luketich, Samuel K', 'Tzeng, Edith', ""D'Amore, Antonio"", 'Wagner, William R', 'Weinbaum, Justin S', 'Vorp, David A']","['bulk seeding', 'carotid implantation', 'mesenchyaml stem cells', 'sheep model', 'vascular tissue engineering']","Development of a Semi-Automated, Bulk Seeding Device for Large Animal Model Implantation of Tissue Engineered Vascular Grafts.","Vascular tissue engineering is a field of regenerative medicine that restores tissue function to defective sections of the vascular network by bypass or replacement with a tubular, engineered graft. The tissue engineered vascular graft (TEVG) is comprised of a biodegradable scaffold, often combined with cells to prevent acute thrombosis and initiate scaffold remodeling. Cells are most effectively incorporated into scaffolds using bulk seeding techniques. While our group has been successful in uniform, rapid, bulk cell seeding of scaffolds for TEVG testing in small animals using our well-validated rotational vacuum technology, this approach was not directly translatable to large scaffolds, such as those required for large animal testing or human implants. The objective of this study was to develop and validate a semi-automated cell seeding device that allows for uniform, rapid, bulk seeding of large scaffolds for the fabrication of TEVGs appropriately sized for testing in large animals and eventual translation to humans. Validation of our device revealed successful seeding of cells throughout the length of our tubular scaffolds with homogenous longitudinal and circumferential cell distribution. To demonstrate the utility of this device, we implanted a cell seeded scaffold as a carotid interposition graft in a sheep model for 10 weeks. Graft remodeling was demonstrated upon explant analysis using histological staining and mechanical characterization. We conclude from this work that our semi-automated, rotational vacuum seeding device can successfully seed porous tubular scaffolds suitable for implantation in large animals and provides a platform that can be readily adapted for eventual human use."
2020 Jun 17,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2020 Jun 17;12(24):26955-26965. doi: ,"['Cunnane, Eoghan M', 'Lorentz, Katherine L', 'Ramaswamy, Aneesh K', 'Gupta, Prerak', 'Mandal, Biman B', ""O'Brien, Fergal J"", 'Weinbaum, Justin S', 'Vorp, David A']","['animals', 'cells, cultured', 'exosomes chemistry', 'extracellular vesicles  chemistry', 'humans', 'mesenchymal stem cells cytology', 'rats', 'silk', 'tissue engineering methods', 'tissue scaffolds chemistry', 'aortic graft', 'exosomes', 'mesenchymal stem cells', 'microvesicles', 'vascular tissue engineering']",Extracellular Vesicles Enhance the Remodeling of Cell-Free Silk Vascular Scaffolds in Rat Aortae.,"Vascular tissue engineering is aimed at developing regenerative vascular grafts to restore tissue function by bypassing or replacing defective arterial segments with tubular biodegradable scaffolds. Scaffolds are often combined with stem or progenitor cells to prevent acute thrombosis and initiate scaffold remodeling. However, there are limitations to cell-based technologies regarding safety and clinical translation. Extracellular vesicles (EVs) are nanosized particles released by most cell types, including stem and progenitor cells, that serve to transmit protein and RNA cargo to target cells throughout the body. EVs have been shown to replicate the therapeutic effect of their parent cells; therefore, EVs derived from stem or progenitor cells may serve as a more translatable, cell-free, therapeutic base for vascular scaffolds. Our study aims to determine if EV incorporation provides a positive effect on graft patency and remodeling in vivo. We first assessed the effect of human adipose-derived mesenchymal stem cell (hADMSC) EVs on vascular cells using in vitro bioassays. We then developed an EV-functionalized vascular graft by vacuum-seeding EVs into porous silk-based tubular scaffolds. These constructs were implanted as aortic interposition grafts in Lewis rats, and their remodeling capacity was compared to that observed for hADMSC-seeded and blank (non-seeded) controls. The EV group demonstrated improved patency (100%) compared to the hADMSC (56%) and blank controls (82%) following eight weeks in vivo. The EV group also produced significantly more elastin (126.46%) and collagen (44.59%) compared to the blank group, while the hADMSC group failed to produce significantly more elastin (57.64%) or collagen (11.21%) compared to the blank group. Qualitative staining of the explanted neo-tissue revealed improved endothelium formation, increased smooth muscle cell infiltration, and reduced macrophage numbers in the EV group compared to the controls, which aids in explaining this group's favorable pre-clinical outcomes."
2020 Mar 15,Acta biomaterialia,Acta Biomater. 2020 Mar 15;105:146-158. doi: 10.1016/j.actbio.2020.01.020. Epub ,"['Gupta, Prerak', 'Lorentz, Katherine L', 'Haskett, Darren G', 'Cunnane, Eoghan M', 'Ramaswamy, Aneesh K', 'Weinbaum, Justin S', 'Vorp, David A', 'Mandal, Biman B']","[' absorbable implants', 'adult', 'animals', ' blood vessel prosthesis implantation', 'cell proliferation', 'extracellular matrix metabolism', 'female', 'humans', 'rats, inbred lew', 'silk  chemistry', 'tensile strength', ' tissue engineering', 'tissue scaffolds chemistry', 'biodegradation', 'non-mulberry silk', 'tissue engineering', 'tissue remodeling', 'vascular grafts']",Bioresorbable silk grafts for small diameter vascular tissue engineering applications: In vitro and in vivo functional analysis.,"The success of tissue-engineered vascular graft (TEVG) predominantly relies on the selection of a suitable biomaterial and graft design. Natural biopolymer silk has shown great promise for various tissue-engineering applications. This study is the first to investigate Indian endemic non-mulberry silk (Antheraea assama-AA) - which inherits naturally superior mechanical and biological traits (e.g., RGD motifs) compared to Bombyx mori-BM silk, for TEVG applications. We designed bi-layered biomimetic small diameter AA-BM silk TEVGs adopting a new fabrication methodology. The inner layer showed ideally sized (~40 µm) pores with interconnectivity to allow cellular infiltration, and an outer dense electrospun layer that confers mechanical resilience. Biodegradation of silk TEVGs into amino acids as resorbable byproducts corroborates their in vivo remodeling ability. Following our previous reports, we surgically implanted human adipose tissue-derived stromal vascular fraction (SVF) seeded silk TEVGs in Lewis rats as abdominal aortic interposition grafts for 8 weeks. Adequate suture retention strength (0.45 ± 0.1 N) without any blood seepage post-implantation substantiate the grafts' viability. AA silk-based TEVGs showed superior animal survival and graft patency compared to BM silk TEVGs. Histological analysis revealed neo-tissue formation, host cell infiltration and graft remodeling in terms of extracellular matrix turnover. Altogether, this study demonstrates promising aspects of AA silk TEVGs for vascular tissue engineering applications. STATEMENT OF SIGNIFICANCE: Clinical 'off the shelf' implementation of tissue-engineered vascular grafts (TEVGs) remains a challenge. Achieving optimal blood vessel regeneration requires the use of bioresorbable materials having suitable degradation rates while producing minimal or no toxic byproducts. Host cell recruitment and preventing acute thrombosis are other pre-requisites for successful graft remodeling. In this study, for the first time we explored the use of naturally derived Indian endemic non-mulberry Antheraea assama silk in combination with Bombyx mori silk for TEVG applications by adopting a new biomimetic approach. Our bi-layered silk TEVGs were optimally porous, mechanically resilient and biodegradable. In vivo implantation in rat aorta showed long-term patency and graft remodeling by host cell infiltration and extracellular matrix deposition corroborating their clinical feasibility."
2019 Nov,Matrix biology plus,Matrix Biol Plus. 2019 Sep 4;4:100014. doi: 10.1016/j.mbplus.2019.100014. ,"['Ramaswamy, Aneesh K', 'Sides, Rachel E', 'Cunnane, Eoghan M', 'Lorentz, Katherine L', 'Reines, Leila M', 'Vorp, David A', 'Weinbaum, Justin S']","['aa, aortic aneurysm', 'aca, epsilon-amino caproic acid', 'asc, adipose-derived stromal cell', 'asc-sf, asc secreted factors', 'aneurysm', 'aorta', 'ecm, extracellular matrix', 'elastin', 'extracellular matrix', 'fbs, fetal bovine serum', 'lox, lysyl oxidase', 'loxl-1, lox-like 1', 'ltbp, latent tgf-β binding protein', 'ncm, non-conditioned media', 'nt, no treatment', 'pbs, phosphate buffered saline', 'rt, reverse transcriptase', 'smc, smooth muscle cell', 'tgf-β, transforming growth factor-β', 'vascular regeneration', 'qpcr, quantitative polymerase chain reaction']",Adipose-derived stromal cell secreted factors induce the elastogenesis cascade within 3D aortic smooth muscle cell constructs.,"OBJECTIVE: Elastogenesis within the medial layer of the aortic wall involves a cascade of events orchestrated primarily by smooth muscle cells, including transcription of elastin and a cadre of elastin chaperone matricellular proteins, deposition and cross-linking of tropoelastin coacervates, and maturation of extracellular matrix fiber structures to form mechanically competent vascular tissue. Elastic fiber disruption is associated with aortic aneurysm; in aneurysmal disease a thin and weakened wall leads to a high risk of rupture if left untreated, and non-surgical treatments for small aortic aneurysms are currently limited. This study analyzed the effect of adipose-derived stromal cell secreted factors on each step of the smooth muscle cell elastogenesis cascade within a three-dimensional fibrin gel culture platform. APPROACH AND RESULTS: We demonstrate that adipose-derived stromal cell secreted factors induce an increase in smooth muscle cell transcription of tropoelastin, fibrillin-1, and chaperone proteins fibulin-5, lysyl oxidase, and lysyl oxidase-like 1, formation of extracellular elastic fibers, insoluble elastin and collagen protein fractions in dynamically-active 30-day constructs, and a mechanically competent matrix after 30 days in culture. CONCLUSION: Our results reveal a potential avenue for an elastin-targeted small aortic aneurysm therapeutic, acting as a supplement to the currently employed passive monitoring strategy. Additionally, the elastogenesis analysis workflow explored here could guide future mechanistic studies of elastin formation, which in turn could lead to new non-surgical treatment strategies."
2019,Frontiers in cardiovascular medicine,Front Cardiovasc Med. 2019 May 31;6:74. doi: 10.3389/fcvm.2019.00074. eCollection ,"['Ramaswamy, Aneesh K', 'Vorp, David A', 'Weinbaum, Justin S']","['collagen', 'elastin', 'endothelial cells', 'extracellular matrix', 'smooth muscle cells', 'thrombosis']",Functional Vascular Tissue Engineering Inspired by Matricellular Proteins.,"Modern regenerative medicine, and tissue engineering specifically, has benefited from a greater appreciation of the native extracellular matrix (ECM). Fibronectin, collagen, and elastin have entered the tissue engineer's toolkit; however, as fully decellularized biomaterials have come to the forefront in vascular engineering it has become apparent that the ECM is comprised of more than just fibronectin, collagen, and elastin, and that cell-instructive molecules known as matricellular proteins are critical for desired outcomes. In brief, matricellular proteins are ECM constituents that contrast with the canonical structural proteins of the ECM in that their primary role is to interact with the cell. Of late, matricellular genes have been linked to diseases including connective tissue disorders, cardiovascular disease, and cancer. Despite the range of biological activities, this class of biomolecules has not been actively used in the field of regenerative medicine. The intent of this review is to bring matricellular proteins into wider use in the context of vascular tissue engineering. Matricellular proteins orchestrate the formation of new collagen and elastin fibers that have proper mechanical properties-these will be essential components for a fully biological small diameter tissue engineered vascular graft (TEVG). Matricellular proteins also regulate the initiation of thrombosis via fibrin deposition and platelet activation, and the clearance of thrombus when it is no longer needed-proper regulation of thrombosis will be critical for maintaining patency of a TEVG after implantation. Matricellular proteins regulate the adhesion, migration, and proliferation of endothelial cells-all are biological functions that will be critical for formation of a thrombus-resistant endothelium within a TEVG. Lastly, matricellular proteins regulate the adhesion, migration, proliferation, and activation of smooth muscle cells-proper control of these biological activities will be critical for a TEVG that recellularizes and resists neointimal formation/stenosis. We review all of these functions for matricellular proteins here, in addition to reviewing the few studies that have been performed at the intersection of matricellular protein biology and vascular tissue engineering."
