time,journal,doi_info,authors,key words,title,abstract
2024 Jun 28,Stem cells and development,Stem Cells Dev. 2024 Jun 28. doi: 10.1089/scd.2024.0056.,"['Gavrilescu, Andreea', 'Loder, Shawn J', 'Ricketts, Rachel', 'Lee, Phoebe', 'Ramkumar, Divya', 'Shaaban, Bahaa', 'Elmeanawy, Amr', 'Vagonis, Alexandra', 'Gusenoff, Jeffrey', 'Rubin, J Peter', 'Kokai, Lauren']",[],Vitamin D3 Improves Adipose Stromal Cell Survival and Human Fat Graft Retention in Xenograft Model.,"Adipose stem cells are considered one of the primary drivers of autologous fat graft biologic activity and survival. We have previously demonstrated that hormonally active VD3 improved adipose stem cell viability in ex vivo and in vivo fat grafting models. In this study, we evaluated the inactive form of VD3 (cholecalciferol) on adipose stromal cell (ASC) phenotype during hypoxia and the subsequent effect on human fat graft retention in the xenograft model. Lipoaspirate collected from six human donors was used for ex-vivo particle culture studies and isolated ASC studies. Adipose particles were treated with increasing doses of VD3 to determine impact on ASC survival. Expanded stromal cells were treated with VD3 during hypoxic culture and assessed for viability, apoptosis, mitochondrial activity, and nitric oxide release via caspase, DAF-FM, or TMRM. Finally, forty Nu/J mice receiving bilateral dorsal human lipoaspirate were treated thrice weekly with 1) Vehicle control, 2) 50ng calcitriol, 3) 50ng VD3, 4) 500ng VD3, and 5) 5000ng VD3 for 12 weeks, n=8 per group. Graft weight, volume, and architecture were analyzed. Adipose particles treated with dose escalating VD3 had significantly increased ASC viability compared to control (p<0.01). Under hypoxia, ASCs treated with 1nM VD3 had significantly greater viability than untreated and pre-treated cells (p<0.01, p<0.01) and significantly lower apoptosis-to-viability ratio (p<0.01). ASCs pre-treated with 1nM VD3 had significantly lower nitric oxide release (p<0.05) and lower mitochondrial polarization (p<0.05) compared to controls. In vivo results showed mice receiving 5000ng VD3 had significantly greater graft weight (p<0.05) and volume (p<0.05) after 12 weeks of treatment compared to controls. Grafts had enhanced neovascularization, intact adipocyte architecture, and absence of oil cysts. VD3 is an over-the-counter nutritional supplement with a known safety profile in humans. Our xenograft model suggests administering VD3 at the time of surgery may significantly improve fat graft retention."
2023,Aesthetic surgery journal. Open forum,Aesthet Surg J Open Forum. 2023 Oct 21;5:ojad093. doi: 10.1093/asjof/ojad093. ,"['Loder, Shawn J', 'Bengur, Fuat Baris', 'Lee, Phoebe L', 'Kokai, Lauren']",[],Evolution of the Push-2-Spin Fat Graft Processing Device: Enhancing Efficiency and Reducing Risk of Contamination.,"BACKGROUND: Small-volume fat graft efficiency is a critical determinant of the cost and material effectiveness of aesthetic fat grafting in the clinical space. Recent development of devices, such as the Push-2-Spin (P2S) system (Pittsburgh, PA), has improved upon the process by yielding a rapid, handheld, multi-use system to minimize operative time and mess. OBJECTIVES: In this study, the authors describe further technical innovations on the P2S prototype that improve operative ease of use, time, and safety. METHODS: Abdominoplasty samples were obtained as discarded tissue. Lipoaspirate was collected utilizing a 3.0 mm liposuction cannula and processed through centrifugation (Coleman technique), gauze (telfa) rolling, mesh straining, the tabletop P2S device (prototype), or the P2S handheld (P2S-H) device. Operative processing time, spin time, oil fraction, stromal vascular fraction (SVF) yield and viability, and adipocyte viability were assessed to compare the efficacy and viability of each device/technique. Blood agar smears of lipoaspirate were performed to assess for risk of contamination. RESULTS: The P2S-H device outperformed its prior iteration in rotary and processing speed and was significantly faster than each other technique assessed. Furthermore, the use of an inline system offered significant advantages over open-air techniques in terms of resistance to contamination. Serial use characteristics were assessed; under these conditions, oil yield as well as adipocyte and SVF number and viability was similar between all techniques. CONCLUSIONS: The technical advancements to the P2S system which enable single-unit, handheld operation significantly improve operative time and minimize space requirements. This operative quality of life improvement comes at no cost to the efficacy of oil extraction, cellular yield, or cell viability."
2024,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2024;2783:235-262. doi: 10.1007/978-1-0716-3762-3_16.,"['Amurgis, Charles', 'Nerone, W Vincent', 'Kokai, Lauren']","['humans', ' adipose tissue metabolism', ' adipocytes metabolism', 'spheroids, cellular', 'stromal cells', 'obesity metabolism', 'stem cells metabolism', 'cell differentiation', 'adipose tissue', 'adipose-derived stromal stem cells', 'cell spheroid characterization', 'cell spheroids', 'drug testing', 'three-dimensional cell culture']",Generating and Characterizing Adipose Spheroids from Adipose-Derived Stromal/Stem Cells.,"Advances in technology and automation over the past several decades have made it feasible to perform high-throughput compound screening with cell spheroids, a valuable approach for drug discovery. It is entirely feasible to generate multiple 384-well plates containing adipose spheroids from cryopreserved, single-donor, adipose stem cells, thus incorporating genetic diversity into the discovery stages of research. In this protocol, we describe our method for isolating primary human adipose stem cells and synthesizing cell spheroids comprised of mature adipocytes and stromal cells. Also included are representative outcome measurements useful for characterizing adipocyte metabolism and health. Wherever possible, we describe technologies that can be used to automate characterization and increase throughput."
2024 Jan 1,Plastic and reconstructive surgery,Plast Reconstr Surg. 2024 Jan 1;153(1):79e-90e. doi: ,"['Zhang, Wensheng', 'Lee, Phoebe L', 'Li, Jingjing', 'Komatsu, Chiaki', 'Wang, Yong', 'Sun, Hengyun', 'DeSanto, Marisa', 'Washington, Kia', 'Gorantla, Vijay', 'Kokai, Lauren', 'Solari, Mario G']","['rats', 'animals', 'rabbits', 'rats, inbred lew', ' vascularized composite allotransplantation', 'rats, inbred bn', 'hindlimb surgery', 'allografts', 'cytokines', 'stem cells', 'graft survival', 'immunosuppressive agents']",Local Delivery of Adipose Stem Cells Promotes Allograft Survival in a Rat Hind-Limb Model of Vascularized Composite Allotransplantation.,"BACKGROUND: Adipose stem cells (ASCs) are a promising cell-based immunotherapy because of their minimally invasive harvest, high yield, and immunomodulatory capacity. In this study, the authors investigated the effects of local versus systemic ASC delivery on vascularized composite allotransplant survival and alloimmune regulation. METHODS: Lewis rats received hind-limb transplants from Brown Norway rats and were administered donor-derived ASCs (passage 3 or 4, 1 × 10 6 cells/rat) locally in the allograft, or contralateral limb, or systemically at postoperative day 1. Recipients were treated intraperitoneally with rabbit anti-rat lymphocyte serum on postoperative days 1 and 4 and daily tacrolimus for 21 days. Limb allografts were monitored for clinical signs of rejection. Donor cell chimerism, immune cell differentiation, and cytokine expression in recipient lymphoid organs were measured by flow cytometric analysis. The immunomodulation function of ASCs was tested by mixed lymphocyte reaction assay and ASC stimulation studies. RESULTS: Local-ASC-treated recipients achieved significant prolonged allograft survival (85.7% survived >130 days; n = 6) compared with systemic-ASC and contralateral-ASC groups. Secondary donor skin allografts transplanted to the local-ASC long-term surviving recipients accepted permanently without additional immunosuppression. The increases in donor cell chimerism and regulatory T-cells were evident in blood and draining lymph nodes of the local-ASC group. Moreover, mixed lymphocyte reaction showed that ASCs inhibited donor-specific T-cell proliferation independent of direct ASC-T-cell contact. ASCs up-regulated antiinflammatory molecules in response to cytokine stimulation in vitro. CONCLUSION: Local delivery of ASCs promoted long-term survival and modulated alloimmune responses in a full major histocompatibility complex-mismatched vascularized composite allotransplantation model and was more effective than systemic administration. CLINICAL RELEVANCE STATEMENT: ASCs are a readily available and abundant source of therapeutic cells that could decrease the amount of systemic immunosuppression required to maintain limb and face allografts."
2023 Jun 1,Plastic and reconstructive surgery,Plast Reconstr Surg. 2023 Jun 1;151(6):947e-958e. doi: ,"['Schilling, Benjamin K', 'Baker, Jocelyn S', 'Komatsu, Chiaki', 'Turer, David M', 'Bengur, Fuat Baris', 'Nerone, W Vincent', 'Qin, Feng', 'Cottrill, Adam R', 'Kokai, Lauren E', 'Rubin, J Peter', 'Marra, Kacey G']","['rats', 'animals', 'injections, intramuscular', 'interleukin-18', 'tissue inhibitor of metalloproteinase-1', 'vascular endothelial growth factor a', 'rats, inbred lew', ' sciatic neuropathy', 'sciatic nerve injuries', 'cytokines', ' peripheral nerve injuries', 'nerve regeneration physiology']",Intramuscular Nanofat Injection Promotes Inflammation-Induced Gastrocnemius Regeneration in a Syngeneic Rat Sciatic Nerve Injury Model.,"BACKGROUND: Mechanical emulsification of adipose tissue to concentrate protein and stromal cell components (ie, nanofat) has gained considerable interest in clinical practice. Although the regenerative potential of nanofat has largely been used in aesthetic applications, these effects have considerable potential in reconstruction as well. Here, the authors investigated the therapeutic properties of nanofat injected directly into the denervated gastrocnemius after a sciatic nerve injury in Lewis rats. METHODS: Muscle denervation was induced by transecting and immediately repairing the sciatic nerve. Inguinal and subcutaneous adipose was harvested from donor rodents, processed into nanofat, and then injected intramuscularly into the gastrocnemius. Gait analysis was performed weekly. Rodents were euthanized at 9 and 12 weeks, after which tetanic contraction force was measured, and gene expression, histology, and cytokine multiplexing were performed. RESULTS: Intramuscular injection of nanofat significantly increased maximum tetanic force generation at 9 and 12 weeks. The forces of the nanofat-injected gastrocnemii were better correlated to their contralateral gastrocnemii relative to controls. Muscle repair-associated inflammatory gene expressions were significantly up-regulated in nanofat-injected gastrocnemii. Cytokines interleukin (IL)-1β, IL-18, vascular endothelial growth factor, granulocyte-macrophage colony-stimulating factor, and tissue inhibitor of metalloproteinase-1 were significantly higher in nanofat-injected gastrocnemii relative to control gastrocnemii, and the tetanic force was linearly and significantly correlated to IL-1β and IL-18 and their interacting effects. CONCLUSIONS: Intramuscular injection of emulsified adipose tissue (nanofat) significantly increased gastrocnemii contraction force after sciatic nerve injury, with prolonged reconstructive inflammation by means of CD68, inducible nitric oxide synthase, IL-1β, and IL-18 all being potential mechanisms for this recovery. This application could potentially increase the therapeutic breadth of nanofat to include muscular recovery after nerve injury. CLINICAL RELEVANCE STATEMENT: The authors' study investigates a clinically translatable therapy to mitigate muscle atrophy after nerve injury."
2023 May 15,Aesthetic surgery journal,Aesthet Surg J. 2023 May 15;43(6):NP449-NP465. doi: 10.1093/asj/sjad001.,"['Loder, Shawn', 'Wang, Sheri', 'Amurgis, Charles', 'DeSanto, Marisa', 'Stavros, Alexander G', 'Patadji, Stell', 'Olevian, Dane', 'Lee, Phoebe', 'Guerrero, David', 'Gusenoff, Jeffrey A', 'Peter Rubin, J', 'Kokai, Lauren E']","['mice', 'animals', 'humans', ' adipose tissue transplantation', ' calcitriol pharmacology', 'cholecalciferol pharmacology', 'heterografts', 'adipocytes transplantation', 'disease models, animal', 'graft survival']",Active Vitamin D3 (Calcitriol) Increases Adipose Graft Retention in a Xenograft Model.,"BACKGROUND: Autologous fat grafting, although broadly indicated, is limited by unsatisfactory retention and often requires multiple procedures to achieve durable outcomes. Graft survival is strongly influenced by the magnitude and duration of post-engraftment ischemia. Calcitriol is a pleiotropic, safe nutrient with cell-specific influence on viability and metabolic flux. OBJECTIVES: Evaluate the efficacy of activated vitamin D3 (calcitriol) in improving grafting outcomes and examine its mechanisms. METHODS: Lipoaspirate was collected for ex vivo culture (7 unique donors), in vitro bioenergetic analysis (6 unique donors), and in vivo transplantation (5 unique donors). Ex vivo samples were incubated for up to 2 weeks before extraction of the stromal vascular fraction (SVF) for viability or flow cytometry. SVF was collected for Seahorse (Agilent; Santa Clara, CA) analysis of metabolic activity. Human endothelial cell lines were utilized for analyses of endothelial function. In vivo, samples were implanted into athymic mice with calcitriol treatment either (1) once locally or (2) 3 times weekly via intraperitoneal injection. Grafts were assessed photographically, volumetrically, and histologically at 1, 4, and 12 weeks. Hematoxylin and eosin (H&E), Sirius red, perilipin, HIF1α, and CD31 tests were performed. RESULTS: Calcitriol-treated lipoaspirate demonstrated dose-dependent increases in SVF viability and metabolic reserve during hypoxic stress. Calcitriol treatment enhanced endothelial mobility ex vivo and endothelial function in vitro. In vivo, calcitriol enhanced adipocyte viability, reduced fibrosis, and improved vascularity. Continuous calcitriol was sufficient to improve graft retention at 12 weeks (P < .05). CONCLUSIONS: Calcitriol increased fat graft retention in a xenograft model. Calcitriol has potential to be a simple, economical means of increasing fat graft retention and long-term outcomes."
2023 Sep,Journal of reconstructive microsurgery,J Reconstr Microsurg. 2023 Sep;39(7):493-501. doi: 10.1055/s-0042-1760110. Epub ,"['Bengur, Fuat Baris', 'Chen, Lei', 'Schilling, Benjamin K', 'Komatsu, Chiaki', 'Figlioli, Grace M', 'Marra, Kacey G', 'Kokai, Lauren E', 'Solari, Mario G']","['rats', 'animals', 'sodium dodecyl sulfate pharmacology analysis chemistry', ' free tissue flaps', 'rodentia', 'extracellular matrix chemistry ultrastructure', 'dna analysis pharmacology', 'tissue engineering methods', 'tissue scaffolds']",Automated Decellularization of the Rodent Epigastric Free Flap: A Comparison of Sodium Dodecyl Sulfate-Based Protocols.,"BACKGROUND: Free tissue transfer to cover complex wounds with exposed critical structures results in donor-site morbidity. Perfusion decellularization and recellularization of vascularized composite tissues is an active area of research to fabricate complex constructs without a donor site. Sodium dodecyl sulfate (SDS)-based protocols remain the predominant choice for decellularization despite the deleterious effects on tissue ultrastructure and capillary networks. We aimed to develop an automated decellularization process and compare different SDS perfusion times to optimize the protocol. METHODS: A three-dimensional-printed closed-system bioreactor capable of continuously perfusing fluid through the vasculature was used for decellularization. The artery and vein of rat epigastric fasciocutaneous free flaps were cannulated and connected to the bioreactor. Protocols had varying durations of 1% SDS solution (3, 5, and 10 days) followed by 1 day of 1% Triton X-100 and 1 day of 1x phosphate-buffered saline. The residual DNA was quantified. Microarchitecture of the constructs was assessed with histology, and the vascular network was visualized for qualitative assessment. RESULTS: The structural integrity and the microarchitecture of the extracellular matrix was preserved in the 3- and 5-day SDS perfusion groups; however, the subcutaneous tissue of the 10-day protocol lost its structure. Collagen and elastin structures of the pedicle vessels were not compromised by the decellularization process. Five-day SDS exposure group had the least residual DNA content (p < 0.001). Across all protocols, skin consistently had twice as much residual DNA over the subcutaneous tissues. CONCLUSION: A compact and integrated bioreactor can automate decellularization of free flaps to bioengineer regenerative constructs for future use in reconstruction of complex defects. A decellularization protocol with 5 days of 1% SDS exposure was the most successful to keep the residual DNA content at a minimum while preserving the structural integrity of the tissues."
2023 May-Jun,Facial plastic surgery & aesthetic medicine,Facial Plast Surg Aesthet Med. 2023 May-Jun;25(3):250-257. doi: ,"['Loder, Shawn', 'Sukinik, Joseph', 'Cannon, Matthew', 'Guerrero, David T', 'Seman, Sarah', 'Lee, Phoebe', 'Nerone, Wayne Vincent', 'Shivakumar, Ananya', 'Ricketts, Rachel', 'Yu, Ting-Bin', 'Kokai, Lauren']","['humans', 'animals', 'mice', 'latanoprost therapeutic use', ' liposomes', 'delayed-action preparations', 'adiposity', ' desoxycorticosterone acetate', 'antihypertensive agents pharmacology therapeutic use']","Comparison of Soluble and Liposome Encapsulated, Sustained Release Latanoprost for Focal Adipose Reduction.","Background: To address the lack of non-cytotoxic, non-surgical options to treat undesirable focal adiposity of the face, we propose use of the anti-glaucoma medication and prostaglandin F2α analogue latanoprost, which has a well-described side effect of periorbital adipose shrinkage. Objective: To evaluate the safety and efficacy of soluble and liposomal latanoprost for focal fat reduction. Approach: To compare efficacy, single administrations of either the FDA-approved cytolytic drug deoxycholic acid (DOCA), latanoprost, or liposomal latanoprost were injected into ob/ob mouse inguinal fat pads. Study outcomes included mouse weight, inguinal fat pad volume, architecture, and cytotoxicity. Results: Both DOCA and soluble latanoprost significantly reduced inguinal fat pad volume whereas liposome encapsulation reduced inguinal fat pad volume insignificantly over the 14-day study period. Hematoxylin and eosin demonstrated effective reduction in adipocyte volume without histologic evidence of cytolysis or inflammation whereas DOCA caused dermal ulcerations, adipocyte lysis, and increased tissue inflammation. Conclusion: Latanoprost reduced fat volume without inducing cell lysis or inflammation."
2023 Jan,Wound repair and regeneration : official publication of the Wound Healing Society ,Wound Repair Regen. 2023 Jan;31(1):120-127. doi: 10.1111/wrr.13046. Epub 2022 Sep ,"['Lee, Phoebe L', 'Loder, Shawn J', 'Guerrero, David T', 'Nerone, W Vincent', 'Bengur, Fuat Baris', 'Rubin, J Peter', 'Kokai, Lauren E']","['mice', 'humans', 'animals', ' wound healing', ' diabetes mellitus, experimental pathology', 'reproducibility of results', 'skin pathology', 're-epithelialization', 'chronic wounds', 'diabetes', 'surgical models', 'wound healing']",Use of wound edge inversion (epibole) to generate recalcitrant and inflamed diabetic wounds.,"Robust and predictive pre-clinical models of recalcitrant diabetic wounds are critical for advancing research efforts toward improving healing. Murine models have logistic and genetic benefits versus larger animals; however, native murine healing inadequately represents clinically recalcitrant wounds in humans. Furthermore, current humanization techniques employing devices, deleterious mutations or chemical agents each carry model-specific limitations. To better replicate human wounds in a mouse, we developed a novel wound-edge inversion (WEI) technique that mimics the architecture of epibole and mitigates contracture, epithelialization, and consequently wound closure. In this study, we evaluated the reliability and durability of the WEI model in wild-type and obese diabetic mice and compared to healing after (i) punch biopsy, (ii) mechanical/silicone stenting or (iii) exogenous oxidative stressors. In wild-type mice, WEI demonstrated favourable closure characteristics compared to both control and stented wounds, however, wounds progressed to closure by 4 weeks. In contrast, diabetic WEI wounds persisted for 6-10 weeks with reduced contracture and epithelialization. In both diabetic and wild-type mice, WEI sites demonstrated persistence of inflammatory populations, absence of epithelialization, and histologic presence of alpha-SMA positive granulation tissue when compared to controls. We conclude that the WEI technique is particularly valuable for modelling recalcitrant diabetic wounds with sustained inflammation and dysfunctional healing."
2022 Oct,Stem cells and development,Stem Cells Dev. 2022 Oct;31(19-20):621-629. doi: 10.1089/scd.2021.0355. Epub 2022 ,"['Kokai, Lauren', 'Chen, Joseph', 'Wang, Dong', 'Wang, Sheri', 'Egro, Francesco M', 'Schilling, Benjamin', 'Sun, Hengyun', 'Ejaz, Asim', 'Rubin, J Peter', 'Gusenoff, Jeffrey A', 'Vo, Nam', 'Onishi, Kentaro', 'Sowa, Gwendolyn']","['humans', ' chondrocytes metabolism', 'coculture techniques', ' adipose tissue', 'cartilage', 'phenotype', 'adipose stem cells', 'adipose therapeutics', 'articular chondrocytes', 'cartilage', 'inflammation', 'matrix degradation', 'osteoarthritis']",Comparison of Clinically Relevant Adipose Preparations on Articular Chondrocyte Phenotype in a Novel In Vitro Co-Culture Model.,"Adipose therapeutics, including isolated cell fractions and tissue emulsifications, have been explored for osteoarthritis (OA) treatment; however, the optimal preparation method and bioactive tissue component for healing has yet to be determined. This in vitro study compared the effects of adipose preparations on cultured knee chondrocytes. De-identified human articular chondrocytes were co-cultured with adipose preparations for 36 or 72 h. Human adipose tissues were obtained from abdominal panniculectomy procedures and processed using three different techniques: enzymatic digestion to release stromal vascular fraction (SVF), emulsification with luer-to-luer transfer (nanofat), and processing in a bead-mill (Lipogems, Lipogems International SpA, Milan, Italy). Gene expression in both chondrocytes and adipose preparations was measured to assess cellular inflammation, catabolism, and anabolism. Results demonstrated that chondrocytes cultured with SVF consistently showed increased inflammatory and catabolic gene expression compared with control chondrocytes at both 36- and 72-h timepoints. Alternatively, chondrocytes co-cultured with either nanofat or bead-mill processed adipose derivatives yielded minimal pro-inflammatory effects and instead increased anabolism and regeneration of cartilage extracellular matrix. Interestingly, nanofat preparations induced transient matrix anabolism while Lipogems adipose consistently demonstrated increased matrix synthesis at both study timepoints after co-culture. This evaluation of the regenerative potential of adipose-derived preparations as a clinical tool for knee OA treatment suggests that mechanically processed preparations may be more efficacious than an isolated SVF cell preparation."
