time,journal,doi_info,authors,key words,title,abstract
2024 Jun 13,International journal of molecular sciences,Int J Mol Sci. 2024 Jun 13;25(12):6515. doi: 10.3390/ijms25126515.,"['Adeghate, Jennifer O', 'Epperly, Michael W', 'Davoli, Katherine Anne', 'Lathrop, Kira L', 'Wipf, Peter', 'Hou, Wen', 'Fisher, Renee', 'Thermozier, Stephanie', 'Huq, M Saiful', 'Sahel, Jose-Alain', 'Greenberger, Joel S', 'Eller, Andrew W']","['animals', ' apoptosis drug effects radiation effects', 'mice', ' retina drug effects metabolism radiation effects pathology', ' mitochondria metabolism drug effects radiation effects', ' cell movement drug effects radiation effects', 'mice, inbred c57bl', 'male', 'nitrogen oxides pharmacology', 'inflammation pathology', 'antioxidant', 'apoptosis', 'inflammatory', 'injection', 'intravitreal', 'radiation', 'retinopathy', 'toxicity']","JP4-039, a Mitochondria-Targeted Nitroxide, Mitigates the Effect of Apoptosis and Inflammatory Cell Migration in the Irradiated Mouse Retina.","We hypothesize that the injection of JP4-039, a mitochondria-targeted nitroxide, prior to irradiation of the mouse retina may decrease apoptosis and reduce neutrophil and macrophage migration into the retina. In our study, we aimed to examine the effects of JP4-039 in the mouse retina using fluorescent microscopy, a terminal deoxynucleotidyl transferase dUTP nick end labeling (TUNEL) assay, and flow cytometry. Forty-five mice and one eye per mouse were used. In Group 1, fluorescent microscopy was used to determine retinal uptake of 10 µL (0.004 mg/µL) of intravitreally injected BODIPY-labeled JP4-039 at 0, 15, and 60 min after injection. In Group 2, the TUNEL assay was performed to investigate the rate of apoptosis after irradiation in addition to JP4-039 injection, compared to controls. In Group 3, flow cytometry was used to determine the extent of inflammatory cell migration into the retina after irradiation in addition to JP4-039 injection, compared to controls. Maximal retinal uptake of JP4-039 was 15 min after intravitreal injection (p < 0.0001). JP4-039-treated eyes had lower levels of retinal apoptosis (35.8 ± 2.5%) than irradiated controls (49.0 ± 2.7%; p = 0.0066) and demonstrated reduced migration of N1 cells (30.7 ± 11.7% vs. 77.7 ± 5.3% controls; p = 0.004) and M1 cells (76.6 ± 4.2 vs. 88.1 ± 3.7% controls, p = 0.04). Pretreatment with intravitreally injected JP4-039 reduced apoptosis and inflammatory cell migration in the irradiated mouse retina, marking the first confirmed effect of this molecule in retinal tissue. Further studies may allow for safety profiling and potential use for patients with radiation retinopathy."
2023 Apr,The ocular surface,Ocul Surf. 2023 Apr;28:254-261. doi: 10.1016/j.jtos.2023.05.002. Epub 2023 May 3.,"['Romanowski, Eric G', 'Stella, Nicholas A', 'Brazile, Bryn L', 'Lathrop, Kira L', 'Franks, Jonathan M', 'Sigal, Ian A', 'Kim, Tami', 'Elsayed, Mennat', 'Kadouri, Daniel E', 'Shanks, Robert M Q']","['animals', 'rabbits', 'pseudomonas aeruginosa', ' corneal perforation', ' pseudomonas infections microbiology', ' keratitis drug therapy', 'cornea pathology', 'bacteria', 'cell proliferation', ' eye infections, bacterial microbiology', 'balos', 'bdellovibrio bacteriovorus', 'corneal perforation', 'inflammation', 'keratitis', 'predatory bacteria', 'pseudomonas aeruginosa']",Predatory bacteria can reduce Pseudomonas aeruginosa induced corneal perforation and proliferation in a rabbit keratitis model.,"PURPOSE: Pseudomonas aeruginosa keratitis is a severe ocular infection that can lead to perforation of the cornea. In this study we evaluated the role of bacterial quorum sensing in generating corneal perforation and bacterial proliferation and tested whether co-injection of the predatory bacteria Bdellovibrio bacteriovorus could alter the clinical outcome. P. aeruginosa with lasR mutations were observed among keratitis isolates from a study collecting samples from India, so an isogenic lasR mutant strain of P. aeruginosa was included. METHODS: Rabbit corneas were intracorneally infected with P. aeruginosa strain PA14 or an isogenic ΔlasR mutant and co-injected with PBS or B. bacteriovorus. After 24 h, eyes were evaluated for clinical signs of infection. Samples were analyzed by scanning electron microscopy, optical coherence tomography, sectioned for histology, and corneas were homogenized for CFU enumeration and for inflammatory cytokines. RESULTS: We observed that 54% of corneas infected by wild-type PA14 presented with a corneal perforation (n = 24), whereas only 4% of PA14 infected corneas that were co-infected with B. bacteriovorus perforate (n = 25). Wild-type P. aeruginosa proliferation was reduced 7-fold in the predatory bacteria treated eyes. The ΔlasR mutant was less able to proliferate compared to the wild-type, but was largely unaffected by B. bacteriovorus. CONCLUSION: These studies indicate a role for bacterial quorum sensing in the ability of P. aeruginosa to proliferate and cause perforation of the rabbit cornea. Additionally, this study suggests that predatory bacteria can reduce the virulence of P. aeruginosa in an ocular prophylaxis model."
2023 Mar 15,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Mar 15:2023.03.15.532777. doi: ,"['Romanowski, Eric G', 'Stella, Nicholas A', 'Brazile, Bryn L', 'Lathrop, Kira L', 'Franks, Jonathan', 'Sigal, Ian A', 'Kim, Tami', 'Elsayed, Mennat', 'Kadouri, Daniel E', 'Shanks, Robert M Q']",[],Predatory Bacteria can Reduce Pseudomonas aeruginosa Induced Corneal Perforation and Proliferation in a Rabbit Keratitis Model.,"PURPOSE: Pseudomonas aeruginosa keratitis is a severe ocular infection that can lead to perforation of the cornea. In this study we evaluated the role of bacterial quorum sensing in generating corneal perforation and bacterial proliferation and tested whether co-injection of the predatory bacteria Bdellovibrio bacteriovorus could alter the clinical outcome. P. aeruginosa with lasR mutations were observed among keratitis isolates from a study collecting samples from India, so an isogenic lasR mutant strain of P. aeruginosa was included. METHODS: Rabbit corneas were intracorneally infected with P. aeruginosa strain PA14 or an isogenic Δ lasR mutant and co-injected with PBS or B. bacteriovorus . After 24 h, eyes were evaluated for clinical signs of infection. Samples were analyzed by scanning electron microscopy, optical coherence tomography, sectioned for histology, and corneas were homogenized for CFU enumeration and for inflammatory cytokines. RESULTS: We observed that 54% of corneas infected by wild-type PA14 presented with a corneal perforation (n=24), whereas only 4% of PA14 infected corneas that were co-infected with B. bacteriovorus perforate (n=25). Wild-type P. aeruginosa proliferation was reduced 7-fold in the predatory bacteria treated eyes. The Δ lasR mutant was less able to proliferate compared to the wild-type, but was largely unaffected by B. bacteriovorus . CONCLUSION: These studies indicate a role for bacterial quorum sensing in the ability of P. aeruginosa to proliferate and cause perforation of the rabbit cornea. Additionally, this study suggests that predatory bacteria can reduce the virulence of P. aeruginosa in an ocular prophylaxis model."
2023 Jan,Autophagy,Autophagy. 2023 Jan;19(1):92-111. doi: 10.1080/15548627.2022.2062887. Epub 2022 ,"['Gupta, Urvi', 'Ghosh, Sayan', 'Wallace, Callen T', 'Shang, Peng', 'Xin, Ying', 'Nair, Archana Padmanabhan', 'Yazdankhah, Meysam', 'Strizhakova, Anastasia', 'Ross, Mark A', 'Liu, Haitao', 'Hose, Stacey', 'Stepicheva, Nadezda A', 'Chowdhury, Olivia', 'Nemani, Mihir', 'Maddipatla, Vishnu', 'Grebe, Rhonda', 'Das, Manjula', 'Lathrop, Kira L', 'Sahel, José-Alain', 'Zigler, J Samuel Jr', 'Qian, Jiang', 'Ghosh, Arkasubhra', 'Sergeev, Yuri', 'Handa, James T', 'St Croix, Claudette M', 'Sinha, Debasish']","['animals', 'humans', 'mice', 'antibodies, monoclonal', 'autophagy physiology', ' ferroptosis', 'inflammasomes metabolism', 'lipocalin-2 genetics', ' macular degeneration genetics metabolism pathology', 'mice, inbred nod', 'mice, scid', 'nucleotidyltransferases metabolism', 'atg4b', 'autophagy', 'dry age-related macular degeneration', 'ferroptosis', 'inflammasome', 'iron', 'lipocalin 2', 'monoclonal neutralizing antibody', 'oxidative stress', 'retinal pigmented epithelial cells']",Increased LCN2 (lipocalin 2) in the RPE decreases autophagy and activates inflammasome-ferroptosis processes in a mouse model of dry AMD.,"In dry age-related macular degeneration (AMD), LCN2 (lipocalin 2) is upregulated. Whereas LCN2 has been implicated in AMD pathogenesis, the mechanism remains unknown. Here, we report that in retinal pigmented epithelial (RPE) cells, LCN2 regulates macroautophagy/autophagy, in addition to maintaining iron homeostasis. LCN2 binds to ATG4B to form an LCN2-ATG4B-LC3-II complex, thereby regulating ATG4B activity and LC3-II lipidation. Thus, increased LCN2 reduced autophagy flux. Moreover, RPE cells from cryba1 KO, as well as sting1 KO and Sting1(Gt) mutant mice (models with abnormal iron chelation), showed decreased autophagy flux and increased LCN2, indicative of CGAS- and STING1-mediated inflammasome activation. Live cell imaging of RPE cells with elevated LCN2 also showed a correlation between inflammasome activation and increased fluorescence intensity of the Liperfluo dye, indicative of oxidative stress-induced ferroptosis. Interestingly, both in human AMD patients and in mouse models with a dry AMD-like phenotype (cryba1 cKO and KO), the LCN2 homodimer variant is increased significantly compared to the monomer. Sub-retinal injection of the LCN2 homodimer secreted by RPE cells into NOD-S"
2022 May 23,JCI insight,JCI Insight. 2022 May 23;7(10):e153717. doi: 10.1172/jci.insight.153717.,"['Vats, Abhishek', 'Xi, Yibo', 'Feng, Bing', 'Clinger, Owen D', 'St Leger, Anthony J', 'Liu, Xujie', 'Ghosh, Archisha', 'Dermond, Chase D', 'Lathrop, Kira L', 'Tochtrop, Gregory P', 'Picaud, Serge', 'Chen, Yuanyuan']","['animals', 'disease models, animal', 'homeostasis', 'mice', 'molecular chaperones', 'nih 3t3 cells', 'retinal rod photoreceptor cells metabolism', ' retinitis pigmentosa', ' rhodopsin genetics metabolism', 'g protein&ndash;coupled receptors', 'neuroscience', 'ophthalmology', 'pharmacology', 'protein misfolding']",Nonretinoid chaperones improve rhodopsin homeostasis in a mouse model of retinitis pigmentosa.,"Rhodopsin-associated (RHO-associated) retinitis pigmentosa (RP) is a progressive retinal disease that currently has no cure. RHO protein misfolding leads to disturbed proteostasis and the death of rod photoreceptors, resulting in decreased vision. We previously identified nonretinoid chaperones of RHO, including YC-001 and F5257-0462, by small-molecule high-throughput screening. Here, we profile the chaperone activities of these molecules toward the cell-surface level of 27 RP-causing human RHO mutants in NIH3T3 cells. Furthermore, using retinal explant culture, we show that YC-001 improves retinal proteostasis by supporting RHO homeostasis in RhoP23H/+ mouse retinae, which results in thicker outer nuclear layers (ONL), indicating delayed photoreceptor degeneration. Interestingly, YC-001 ameliorated retinal immune responses and reduced the number of microglia/macrophages in the RhoP23H/+ retinal explants. Similarly, F5257-0462 also protects photoreceptors in RhoP23H/+ retinal explants. In vivo, intravitreal injection of YC-001 or F5257-0462 microparticles in PBS shows that F5257-0462 has a higher efficacy in preserving photoreceptor function and delaying photoreceptor death in RhoP23H/+ mice. Collectively, we provide proof of principle that nonretinoid chaperones are promising drug candidates in treating RHO-associated RP."
2022 Apr 15,"Development (Cambridge, England)",Development. 2022 Apr 15;149(8):dev199694. doi: 10.1242/dev.199694. Epub 2021 Oct ,"['Chen, Si', 'Lathrop, Kira L', 'Kuwajima, Takaaki', 'Gross, Jeffrey M']","['animals', 'animals, genetically modified', 'female', ' immunity, innate', 'janus kinases genetics  immunology', 'male', 'optic nerve injuries genetics  immunology', 'retinal ganglion cells  immunology', 'stat transcription factors genetics  immunology', 'signal transduction genetics  immunology', 'zebrafish genetics  immunology', 'zebrafish proteins genetics  immunology', 'innate immune system', 'jak stat', 'neuroprotection', 'rgc', 'zebrafish']",Retinal ganglion cell survival after severe optic nerve injury is modulated by crosstalk between Jak/Stat signaling and innate immune responses in the zebrafish retina.,"Visual information is transmitted from the eye to the brain along the optic nerve, a structure composed of retinal ganglion cell (RGC) axons. The optic nerve is highly vulnerable to damage in neurodegenerative diseases, such as glaucoma, and there are currently no FDA-approved drugs or therapies to protect RGCs from death. Zebrafish possess remarkable neuroprotective and regenerative abilities. Here, utilizing an optic nerve transection (ONT) injury and an RNA-seq-based approach, we identify genes and pathways active in RGCs that may modulate their survival. Through pharmacological perturbation, we demonstrate that Jak/Stat pathway activity is required for RGC survival after ONT. Furthermore, we show that immune responses directly contribute to RGC death after ONT; macrophages/microglia are recruited to the retina and blocking neuroinflammation or depleting these cells after ONT rescues survival of RGCs. Taken together, these data support a model in which crosstalk between macrophages/microglia and RGCs, mediated by Jak/Stat pathway activity, regulates RGC survival after optic nerve injury."
2021 Sep 17,STAR protocols,STAR Protoc. 2021 Aug 12;2(3):100734. doi: 10.1016/j.xpro.2021.100734. ,"['Yun, Hongmin', 'Lathrop, Kira L', 'St Leger, Anthony J']","['animals', ' cornea anatomy & histology innervation', 'dissection', 'female', 'immunohistochemistry  methods', 'male', 'mice', ' ophthalmic nerve anatomy & histology chemistry cytology', 'microscopy', 'neuroscience']",A whole-mount immunohistochemistry protocol for detection of mouse corneal nerves.,"A cornea is innervated by sensory nerves, which branch into thick trunks, subbasal plexuses, and sensory endings. Appropriate assessment of nerve structure in a tissue provides a more complete understanding of the role of nerves in health and disease. Here, we present a whole-mount immunohistochemistry protocol that facilitates evaluation of nerve architecture throughout the mouse cornea. The fixation step in this protocol allows for reliable detection of nerve structures within the cornea and likely other tissues. For complete details on the use and execution of this protocol, please refer to Yun et al, (2020)."
2020 Nov 17,Immunity,Immunity. 2020 Nov 17;53(5):1050-1062.e5. doi: 10.1016/j.immuni.2020.10.013.,"['Yun, Hongmin', 'Yee, Michael B', 'Lathrop, Kira L', 'Kinchington, Paul R', 'Hendricks, Robert L', 'St Leger, Anthony J']","['adrenergic fibers', 'animals', 'cd4-positive t-lymphocytes  immunology  metabolism', 'cornea immunology  innervation  metabolism virology', 'disease models, animal', 'disease susceptibility', 'fluorescent antibody technique', 'herpesvirus 1, human', 'humans', 'immunophenotyping', 'keratitis, herpetic  etiology metabolism pathology', 'leukocytes immunology metabolism pathology', 'lymphocyte depletion', 'mice', 'myeloid cells  immunology  metabolism', 'neuritis', 'severity of illness index', 'vascular endothelial growth factor a  biosynthesis', 'cd4+ t cells', 'hsv-1', 'vegf-a', 'cornea', 'myeloid cells', 'neuro-immune axis', 'sensory nerves', 'sympathetic nerves']",Production of the Cytokine VEGF-A by CD4(+) T and Myeloid Cells Disrupts the Corneal Nerve Landscape and Promotes Herpes Stromal Keratitis.,"Herpes simplex virus type 1 (HSV-1)-infected corneas can develop a blinding immunoinflammatory condition called herpes stromal keratitis (HSK), which involves the loss of corneal sensitivity due to retraction of sensory nerves and subsequent hyperinnervation with sympathetic nerves. Increased concentrations of the cytokine VEGF-A in the cornea are associated with HSK severity. Here, we examined the impact of VEGF-A on neurologic changes that underly HSK using a mouse model of HSV-1 corneal infection. Both CD4(+) T cells and myeloid cells produced pathogenic levels of VEGF-A within HSV-1-infected corneas, and CD4(+) cell depletion promoted reinnervation of HSK corneas with sensory nerves. In vitro, VEGF-A from infected corneas repressed sensory nerve growth and promoted sympathetic nerve growth. Neutralizing VEGF-A in vivo using bevacizumab inhibited sympathetic innervation, promoted sensory nerve regeneration, and alleviated disease. Thus, VEGF-A can shape the sensory and sympathetic nerve landscape within the cornea, with implications for the treatment of blinding corneal disease."
2020 May,Cornea,Cornea. 2020 May;39(5):657-660. doi: 10.1097/ICO.0000000000002269.,"['Lathrop, Kira L', 'Duncan, Katherine', 'Yu, Jennifer', 'Shah, Parth R', 'Goldstein, Jessie', 'Nischal, Ken K']","['adult', 'cornea  innervation physiopathology', 'corneal diseases physiopathology  surgery', 'epithelium, corneal pathology', 'humans', 'male', 'microscopy, confocal', 'nerve regeneration  physiology', 'nerve transfer  methods', 'sensation  physiology', 'tomography, optical coherence']",Development of Corneal Sensation With Remodeling of the Epithelium and the Palisades of Vogt After Corneal Neurotization.,"PURPOSE: Neurotrophic keratopathy (NK) produces persistent epithelial erosion which is hard to treat effectively. Recently, corneal neurotization surgery has produced reinnervation of the cornea with resolving neurotrophic keratopathy. We hypothesized that the generation of corneal epithelial nerves after neurotization surgery would not only restore the integrity of corneal epithelium but also produce a change in the configuration of the palisades of Vogt (POV), which houses the corneal epithelial stem cells. METHODS: We assessed a patient with unilateral congenital corneal anesthesia with optical coherence tomography pre-neurotization and post-neurotization. RESULTS: Over the course of 2 years, the patient gained corneal epithelial sensation and corneal and limbal epithelium was restored to normal thickness with corresponding changes in the POV. CONCLUSIONS: The intimate relationship between epithelium and sensory nerves of the cornea has been well documented; however, changes in the corneal epithelial stem cell niche in conjunction with development of innervation have not previously been reported. Considering the architecture of the corneal nerves in conjunction with the architecture of the POV may assist in developing treatments that can support the regeneration and maintenance of epithelium during nerve regeneration."
2019 Oct 1,Biomedical optics express,Biomed Opt Express. 2019 Sep 20;10(10):5291-5324. doi: 10.1364/BOE.10.005291. ,"['Ouyang, Jiahong', 'Mathai, Tejas Sudharshan', 'Lathrop, Kira', 'Galeotti, John']",[],Accurate tissue interface segmentation via adversarial pre-segmentation of anterior segment OCT images.,"Optical Coherence Tomography (OCT) is an imaging modality that has been widely adopted for visualizing corneal, retinal and limbal tissue structure with micron resolution. It can be used to diagnose pathological conditions of the eye, and for developing pre-operative surgical plans. In contrast to the posterior retina, imaging the anterior tissue structures, such as the limbus and cornea, results in B-scans that exhibit increased speckle noise patterns and imaging artifacts. These artifacts, such as shadowing and specularity, pose a challenge during the analysis of the acquired volumes as they substantially obfuscate the location of tissue interfaces. To deal with the artifacts and speckle noise patterns and accurately segment the shallowest tissue interface, we propose a cascaded neural network framework, which comprises of a conditional Generative Adversarial Network (cGAN) and a Tissue Interface Segmentation Network (TISN). The cGAN pre-segments OCT B-scans by removing undesired specular artifacts and speckle noise patterns just above the shallowest tissue interface, and the TISN combines the original OCT image with the pre-segmentation to segment the shallowest interface. We show the applicability of the cascaded framework to corneal datasets, demonstrate that it precisely segments the shallowest corneal interface, and also show its generalization capacity to limbal datasets. We also propose a hybrid framework, wherein the cGAN pre-segmentation is passed to a traditional image analysis-based segmentation algorithm, and describe the improved segmentation performance. To the best of our knowledge, this is the first approach to remove severe specular artifacts and speckle noise patterns (prior to the shallowest interface) that affects the interpretation of anterior segment OCT datasets, thereby resulting in the accurate segmentation of the shallowest tissue interface. To the best of our knowledge, this is the first work to show the potential of incorporating a cGAN into larger deep learning frameworks for improved corneal and limbal OCT image segmentation. Our cGAN design directly improves the visualization of corneal and limbal OCT images from OCT scanners, and improves the performance of current OCT segmentation algorithms."
