time,journal,doi_info,authors,key words,title,abstract
2024 Jun 12,Pharmaceutics,Pharmaceutics. 2024 Jun 12;16(6):796. doi: 10.3390/pharmaceutics16060796.,"['Bentley, Elizabeth R', 'Subick, Stacia', 'Pezzillo, Michael', 'Balmert, Stephen C', 'Herbert, Aidan', 'Little, Steven R']","['controlled release', 'critical processing parameters', 'critical quality attributes', 'design of experiments', 'double emulsion', 'drug delivery', 'microparticles', 'polymers', 'quality by design']",Identification and Characterization of Critical Processing Parameters in the Fabrication of Double-Emulsion Poly(lactic-co-glycolic) Acid Microparticles.,"In the past several decades, polymeric microparticles (MPs) have emerged as viable solutions to address the limitations of standard pharmaceuticals and their corresponding delivery methods. While there are many preclinical studies that utilize polymeric MPs as a delivery vehicle, there are limited FDA-approved products. One potential barrier to the clinical translation of these technologies is a lack of understanding with regard to the manufacturing process, hindering batch scale-up. To address this knowledge gap, we sought to first identify critical processing parameters in the manufacturing process of blank (no therapeutic drug) and protein-loaded double-emulsion poly(lactic-co-glycolic) acid MPs through a quality by design approach. We then utilized the design of experiments as a tool to systematically investigate the impact of these parameters on critical quality attributes (e.g., size, surface morphology, release kinetics, inner occlusion size, etc.) of blank and protein-loaded MPs. Our results elucidate that some of the most significant CPPs impacting many CQAs of double-emulsion MPs are those within the primary or single-emulsion process (e.g., inner aqueous phase volume, solvent volume, etc.) and their interactions. Furthermore, our results indicate that microparticle internal structure (e.g., inner occlusion size, interconnectivity, etc.) can heavily influence protein release kinetics from double-emulsion MPs, suggesting it is a crucial CQA to understand. Altogether, this study identifies several important considerations in the manufacturing and characterization of double-emulsion MPs, potentially enhancing their translation."
2022 Dec,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2022 Dec;352:242-255. doi: 10.1016/j.jconrel.2022.10.024. Epub ,"['Acharya, Abhinav P', 'Sezginel, Kutay B', 'Gideon, Hannah P', 'Greene, Ashlee C', 'Lawson, Harrison D', 'Inamdar, Sahil', 'Tang, Ying', 'Fraser, Amy J', 'Patel, Kush V', 'Liu, Chong', 'Rosi, Nathaniel L', 'Chan, Stephen Y', 'Flynn, JoAnne L', 'Wilmer, Christopher E', 'Little, Steven R']","['mice', 'animals', ' pyrazinamide', 'pharmaceutical preparations', ' drug delivery systems', 'antitubercular agents therapeutic use', 'computational mofs', 'drug delivery', 'metal organic frameworks', 'tuberculosis']",In silico identification and synthesis of a multi-drug loaded MOF for treating tuberculosis.,"Conventional drug delivery systems have been applied to a myriad of active ingredients but may be difficult to tailor for a given drug. Herein, we put forth a new strategy, which designs and selects the drug delivery material by considering the properties of encapsulated drugs (even multiple drugs, simultaneously). Specifically, through an in-silico screening process of 5109 MOFs using grand canonical Monte Carlo simulations, a customized MOF (referred as BIO-MOF-100) was selected and experimentally verified to be biologically stable, and capable of loading 3 anti-Tuberculosis drugs Rifampicin+Isoniazid+Pyrazinamide at 10% + 28% + 23% wt/wt (total > 50% by weight). Notably, the customized BIO-MOF-100 delivery system cleared naturally Pyrazinamide-resistant Bacillus Calmette-Guérin, reduced growth of virulent Erdman infection in macaque macrophages 10-100-fold compared to soluble drugs in vitro and was also significantly reduced Erdman growth in mice. These data suggest that the methodology of identifying-synthesizing materials can be used to generate solutions for challenging applications such as simultaneous delivery of multiple, small hydrophilic and hydrophobic molecules in the same molecular framework."
2022 Jul 11,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2022 Jul 11;8(7):2864-2877. doi: ,"['Yonet-Tanyeri, Nihan', 'Amer, Maher', 'Balmert, Stephen C', 'Korkmaz, Emrullah', 'Falo, Louis D Jr', 'Little, Steven R']","[' drug delivery systems', ' microfluidics', 'plga', 'biodegradable microparticles', 'droplet generators', 'drug carriers', 'microfluidics']","Microfluidic Systems For Manufacturing of Microparticle-Based Drug-Delivery Systems: Design, Construction, and Operation.","Particles synthesized from biodegradable polymers hold great potential as controlled drug delivery systems. Continuous flow platforms based on microfluidics offer attractive advantages over conventional batch-emulsification techniques for the scalable fabrication of drug-loaded particles with controlled physicochemical properties. However, widespread utilization of microfluidic technologies for the manufacturing of drug-loaded particles has been hindered largely by the lack of practical guidelines toward cost-effective development and reliable operation of microfluidic systems. Here, we present a framework for rational design and construction of microfluidic systems using commercially available components for high-throughput production of uniform biodegradable particles encapsulating drugs. We also demonstrate successful implementation of this framework to devise a robust microfluidic system that is capable of producing drug-carrying particles with desired characteristics. The guidelines provided in this study will likely help broaden the applicability of microfluidic technologies for the synthesis of high-quality, drug-loaded biodegradable particles."
2022 Mar 23,Scientific reports,Sci Rep. 2022 Mar 23;12(1):5032. doi: 10.1038/s41598-022-09150-8.,"['Greene, Ashlee C', 'Shehabeldin, Mostafa', 'Gao, Jin', 'Balmert, Stephen C', 'Ratay, Michelle', 'Sfeir, Charles', 'Little, Steven R']","[' alveolar bone loss etiology prevention & control', 'animals', ' bone diseases, metabolic', 'disease models, animal', 'gingiva metabolism', 'ligation', 'mice', ' periodontitis microbiology', 't-lymphocytes, regulatory']",Local induction of regulatory T cells prevents inflammatory bone loss in ligature-induced experimental periodontitis in mice.,"Periodontitis (periodontal disease) is a highly prevalent disease, affecting over 65 million adults in the United States alone. Characterized by an overburden of invasive bacteria, gum inflammation and plaque buildup, over time, these symptoms can result in severe loss of gingival tissue attachment, bone resorption and even tooth loss. Although current treatments (local antibiotics and scaling and root planing procedures) target the bacterial dysbiosis, they do not address the underlying inflammatory imbalance in the periodontium. In the healthy steady state, the body naturally combats destructive, imbalanced inflammatory responses through regulatory pathways mediated by cells such as regulatory T cells (Tregs). Consequently, we hypothesized that local enrichment of regulatory lymphocytes (Tregs) could restore local, immunological homeostasis and prevent the main outcome of bone loss. Accordingly, we locally delivered a combination of TGFβ, Rapamycin, and IL2 microspheres in a ligature-induced murine periodontitis model. Herein, we have demonstrated this preventative treatment decreases alveolar bone loss, increases the local ratio of Tregs to T effector cells and changes the local microenvironment's expression of inflammatory and regenerative markers. Ultimately, these Treg-inducing microspheres appear promising as a method to improve periodontitis outcomes and may be able to serve as a platform delivery system to treat other inflammatory diseases."
2022 Mar,Biomaterials,Biomaterials. 2022 Mar;282:121430. doi: 10.1016/j.biomaterials.2022.121430. Epub ,"['Schilling, Andrea L', 'Cannon, Erin', 'Lee, Stella E', 'Wang, Eric W', 'Little, Steven R']","['biocompatible materials therapeutic use', 'chronic disease', 'humans', 'mucous membrane', 'nasal mucosa', 'quality of life', ' rhinitis drug therapy', ' sinusitis drug therapy', 'controlled release', 'in situ hydrogels', 'microparticles', 'nanoparticles', 'paranasal sinuses', 'stents']",Advances in controlled drug delivery to the sinonasal mucosa.,"Controlled drug delivery is a valuable strategy for increasing local therapeutic concentrations in a sustained manner, particularly in locations that are difficult to access. One such target is the sinonasal mucosa, which can be chronically inflamed in patients with rhinitis or rhinosinusitis resulting in diminished quality of life, significant healthcare expenses, and multiple co-morbidities. While numerous medical therapies with daily administration are available, anatomical, physiological, and patient adherence barriers can limit their therapeutic efficacy. As such, there has been considerable development of biomaterial-based systems that can locally deliver anti-inflammatory, antibiotic, decongestant, and antihistamine medications over an extended duration. This review aims to highlight advances in such biomaterial-based systems for sinonasal delivery. Delivery vehicles including nasal packs, dressings, sinus stents, polymeric meshes, nanoparticles, microparticles, and in situ hydrogels are reviewed. Benefits of these vehicles are discussed, as well as their limitations, which, recently, has motivated the development of combination systems that leverage desirable properties of their individual components to enhance therapeutic delivery. Finally, discussion is provided on the potential of combination delivery vehicles, which can provide greater control of the duration of therapeutic release, as well as the ability to encapsulate multiple therapies, provide mechanical support, or conform to the mucosa. The future clinical use of controlled release systems with these attributes could have a transformative impact on improving treatment of difficult-to-control chronic diseases of the sinonasal mucosa."
2022 Mar,Drug delivery and translational research,Drug Deliv Transl Res. 2022 Mar;12(3):708-719. doi: 10.1007/s13346-021-01069-3. ,"['Schilling, Andrea L', 'Cannon, Erin', 'Fullerton-Shirey, Susan K', 'Lee, Stella E', 'Wang, Eric W', 'Little, Steven R']","['freeze drying', 'hydrogels chemistry', 'microspheres', ' paranasal sinuses', 'temperature', 'controlled release', 'freeze drying', 'microspheres', 'mucosal drug delivery', 'thermoresponsive']","A ready-to-use, thermoresponsive, and extended-release delivery system for the paranasal sinuses.","A drug delivery system for the paranasal sinuses consisting of a freeze-dried thermoresponsive hydrogel with degradable microspheres, called FD-TEMPS (Freeze Dried-Thermogel, Extended-release Microsphere-based delivery to the Paranasal Sinuses), was developed. Glass transition temperatures (T(g)') of the maximally freeze concentrated solutions consisting of poly(N-isopropylacrylamide) (pNIPAAm) and polyethylene glycol (PEG) were determined by differential scanning calorimetry, which informed optimization of the thermogel formulation. By replacing low molecular weight (MW) PEG (200 Da) with a higher MW PEG (2000 Da), the resulting freeze-dried gel exhibited a brittle texture, porous structure, and low residual moisture (< 3% measured by thermal gravimetric analysis). When combined with poly(lactic-co-glycolic acid) microspheres (PLGA MSs) and freeze dried, the complete system (FD-TEMPS) exhibited enhanced shelf-stability. Specifically, the smooth, spherical morphology of the MSs and initial release kinetics were maintained following 6 weeks of storage under ambient conditions. Furthermore, FD-TEMPS remained in place after application to a simulated mucosal surface, suggesting that it could be more uniformly distributed along the sinonasal mucosa in vivo. Freeze drying enables this delivery system to be stored as a ready-to-use product for better ease of clinical translation without compromising the thermoresponsive or sustained release characteristics that would enable local delivery of therapeutics to the sinonasal mucosa."
2021 Nov,Advanced drug delivery reviews,Adv Drug Deliv Rev. 2021 Nov;178:113971. doi: 10.1016/j.addr.2021.113971. Epub ,"['Bentley, Elizabeth R', 'Little, Steven R']","['animals', 'homeostasis  drug effects immunology', 'humans', 'immunomodulating agents chemistry  pharmacology', 'immunomodulation drug effects immunology', 'immunosuppression therapy', 'inflammation  drug therapy immunology', 'autoimmunity', 'controlled release', 'hydrogels', 'immune homeostasis', 'inflammation', 'microparticles', 'scaffolds', 'transplant rejection']",Local delivery strategies to restore immune homeostasis in the context of inflammation.,"Immune homeostasis is maintained by a precise balance between effector immune cells and regulatory immune cells. Chronic deviations from immune homeostasis, driven by a greater ratio of effector to regulatory cues, can promote the development and propagation of inflammatory diseases/conditions (i.e., autoimmune diseases, transplant rejection, etc.). Current methods to treat chronic inflammation rely upon systemic administration of non-specific small molecules, resulting in broad immunosuppression with unwanted side effects. Consequently, recent studies have developed more localized and specific immunomodulatory approaches to treat inflammation through the use of local biomaterial-based delivery systems. In particular, this review focuses on (1) local biomaterial-based delivery systems, (2) common materials used for polymeric-delivery systems and (3) emerging immunomodulatory trends used to treat inflammation with increased specificity."
2021 Nov,Acta biomaterialia,Acta Biomater. 2021 Nov;135:126-138. doi: 10.1016/j.actbio.2021.08.049. Epub 2021 ,"['Lorentz, Katherine L', 'Gupta, Prerak', 'Shehabeldin, Mostafa S', 'Cunnane, Eoghan M', 'Ramaswamy, Aneesh K', 'Verdelis, Konstantinos', 'DiLeo, Morgan V', 'Little, Steven R', 'Weinbaum, Justin S', 'Sfeir, Charles S', 'Mandal, Biman B', 'Vorp, David A']","['animals', ' blood vessel prosthesis', 'chemokine ccl2', 'chemokines', 'ligands', 'rats', 'rats, inbred lew', 'reproducibility of results', ' silk', 'tissue engineering', 'tissue scaffolds', 'vascular patency', 'ccl2', 'chemokine ligand 2', 'lyogel', 'mcp1', 'microparticles', 'monocyte chemoattractant protein 1', 'silk scaffolds', 'vascular tissue engineering']",CCL2 loaded microparticles promote acute patency in silk-based vascular grafts implanted in rat aortae.,"Cardiovascular disease is the leading cause of death worldwide, often associated with coronary artery occlusion. A common intervention for arterial blockage utilizes a vascular graft to bypass the diseased artery and restore downstream blood flow; however, current clinical options exhibit high long-term failure rates. Our goal was to develop an off-the-shelf tissue-engineered vascular graft capable of delivering a biological payload based on the monocyte recruitment factor C-C motif chemokine ligand 2 (CCL2) to induce remodeling. Bi-layered silk scaffolds consisting of an inner porous and outer electrospun layer were fabricated using a custom blend of Antherea Assama and Bombyx Mori silk (lyogel). Lyogel silk scaffolds alone (LG), and lyogel silk scaffolds containing microparticles (LGMP) were tested. The microparticles (MPs) were loaded with either CCL2 (LGMP+) or water (LGMP-). Scaffolds were implanted as abdominal aortic interposition grafts in Lewis rats for 1 and 8 weeks. 1-week implants exhibited patency rates of 50% (7/14), 100% (10/10), and 100% (5/5) in the LGMP-, LGMP+, and LG groups, respectively. The significantly higher patency rate for the LGMP+ group compared to the LGMP- group (p = 0.0188) suggests that CCL2 can prevent acute occlusion. Immunostaining of the explants revealed a significantly higher density of macrophages (CD68+ cells) within the outer vs. inner layer of LGMP- and LGMP+ constructs but not in LG constructs. After 8 weeks, there were no significant differences in patency rates between groups. All patent scaffolds at 8 weeks showed signs of remodeling; however, stenosis was observed within the majority of explants. This study demonstrated the successful fabrication of a custom blended silk scaffold functionalized with cell-mimicking microparticles to facilitate controlled delivery of a biological payload improving their in vivo performance. STATEMENT OF SIGNIFICANCE: This study outlines the development of a custom blended silk-based tissue-engineered vascular graft (TEVG) for use in arterial bypass or replacement surgery. A custom mixture of silk was formulated to improve biocompatibility and cellular binding to the tubular scaffold. Many current approaches to TEVGs include cells that encourage graft cellularization and remodeling; however, our technology incorporates a microparticle based delivery platform capable of delivering bioactive molecules that can mimic the function of seeded cells. In this study, we load the TEVGs with microparticles containing a monocyte attractant and demonstrate improved performance in terms of unobstructed blood flow versus blank microparticles. The acellular nature of this technology potentially reduces risk, increases reproducibility, and results in a more cost-effective graft when compared to cell-based options."
2021 Aug,Advanced materials technologies,Adv Mater Technol. 2021 Aug;6(8):2001138. doi: 10.1002/admt.202001138. Epub 2021 ,"['Yonet-Tanyeri, Nihan', 'Ahlmark, Benjamin Z', 'Little, Steven R']","['cancer detection', 'biomarkers', 'multiplexing', 'paper-based devices', 'signal amplification']",Advances in Multiplexed Paper-Based Analytical Devices for Cancer Diagnosis: A Review of Technological Developments.,"Cancer is one of the leading causes of death worldwide producing estimated cost of $161.2 billion in the US in 2017 only. Early detection of cancer would not only reduce cancer mortality rates but also dramatically reduce healthcare costs given that the 17 million new cancer cases in 2018 are estimated to grow 27.5 million new cases by 2040. Analytical devices based upon paper substrates could provide effective, rapid, and extremely low cost alternatives for early cancer detection compared to existing testing methods. However, low concentrations of biomarkers in body fluids as well as the possible association of any given biomarker with multiple diseases remain as one of the greatest challenges to widespread adoption of these paper-based devices. However, recent advances have opened the possibility of detecting multiple biomarkers within the same device, which could be predictive of a patient's condition with unprecedented cost-effectiveness. Accordingly, this review highlights the recent advancements in paper-based analytical devices with a multiplexing focus. The primary areas of interest include lateral flow assay and microfluidic paper-based assay formats, signal amplification approaches to enhance the sensitivity for a specific cancer type, along with current challenges and future outlook for the detection of multiple cancer biomarkers."
2021 Nov,Macromolecular bioscience,Macromol Biosci. 2021 Nov;21(11):e2100277. doi: 10.1002/mabi.202100277. Epub 2021 ,"['Schilling, Andrea L', 'Carcella, Adam R', 'Moore, John', 'Zahid, Maliha', 'Lo, Cecilia', 'Wang, Eric W', 'Lee, Stella E', 'Little, Steven R']","[' biocompatible materials', 'cilia  drug effects physiology', ' drug delivery systems', 'microspheres', 'regeneration  drug effects', 'sinusitis  drug therapy', 'temperature', 'biocompatibility', 'cilia', 'mucosal drug delivery', 'retinoids', 'thermoresponsive hydrogel']",Compatibility of a Thermoresponsive and Controlled Release System for Promoting Sinonasal Cilia Regeneration.,"The current clinical goal for managing chronic rhinosinusitis (CRS), a heterogenous disease of the paranasal sinuses, is to control inflammation, yet adjunct therapies that promote mucosal regeneration can improve the long-term health of the upper airways. The small natural openings to the sinuses, however, limit the efficacy of traditional drug delivery methods (i.e., nasal sprays and irrigation). Accordingly, a conformable thermoresponsive and controlled release system (""TEMPS"", Thermogel, Extended-release Microsphere-based delivery to the Paranasal Sinuses) is developed. The poly(lactic-co-glycolic acid) microsphere component enables the encapsulation of numerous therapeutics, such as retinoic acid (RA), an analog of vitamin A (VA). Studies in CRS patients and preclinical models have shown that aqueous RA or VA gels promoted the differentiation of ciliated cells and improved mucosal healing following repeat applications. In the present study, TEMPS is designed for the controlled release of RA such that a single dose of RA-TEMPS delivers bioactive drug for at least 30 days. Furthermore, as TEMPS will be in direct contact with sinonasal tissue, its compatibility with ciliated human nasal epithelium is explored. After ex vivo incubation in thermogel for 24 h, cilia motility is maintained, providing evidence that TEMPS can be compatible for application along the sinonasal epithelium."
