time,journal,doi_info,authors,key words,title,abstract
2024 Jun,The Journal of thoracic and cardiovascular surgery,J Thorac Cardiovasc Surg. 2024 Jun;167(6):2015-2024. doi: ,"['Fortunato, Ronald N', 'Huckaby, Lauren V', 'Emerel, Leonid V', 'Schlosser, Virginia', 'Yang, Fan', 'Phillippi, Julie A', 'Vorp, David A', 'Maiti, Spandan', 'Gleason, Thomas G']","['humans', ' aortic dissection physiopathology diagnostic imaging', ' vascular stiffness', ' finite element analysis', 'male', 'female', 'middle aged', ' aortic aneurysm physiopathology diagnostic imaging', ' echocardiography', 'models, cardiovascular', 'aged', 'predictive value of tests', 'aorta physiopathology diagnostic imaging', 'stress, mechanical', 'dilatation, pathologic', 'aneurysm pathophysiology', 'aortic dissection', 'aortic wall stiffness', 'aortic wall tensile stress', 'computational modeling', 'dissection risk prediction', 'stress analysis']",The predictive capability of aortic stiffness index for aortic dissection among dilated ascending aortas.,"OBJECTIVE: We created a finite element model to predict the probability of dissection based on imaging-derived aortic stiffness and investigated the link between stiffness and wall tensile stress using our model. METHODS: Transthoracic echocardiogram measurements were used to calculate aortic diameter change over the cardiac cycle. Aortic stiffness index was subsequently calculated based on diameter change and blood pressure. A series of logistic models were developed to predict the binary outcome of aortic dissection using 1 or more series of predictor parameters such as aortic stiffness index or patient characteristics. Finite element analysis was performed on a subset of diameter-matched patients exhibiting patient-specific material properties. RESULTS: Transthoracic echocardiogram scans of patients with type A aortic dissection (n = 22) exhibited elevated baseline aortic stiffness index when compared with aneurysmal patients' scans with tricuspid aortic valve (n = 83, P < .001) and bicuspid aortic valve (n = 80, P < .001). Aortic stiffness index proved an excellent discriminator for a future dissection event (area under the curve, 0.9337, odds ratio, 2.896). From the parametric finite element study, we found a correlation between peak longitudinal wall tensile stress and stiffness index (ρ = .6268, P < .001, n = 28 pooled). CONCLUSIONS: Noninvasive transthoracic echocardiogram-derived aortic stiffness measurements may serve as an impactful metric toward predicting aortic dissection or quantifying dissection risk. A correlation between longitudinal stress and stiffness establishes an evidence-based link between a noninvasive stiffness parameter and stress state of the aorta with clinically apparent dissection events."
2022 Dec,Annals of biomedical engineering,Ann Biomed Eng. 2022 Dec;50(12):1771-1786. doi: 10.1007/s10439-022-02979-0. Epub ,"['Williams, Jessica G', 'Marlevi, David', 'Bruse, Jan L', 'Nezami, Farhad R', 'Moradi, Hamed', 'Fortunato, Ronald N', 'Maiti, Spandan', 'Billaud, Marie', 'Edelman, Elazer R', 'Gleason, Thomas G']","['humans', ' aortic dissection diagnostic imaging', 'aorta', 'aorta, thoracic diagnostic imaging', 'hemodynamics', 'aortic aneurysm', 'statistical shape analysis', 'type a aortic dissection']",Aortic Dissection is Determined by Specific Shape and Hemodynamic Interactions.,"The aim of this study was to determine whether specific three-dimensional aortic shape features, extracted via statistical shape analysis (SSA), correlate with the development of thoracic ascending aortic dissection (TAAD) risk and associated aortic hemodynamics. Thirty-one patients followed prospectively with ascending thoracic aortic aneurysm (ATAA), who either did (12 patients) or did not (19 patients) develop TAAD, were included in the study, with aortic arch geometries extracted from computed tomographic angiography (CTA) imaging. Arch geometries were analyzed with SSA, and unsupervised and supervised (linked to dissection outcome) shape features were extracted with principal component analysis (PCA) and partial least squares discriminant analysis (PLS-DA), respectively. We determined PLS-DA to be effective at separating dissection and no-dissection patients ([Formula: see text]), with decreased tortuosity and more equal ascending and descending aortic diameters associated with higher dissection risk. In contrast, neither PCA nor traditional morphometric parameters (maximum diameter, tortuosity, or arch volume) were effective at separating dissection and no-dissection patients. The arch shapes associated with higher dissection probability were supported with hemodynamic insight. Computational fluid dynamics (CFD) simulations revealed a correlation between the PLS-DA shape features and wall shear stress (WSS), with higher maximum WSS in the ascending aorta associated with increased risk of dissection occurrence. Our work highlights the potential importance of incorporating higher dimensional geometric assessment of aortic arch anatomy in TAAD risk assessment, and in considering the interdependent influences of arch shape and hemodynamics as mechanistic contributors to TAAD occurrence."
2022 Oct,Journal of neurointerventional surgery,J Neurointerv Surg. 2022 Oct;14(10):1002-1007. doi: ,"['Salimi Ashkezari, Seyedeh Fatemeh', 'Mut, Fernando', 'Slawski, Martin', 'Cheng, Boyle', 'Yu, Alexander K', 'White, Tim G', 'Woo, Henry H', 'Koch, Matthew J', 'Amin-Hanjani, Sepideh', 'Charbel, Fady T', 'Rezai Jahromi, Behnam', 'Niemelä, Mika', 'Koivisto, Timo', 'Frosen, Juhana', 'Tobe, Yasutaka', 'Maiti, Spandan', 'Robertson, Anne M', 'Cebral, Juan R']","['humans', ' aneurysm, ruptured epidemiology', 'cross-sectional studies', 'hemodynamics', 'hydrodynamics', ' intracranial aneurysm complications diagnostic imaging surgery', 'machine learning', 'aneurysm', 'blood flow', 'hemorrhage', 'statistics']","Prediction of bleb formation in intracranial aneurysms using machine learning models based on aneurysm hemodynamics, geometry, location, and patient population.","BACKGROUND: Bleb presence in intracranial aneurysms (IAs) is a known indication of instability and vulnerability. OBJECTIVE: To develop and evaluate predictive models of bleb development in IAs based on hemodynamics, geometry, anatomical location, and patient population. METHODS: Cross-sectional data (one time point) of 2395 IAs were used for training bleb formation models using machine learning (random forest, support vector machine, logistic regression, k-nearest neighbor, and bagging). Aneurysm hemodynamics and geometry were characterized using image-based computational fluid dynamics. A separate dataset with 266 aneurysms was used for model evaluation. Model performance was quantified by the area under the receiving operating characteristic curve (AUC), true positive rate (TPR), false positive rate (FPR), precision, and balanced accuracy. RESULTS: The final model retained 18 variables, including hemodynamic, geometrical, location, multiplicity, and morphology parameters, and patient population. Generally, strong and concentrated inflow jets, high speed, complex and unstable flow patterns, and concentrated, oscillatory, and heterogeneous wall shear stress patterns together with larger, more elongated, and more distorted shapes were associated with bleb formation. The best performance on the validation set was achieved by the random forest model (AUC=0.82, TPR=91%, FPR=36%, misclassification error=27%). CONCLUSIONS: Based on the premise that aneurysm characteristics prior to bleb formation resemble those derived from vascular reconstructions with their blebs virtually removed, machine learning models can identify aneurysms prone to bleb development with good accuracy. Pending further validation with longitudinal data, these models may prove valuable for assessing the propensity of IAs to progress to vulnerable states and potentially rupturing."
2021 Feb 11,Scientific reports,Sci Rep. 2021 Feb 11;11(1):3587. doi: 10.1038/s41598-021-83154-8.,"['Sharifi Kia, Danial', 'Fortunato, Ronald', 'Maiti, Spandan', 'Simon, Marc A', 'Kim, Kang']","['animals', 'biomechanical phenomena', 'disease models, animal', 'heart ventricles  diagnostic imaging physiopathology', 'humans', 'hypertension, pulmonary  diagnostic imaging physiopathology', 'hypertrophy, right ventricular diagnostic imaging genetics physiopathology', 'myocytes, cardiac pathology', 'swine', 'ventricular dysfunction, right  diagnostic imaging genetics physiopathology', 'ventricular function, right genetics physiology', 'ventricular pressure physiology', 'ventricular remodeling genetics  physiology']",An exploratory assessment of stretch-induced transmural myocardial fiber kinematics in right ventricular pressure overload.,"Right ventricular (RV) remodeling and longitudinal fiber reorientation in the setting of pulmonary hypertension (PH) affects ventricular structure and function, eventually leading to RV failure. Characterizing the kinematics of myocardial fibers helps better understanding the underlying mechanisms of fiber realignment in PH. In the current work, high-frequency ultrasound imaging and structurally-informed finite element (FE) models were employed for an exploratory evaluation of the stretch-induced kinematics of RV fibers. Image-based experimental evaluation of fiber kinematics in porcine myocardium revealed the capability of affine assumptions to effectively approximate myofiber realignment in the RV free wall. The developed imaging framework provides a noninvasive modality to quantify transmural RV myofiber kinematics in large animal models. FE modeling results demonstrated that chronic pressure overload, but not solely an acute rise in pressures, results in kinematic shift of RV fibers towards the longitudinal direction. Additionally, FE simulations suggest a potential protective role for concentric hypertrophy (increased wall thickness) against fiber reorientation, while eccentric hypertrophy (RV dilation) resulted in longitudinal fiber realignment. Our study improves the current understanding of the role of different remodeling events involved in transmural myofiber reorientation in PH. Future experimentations are warranted to test the model-generated hypotheses."
2021 Jul,Journal of neurointerventional surgery,J Neurointerv Surg. 2021 Jul;13(7):642-646. doi: 10.1136/neurintsurg-2020-016601. ,"['Salimi Ashkezari, Seyedeh Fatemeh', 'Mut, Fernando', 'Chung, Bong Jae', 'Yu, Alexander K', 'Stapleton, Christopher J', 'See, Alfred P', 'Amin-Hanjani, Sepideh', 'Charbel, Fady T', 'Rezai Jahromi, Behnam', 'Niemelä, Mika', 'Frösen, Juhana', 'Maiti, Spandan', 'Robertson, Anne M', 'Cebral, Juan R']","['female', 'humans', 'male', ' aneurysm, ruptured diagnostic imaging physiopathology surgery', ' hemodynamics physiology', ' hydrodynamics', 'imaging, three-dimensional methods', ' intracranial aneurysm diagnostic imaging physiopathology surgery', 'microsurgery methods', 'risk factors', 'stress, mechanical', 'aneurysm', 'hemorrhage']",Hemodynamics in aneurysm blebs with different wall characteristics.,"BACKGROUND: Blebs are important secondary structures of intracranial aneurysms associated with increased rupture risk and can affect local wall stress and hemodynamics. Mechanisms of bleb development and evolution are not clearly understood. We investigate the relationship between blebs with different wall characteristics and local hemodynamics and rupture sites. METHODS: Blebs with different wall appearances in intra-operative videos were analyzed with image-based computational fluid dynamics. Thin red blebs were compared against thick atherosclerotic/hyperplastic white/yellow blebs. Rupture points were identified in videos of ruptured aneurysms harboring blebs. RESULTS: Thin blebs tended to be closer to the inflow than atherosclerotic blebs of the same aneurysm (P=0.0234). Blebs near the inflow had higher velocity (P=0.0213), vorticity (P=0.0057), shear strain rate (P=0.0084), wall shear stress (WSS) (P=0.0085), and WSS gradient (P=0.0151) than blebs far from the inflow. In a subset of 12 ruptured aneurysms harboring blebs, rupture points were associated with thin blebs in 42% of aneurysms, atherosclerotic blebs in 25%, and were away from blebs in the remaining 33%. CONCLUSIONS: Not all blebs are equal; some have thin translucent walls while others have thick atherosclerotic walls. Thin blebs tend to be located closer to the inflow than atherosclerotic blebs. Blebs near the inflow are exposed to stronger flows with higher and spatially variable WSS than blebs far from the inflow which tend to have uniformly lower WSS. Aneurysms can rupture at thin blebs, atherosclerotic blebs, and even away from blebs. Further study of wall failure in aneurysms with different bleb types is needed."
2021 Mar,Journal of neurointerventional surgery,J Neurointerv Surg. 2021 Mar;13(3):226-230. doi: 10.1136/neurintsurg-2020-016274. ,"['Salimi Ashkezari, Seyedeh Fatemeh', 'Detmer, Felicitas J', 'Mut, Fernando', 'Chung, Bong Jae', 'Yu, Alexander K', 'Stapleton, Christopher J', 'See, Alfred P', 'Amin-Hanjani, Sepideh', 'Charbel, Fady T', 'Rezai Jahromi, Behnam', 'Niemelä, Mika', 'Frösen, Juhana', 'Zhou, Ji', 'Maiti, Spandan', 'Robertson, Anne M', 'Cebral, Juan R']","['adult', 'aged', 'aged, 80 and over', 'female', 'humans', 'male', 'middle aged', ' aneurysm, ruptured diagnostic imaging epidemiology surgery', 'carotid artery, internal physiopathology', 'cerebral angiography methods', 'hypertension diagnostic imaging epidemiology surgery', ' intracranial aneurysm diagnostic imaging epidemiology surgery', 'prevalence', 'risk factors', 'smoking adverse effects epidemiology', 'aneurysm', 'hemorrhage']",Blebs in intracranial aneurysms: prevalence and general characteristics.,"BACKGROUND: Blebs are rupture risk factors in intracranial aneurysms (IAs), but their prevalence, distribution, and associations with clinical factors as well as their causes and effects on aneurysm vulnerability remain unclear. METHODS: A total of 122 blebs in 270 IAs selected for surgery were studied using patient-specific vascular reconstructions from 3D angiographic images. Bleb geometry, location on the aneurysm, and frequency of occurrence in aneurysms at different locations were analyzed. Associations between gender, age, smoking, hypertension, hormone therapy, dental infection, and presence of blebs were investigated. RESULTS: Of all aneurysms with blebs, 77% had a single bleb and 23% had multiple blebs. Only 6% of blebs were at the neck, while 46% were in the body and 48% in the dome. Aneurysms with blebs were larger (p<0.0001), more elongated (p=0.0002), and with wider necks than aneurysms without blebs. Bleb presence was associated with dental infection (p=0.0426) and negatively associated with hormone therapy (p=0.0426) in women. Anterior and posterior communicating arteries had larger percentages of aneurysms with blebs than internal carotid arteries. Patients with a history of hypertension tended to have a larger percentage of aneurysms with blebs. However, these trends did not reach significance in this sample. CONCLUSIONS: Blebs are common in IAs, and most aneurysms harboring blebs have a single bleb. Blebs in the aneurysm neck are rare, but they are equally common in the body and dome. The presence of blebs in IAs was associated with dental infection, and negatively associated with hormone replacement therapy."
2020 Jul 17,Journal of biomechanics,J Biomech. 2020 Jul 17;108:109903. doi: 10.1016/j.jbiomech.2020.109903. Epub 2020 ,"['Ferrer, Gerald A', 'Fortunato, Ronald N', 'Musahl, Volker', 'Maiti, Spandan', 'Debski, Richard E']","['humans', ' rotator cuff', ' rotator cuff injuries', 'rupture', 'tendons', 'finite element method', 'rotator cuff tear', 'supraspinatus tendon', 'tear propagation']",Effect of localized tendon remodeling on supraspinatus tear propagation.,"Rotator cuff tear propagation is multifactorial and may be due to localized changes in mechanical properties from tendon remodeling based on the inhomogeneous stresses experienced by a tendon with a tear. The objective of this study was to investigate the effect of localized tendon remodeling on tear propagation for simulated supraspinatus tendon tears. A validated computational model of a supraspinatus tendon using subject-specific geometry and material properties with a 1 cm wide anterior tear was used. The medial edge of the supraspinatus tendon was displaced 5 mm to induce tear propagation and cohesive elements were used to model tear propagation. Four remodeling scenarios were investigated: (1) Baseline (no remodeling), (2) Positive remodeling (increased fiber stiffness) and (3) Negative remodeling (decreased fiber stiffness) at tear tips, and (4) Negative remodeling along the medial-lateral tear edge. Output parameters included the amount of tear propagation, critical load to propagate the tear, and maximum principal stress at the tear tips. Positive remodeling at the tear tips resulted in the largest amount of tear propagation (18.4 mm), highest peak maximum principal stress (25.2 MPa), and lowest critical load to propagate the tear (249N). Conversely, negative remodeling at the tear tips resulted in the least amount of tear propagation (16 mm), lowest peak maximum principal stress (17.6 MPa) and highest critical load to propagate the tear (278N). Overall, remodeling at the tear tips has the greatest effect on tear propagation. Therefore, a better method for clinicians to measure tendon stiffness at the tear tips would be helpful to improve outcome of patients."
2020 Jul 17,Journal of biomechanics,J Biomech. 2020 Jul 17;108:109884. doi: 10.1016/j.jbiomech.2020.109884. Epub 2020 ,"['Maiti, Spandan', 'Thunes, James R', 'Fortunato, Ronald N', 'Gleason, Thomas G', 'Vorp, David A']","[' aortic dissection', 'aorta', ' aortic aneurysm, thoracic', 'aortic valve', 'biomechanical phenomena', 'humans', 'stress, mechanical', 'tensile strength', 'aortic dissection', 'biaxial loading', 'fiber orientation', 'finite element model', 'physiologic tissue strength', 'structural modelling', 'tissue failure']",Computational modeling of the strength of the ascending thoracic aortic media tissue under physiologic biaxial loading conditions.,"Type A Aortic Dissection (TAAD) is a life-threatening condition involving delamination of ascending aortic media layers. While current clinical guidelines recommend surgical intervention for aneurysm diameter > 5.5 cm, high incidence of TAAD in patients below this diameter threshold indicates the pressing need for improved evidence-based risk prediction metrics. Construction of such metrics will require the knowledge of the biomechanical failure properties of the aortic wall tissue under biaxial loading conditions. We utilized a fiber-level finite element based structural model of the aortic tissue to quantify the relationship between aortic tissue strength and physiologically relevant biaxial stress state for nonaneurysmal and aneurysmal patient cohorts with tricuspid aortic valve phenotype. We found that the model predicted strength of the aortic tissue under physiologic biaxial loading conditions depends on the stress biaxiality ratio, defined by the ratio of the longitudinal and circumferential components of the tissue stress. We determined that predicted biaxial tissue strength is statistically similar to its uniaxial circumferential strength below biaxiality ratios of 0.68 and 0.69 for nonaneurysmal and aneurysmal cohorts, respectively. Beyond this biaxiality ratio, predicted biaxial strength for both cohorts reduced drastically to a magnitude statistically similar to its longitudinal strength. We identified fiber-level failure mechanisms operative under biaxial stress state governing aforementioned tissue failure behavior. These findings are an important first step towards the development of mechanism-based TAAD risk assessment metrics for early identification of high-risk patients."
2019 Aug 6,Interface focus,Interface Focus. 2019 Aug 6;9(4):20190011. doi: 10.1098/rsfs.2019.0011. Epub 2019 ,"['Routzong, Megan R', 'Moalli, Pamela A', 'Maiti, Spandan', 'De Vita, Raffaella', 'Abramowitch, Steven D']","['biomechanics', 'finite-element model', 'perineal body', 'pubovisceral muscle', 'superficial perineal structures', 'vaginal delivery']",Novel simulations to determine the impact of superficial perineal structures on vaginal delivery.,"This study's aim was to determine whether the inclusion of superficial perineal structures in a finite-element simulation of vaginal delivery impacts the pubovisceral muscle and perineal body, two common sites of birth-related injury. The hypothesis, inferred from prevailing literature, was that these structures would have minimal influence (differences less than ±10%). Two models were made using the Visible Human Project's female cadaver to create a rigid, fixed pelvis, musculature held by spring attachments to that pelvis, and a rigid, ellipsoidal fetal head prescribed with an inferior displacement to simulate delivery. Injury site stretch ratios and fetal head and perineal body displacements and angles of progression were compared between the Omitted Model (which excluded the superficial perineal structures as is common practice) and the Included Model (which included them). Included Model stretch ratios were +107%, -9.84% and -14.6% compared to Omitted Model perineal body and right and left pubovisceral muscles, respectively. Included Model peak perineal body inferior displacement was +72.5% greater while similar anterior-posterior displacements took longer to reach. These results refute our hypothesis, suggesting superficial perineal structures impact simulations of vaginal delivery by inhibiting perineal body anterior-posterior displacement, which stretches and inferiorly displaces the perineal body."
2019 Dec,Biomechanics and modeling in mechanobiology,Biomech Model Mechanobiol. 2019 Dec;18(6):1791-1807. doi: ,"['Fortunato, Ronald N', 'Robertson, Anne M', 'Sang, Chao', 'Maiti, Spandan']","['animals', 'arteries  physiopathology', 'biomechanical phenomena', ' computer simulation', 'finite element analysis', 'humans', 'models, biological', 'sheep', 'tensile strength', 'arterial tissue failure properties', 'cohesive-volumetric finite-element method', 'fracture toughness', 'intrinsic strength', 'post-peak behavior', 'uniaxial testing']",Computational modeling reveals the relationship between intrinsic failure properties and uniaxial biomechanical behavior of arterial tissue.,"Biomechanical failure of the artery wall can lead to rupture, a catastrophic event with a high rate of mortality. Thus, there is a pressing need to understand failure behavior of the arterial wall. Uniaxial testing remains the most common experimental technique to assess tissue failure properties. However, the relationship between intrinsic failure parameters of the tissue and measured uniaxial failure properties is not fully established. Furthermore, the effect of the experimental variables, such as specimen shape and boundary conditions, on the measured failure properties is not well understood. We developed a finite element model capable of recapitulating pre-failure and post-failure uniaxial biomechanical response of the arterial tissue specimen. Intrinsic stiffness, strength and fracture toughness of the vessel wall tissue were used as the input material parameters to the model. Two uniaxial testing protocols were considered: a conventional setup with a rectangular specimen held at the grips by cardboard inserts, and the other used a dogbone specimen with soft foam inserts at the grips. Our computational study indicated negligible differences in the peak stress and post-peak mechanical behavior between these two testing protocols. It was also found that the tissue experienced only modest localized failure until higher levels of applied stretch beyond the peak stress. A robust cohesive model was capable of modeling the post-peak biomechanical response, which was primarily governed by tissue fracture toughness. Our results suggest that the post-peak region, in conjunction with the peak stress, must be considered to evaluate the complete biomechanical failure behavior of the soft tissue."
