time,journal,doi_info,authors,key words,title,abstract
2024 Jun 3,Nature communications,Nat Commun. 2024 Jun 3;15(1):4724. doi: 10.1038/s41467-024-48796-y.,"['Das, Sudipta', 'Kaminski, Tomasz W', 'Schlegel, Brent T', 'Bain, William', 'Hu, Sanmei', 'Patel, Akruti', 'Kale, Sagar L', 'Chen, Kong', 'Lee, Janet S', 'Mallampalli, Rama K', 'Kagan, Valerian E', 'Rajasundaram, Dhivyaa', 'McVerry, Bryan J', 'Sundd, Prithu', 'Kitsios, Georgios D', 'Ray, Anuradha', 'Ray, Prabir']","['animals', ' galectin 3 metabolism genetics', ' neutrophils immunology metabolism', 'humans', ' lipopolysaccharides', 'mice', ' pseudomonas aeruginosa', ' pseudomonas infections immunology', ' mice, inbred c57bl', 'male', 'female', 'respiratory insufficiency metabolism', 'mice, knockout', 'phagocytosis', 'immunity, innate', 'galectins metabolism genetics']",Neutrophils and galectin-3 defend mice from lethal bacterial infection and humans from acute respiratory failure.,"Respiratory infection by Pseudomonas aeruginosa, common in hospitalized immunocompromised and immunocompetent ventilated patients, can be life-threatening because of antibiotic resistance. This raises the question of whether the host's immune system can be educated to combat this bacterium. Here we show that prior exposure to a single low dose of lipopolysaccharide (LPS) protects mice from a lethal infection by P. aeruginosa. LPS exposure trained the innate immune system by promoting expansion of neutrophil and interstitial macrophage populations distinguishable from other immune cells with enrichment of gene sets for phagocytosis- and cell-killing-associated genes. The cell-killing gene set in the neutrophil population uniquely expressed Lgals3, which encodes the multifunctional antibacterial protein, galectin-3. Intravital imaging for bacterial phagocytosis, assessment of bacterial killing and neutrophil-associated galectin-3 protein levels together with use of galectin-3-deficient mice collectively highlight neutrophils and galectin-3 as central players in LPS-mediated protection. Patients with acute respiratory failure revealed significantly higher galectin-3 levels in endotracheal aspirates (ETAs) of survivors compared to non-survivors, galectin-3 levels strongly correlating with a neutrophil signature in the ETAs and a prognostically favorable hypoinflammatory plasma biomarker subphenotype. Taken together, our study provides impetus for harnessing the potential of galectin-3-expressing neutrophils to protect from lethal infections and respiratory failure."
2024 Feb,Experimental & molecular medicine,Exp Mol Med. 2024 Feb;56(2):395-407. doi: 10.1038/s12276-024-01160-y. Epub 2024 ,"['Miao, Jiaxing', 'Li, Lian', 'Shaheen, Nargis', 'Wei, Jianxin', 'Jacko, Anastasia M', 'Sundd, Prithu', 'Taleb, Sarah J', 'Mallampalli, Rama K', 'Zhao, Yutong', 'Zhao, Jing']","['animals', 'mice', ' heat-shock proteins', ' lung injury', 'endotoxins', 'inflammation', 'deubiquitinating enzymes']",The deubiquitinase USP40 preserves endothelial integrity by targeting the heat shock protein HSP90β.,"Endothelial cell (EC) barrier disruption and inflammation are the pathological hallmarks of vascular disorders and acute infectious diseases and related conditions, including the coronavirus disease 2019 (COVID-19) and sepsis. Ubiquitination plays a critical role in regulating the stability, intracellular trafficking, and enzymatic activity of proteins and is reversed by deubiquitinating enzymes (DUBs). The role of DUBs in endothelial biology is largely unknown. In this study, we report that USP40, a poorly characterized DUB, prevents EC barrier disruption through reductions in the activation of RhoA and phosphorylation of myosin light chain (MLC) and cofilin. Furthermore, USP40 reduces EC inflammation through the attenuation of NF-ĸB activation, ICAM1 expression, and leukocyte-EC adhesion. We further show that USP40 activity and expression are reduced in response to endotoxin challenge. Global depletion of USP40 and EC-targeted USP40 depletion in mice exacerbated experimental lung injury, whereas lentiviral gene transfer of USP40 protected against endotoxin-induced lung injury. Using an unbiased approach, we discovered that the protective effect of USP40 occurs through the targeting of heat shock protein 90β (HSP90β) for its deubiquitination and inactivation. Together, these data reveal a critical protective role of USP40 in vascular injury, identifying a unique mechanistic pathway that profoundly impacts endothelial function via DUBs."
2024 Jan 1,ImmunoHorizons,Immunohorizons. 2024 Jan 1;8(1):122-135. doi: 10.4049/immunohorizons.2300104.,"['Gonzalez-Ferrer, Shekina', 'Peñaloza, Hernán F', 'van der Geest, Rick', 'Xiong, Zeyu', 'Gheware, Atish', 'Tabary, Mohammadreza', 'Kochin, Megan', 'Dalton, Kathryn', 'Zou, Henry', 'Lou, Dequan', 'Lockwood, Karina', 'Zhang, Yingze', 'Bain, William G', 'Mallampalli, Rama K', 'Ray, Anuradha', 'Ray, Prabir', 'Van Tyne, Daria', 'Chen, Kong', 'Lee, Janet S']","['animals', 'mice', 'interleukin-17', 'klebsiella pneumoniae', 'lung microbiology', 'myeloid cells', ' neutrophils immunology', ' stat1 transcription factor metabolism', ' klebsiella infections immunology']",STAT1 Employs Myeloid Cell-Extrinsic Mechanisms to Regulate the Neutrophil Response and Provide Protection against Invasive Klebsiella pneumoniae Lung Infection.,"Klebsiella pneumoniae (KP) is an extracellular Gram-negative bacterium that causes infections in the lower respiratory and urinary tracts and the bloodstream. STAT1 is a master transcription factor that acts to maintain T cell quiescence under homeostatic conditions. Although STAT1 helps defend against systemic spread of acute KP intrapulmonary infection, whether STAT1 regulation of T cell homeostasis impacts pulmonary host defense during acute bacterial infection and injury is less clear. Using a clinical KP respiratory isolate and a pneumonia mouse model, we found that STAT1 deficiency led to an early neutrophil-dominant transcriptional profile and neutrophil recruitment in the lung preceding widespread bacterial dissemination and lung injury development. Yet, myeloid cell STAT1 was dispensable for control of KP proliferation and dissemination, because myeloid cell-specific STAT1-deficient (LysMCre/WT;Stat1fl/fl) mice showed bacterial burden in the lung, liver, and kidney similar to that of their wild-type littermates. Surprisingly, IL-17-producing CD4+ T cells infiltrated Stat1-/- murine lungs early during KP infection. The increase in Th17 cells in the lung was not due to preexisting immunity against KP and was consistent with circulating rather than tissue-resident CD4+ T cells. However, blocking global IL-17 signaling with anti-IL-17RC administration led to increased proliferation and dissemination of KP, suggesting that IL-17 provided by other innate immune cells is essential in defense against KP. Contrastingly, depletion of CD4+ T cells reduced Stat1-/- murine lung bacterial burden, indicating that early CD4+ T cell activation in the setting of global STAT1 deficiency is pathogenic. Altogether, our findings suggest that STAT1 employs myeloid cell-extrinsic mechanisms to regulate neutrophil responses and provides protection against invasive KP by restricting nonspecific CD4+ T cell activation and immunopathology in the lung."
2024 Feb 26,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2024 Feb 26;63(9):e202314710. doi: ,"['Samovich, Svetlana N', 'Mikulska-Ruminska, Karolina', 'Dar, Haider H', 'Tyurina, Yulia Y', 'Tyurin, Vladimir A', 'Souryavong, Austin B', 'Kapralov, Alexander A', 'Amoscato, Andrew A', 'Beharier, Ofer', 'Karumanchi, S Ananth', 'St Croix, Claudette M', 'Yang, Xin', 'Holman, Theodore R', 'VanDemark, Andrew P', 'Sadovsky, Yoel', 'Mallampalli, Rama K', 'Wenzel, Sally E', 'Gu, Wei', 'Bunimovich, Yuri L', 'Bahar, Ivet', 'Kagan, Valerian E', 'Bayir, Hülya']","[' phosphatidylethanolamines metabolism', ' arachidonate 15-lipoxygenase metabolism', 'cell death', 'phospholipids metabolism', 'fatty acids, unsaturated metabolism', 'lipid peroxidation', 'cell death', 'mass spectrometry', 'oxidation', 'phospholipids', 'redox lipidomics']",Strikingly High Activity of 15-Lipoxygenase Towards Di-Polyunsaturated Arachidonoyl/Adrenoyl-Phosphatidylethanolamines Generates Peroxidation Signals of Ferroptotic Cell Death.,"The vast majority of membrane phospholipids (PLs) include two asymmetrically positioned fatty acyls: oxidizable polyunsaturated fatty acids (PUFA) attached predominantly at the sn2 position, and non-oxidizable saturated/monounsaturated acids (SFA/MUFA) localized at the sn1 position. The peroxidation of PUFA-PLs, particularly sn2-arachidonoyl(AA)- and sn2-adrenoyl(AdA)-containing phosphatidylethanolamines (PE), has been associated with the execution of ferroptosis, a program of regulated cell death. There is a minor subpopulation (≈1-2 mol %) of doubly PUFA-acylated phospholipids (di-PUFA-PLs) whose role in ferroptosis remains enigmatic. Here we report that 15-lipoxygenase (15LOX) exhibits unexpectedly high pro-ferroptotic peroxidation activity towards di-PUFA-PEs. We revealed that peroxidation of several molecular species of di-PUFA-PEs occurred early in ferroptosis. Ferrostatin-1, a typical ferroptosis inhibitor, effectively prevented peroxidation of di-PUFA-PEs. Furthermore, co-incubation of cells with di-AA-PE and 15LOX produced PUFA-PE peroxidation and induced ferroptotic death. The decreased contents of di-PUFA-PEs in ACSL4 KO A375 cells was associated with lower levels of di-PUFA-PE peroxidation and enhanced resistance to ferroptosis. Thus, di-PUFA-PE species are newly identified phospholipid peroxidation substrates and regulators of ferroptosis, representing a promising therapeutic target for many diseases related to ferroptotic death."
2024 Feb 1,The Journal of clinical investigation,J Clin Invest. 2024 Feb 1;134(3):e169441. doi: 10.1172/JCI169441.,"['Piper, Bryce', 'Bogamuwa, Srimathi', 'Hossain, Tanvir', 'Farkas, Daniela', 'Rosas, Lorena', 'Green, Adam C', 'Newcomb, Geoffrey', 'Sun, Nuo', 'Ovando-Ricardez, Jose A', 'Horowitz, Jeffrey C', 'Bhagwani, Aneel R', 'Yang, Hu', 'Kudryashova, Tatiana V', 'Rojas, Mauricio', 'Mora, Ana L', 'Yan, Pearlly', 'Mallampalli, Rama K', 'Goncharova, Elena A', 'Eckmann, David M', 'Farkas, Laszlo']","['animals', 'humans', 'mice', 'rats', 'familial primary pulmonary hypertension metabolism', ' hypertension, pulmonary etiology', 'hypoxia metabolism', 'lung metabolism', 'pulmonary artery metabolism', 'autophagy', 'cellular senescence', 'endothelial cells', 'pulmonology']",RAB7 deficiency impairs pulmonary artery endothelial function and promotes pulmonary hypertension.,impairs pulmonary artery endothelial function and promotes pulmonary hypertension.LID - 10.1172/J
2023 May,ERJ open research,ERJ Open Res. 2023 Jun 26;9(3):00702-2022. doi: 10.1183/23120541.00702-2022. ,"['Bain, William', 'Tabary, Mohammadreza', 'Moore, Sara R', 'An, Xiaojing', 'Kitsios, Georgios D', 'McVerry, Bryan J', 'Ray, Prabir', 'Ray, Anuradha', 'Mallampalli, Rama K', 'Ferreira, Viviana P', 'Lee, Janet S', 'Nouraie, S Mehdi']",[],"Factor H preserves alternative complement function during ARDS, linked to improved survival.","BACKGROUND: Effective regulation of complement activation may be crucial to preserving complement function during acute respiratory distress syndrome (ARDS). Factor H is the primary negative regulator of the alternative pathway of complement. We hypothesised that preserved factor H levels are associated with decreased complement activation and reduced mortality during ARDS. METHODS: Total alternative pathway function was measured by serum haemolytic assay (AH50) using available samples from the ARDSnet Lisofylline and Respiratory Management of Acute Lung Injury (LARMA) trial (n=218). Factor B and factor H levels were quantified using ELISA using samples from the ARDSnet LARMA and Statins for Acutely Injured Lungs from Sepsis (SAILS) (n=224) trials. Meta-analyses included previously quantified AH50, factor B and factor H values from an observational registry (Acute Lung Injury Registry and Biospecimen Repository (ALIR)). Complement C3, and complement activation products C3a and Ba plasma levels were measured in SAILS. RESULTS: AH50 greater than the median was associated with reduced mortality in meta-analysis of LARMA and ALIR (hazard ratio (HR) 0.66, 95%"
2023 Jun 20,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2023 Jun 20;120(25):e2218896120. doi: ,"['Dar, Haider H', 'Mikulska-Ruminska, Karolina', 'Tyurina, Yulia Y', 'Luci, Diane K', 'Yasgar, Adam', 'Samovich, Svetlana N', 'Kapralov, Alexander A', 'Souryavong, Austin B', 'Tyurin, Vladimir A', 'Amoscato, Andrew A', 'Epperly, Michael W', 'Shurin, Galina V', 'Standley, Melissa', 'Holman, Theodore R', 'St Croix, Claudette M', 'Watkins, Simon C', 'VanDemark, Andrew P', 'Rana, Sandeep', 'Zakharov, Alexey V', 'Simeonov, Anton', 'Marugan, Juan', 'Mallampalli, Rama K', 'Wenzel, Sally E', 'Greenberger, Joel S', 'Rai, Ganesha', 'Bayir, Hülya', 'Bahar, Ivet', 'Kagan, Valerian E']","[' ferroptosis', 'glutathione metabolism', 'iron metabolism', 'lipid peroxidation', 'lipids', 'oxidation-reduction', ' phosphatidylethanolamine binding protein antagonists & inhibitors', '15-lipoxygenase', 'pebp1', 'ferroptosis', 'inhibitor design', 'lipid peroxidation']",Discovering selective antiferroptotic inhibitors of the 15LOX/PEBP1 complex noninterfering with biosynthesis of lipid mediators.,"Programmed ferroptotic death eliminates cells in all major organs and tissues with imbalanced redox metabolism due to overwhelming iron-catalyzed lipid peroxidation under insufficient control by thiols (Glutathione (GSH)). Ferroptosis has been associated with the pathogenesis of major chronic degenerative diseases and acute injuries of the brain, cardiovascular system, liver, kidneys, and other organs, and its manipulation offers a promising new strategy for anticancer therapy. This explains the high interest in designing new small-molecule-specific inhibitors against ferroptosis. Given the role of 15-lipoxygenase (15LOX) association with phosphatidylethanolamine (PE)-binding protein 1 (PEBP1) in initiating ferroptosis-specific peroxidation of polyunsaturated PE, we propose a strategy of discovering antiferroptotic agents as inhibitors of the 15LOX/PEBP1 catalytic complex rather than 15LOX alone. Here we designed, synthesized, and tested a customized library of 26 compounds using biochemical, molecular, and cell biology models along with redox lipidomic and computational analyses. We selected two lead compounds, FerroLOXIN-1 and 2, which effectively suppressed ferroptosis in vitro and in vivo without affecting the biosynthesis of pro-/anti-inflammatory lipid mediators in vivo. The effectiveness of these lead compounds is not due to radical scavenging or iron-chelation but results from their specific mechanisms of interaction with the 15LOX-2/PEBP1 complex, which either alters the binding pose of the substrate [eicosatetraenoyl-PE (ETE-PE)] in a nonproductive way or blocks the predominant oxygen channel thus preventing the catalysis of ETE-PE peroxidation. Our successful strategy may be adapted to the design of additional chemical libraries to reveal new ferroptosis-targeting therapeutic modalities."
2023 May 20,Respiratory research,Respir Res. 2023 May 20;24(1):136. doi: 10.1186/s12931-023-02447-w.,"['Suber, Tomeka L', 'Wendell, Stacy G', 'Mullett, Steven J', 'Zuchelkowski, Benjamin', 'Bain, William', 'Kitsios, Georgios D', 'McVerry, Bryan J', 'Ray, Prabir', 'Ray, Anuradha', 'Mallampalli, Rama K', 'Zhang, Yingze', 'Shah, Faraaz', 'Nouraie, Seyed Mehdi', 'Lee, Janet S']","['humans', 'acetylcarnitine', 'case-control studies', 'biomarkers', ' respiratory distress syndrome diagnosis', ' respiratory insufficiency diagnosis complications', 'fatty acids', 'acute respiratory distress syndrome', 'acylcarnitines', 'fatty acid oxidation', 'metabolomics', 'subphenotypes']",Serum metabolomic signatures of fatty acid oxidation defects differentiate host-response subphenotypes of acute respiratory distress syndrome.,"BACKGROUND: Fatty acid oxidation (FAO) defects have been implicated in experimental models of acute lung injury and associated with poor outcomes in critical illness. In this study, we examined acylcarnitine profiles and 3-methylhistidine as markers of FAO defects and skeletal muscle catabolism, respectively, in patients with acute respiratory failure. We determined whether these metabolites were associated with host-response ARDS subphenotypes, inflammatory biomarkers, and clinical outcomes in acute respiratory failure. METHODS: In a nested case-control cohort study, we performed targeted analysis of serum metabolites of patients intubated for airway protection (airway controls), Class 1 (hypoinflammatory), and Class 2 (hyperinflammatory) ARDS patients (N = 50 per group) during early initiation of mechanical ventilation. Relative amounts were quantified by liquid chromatography high resolution mass spectrometry using isotope-labeled standards and analyzed with plasma biomarkers and clinical data. RESULTS: Of the acylcarnitines analyzed, octanoylcarnitine levels were twofold increased in Class 2 ARDS relative to Class 1 ARDS or airway controls (P = 0.0004 and < 0.0001, respectively) and was positively associated with Class 2 by quantile g-computation analysis (P = 0.004). In addition, acetylcarnitine and 3-methylhistidine were increased in Class 2 relative to Class 1 and positively correlated with inflammatory biomarkers. In all patients within the study with acute respiratory failure, increased 3-methylhistidine was observed in non-survivors at 30 days (P = 0.0018), while octanoylcarnitine was increased in patients requiring vasopressor support but not in non-survivors (P = 0.0001 and P = 0.28, respectively). CONCLUSIONS: This study demonstrates that increased levels of acetylcarnitine, octanoylcarnitine, and 3-methylhistidine distinguish Class 2 from Class 1 ARDS patients and airway controls. Octanoylcarnitine and 3-methylhistidine were associated with poor outcomes in patients with acute respiratory failure across the cohort independent of etiology or host-response subphenotype. These findings suggest a role for serum metabolites as biomarkers in ARDS and poor outcomes in critically ill patients early in the clinical course."
2024 Feb,Antioxidants & redox signaling,Antioxid Redox Signal. 2024 Feb;40(4-6):317-328. doi: 10.1089/ars.2022.0154. Epub ,"['Kagan, Valerian E', 'Straub, Adam C', 'Tyurina, Yulia Y', 'Kapralov, Alexandr A', 'Hall, Robert', 'Wenzel, Sally E', 'Mallampalli, Rama K', 'Bayir, Hülya']","[' ubiquinone', 'vitamin e', ' ferroptosis', 'oxidation-reduction', 'oxidoreductases metabolism', 'lipid peroxidation', 'free radicals metabolism', 'electron transport complex i metabolism', 'coenzyme q', 'cytochrome b5 reductase', 'electron transporters', 'ferroptosis', 'ferroptosis suppressing protein 1', 'free radical reductase', 'phosphatidylethanoamine peroxidation', 'vitamin e']","Vitamin E/Coenzyme Q-Dependent ""Free Radical Reductases"": Redox Regulators in Ferroptosis.","Significance: Lipid peroxidation and its products, oxygenated polyunsaturated lipids, act as essential signals coordinating metabolism and physiology and can be deleterious to membranes when they accumulate in excessive amounts. Recent Advances: There is an emerging understanding that regulation of polyunsaturated fatty acid (PUFA) phospholipid peroxidation, particularly of PUFA-phosphatidylethanolamine, is important in a newly discovered type of regulated cell death, ferroptosis. Among the most recently described regulatory mechanisms is the ferroptosis suppressor protein, which controls the peroxidation process due to its ability to reduce coenzyme Q (CoQ). Critical Issues: In this study, we reviewed the most recent data in the context of the concept of free radical reductases formulated in the 1980-1990s and focused on enzymatic mechanisms of CoQ reduction in different membranes (e.g., mitochondrial, endoplasmic reticulum, and plasma membrane electron transporters) as well as TCA cycle components and cytosolic reductases capable of recycling the high antioxidant efficiency of the CoQ/vitamin E system. Future Directions: We highlight the importance of individual components of the free radical reductase network in regulating the ferroptotic program and defining the sensitivity/tolerance of cells to ferroptotic death. Complete deciphering of the interactive complexity of this system may be important for designing effective antiferroptotic modalities. Antioxid. Redox Signal. 40, 317-328."
2023 Feb 17,iScience,iScience. 2023 Jan 5;26(2):105935. doi: 10.1016/j.isci.2023.105935. eCollection ,"['Bhagwani, Aneel R', 'Ali, Mehboob', 'Piper, Bryce', 'Liu, Mingjun', 'Hudson, Jaylen', 'Kelly, Neil', 'Bogamuwa, Srimathi', 'Yang, Hu', 'Londino, James D', 'Bednash, Joseph S', 'Farkas, Daniela', 'Mallampalli, Rama K', 'Nicolls, Mark R', 'Ryan, John J', 'Thompson, A A Roger', 'Chan, Stephen Y', 'Gomez, Delphine', 'Goncharova, Elena A', 'Farkas, Laszlo']","['biological sciences', 'cell biology', 'molecular biology']",A p53-TLR3 axis ameliorates pulmonary hypertension by inducing BMPR2 via IRF3.,"Pulmonary arterial hypertension (PAH) features pathogenic and abnormal endothelial cells (ECs), and one potential origin is clonal selection. We studied the role of p53 and toll-like receptor 3 (TLR3) in clonal expansion and pulmonary hypertension (PH) via regulation of bone morphogenetic protein (BMPR2) signaling. ECs of PAH patients had reduced p53 expression. EC-specific p53 knockout exaggerated PH, and clonal expansion reduced p53 and TLR3 expression in rat lung CD117(+) ECs. Reduced p53 degradation (Nutlin 3a) abolished clonal EC expansion, induced TLR3 and BMPR2, and ameliorated PH. Polyinosinic/polycytidylic acid [Poly(I:C)] increased BMPR2 signaling in ECs via enhanced binding of interferon regulatory factor-3 (IRF3) to the BMPR2 promoter and reduced PH in p53(-/-) mice but not in mice with impaired TLR3 downstream signaling. Our data show that a p53/TLR3/IRF3 axis regulates BMPR2 expression and signaling in ECs. This link can be exploited for therapy of PH."
