time,journal,doi_info,authors,key words,title,abstract
2024 Mar,Journal of biomechanics,J Biomech. 2024 Mar;165:112017. doi: 10.1016/j.jbiomech.2024.112017. Epub 2024 ,"['Melvin, Patricia R', 'Wheatley, Benjamin M', 'Schimoler, Patrick J', 'Kharlamov, Alexander', 'Miller, Mark C', 'Elias, John J', 'Altman, Gregory T']","['humans', ' fracture fixation, internal methods', 'biomechanical phenomena', ' humeral fractures surgery', 'humerus', 'bone plates', 'cadaver', 'biomechanics', 'composite bone model', 'fracture fixation', 'humeral shaft fracture']",Biomechanical comparison of composite and cadaveric humeri models in experiments on operated humeral shaft fractures.,"A study was undertaken to determine how well contacting fracture fragments of composite bone replicated the behavior of fracture fragments in real bone. Ten composite and ten real humeral diaphyses were transected and reconstructed with limited-contact dynamic-compression plates. Two screws were placed on each side of the transection site and a calibrated electronic sensor sheet was placed between the imitated fracture fragments. After insertion of the distal screws, pressure measurements were made during insertion of the first proximal screw in compression mode, during insertion of the second screw in compression mode after loosening the first screw, and finally after retightening the first screw. The process was repeated after bending the plate. The contact area, the net compression force and the average compressive stress were computed and statistically compared. The composite bone and cadaveric bone differed in contact area and compressive stress but not in net compressive force. Plate bending did not produce a significant difference between composite and cadaveric bone. The results indicate that composite bone does not reproduce all the local fracture fragment conditions so that hardware testing in composite bone should proceed carefully. A gap between fracture fragments as is often used in comminuted fracture tests may remain as the most appropriate situation for fracture hardware testing."
2023 Nov,Foot & ankle international,Foot Ankle Int. 2023 Nov;44(11):1174-1180. doi: 10.1177/10711007231198230. Epub ,"['Smolinski, Michael P', 'Amadio, Joeseph', 'Prisk, Victor', 'Conti, Stephen F', 'Miller, Mark Carl']","['humans', ' tomography, x-ray computed methods', 'lower extremity', 'weight-bearing', ' ankle injuries', 'foot diagnostic imaging', 'disior', 'wbct', 'biomechanics', 'imaging', 'radiology ct', 'weightbearing ct']",A Comparison of Imaging Outcomes From 2 Weightbearing CT Modalities.,"BACKGROUND: The use of weightbearing images to diagnose foot and ankle injuries continues to offer hope for improved insight into pathologies, but weightbearing CT imaging has been limited by availability. The ability to apply force to the lower limb in a horizontal bore CT system may offer an adaptation to currently available imaging systems that provides access to weightbearing images without the acquisition of additional expensive imaging space or equipment. METHODS: In order to determine whether a horizontal CT system could produce the same results as a standing CT, 3 images of one foot from 10 subjects was obtained and standard measures were calculated. Each subject underwent a standing CT scan, a scan in a horizontal bore CT machine while the subject pressed against a pedal with spring resistance and a finally a scan with the foot placed on the pedal but without any pressure. RESULTS: No statistically significant difference between the standing and pedal-based CTs resulted. Navicular height and Meary angle (axial) were statistically different from nonweightbearing for both standing and horizontal systems. The horizontal results were statistically different from nonweightbearing in IM angle, talocalcaneal angle, and talonavicular coverage. No differences from nonweightbearing were found for either system in talar tilt, talocrural angle, or the lateral Meary angle. CONCLUSION: The results in this initial study of normal control subjects suggest that a pedal-based loading mechanism may adapt a horizontal-bore CT system for the acquisition of weightbearing images. CLINICAL RELEVANCE: The ability to acquire a weightbearing CT from a horizontal bore CT machine can make these images more available."
2024 Jan,Journal of shoulder and elbow surgery,J Shoulder Elbow Surg. 2024 Jan;33(1):172-180. doi: 10.1016/j.jse.2023.07.003. ,"['Schmidt, Christopher C', 'Rodriguez-Alejandro, Omar E', 'Cooke, Sean P', 'Dworkin, Joshua D', 'Cook, Austin J', 'Buce, Justin G', 'Stefko, Joseph M', 'Cline, Noah S', 'Smolinski, Patrick J', 'Miller, Mark C']","['humans', 'rotator cuff surgery', 'shoulder surgery', ' shoulder joint surgery', 'biomechanical phenomena', ' rotator cuff injuries', 'tendons', 'rupture', ' lacerations', 'range of motion, articular physiology', 'cadaver', 'rotator cuff tear', 'abduction force', 'force transmission', 'supraspinatus cord', 'supraspinatus strap', 'supraspinatus tendon tear']",Relative contributions of the supraspinatus cord and strap tendons to shoulder abduction and translation.,"BACKGROUND: The supraspinatus (SS) is formed by a larger anterior bipennate muscle with a cord-like tendon and a posterior unipennate muscle with a strap-like tendon. There is a tendinous connection between the 2 SS subunits. Yet, the relative mechanical contribution of the SS cord and SS strap musculotendinous units to load transmission and subsequent shoulder abduction force is unknown. We hypothesized that a simulated SS cord vs. an SS strap tear would generate less shoulder abduction force and, further, an intact SS cord would offset the expected abduction loss from an SS strap tear, but the inverse would not be true. MATERIALS AND METHODS: Twenty fresh-frozen cadaveric specimens were tested in a shoulder simulator with physiological load vectors applied to the upper and lower subscapularis, SS cord, SS strap, infraspinatus, and teres minor. The roles of the SS cord and SS strap muscles were delineated by varying their loads, while keeping constant loads on other muscles. The randomized testing trials included a native condition and 4 test cases that simulated tears by dropping the load and force transfer via the SS cord-to-SS strap connection by adding the load. Testing was completed at both 0° and 30° of abduction. During each test, shoulder abduction force, rotator cuff strains, and humeral translation were measured. RESULTS: Simulated isolated SS cord and SS strap tears led to a significantly lower shoulder abduction force (P < .001). A simulated cord tear at 0° and 30° reduced the abduction force by 53% and 38%, respectively. A simulated strap tear at 0° and 30° dropped the abduction force by 27% and 23%, respectively. The decline in the abduction force was larger for the SS cord tear vs. SS strap tear (P ≤ .001). An SS cord tear with full-load transfer to the strap was able to recover to native values at both 0° and 30° (P ≥ .288). Likewise, an SS strap tear with full-load transfer to the SS cord showed a similar recovery to native values at both 0° and 30° (P ≥ .155). During full-load transfer, the tendon strain followed the loading pattern. An SS cord tear or SS strap tear did not cause a change in humeral translation (P ≥ .303). DISCUSSION: The mechanical findings support the efficacy of nonoperative treatment of small (<10 mm) SS tears,(11) because an intact SS strap tendon can effectively offset the abduction loss of a torn SS cord tear and vice versa."
2023 Aug,Shoulder & elbow,Shoulder Elbow. 2023 Aug;15(4):436-441. doi: 10.1177/17585732221095492. Epub 2022 ,"['Greco, Victor E', 'Wroblewski, Andrew', 'Kharlamov, Alexander', 'Miller, Mark Carl', 'Winek, Nathan', 'Hammarstedt, Jon E', 'Regal, Steven']",[],"""Safe dissection parameters of the anconeus rotational flap for soft tissue coverage at the elbow"".","BACKGROUND: The anconeus is a small muscle located on the posterior elbow originating on the lateral epicondyle and inserting onto the proximal-lateral ulna that functions as an elbow extensor as well as dynamic stabilizer. The blood supply is tri-fold: medial/middle collateral artery (MCA), recurrent posterior interosseous artery (RPIA), and less commonly found, the posterior branch of the radial collateral artery. The anconeus has become a popular option for local soft tissue coverage about the elbow (distal triceps, olecranon, proximal forearm). The average defect size for consideration of local anconeus flap coverage is 5-7cm(2). The aim of the study was to determine safe dissection parameters of the anconeus as well as map arterial pedicles to achieve successful local harvest of the muscle without devascularization. MATERIALS AND METHODS: 8 fresh frozen cadaveric arms (all male, average age 63 years - 4 left arms, 4 right arms) from scapula to fingertip were obtained. First, the radial, ulnar and axillary arteries were dissected and isolated. The radial and ulnar arteries were transected. 100cc normal saline was injected through the axillary artery, sequentially clamping the radial followed by the ulnar artery so that adequate flow could be seen through all vessels. 100cc mixture of Biodür and hardener (10:1) was mixed and injected into the axillary artery. We first allowed free flow through both the ulnar and radial vessels followed by clamping of these vessels. This allowed the pressure to build up and fill the smaller vessels in the arms. After injection, the axillary artery was then clamped and the specimens were left to harden for 24-48 h. After hardening, dissection was performed by making a curvilinear incision centred over the lateral epicondyle. The anconeus was identified and the interval between the anconeus and ECU was then confirmed. Measurements of the anconeus muscle were taken. Blunt dissection was carried between anconeus and ECU until the RPIA was identified and protected. We isolated the MCA by dissecting proximally. This was found to run with the nerve to the anconeus. Once this vessel had been protected, the muscle reflected from distal to proximal staying along its ulnar border. The branches of the RPIA were ligated and the dissection was continued proximally. Measurements of the distances of the RPIA, MCA were taken. RESULTS: The average distance of olecranon to muscle tip was 95.0mm. The average distance of lateral epicondyle (LE) to muscle tip was 90.8mm. The average distance of LE to olecranon was 49.8mm. The average location of the RPIA was 63.mm when measuring LE to vessel, 68.3mm when measuring olecranon to vessel, 18.3mm when measuring RPIA to muscle tip. The average RPIA diameter was 1.1mm and length was 36.4mm from the initial branching of the posterior interosseous artery. The average MCA diameter was 0.7mm. The posterior branch of the radial collateral artery was only found in 3/8 specimens. The RPIA and MCA were constant in all specimens. Dissection was safely carried to the border of the LE and olecranon without disruption of the MCA. CONCLUSIONS: Our conclusions determined that if dissection of the anconeus is undertaken, the RPIA remains constant between the interval of the ECU as well as anconeus at an average distance of 18.3mm from the tip of the muscle measuring proximally; moreover, the MCA was constant in all specimens found directly between the LE and olecranon always running with the nerve to the anconeus. When dissecting and mobilizing to ensure preservation of the MCA, dissection should be taken from distal to proximal as well as dissecting along the ulnar border of the anconeus. Proximal dissection can be taken as proximal as the border of the LE and olecranon as that did not disrupt MCA blood supply."
2023 May,JSES international,JSES Int. 2023 Feb 2;7(3):506-510. doi: 10.1016/j.jseint.2023.01.004. eCollection ,"['Dworkin, Joshua D', 'Schmidt, Christopher C', 'Cooke, Sean P', 'Buce, Justin G', 'Cook, Austin J', 'Miller, Mark C', 'Smolinski, Patrick J']","['atraumatic', 'attritional', 'avulsion', 'distal biceps', 'partial', 'tear', 'tendon rupture', 'traumatic']",The pathoanatomy of atraumatic partial distal biceps tears: a cadaveric study.,"BACKGROUND: Partial distal biceps tears can occur in the short and/or long heads, leading to forearm pain and weakness. Yet, the pathoanatomy of atraumatic and traumatic partial tears are not understood. The goals of this study are to determine the distal biceps partial tear frequency and tear pattern in a cohort of cadaveric specimens. METHODS: Fifty three fresh frozen cadavers (average age 70.4 ± 13.8 years, range 32-94) underwent elbow endoscopy to screen for partial tears. The partial tendon tear pattern was classified into either attritional (atraumatic), detachment on the tendon's lateral side, or avulsion (traumatic) rupture of the tendon fibers from bone on both the lateral and medial sides. The specimens were dissected and laser scanned to make 3D models. The tear location, shape, and area were calculated using gross dissection and the 3D models. RESULTS: Atraumatic partial distal biceps tears were identified in 40% of the specimens, 72% involved both the long and short heads, 14% long head, and 14% short head. In all tears, the tendon fibers were only detached from the lateral side. The greatest tear width occurred near the short and long head junction. CONCLUSION: Atraumatic partial distal biceps tears are common. The tear originates on the lateral side of the tendon at the short and long head junction. All the tear patterns are attritional and no specimen had surgical treatment. This finding supports the current treatment recommendation of an initial period of nonoperative care for symptomatic atraumatic partial distal biceps tears."
2023 Apr,Shoulder & elbow,Shoulder Elbow. 2023 Apr;15(2):195-206. doi: 10.1177/17585732211034818. Epub 2021 ,"['Qazi, Sohail', 'Regal, Steven', 'Greco, Victor', 'Wroblewski, Andrew', 'Schimoler, Patrick J', 'Miller, Mark C', 'Hammarstedt, Jon E']","['distal biceps', 'biceps rupture', 'biomechanics']",Biomechanical analysis of single-incision anatomic repair technique for distal biceps tendon rupture using tunneling device.,"HYPOTHESIS: Single-incision biceps tendon repair with an arthrotunneling device has previously been shown to be a safe and effective technique that provides the anatomic restoration of a two-incision approach and a reduced complication profile. This repair provides adequate and comparable fixation to repairs utilizing anchors, buttons, screws, etc., at a lower cost. MATERIAL AND METHODS: This study utilized 10 cadaveric specimens. Native and repair specimens were cyclically loaded and graft displacement, flexion/extension (FE) and pronation/supination (PS) moment arms at 12.5° to 152.5° (in 5° increments) before and after repair, and maximum load to failure were measured. RESULTS: The FE and PS moment arms and overall maximum moment arms were both significantly larger in the repaired case than in the native case (p < 0.01). Moment arms for supinated specimens were significantly greater than neutral specimens, which in turn was greater than pronated specimens (p < 0.01). The maximum load up to 10 mm of repair displacement was 214.5.0 ± 66.6 N and the repair displacement due to 1000 cycles of 50 N was 2.56 ± 2.06 mm. CONCLUSION: The single-incision arthrotunneling technique is a safe and effective repair that recreates the anatomic footprint and biomechanics of the native biceps and has a reduced complication profile compared to a two-incision approach."
2023 Feb 15,Journal of ultrasound,J Ultrasound. 2023 Feb 15. doi: 10.1007/s40477-022-00768-y.,"['Reynolds, Alan W', 'Jordan, David', 'Schimoler, Patrick J', 'DeMeo, Patrick J', 'Casagranda, Bethany', 'Peterson, William M 2nd', 'Miller, Mark C']","['biomechanics', 'ligament', 'shear wave elastography', 'ucl']",Shear wave elastography ultrasound does not quantify mechanical properties of the ulnar collateral ligament of the elbow.,"OBJECTIVE: To validate shear wave elastography (SWE) stiffness measurements for the ulnar collateral ligament (UCL) of the elbow compared to mechanical measurements. MATERIALS AND METHODS: Eleven fresh frozen human cadaveric upper extremities were evaluated by a musculoskeletal-specialized radiologist to provide SWE measurements used to calculate stiffness at 4 points along the anterior band of the UCL at various load states and flexion angles. Specimens were then dissected and optical markers were placed on the UCL to track displacement during applied force by a load frame, thereby providing measurements to calculate the mechanical stiffness. These two stiffness values were compared by ANOVA for all load states and flexion angles. RESULTS: Measurements of stiffness by SWE for the UCL were three orders of magnitude smaller than the true mechanical testing stiffness and no correlations between SWE and mechanical measurements of stiffness were found at 30, 60 or 90 degrees of elbow flexion (R(2) = 0.004, p = 0.85; R(2) = 0.001, p = 0.92; R(2) = 0.15, p = 0.24 respectively). SWE stiffness was greatest near the insertion of the ligament and lowest in the mid-substance of the ligament (p = 0.0002). CONCLUSIONS: SWE stiffness did not correlate with mechanical measurements. Clinical utility of musculoskeletal SWE may be better defined when biomechanical properties or clinical outcomes can be correlated with SWE measurements. The ultimate clinical utility of SWE in musculoskeletal tissues may be qualitative, as demonstrated by differences throughout the length of the UCL in this study."
2023 Mar,Journal of shoulder and elbow surgery,J Shoulder Elbow Surg. 2023 Mar;32(3):519-525. doi: 10.1016/j.jse.2022.09.021. ,"['Reynolds, Alan W', 'Schimoler, Patrick J', 'Miller, Mark C', 'Kharlamov, Alexander', 'Hughes, Alice J', 'Altman, Gregory T']","['humans', 'shoulder surgery', 'biomechanical phenomena', ' acromioclavicular joint surgery injuries', 'clavicle surgery injuries', 'scapula surgery injuries', ' fractures, bone diagnostic imaging surgery', ' shoulder injuries', 'ligaments, articular surgery injuries', ' shoulder fractures', 'bone plates', 'cadaver', 'floating shoulder', 'biomechanics', 'clavicle', 'coracoclavicular ligaments', 'fracture', 'scapula']","Stability, deformity, and fixation of the floating shoulder: a cadaveric biomechanical study.","BACKGROUND: Floating shoulder injuries cause instability and deformity due to disruptions of the scapula, clavicle, and superior shoulder suspensory complex ligaments (SSSC). Resulting deformity of the glenopolar angle (GPA) has not previously been established, nor has the impact on stability and deformity when surgical fixation is performed. This study sought to quantify stability and deformity for multiple injury patterns and the improvement to these parameters provided by clavicle and coracoclavicular (CC) ligament fixation. METHODS: Fourteen cadaveric specimen upper extremities were used, which included the entire upper extremity, scapula, clavicle, and cranial-most ribs. After being mounted upright, a scapular neck fracture was created, followed by either a midshaft clavicle fracture or sectioning of the acromioclavicular and coracoacromial ligaments. Subsequent sectioning of the other structure(s) followed by the CC ligaments was then performed. In all specimens, the clavicle was then plated, followed by a CC ligament repair. At each step, a radiograph in the AP plane of the scapula was taken to measure GPA and displacement of the glenoid fragment using radiopaque markers placed in the scapula. These radiographs were taken both unloaded and with a 100-N applied medializing force. RESULTS: When evaluating deformity related to sectioning, the GPA was reduced when the CC ligaments were sectioned compared to an isolated scapula fracture (P = .022) and compared to a combined scapula and clavicle fracture (P = .037). For stability, displacement with a 100-N force was significantly increased when the CC ligaments were sectioned compared to an isolated scapula fracture (P = .027). In cases of an ipsilateral scapula neck and clavicle fracture with intact ligaments, fixation of the clavicle alone provided a statistically significant improvement in the GPA (P = .002); but not in reduction of displacement (P = .061). In cases of an ipsilateral scapula neck and clavicle fracture with concomitant disruption of the coracoacromial, acromioclavicular, and CC ligaments, the GPA was improved by clavicle fixation (P < .001) and increasingly so by subsequent CC ligament repair (P < .001). Displacement was also improved in these 2 states (P < .001, P = .008, respectively). DISCUSSION: This biomechanical study confirmed the importance of the acromioclavicular, coracoacromial, and CC ligaments in conferring stability in SSSC injuries. Disruption of the CC ligaments created significant deformity of the GPA and instability with a medializing force. Clinical treatment should consider the integrity of these ligaments and their repair in conjunction with clavicle fixation, knowing that this combination should restore a biomechanical state equivalent to an isolated scapula fracture."
2022 Dec,Injury,Injury. 2022 Dec;53(12):3899-3903. doi: 10.1016/j.injury.2022.09.027. Epub 2022 ,"['Hempen, Eric C', 'Wheatley, Benjamin M', 'Schimoler, Patrick J', 'Kharlamov, Alexander', 'Melvin, Patricia R', 'Miller, Mark Carl', 'Altman, Gregory T', 'Altman, Daniel T', 'Westrick, Edward R']","['humans', ' pelvic bones surgery injuries', 'bone screws', 'fracture fixation, internal methods', ' fractures, bone surgery', 'bone plates', ' crush injuries', 'biomechanical phenomena', 'fracture repair', 'lateral compression', 'pelvis, biomechanics']","A biomechanical comparison of superior ramus plating versus intramedullary screw fixation for unstable lateral compression pelvic ring injuries(,,).","INTRODUCTION: Management of the anterior component of unstable lateral compression (LC) pelvic ring injuries remains controversial. Common internal fixation options include plating and superior pubic ramus screws. These constructs have been evaluated in anterior-posterior compression (APC) fracture patterns, but no study has compared the two for unstable LC patterns, which is the purpose of this study. METHODS: A rotationally unstable LC pelvic ring injury was modeled in 10 fresh frozen cadaver specimens by creating a complete sacral fracture, disruption of posterior ligaments, and ipsilateral superior and inferior rami osteotomies. All specimens were repaired posteriorly with two fully threaded 7 mm cannulated transiliac-transsacral screws through the S1 and S2 corridors. The superior ramus was repaired with either a 3.5 mm pelvic reconstruction plate (n = 5) or a bicortical 5.5 mm cannulated retrograde superior ramus screw (n = 5). Specimens were loaded axially in single leg support for 1000 cycles at 400 N followed by an additional 3 cycles at 800 N. Displacement and angulation of the superior and inferior rami osteotomies were measured with a three-dimensional (3D) motion tracker. The two fixation methods were then compared with Mann-Whitney U-Tests. RESULTS: Retrograde superior ramus screw fixation had lower average displacement and angulation than plate fixation in all categories, with the motion at the inferior ramus at 800 N of loading showing a statistically significant difference in angulation. CONCLUSION: Although management of the anterior ring in unstable LC injuries remains controversial, indications for fixation are becoming more defined over time. In this study, the 5.5 mm cannulated retrograde superior ramus screw significantly outperformed the 3.5 mm reconstruction plate in angulation of the inferior ramus fracture at 800 N. No other significance was found, however the ramus screw demonstrated lower average displacements and angulations in all categories for both the inferior and superior ramus fractures."
2022 Oct,Journal of clinical orthopaedics and trauma,J Clin Orthop Trauma. 2022 Aug 27;33:101998. doi: 10.1016/j.jcot.2022.101998. ,"['Hammarstedt, Jon E', 'Redshaw, James T Jr', 'Schimoler, Patrick J', 'Westrick, Edward R', 'Andreini, Derek', 'Kharlamov, Alexander', 'Miller, Mark Carl']",[],Biomechanical analysis of stability of joint depression calcaneal fractures: Fixation with locking compression plate alone compared with addition of supplemental oblique screw.,"PURPOSE: The standard treatment of calcaneus fractures is a lateral plate and screw construct. Patients at our institution have been treated with a lateral locking plate combined with one retrograde screw inserted in the oblique plane to allow immediate weight bearing. The purpose of this study was to determine whether addition of a oblique screw to a lateral plate construct increases stability. METHODS: A Sanders 2B fracture (AO/OTA 83-C2) was created in 8 pairs (16 total specimens) of cadaveric feet. All were repaired using a lateral locking plate/screws construct. One specimen in each pair was chosen randomly to receive an additional oblique screw. The specimens were tested with cyclic load of up to 800 N. Movement at the fracture sites and subsidence of the talus were tracked with a three-dimensional video analysis system. RESULTS: Talar subsidence was not significantly affected by the presence of the additional oblique screw (p = 0.22). The sustentaculum fragment in the case of the screw repair moved 0.39 mm while the same fragment without the additional screw repair displaced 0.12 mm (p < 0.01). Two repairs with and one repair without the additional screw failed during longer-term cyclic loading. CONCLUSION: The two repair types were not statistically different in regards to talar subsidence. While statistical significance resulted in the comparison of sustentaculum fragment movement, the amount of movement did not reach a level of clinical relevance. This study demonstrated immediate stability and durability of the additional screw construct with high volume weight bearing loads."
