time,journal,doi_info,authors,key words,title,abstract
2024 Jan 15,Acta biomaterialia,Acta Biomater. 2024 Jan 15;174:104-115. doi: 10.1016/j.actbio.2023.12.003. Epub ,"['Didwischus, Nadine', 'Guduru, Arun', 'Badylak, Stephen F', 'Modo, Michel']","['humans', ' hydrogels pharmacology metabolism', 'extracellular matrix metabolism', ' stroke therapy', 'proteolysis', 'matrix metalloproteinases metabolism', 'biodegradation', 'bioscaffold', 'extracellular matrix', 'hydrogel', 'matrix metalloproteinase', 'rheology']",In vitro dose-dependent effects of matrix metalloproteinases on ECM hydrogel biodegradation.,"Matrix metalloproteinases (MMPs) cause proteolysis of extracellular matrix (ECM) in tissues affected by stroke. However, little is known about how MMPs degrade ECM hydrogels implanted into stroke cavities to regenerate lost tissue. To establish a structure-function relationship between different doses of individual MMPs and isolate their effects in a controlled setting, an in vitro degradation assay quantified retained urinary bladder matrix (UBM) hydrogel mass as a measure of degradation across time. A rheological characterization indicated that lower ECM concentrations (<4 mg/mL) did not cure completely at 37 °C and had a high fraction of mobile proteins that were easily washed-out. Hydrolysis by dH(2)O caused a steady 2 % daily decrease in hydrogel mass over 14 days. An acceleration of degradation to 6 % occurred with phosphate buffered saline and artificial cerebrospinal fluid. MMPs induced a dose-dependent increase and within 14 days almost completely (>95 %) degraded the hydrogel. MMP-9 exerted the most significant biodegradation, compared to MMP-3 and -2. To model the in vivo exposure of hydrogel to MMPs, mixtures of MMP-2, -3, and -9, present in the cavity at 14-, 28-, or 90-days post-stroke, revealed that 14- and 28-days mixtures achieved an equivalent biodegradation, but a 90-days mixture exhibited a slower degradation. These results revealed that hydrolysis, in addition to proteolysis, exerts a major influence on the degradation of hydrogels. Understanding the mechanisms of ECM hydrogel biodegradation is essential to determine the therapeutic window for bioscaffold implantation after a stroke, and they are also key to determine optimal degradation kinetics to support tissue regeneration. STATEMENT OF SIGNIFICANCE: After implantation into a stroke cavity, extracellular matrix (ECM) hydrogel promotes tissue regeneration through the degradation of the bioscaffold. However, the process of degradation of an ECM hydrogel remains poorly understood. We here demonstrated in vitro under highly controlled conditions that hydrogel degradation is very dependent on its protein concentration. Lower protein concentration hydrogels were weaker in rheological measurements and particularly susceptible to hydrolysis. The proteolytic degradation of tissue ECM after a stroke is caused by matrix metalloproteinases (MMPs). A dose-dependent MMP-driven biodegradation of ECM hydrogel exceeded the effects of hydrolysis. These results highlight the importance of in vitro testing of putative causes of degradation to gain a better understanding of how these factors affect in vivo biodegradation."
2023 Nov 15,NeuroImage,Neuroimage. 2023 Nov 15;282:120406. doi: 10.1016/j.neuroimage.2023.120406. Epub ,"['Modo, Michel', 'Sparling, Katherine', 'Novotny, Jacob', 'Perry, Nikhita', 'Foley, Lesley M', 'Hitchens, T Kevin']","['humans', ' hippocampus diagnostic imaging', ' perforant pathway', 'entorhinal cortex', 'brain', 'diffusion magnetic resonance imaging', 'connectivity', 'dentate gyrus', 'hippocampus', 'mesoscale', 'mossy fibers', 'perforant path', 'tractography', 'tri-synaptic circuit']",Mapping mesoscale connectivity within the human hippocampus.,"The connectivity of the hippocampus is essential to its functions. To gain a whole system view of intrahippocampal connectivity, ex vivo mesoscale (100 μm isotropic resolution) multi-shell diffusion MRI (11.7T) and tractography were performed on entire post-mortem human right hippocampi. Volumetric measurements indicated that the head region was largest followed by the body and tail regions. A unique anatomical organization in the head region reflected a complex organization of the granule cell layer (GCL) of the dentate gyrus. Tractography revealed the volumetric distribution of the perforant path, including both the tri-synaptic and temporoammonic pathways, as well as other well-established canonical connections, such as Schaffer collaterals. Visualization of the perforant path provided a means to verify the borders between the pro-subiculum and CA1, as well as between CA1/CA2. A specific angularity of different layers of fibers in the alveus was evident across the whole sample and allowed a separation of afferent and efferent connections based on their origin (i.e. entorhinal cortex) or destination (i.e. fimbria) using a cluster analysis of streamlines. Non-canonical translamellar connections running along the anterior-posterior axis were also discerned in the hilus. In line with ""dentations"" of the GCL, mossy fibers were bunching together in the sagittal plane revealing a unique lamellar organization and connections between these. In the head region, mossy fibers projected to the origin of the fimbria, which was distinct from the body and tail region. Mesoscale tractography provides an unprecedented systems view of intrahippocampal connections that underpin cognitive and emotional processing."
2024 Jan,Magnetic resonance in medicine,Magn Reson Med. 2024 Jan;91(1):357-367. doi: 10.1002/mrm.29842. Epub 2023 Oct 5.,"['Chung, Julius', 'Sun, Dandan', 'Hitchens, T Kevin', 'Modo, Michel', 'Bandos, Andriy', 'Mettenburg, Joseph', 'Wang, Ping', 'Jin, Tao']","['humans', 'hydrogen-ion concentration', ' image enhancement methods', 'phantoms, imaging', ' stroke diagnostic imaging', 'magnetic resonance imaging methods', 'amides', 'cest', 'amide', 'guanidino', 'ph', 'stroke']",Dual contrast CEST MRI for pH-weighted imaging in stroke.,"PURPOSE: pH enhanced (pH(enh) ) CEST imaging combines the pH sensitivity from amide and guanidino signals, but the saturation parameters have not been optimized. We propose pH(dual) as a variant of pH(enh) that suppresses background signal variations, while enhancing pH sensitivity and potential for imaging ischemic brain injury of stroke. METHODS: Simulation and in vivo rodent stroke experiments of pH(enh) MRI were performed with varied RF saturation powers for both amide and guanidino protons to optimize the contrast between lesion/normal tissues, while simultaneously minimizing signal variations across different types of normal tissues. In acute stroke, contrast and volume ratio measured by pH(dual) imaging were compared with an amide-CEST approach, and perfusion and diffusion MRI. RESULTS: Simulation experiments indicated that amide and guanidino CEST signals exhibit unique sensitivities across different pH ranges, with pH(enh) producing greater sensitivity over a broader pH regime. The pH(enh) data of rodent stroke brain demonstrated that the lesion/normal tissue contrast was maximized for an RF saturation power pair of 0.5 μT at 2.0 ppm and 1.0 μT at 3.6 ppm, whereas an optimal contrast-to-variation ratio (CVR) was obtained with a 0.7 μT saturation at 2.0 ppm and 0.8 μT at 3.6 ppm. In acute stroke, CVR optimized pH(enh) (i.e., pH(dual) ) achieved a higher sensitivity than the three-point amide-CEST approach, and distinct patterns of lesion tissue compared to diffusion and perfusion MRI. CONCLUSION: pH(dual) MRI improves the sensitivity of pH-weighted imaging and will be a valuable tool for assessing tissue viability in stroke."
2023 Sep,Neuroprotection,Neuroprotection. 2023 Sep;1(1):66-83. doi: 10.1002/nep3.14. Epub 2022 Dec 20.,"['Manivannan, Ashwinee', 'Foley, Lesley M', 'Hitchens, T Kevin', 'Rattray, Ivan', 'Bates, Gillian P', 'Modo, Michel']","['huntington’s disease', 'mri', 'connectome', 'diffusion tensor imaging', 'mouse', 'tractography']",Ex vivo 100 μm isotropic diffusion MRI-based tractography of connectivity changes in the end-stage R6/2 mouse model of Huntington's disease.,"BACKGROUND: Huntington's disease is a progressive neurodegenerative disorder. Brain atrophy, as measured by volumetric magnetic resonance imaging (MRI), is a downstream consequence of neurodegeneration, but microstructural changes within brain tissue are expected to precede this volumetric decline. The tissue microstructure can be assayed non-invasively using diffusion MRI, which also allows a tractographic analysis of brain connectivity. METHODS: We here used ex vivo diffusion MRI (11.7 T) to measure microstructural changes in different brain regions of end-stage (14 weeks of age) wild type and R6/2 mice (male and female) modeling Huntington's disease. To probe the microstructure of different brain regions, reduce partial volume effects and measure connectivity between different regions, a 100 μm isotropic voxel resolution was acquired. RESULTS: Although fractional anisotropy did not reveal any difference between wild-type controls and R6/2 mice, mean, axial, and radial diffusivity were increased in female R6/2 mice and decreased in male R6/2 mice. Whole brain streamlines were only reduced in male R6/2 mice, but streamline density was increased. Region-to-region tractography indicated reductions in connectivity between the cortex, hippocampus, and thalamus with the striatum, as well as within the basal ganglia (striatum-globus pallidus-subthalamic nucleus-substantia nigra-thalamus). CONCLUSIONS: Biological sex and left/right hemisphere affected tractographic results, potentially reflecting different stages of disease progression. This proof-of-principle study indicates that diffusion MRI and tractography potentially provide novel biomarkers that connect volumetric changes across different brain regions. In a translation setting, these measurements constitute a novel tool to assess the therapeutic impact of interventions such as neuroprotective agents in transgenic models, as well as patients with Huntington's disease."
2023 Sep,Neuroprotection,Neuroprotection. 2023 Sep;1(1):5-8. doi: 10.1002/nep3.8. Epub 2022 Sep 3.,"['Ji, Xuming', 'Walczak, Piotr', 'van Beusekom, Heleen M M', 'Casas, Ana I', 'Clarkson, Andrew', 'Farr, Tracy', 'Jolkkonen, Jukka', 'Liang, Yajie', 'Modo, Michel M', 'Rosado-de-Castro, Paulo H', 'Ruscher, Karsten', 'Wang, Yan-Jiang', 'Wu, Haitao', 'Zille, Marietta', 'Li, Shen', 'Boltze, Johannes']","['neuroprotection', 'cytoprotection', 'nervous system repair', 'neurodegeneration', 'neurovascular diseases', 'translational research']","Join us on an amazing journey towards next-generation treatments for CNS disorders: Launch of Neuroprotection, a new high-quality journal in translational neuroscience.",
2023 Oct 1,Brain research bulletin,Brain Res Bull. 2023 Oct 1;202:110757. doi: 10.1016/j.brainresbull.2023.110757. ,"['Modo, Michel', 'Fink, Kyle', 'Rossignol, Julien']","[' biological products therapeutic use', 'brain']",Biologics in brain repair.,
2023,Frontiers in neurology,Front Neurol. 2023 Aug 4;14:1266075. doi: 10.3389/fneur.2023.1266075. eCollection ,"['Crilly, Siobhan', 'Zille, Marietta', 'Kasher, Paul R', 'Modo, Michel']","['brain hemorrhage', 'clinical research', 'ischemic stroke', 'pre-clinical', 'stroke']",Editorial: Innovative models of stroke pathology.,
2023 Apr 24,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel). 2023 Apr 24;13(9):1529. doi: 10.3390/diagnostics13091529.,"['Fountain, Chandler', 'Ghuman, Harmanvir', 'Paldino, Michael', 'Tamber, Mandeep', 'Panigrahy, Ashok', 'Modo, Michel']","['mri', 'diffusion tensor imaging', 'focal cortical dysplasia', 'mesoscale', 'surgical resection', 'tractography']",Acquisition and Analysis of Excised Neocortex from Pediatric Patients with Focal Cortical Dysplasia Using Mesoscale Diffusion MRI.,"Non-invasive classification of focal cortical dysplasia (FCD) subtypes remains challenging from a radiology perspective. Quantitative imaging biomarkers (QIBs) have the potential to distinguish subtypes that lack pathognomonic features and might help in defining the extent of abnormal connectivity associated with each FCD subtype. A key motivation of diagnostic imaging is to improve the localization of a ""lesion"" that can guide the surgical resection of affected tissue, which is thought to cause seizures. Conversely, surgical resections to eliminate or reduce seizures provided unique opportunities to develop magnetic resonance imaging (MRI)-based QIBs by affording long scan times to evaluate multiple contrast mechanisms at the mesoscale (0.5 mm isotropic voxel dimensions). Using ex vivo hybrid diffusion tensor imaging on a 9.4 T MRI scanner, the grey to white matter ratio of scalar indices was lower in the resected middle temporal gyrus (MTG) of two neuropathologically confirmed cases of FCD compared to non-diseased control postmortem fixed temporal lobes. In contrast, fractional anisotropy was increased within FCD and also adjacent white matter tracts. Connectivity (streamlines/mm(3)) in the MTG was higher in FCD, suggesting that an altered connectivity at the lesion locus can potentially provide a tangible QIB to distinguish and characterize FCD abnormalities. However, as illustrated here, a major challenge for a robust tractographical comparison lies in the considerable differences in the ex vivo processing of bioptic and postmortem samples. Mesoscale diffusion MRI has the potential to better define and characterize epileptic tissues obtained from surgical resection to advance our understanding of disease etiology and treatment."
2022,Frontiers in cellular neuroscience,Front Cell Neurosci. 2022 Jul 22;16:917181. doi: 10.3389/fncel.2022.917181. ,"['Patkar, Shalmali', 'Uwanogho, Dafe', 'Modo, Michel', 'Tate, Rothwelle J', 'Plevin, Robin', 'Carswell, Hilary V O']","['brain repair', 'cell therapy', 'cerebral ischemia', 'estrogen', 'neuroprotection', 'steroidogenesis', 'transplantation']",Targeting 17β-estradiol biosynthesis in neural stem cells improves stroke outcome.,"Dax-1 (dosage-sensitive sex reversal adrenal hypoplasia congenital region on X-chromosome gene 1) blocks 17β-estradiol biosynthesis and its knockdown would be expected to increase 17β-estradiol production. We hypothesized that knockdown of Dax-1 in a conditionally immortalized neural stem cell (NSC) line, MHP36, is a useful approach to increase 17β-estradiol production. Short hairpin (sh) RNA targeted to Dax-1 in NSCs, namely MHP36-Dax1KD cells, resulted in the degradation of Dax-1 RNA and attenuation of Dax-1 protein expression. In vitro, MHP36-Dax1KD cells exhibited overexpression of aromatase and increased 17β-estradiol secretion compared to MHP36 cells. As 17β-estradiol has been shown to promote the efficacy of cell therapy, we interrogated the application of 17β-estradiol-enriched NSCs in a relevant in vivo disease model. We hypothesized that MHP36-Dax1KD cells will enhance functional recovery after transplantation in a stroke model. C57BL/6 male adult mice underwent ischemia/reperfusion by left middle cerebral artery occlusion for 45 min using an intraluminal thread. Two days later male mice randomly received vehicle, MHP36 cells, MHP36-Dax1KD cells, and MHP36 cells suspended in 17β-estradiol (100 nm) or 17β-estradiol alone (100 nm) with serial behavioral testing over 28 days followed by post-mortem histology and blinded analysis. Recovery of sensorimotor function was accelerated and enhanced, and lesion volume was reduced by MHP36-Dax1KD transplants. Regarding mechanisms, immunofluorescence indicated increased synaptic plasticity and neuronal differentiation after MHP36-Dax1KD transplants. In conclusion, knockdown of Dax-1 is a useful target to increase 17β-estradiol biosynthesis in NSCs and improves functional recovery after stroke in vivo, possibly mediated through neuroprotection and improved synaptic plasticity. Therefore, targeting 17β-estradiol biosynthesis in stem cells may be a promising therapeutic strategy for enhancing the efficacy of stem cell-based therapies for stroke."
2022 Mar,Biomaterials,Biomaterials. 2022 Mar;282:121386. doi: 10.1016/j.biomaterials.2022.121386. Epub ,"['Modo, Michel', 'Ghuman, Harmanvir', 'Azar, Reem', 'Krafty, Ryan', 'Badylak, Stephen F', 'Hitchens, T Kevin']","['animals', 'extracellular matrix metabolism', ' fluorocarbons', 'hydrogels metabolism', 'infarction metabolism', 'magnetic resonance imaging', 'rats', 'rats, sprague-dawley', ' stroke diagnostic imaging pathology', '(19)f mri', 'bioscaffold', 'extracellular matrix', 'hydrogel', 'inflammation', 'macrophages', 'nanoemulsion', 'perfluorocarbon', 'stroke']",Mapping the acute time course of immune cell infiltration into an ECM hydrogel in a rat model of stroke using (19)F MRI.,"Extracellular matrix (ECM) hydrogel implantation into a stroke-induced tissue cavity invokes a robust cellular immune response. However, the spatio-temporal dynamics of immune cell infiltration into peri-infarct brain tissues versus the ECM-bioscaffold remain poorly understood. We here tagged peripheral immune cells using perfluorocarbon (PFC) nanoemulsions that afford their visualization by (19)F magnetic resonance imaging (MRI). Prior to ECM hydrogel implantation, only blood vessels could be detected using (19)F MRI. Using ""time-lapse"" (19)F MRI, we established the infiltration of immune cells into the peri-infarct area occurs 5-6 h post-ECM implantation. Immune cells also infiltrated through the stump of the MCA, as well as a hydrogel bridge that formed between the tissue cavity and the burr hole in the skull. Tissue-based migration into the bioscaffold was observed between 9 and 12 h with a peak signal measured between 12 and 18 h post-implantation. Fluorescence-activated cell sorting of circulating immune cells revealed that 9% of cells were labeled with PFC nanoemulsions, of which the vast majority were neutrophils (40%) or monocytes (48%). Histology at 24 h post-implantation, in contrast, indicated that macrophages (35%) were more numerous in the peri-infarct area than neutrophils (11%), whereas the vast majority of immune cells within the ECM hydrogel were neutrophils (66%). Only a small fraction (12%) of immune cells did not contain PFC nanoemulsions, indicating a low type II error for (19)F MRI. (19)F MRI hence provides a unique tool to improve our understanding of the spatio-temporal dynamics of immune cells invading bioscaffolds and effecting biodegradation."
